end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccruedProfessionalFeesCurrentAndNoncurrent,AdditionalPaidInCapital,AdministrativeFeesExpense,AssetImpairmentCharges,Assets,AssetsCurrent,AssetsNoncurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,CostOfGoodsAndServicesSold,CostOfGoodsSoldSalesTypeLease,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DeferredOtherTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsPolicyholderLiabilities,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilitiesPrepaidExpenses,Depreciation,DepreciationAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToAffiliateCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,ForeignCurrencyTransactionGainBeforeTax,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfIntangibleAssetsExcludingGoodwill,ImpairmentOfInvestments,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeferredRevenueAndCustomerAdvancesAndDeposits,IncreaseDecreaseInDueToAffiliates,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InducedConversionOfConvertibleDebtExpense,InterestIncomeFederalHomeLoanBankAdvances,InterestIncomeOther,InterestIncomeSecuritiesTaxable,InterestPaid,InterestPaidNet,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetInvestmentInLeaseSale,NonoperatingIncomeExpense,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccountsPayableAndAccruedLiabilities,OtherAccruedLiabilitiesCurrent,OtherLiabilitiesCurrent,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,OtherOperatingIncome,OtherOperatingIncomeExpenseNet,OtherPrepaidExpenseCurrent,OtherReceivables,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseAndOtherAssets,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromRelatedPartyDebt,ProfessionalAndContractServicesExpense,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionRate,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShareBasedGoodsAndNonemployeeServicesTransactionCashFlowEffects,ShareBasedGoodsAndNonemployeeServicesTransactionStockholdersEquity,StockholdersEquity,StockholdersEquityNoteSpinoffTransaction,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2012-09-30,2012-11-13,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,7942.0,,5942.0,,,,67907.0,,0.0,69868.0,69233.0,635.0,4304.0,,,0.001,200000000.0,144542831.0,144542831.0,,144543.0,0.0,,,,,,,,,,,,54500.0,,,259091.0,0.0,108567.0,0.0,,,,,,,,,4077.0,,0.0,-19262.0,0.0,,,,,,,,,,,,,,,,,,,,,,116509.0,69868.0,116509.0,,,,,,,-19262.0,,,,,,,,,,,,0.0,,,10249.0,,64929.0,,,,,,,,,635.0,,,,,4077.0,23339.0,,,,-46641.0,,,,,,,144542831.0,
2012-12-31,2013-03-27,10-K,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,8309.0,0.0,577.0,,7732.0,7732.0,67907.0,,0.0,70837.0,70525.0,312.0,1621.0,1352.0,,0.001,200000000.0,144542831.0,144542831.0,,144543.0,0.0,,,,,,96740.0,,0.0,96740.0,,-96740.0,58474.0,323.0,,284530.0,,134608.0,-0.07,,,,,,0.0,,,16423.0,,0.0,-96264.0,0.0,,0.0,,,,1447.0,,,,-2618.0,125304.0,,-26840.0,,,0.0,,,0.0,,,142917.0,70837.0,142917.0,125304.0,,0.0,,-123952.0,,-96264.0,,,,,,,,,,,,0.0,,58474.0,10430.0,0.0,68904.0,,,0.0,,125304.0,,,,312.0,0.0,,,,16423.0,112687.0,0.0,,,-72080.0,,,,,,,144542831.0,
2013-03-31,2013-05-10,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,8173.0,,3045.0,,,,67907.0,,0.0,73625.0,73313.0,312.0,4409.0,2788.0,,0.001,200000000.0,144542831.0,144542831.0,,144543.0,0.0,,,,,0.0,,,,,,,,0.0,,307562.0,,160564.0,0.0,,,,,,,,,3692.0,,0.0,-23032.0,0.0,7831.0,0.0,,-7831.0,,-136.0,,,,,25956.0,,0.0,,,,,,0.0,,,168737.0,73625.0,168737.0,,0.0,0.0,0.0,2788.0,2788.0,-23032.0,,,,,,,,,,,,0.0,,58474.0,10430.0,0.0,68904.0,,,0.0,,,,,,312.0,,,,,3692.0,26724.0,0.0,,,-95112.0,,,,,,,144542831.0,
2013-06-30,2013-08-13,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,6359.0,,3795.0,,,,67907.0,,0.0,69753.0,69441.0,312.0,537.0,,,0.001,200000000.0,144542831.0,144542831.0,,144543.0,0.0,,,,,,,,,,,,,,,329793.0,,180737.0,0.0,,,,,,,,,3692.0,,0.0,-22231.0,0.0,,,,,,,,,,,,,,,,,,,,,,187096.0,69753.0,187096.0,,,,,,,-22231.0,,,,,,,,,,,,0.0,,58474.0,10430.0,,68904.0,,,,,,,,,312.0,,,,,3692.0,25923.0,,,,-117343.0,,,,,,,144542831.0,
2013-09-30,2013-11-14,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,9047.0,4175.0,2308.0,,2564.0,,67907.0,,0.0,69663.0,69351.0,312.0,447.0,,,0.001,200000000.0,144542831.0,144542831.0,,144543.0,0.0,,,,,,,,,,,,,,,351892.0,,200058.0,0.0,,,,,,,,,3692.0,,0.0,-22099.0,0.0,,,,,,,,,,,,,,,,,,,,,,209105.0,69663.0,209105.0,,,,,,,-22099.0,,,,,,,,,,,,0.0,,58474.0,10430.0,,68904.0,,,,,,,,,312.0,,,,,3692.0,25791.0,,,,-139442.0,,,,,,,144542831.0,
2013-12-31,2014-04-15,10-K,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,18408.0,,8793.0,,9615.0,9615.0,67907.0,,0.0,10711.0,10711.0,0.0,281.0,-1340.0,,0.001,200000000.0,144542831.0,144542831.0,,144543.0,0.0,,,,,0.0,,,0.0,150277.0,,-150277.0,0.0,312.0,,441990.0,,221843.0,0.0,,,,,,0.0,,,14769.0,,0.0,-157460.0,0.0,150277.0,0.0,,150277.0,,10099.0,,,,0.0,87235.0,,-58474.0,,,0.0,,,0.0,,,240251.0,10711.0,240251.0,87235.0,0.0,0.0,0.0,-88575.0,-1340.0,-157460.0,,,,,,441990.0,,,,,,0.0,,0.0,10430.0,0.0,10430.0,,,0.0,,87235.0,,,,0.0,,,-441990.0,,14769.0,172229.0,0.0,,,-229540.0,,,,,,,144542831.0,
2014-03-31,2014-05-14,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,22807.0,,11653.0,,11154.0,,67907.0,,0.0,10650.0,10650.0,0.0,220.0,-61.0,,0.001,200000000.0,144542831.0,144542831.0,,144543.0,0.0,,,,,0.0,,,,,,,,0.0,,463530.0,,238923.0,0.0,,,,,,,,,2538.0,,0.0,-21540.0,0.0,7324.0,0.0,,7324.0,,4399.0,,,,,17080.0,,0.0,,,,,,0.0,,,261730.0,10650.0,261730.0,,0.0,,0.0,,-61.0,-21540.0,,,,,,,,,,,,0.0,,0.0,10430.0,0.0,10430.0,,,0.0,,,,,,0.0,,,,,2538.0,24078.0,0.0,,,-251080.0,,,,,,,144542831.0,
2014-06-30,2015-11-23,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,20707.0,,20451.0,,256.0,,67907.0,,0.0,10534.0,10534.0,0.0,104.0,,,0.001,200000000.0,144542831.0,144542831.0,,144543.0,0.0,,,,,,,,,,,,,,,,,258017.0,0.0,,,,,,,,,2538.0,,0.0,-17110.0,0.0,,,,,,,,,,,,,,,,,,,,,,278724.0,10534.0,278724.0,,,,,,,-17110.0,,,,,,480640.0,,,,,,0.0,,0.0,10430.0,,10430.0,,,,,,,,,0.0,,,-480640.0,,2538.0,19648.0,,,,-268190.0,,,,,,,144542831.0,
2014-09-30,2015-11-23,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,24192.0,,23679.0,,513.0,,67907.0,,0.0,10714.0,10714.0,0.0,284.0,,,0.001,200000000.0,144542831.0,144542831.0,,144543.0,0.0,,,,,,,,,,,,,,,,,268552.0,0.0,,,,,,,,,2346.0,,0.0,-13840.0,0.0,,,,,,,,,,,,,,,,,,,,,,292744.0,10714.0,292744.0,,,,,,,-13840.0,,,,,,494480.0,,,,,,0.0,,0.0,10430.0,,10430.0,,,,,,,,,0.0,,,-494480.0,,2346.0,16186.0,,,,-282030.0,,,,,,,144542831.0,
2014-12-31,2015-12-17,10-K,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,28463.0,,26284.0,,2179.0,,67907.0,,0.0,10573.0,10573.0,0.0,143.0,-138.0,,0.001,200000000.0,144542831.0,144542831.0,,144543.0,0.0,,,,,0.0,,,,,0.0,,,0.0,,,,279103.0,0.0,,,,0.165,,0.0,,,7615.0,,0.0,-67453.0,0.0,173211.0,0.0,,173211.0,,10055.0,,,,,57260.0,,0.0,,,0.0,,,0.0,,,307566.0,10573.0,307566.0,,0.0,,0.0,,-138.0,-67453.0,,,,,,509443.0,,,,,,0.0,,0.0,10430.0,0.0,10430.0,,,0.0,,,,,,0.0,,,-509443.0,,7615.0,75068.0,0.0,,,-296993.0,,,,,,,144542831.0,
2015-03-31,2015-12-23,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,31523.0,,23062.0,,8461.0,,67907.0,,0.0,10582.0,10582.0,0.0,152.0,9.0,,0.001,200000000.0,144542831.0,144542831.0,,144543.0,0.0,,,,,0.0,,,,,,,,0.0,,,,290154.0,0.0,,,,0.165,,0.0,,,2073.0,,0.0,-14102.0,0.0,4795.0,0.0,,4795.0,,3060.0,,,,,11051.0,,0.0,,,0.0,,,0.0,,,321677.0,10582.0,321677.0,,0.0,,0.0,,9.0,-14102.0,,,,,,523545.0,,,,,,0.0,,,10430.0,0.0,10430.0,,,0.0,,,,,,0.0,,,-523545.0,,2073.0,16175.0,0.0,,,-311095.0,,,,,,,144542831.0,
2015-06-30,2015-12-23,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,34602.0,,25884.0,,8718.0,,67907.0,,0.0,10617.0,10617.0,0.0,187.0,,,0.001,200000000.0,144542831.0,144542831.0,,144543.0,0.0,,,,,,,,,,,,,,,,,300766.0,0.0,,,,,,,,,2073.0,,0.0,-13656.0,0.0,,,,,,,,,,,,,,,,,,,,,,335368.0,10617.0,335368.0,,,,,,,-13656.0,,,,,,537201.0,,,,,,0.0,,,10430.0,,10430.0,,,,,,,,,0.0,,,-537201.0,,2073.0,15729.0,,,,-324751.0,,,,,,,144542831.0,
2015-09-30,2015-12-23,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,37651.0,,28677.0,,8974.0,,67907.0,,0.0,170.0,170.0,0.0,170.0,,,0.001,200000000.0,144542831.0,144542831.0,,144543.0,0.0,,,,,,,,,,,,,,,,,311311.0,0.0,,,,,,,,,2073.0,,0.0,-24041.0,0.0,,,,,,,,,,,,,,,,,,,,,,348962.0,170.0,348962.0,,,,,,,-24041.0,,,,,,561242.0,,,,,,0.0,,,0.0,,0.0,,,,,,,,,0.0,,,-561242.0,,2073.0,26114.0,,,,-348792.0,,,,,,,144542831.0,
2015-12-31,2016-03-30,10-K,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,28460.0,,26537.0,,1923.0,,165850.0,,0.0,39.0,39.0,0.0,39.0,-104.0,,0.001,200000000.0,179522531.0,179522531.0,,179522.0,0.0,,,,,0.0,,,,,0.0,,,0.0,,,,209658.0,0.0,,,,0.165,0.34,0.0,,,8292.0,,0.0,-74008.0,0.0,198373.0,0.0,,198373.0,,-3.0,,,,,-69445.0,,-10430.0,,,0.0,,,0.0,,,238118.0,39.0,238118.0,,132922.0,,0.0,,-133026.0,-74008.0,,,,,,583451.0,,,,,,0.0,,0.0,0.0,0.0,0.0,,,132922.0,,,,,,0.0,,,-583451.0,,8292.0,82300.0,0.0,,,-238079.0,,,,,,132922.0,148951232.0,
2016-03-31,2016-05-16,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,26750.0,,25532.0,,1218.0,,165850.0,,0.0,4036.0,4036.0,0.0,4036.0,3997.0,,0.001,200000000.0,179522531.0,179522531.0,,179522.0,0.0,,,,,0.0,,,,,0.0,,,0.0,,,,213486.0,0.0,,,,0.165,0.34,0.0,,,1885.0,,0.0,1879.0,0.0,0.0,0.0,,0.0,,-1710.0,,,,,3828.0,,,,,0.0,,,0.0,,,240236.0,4036.0,240236.0,,0.0,,0.0,,3997.0,1879.0,,,,,,581572.0,,,,,,11077.0,,,,0.0,,,,0.0,0.0,,,,,0.0,,,-581572.0,,1885.0,11083.0,0.0,,,-236200.0,,,,,,,179522531.0,
2016-06-30,2016-08-09,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,25792.0,,25407.0,,385.0,,165850.0,,0.0,1958.0,1958.0,0.0,1958.0,,,0.001,200000000.0,179522531.0,179522531.0,,179522.0,0.0,,,,,,,,,,0.0,,,,,,,225150.0,0.0,,,,,,,,,1884.0,,0.0,-12784.0,0.0,,,,,,,,,,,,,,,,,,,,,,250942.0,1958.0,250942.0,,,,,,,-12784.0,,,,,,594356.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,-594356.0,,1884.0,14668.0,,,,-248984.0,,,,,,,179522531.0,
2016-09-30,2016-10-28,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,26150.0,,25765.0,,385.0,,165850.0,,0.0,7754.0,7754.0,0.0,7754.0,,,0.001,200000000.0,179522531.0,179522531.0,,179522.0,0.0,,,,,,,,,,0.0,,,,,,,239585.0,0.0,,,,,,,,,1885.0,,0.0,-8997.0,0.0,,,,,,,,,,,,,,,,,,,,,,265735.0,7754.0,265735.0,,,,,,,-8997.0,,,,,,603353.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,-603353.0,,1885.0,10882.0,,,,-257981.0,,,,,,,179522531.0,
