end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,AdjustmentsToAdditionalPaidInCapitalOther,Assets,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DeferredIncomeTaxExpenseBenefit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToOfficersOrStockholdersNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInInterestPayableNet,InterestAndDebtExpense,InterestExpense,InterestPaid,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromIssuanceOfDebt,ProfitLoss,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,ValuationAllowanceAmount,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2015-01-31,2015-05-01,10-K,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,15000.0,8418684.0,,,27032.0,27032.0,17269.0,,,0.001,200000000.0,1899575.0,1899575.0,1900.0,0.0,0.0,,-25935.0,-4015.0,3292861.0,0.0,3292861.0,3292861.0,,326242.0,,-0.04,,0.0,0.34,0.373,,0.033,-80295.0,0.0,0.0,37564.0,,27562.0,27562.0,0.0,341242.0,27032.0,15000.0,60000.0,-42731.0,-42731.0,,,52733.0,-52733.0,8735000.0,0.001,50000000.0,0.0,0.0,0.0,60000.0,-80295.0,-8734794.0,,0.0,52733.0,-314210.0,,,-29950.0,,1899575.0,
2015-04-30,2015-06-03,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,18000.0,8418684.0,,,23157.0,23157.0,-3875.0,,,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,,333563.0,,-0.01,,,,,,,-14196.0,0.0,0.0,10321.0,,7321.0,7321.0,0.0,351563.0,23157.0,18000.0,0.0,-3875.0,-3875.0,,,6875.0,-6875.0,,0.001,50000000.0,0.0,0.0,0.0,0.0,-14196.0,-8748990.0,,0.0,6875.0,-328406.0,,,,,1899575.0,
2015-07-31,2015-09-04,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,9000.0,8418684.0,,,46337.0,46337.0,,,,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,,382022.0,,-0.01,,,,,,,-16279.0,0.0,,,,8459.0,8459.0,,391022.0,46337.0,9000.0,,,,,,7820.0,-7820.0,,0.001,50000000.0,0.0,0.0,0.0,,-16279.0,-8765269.0,,0.0,7820.0,-344685.0,,,,,1899575.0,
2015-10-31,2015-12-15,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,18200.0,8418684.0,,,40243.0,40243.0,,,,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,,390714.0,,-0.01,,,,,,,-23986.0,0.0,,,,8692.0,8692.0,,408914.0,40243.0,18200.0,,,,,,15294.0,-15294.0,,0.001,50000000.0,0.0,0.0,0.0,,-23986.0,-8789255.0,,0.0,15294.0,-368671.0,,,,,1899575.0,
2016-01-31,2016-05-02,10-K,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,29300.0,8418684.0,,,34807.0,34807.0,7775.0,,,0.001,200000000.0,1899575.0,1899575.0,1900.0,0.0,0.0,,-25740.0,-3984.0,3322585.0,0.0,3322585.0,3322585.0,,399406.0,,-0.04,,0.0,0.34,0.373,,0.033,-79689.0,0.0,0.0,14300.0,33164.0,33164.0,33164.0,0.0,428706.0,34807.0,29300.0,40000.0,-32225.0,,,,46525.0,-46525.0,8814000.0,0.001,50000000.0,0.0,0.0,0.0,40000.0,-79689.0,-8814483.0,,0.0,46525.0,-393899.0,,,-29724.0,,1899575.0,
2016-04-30,2016-06-14,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,35200.0,8418684.0,,,30932.0,30932.0,-3875.0,,,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,,407909.0,,-0.01,,,,,,,-18278.0,0.0,0.0,5900.0,8503.0,8503.0,8503.0,0.0,443109.0,30932.0,35200.0,,-3875.0,,,,9775.0,-9775.0,,0.001,50000000.0,0.0,0.0,0.0,,-18278.0,-8832761.0,,0.0,9775.0,-412177.0,,,,,1899575.0,
2016-07-31,2016-08-31,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,29500.0,8418684.0,,,13157.0,13157.0,,,,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,,416601.0,,-0.01,,,,,,,-20767.0,0.0,,,,8692.0,8692.0,,446101.0,13157.0,29500.0,,,,,,12075.0,-12075.0,,0.001,50000000.0,0.0,0.0,0.0,,-20767.0,-8853528.0,,0.0,12075.0,-432944.0,,,,,1899575.0,
2016-10-31,2016-12-09,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,33000.0,8418684.0,,,45644.0,45644.0,,,,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,,465500.0,,-0.01,,,,,,,-19912.0,0.0,,,,8899.0,8899.0,,498500.0,45644.0,33000.0,,,,,,11013.0,-11013.0,,0.001,50000000.0,0.0,0.0,0.0,,-19912.0,-8873440.0,,0.0,11013.0,-452856.0,,,,,1899575.0,
2017-01-31,2017-04-21,10-K,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,47300.0,8418684.0,,,40059.0,40059.0,5252.0,,,0.001,200000000.0,1899575.0,1899575.0,1900.0,0.0,0.0,,-28637.0,-4433.0,3355655.0,0.0,3355655.0,3355655.0,,475317.0,,-0.05,,0.0,0.34,0.373,0.0,0.033,-88659.0,0.0,0.0,18000.0,35911.0,35911.0,35911.0,0.0,522617.0,40059.0,47300.0,40000.0,-34748.0,,,,52748.0,-52748.0,8903000.0,0.001,50000000.0,0.0,0.0,0.0,40000.0,-88659.0,-8903142.0,,0.0,52748.0,-482558.0,,,-33070.0,,1899575.0,
2017-04-30,2017-06-13,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,51200.0,8418684.0,,,33985.0,33985.0,-6074.0,,,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,,484813.0,,-0.01,,,,,,,-19470.0,0.0,0.0,3900.0,9496.0,9496.0,9496.0,0.0,536013.0,33985.0,51200.0,0.0,-6074.0,,,,9974.0,-9974.0,,0.001,50000000.0,0.0,0.0,0.0,0.0,-19470.0,-8922612.0,,0.0,9974.0,-502028.0,,,,,1899575.0,
2017-07-31,2017-09-06,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,44700.0,8418684.0,,,16200.0,16200.0,,,,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,,494629.0,,-0.01,,,,,,,-21101.0,0.0,,,,9817.0,9817.0,,539329.0,16200.0,44700.0,,,,,,11284.0,-11284.0,,0.001,50000000.0,0.0,0.0,0.0,,-21101.0,-8943713.0,,0.0,11284.0,-523129.0,,,,,1899575.0,
2017-10-31,2017-12-14,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,29800.0,8418684.0,,,13875.0,13875.0,,,,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,,524879.0,,-0.01,,,,,,,-17675.0,0.0,,,,10250.0,10250.0,,554679.0,13875.0,29800.0,,,,,,7425.0,-7425.0,,0.001,50000000.0,0.0,0.0,0.0,,-17675.0,-8961388.0,,0.0,7425.0,-540804.0,,,,,1899575.0,
2018-01-31,2018-04-16,10-K,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,40500.0,8418684.0,,,6052.0,6052.0,-34007.0,6052.0,,0.001,200000000.0,1899575.0,1899575.0,1900.0,0.0,0.0,,2301519.0,339821.0,714315.0,0.0,714315.0,714315.0,,535257.0,,-0.05,,0.0,0.3292,-30.309,-3.857,0.0369,-87147.0,0.0,0.0,-6800.0,39940.0,39941.0,39941.0,0.0,575757.0,6052.0,40500.0,20000.0,-54007.0,,,,47206.0,-47206.0,2818000.0,0.001,50000000.0,0.0,0.0,0.0,20000.0,-87147.0,-8990289.0,0.0,0.0,47206.0,-569705.0,,,2641340.0,,1899575.0,
2018-04-30,2018-06-13,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,45500.0,8418684.0,,,26952.0,26952.0,20900.0,,,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,,570970.0,,-0.01,,,,,,,-19813.0,0.0,0.0,5000.0,10713.0,10713.0,10713.0,0.0,616470.0,26952.0,45500.0,25000.0,-4100.0,,,,9100.0,-9100.0,,0.001,50000000.0,0.0,0.0,0.0,25000.0,-19813.0,-9010102.0,0.0,0.0,9100.0,-589518.0,,,,,1899575.0,
2018-07-31,2018-09-07,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,37960.0,8418684.0,,,9771.0,9771.0,,,,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,,582051.0,,-0.01,,,,,,,-20722.0,0.0,,,,11081.0,11081.0,,620011.0,9771.0,37960.0,,,,,,9641.0,-9641.0,,0.001,50000000.0,0.0,0.0,0.0,,-20722.0,-9030824.0,0.0,0.0,9641.0,-610240.0,,,,,1899575.0,
2018-10-31,2018-12-07,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,38900.0,8418684.0,,,28675.0,28675.0,,,,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,,618399.0,,-0.01,,,,,,,-18384.0,0.0,,,,11348.0,11348.0,,657299.0,28675.0,38900.0,,,,,,7036.0,-7036.0,,0.001,50000000.0,0.0,0.0,0.0,,-18384.0,-9049208.0,0.0,0.0,7036.0,-628624.0,,,,,1899575.0,
2019-01-31,2019-04-09,10-K,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,48941.0,8418684.0,,,23388.0,23388.0,17336.0,23388.0,17336.0,0.001,200000000.0,1899575.0,1899575.0,1900.0,0.0,0.0,,-18067.0,-3742.0,736124.0,0.0,736124.0,736124.0,,630183.0,,-0.05,,0.0,0.21,0.2535,0.0,0.0435,-86031.0,0.0,0.0,8441.0,44926.0,44926.0,44926.0,0.0,679124.0,23388.0,48941.0,50000.0,-32664.0,,,,41105.0,-41105.0,2818000.0,0.001,50000000.0,0.0,0.0,0.0,50000.0,-86031.0,-9076320.0,0.0,,41105.0,-655736.0,,,-21809.0,,1899575.0,
2019-04-30,2019-06-12,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,41240.0,8418684.0,,,8307.0,8307.0,-15081.0,8307.0,-15081.0,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,,641583.0,,-0.01,,,,,,,-18780.0,0.0,0.0,-7701.0,11400.0,11400.0,11400.0,0.0,682823.0,8307.0,41240.0,0.0,-15081.0,,,,7380.0,-7380.0,,0.001,50000000.0,0.0,0.0,0.0,0.0,-18780.0,-9095100.0,0.0,,7380.0,-674516.0,,,,,1899575.0,
2019-07-31,2019-09-10,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,42603.0,8418684.0,,,42436.0,42436.0,,42436.0,,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,,694235.0,,-0.01,,,,,,,-19886.0,0.0,,,,12652.0,12652.0,,736838.0,42436.0,42603.0,,,,,,7234.0,-7234.0,,0.001,50000000.0,0.0,0.0,0.0,,-19886.0,-9114986.0,0.0,,7234.0,-694402.0,,,,,1899575.0,
2019-10-31,2019-12-05,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,43803.0,8418684.0,,,35993.0,35993.0,,35993.0,,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,,707144.0,,-0.01,,,,,,,-20552.0,0.0,,,,12909.0,12909.0,,750947.0,35993.0,43803.0,,,,,,7643.0,-7643.0,,0.001,50000000.0,0.0,0.0,0.0,,-20552.0,-9135538.0,0.0,,7643.0,-714954.0,,,,,1899575.0,
2020-01-31,2020-05-14,10-K,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,53140.0,8418684.0,,,29772.0,29772.0,,29772.0,6384.0,0.001,200000000.0,1899575.0,1899575.0,1900.0,0.0,0.0,,-18414.0,21015.0,733522.0,0.0,733522.0,733522.0,,720052.0,,-0.05,,0.0,0.21,-0.0297,-0.2749,0.0352,-87684.0,0.0,0.0,4199.0,49869.0,49869.0,49869.0,0.0,773192.0,29772.0,53140.0,40000.0,-33616.0,,,,37815.0,-37815.0,2992000.0,0.001,50000000.0,0.0,0.0,0.0,40000.0,-87684.0,-9164004.0,0.0,,37815.0,-743420.0,,,2601.0,,1899575.0,
2020-04-30,2020-06-12,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,57121.0,8418684.0,,,25782.0,25782.0,,25782.0,-3990.0,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,,732680.0,,-0.01,,,,,,,-20599.0,0.0,0.0,3981.0,12628.0,12628.0,12628.0,0.0,789801.0,25782.0,57121.0,0.0,-3990.0,,,,7971.0,-7971.0,,0.001,50000000.0,0.0,0.0,0.0,0.0,-20599.0,-9184603.0,0.0,,7971.0,-764019.0,,,,,1899575.0,
2020-07-31,2020-09-11,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,49266.0,8418684.0,,,10207.0,10207.0,,10207.0,,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,,745588.0,-0.01,-0.01,-0.01,,,,,,-20628.0,0.0,,,,12908.0,12908.0,,794854.0,10207.0,49266.0,,,,,,7720.0,-7720.0,,0.001,50000000.0,0.0,0.0,0.0,,-20628.0,-9205231.0,0.0,,7720.0,-784647.0,,,,1899575.0,1899575.0,1899575.0
2020-10-31,2020-11-25,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,50741.0,8418684.0,,,4653.0,4653.0,,4653.0,,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,,758497.0,-0.01,-0.01,-0.01,,,,,,-19938.0,0.0,,,,12909.0,12909.0,,809238.0,4653.0,50741.0,,,,,,7029.0,-7029.0,,0.001,50000000.0,0.0,0.0,0.0,,-19938.0,-9225169.0,0.0,,7029.0,-804585.0,,,,1899575.0,1899575.0,1899575.0
2021-01-31,2021-04-13,10-K,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,62673.0,8418684.0,,,8608.0,8608.0,,8608.0,-21164.0,0.001,200000000.0,1899575.0,1899575.0,1900.0,0.0,0.0,,-19355.0,-3244.0,756121.0,0.0,756121.0,756121.0,,781522.0,,-0.05,,0.0,0.21,0.2452,0.0,0.0352,-92167.0,0.0,0.0,9533.0,51470.0,51470.0,51470.0,0.0,844195.0,8608.0,62673.0,10000.0,-31164.0,,,,40697.0,-40697.0,3084000.0,0.001,50000000.0,0.0,0.0,0.0,10000.0,-92167.0,-9256171.0,0.0,,40697.0,-835587.0,,,-22599.0,,1899575.0,
2021-04-30,2021-06-11,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,54975.0,8418684.0,,,12729.0,12729.0,,12729.0,4121.0,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,,814599.0,,-0.01,,,,,,,-21258.0,0.0,0.0,-7698.0,13077.0,13077.0,13077.0,0.0,869574.0,12729.0,54975.0,20000.0,-15879.0,,,,8181.0,-8181.0,,0.001,50000000.0,0.0,0.0,0.0,20000.0,-21258.0,-9277429.0,0.0,,8181.0,-856845.0,,,,,1899575.0,
2021-07-31,2021-09-14,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,56173.0,8418684.0,,,9348.0,9348.0,,9348.0,,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,,831091.0,-0.01,,-0.01,,,,,,-21071.0,0.0,,,,13773.0,13773.0,,887264.0,9348.0,56173.0,,,,,,7298.0,-7298.0,,0.001,50000000.0,0.0,0.0,0.0,,-21071.0,-9298500.0,0.0,,7298.0,-877916.0,,,,1899575.0,,1899575.0
2021-10-31,2021-12-07,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,7225.0,8418684.0,,,13946.0,13946.0,,13946.0,,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,,906491.0,-0.01,,-0.01,,,,,,-21854.0,0.0,,,,14517.0,14517.0,,913716.0,13946.0,7225.0,,,,,,7337.0,-7337.0,,0.001,50000000.0,0.0,0.0,0.0,,-21854.0,-9320354.0,0.0,,7337.0,-899770.0,,,,1899575.0,,1899575.0
