end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableTradeCurrent,AccretionExpense,AccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AssetImpairmentCharges,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ConvertibleNotesPayable,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleNumberOfEquityInstruments,DebtInstrumentFaceAmount,DebtInstrumentInterestRateEffectivePercentage,DeferredIncomeTaxExpenseBenefit,DeferredRevenue,DeferredRevenueCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsUnrealizedLossesOnAvailableforSaleSecuritiesGross,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilitiesNoncurrent,DeferredTaxLiabilitiesUnrealizedGainsOnTradingSecurities,Deposits,DueFromOfficersOrStockholders,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,EquityMethodInvestmentRealizedGainLossOnDisposal,ExplorationExpense,FairValueAssumptionsRiskFreeInterestRate,FairValueAssumptionsWeightedAverageVolatilityRate,FeesAndCommissionsTransferAgent,ForeignCurrencyTransactionGainBeforeTax,ForeignCurrencyTransactionGainLossBeforeTax,GainLossOnInvestments,GainLossOnSaleOfEquityInvestments,GainLossOnSaleOfInvestments,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxEffectsAllocatedDirectlyToEquity,IncomeTaxExpenseBenefit,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationPriorYearIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInPrepaidExpense,InterestAndDebtExpense,InterestExpense,InterestExpenseDebt,InterestIncomeOther,InterestPaidNet,InterestPayableCurrent,InvestmentIncomeInterest,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermInvestments,MarketingExpense,MineralPropertiesNet,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpenseTransferAgentAndCustodianFees,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFourAndFiveYears,OperatingLeasesFutureMinimumPaymentsDueInTwoAndThreeYears,OperatingLeasesFutureMinimumPaymentsDueThereafter,OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherIncome,PaymentsForOtherDeposits,PaymentsForRent,PaymentsToAcquireMineralRights,PaymentsToAcquireMiningAssets,PaymentsToAcquireOilAndGasPropertyAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromNotesPayable,ProceedsFromOtherDeposits,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProceedsFromSaleOfInvestmentProjects,ProfessionalFees,RepaymentsOfNotesPayable,RepaymentsOfOtherDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueGoodsNet,ShareBasedCompensation,SharesIssuedPricePerShare,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPurchaseOfAssets,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValuePurchaseOfAssets,StockRepurchasedAndRetiredDuringPeriodShares,SubscriptionRevenue,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2017-03-31,2017-05-15,10-Q,NEVADA CANYON GOLD CORP.,NGLD,CIK0001605481,USD,6800.0,,,,,,457695.0,,,95843.0,30843.0,,15176.0,-36613.0,,,,,0.0001,100000000.0,44050000.0,44050000.0,4405.0,,,,,,,,,,,,,,,,,,,93000.0,93000.0,,0.0,,,,,,20008.0,,,,,,,,,4945.0,,,,,,,,,-1400.0,,,,659.0,,,,,,,,,,95843.0,99800.0,,,65000.0,-5000.0,,-31613.0,-29554.0,2101.0,,-29554.0,,,,,,,,,,,,,,,,,0.0001,10000000.0,,,15667.0,,,,,,-5000.0,,,-5000.0,,,2500.0,,,-466057.0,,,,,-3957.0,,,,,,,,,,,44050000.0
2017-06-30,2017-08-14,10-Q,NEVADA CANYON GOLD CORP.,NGLD,CIK0001605481,USD,6042.0,,,,,,457695.0,,,91541.0,11541.0,,4538.0,,,,,,0.0001,100000000.0,44050000.0,44050000.0,4405.0,,,,,,,,,,,,,,,,,,,93000.0,93000.0,,0.0,,,,,,9284.0,,,,,,,,,5885.0,,,,,,,,,,,,,,,,,,,,,,,91541.0,99042.0,,,80000.0,,,,-3544.0,1875.0,,18544.0,,,25000.0,20000.0,40000.0,15000.0,,,,,,,,,,,0.0001,10000000.0,,,7003.0,,,,,,,,,,,,1500.0,,,-469601.0,15000.0,,,,-7501.0,,,,,,,,,,,44050000.0
2017-09-30,2017-11-13,10-Q,NEVADA CANYON GOLD CORP.,NGLD,CIK0001605481,USD,10800.0,,,,,27618.0,457695.0,,,2444786.0,20497.0,,4508.0,,,,,,0.0001,100000000.0,44050000.0,44050000.0,4405.0,2279487.0,,,,,,,,,,,,,,,,,,107000.0,107000.0,0.05,,0.05,,,,,3223.0,,,,,,,27618.0,,4085.0,2251869.0,,,,,,,,,,,,,,,,,,,,,,2444786.0,172800.0,2355137.0,,69152.0,,,,2251869.0,5842.0,55000.0,15650.0,,,25000.0,20000.0,40000.0,15000.0,,,,,,,,,,,0.0001,10000000.0,,,15989.0,,,,,,,,,,,,2500.0,,,1782268.0,5000.0,,,,2271986.0,,,,,,,,,,,44050000.0
2017-12-31,2018-04-16,10-K,NEVADA CANYON GOLD CORP.,NGLD,CIK0001605481,USD,150800.0,,144500.0,,6300.0,-652722.0,522645.0,,,1418929.0,11230.0,,2981.0,-48808.0,2981.0,-48808.0,,,0.0001,100000000.0,44550000.0,44550000.0,4455.0,533422.0,,,,,,358228.0,,,-21978.0,21978.0,81048.0,-103026.0,,21978.0,103026.0,,,567132.0,567132.0,0.03,,0.03,,0.34,,,152515.0,,,,,,,-652722.0,,558875.0,1544372.0,336250.0,358228.0,,-13606.0,525086.0,,-1292.0,142600.0,142600.0,435000.0,,-6759.0,,,,,,,,,794910.0,1418929.0,772932.0,1338547.0,,69152.0,89132.0,-69152.0,-68788.0,1186144.0,14253.0,55000.0,738147.0,,,25000.0,20000.0,40000.0,15000.0,385939.0,,-652722.0,,,,69152.0,,,,0.0001,10000000.0,,,8249.0,,,,55000.0,,34132.0,,,34132.0,,,12504.0,,,749641.0,,,65000.0,,624019.0,,500000.0,,,65000.0,,,,,151960.0,44140411.0
2018-03-31,2018-05-15,10-Q,NEVADA CANYON GOLD CORP.,NGLD,CIK0001605481,USD,149661.0,,,,,,522645.0,,,1054841.0,10164.0,,3612.0,631.0,3612.0,631.0,,,0.0001,100000000.0,44550000.0,44550000.0,4455.0,,,,,,,-21978.0,,,,,,,,,,,,577132.0,,-0.01,-0.01,-0.01,,,,,,,,,,,,-363022.0,,3443.0,-372949.0,,,,,,,,-1139.0,-1139.0,,,-1697.0,,,,,,,,,781793.0,1054841.0,781793.0,975525.0,,69152.0,10000.0,,-9369.0,-350971.0,4984.0,55000.0,9927.0,,,25000.0,20000.0,40000.0,15000.0,,,,,,,,,,,0.0001,10000000.0,,,6552.0,,,,,,,,,10000.0,,,1500.0,,,-254052.0,,,,,273048.0,,,,,,,,,,,44550000.0
2018-06-30,2018-07-30,10-Q,NEVADA CANYON GOLD CORP.,NGLD,CIK0001605481,USD,158545.0,,,,,,522645.0,,,1030984.0,5599.0,,1730.0,,1730.0,,,,0.0001,100000000.0,44550000.0,44550000.0,4455.0,,,,,,,,,,,,,,,,,,,582132.0,,,0.0,,,,,,,,,,,,,-19293.0,,8228.0,-37741.0,,,,,,,,,,,,,,,,,,,,,795677.0,1030984.0,795677.0,956233.0,,69152.0,,,,-37741.0,4220.0,55000.0,18448.0,,15000.0,25000.0,20000.0,40000.0,15000.0,,,,,,,,,,,0.0001,10000000.0,,,3869.0,,,,,,,,,,,,6000.0,,,-291793.0,,,,,235307.0,,,,,,,,,,,44550000.0
2018-09-30,2018-11-13,10-Q,NEVADA CANYON GOLD CORP.,NGLD,CIK0001605481,USD,153700.0,,,,,,522645.0,,,815339.0,4887.0,,1954.0,,1954.0,,,,0.0001,100000000.0,44550000.0,44550000.0,4455.0,-170864.0,,,,,,,,,,,,,,,,,,582132.0,,0.0,,0.0,,,,,2511.0,,,,,,,-145780.0,,3113.0,-170864.0,,,,,,,,,,,,,,,,,,,,,750896.0,815339.0,750896.0,810452.0,,,,,,-170864.0,2508.0,15064.0,10932.0,,15000.0,25000.0,20000.0,40000.0,15000.0,,,,,,,,,,,0.0001,10000000.0,,,2933.0,,,,,,,,,,,,2800.0,,,-462657.0,,,,,64443.0,,,,,,,,,,,44550000.0
2018-12-31,2019-04-01,10-K,NEVADA CANYON GOLD CORP.,NGLD,CIK0001605481,USD,282500.0,,272700.0,,9800.0,,522645.0,,,925780.0,2884.0,,1601.0,,1601.0,-1380.0,,0.0001,0.0001,100000000.0,44550000.0,44550000.0,4455.0,-817935.0,,,,,,-21978.0,,,149788.0,,165527.0,,149788.0,,15739.0,,,822132.0,,-0.02,,-0.02,,0.21,,,122511.0,,,,,,,-415651.0,,257612.0,-839913.0,,-21978.0,,-13606.0,-176382.0,,35584.0,,131700.0,240000.0,,-6966.0,,,,,,,,,1119696.0,925780.0,1119696.0,922896.0,,,30064.0,,-31444.0,-817935.0,13387.0,15064.0,410110.0,,15000.0,25000.0,20000.0,40000.0,15000.0,1200000.0,,,,,,,,,0.0001,0.0001,10000000.0,,,1283.0,,,,15064.0,,1100.0,,,15000.0,,,16600.0,,,-721016.0,,,,,-193916.0,,,,,,,,,,-132426.0,44550000.0
2019-03-31,2019-05-15,10-Q,NEVADA CANYON GOLD CORP.,NGLD,CIK0001605481,USD,292409.0,,282909.0,,9500.0,,522645.0,,,2033286.0,442170.0,,440703.0,,440703.0,439102.0,,,0.0001,100000000.0,44550000.0,44550000.0,4455.0,,,,,,,,,,,,,,,,,,,882232.0,,0.02,,0.02,,,,247524.0,30000.0,,,,7504.0,3772.0,247524.0,890801.0,247524.0,70384.0,1037497.0,,,,,,,,,9909.0,60100.0,,184.0,,,,468.0,468.0,,468.0,,1189705.0,2033286.0,,1591116.0,,,,478077.0,-38975.0,1037497.0,2484.0,15064.0,105068.0,,,,,,,,,,,,,,,,,0.0001,10000000.0,,,1467.0,,,,,,,,,,,478077.0,2200.0,,,316481.0,,,,,843581.0,,,,,,,,,,,44550000.0
2019-06-30,2019-08-13,10-Q,NEVADA CANYON GOLD CORP.,NGLD,CIK0001605481,USD,331133.0,,326633.0,,4500.0,,522645.0,,,2678151.0,,,446861.0,,446861.0,,,,0.0001,100000000.0,44550000.0,44550000.0,4455.0,,,,,,,,,,,,,,,,,,,942232.0,,0.01,,0.01,,,,,30687.0,,,,,19033.0,,624327.0,,63013.0,545041.0,,,,,,,,,,,,,,,,1556.0,,,1556.0,,1289529.0,2678151.0,,2226707.0,,,,,,545041.0,1675.0,16164.0,99875.0,,,,,,,,,,,,,,,,,0.0001,10000000.0,,,4583.0,,,,,,,,,,,,4500.0,,,861522.0,,,,,1388622.0,,,,,,,,,,,44550000.0
2019-09-30,2019-11-12,10-Q,NEVADA CANYON GOLD CORP.,NGLD,CIK0001605481,USD,349000.0,,346500.0,,2500.0,,522645.0,,,1556672.0,427116.0,,424183.0,,424183.0,,,,0.0001,100000000.0,44550000.0,44550000.0,4455.0,,,,,,,,,,,,,,,,,,,1002232.0,,-0.27,,-0.27,,,,,32541.0,,,,,-7729.0,,-1093853.0,,62775.0,-1199346.0,,,,,,,,,,,,,,,,1577.0,,,1577.0,,1367396.0,1556672.0,,1129556.0,,,,,,-1199346.0,2325.0,16164.0,99341.0,,,,,,,,,,,,,,,,,0.0001,10000000.0,,,2933.0,,,,,,,,,,,,1700.0,,,-337824.0,,,,,189276.0,,,,,,,,,,,4455000.0
