end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesFairValueDisclosure,AccountsPayableAndOtherAccruedLiabilities,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableTradeCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AmortizationOfIntangibleAssets,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CapitalizedComputerSoftwareGross,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockValue,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,ConstructionInProgressGross,CostOfGoodsAndServicesSold,CurrentIncomeTaxExpenseBenefit,CustomerAdvancesAndDeposits,CustomerDepositsCurrent,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentInterestRateDuringPeriod,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,DepreciationAmortizationAndAccretionNet,DepreciationDepletionAndAmortization,DueFromRelatedParties,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectOfExchangeRateOnCashAndCashEquivalents,ExtinguishmentOfDebtAmount,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsNet,ForeignCurrencyTransactionGainLossBeforeTax,GainLossOnDispositionOfAssets,GainLossRelatedToLitigationSettlement,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInventories,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInRestructuringReserve,IntangibleAssetsNetExcludingGoodwill,InterestExpense,InterestExpenseOther,InterestIncomeExpenseNet,InterestPaid,InterestPaidNet,InterestPayableCurrent,InventoryNet,InventoryNoncurrent,InventoryRawMaterials,LeaseAndRentalExpense,LeaseholdImprovementsGross,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LitigationSettlementAmountAwardedToOtherParty,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NotesAndLoansPayable,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,OccupancyNet,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsDueThereafter,OperatingLossCarryforwards,OtherComprehensiveIncomeLossBeforeTax,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherGeneralExpense,OtherIntangibleAssetsNet,OtherNonoperatingExpense,OtherNonoperatingIncomeExpense,PaymentsToAcquireIntangibleAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOwnedAccumulatedDepreciation,PublicUtilitiesPropertyPlantAndEquipmentNet,ReceivablesNetCurrent,RelatedPartyTransactionDueFromToRelatedParty,RetainedEarningsAccumulatedDeficit,Revenues,SecurityDeposit,SellingGeneralAndAdministrativeExpense,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsWeightedAverageExpectedDividend,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsWeightedAverageVolatilityRate,StockholdersEquity,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,ValuationAllowancesAndReservesPeriodIncreaseDecrease,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2012-11-30,2013-01-16,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,408000.0,,68000.0,,35000.0,,,27180000.0,,0.0,,9000.0,,3000.0,3000.0,,,1000.0,,,,,,,,,,,,,,,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000.0,,,,,,,,,,,,9000.0,889000.0,,,,,,-30000.0,,446000.0,,,,,,-19000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,,6000.0,,,,,,,,,,,-28061000.0,,,19000.0,,,,,-880000.0,,,,,1179000.0,
2013-02-28,2013-06-12,10-K,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,412000.0,,68000.0,,33000.0,,,27180000.0,,,,15000.0,,12000.0,12000.0,5000.0,,1000.0,,,,,,,,,,,,,,,-0.09,,,,,,,,,,,,,,,,,,,,65000.0,,,,,,,,,,14000.0,,43000.0,,,,,,,,,,,,15000.0,921000.0,,,,,-38000.0,-103000.0,,476000.0,,,,,,-60000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,,3000.0,,,43000.0,-103000.0,,,,,,,-28087000.0,,,60000.0,,,,,-906000.0,,,,,1179000.0,
2013-05-31,2013-07-15,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,414000.0,,68000.0,,38000.0,,,27180000.0,,0.0,,9000.0,,9000.0,9000.0,-3000.0,,1000.0,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,25000.0,,,,,,,,-3000.0,,0.0,,12000.0,,,,,,,,,,,,9000.0,940000.0,,,,,-3000.0,-25000.0,,488000.0,,,,,,-13000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,,,,,,-25000.0,,,,,,,-28112000.0,0.0,,13000.0,,0.05,0.0,,-931000.0,,,,,1179000.0,
2013-08-31,2013-10-03,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,411000.0,,68000.0,,36000.0,,,27180000.0,,,,15000.0,,5000.0,5000.0,,,1000.0,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000.0,,,,,,,,,,,,15000.0,972000.0,,,,,,-26000.0,,525000.0,,,,,,-14000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,,10000.0,,,,,,,,,,,-28138000.0,0.0,,14000.0,,,,,-957000.0,,,,,1179000.0,
2013-11-30,2014-01-13,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,416000.0,,68000.0,,35000.0,,,27180000.0,,0.0,,22000.0,,15000.0,15000.0,,,1000.0,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000.0,,,,,,,,,,,,22000.0,1006000.0,,,,,,-27000.0,,555000.0,,,,,,-14000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,,7000.0,,,,,,,,,,,-28165000.0,0.0,,14000.0,,,,,-984000.0,,,,,1179000.0,
2014-02-28,2014-06-06,10-K,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,422000.0,,68000.0,,33000.0,,,27180000.0,,,,11000.0,,8000.0,8000.0,-4000.0,,1000.0,,,,,,,,,,,,,,,-0.09,,,,,,,,,,,,,,,,,,,,60000.0,,,,,,,,,,14000.0,,51000.0,,,,,,,,,12000.0,,,11000.0,1023000.0,,,,,-46000.0,-106000.0,,568000.0,,,,,,-55000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,0.0,3000.0,,,42000.0,-106000.0,,,,,,,-28193000.0,0.0,,55000.0,,,,,-1012000.0,,,,,1179000.0,
2014-05-31,2014-06-23,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,400000.0,,68000.0,,41000.0,,,27180000.0,,0.0,,12000.0,,12000.0,12000.0,4000.0,,1000.0,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,-3000.0,,0.0,,14000.0,,,,,,,,,,,,12000.0,1053000.0,,,,,-26000.0,-29000.0,,612000.0,,,,,,-15000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,,,,,30000.0,-29000.0,,,,,,,-28222000.0,0.0,,15000.0,,0.05,0.0,,-1041000.0,,,,,1179000.0,
2014-08-31,2014-10-17,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,416000.0,,68000.0,,33000.0,,,27180000.0,,,,6000.0,,2000.0,2000.0,,,1000.0,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000.0,,,,,,,,,,,,6000.0,1076000.0,,,,,,-29000.0,,627000.0,,,,,,-14000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,0.0,4000.0,,,,,,,,,,,-28251000.0,0.0,,14000.0,,,,,-1070000.0,,,,,1179000.0,
2014-11-30,2015-01-14,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,408000.0,,68000.0,,36000.0,,,27180000.0,,0.0,,8000.0,,4000.0,4000.0,,,1000.0,,,,,,,,,,,,,,,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000.0,,,,,,,,,,,,8000.0,1110000.0,,,,,,-32000.0,,666000.0,,,,,,-17000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,0.0,4000.0,,,,,,,,,,,-28283000.0,0.0,,17000.0,,,,,-1102000.0,,,,,1179000.0,
2015-02-28,2015-06-15,10-K,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,414000.0,,68000.0,,36000.0,,,27180000.0,,,,15000.0,,12000.0,12000.0,4000.0,,1000.0,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,53000.0,,,,,,,,,,14000.0,,58000.0,,,,,,,,,12000.0,,,15000.0,1143000.0,,,,,-63000.0,-116000.0,,693000.0,,,,,,-58000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,0.0,3000.0,,,67000.0,-116000.0,,,,,,,-28309000.0,0.0,,58000.0,,,,,-1128000.0,,,,,1179000.0,
2015-05-31,2015-07-09,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,412000.0,,68000.0,,35000.0,,,27180000.0,,0.0,,8000.0,,8000.0,8000.0,-4000.0,,1000.0,,,,,,,,,,,,,,,-0.03,,,,,,,,,,,,,,,,,,,,14000.0,,,,,,,,-3000.0,,0.0,,16000.0,,,,,,,,,,,,8000.0,1167000.0,,,,,-14000.0,-31000.0,,720000.0,,,,,,-15000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,0.0,0.0,,,10000.0,-31000.0,,,,,,,-28340000.0,0.0,,15000.0,,0.05,0.0,,-1159000.0,,,,,1179000.0,
2015-08-31,2015-10-06,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,409000.0,,68000.0,,38000.0,,,27180000.0,,,,16000.0,,12000.0,12000.0,,,1000.0,,,,,,,,,,,,,,,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17000.0,,,,,,,,,,,,16000.0,1213000.0,,,,,,-38000.0,,766000.0,,,,,,-21000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,0.0,4000.0,,,,,,,,,,,-28378000.0,0.0,,21000.0,,,,,-1197000.0,,,,,1179000.0,
2015-11-30,2016-01-14,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,414000.0,106000.0,68000.0,,39000.0,,,27180000.0,,0.0,,8000.0,,4000.0,4000.0,,,1000.0,,,,,,,,,,,,,,,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,17000.0,,,,,,,,,,,,8000.0,1236000.0,,,,,,-31000.0,,783000.0,464000.0,,,,,-14000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,0.0,4000.0,,,,,,,,,,,-28409000.0,0.0,,14000.0,,,,,-1228000.0,,,,,1179000.0,
2016-02-29,2016-06-10,10-K,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,415000.0,,68000.0,,41000.0,,,27180000.0,,,14000.0,14000.0,,11000.0,11000.0,-1000.0,,1000.0,,,,,,,,,,,,,,,-0.11,,,,,,,,,,,,,,,-130000.0,,0.0,,,74000.0,,,,,,,,,,14000.0,,67000.0,,,,,,,,,13000.0,,1272000.0,14000.0,1272000.0,,,55000.0,,-56000.0,-130000.0,,816000.0,,,,,,-63000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,0.0,3000.0,,,55000.0,-130000.0,,,,,,,-28439000.0,0.0,,63000.0,,,,,-1258000.0,,,,,1179000.0,
2016-05-31,2016-07-12,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,418000.0,106000.0,68000.0,,43000.0,,,27180000.0,,0.0,3000.0,,,3000.0,3000.0,-8000.0,,1000.0,,,,,,,355000.0,,,,,,,,-0.03,,,,,,,,,,,,,,,,-34000.0,0.0,,,23000.0,,,,,,,,-3000.0,,0.0,,18000.0,,,,,,,,,,,1295000.0,3000.0,,,,,,-8000.0,-34000.0,,834000.0,479000.0,,,,,-16000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,0.0,,,,0.0,-34000.0,,,,,,,-28473000.0,0.0,,16000.0,,0.05,0.0,,-1292000.0,,,,,1179000.0,
2016-08-31,2016-10-12,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,421000.0,106000.0,68000.0,,39000.0,,,27180000.0,,0.0,,13000.0,,9000.0,9000.0,,,1000.0,,,,,,,,,,,,,,,-0.03,,,,,,,,,,,,,,,,-33000.0,0.0,,,,,,,,,,,,,0.0,,19000.0,,,,,,,,,,,,13000.0,1338000.0,,,,,,-33000.0,,878000.0,504000.0,,,,,-14000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,0.0,4000.0,,,,,,,,,,,-28506000.0,0.0,,14000.0,,,,,-1325000.0,,,,,1179000.0,
