end,filed,form,Name,Ticker,CIK,Currency,AccruedLiabilitiesAndOtherLiabilities,Assets,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,ContractsReceivableClaimsAndUncertainAmounts,DerivativeFairValueOfDerivativeAsset,DerivativeFairValueOfDerivativeLiability,DerivativeGainLossOnDerivativeNet,GainLossOnDerivativeInstrumentsHeldForTradingPurposesNet,IncomeLossAttributableToParent,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccruedLiabilities,InterestExpense,InterestIncomeOperating,InvestmentOwnedAtCost,InvestmentOwnedPercentOfNetAssets,InvestmentsFairValueDisclosure,Liabilities,LiabilitiesAndStockholdersEquity,ManagementFeeExpense,ManagementFeePayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NotionalAmountOfCreditRiskDerivatives,OperatingExpenses,OperatingIncomeLoss,OtherCostAndExpenseOperating,OtherExpenses,OtherOperatingIncome,PartnersCapital,PartnersCapitalAccountContributions,PartnersCapitalAccountDistributions,PartnersCapitalAccountRedemptions,PartnersCapitalAccountUnits,PartnersCapitalAccountUnitsContributed,PartnersCapitalAccountUnitsRedeemed,PaymentForIncentiveFee,TradingSecuritiesUnrealizedHoldingGainLoss,UnrealizedGainLossOnDerivativesAndCommodityContracts
2014-09-30,2014-11-13,10-Q,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,,,,,,62082418.0,50453481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,2015-03-31,10-K,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,,,,,,51572107.0,32762583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,2016-03-29,10-K,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,173101434.0,,,,49811.0,,,,,
2016-12-31,2017-03-29,10-K,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,,,0.0,0.0,,,,-10667334.0,-7289110.0,-15252273.0,0.0,246788.0,31702.0,293762.0,,,,,,4734252.0,,-24356190.0,24356190.0,,6912175.0,-7963163.0,199190.0,130274.0,,139406484.0,13169003.0,0.0,31611680.0,44423.0,3735.0,9123.0,0.0,,3378224.0
2017-06-30,2017-08-11,10-Q,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,,,0.0,,,,,2382373.0,-14202.0,-1454785.0,,,24619.0,204812.0,,,,,,943906.0,,,,,1312405.0,-1440583.0,84824.0,22056.0,,121193508.0,,,,39182.0,,,0.0,0.0,-2396575.0
2017-09-30,2017-11-09,10-Q,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,,,,,,,,5068568.0,6614967.0,5317413.0,0.0,,27724.0,236432.0,76672086.0,0.54,76659532.0,,,921672.0,,,,,1338375.0,-1297554.0,44500.0,18869.0,,118745799.0,,0.0,,36809.0,,,0.0,-10543.0,1556942.0
2017-12-31,2018-03-29,10-K,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,343721.0,122096273.0,0.0,0.0,0.0,,,19070049.0,18205710.0,12596319.0,0.0,-141315.0,128721.0,854933.0,96800132.0,0.681,96771597.0,2498176.0,122096273.0,3796264.0,297472.0,-33324093.0,33324093.0,,5441558.0,-5609391.0,215922.0,53242.0,,119598097.0,2340019.0,0.0,34744725.0,34417.0,718.0,10724.0,0.0,-34746.0,-829593.0
2018-03-31,2018-05-14,10-Q,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,,,0.0,0.0,,,,-4621258.0,-3771068.0,-4974579.0,0.0,85605.0,55316.0,337902.0,104570625.0,,,,,882550.0,,-1158654.0,1158654.0,,1281936.0,-1203511.0,47858.0,21188.0,,114318652.0,1502649.0,0.0,1807515.0,34325.0,435.0,527.0,0.0,11512.0,838678.0
2018-06-30,2018-08-14,10-Q,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,361846.0,113549249.0,0.0,,,,,-703620.0,463818.0,-573420.0,0.0,,74358.0,424476.0,,,,3153923.0,113549249.0,831560.0,276425.0,,,,1196527.0,-1037238.0,45786.0,22077.0,,110395326.0,,0.0,,33303.0,,,0.0,24373.0,1143065.0
2018-09-30,2018-11-14,10-Q,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,380346.0,107473424.0,0.0,,0.0,,,2299316.0,-608795.0,-1591418.0,0.0,,51065.0,459461.0,,,,2487552.0,107473424.0,798980.0,261748.0,,,,1178572.0,-982623.0,47126.0,16929.0,,104985872.0,,0.0,,32156.0,,,0.0,-15053.0,-2893058.0
2018-12-31,2019-03-29,10-K,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,355424.0,105907806.0,0.0,0.0,0.0,,,-3654490.0,1245752.0,-2832242.0,0.0,11703.0,229153.0,1764072.0,100492099.0,,,6171022.0,105907806.0,3276679.0,257965.0,-13315168.0,13315168.0,,4799060.0,-4077994.0,186556.0,77208.0,,99736784.0,4847881.0,0.0,21876952.0,29272.0,1445.0,6590.0,0.0,28032.0,4872210.0
2019-03-31,2019-05-15,10-Q,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,427857.0,97675980.0,0.0,0.0,0.0,,,1860874.0,1046254.0,255196.0,0.0,72433.0,34820.0,475696.0,,,,4527113.0,97675980.0,706236.0,237165.0,-8531725.0,8531725.0,,1059239.0,-791058.0,45652.0,13876.0,,93148867.0,41699.0,0.0,6884812.0,27220.0,13.0,2065.0,0.0,36489.0,-851109.0
2019-06-30,2019-08-14,10-Q,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,452729.0,93733808.0,0.0,,0.0,,,7710494.0,7658953.0,6901633.0,0.0,,40481.0,485296.0,,,,2655706.0,93733808.0,702109.0,229785.0,,,,1041369.0,-757320.0,45736.0,12989.0,,91078102.0,,0.0,,24825.0,,,0.0,12925.0,-64466.0
2019-09-30,2019-11-14,10-Q,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,383352.0,96484430.0,0.0,,0.0,,,8450371.0,6155538.0,5495553.0,0.0,,59418.0,505995.0,,,,1616151.0,96484430.0,730799.0,236684.0,,,,1078853.0,-659985.0,45351.0,10271.0,102311.0,94868279.0,,0.0,,24402.0,,,0.0,-37050.0,-2257783.0
2019-12-31,2020-03-27,10-K,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,348419.0,92358800.0,0.0,0.0,0.0,,,15093794.0,13208515.0,10307877.0,0.0,-7005.0,194333.0,1856022.0,79538940.0,,,2229964.0,92358800.0,2811368.0,226756.0,-23808037.0,23808037.0,,4124562.0,-2900638.0,126589.0,43243.0,102311.0,90128836.0,1295747.0,0.0,21211572.0,23760.0,324.0,5836.0,0.0,479.0,-1885758.0
2020-03-31,2020-05-14,10-Q,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,455095.0,98483747.0,0.0,0.0,0.0,,,7823568.0,8893326.0,7989235.0,0.0,106676.0,63851.0,331640.0,,,,2326425.0,98483747.0,686752.0,241362.0,-1990476.0,1990476.0,,1023989.0,-904091.0,81949.0,8237.0,,96157322.0,2601833.0,0.0,4562582.0,23253.0,686.0,1193.0,0.0,107351.0,962407.0
2020-06-30,2020-08-14,10-Q,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,268381.0,87935269.0,0.0,,0.0,,,-1179189.0,-7444804.0,-8418641.0,0.0,,28999.0,129456.0,,,,858381.0,87935269.0,666714.0,215848.0,,,,948559.0,-973837.0,94977.0,9127.0,,87076888.0,,0.0,,23081.0,,,0.0,-103194.0,-6162421.0
2020-09-30,2020-11-13,10-Q,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,242225.0,83793872.0,0.0,,0.0,,,-1471837.0,-1256551.0,-2278754.0,0.0,,21090.0,27339.0,,,,3234615.0,83793872.0,642813.0,205640.0,,,,910384.0,-1022203.0,42910.0,9718.0,4845.0,80559257.0,,0.0,,21938.0,,,0.0,3846.0,211440.0
2020-12-31,2021-03-30,10-K,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,305082.0,86720650.0,0.0,0.0,0.0,,,7179551.0,9655632.0,5688230.0,0.0,-43337.0,149585.0,510991.0,,,,1903024.0,86720650.0,2603364.0,212244.0,-11263749.0,11263749.0,,3804842.0,-3967402.0,321874.0,37622.0,4845.0,84817626.0,4408673.0,0.0,15408113.0,20836.0,1148.0,4072.0,0.0,3599.0,2472482.0
2021-03-31,2021-05-17,10-Q,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,356117.0,91477511.0,0.0,0.0,0.0,,,15476458.0,8235956.0,7125049.0,0.0,51035.0,39538.0,16985.0,,,,2799549.0,91477511.0,646584.0,223673.0,-2434490.0,2434490.0,,965733.0,-1110907.0,55645.0,11041.0,,88677962.0,139000.0,0.0,3403713.0,20085.0,34.0,785.0,0.0,3014.0,-7243516.0
2021-06-30,2021-08-13,10-Q,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,255868.0,97337393.0,0.0,,0.0,,,9318955.0,8987069.0,7765738.0,0.0,,38831.0,15232.0,,,,943878.0,97337393.0,709759.0,238238.0,,,,1059860.0,-1221331.0,65431.0,11665.0,,96393515.0,,0.0,,20072.0,,,0.0,-6499.0,-325387.0
2021-09-30,2021-11-12,10-Q,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,298994.0,95626560.0,0.0,,0.0,,,443202.0,-612365.0,-1801201.0,0.0,,32245.0,15512.0,,,,963510.0,95626560.0,709176.0,233925.0,,,,1052914.0,-1188836.0,59248.0,9357.0,0.0,94663050.0,,0.0,,20086.0,,,0.0,2047.0,-1057614.0
