end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ConvertibleDebtCurrent,ConvertibleNotesPayableCurrent,DebtConversionConvertedInstrumentSharesIssued1,DeferredIncomeTaxAssetsNet,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,DueToOfficersOrStockholdersCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationOtherAdjustments,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToOfficersAndStockholdersCurrent,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPayableCurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OtherGeneralAndAdministrativeExpense,OtherSellingGeneralAndAdministrativeExpense,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromLoans,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,StockholdersEquity,TaxAdjustmentsSettlementsAndUnusualProvisions,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2017-06-30,2017-08-18,10-Q,New Century Resources Corporation,NCRE,CIK0001104462,USD,10746.0,1760158.0,0.0,,0.0,,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,,,,,,95853.0,0.0,,,,,0.0,-7485.0,,0.0,,,,,,,,,402.0,8840.0,131561.0,0.0,,,,,,,,7083.0,-7083.0,,,0.001,50000000.0,0.0,0.0,0.0,,,,7083.0,-7485.0,-1904201.0,0.0,0.0,-131561.0,,12481724.0,
2017-09-30,2017-11-20,10-Q,New Century Resources Corporation,NCRE,CIK0001104462,USD,9296.0,1760158.0,0.0,,0.0,,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,,,,,,101675.0,0.0,,,,,0.0,-6229.0,,0.0,,,,,,,,,407.0,9247.0,136340.0,0.0,,,,,,,,5822.0,-5822.0,,,0.001,50000000.0,0.0,0.0,0.0,,,,5822.0,-6229.0,-1908980.0,0.0,0.0,-136340.0,,12481724.0,
2017-12-31,2018-04-11,10-K,New Century Resources Corporation,NCRE,CIK0001104462,USD,18421.0,1760158.0,0.0,0.0,0.0,0.0,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,0.0,,384938.0,0.0,384938.0,107855.0,0.0,,,0.0,,948.0,-33516.0,,0.0,,,4687.0,,,28829.0,,,1613.0,9653.0,152051.0,0.0,,,,28829.0,-28829.0,,,31903.0,-31903.0,,,0.001,50000000.0,0.0,,0.0,,,,30955.0,-33516.0,-1924691.0,0.0,0.0,-152051.0,0.0,12481724.0,
2018-03-31,2018-05-15,10-Q,New Century Resources Corporation,NCRE,CIK0001104462,USD,12359.0,1760158.0,0.0,,0.0,0.0,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,0.0,,,,,119293.0,0.0,,,,,0.0,-5774.0,,0.0,,-6062.0,,,398.0,11438.0,,,398.0,10051.0,157825.0,0.0,,,,11438.0,-11438.0,,,5376.0,-5376.0,,,0.001,50000000.0,0.0,0.0,0.0,,,,5376.0,-5774.0,-1930465.0,0.0,,-157825.0,0.0,12481724.0,
2018-06-30,2018-08-14,10-Q,New Century Resources Corporation,NCRE,CIK0001104462,USD,9684.0,1760158.0,0.0,,0.0,,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,,,,,,128327.0,0.0,0.0,,,,0.0,-6344.0,-6344.0,0.0,,,,,,,,,402.0,10453.0,164169.0,0.0,,,,,,,,5942.0,-5942.0,,,0.001,50000000.0,0.0,,0.0,,,,5942.0,-6344.0,-1936809.0,0.0,,-139933.0,,12481724.0,
2018-09-30,2018-11-19,10-Q,New Century Resources Corporation,NCRE,CIK0001104462,USD,14143.0,1760158.0,0.0,,0.0,,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,,,,,,138034.0,0.0,0.0,,,,0.0,-5989.0,-5989.0,0.0,,,,,,,,,407.0,10860.0,170158.0,0.0,,,,,,,,5582.0,-5582.0,,,0.001,50000000.0,0.0,,0.0,,,,5582.0,-5989.0,-1942797.0,0.0,,-170158.0,,12481724.0,
2018-12-31,2019-03-27,10-K,New Century Resources Corporation,NCRE,CIK0001104462,USD,21723.0,1760158.0,0.0,0.0,0.0,0.0,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,0.0,0.0,391957.0,0.0,391957.0,138034.0,0.0,0.0,,0.0,,953.0,-35095.0,-35095.0,0.0,,,4916.0,4916.0,,30179.0,,0.0,1613.0,11267.0,187146.0,0.0,,,,30179.0,-30179.0,,,33482.0,-33482.0,,953.0,0.001,50000000.0,0.0,,0.0,0.0,,,32529.0,-35095.0,-1959786.0,0.0,,-187146.0,0.0,12481724.0,
2019-03-31,2019-05-14,10-Q,New Century Resources Corporation,NCRE,CIK0001104462,USD,17666.0,1760158.0,0.0,,0.0,0.0,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,0.0,,,,,146937.0,0.0,0.0,,,,0.0,-5243.0,-5243.0,0.0,,-4057.0,-4057.0,,397.0,8903.0,397.0,0.0,398.0,11664.0,192389.0,0.0,,,,8903.0,-8903.0,,,4845.0,-4845.0,,,0.001,50000000.0,0.0,0.0,0.0,,,,4845.0,-5243.0,-1965029.0,0.0,,-192389.0,,12481724.0,
2019-06-30,2019-08-19,10-Q,New Century Resources Corporation,NCRE,CIK0001104462,USD,13412.0,1760158.0,0.0,,0.0,,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,,,,,,193469.0,,0.0,,,,0.0,,-6931.0,0.0,,,,,,,,,413.0,12067.0,199320.0,0.0,,,,,,,,6518.0,-6518.0,,,0.001,50000000.0,0.0,,0.0,,,,6518.0,-6931.0,-1971960.0,0.0,,-199320.0,,12481724.0,
2019-09-30,2019-11-20,10-Q,New Century Resources Corporation,NCRE,CIK0001104462,USD,14945.0,1760158.0,0.0,,0.0,,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,,,,,,182885.0,,0.0,,,,0.0,,-6161.0,0.0,,,,,,,,,407.0,12473.0,205481.0,0.0,,,,,,,,5754.0,-5754.0,,,0.001,50000000.0,0.0,,0.0,,,,5754.0,-6161.0,-1978121.0,0.0,,-205481.0,,12481724.0,
2019-12-31,2020-04-15,10-K,New Century Resources Corporation,NCRE,CIK0001104462,USD,25320.0,1760158.0,1965.0,,0.0,0.0,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,,0.0,398877.0,,398877.0,169387.0,,0.0,,0.0,,253.0,,-34598.0,0.0,-20.0,,5210.0,5210.0,,31353.0,,1965.0,1614.0,12880.0,223709.0,1965.0,,,,31353.0,-31353.0,,,32984.0,-32984.0,,253.0,0.001,50000000.0,0.0,,0.0,1965.0,,,32731.0,-34598.0,-1994384.0,0.0,,-221744.0,,12481724.0,
2020-03-31,2020-05-12,10-Q,New Century Resources Corporation,NCRE,CIK0001104462,USD,19718.0,1760158.0,0.0,,0.0,0.0,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,,,,,,182885.0,,0.0,,,,0.0,,-10263.0,0.0,,,-5602.0,,,13498.0,402.0,-1965.0,406.0,13282.0,232007.0,0.0,,,,13498.0,-13498.0,,,9857.0,-9857.0,,,0.001,50000000.0,0.0,,0.0,,,,9857.0,-10263.0,-2004647.0,0.0,,-232007.0,,12481724.0,
2020-06-30,2020-08-18,10-Q,New Century Resources Corporation,NCRE,CIK0001104462,USD,10672.0,1760158.0,0.0,,0.0,,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,,,,,,193469.0,,0.0,,,,0.0,,-1940.0,0.0,,,,,,,,,402.0,13684.0,233947.0,0.0,,,,,,,,1538.0,-1538.0,,,0.001,50000000.0,0.0,,0.0,0.0,,,1538.0,-1940.0,-2006587.0,0.0,,-233947.0,,12481724.0,
2020-09-30,2020-11-03,10-Q,New Century Resources Corporation,NCRE,CIK0001104462,USD,10506.0,1760158.0,0.0,,0.0,,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,,,,,,200395.0,,0.0,,,,0.0,,-7167.0,0.0,,,,,,,,,407.0,14091.0,241114.0,0.0,,,,,,,,6760.0,-6760.0,,,0.001,50000000.0,0.0,,0.0,0.0,,,6760.0,-7167.0,-2013754.0,0.0,,-241114.0,,12481724.0,
2020-12-31,2021-03-05,10-K,New Century Resources Corporation,NCRE,CIK0001104462,USD,24471.0,1760158.0,0.0,,0.0,0.0,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,,0.0,406095.0,,406095.0,202745.0,,0.0,,0.0,,948.0,,-36092.0,0.0,-0.2,,769.0,,,33358.0,,-1965.0,1622.0,14498.0,257836.0,0.0,,,,33358.0,-33358.0,,0.0,34470.0,-34470.0,,,0.001,50000000.0,0.0,,0.0,0.0,,,33522.0,-36092.0,-2030476.0,0.0,,-257836.0,,12481724.0,
2021-03-31,2021-05-14,10-Q,New Century Resources Corporation,NCRE,CIK0001104462,USD,13229.0,1760158.0,0.0,,0.0,0.0,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,,,,,,220344.0,,0.0,,,,0.0,,-6755.0,0.0,,,-11242.0,,,17600.0,397.0,0.0,398.0,14895.0,264590.0,0.0,,,,17600.0,-17600.0,,,6357.0,-6357.0,,,0.001,50000000.0,0.0,,0.0,0.0,,,6357.0,-6755.0,-2037231.0,0.0,,-264591.0,,12481724.0,
2021-06-30,2021-08-12,10-Q,New Century Resources Corporation,NCRE,CIK0001104462,USD,14541.0,1760158.0,0.0,,0.0,,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,,,,,,226051.0,,0.0,,,,0.0,,-7421.0,0.0,,,,,,,,,402.0,15298.0,272012.0,0.0,,,,,,,,7019.0,-7019.0,,,0.001,50000000.0,0.0,,0.0,0.0,,,7019.0,-7421.0,-2044652.0,0.0,,-272012.0,,12481724.0,
2021-09-30,2021-11-15,10-Q,New Century Resources Corporation,NCRE,CIK0001104462,USD,14785.0,1760158.0,0.0,,0.0,,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,,,,,,184227.0,,0.0,,,,0.0,,-8826.0,0.0,,,,,,,,,407.0,15704.0,280838.0,0.0,,,,,,,50000.0,8419.0,-8419.0,,,0.001,50000000.0,0.0,,0.0,0.0,,,8419.0,-8826.0,-2053478.0,0.0,,-280838.0,,12481724.0,
