end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,BusinessAcquisitionsPurchasePriceAllocationYearOfAcquisitionNetEffectOnIncome,CapitalUnitsAuthorized,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentInterestRateDuringPeriod,DeferredTaxAssetsOperatingLossCarryforwards,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,ExtinguishmentOfDebtAmount,ExtinguishmentOfDebtGainLossNetOfTax,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInPrepaidExpense,InterestExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherGeneralAndAdministrativeExpense,OtherNonoperatingIncomeExpense,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProfessionalFees,RelatedPartyTransactionRate,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,SalariesWagesAndOfficersCompensation,ShareBasedCompensation,SharesIssued,StockholdersEquity,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueOther,StockRepurchasedAndRetiredDuringPeriodShares,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,ProfitLoss,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2013-03-31,2017-10-17,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,7957.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,,,,,,,,,,,,,,,,,7957.0,0.0,7957.0,,,,-1094.0,,1094.0,-1094.0,,,1094.0,,0.0001,10000000.0,,,,,,,,,-121677606.0,,,,-7957.0,,,,,,,,,2964181540.0,,,
2013-09-30,2017-10-17,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,10144.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,,,,,,,,,,,1094.0,,,,,,10144.0,0.0,10144.0,,,,-1094.0,,1094.0,-1094.0,,,1094.0,,0.0001,10000000.0,,,,,,,,,-121679793.0,,,,-10144.0,,,,,,,,,2964181540.0,,,
2013-12-31,2017-10-17,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,11238.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,,,,,,,,,,,,,,,,,11238.0,0.0,11238.0,,,,-1094.0,,1094.0,-1094.0,,,1094.0,,0.0001,10000000.0,,,,,,,,,-121680887.0,,,,-11238.0,,,,,,,,,2964181540.0,,,
2014-03-31,2017-10-17,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,12332.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,,,,,,,,,,,,,,,,,12332.0,0.0,12332.0,,,,-1094.0,,1094.0,-1094.0,,,1094.0,,0.0001,10000000.0,,,,,,,,,-121681981.0,,,,-12332.0,,,,,,,,,2964181540.0,,,
2014-06-30,2017-10-17,10-K,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,13425.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,0.12,-9882.0,,,0.39,,,,,9882.0,-9882.0,4375.0,,,,,,13425.0,0.0,13425.0,,,,-4375.0,,4375.0,-4375.0,659249.0,-9882.0,4375.0,,0.0001,10000000.0,,,,,,,,,-121683074.0,,,,-13425.0,,,,,,,,,2964181540.0,,,
2014-09-30,2017-10-17,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,14519.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,,,,,,,,,,,1094.0,,,,,,14519.0,0.0,14519.0,,,,-1094.0,,1094.0,-1094.0,,,1094.0,,0.0001,10000000.0,,,,,,,,,-121684168.0,,,,-14519.0,,,,,,,,,2964181540.0,,,
2014-12-31,2017-10-17,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,15613.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,,,,,,,,,,,,,,,,,15613.0,0.0,15613.0,,,,-1094.0,,1094.0,-1094.0,,,1094.0,,0.0001,10000000.0,,,,,,,,,-121685262.0,,,,-15613.0,,,,,,,,,2964181540.0,,,
2015-03-31,2017-10-17,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,16707.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,,,,,,,,,,,,,,,,,16707.0,0.0,16707.0,,,,-1094.0,,1094.0,-1094.0,,,1094.0,,0.0001,10000000.0,,,,,,,,,-121686356.0,,,,-16707.0,,,,,,,,,2964181540.0,,,
2015-06-30,2017-10-17,10-K,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,17800.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,0.12,257107.0,,,0.39,,,,,9882.0,-9882.0,4375.0,,,,,,17800.0,0.0,17800.0,,,,-4375.0,,4375.0,-4375.0,659249.0,257107.0,4375.0,,0.0001,10000000.0,,,,,,,,,-121687449.0,,,,-17800.0,,,,,,,,,2964181540.0,,,
2015-09-30,2017-10-17,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,18894.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,,,,,,,,,,,1094.0,,,,,,18894.0,0.0,18894.0,,,,-1094.0,,1094.0,-1094.0,,,1094.0,,0.0001,10000000.0,,,,,,,,,-121688543.0,,,,-18894.0,,,,,,,,,2964181540.0,,,
2015-12-31,2017-10-17,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,19988.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,,,,,,,,,,,,,,,,,19988.0,0.0,19988.0,,,,-1094.0,,1094.0,-1094.0,,,1094.0,,0.0001,10000000.0,,,,,,,,,-121689637.0,,,,-19988.0,,,,,,,,,2964181540.0,,,
2016-03-31,2017-10-17,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,21082.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,,,,,,,,,,,,,,,,,21082.0,0.0,21082.0,,,,-1094.0,,1094.0,-1094.0,,,1094.0,,0.0001,10000000.0,,,,,,,,,-121690731.0,,,,-21082.0,,,,,,,,,2964181540.0,,,
2016-06-30,2017-10-17,10-K,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,22175.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,0.12,-9882.0,,,0.39,,,,,9882.0,-9882.0,4375.0,,,,,,22175.0,0.0,22175.0,,,,-4375.0,,4375.0,-4375.0,,-9882.0,4375.0,,0.0001,10000000.0,,,,,,,,,-121691824.0,,,,-22175.0,,,,,,,,,2964181540.0,,,
2016-09-30,2017-10-17,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,23269.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,,,,,,,,,-427.0,427.0,1094.0,,,,,,23269.0,0.0,23269.0,,,,-1094.0,,1094.0,-1094.0,,,1094.0,,0.0001,10000000.0,,,,,,,,,-121692918.0,,,,-23269.0,,,,,,,,,2964181540.0,,,
2016-12-31,2017-10-17,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,24363.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,,,,,,,,1094.0,,,,,,,,,24363.0,0.0,24363.0,,,,-1094.0,,1094.0,-1094.0,,,1094.0,,0.0001,10000000.0,,,,,,,,,-121694012.0,,,,-24363.0,,,,,,,,,2964181540.0,,,
2017-03-31,2017-10-17,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,25457.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,,,,,,,,1094.0,,,,,,,,,25457.0,0.0,25457.0,,,,-1094.0,,1094.0,-1094.0,,,1094.0,,0.0001,10000000.0,,,,,,,,,-121695106.0,,,,-25457.0,,,,,,,,,2964181540.0,,,
2017-06-30,2017-10-17,10-K,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,26550.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,0.12,155518.0,,,0.39,,,,,288817.0,-288817.0,4375.0,,,,,,26550.0,0.0,26550.0,,,,-4375.0,,4375.0,-4375.0,659249.0,155518.0,4375.0,,0.0001,10000000.0,,,,,,,,,-121696199.0,,,,-26550.0,,,,,,,,,2964181540.0,,,
2017-09-30,2017-11-14,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,53842.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,295438.0,,,,,,,27292.0,-10644.0,10644.0,27292.0,,,,,,53842.0,0.0,53842.0,,,,-27292.0,,27292.0,-27292.0,,295438.0,27292.0,,0.0001,10000000.0,,,,,,,,,-121723491.0,,,,-53842.0,,,,,,,,,2964181540.0,,,
2017-12-31,2018-07-09,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,295438.0,53842.0,,,,,,,,,,,,,,,53842.0,0.0,53842.0,,,,,,,,,295438.0,,,0.0001,10000000.0,,,,,,,,,-121723491.0,,,,-53842.0,,,,,,,,,2964181540.0,,,
2018-03-31,2018-07-09,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,295438.0,53847.0,,,,,,,,,,,,,,,53847.0,0.0,53847.0,,,,,,,,,295438.0,,,0.0001,10000000.0,,,,,,,,,-121723491.0,,,,-53842.0,,,,,,,,,2964181540.0,,,
2018-06-30,2018-10-09,10-K,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,6000.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,162509.0,53842.0,,0.39,,,,33292.0,-12984.0,12984.0,33292.0,,,,,,59842.0,0.0,59842.0,,,,-33292.0,,33292.0,-33292.0,773852.0,162509.0,33292.0,,0.0001,10000000.0,,,,,,,,,-121729491.0,,,,-59842.0,,,,,,,,,2964181540.0,,,
2018-09-30,2018-11-14,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,2000.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,163769.0,63842.0,,,,,,6000.0,-1260.0,1260.0,-4000.0,,10000.0,,,,65842.0,0.0,65842.0,,,,-6000.0,,6000.0,-6000.0,,163769.0,,,0.0001,10000000.0,,,,,,,,,-121735491.0,,,,-65842.0,,,,,,,,,2964181540.0,,,
2018-12-31,2020-07-10,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,2500.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,174588.0,67416.0,,,,,,4074.0,,,,,,,,,69916.0,0.0,69916.0,,,,-4074.0,,4074.0,-4074.0,,174588.0,,,0.0001,10000000.0,,,,,,,,,-121739565.0,,,,-69916.0,,,,,,,,,2964181540.0,,,
2019-03-31,2020-07-10,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,3000.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,174588.0,67661.0,,,,,,745.0,,,,,,,,,70661.0,0.0,70661.0,,,,-745.0,,745.0,-745.0,,174588.0,745.0,,0.0001,10000000.0,,,,,,,,,-121740310.0,,,,-69916.0,,,,,,,,,2964181540.0,,,
2019-06-30,2020-07-10,10-K,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,3500.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,177488.0,70061.0,,0.21,,,,13719.0,-2881.0,2881.0,-2500.0,,16219.0,,,,73561.0,0.0,73561.0,,,,-13719.0,,13719.0,-13719.0,776733.0,177488.0,,,0.0001,10000000.0,,,,,,,,,-121743210.0,,,,-73561.0,,,,,,,,,2964181540.0,,,
2019-09-30,2020-07-14,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,4500.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,178488.0,70061.0,,,,,,1000.0,-210.0,210.0,1000.0,,,,,,74561.0,0.0,74561.0,,,,-1000.0,,1000.0,-1000.0,,178488.0,1000.0,,0.0001,10000000.0,,,,,,,,,-121744210.0,,,,-74561.0,,,,,,,,,2964181540.0,,,
2019-12-31,2020-07-14,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,2500.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,180088.0,67416.0,-0.13,,,,,,,,,,,,,,69916.0,0.0,69916.0,,,,-500.0,,4074.0,-4074.0,,180088.0,4074.0,,0.0001,10000000.0,,,,,,,,,-121739565.0,,,,-75061.0,,,,,,,,,30218.0,,,
2020-03-31,2020-07-14,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,5500.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,194823.0,70661.0,-0.04,,,,,,,,,,,,,,76161.0,0.0,76161.0,,,,-1100.0,,1100.0,-1100.0,,194823.0,1100.0,,0.0001,10000000.0,,,,,,,,,-121745810.0,,,,-76161.0,,,,,,,,,30218.0,,,
2020-06-30,2020-07-14,10-K,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,15223.0,121669646.0,0.0,,,,3000000000.0,,,0.0001,290000000.0,30218.0,30218.0,3.0,,,,170290.0,75673.0,-0.57,0.21,,,,,-3640.0,3640.0,11723.0,,5612.0,,,,90896.0,0.0,90896.0,,,,-17335.0,,17335.0,-17335.0,804906.0,170290.0,17335.0,,0.001,10000000.0,,,,,,,,,-121760545.0,,,,-73561.0,,,,,,,,,30218.0,,,
2020-09-30,2020-11-13,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,18972.0,121373231.0,88.0,88.0,,,,88.0,88.0,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,200169.0,77358.0,,0.39,,,,,-1123.0,1123.0,3749.0,,1.0,,,,96330.0,88.0,96330.0,,,88.0,-5346.0,,5346.0,-5346.0,,200169.0,5346.0,,0.0001,10000000.0,,,,,,,,,-121765891.0,,,,-96996.0,,,,,,,,,2964181540.0,88.0,-6100.0,30218.0
2020-12-31,2021-03-05,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,24582.0,121676146.0,40.0,40.0,,,,40.0,,0.0001,290000000.0,30920.0,30920.0,3.0,,,,224019.0,88050.0,-0.77,,,,,,,,,,,,,,112632.0,40.0,112632.0,,,,-23850.0,,23850.0,-23850.0,839000.0,224019.0,23850.0,,0.001,10000000.0,1000000.0,1000000.0,1000.0,,,,,,-121789741.0,,,,-96242.0,,,,,,7500.0,,,30920.0,,,
2021-03-31,2021-05-11,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,25082.0,121677146.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,3.0,,,,224559.0,88050.0,-0.02,,,,,,,,,,,,,,113132.0,0.0,113132.0,,,,-540.0,,540.0,-540.0,840000.0,224559.0,540.0,,0.001,10000000.0,,,,,,,,,-121790281.0,,,,-113132.0,,,,,,,,,30920.0,,,
2021-06-30,2021-10-21,10-K,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,19075.0,121677146.0,0.0,,,,,,,0.0001,290000000.0,33920.0,33920.0,3.0,,,,176168.0,88813.0,-0.91,,,,,,-5878.0,5878.0,3852.0,,13152.0,,,12.0,111400.0,0.0,111400.0,3500.0,,-3500.0,-28004.0,3512.0,27992.0,-27992.0,,176168.0,27992.0,-12.0,0.0001,10000000.0,0.0,0.0,,3500.0,,,0.08,,-121788549.0,,7500.0,,-111400.0,,,,,,7500.0,,702.0,30920.0,,,
2021-09-30,2021-12-27,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,19298.0,121677146.0,0.0,,,,,,,0.0001,290000000.0,33920.0,33920.0,3.0,,,,,94620.0,-0.2,,,,,,,,223.0,,5877.0,,,70.0,117500.0,0.0,117500.0,,,,-6100.0,3582.0,6030.0,-6030.0,,,6030.0,-70.0,0.0001,10000000.0,0.0,0.0,,,,,,,-121794649.0,,,,-117500.0,,,,,,,,,,,-6100.0,30920.0
