end,filed,form,Name,Ticker,CIK,Currency,AccruedIncomeTaxesCurrent,AccruedProfessionalFeesCurrentAndNoncurrent,Cash,CashPeriodIncreaseDecrease,DeferredCompensationArrangementWithIndividualCompensationExpense,FeesAndCommissionsTransferAgent,GeneralAndAdministrativeExpense,IncomeTaxExpenseBenefit,LegalFees,LitigationSettlementAmountAwardedToOtherParty,NoninterestExpenseTransferAgentAndCustodianFees,PaymentForAdministrativeFees,PaymentsForFees,ProceedsFromLegalSettlements,ProceedsFromRoyaltiesReceived,ProfessionalFees,TrusteeFees
2012-09-30,2012-11-14,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,0.0,,66.0,,,,34818.0,,,,,,,,,,625.0
2012-12-31,2013-04-01,10-K,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,0.0,,64.0,,,,291256.0,,,,,,,,,,2500.0
2013-03-31,2013-05-15,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,0.0,,4439.0,,,,,,,,,,88772.0,,,50000.0,2500.0
2013-06-30,2013-08-14,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,0.0,,22448.0,,,3750.0,,,,,,,,,,,625.0
2013-09-30,2013-11-14,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,0.0,12420.0,185585.0,,,0.0,,,,,,,,,,,0.0
2013-12-31,2014-04-11,10-K,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,0.0,,20870.0,,3243.0,,406784.0,,,,11250.0,,,,,,2500.0
2014-03-31,2014-05-15,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,820402.0,,,,,,,,0.0,,0.0,625000.0,,,2500.0
2014-06-30,2014-08-14,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,0.0,,132209.0,,,7500.0,,,,,7500.0,,,0.0,,,
2014-09-30,2014-11-14,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,0.0,,289421.0,,,0.0,,,,,0.0,,,,,,
2014-12-31,2015-03-31,10-K,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,0.0,,64.0,,,,525129.0,,,,18750.0,,,625000.0,,,2500.0
2015-03-31,2015-05-15,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,0.0,,62.0,,,,,,,,3750.0,,36362.0,0.0,,,2500.0
2015-06-30,2015-08-14,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,0.0,,62.0,,,,,,,,3750.0,,,0.0,,,
2015-09-30,2015-11-16,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,0.0,,62.0,,,,,,,,3750.0,,,,,,
2015-12-31,2016-03-30,10-K,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,64.0,,,,,0.0,,,15000.0,,,,,,22500.0
2016-03-31,2016-05-16,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,64.0,59818.0,,,,0.0,,,3750.0,,,,,,5625.0
2016-06-30,2016-08-15,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,64.0,147737.0,,,,,,,3750.0,,,,,,
2016-09-30,2016-11-14,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,64.0,171740.0,,,,,,,3750.0,,,,,,5625.0
2016-12-31,2017-03-31,10-K,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,64.0,607916.0,,,,0.0,,,,,,,,,22500.0
2017-03-31,2017-05-15,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,65.0,79412.0,,,,0.0,,,,,,,,,5625.0
2017-06-30,2017-08-14,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,65.0,218335.0,,,,,,,,,,,,,
2017-09-30,2017-11-14,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,65.0,70976.0,,,,,,,,,,,,,5625.0
2017-12-31,2018-04-02,10-K,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,65.0,595393.0,,,,0.0,,,,,,,,,22500.0
2018-03-31,2018-05-15,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,65.0,72235.0,,,,0.0,,,,,,,,,5625.0
2018-06-30,2018-08-14,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,65.0,300685.0,,,,,,,,,,,,,
2018-09-30,2018-11-14,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,65.0,144390.0,,,,,,,,,,,,,5625.0
2018-12-31,2019-04-01,10-K,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,65.0,790249.0,,,,0.0,,,,,,,,,22500.0
2019-03-31,2019-05-15,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,65.0,79659.0,,,,0.0,,,,,,,,,5625.0
2019-06-30,2019-08-14,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,65.0,1178217.0,,,,,,1000000.0,,,,,,,5625.0
2019-09-30,2019-11-14,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,65.0,271744.0,,,,,,,,,,,,,5625.0
2019-12-31,2020-03-20,10-K,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,46.0,1805155.0,,,,0.0,,1000000.0,,,,,,,22500.0
2020-03-31,2020-05-15,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,46.0,221564.0,,,,0.0,,,,,,,,,5625.0
2020-06-30,2020-08-14,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,47.0,151577.0,,,,,,,,,,,,,5625.0
2020-09-30,2020-11-16,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,47.0,214522.0,,,,,,,,,,,,,5625.0
2020-12-31,2021-03-31,10-K,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,46.0,789490.0,,,,0.0,,1000000.0,,,,,,,22500.0
2021-03-31,2021-05-17,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,51161.0,280958.0,,,,0.0,,,,,,,,,0.0
2021-06-30,2021-08-16,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,46.0,157545.0,,,,,,,,,,,,,11250.0
2021-09-30,2021-11-15,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,46.0,215979.0,,,,,,,,,,,,,5625.0
