end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccountsReceivableRelatedParties,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AllowanceForDoubtfulAccountsReceivableCurrent,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockSharesSubscriptions,CommonStockValue,DebtInstrumentInterestRateStatedPercentage,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InterestPaidNet,InterestPayableCurrent,InvestmentIncomeInvestmentExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LineOfCreditFacilityIncreaseDecreaseForPeriodNet,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,PreferredStockNoParValue,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRestrictedCashFinancingActivities,ProceedsFromSaleAndCollectionOfReceivables,ProfessionalFees,ProfitLoss,RelatedPartyTransactionOtherRevenuesFromTransactionsWithRelatedParty,RepaymentsOfRelatedPartyDebt,RestrictedCashAndCashEquivalents,RetainedEarningsAccumulatedDeficit,RevenueFromRelatedParties,SalesRevenueServicesNet,ShareBasedCompensation,SharesIssuedPricePerShare,StockholdersEquity,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensationGross,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,InterestExpenseOther,PaymentsToFundLongtermLoansToRelatedParties,PreferredStockDiscountOnShares,StockIssuedDuringPeriodValueOther,InterestExpenseRelatedParty,AccountsPayableCurrentAndNoncurrent,InterestIncomeRelatedParty
2017-10-31,2017-12-15,10-Q,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,8437.0,,,,,,145750.0,,,6021.0,6021.0,6021.0,-7439.0,,0.0001,150000000.0,17990000.0,17990000.0,,,1799.0,,,,,38601.0,0.0,,,372.0,,-12795.0,0.0,0.0,,,4869.0,4869.0,,,,487.0,,,0.0,0.0,1129.0,486.0,48167.0,6021.0,48167.0,,,,,-7439.0,-7439.0,-12795.0,-486.0,12309.0,-12309.0,,,0.0001,50000000.0,0.0,0.0,,,,,,,11937.0,,,,,-189695.0,,,,,-42146.0,,,,,,17990000.0,,,,,,,
2018-01-31,2018-03-19,10-Q,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,10615.0,,,,,,145750.0,,,2173.0,2173.0,2173.0,,,0.0001,150000000.0,17990000.0,17990000.0,,,1799.0,,,,,38601.0,0.0,,,348.0,,-6513.0,0.0,,,,,,,,,,,,,,1616.0,487.0,50832.0,2173.0,50832.0,,,,,,,-6513.0,-487.0,6026.0,-6026.0,,,0.0001,50000000.0,0.0,0.0,,,,,,,5678.0,,,,,-196208.0,,,,,-48659.0,,,,,,17990000.0,,,,,,,
2018-04-30,2018-06-07,10-Q,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,8839.0,,,,,,145750.0,,,36.0,36.0,36.0,,,0.0001,150000000.0,17990000.0,17990000.0,,,1799.0,,,,,43601.0,0.0,,,336.0,,-5884.0,0.0,,,,,,,,,,,,,,2139.0,523.0,54579.0,36.0,54579.0,,,,,,,-5884.0,-523.0,5361.0,-5361.0,,,0.0001,50000000.0,0.0,0.0,,,,,,,5025.0,,,,,-202092.0,,,,,-54543.0,,,,,,17990000.0,,,,,,,
2018-07-31,2018-10-19,10-K,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,7999.0,,,,,,145750.0,,,4180.0,4180.0,4180.0,-9280.0,,0.0001,150000000.0,17990000.0,17990000.0,,,1799.0,,0.0,43513.0,43513.0,53101.0,0.0,0.21,0.21,1269.0,,-30303.0,0.0,0.0,,,4431.0,,,,,2092.0,,,,0.0,2734.0,2091.0,63834.0,4180.0,63834.0,,14500.0,14500.0,,-23780.0,-23780.0,-30303.0,-2091.0,28212.0,-28212.0,207203.0,,0.0001,50000000.0,0.0,0.0,0.0,,,14500.0,,,26943.0,,,,,-207203.0,,,,,-59654.0,,,,,,17990000.0,,,,,,,
2018-10-31,2018-12-12,10-Q,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,3103.0,,,,,,145750.0,,,1473.0,1473.0,1473.0,-2707.0,,0.0001,150000000.0,17990000.0,17990000.0,,,1799.0,,,,,66601.0,0.0,,,208.0,,-12055.0,0.0,0.0,,,-4896.0,,,,,744.0,,,0.0,0.0,3478.0,744.0,73182.0,1473.0,73182.0,,13500.0,,,-16207.0,,-12055.0,-744.0,11311.0,-11311.0,,,0.0001,50000000.0,0.0,0.0,0.0,,,13500.0,,,11103.0,-12055.0,,,,-219258.0,,,,,-71709.0,,,,,,17990000.0,,,,,,,
2019-01-31,2019-02-26,10-Q,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,8601.0,,,,,,145750.0,,,1242.0,1242.0,1242.0,,,0.0001,150000000.0,17990000.0,17990000.0,,,1799.0,,,,,66601.0,0.0,,,230.0,,-6568.0,0.0,,,,,,,,,,,,,,4317.0,840.0,79519.0,1242.0,79519.0,,,,,,,-6568.0,-840.0,5728.0,-5728.0,,,0.0001,50000000.0,0.0,0.0,,,,,,,5498.0,-6568.0,,,,-225826.0,,,,,-78277.0,,,,,,17990000.0,,,,,,,
2019-04-30,2019-06-07,10-Q,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,,,,,,,145750.0,,,1602.0,1602.0,1602.0,,,0.0001,150000000.0,17990000.0,17990000.0,,,1799.0,,,,,80101.0,0.0,,,232.0,,-5450.0,0.0,,,,,,,,,,,,,,5228.0,-911.0,85329.0,1602.0,85329.0,,,,,,,-5450.0,-911.0,4539.0,-4539.0,,,0.0001,50000000.0,0.0,0.0,0.0,,,,,,4307.0,-5450.0,,,,-231276.0,,,,,-83727.0,,,,,,17990000.0,,,,,,,
2019-07-31,2019-10-29,10-K,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,4303.0,,,,,,145750.0,,,671.0,671.0,671.0,-3509.0,0.0001,0.0001,150000000.0,17990000.0,17990000.0,,,1799.0,,0.0,49879.0,-49879.0,80101.0,0.0,0.21,0.21,1601.0,,-30317.0,0.0,0.0,,,-3696.0,,,,,3504.0,,3504.0,,0.0,6238.0,3504.0,90642.0,671.0,90642.0,,27000.0,,,-30509.0,,-30317.0,-3504.0,26813.0,-26813.0,-237520.0,0.0001,0.0001,50000000.0,0.0,0.0,0.0,,,27000.0,,,25212.0,-30317.0,,,,-237520.0,,,,,-89971.0,,,,,,17990000.0,,,,,,,
2019-10-31,2019-12-16,10-Q,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,3250.0,,,,,,145750.0,,,387.0,387.0,387.0,-284.0,,0.0001,150000000.0,17990000.0,17990000.0,,,1799.0,,,,,92401.0,0.0,,,281.0,,-12628.0,0.0,0.0,,,-1053.0,,,,,1097.0,,1097.0,,0.0,7335.0,1097.0,102986.0,387.0,102986.0,,12300.0,,,-12584.0,,-12628.0,-1097.0,11531.0,-11531.0,,,0.0001,50000000.0,0.0,0.0,0.0,,,12300.0,,,11250.0,-12628.0,,,,-250148.0,,,,,-102599.0,,,,,,17990000.0,,,,,,,
2020-01-31,2020-03-23,10-Q,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,5653.0,,,,,,145750.0,,,4155.0,4155.0,4155.0,,,0.0001,150000000.0,17990000.0,17990000.0,,,1799.0,,,,,98401.0,0.0,,,232.0,,-5832.0,0.0,,,,,,,,,,,1197.0,,,8532.0,1197.0,112586.0,4155.0,112586.0,,,,,,,-5832.0,-1197.0,4635.0,-4635.0,,,0.0001,50000000.0,0.0,0.0,,,,,,,4403.0,-5832.0,,,,-255980.0,,,,,-108431.0,,,,,,17990000.0,,,,,,,
2020-04-30,2020-06-15,10-Q,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,6910.0,,,,,,145750.0,,,3174.0,3174.0,3174.0,,,0.0001,150000000.0,17990000.0,17990000.0,,,1799.0,,,,,101401.0,0.0,,,931.0,-6455.0,-6455.0,0.0,,,,,,,,,,,1217.0,,,9749.0,-1217.0,118060.0,3174.0,118060.0,,,,,,,-6455.0,-1217.0,5238.0,-5238.0,,,0.0001,50000000.0,0.0,0.0,0.0,,,,,,4307.0,-6455.0,,,,-262435.0,,,,,-114886.0,,,,,,17990000.0,,,,,,,
2020-07-31,2020-10-29,10-K,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,6482.0,6482.0,,,,145750.0,145750.0,,,2232.0,2232.0,2232.0,1561.0,0.0001,0.0001,550000000.0,17990000.0,17990000.0,,,1799.0,,0.0,56415.0,56415.0,105801.0,0.0,21.0,,1724.0,,-31124.0,0.0,0.0,,,2179.0,,,,,4806.0,,4806.0,0.0,0.0,11044.0,,123327.0,2232.0,123327.0,,25700.0,,,-24139.0,,-31124.0,-4806.0,26318.0,-26318.0,268644.0,0.0001,0.0001,50000000.0,0.0,0.0,0.0,,0.0,25700.0,,,24594.0,-31124.0,,,,-268644.0,,,,,-121095.0,,,,,,17990000.0,4806.0,0.0,,,,,
2020-10-31,2020-12-15,10-Q,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,7627.0,,,,,,145750.0,,,141.0,141.0,141.0,-2091.0,,0.0001,150000000.0,17990000.0,17990000.0,,,1799.0,,,,,113301.0,0.0,,,233.0,-12132.0,-12132.0,0.0,0.0,,,1145.0,1145.0,,,,1396.0,,1396.0,0.0,0.0,12440.0,,133368.0,141.0,133368.0,,7500.0,,,-9591.0,,-12132.0,-1396.0,10736.0,-10736.0,,,0.0001,50000000.0,0.0,0.0,0.0,,,7500.0,,,10503.0,,,,,-280776.0,,,,,,,,,,,17990000.0,,,,,0.0,,
2021-01-31,2021-03-16,10-Q,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,9368.0,,,,,,145750.0,,,148.0,148.0,148.0,,,0.0001,150000000.0,17990000.0,17990000.0,,,1799.0,,,,,116251.0,0.0,,,352.0,-6141.0,-6141.0,0.0,,,,,,,,,,,1457.0,,,13897.0,,139516.0,148.0,139516.0,,,,,,,-6141.0,-1457.0,4684.0,-4684.0,,,0.0001,50000000.0,0.0,0.0,0.0,,,,,,4332.0,,,,,-286917.0,,,,,-139368.0,,,,,,17990000.0,,,,,,,
2021-04-30,2021-06-14,10-Q,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,,10787.0,,,,145750.0,,,,162.0,162.0,162.0,,,0.0001,150000000.0,17990000.0,17990000.0,,,,,,,,119951.0,0.0,,,352.0,-6553.0,,0.0,,,,,,,,,,,1448.0,,,15345.0,,146083.0,162.0,146083.0,,,,,,,-6553.0,-1448.0,5105.0,-5105.0,,,0.0001,50000000.0,0.0,0.0,0.0,,,,,,4753.0,,,,,-293470.0,,,,,-145921.0,,,,,,17990000.0,,,,,,,
2021-07-31,2022-02-15,10-K,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,13514.0,13514.0,,,,344963.0,,,,10.0,10.0,10.0,-2222.0,,0.0001,550000000.0,39210000.0,39210000.0,,,3921.0,,0.0,76439.0,76439.0,1608.0,0.0,,,4299.0,,-95352.0,0.0,0.0,,,7032.0,,,,,-11044.0,,4603.0,15647.0,,0.0,,15122.0,10.0,15122.0,,97142.0,,,-99364.0,,-95352.0,-4603.0,90749.0,-90749.0,363996.0,0.0001,0.0001,50000000.0,0.0,0.0,0.0,,201335.0,15858.0,,,86450.0,,,,,-363996.0,,,,,-15112.0,,,,,,23571151.0,4498.0,120051.0,50000000.0,201335.0,,13514.0,
2021-10-31,2022-02-15,10-Q,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,12080.0,,,,,345030.0,,,,11.0,11.0,11.0,1.0,,0.0001,,39210000.0,39210000.0,,,3921.0,,,,,5483.0,0.0,,,2412.0,-2507.0,,0.0,0.0,,,,-1434.0,,,,0.0,,67.0,0.0,,,,17563.0,11.0,17563.0,,3875.0,,,-3874.0,,-2507.0,67.0,2440.0,-2440.0,,,0.0001,50000000.0,0.0,0.0,0.0,,,3875.0,,,28.0,,,,,-366503.0,,,,,-17552.0,,,,,,39210000.0,,,,,67.0,,
2022-01-31,2022-03-17,10-Q,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,,,,,,345239.0,,,,14.0,14.0,14.0,,,0.0001,550000000.0,39210000.0,39210000.0,,,3921.0,,,,,8836.0,0.0,,,932.0,-6626.0,,0.0,,,,,,,,,,,389.0,,,,,23983.0,14.0,23983.0,,,,,,,-6626.0,-389.0,6237.0,-6237.0,,,0.0001,50000000.0,0.0,0.0,0.0,,,,,,5305.0,,,,,-373129.0,,,,,-23969.0,,,,,,39210000.0,,,,,,15147.0,209.0
