end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableAndAccruedLiabilitiesFairValueDisclosure,AccountsPayableAndAccruedLiabilitiesNoncurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccretionExpense,AccruedLiabilitiesCurrent,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AmortizationOfDebtDiscountPremium,AmortizationOfFinancingCosts,Assets,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ConvertibleDebt,ConvertibleDebtCurrent,CurrentFederalTaxExpenseBenefit,DebtInstrumentDecreaseForgiveness,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentUnamortizedDiscountCurrent,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceCurrent,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,DueToOfficersOrStockholdersCurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToOtherRelatedPartiesNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,ExtinguishmentOfDebtAmount,ExtinguishmentOfDebtGainLossNetOfTax,FeesAndCommissions,ForeignCurrencyTransactionGainLossUnrealized,GainLossOnDispositionOfAssets1,GainLossOnInvestments,GainOrLossOnSaleOfStockInSubsidiary,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDueToRelatedPartiesCurrent,InterestAndDebtExpense,InterestExpense,InterestExpenseBorrowings,InterestExpenseDebt,InterestIncomeExpenseNet,InterestPaid,InterestPaidNet,InterestPayableCurrent,Liabilities,LiabilitiesAndStockholdersEquity,LoansPayable,LoansPayableCurrent,LoansPayableFairValueDisclosure,LongTermDebt,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NondebtorReorganizationItemsNetGainLossOnSettlementOfOtherClaims1,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForWritedownOfSecuritiesTax,OtherIncome,OtherLoansPayable,OtherLoansPayableCurrent,OtherNoncashIncome,OtherShortTermBorrowings,PaymentsForProceedsFromLoansReceivable,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,SharePrice,SharesIssued,SharesIssuedPricePerShare,SharesOutstanding,StockholdersEquity,StockholdersEquityBeforeTreasuryStock,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesRestrictedStockAwardGross,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueRestrictedStockAwardGross,StockRepurchasedAndRetiredDuringPeriodValue,TaxAdjustmentsSettlementsAndUnusualProvisions,TechnologyServicesCosts,TradingActivityGain,TreasuryStockCommonShares,TreasuryStockShares,TreasuryStockValue,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2012-12-31,2013-04-01,10-K,ARVANA INC.,AVNI,CIK0001113313,USD,1017334.0,,1017344.0,,,,,21166619.0,,,,,1244.0,1244.0,,1254.0,-480.0,,1254.0,0.001,5000000.0,885130.0,885130.0,885.0,-325696.0,,,,,,,,,,,,,,,763573.0,,631631.0,475314.0,,,,-0.37,,,,,,-18345.0,,,,,257539.0,,,-325696.0,,,,,,,303700.0,-35069.0,,47986.0,,,,,,,2306081.0,1244.0,,145051.0,145051.0,,38240.0,,-38720.0,,,,257539.0,-257539.0,,-20171.0,,,144706.0,,,,,,,,17689.0,,-325696.0,,-22705422.0,,,,,,,883045.0,-2304827.0,-2304827.0,,,,,,,,,,,,,,,,-3336.0,3336.0,,,,
2013-03-31,2013-05-15,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,1013645.0,,1013645.0,,,,,21166619.0,,,,,1181.0,1181.0,1181.0,1181.0,-73.0,,1181.0,0.001,5000000.0,885130.0,885130.0,885.0,-5549.0,,,,,,,,,,,,,,,769122.0,,622410.0,491160.0,,,,-0.01,,,,,,30443.0,,,,,23944.0,,,,,,,,,,11280.0,21307.0,,12058.0,,,,,,,2311557.0,1181.0,,148175.0,148175.0,,3332.0,,-3405.0,,,,23944.0,-23944.0,,30453.0,,,,,,,,,3332.0,,17689.0,,-5549.0,,-22705422.0,,,,,,,,-2310376.0,,,,,,,,,,,,,,,,,-3336.0,3336.0,,,,
2013-06-30,2013-08-13,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,1020497.0,,1020497.0,,,,,21166619.0,,,,,1118.0,1118.0,1181.0,1181.0,,,1181.0,0.001,5000000.0,885130.0,885130.0,885.0,-12132.0,,,,,,,,,,,,,,,781254.0,,627850.0,495529.0,,,,-0.01,,,,,,,,,,,20960.0,,,,,,,,,,,,,12109.0,,,,,,,2323626.0,1118.0,,144508.0,144508.0,,,,,,,,20960.0,-20960.0,,20937.0,,,,,,,,,,,,,,,-22705422.0,,,,,,,,-2322508.0,,,,,,,,,,,,,,,,,-3336.0,3336.0,,,,
2013-09-30,2013-11-13,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,1039767.0,,1039767.0,,,,,21166619.0,,,,,341.0,341.0,341.0,341.0,,,341.0,0.001,5000000.0,885130.0,885130.0,885.0,-60235.0,,,,,,,,,,,,,,,841489.0,,661072.0,501750.0,,,,-0.07,,,,,,,,,,,8666.0,,,,,,,,,,,,,12623.0,,,,,,,2383084.0,341.0,,144706.0,144706.0,,,,,,,,8666.0,-8666.0,,-38946.0,,,,,,,,,,,,,,,-22705422.0,,,,,,,,-2382743.0,,,,,,,,,,,,,,,,,-3336.0,3336.0,,,,
2013-12-31,2014-03-31,10-K,ARVANA INC.,AVNI,CIK0001113313,USD,1056941.0,,,,,,,21166619.0,,,,,321.0,321.0,,,-933.0,,,0.001,5000000.0,885130.0,885130.0,885.0,-91190.0,,,,,,,,,,,,,,,854763.0,,666511.0,493534.0,,,,-0.1,,,,,49205.0,26043.0,,,,,19864.0,,,-91190.0,,,,,,,54834.0,35259.0,,49465.0,,,,,,,2396338.0,321.0,,144402.0,,,26207.0,,-27140.0,,,,69069.0,-69069.0,,27344.0,,,,,,,,,,,,,-91190.0,,-23560185.0,,,,,,,883045.0,-2396017.0,-2396017.0,,,,,,,,,,,,,,,,-3336.0,3336.0,,,,
2014-03-31,2014-05-14,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,1057588.0,,,,,,,21166619.0,,,,,731.0,731.0,,,410.0,,,0.001,5000000.0,885130.0,885130.0,885.0,8983.0,,,,,,,,,,,,,,,845780.0,,668370.0,483794.0,,,,0.01,,,,,1730.0,27522.0,,,,,4162.0,,,,,,,,,,13939.0,510.0,,12642.0,,,,,,,2387765.0,731.0,,144046.0,,,4500.0,,-4090.0,,,,5892.0,-5892.0,,27517.0,,,,,,,,,,,,,8983.0,,-22705422.0,,,,,,,,-2387034.0,,,,,,,,,,,,,,,,,-3336.0,3336.0,,,,
2014-06-30,2014-08-14,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,1076064.0,,,,,,,21166619.0,,,,,1640.0,1640.0,,,,,,,,,,885.0,-44037.0,,,,,,,,,,,,,,,889817.0,,683692.0,493716.0,,,,-0.05,,,,,4500.0,,,,,,6429.0,,,,,,,,,,,,,12826.0,,,,,,,2432711.0,1640.0,,144372.0,,,,,,-44037.0,,,10929.0,-10929.0,,-20282.0,,,,,,,,,,,,,,,-22705422.0,,,,,,,,-2431071.0,,,,,,,,,,,,,,,,,,3336.0,,,,
2014-09-30,2014-11-13,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,1045578.0,,,,,,,21166619.0,,,,,702.0,702.0,,,,,,0.001,5000000.0,885130.0,885130.0,885.0,65398.0,,,,,,,,,,,,,,,,,661794.0,481430.0,,,,0.07,,,,,4960.0,,,,,,4050.0,,,,,,,,,,,,,12536.0,,,,,,,2366375.0,702.0,,143929.0,,,,,,65398.0,,,9010.0,-9010.0,,86944.0,,,,,,,,,,,,,,,-23529841.0,,,,,,,,-2365673.0,,,,,,,,,,,,,,,,,-3336.0,3336.0,,,,
2014-12-31,2015-04-10,10-K,ARVANA INC.,AVNI,CIK0001113313,USD,1041503.0,,1041503.0,,,,,21166619.0,,,,,1876.0,1876.0,1876.0,1876.0,1555.0,,1876.0,0.001,5000000.0,885130.0,885130.0,885.0,54920.0,,,,,,,,,,,,,,,,,647702.0,472987.0,,,,0.06,,,,,16720.0,140831.0,,,,,23934.0,,,92650.0,,,,,,,56528.0,1968.0,,50390.0,,,,,,,2343603.0,1876.0,,148620.0,148620.0,,29600.0,,-28045.0,54920.0,,,40654.0,-40654.0,,145334.0,,,32791.0,,,,,,,,,,54290.0,,-23505895.0,,,,,,,883045.0,-2341727.0,-2341727.0,,,,,,,,,,,,,,,,-3336.0,3336.0,,,,
2015-03-31,2015-05-15,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,989037.0,,,,,,,21166619.0,,,,,10066.0,10066.0,,,8190.0,,,0.001,5000000.0,885130.0,885130.0,885.0,109392.0,,,,,,,,,,,,,,,,,622223.0,452456.0,,,,0.12,,,,,1500.0,-125443.0,,,,,5902.0,,,,,,,,,,13779.0,462.0,,11902.0,,,,,,,2242401.0,10066.0,,147895.0,,,10000.0,,-1810.0,109392.0,,,7402.0,-7402.0,,128696.0,,,,,,,,,,,,,109392.0,,-23396503.0,,,,,,,,-2232335.0,,,,,,,,,,,,,,,,,-3336.0,3336.0,,,,
2015-06-30,2015-08-17,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,1020132.0,,1020132.0,,,,,21166619.0,,,,,4165.0,4165.0,4165.0,4165.0,,,4165.0,0.001,5000000.0,885130.0,885130.0,885.0,,,,,,,,,,,,,,,,,,631910.0,456141.0,,,,0.06,,,,,1730.0,,,,,,5230.0,,,,,,,,,,,,,12165.0,,,,,,,2287286.0,4165.0,,148006.0,148006.0,,,,,-50786.0,,,6960.0,-6960.0,,-31661.0,,,,,,,,,,,,,,,-23447289.0,,,,,,,,-2283121.0,,,,,,,,,,,,,,,,,-3336.0,3336.0,,,,
2015-09-30,2015-11-13,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,1010492.0,,1010492.0,,,,,21166619.0,,,,,2165.0,2165.0,2165.0,2165.0,,,2165.0,0.001,5000000.0,885130.0,885130.0,885.0,,,,,,,,,,,,,,,,,,628427.0,441689.0,,,,0.03,,,,,5066.0,,,,,,2926.0,,,,,,,,,,,,,12084.0,,,,,,,2257781.0,2165.0,,147493.0,147493.0,,,,,27505.0,,,7992.0,-7992.0,,47581.0,,,,,,,,,,,,,,,-23419784.0,,,,,,,,-2255616.0,,,,,,,,,,,,,,,,,-3336.0,3336.0,,,,
2015-12-31,2016-04-14,10-K,ARVANA INC.,AVNI,CIK0001113313,USD,1018963.0,,,,,,,21166619.0,,,,,53.0,53.0,53.0,,-1823.0,,,0.001,5000000.0,885130.0,885130.0,885.0,,,,,,,,,,,,,,,,,,619671.0,434330.0,,,,0.1,,,,,24552.0,178103.0,,,,,11890.0,,,92650.0,,,,,,,71893.0,1737.0,,48089.0,,,,,,,2249130.0,53.0,,147225.0,,,10000.0,,-11823.0,92650.0,,,36442.0,-36442.0,,177181.0,,,,,,,,,,,,,92650.0,,-23413245.0,,,,,,,883045.0,-2249077.0,-2249077.0,,,,,,,,,,,,,,,,-3336.0,3336.0,,,,
2016-03-31,2016-05-20,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,1070905.0,,,,,,,21166619.0,,,,,20030.0,20030.0,,,19977.0,,,0.001,5000000.0,885130.0,885130.0,885.0,,,,,,,,,,,,,,,,,,635076.0,448616.0,,,,0.09,,,,,1775.0,-65972.0,,,,,2569.0,,,,,,,,,,16993.0,454.0,,12195.0,,,,,,,2352549.0,20030.0,,167700.0,,,20000.0,,-23.0,-83442.0,,,4344.0,-4344.0,,-66903.0,,,,,,,,,,,20000.0,,-83442.0,,-23496687.0,,,,,,,,-2332519.0,,,,,,,,,,,,,,,,,-3336.0,3336.0,,,,
