end,filed,form,Name,Ticker,CIK,Currency,AccruedProfessionalFeesCurrent,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,Assets,AssetsCurrent,Cash,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockDividendsPerShareCashPaid,CommonStockNoParValue,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,DeferredFederalIncomeTaxExpenseBenefit,DividendsCommonStockCash,DividendsPayableAmountPerShare,DueFromBanks,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCash,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,ForeignCurrencyTransactionGainLossUnrealized,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseInCarryingAmountOfRedeemablePreferredStock,InterestBearingDepositsInBanks,InterestBearingDepositsInBanks,InterestIncomeOperating,InterestPaidNet,InterestReceivableCurrent,InvestmentIncomeInterest,InvestmentInterestRate,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NoninterestBearingDepositLiabilities,OperatingExpenses,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,PaymentsForOperatingActivities,PaymentsForOperatingActivities,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsOfCapitalDistribution,PaymentsOfDividends,ProceedsFromInterestReceived,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromOperatingActivities,ReclassificationsOfTemporaryToPermanentEquity,RedeemableNoncontrollingInterestEquityCarryingAmount,RetainedEarningsAccumulatedDeficit,Revenues,SponsorFees,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodValueIssuedForCash,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TemporaryEquityCarryingAmount,TemporaryEquityCarryingAmountAttributableToParent,TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterests,TemporaryEquityForeignCurrencyTranslationAdjustments,TemporaryEquityParOrStatedValuePerShare,TemporaryEquityRedemptionValue,TemporaryEquitySharesAuthorized,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,TemporaryEquityStockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WithdrawalFromContractHoldersFunds
2012-07-31,2012-09-11,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,,516119827.0,,,515882695.0,,,,0.04,,,,,5200000.0,515940825.0,234218.0,,,0.011,,,,0.04,,,,,,,,,517070291.0,515883758.0,768957.0,,236069.0,768957.0,,,516119827.0,179002.0,,,,,230719.0,1063.0,538238.0,177939.0,,3499.0,3499.0,234218.0,,,,,,,,,,,,,,768957.0,538238.0,,,,,,,515940825.0,,,,26500000.0,5200000.0,5200000.0,,5448913.0,
2012-10-31,2012-12-21,10-K,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,0.0,,492680870.0,,,492456362.0,-143247133.0,,,0.17,,,26500000.0,4950000.0,4950000.0,492510069.0,864657.0,,787686.0,0.0106,,,,0.16,,-4695961.0,,1556.0,,-223499.0,,55722.0,492211142.0,492457371.0,3597311.0,,223499.0,3597311.0,,,492680870.0,170801.0,-139358684.0,-139358684.0,807512.0,807512.0,859603.0,1009.0,2737708.0,169792.0,,5054.0,5054.0,864657.0,,2281264.0,,153417420.0,787686.0,,3088776.0,,14846422.0,,,,0.0,3597311.0,2737708.0,150000.0,14846422.0,1550000.0,153417420.0,,,492510069.0,,,,26500000.0,4900000.0,4950000.0,,10690850.0,
2013-01-31,2013-03-08,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,0.0,,488022640.0,,,487800178.0,-4656184.0,,,0.03,,,,,4900000.0,487856096.0,168200.0,,165574.0,0.0114,,,,0.03,,346761.0,,24.0,,-222357.0,,-3514.0,487239313.0,487800283.0,676037.0,,222357.0,676037.0,,,488022640.0,166544.0,-5169846.0,-5169846.0,166901.0,166901.0,169088.0,105.0,506949.0,166439.0,,-888.0,-888.0,168200.0,,510430.0,,25020438.0,165574.0,,677331.0,,20016166.0,,,,0.0,676037.0,506949.0,200000.0,20016166.0,250000.0,25020438.0,,,487856096.0,,,,26500000.0,4900000.0,4950000.0,,5022283.0,
2013-04-30,2013-06-07,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,,445080227.0,,,444861325.0,,,,0.04,,,26500000.0,4500000.0,4500000.0,444931101.0,197684.0,,,0.0153,,,,0.04,,,,,,,,,447464675.0,444862231.0,,,217996.0,646984.0,,,445080227.0,149126.0,,,,,195421.0,906.0,451563.0,148220.0,,,2263.0,,,,,,,,,,,,,,,646984.0,451563.0,,,,,,,,,,,,,,,4721348.0,
2013-07-31,2013-09-06,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,,372589303.0,,,372382399.0,,,,0.05,,,26500000.0,3850000.0,3850000.0,372454455.0,224237.0,,,0.0179,,,,0.05,,,,,,,,,382830889.0,372385476.0,,,203827.0,636442.0,,,372589303.0,134848.0,,,,,223487.0,3077.0,412955.0,131771.0,,,750.0,,,,,,,,,,,,,,,636442.0,412955.0,,,,,,,,,,,,,,,4211413.0,
2013-10-31,2014-01-14,10-K,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,0.0,,338672718.0,,,338495100.0,-153961262.0,,,0.23,,,26500000.0,3550000.0,3550000.0,338556957.0,1003125.0,,,0.0173,,,,0.24,,-17480361.0,,-1260.0,,-177335.0,,,352999911.0,338495383.0,,,177335.0,3094583.0,,,338672718.0,115761.0,-137267074.0,-137267074.0,786173.0,786173.0,1003170.0,283.0,2091413.0,115478.0,,,-45.0,,,1776323.0,,194992928.0,770063.0,,,,58495917.0,,,338556957.0,0.0,3094583.0,2091413.0,600000.0,58495917.0,2000000.0,194992928.0,,,,,,,,,3550000.0,,8128925.0,
2014-01-31,2014-03-12,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,,285543435.0,,,285390650.0,-53104450.0,,,0.06,,,26500000.0,3150000.0,3150000.0,280984319.0,184445.0,0.0,,0.0166,,,,0.06,,-20535379.0,,-3822.0,,-152071.0,,,313225273.0,285391364.0,,,152071.0,510040.0,,,285543435.0,4559116.0,-32765815.0,,196744.0,,192446.0,714.0,317594.0,98334.0,,,-8001.0,,,327691.0,,55839541.0,193235.0,,,,23266961.0,,,,,510040.0,317594.0,250000.0,23266960.0,650000.0,60493063.0,,,,,,4460068.0,,,,,3361957.0,
2014-04-30,2014-06-09,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,,271960623.0,,,271820305.0,,,,0.05,,,26500000.0,3000000.0,3000000.0,271869718.0,144849.0,,,0.0163,,,,0.05,,,,,,,,,298309783.0,271820842.0,,,139781.0,412117.0,,,271960623.0,90905.0,,,,,143873.0,537.0,268244.0,90368.0,,,976.0,,,,,,,,,,,,,,,412117.0,268244.0,,,,,,,,,,,,,,,3048315.0,
2014-07-31,2014-09-08,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,,265024335.0,,,264883980.0,,,,0.05,,,26500000.0,2900000.0,2900000.0,264933873.0,156398.0,,,0.0171,,,,0.05,,,,,,,,,288366124.0,264884144.0,,,140191.0,429115.0,,,265024335.0,90462.0,,,,,157359.0,164.0,271756.0,90298.0,,,-961.0,,,,,,,,,,,,,,,429115.0,271756.0,,,,,,,,,,,,,,,2925000.0,
2014-10-31,2015-01-14,10-K,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,85839.0,0.0,,251501099.0,283394295.0,251358636.0,251358346.0,-87136754.0,,,0.26,0.0,,26500000.0,2850000.0,2850000.0,251414970.0,784962.0,0.0,,0.0198,,,,0.26,,-23278361.0,,-5501.0,,-142463.0,85839.0,,283394295.0,251358636.0,,,142463.0,2180810.0,,,251501099.0,86129.0,-64504492.0,-64504492.0,646099.0,646099.0,799056.0,290.0,1381754.0,85839.0,,,-14094.0,,,1140388.0,109380254.0,100362128.0,637630.0,,,39774638.0,36495266.0,1786487.0,,251414970.0,0.0,2180810.0,1381754.0,400000.0,36495266.0,1100000.0,100362128.0,,,,-23275125.0,,,,,2850000.0,36495266.0,5941892.0,
2015-01-31,2015-03-12,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,0.0,,203990760.0,,,203900642.0,-47457704.0,,,0.04,,,26500000.0,2600000.0,2600000.0,203921742.0,80023.0,0.0,,0.0083,,,,0.03,,-26114742.0,,-3682.0,,-90118.0,69018.0,,258535146.0,203900111.0,,,90118.0,319547.0,,,203990760.0,69018.0,-21461921.0,-21461921.0,118959.0,118959.0,87117.0,,232430.0,69018.0,,,-7094.0,,,240388.0,,68305840.0,117086.0,,,,46961005.0,359347.0,,,0.0,319547.0,232430.0,550000.0,46961005.0,800000.0,68305840.0,,,,,,,,,,,2289674.0,
2015-04-30,2015-06-09,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,0.0,,225767366.0,,,217520686.0,,,,0.01,0.0,8207341.0,26500000.0,2750000.0,2750000.0,225701163.0,-49081.0,,,,,,,-0.02,,,,,,,,,273413072.0,217520686.0,,,39339.0,144625.0,,,225767366.0,66203.0,,,,,-47579.0,,192204.0,66203.0,,,-1502.0,,,,,,,,,,,,,,0.0,144625.0,192204.0,,,,,,,,,,,,,,,2459551.0,
2015-07-31,2015-09-09,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,0.0,,217790321.0,,,217762108.0,,,,,0.0,,26500000.0,2850000.0,2850000.0,217717183.0,-62341.0,,,,,,,-0.02,,,,,,,,,283297615.0,217762108.0,,,28213.0,156866.0,,,217790321.0,73138.0,,,,,-65044.0,,221910.0,73138.0,,,2703.0,,,,,,,,,,,,,,0.0,156866.0,221910.0,,,,,,,,,,,,,,,2763587.0,
2015-10-31,2016-01-14,10-K,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,73485.0,0.0,,216342962.0,283052315.0,216342962.0,216342962.0,-35015384.0,216342962.0,,0.05,0.0,,26500000.0,2850000.0,2850000.0,216269477.0,-475727.0,0.0,,,0.0,73485.0,,-0.16999999999999998,,-34740743.0,,-20068.0,,,73485.0,,283052315.0,216342962.0,,,,624742.0,,,216342962.0,73485.0,,-138170.0,,-136471.0,-467518.0,,1092260.0,,,,-8209.0,,336437.0,869218.0,159056760.0,127864231.0,132881.0,,,159051217.0,127858942.0,732747.0,,216269477.0,0.0,624742.0,1092260.0,,,1600000.0,127864231.0,,,,-35140204.0,0.0,,26500000.0,2850000.0,2850000.0,127858942.0,5638548.0,
2016-01-31,2016-03-11,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,0.0,,207985472.0,292687556.0,207985472.0,200937127.0,-15405835.0,,,0.0,,7048345.0,,,,,-199575.0,,,,0.0,68375.0,,-0.07,,-15199397.0,,5165.0,0.0,,68375.0,,,200937127.0,,,,859.0,,,207985472.0,68375.0,,-2014.0,,-204424.0,-204479.0,,205338.0,,,,4904.0,,280777.0,205283.0,9924694.0,7225842.0,,,,19840712.0,7223828.0,859.0,,207917097.0,0.0,859.0,205338.0,,,,,,,,-15571905.0,,,26500000.0,2950000.0,2950000.0,14445367.0,2826630.0,
2016-04-30,2016-06-09,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,0.0,,221566558.0,277534271.0,221566558.0,221566558.0,,,,0.0,,,,,,,-223443.0,,,,0.0,73714.0,,-0.07,,,,,,,,,,221566558.0,,,,918.0,,,221566558.0,73714.0,,,,,-210724.0,,211642.0,,,,-12719.0,,,,,,,,,,,,,221492844.0,0.0,918.0,211642.0,,,,,,,,,0.0,,26500000.0,2800000.0,2800000.0,,2881111.0,
2016-07-31,2016-09-09,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,0.0,,208836945.0,272330850.0,208834669.0,208834669.0,,,,0.0,,,,,,,-193580.0,,,,0.0,71904.0,,-0.07,,,,,,,,,,208834669.0,,,2276.0,20665.0,,,208836945.0,71904.0,,,,,-194798.0,,215463.0,,,,1218.0,,,,,,,,,,,,,208765041.0,0.0,20665.0,215463.0,,,,,,,,,0.0,,26500000.0,2750000.0,2750000.0,,2803261.0,
2016-10-31,2017-01-12,10-K,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,0.0,,195609315.0,262165385.0,195609315.0,195609315.0,-20733647.0,195609315.0,-20733647.0,,,,,,,,-1009506.0,,,,0.0,65294.0,,-0.37,1423.0,-4996057.0,-4996057.0,1423.0,0.0,,65294.0,,,195609315.0,,,,24128.0,,,195609315.0,65294.0,-14919999.0,-14919999.0,-817591.0,-817591.0,-1011645.0,,1035773.0,,,,2139.0,,1085107.0,840409.0,54486305.0,41053575.0,,,,34684482.0,26133576.0,22818.0,,195544021.0,0.0,24128.0,1035773.0,,,,,,,,-5805457.0,0.0,,26500000.0,2650000.0,2650000.0,26133576.0,5447915.0,
2017-01-31,2017-03-13,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,0.0,,189531278.0,247079529.0,189514500.0,189514500.0,-6094815.0,,,0.0,,,,,,,-188705.0,,,,0.0,65787.0,,-0.07,,5218163.0,,-1424.0,0.0,-16778.0,65787.0,,,189514500.0,,,16778.0,16404.0,,,189531278.0,65787.0,,-11110774.0,,-202204.0,-184495.0,,200899.0,,,,-4210.0,,269639.0,202204.0,29649188.0,22234112.0,,,,14832971.0,11123338.0,,,189465491.0,0.0,16404.0,200899.0,,,,,,,,5032244.0,0.0,,26500000.0,2500000.0,2500000.0,11123338.0,2686413.0,
2017-04-30,2017-06-09,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,0.0,,180572059.0,246889436.0,180567129.0,180567129.0,,180567129.0,,0.0,,,,,,,-144490.0,,,,0.0,58960.0,,-0.06,,,,,,,,,,180567129.0,,,4930.0,30392.0,,,180572059.0,58960.0,,,,,-148397.0,,178789.0,,,,3907.0,,,,,,,,,,,,,180513099.0,0.0,30392.0,178789.0,,,,,,,,,0.0,,26500000.0,2500000.0,2500000.0,,2473034.0,
2017-07-31,2017-09-11,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,0.0,,197281599.0,236808225.0,189363260.0,197251851.0,,197251851.0,,0.0,,,,,,,-150292.0,,,,0.0,66831.0,,-0.06,,,,,,,,,,197251851.0,,,29748.0,45511.0,,,197281599.0,7955422.0,,,,,-142342.0,,187853.0,,,,-7950.0,,,,,,,,,,,,,189326177.0,0.0,45511.0,187853.0,,,,,,,,,0.0,,26500000.0,2400000.0,2400000.0,,2492391.0,
2017-10-31,2018-01-11,10-K,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,0.0,,176067888.0,226889725.0,176006303.0,176006303.0,-19603012.0,176006303.0,-19603012.0,0.02,,,,,,,-457761.0,,16305.0,0.0006,0.0,60172.0,,-0.16999999999999998,9520.0,7353782.0,7353782.0,-9520.0,0.0,61585.0,60172.0,,,176006303.0,,,61585.0,497107.0,,,176067888.0,60172.0,-26418598.0,-26418598.0,-538196.0,-538196.0,-448704.0,,945811.0,,,,-9057.0,,726489.0,764437.0,83929646.0,64137640.0,16305.0,,,49380475.0,37735347.0,226241.0,,176007716.0,0.0,497107.0,945811.0,,,,,,,,6865988.0,0.0,,26500000.0,2300000.0,2300000.0,37735347.0,4881986.0,
2018-01-31,2018-03-12,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,0.0,,185030893.0,226885193.0,184933115.0,184934101.0,8927798.0,,,0.01,,,,,,,46300.0,,,0.016,986.0,60717.0,,0.02,,8930424.0,,1117.0,0.0,,,,,184933115.0,,,96792.0,220319.0,,,185030893.0,60717.0,,-13984.0,,11358.0,44903.0,,175416.0,,,,1397.0,,4300.0,177847.0,19729276.0,,,,,19729044.0,,,,,0.0,,175416.0,,,,,,,,8961778.0,0.0,,26500000.0,2300000.0,,15597038.0,2230435.0,
2018-04-30,2018-06-11,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,0.0,,161681494.0,207156045.0,161594481.0,,,,,,,,,,,,91196.0,,,0.0154,0.0,54145.0,,,,,,,,,,,,161594481.0,,,87013.0,,,,161681494.0,54636.0,,,,,,491.0,,,,,-454.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,26500000.0,2100000.0,,,,
2018-07-31,2018-09-07,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,0.0,,163015586.0,212088332.0,162894264.0,,,,,,,,,,,,177278.0,,,0.0304,,55683.0,,,,,,,,,,,,162894264.0,,,121322.0,,,,163015586.0,55881.0,,,,,,198.0,,,,,298.0,,,,,,,,,,,,,162959705.0,0.0,,,,,,,,,,,0.0,,26500000.0,2150000.0,2150000.0,,,
