end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AdditionalPaidInCapital,AllocatedShareBasedCompensationExpense,AmortizationOfDebtDiscountPremium,AmortizationOfFinancingCostsAndDiscounts,Assets,AssetsCurrent,BankOverdrafts,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ComprehensiveIncomeNetOfTax,ConvertibleDebt,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentIncreaseDecreaseOtherNet,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentUnamortizedDiscount,DeferredCompensationShareBasedArrangementsLiabilityCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOther,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilities,Deposits,DilutiveSecurities,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseOther,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,GainLossOnContractTermination,GainLossOnSaleOfEquityInvestments,GainLossOnSaleOfInvestments,GainLossOnSaleOfSecuritiesNet,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfIntangibleAssetsExcludingGoodwill,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeTaxExpenseBenefit,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDeposits,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInOtherDeposits,InducedConversionOfConvertibleDebtExpense,InterestAndDividendsPayableCurrent,InterestExpense,InterestPayableCurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,ManagementFeeExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoncashOrPartNoncashAcquisitionNoncashFinancialOrEquityInstrumentConsiderationWarrantsIssued1,NoninterestBearingDepositLiabilities,NonoperatingIncomeExpense,NotesAndLoansPayableCurrent,NotesIssued1,NotesPayable,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesNoncurrent,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherCommitment,OtherCommitmentDueInFourthYear,OtherCommitmentDueInThirdYear,OtherCommitmentsFutureMinimumPaymentsRemainderOfFiscalYear,OtherNoncashExpense,OtherNoncashIncomeExpense,PaymentsToAcquireInterestInSubsidiariesAndAffiliates,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromAdvancesForConstruction,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProceedsFromSecuredNotesPayable,ProceedsFromWarrantExercises,ProfitLoss,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,SalesRevenueNet,StockholdersEquity,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueStockOptionsExercised,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,UnrecognizedTaxBenefitsInterestOnIncomeTaxesAccrued,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfSharesOutstandingBasic
2012-06-30,2012-09-10,10-K,"STEMGEN, INC.",SGNI,CIK0001023198,USD,,37100.0,24500.0,,462028.0,,20000.0,0.0,564.0,564.0,,564.0,-1861.0,,20000000.0,170865.0,,,1709.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,-0.41,,,,,,0.0,0.0,0.0,,0.0,27710.0,0.0,,-68370.0,0.0,,,,29509.0,0.0,,,,0.0,,20000.0,70770.0,40660.0,,,564.0,289370.0,157000.0,,17000.0,0.0,-18861.0,-68370.0,,0.0,,,,,227770.0,,-27710.0,,,,,,,0.0,,,,1000000.0,0.0,,0.0,,,0.0,,,,,17000.0,,-68370.0,,,-752543.0,0.0,-288806.0,,20000.0,,,,,,,,163343.0
2012-09-30,2012-11-13,10-Q,"STEMGEN, INC.",SGNI,CIK0001023198,USD,,40050.0,24500.0,,380929.0,,3576.0,6526.0,58798.0,1440.0,,1440.0,876.0,,20000000.0,14669210.0,,,146692.0,,,,,,0.0,,,,,57358.0,,,,,,,,,2000000.0,,,-0.13,,,,,,0.0,0.0,0.0,,0.0,12074.0,0.0,,-23519.0,0.0,,,,2950.0,0.0,,,4919.0,4919.0,,,75689.0,11445.0,,,58798.0,307239.0,167000.0,,10000.0,0.0,-9124.0,,2950.0,,,,10000.0,,242689.0,,-12074.0,,,,,,,,,,,1000000.0,0.0,,0.0,,,0.0,,,,,10000.0,,-23519.0,,,-776062.0,0.0,-248441.0,1000000.0,,,,,,,,,177810.0
2012-12-31,2013-02-04,10-Q,"STEMGEN, INC.",SGNI,CIK0001023198,USD,,48500.0,24500.0,,380929.0,,,,21652.0,21652.0,,21652.0,,,20000000.0,14669210.0,,,146692.0,,,,,,0.0,,,,,,,,,,,,,32500.0,,,,-0.22,,,,,,0.0,,0.0,,0.0,23737.0,0.0,,-40276.0,0.0,,,,,,,,,,,,80806.0,16539.0,,,21652.0,310369.0,124063.0,,,,,,,32500.0,,,,,204869.0,,-23737.0,,,,,,,,,,,1000000.0,0.0,,0.0,,,,,,,,,,-40276.0,,,-816338.0,0.0,-288717.0,,,,,,,,,,183927.0
2013-03-31,2013-05-10,10-Q,"STEMGEN, INC.",SGNI,CIK0001023198,USD,,46602.0,24857.0,,525786.0,,,,623.0,623.0,,623.0,,,20000000.0,183927.0,,,1836.0,,,,,,0.0,,,,,,,,,,,,,32500.0,,,,-0.19,,,,,,0.0,,0.0,,0.0,19488.0,0.0,,-35711.0,0.0,,,,,,,,,,,,80806.0,16223.0,,,623.0,325051.0,124063.0,,,,,,,32500.0,,,,,221092.0,,-19488.0,,,,,,,,,,,1000000.0,0.0,,0.0,,,,,,,,,,-35711.0,,,-852050.0,0.0,-324428.0,,,,,,,,,,183645.0
2013-06-30,2013-09-20,10-K,"STEMGEN, INC.",SGNI,CIK0001023198,USD,46720.0,46720.0,24857.0,,525783.0,,-23219.0,-23219.0,840.0,840.0,,840.0,276.0,0.01,20000000.0,183927.0,183927.0,,1839.0,,,,,,0.0,,,,,,,33500.0,0.0,88358.0,33500.0,-33500.0,0.0,32500.0,,,,-0.49,0.34,0.38,,,0.04,32500.0,0.0,32500.0,,0.0,60202.0,0.0,,-88419.0,0.0,-33500.0,30000.0,3500.0,9620.0,357.0,20052.0,,20052.0,20052.0,,63888.0,90822.0,60717.0,,314180.0,840.0,71577.0,175000.0,,-5219.0,0.0,5495.0,-88419.0,,,-28217.0,175000.0,18000.0,,242603.0,,-60202.0,88419.0,,,,,,,,,0.01,1000000.0,0.0,0.0,0.0,,,0.0,,,18000.0,,18000.0,,-88419.0,,,-840962.0,0.0,-313340.0,,,,,,,0.0,0.0,,182253.0
2013-09-30,2013-11-13,10-Q,"STEMGEN, INC.",SGNI,CIK0001023198,USD,,52926.0,24857.0,11547.0,525783.0,0.0,,11547.0,1125.0,1125.0,,1125.0,285.0,,20000000.0,183927.0,,,1839.0,,,,,,0.0,,,,,,,,,,,,,32500.0,,,,-0.16,,,,,,0.0,0.0,0.0,,0.0,13421.0,0.0,,-30284.0,0.0,,,,6206.0,0.0,5316.0,,5316.0,5316.0,,,96138.0,16863.0,,,1125.0,344749.0,,,7500.0,0.0,-7215.0,,,,,170828.0,7500.0,,266966.0,,-13421.0,,,,,,,,,,,1000000.0,0.0,,0.0,,,0.0,,7500.0,,,7500.0,,-30284.0,,,-871246.0,0.0,-343624.0,,,,,,,,,,183927.0
2013-12-31,2014-01-21,10-Q,"STEMGEN, INC.",SGNI,CIK0001023198,USD,,49775.0,24857.0,,525783.0,,,,1150.0,1150.0,,1150.0,,,20000000.0,183927.0,,,1839.0,,,,,,0.0,,,,,,,,,,,,,32500.0,,,,-0.1,,,,,,0.0,,0.0,,0.0,1825.0,0.0,,-18920.0,0.0,,,,,,,,,,,,101687.0,17095.0,,,1150.0,363693.0,,,,,,,,,,187374.0,,,289061.0,,-1825.0,,,,,,,,,,,1000000.0,0.0,,0.0,,,,,,,,,,-18920.0,,,-890165.0,0.0,-362543.0,,,,,,,,,,183927.0
2014-03-31,2014-05-02,10-Q,"STEMGEN, INC.",SGNI,CIK0001023198,USD,,51389.0,23500.0,,525783.0,,,,1742.0,1742.0,,1742.0,,,20000000.0,183927.0,,,1839.0,,,,,,0.0,,,,,,,,,,,,,,,,,-0.06,,,,,,0.0,,0.0,,0.0,4664.0,0.0,,-10323.0,0.0,,,,,,,,,,,,107220.0,5659.0,,,1742.0,374609.0,,,,,,-10323.0,,,,192500.0,,,299720.0,,-4664.0,,,,,,,,,,,1000000.0,0.0,,0.0,,,,,,,,,,-10323.0,,,-900489.0,0.0,-372867.0,,,,,,,,,,183927.0
2014-06-30,2014-10-14,10-K,"STEMGEN, INC.",SGNI,CIK0001023198,USD,,,,23094.0,814438.0,0.0,,,80.0,80.0,,80.0,-760.0,0.001,20000000.0,10183927.0,10183927.0,,10184.0,,,0.0,,,,,-107220.0,,,,,26800.0,0.0,6700.0,26800.0,-26800.0,0.0,,,,,0.01,-0.41,0.38,0.41,,0.04,,,107220.0,,107220.0,51183.0,,,,,,-6700.0,-700.0,-46721.0,-24857.0,16524.0,,16398.0,,,,,39617.0,,,80.0,,,,122000.0,,-122760.0,16420.0,,,67603.0,,22500.0,,,,-51183.0,71938.0,,,,,,,67603.0,,0.01,1000000.0,0.0,0.0,0.0,,,297000.0,297000.0,,22500.0,,,,16420.0,-197500.0,197500.0,-824542.0,,80.0,,,297000.0,,297000.0,,0.0,6700.0,6700.0,1307215.0
2014-09-30,2014-11-19,10-Q,"STEMGEN, INC.",SGNI,CIK0001023198,USD,27667.0,,,,722783.0,0.0,,,80.0,80.0,,80.0,,0.01,20000000.0,10183927.0,10183927.0,,101839.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,37667.0,,,,,,,,27667.0,,,,,,,,,,,27667.0,80.0,27667.0,,,,,,-37667.0,,,,,,,,,-37667.0,,,,,,,,,,,,,,,,,,,,,,,,-37667.0,,,-862209.0,,-27587.0,,,,10000.0,,,,,,10183927.0
2014-12-31,2015-02-17,10-Q,"STEMGEN, INC.",SGNI,CIK0001023198,USD,82292.0,,,,722783.0,,,,0.0,,,0.0,,0.01,20000000.0,10183927.0,10183927.0,,101839.0,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,,,,,,,,,54705.0,,,,,,,,,,,,,,,,,,,82292.0,0.0,82292.0,,,,,,-54705.0,,,,,,,,,-54705.0,,,,,,,,,,,,,,10000.0,,,,,,,,,,-54705.0,,,-916914.0,,-82292.0,,,,,,,,,,10183927.0
2015-03-31,2015-05-15,10-Q,"STEMGEN, INC.",SGNI,CIK0001023198,USD,173115.0,,,,850778.0,,,,16607.0,16607.0,,16607.0,,0.001,20000000.0,10183927.0,10183927.0,19500.0,10184.0,,,36340.0,,,,,,2.7822,,,,,,,,,,,,,,-0.01,,,,,,,,,,,130056.0,,,,,,,,,,,,,,,,,,,173115.0,16607.0,173115.0,,,,,,-130056.0,,,,,,,,,-130056.0,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,-1046970.0,,-156508.0,,,,,,,,,,10183927.0
2015-06-30,2015-10-13,10-K,"STEMGEN, INC.",SGNI,CIK0001023198,USD,236666.0,,,1570.0,1046242.0,10000.0,,,,,1034.0,,-80.0,0.001,20000000.0,10183927.0,10183927.0,19500.0,10184.0,,15000.0,220235.0,1570.0,221805.0,,85465.0,,2.771,,,-3500.0,,,,,,,,,,,-0.05,0.35,-0.34,,-0.01,,,,,,,339085.0,,150000.0,,,,172200.0,,221666.0,,1344.0,,,,,,,2914.0,1344.0,240614.0,,237700.0,,,142339.0,-35000.0,-107419.0,-491999.0,,,,,,,,,-489085.0,,-168150.0,221805.0,100000.0,121805.0,,,-2914.0,35000.0,,,,,1.0,121805.0,121805.0,,19500.0,,,1034.0,,,,,,-1316541.0,,-240614.0,,,19500.0,10000.0,,,,,,10183927.0
2015-09-30,2015-11-16,10-Q,"STEMGEN, INC.",SGNI,CIK0001023198,USD,84671.0,,,6721.0,1339050.0,10000.0,,,350.0,350.0,,350.0,350.0,0.001,20000000.0,14083927.0,14083927.0,,14084.0,,,490722.0,8291.0,499013.0,,,,2.2353,,,,,,,,,,,,0.0,,-0.01,,,,,,,,,,,123829.0,,,,,,,,-151995.0,,6413.0,,,,,,,13134.0,7757.0,100719.0,350.0,84671.0,,0.0,277208.0,,-276858.0,-136963.0,,,,,,,,,-123829.0,,,,377208.0,121805.0,499013.0,,,,,,,,1.0,277208.0,277208.0,,,,277208.0,-1034.0,,,,,,-1453504.0,,-100369.0,,,,,,,,,,12261101.0
2015-12-31,2016-02-19,10-Q,"STEMGEN, INC.",SGNI,CIK0001023198,USD,109621.0,,,,1442122.0,,,,575.0,575.0,,575.0,,0.001,20000000.0,14083927.0,14083927.0,,14084.0,,,580793.0,21292.0,602085.0,,,,,,,,,,,,,,,,,4690.0,-0.01,,,,,,,,,,,132487.0,,,,,,,,,,,,,,,,,25579.0,20335.0,155938.0,575.0,114311.0,,,,,,-158066.0,,,,,,,,,-132487.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,-1611570.0,,-155363.0,,,,,,,,,,14083927.0
