end,filed,form,Name,Ticker,CIK,Currency,AccountsAndNotesReceivableNet,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,AdvertisingExpense,AllowanceForDoubtfulAccountsReceivableCurrent,AmortizationOfFinancingCosts,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CashFDICInsuredAmount,ClassOfWarrantOrRightOutstanding,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountIssued1,ConversionOfStockSharesIssued1,ConvertibleLongTermNotesPayable,ConvertibleNotesPayableCurrent,CostOfRevenue,DebtInstrumentDecreaseForgiveness,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositAssetsPresentValueOfExpectedRecoveries,Depreciation,DeterioratedLoansTransferredInDebtSecuritiesAccreditableYieldPeriodIncreaseDecrease,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationMinorityInterestIncomeExpense,IncomeTaxReconciliationOtherReconcilingItems,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaidNet,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,ManagementFeeExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseExpense,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,OperatingLossCarryforwards,OtherAssetsCurrent,OtherNonrecurringIncomeExpense,PaymentsToAcquireMachineryAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockValueOutstanding,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfConvertiblePreferredStock,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOfMediumTermNotes,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfPropertyPlantAndEquipment,ProceedsFromStockPlans,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOwnedAccumulatedDepreciation,RepaymentsOfDebt,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,SalesRevenueServicesNet,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableNumber,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsOtherShareIncreaseDecreaseInPeriodWeightedAverageExercisePrice,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeLowerRangeLimit,ShareBasedGoodsAndNonemployeeServicesTransactionValuationMethodRiskFreeInterestRate,SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeExercisableOptionsWeightedAverageExercisePrice1,SharesIssued,ShorttermDebtAverageOutstandingAmount,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesRestrictedStockAwardGross,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,BusinessCombinationConsiderationTransferred1,BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationAsset1,DueToAffiliateCurrentAndNoncurrent,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,AccountsPayableRelatedPartiesCurrent,AccountsReceivableSale,AllocatedShareBasedCompensationExpense,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,DepositAssets,Deposits,DueFromRelatedParties,IncreaseDecreaseInInterestPayableNet,PaymentsOfDebtExtinguishmentCosts,ProceedsFromIssuanceOfPreferredStockPreferenceStockAndWarrants,SecurityDeposit,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableAggregateIntrinsicValue,SharePrice,StockIssuedDuringPeriodSharesShareBasedCompensation,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures
2019-04-30,2019-08-13,10-K,"GPO PLUS, INC.",GPOX,CIK0001673475,USD,,11477.0,,,18746.0,,,,,,,20358.0,20358.0,,0.0,0.0,,,,0.001,125000000.0,9316667.0,9316667.0,9317.0,,,,,,,-19205.0,0.0,-91450.0,19205.0,,,,,72268.0,,0.0,0.21,,,40812.0,,0.0,8571.0,,,,9717.0,,,-19955.0,,0.0,20358.0,83745.0,20358.0,83745.0,,51050.0,0.0,-51050.0,-40812.0,,40812.0,-40812.0,,,,,,-91450.0,,,,,,,,20358.0,,,,,,51050.0,,,,,,,,0.0,-91450.0,0.0,,,,,,,,,,,,,,,,-63387.0,,,,,,,9316667.0,,,,,,,,,,,,,,,,,,,,,,
2019-07-31,2020-01-16,10-Q,"GPO PLUS, INC.",GPOX,CIK0001673475,USD,,17377.0,,,-83737.0,,,,,,,19062.0,19062.0,,0.0,0.0,,,,0.001,1500000000.0,111800000.0,111800000.0,111800.0,,,,,,,,,,,,,,,72268.0,,0.0,,,,400.0,,0.0,,,,0.0,5900.0,0.0,,1296.0,,0.0,19062.0,89645.0,19062.0,89645.0,,0.0,0.0,0.0,-7196.0,,7196.0,-7196.0,,,,,,,,,,,,,,19062.0,,,,0.0,,,0.0,,6796.0,-7196.0,,,,,-98646.0,0.0,,,,,,,,,,,,,,,,-70583.0,,,,,,,9316667.0,,,,,,,,,,,,,,,,,,,,,,
2019-10-31,2020-02-04,10-Q,"GPO PLUS, INC.",GPOX,CIK0001673475,USD,,23450.0,,,-83737.0,,,,,,,18912.0,18912.0,,,0.0,,,,0.001,1500000000.0,111800000.0,111800000.0,111800.0,,,,,0.0,,,,,,,,,,72268.0,,0.0,,,,5923.0,0.0,,,,,,,,,,,,,95718.0,18912.0,95718.0,,,,,-6223.0,,6223.0,-6223.0,,,,,,,,,,,,,,18912.0,,,,,,,,,300.0,-6223.0,,,,,-104869.0,0.0,0.0,,,,,,,,,,,,,,,-76806.0,,,,,,,9316674.0,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,2020-05-04,10-Q,"GPO PLUS, INC.",GPOX,CIK0001673475,USD,,4659.0,,,-83737.0,,,,,,,16127.0,16127.0,,,0.0,,,,0.001,1500000000.0,111800000.0,111800000.0,111800.0,,,,,0.0,,,,,,,,,,96747.0,,0.0,,,,299.0,0.0,,,,,,,,,,,,,101406.0,16127.0,101406.0,,,,,-8473.0,,8473.0,-8473.0,,,,,,,,,,,,,,16127.0,,,,,,,,,8174.0,-8473.0,,,,,-113342.0,0.0,0.0,,,,,,,,,,,,,,,-85279.0,,,,,,,9316674.0,,,,,,,,,,,,,,,,,,,,,,
2020-04-30,2020-09-25,10-K,"GPO PLUS, INC.",GPOX,CIK0001673475,USD,,5221.0,0.0,,128790.0,,,,,,,16127.0,16127.0,0.0,0.0,0.0,,,0.0,0.0001,90000000.0,9316674.0,9316674.0,932.0,,,,,0.0,101659.0,24951.0,0.0,483770.0,24951.0,0.0,,,,0.0,,0.0,0.21,0.0,101659.0,0.0,0.0,0.0,5746.0,-27366.0,-27366.0,0.0,-6256.0,,,4231.0,,0.0,16127.0,5221.0,16127.0,5221.0,0.0,29391.0,0.0,-29391.0,-27366.0,,27366.0,-27366.0,,,0.0,,0.0,118816.0,,,0.0,,,,,16127.0,,,,,,29391.0,,,27366.0,,0.0,0.0,,,-118816.0,0.0,0.0,,0.0,,,,,,,,,,,,,10906.0,,0.0,,0.0,,,9316674.0,,,,,,,,,,,,,,,,,,,,,,
2020-07-31,2020-10-28,10-Q,"GPO PLUS, INC.",GPOX,CIK0001673475,USD,,16379.0,6338.0,,120405.0,,,,6338.0,0.0,,55403.0,36923.0,,30585.0,30585.0,,,0.0,,,,,9317.0,,,,,0.0,,,,,,50000.0,0.0,,,,,0.0,,,,19407.0,6338.0,0.0,,,,-6338.0,11158.0,-5446.0,,16127.0,0.0,0.0,,82943.0,55403.0,82943.0,0.0,50000.0,-1916.0,-17499.0,-38446.0,0.0,44784.0,-38446.0,5573.0,16564.0,16564.0,0.0,16564.0,,,,1916.0,,,,,0.0,,,0.0,50000.0,0.0,,-1916.0,0.0,25377.0,,1916.0,1916.0,,,-157262.0,6338.0,,,0.0,,,,,,,,,,,,,-27540.0,,0.0,,0.0,,,9316667.0,,,,,,,,,,,,,,,,,,,,,,
2020-10-31,2020-12-30,10-Q,"GPO PLUS, INC.",GPOX,CIK0001673475,USD,,63822.0,3761.0,,128790.0,,,,3761.0,,,47296.0,20621.0,,,2107.0,,,0.0,0.0001,90000000.0,9316674.0,9316674.0,932.0,,,,,650.0,,,,,,87500.0,,,,,,-0.01,,,,67864.0,23639.0,,,,,,,,,,0.0,,,183997.0,47296.0,183997.0,14184.0,,,,-109161.0,0.0,132800.0,-109161.0,,26675.0,26675.0,0.0,26675.0,,,,,,,,,14753.0,,,,,,,,,50752.0,,,,,,-266423.0,24289.0,14184.0,,,,,,,,,,,,,,,-136701.0,,,,,,,9316674.0,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,2021-04-30,10-Q,"GPO PLUS, INC.",GPOX,CIK0001673475,USD,,46256.0,33837.0,,438420.0,,,,,,,80802.0,70060.0,,,31773.0,,,0.0,0.0001,90000000.0,9666674.0,9666674.0,967.0,,,,,532281.0,,,,,,,,,,,,-0.04,,,,23446.0,59476.0,,,,,,,,,,0.0,,,65195.0,80802.0,65195.0,0.0,,,,-344872.0,0.0,404348.0,-344872.0,,6939.0,6939.0,0.0,6939.0,,,,,,1000000.0,1000000.0,1000000.0,4450.0,,,,,,334006.0,,,46896.0,,3803.0,,,,-611295.0,591757.0,46896.0,,,,,,,,,,,,,,,15607.0,,,,,80.0,,9469907.0,,,,,,,,,,,,,,,,,,,,,,
2021-04-30,2021-09-13,10-K,"GPO PLUS, INC.",GPOX,CIK0001673475,USD,,206142.0,5252.0,0.0,450918.0,,,,,,1012000.0,24900.0,19659.0,12407.0,12407.0,12407.0,,,0.0,0.0001,90000000.0,9666674.0,9666674.0,967.0,,,0.0,,731251.0,,129495.0,0.0,,129495.0,,478.0,,0.0,,,-0.08,0.21,259500.0,,159014.0,95480.0,0.0,104544.0,-757328.0,-497828.0,-5252.0,200921.0,,,14127.0,,0.0,,224142.0,24900.0,224142.0,10991.0,287680.0,-5719.0,-269554.0,-757328.0,,852808.0,,,,,,,616644.0,,,5719.0,,1000000.0,1000000.0,1000000.0,2000.0,,80.0,100.0,,,0.0,,,624639.0,,5241.0,,,,-876144.0,826731.0,58164.0,,259500.0,,,,,,,,,,,,,-424147.0,,237500.0,,22000.0,,,9466701.0,,287500.0,,0.0,,,0.0,,,,2000.0,0.0,,,,,2000.0,967.0,,,,
2021-07-31,2021-10-25,10-Q,"GPO PLUS, INC.",GPOX,CIK0001673475,USD,12500.0,197564.0,31818.0,3107.0,14356132.0,,,,,166667.0,3646000.0,217160.0,212204.0,64639.0,52232.0,64639.0,,280000.0,0.0,0.0001,90000000.0,9666674.0,9666674.0,1883.0,,,120258.0,159742.0,282106.0,,,,,,,285.0,0.0,12500.0,,,-1.13,,,,69012.0,87452.0,0.0,,,,-26566.0,-8578.0,,,-101247.0,40032.0,0.0,,3869929.0,217160.0,3869929.0,8720.0,250228.0,-12500.0,-185496.0,-19109657.0,-40032.0,19157077.0,-19069625.0,,,,,,,,,0.0,,,1000000.0,1000000.0,103247.0,,,18.0,0.0,250000.0,,,210.0,14602362.0,,4956.0,,,,-19985801.0,369558.0,,,11012463.0,5.91,1.25,0.0,280000.0,280000.0,1.25,1.25,0.0,0.0041,1.25,,,-5627674.0,,14537253.0,,4476982.0,0.0,3387000.0,16950089.0,,,,,,,,,,,,,,,,,,,,,,
2021-10-31,2022-01-24,10-Q,"GPO PLUS, INC.",GPOX,CIK0001673475,USD,12500.0,196550.0,47348.0,11654.0,14939993.0,,,,,,,88184.0,83515.0,16259.0,,16259.0,,448000.0,0.0,0.0001,90000000.0,19151316.0,19151316.0,,,,270911.0,,237489.0,,,,,,,,,12500.0,,,-0.16,,,,201640.0,-8328.0,,,,,,,,,,108593.0,,,6265365.0,88184.0,6265365.0,27410.0,,,,-3108305.0,-108593.0,2991384.0,-2999712.0,,,,,,,,,,,,1000000.0,1000000.0,7408.0,,,,,,,,,250044.0,,4669.0,,,,-23094106.0,229161.0,,,,,1.25,,,448000.0,,,,,1.25,,,-8152086.0,,,,,,,19039685.0,,,,60000.0,,,,,,,,,,,,,,,,,,
2022-01-31,2022-03-17,10-Q,"GPO PLUS, INC.",GPOX,CIK0001673475,USD,12500.0,248292.0,75262.0,21802.0,26894679.0,,,,,,,460957.0,456574.0,60572.0,,60572.0,,448000.0,0.0,0.0001,90000000.0,29217509.0,29217509.0,,,,348732.0,,233217.0,,,,,,,,,12500.0,,,-0.3,,,,104325.0,163877.0,,,,,,,,,,102969.0,,,1451185.0,460957.0,1451185.0,72539.0,,,,-6768740.0,-102969.0,6829648.0,-6665771.0,,,,,,,,,,,,1000000.0,1000000.0,308240.0,,,,,,5589026.0,,,1063758.0,,4383.0,,,,-29862846.0,397094.0,,,,,1.25,,,448000.0,,,,,1.25,,,2965133.0,,,,,,10838836.0,22763198.0,,,,116625.0,,,337690.0,,,,308240.0,338809.0,15000.0,,,,2000.0,2922.0,,,,
