end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableTrade,AccountsPayableTradeCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndDueFromBanks,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentDecreaseForgiveness,DeferredFederalIncomeTaxExpenseBenefit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,DueToOfficersOrStockholdersCurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EquityIssuancePerShareAmount,FederalIncomeTaxExpenseBenefitContinuingOperations,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExaminationPenaltiesAndInterestAccrued,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperations,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationOtherReconcilingItems,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToOtherRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestPaid,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OriginationOfNotesReceivableFromRelatedParties,OtherAccountsPayableAndAccruedLiabilities,OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossTax,OtherComprehensiveIncomeLossTaxPortionAttributableToNoncontrollingInterest,OtherGeneralAndAdministrativeExpense,OtherIncomeTaxExpenseBenefitContinuingOperations,PostconfirmationCommonStock,PostconfirmationCurrentAssets,PostconfirmationCurrentLiabilities,PostconfirmationOtherAssets,PostconfirmationOtherNoncurrentObligations,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PriorPeriodReclassificationAdjustment,ProceedsFromContributedCapital,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromOtherShortTermDebt,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentFairValueDisclosure,ReorganizationValue,RepaymentsOfRelatedPartyDebt,RestructuringCharges,RetainedEarningsAccumulatedDeficit,Revenues,SharePrice,SharesIssuedPricePerShare,SharesOutstanding,StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,ValuationAllowanceAmount,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2018-06-30,2019-12-16,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,15959.0,,,,341928.0,,,,,,,,,,,0.001,100000000.0,10047495.0,10047495.0,10048.0,,,,,,,,,,,,,,,39115.0,,,0.0,,,,4374.0,,-20950.0,,,,,,,,,,,,,,,,,,,,,55074.0,,55074.0,,,,,,-20950.0,,20950.0,,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,16576.0,,,,,,-407050.0,,,,,,-55074.0,,0.0,,,,10047495.0,
2018-09-30,2020-01-15,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,17595.0,,,,341928.0,,,,,,,,,,,0.001,100000000.0,10047495.0,10047495.0,10048.0,,,,,,,,,,,,,,,39115.0,,,0.0,,,,987.0,,-1636.0,,,,,,,,,,,,,,,,,,,,,56710.0,,56710.0,,,,,,-1636.0,,1636.0,,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,649.0,,,,,,-408686.0,,,,,,-56710.0,,,,,,10047495.0,
2018-12-31,2020-05-01,10-K,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,21691.0,,,,341928.0,0.0,,2826.0,2826.0,2826.0,-16439.0,,,,,0.001,100000000.0,10047495.0,10047495.0,10048.0,,,,,,,,,,87700.0,87700.0,,,,46615.0,,,0.0,,,,7162.0,,-38237.0,,,,,8100.0,,-8100.0,,,,14298.0,,,,,,,,,,68306.0,2826.0,68306.0,7500.0,,,-23939.0,,-38237.0,,38237.0,,417000.0,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,7500.0,,31075.0,,,,,,-417456.0,,,,,,-65480.0,,,157194.0,,8100.0,10047495.0,
2019-03-31,2020-06-04,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,24329.0,,,,341928.0,0.0,,2826.0,,2826.0,,,,,,0.001,100000000.0,10047495.0,10047495.0,10048.0,,,,,,,,,,,,,,,46615.0,,,0.0,,,,769.0,,-2638.0,,,,,,,,,,,2638.0,,,,,,,,,,70944.0,2826.0,70944.0,,,,,,-2638.0,,2638.0,,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,1869.0,-2638.0,,,,,-420094.0,,,,,,-68118.0,,0.0,,,,10047495.0,
2019-06-30,2020-10-05,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,23346.0,,,,341928.0,,,547.0,,547.0,,,,,,0.001,100000000.0,10047495.0,10047495.0,10048.0,,,,,,,,,,,,,,,46615.0,,,0.0,,,,886.0,,-1296.0,,,,,,,,,,,,,,,,,,,,,69961.0,547.0,69961.0,,,,,,-1296.0,,1296.0,,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,410.0,-1296.0,,,,,-421390.0,,,,,,-69414.0,,0.0,,,,10047495.0,
2019-09-30,2021-07-20,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,25015.0,,,,341928.0,,,,,,,,,,,0.001,100000000.0,10047495.0,10047495.0,10048.0,,,,,,,,,,,,,,,46615.0,,,0.0,,,,1160.0,,-2216.0,,,,,,,,,,,,,,,,,,,,,71630.0,,71630.0,,,,,,-2216.0,,2216.0,,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,1056.0,-2216.0,,,,,-423606.0,,,,,,-71630.0,,,,,,10047495.0,
2019-12-31,2021-09-10,10-K,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,14516.0,,,,341928.0,0.0,,19730.0,19730.0,19730.0,16904.0,,16904.0,,,0.001,100000000.0,10047495.0,10047495.0,10048.0,,,,,,,,,,89900.0,89900.0,,,,81615.0,,,0.0,,,,3980.0,,-10921.0,0.0,,,,2200.0,,-2200.0,,,,-7175.0,,,,,35000.0,,,,,96131.0,19730.0,96131.0,35000.0,,,-18096.0,,-10921.0,,10921.0,,428000.0,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,35000.0,,6941.0,-10921.0,,,,,-428377.0,,,,,,-76401.0,,0.0,,,2200.0,10047495.0,
2020-03-31,2021-09-23,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,19065.0,,,,341928.0,0.0,,10998.0,,10998.0,,,-8732.0,,,0.001,100000000.0,10047495.0,10047495.0,10048.0,,,,,,,,,,,,,,,81615.0,,,0.0,,,,2295.0,,-13281.0,,,,,,,,,,,4549.0,,,,,,,,,,100680.0,10998.0,100680.0,,,,-8732.0,,-13281.0,,13281.0,,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,10986.0,-13281.0,,,,,-441658.0,,,,,,-102470.0,,0.0,,,,10047495.0,
2020-06-30,2021-09-24,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,25036.0,,,,341928.0,,,4181.0,,4181.0,,,,,,0.001,100000000.0,10047495.0,10047495.0,10048.0,,,,,,,,,,,,,,,81615.0,,,0.0,,,,3226.0,,-12788.0,,,,,,,,,,,,,,,,,,,,,106651.0,4181.0,106651.0,,,,,,-12788.0,,12788.0,,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,9562.0,-2608.0,,,,,-454446.0,,,,,,-89682.0,,,,,,10047495.0,
2020-09-30,2021-09-27,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,27075.0,,,,341928.0,,,3612.0,,3612.0,,,,,,0.001,100000000.0,10047495.0,10047495.0,10048.0,,,,,,,,,,,,,,,81615.0,,,0.0,,,,2039.0,,-2608.0,,,,,,,,,,,,,,,,,,,,,108690.0,3612.0,108690.0,,,,,,-2608.0,,2608.0,,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,569.0,-12788.0,,,,,-457054.0,,,,,,-105078.0,,,,,,10047495.0,
2020-12-31,2021-09-28,10-K,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,27275.0,,,,341928.0,0.0,,1824.0,1824.0,1824.0,,,-17906.0,,,0.001,100000000.0,10047495.0,10047495.0,10048.0,,,,,,,,,,96300.0,96300.0,,,,81615.0,,,0.0,,,,21804.0,,-30665.0,0.0,,,,6400.0,,-6400.0,,,,12759.0,,,,,,,,,,108890.0,1824.0,108890.0,,,,-17906.0,,-30665.0,,30665.0,,459000.0,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,8861.0,-30665.0,,,,,-459042.0,,,,,,-107066.0,,0.0,,,6400.0,10047495.0,
2021-03-31,2021-09-28,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,28609.0,,,,341928.0,0.0,,1824.0,,1824.0,,,,,,0.001,100000000.0,10047495.0,10047495.0,10048.0,,,,,,,,,,,,,,,81615.0,,,0.0,,,,1334.0,,-1334.0,,,,,,,,,,,1334.0,,,,,,,,,,110224.0,1824.0,110224.0,,,,,,-1334.0,,1334.0,,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,,-1334.0,,,,,-460376.0,,,,,,-11934.0,,0.0,,,,10047495.0,
2021-06-30,2021-09-28,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,20543.0,,,,341928.0,,,1824.0,,1824.0,,,,,,0.001,100000000.0,10047495.0,10047495.0,10048.0,,,,,,,,,,,,,,,81615.0,,,0.0,,,,1934.0,,-11934.0,,,,,,,,,,,,,,,,,,,,,122158.0,1824.0,122158.0,,,,,,-11934.0,20000.0,11934.0,,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,10000.0,-36352.0,,,,,-472310.0,,,,,,-108400.0,,,,,,10047495.0,
2021-09-30,2021-11-22,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,38071.0,,,,341928.0,,,,,,,,,,,0.001,100000000.0,10047495.0,10047495.0,10048.0,,,,,,,,,,,,,,,81615.0,,,0.0,,,,6852.0,,-36352.0,,,,,,,,,,,,,,,,,,,,,156686.0,,156686.0,,,,,,-36352.0,37000.0,36352.0,,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,29500.0,-11934.0,,,,,-508662.0,,,,,,-156686.0,,,,,,10047495.0,
