end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableNet,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CapitalLeaseObligations,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ContributionOfProperty,CurrentIncomeTaxExpenseBenefit,DebtInstrumentIncreaseAccruedInterest,DeferredIncomeTaxesAndTaxCredits,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsTaxCreditCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationDepletionAndAmortization,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationDeductions,EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent,EffectiveIncomeTaxRateReconciliationTaxCredits,EffectOfExchangeRateOnCashAndCashEquivalents,EmployeeRelatedLiabilitiesCurrent,ExtinguishmentOfDebtGainLossNetOfTax,GainsLossesOnExtinguishmentOfDebt,GainsLossesOnRestructuringOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInCustomerAdvances,IncreaseDecreaseInCustomerAdvancesAndDeposits,IncreaseDecreaseInDueToOfficersAndStockholdersCurrent,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherEmployeeRelatedLiabilities,InterestAndDebtExpense,InterestExpense,InterestIncomeOperating,InterestIncomeOther,InterestPaid,InterestPaidNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseholdImprovementsGross,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermLoansPayable,LongTermNotesPayable,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingGainsLosses,NonoperatingIncomeExpense,NotesAndLoansPayableCurrent,NotesIssued1,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,OfficersCompensation,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccountsPayableAndAccruedLiabilities,OtherAssets,OtherAssetsCurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossTax,OtherComprehensiveIncomeOtherNetOfTax,OtherCostAndExpenseOperating,OtherLaborRelatedExpenses,OtherLiabilitiesCurrent,OtherLongTermDebtCurrent,OtherNonrecurringIncomeExpense,OtherNotesPayableCurrent,PaymentsToAcquireEquipmentOnLease,PaymentsToAcquireOtherProductiveAssets,PaymentsToAcquireProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalAndContractServicesExpense,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOwnedGross,ProvisionForDoubtfulAccounts,RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueGoodsNet,ShareBasedCompensation,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensation,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,NetIncomeLossAvailableToCommonStockholdersBasic,ReceivableFromOfficersAndDirectorsForIssuanceOfCapitalStock,SaleOfStockConsiderationReceivedOnTransaction
2017-06-30,2017-11-27,10-K,STAR ALLIANCE INTERNATIONAL CORP.,STAL,CIK0001614556,USD,,,25897.0,,,478339.0,,,,,,0.0,,-1380.0,,,,,,0.001,75000000.0,35400000.0,35400000.0,35400.0,-520661.0,285489.0,,,,183476.0,,183476.0,539636.0,,183476.0,7653.0,,,,,,,-0.01,,,,1.0,,-23879.0,,,,,253853.0,-496782.0,,,194808.0,,,27134.0,,,,,,,,27134.0,,-12904.0,,,420.0,228.0,228.0,,,,,,25897.0,,25897.0,,,,329251.0,-27081.0,-279671.0,-496782.0,228.0,-192.0,,,,,,496590.0,-496590.0,,25897.0,,,-23879.0,-23879.0,-23879.0,-520661.0,-23879.0,,,,,,,,,,27081.0,,,,,,,,,683665.0,,242737.0,,,,,,,,,635024.0,-539636.0,,,,-25897.0,,,,,,,,,35400000.0,,,,
2017-09-30,2017-12-08,10-Q,STAR ALLIANCE INTERNATIONAL CORP.,STAL,CIK0001614556,USD,,,20897.0,,,478339.0,,,,,,,,,,,,,,0.001,75000000.0,35400000.0,35400000.0,35400.0,,,,,,,,,,,,,,15171.0,,,,,0.0,,,,,,,,,,,3211.0,-36711.0,,,,,,10171.0,,,,,,,,,,,,,,,,,,,,,36068.0,,36068.0,,,,,,,-10171.0,,,,,,,,36711.0,-36711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33500.0,,,,,,,,,,-549807.0,,,,-36068.0,,,,,,,,,35400000.0,,,,
2017-12-31,2018-08-22,10-Q,STAR ALLIANCE INTERNATIONAL CORP.,STAL,CIK0001614556,USD,,,30128.0,,,478339.0,,,,,,,,,,,,,,0.001,75000000.0,35400000.0,35400000.0,35400.0,,,,,,,,,,,,,,42651.0,,,,,0.0,,,,,,,,,,,3211.0,-36711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,72779.0,,72779.0,,,,,,,-36711.0,,,,,,,,36711.0,-36711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33500.0,,,,,,,,,,-586518.0,,,,-72779.0,,,,,,,,,35400000.0,,,,
2018-03-31,2018-10-05,10-Q,STAR ALLIANCE INTERNATIONAL CORP.,STAL,CIK0001614556,USD,,,30128.0,,,478339.0,,,,,,,,,,,,,,0.001,75000000.0,35400000.0,35400000.0,35400.0,,,,,,,,,,,,,,42651.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72779.0,,72779.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-586518.0,,,,-72779.0,,,,,,,,,35400000.0,,,,
2018-06-30,2019-02-15,10-K,STAR ALLIANCE INTERNATIONAL CORP.,STAL,CIK0001614556,USD,0.0,,20182.0,,,503289.0,,0.0,300.0,,,300.0,300.0,300.0,,0.0,300.0,,,0.001,175000000.0,35450000.0,35450000.0,35450.0,-93936.0,,,,,,0.0,127772.0,-608000.0,,127772.0,,,42651.0,300.0,42651.0,300.0,,0.0,,0.21,,,,,,,,0.0,6382.0,-93936.0,0.0,0.0,0.0,,,68936.0,,,,,,,,,,,,,132.0,,,,0.0,,,,95133.0,300.0,95133.0,,,,300.0,,0.0,-93936.0,,-132.0,32000.0,,0.0,,,93804.0,-93804.0,,,,,,,,,,,,,,,32000.0,,,,,,,,,,0.0,,300.0,,87422.0,87422.0,,,,,,,,,0.0,-633572.0,,,25000.0,-94833.0,,,,,25000.0,,,,35400000.0,,,,
2018-09-30,2019-02-26,10-Q,STAR ALLIANCE INTERNATIONAL CORP.,STAL,CIK0001614556,USD,9299.0,,20585.0,,,503289.0,,,2530.0,,,2530.0,2530.0,2230.0,,,2230.0,10008.0,,0.001,75000000.0,35450000.0,35450000.0,35450.0,,,,535.0,,,,,,,,,,,15638.0,42651.0,,,0.0,,,,,,,,,,,3498.0,-22810.0,0.0,0.0,9299.0,,,3503.0,,,,,,,,,0.0,,,,403.0,,,,0.0,0.0,,,120173.0,2530.0,120173.0,,,,12238.0,0.0,-10008.0,-22810.0,,-403.0,,,32000.0,,0.0,22407.0,-22407.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,19741.0,,18909.0,12687.0,,,,,,,,0.0,7503.0,-656382.0,,,,-117643.0,,,,,,,,,35450000.0,,,,
2018-12-31,2019-03-15,10-Q,STAR ALLIANCE INTERNATIONAL CORP.,STAL,CIK0001614556,USD,14432.0,,1326.0,,,503289.0,,,204.0,,,204.0,204.0,,,,,,,0.001,75000000.0,35450000.0,35450000.0,35450.0,,,,,,,,,,,,,,,26974.0,42651.0,,,0.0,,,,,,,,,,,6108.0,-19536.0,0.0,,,,,,,,,,,,,,,,,,741.0,,,,,,,,137383.0,204.0,137383.0,,,,,,,-19536.0,,-741.0,32000.0,,20000.0,,0.0,18795.0,-18795.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,12687.0,,,,,,,,,,,-675918.0,,,,-137179.0,,,,,,,,,35400000.0,,,,
2019-03-31,2019-05-20,10-Q,STAR ALLIANCE INTERNATIONAL CORP.,STAL,CIK0001614556,USD,20003.0,,2065.0,,,503289.0,,,225.0,,,225.0,225.0,,,,,,,0.001,75000000.0,35450000.0,35450000.0,35450.0,,,,,,,,,,,,,,,51124.0,42651.0,,,0.0,,,,,,,,,,,7344.0,-30439.0,0.0,,,,,,,,,,,,,,,,,,789.0,,,,,,,,167843.0,225.0,167843.0,,,,,,,-30439.0,,-789.0,32000.0,,20000.0,,0.0,29650.0,-29650.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,22306.0,22306.0,,,,,,,,,,-706357.0,,,,-167618.0,,,,,,,,,35400000.0,,,,
2019-06-30,2020-01-23,10-K,STAR ALLIANCE INTERNATIONAL CORP.,STAL,CIK0001614556,USD,32692.0,,2863.0,,,551289.0,,0.0,471.0,471.0,,471.0,,,,0.0,171.0,,,0.001,175000000.0,83450000.0,83450000.0,83450.0,,,,,,,0.0,152765.0,,,152765.0,,,42651.0,,,3980.0,,0.0,,,,,,,0.0,,0.0,-48000.0,27617.0,-141882.0,0.0,0.0,43192.0,,,5781.0,,,,,,,,,0.0,,,,2731.0,,,,0.0,0.0,,,134186.0,471.0,134186.0,,,,45080.0,0.0,-44909.0,-141882.0,,-50731.0,,20000.0,20000.0,,0.0,91151.0,-91151.0,634000.0,,0.0,,,,,,,,0.0,,,,32000.0,,,,,0.001,25000000.0,,,,7000.0,0.0,72085.0,,0.0,63534.0,,,0.0,,,,,0.0,34005.0,-775454.0,,,0.0,-133715.0,,0.0,,,,7000.0,,,37817123.0,,,,
2019-09-30,2020-03-02,10-Q,STAR ALLIANCE INTERNATIONAL CORP.,STAL,CIK0001614556,USD,35935.0,,3669.0,,,558789.0,,,509739.0,2207.0,,2207.0,,,1736.0,,1736.0,,,0.001,175000000.0,90200000.0,90200000.0,90200.0,,,,,,,,,,,,,,42651.0,,,18088.0,,0.0,,,,,,,40000.0,0.0,,,17444.0,-73751.0,0.0,0.0,3243.0,,,807.0,,,,40000.0,,,3243.0,,807.0,,,,807.0,,,,0.0,11080.0,,,642343.0,509739.0,642343.0,,,,20357.0,0.0,-18621.0,-73751.0,,-807.0,,,470000.0,,35000.0,72944.0,-72944.0,,,507532.0,,,,,,,,13000.0,,,,32000.0,,,,,0.001,25000000.0,,,,56000.0,0.0,24029.0,,0.0,7500.0,,,450000.0,,,0.0,,50000.0,9672.0,-849205.0,,,,-132604.0,,,7532.0,7532.0,3080.0,56000.0,8000.0,,87990761.0,,,,
