end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease,AdditionalPaidInCapital,AdvertisingExpense,AssetImpairmentCharges,Assets,AssetsCurrent,AssetsNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CertainLoansAcquiredInTransferAccountedForAsAvailableforsaleDebtSecuritiesOtherthanTemporaryImpairmentChargesCreditLoss,CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAllowanceForLoanLossesDecreases1,CommercialPaper,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockValue,CommonStockValueOutstanding,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,CostOfGoodsSold,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount1,DebtInstrumentFaceAmount,DebtInstrumentIncreaseAccruedInterest,DebtRelatedCommitmentFeesAndDebtIssuanceCosts,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositLiabilitiesAccruedInterest,Depreciation,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,GainsLossesOnExtinguishmentOfDebt,GainsLossesOnRestructuringOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfLeasehold,ImpairmentOfOngoingProject,ImpairmentOfRealEstate,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInOtherLoans,IncreaseDecreaseInOtherNoncurrentAssets,InducedConversionOfConvertibleDebtExpense,InterestAndDebtExpense,InterestExpense,InterestExpenseDebt,InterestExpenseOther,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToParentDiluted,NetIncomeLossFromContinuingOperationsAvailableToCommonShareholdersBasic,NonoperatingGainsLosses,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OtherCostAndExpenseOperating,OtherExpenses,PaymentsOfLoanCosts,PaymentsToAcquireBuildings,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromRepaymentsOfNotesPayable,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOther,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueGoodsNet,SellingGeneralAndAdministrativeExpense,SharePrice,StockholdersEquity,StockholdersEquityNoteChangesInCapitalStructureSubsequentChangesToNumberOfCommonShares,StockIssued1,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,DebtInstrumentDecreaseForgiveness,IncreaseDecreaseInAccountsPayableRelatedParties
2017-07-31,2017-09-14,10-Q,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,,,,4066.0,,544.0,,39000.0,,,11054.0,3684.0,7371.0,3684.0,3685.0,,,,1605.0,0.001,750000000.0,70000000.0,70000000.0,,20000.0,,16605.0,5984.0,5984.0,,,,,,,,,,,,49.0,,0.0,,,,,,,3185.0,,,,,3135.0,,,,,,,,,,,,,,,11054.0,5671.0,,,,,,3135.0,,,,,,,,49.0,,,,,,,,,,,7915.0,,,-53617.0,9168.0,9168.0,,,5383.0,,,,,,61055120.0,70000000.0,,
2017-10-31,2018-02-13,10-K,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,325.0,325.0,,4066.0,325.0,,,1857945.0,,,8961.0,1640.0,7321.0,,1640.0,1339.0,,,1605.0,0.001,750000000.0,61055120.0,61055120.0,,61055.0,,,37268.0,37268.0,,,15000.0,4066.0,,,,,,,,198.0,,0.0,0.39,0.34,0.05,,,,6741.0,,,,1093.0,,,,48.0,48.0,-15000.0,,,,,,48.0,,,5966.0,8961.0,5996.0,4066.0,15000.0,198.0,-13859.0,,1093.0,1093.0,,,,5691.0,,,5648.0,,,,,,,15000.0,,,,7321.0,7321.0,,-1916034.0,44009.0,44009.0,5402.0,,2965.0,,,,,,61055120.0,,,
2018-01-31,2018-03-06,10-Q,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,341.0,341.0,,4066.0,341.0,,,1857945.0,,,12392.0,5120.0,7272.0,,5120.0,3479.0,,,1605.0,0.001,750000000.0,70000000.0,70000000.0,,61055.0,,,6840.0,6840.0,,,,,16.0,,,,,,,49.0,,0.0,,,,,,,4935.0,,,,,,,,16.0,16.0,,,,,,16.0,16.0,,,6012.0,12392.0,6012.0,,,49.0,3430.0,3479.0,3414.0,,3414.0,,,5691.0,,1505.0,1521.0,,16.0,,,,,,,,,7272.0,7272.0,,-1912620.0,11775.0,11775.0,1456.0,,6380.0,,,,,,61055120.0,,,
2018-04-30,2018-06-19,10-Q,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,357.0,357.0,,4066.0,357.0,,,1857945.0,,,12526.0,5304.0,7222.0,,5304.0,,,,1605.0,0.001,750000000.0,61055120.0,61055120.0,,61055.0,,,7040.0,7040.0,,,,,,,,,,,,49.0,,0.0,,,,,,,3853.0,,,,,,,,,,,,,,,16.0,16.0,,,6028.0,12526.0,6028.0,,,,,,119.0,,,,,5691.0,,3718.0,3734.0,,16.0,,,,,,,,,7222.0,7272.0,,-1912502.0,10893.0,10893.0,3669.0,,6498.0,,,,,,61055120.0,,,
2018-07-31,2020-02-12,10-Q,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,357.0,,,4066.0,373.0,,,1857945.0,,,12505.0,5304.0,7173.0,,5304.0,,,,1605.0,0.001,750000000.0,61055120.0,61055120.0,,61055.0,,,7078.0,,,,,,,,,,,,,49.0,,0.0,,,,,,,6697.0,,,,,,,,,,,,,,,16.0,16.0,,,6028.0,12505.0,6044.0,,,,,,-38.0,,,,,5691.0,,6718.0,6735.0,,16.0,,,,,,,,,7173.0,7272.0,,-1912539.0,13775.0,,6669.0,,6461.0,,,,,,61055120.0,,,
2018-10-31,2020-03-27,10-K,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,4889.0,,4500.0,,389.0,,,1857945.0,,0.0,0.0,,,,,-1640.0,8439.0,7173.0,1605.0,0.001,750000000.0,61055120.0,61055120.0,,61055.0,,,20958.0,,,,,,64.0,,1987.0,,9460.0,1987.0,,148.0,,0.0,0.21,0.21,,,,,15485.0,12505.0,7173.0,7173.0,,,4500.0,,,64.0,,-4066.0,-4086.0,,,64.0,64.0,,,6494.0,0.0,6494.0,0.0,,148.0,-1788.0,-1640.0,-9460.0,-9460.0,-9460.0,4066.0,,1605.0,,16442.0,29011.0,,8503.0,,,,,,,,,,,,-1925494.0,36443.0,,16294.0,,-6494.0,,,,,,61055120.0,,,
2019-01-31,2020-04-23,10-Q,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,4905.0,,4500.0,,405.0,,,1857945.0,,5332.0,0.0,,,,,,,,1605.0,0.001,750000000.0,61055120.0,61055120.0,,61055.0,,,,,,,,,16.0,,3.0,,16.0,3.0,,,,0.0,0.21,0.21,,,,,,,,7173.0,,,,,,16.0,,,,,,16.0,16.0,,,6510.0,0.0,6510.0,,,,,,-16.0,-16.0,-16.0,,,1605.0,,,16.0,,16.0,,,,,,,,,,,,-1925510.0,,,,,-6510.0,,,,,,61055120.0,,,
2019-04-30,2020-04-23,10-Q,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,4921.0,,4500.0,,421.0,,,1857945.0,,,0.0,,,,,,,,1605.0,0.001,750000000.0,61055120.0,61055120.0,,61055.0,,,,,,,,,,,3.0,,16.0,3.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,,,6526.0,0.0,6526.0,,,,,,-16.0,-16.0,,,,1605.0,,,16.0,,16.0,,,,,,,,,,,,-1925526.0,,,,,-6526.0,,,,,,61055120.0,,,
2019-07-31,2020-04-23,10-Q,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,7187.0,,6750.0,,437.0,,,1857945.0,,,0.0,,,,,,,,1605.0,0.001,750000000.0,61055120.0,61055120.0,,61055.0,,,,,,,,,,,476.0,,2266.0,476.0,,,,0.0,,,,,,2250.0,,,,,,-2266.0,,,,,,,,,,16.0,16.0,,,8792.0,0.0,8792.0,,,,,,-2266.0,-2266.0,,,,1605.0,,2250.0,2250.0,-2250.0,16.0,16.0,,,,,,,,,,,-1927792.0,,,2250.0,,-8792.0,,,,,,61055120.0,,,
2019-10-31,2020-05-12,10-K,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,9653.0,,9200.0,,453.0,,,90945.0,,,0.0,,,,,,,,1605.0,0.001,750000000.0,61055120.0,61055120.0,,61055.0,,,,,,,,,64.0,,1000.0,,4764.0,1000.0,,,,0.0,0.21,0.21,,,,4700.0,,,,,,-4764.0,4700.0,4764.0,,64.0,,,,,,64.0,64.0,,,11258.0,0.0,11258.0,,,,,,-4764.0,-4764.0,-4764.0,,,1605.0,,4700.0,4700.0,-4700.0,64.0,64.0,,,,,,,,,,,-163258.0,,,4700.0,,-11258.0,,,,,,61055120.0,,,
2020-01-31,2020-05-28,10-Q,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,12216.0,,11747.0,,469.0,,,1857945.0,,,0.0,,,,,,,,1605.0,0.001,750000000.0,61055120.0,61055120.0,,61055.0,,,,,,,,,16.0,,538.0,,2563.0,538.0,,,,0.0,0.21,0.21,,,,2547.0,,,,,,-2563.0,2547.0,2563.0,,16.0,,,,,,16.0,16.0,,,13821.0,0.0,13821.0,,,,,,-2563.0,-2563.0,-2563.0,,,1605.0,,2547.0,2547.0,-2547.0,16.0,16.0,,,,,,,,,,,-1932821.0,,,2547.0,,-13821.0,,,,,,61055120.0,,,
2020-04-30,2020-08-11,10-Q,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,16970.0,,16485.0,,485.0,,,2277945.0,,,0.0,,,,,,,,1605.0,0.001,750000000.0,261055120.0,261055120.0,,261055.0,,,,,615855.0,,620000.0,,,,2407.0,,11462.0,2407.0,,,,-0.01,,,,,-615855.0,8883.0,,,,,,-624754.0,,,,,,,,,,16.0,16.0,,,18575.0,0.0,18575.0,0.0,,,,,-624754.0,-624754.0,,,,1605.0,,8883.0,8883.0,-8883.0,615871.0,615871.0,,,,,,,-624754.0,,,,-2557575.0,,,8883.0,,-18575.0,,,620000.0,,,61055120.0,,,
2020-07-31,2021-02-10,10-Q,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,14994.0,,,,502.0,,,2289734.0,,,0.0,,,,,,,,,0.001,750000000.0,261055120.0,261055120.0,,261055.0,,,,,,,,,,,,541484.0,2578493.0,541484.0,,,11105.0,0.0,,,,,-615855.0,9112.0,,,,,,-636773.0,,,,,,,,,,,11806.0,,11789.0,27704.0,0.0,27704.0,0.0,,,,,-636773.0,-20918.0,,,,1605.0,,,9112.0,-9112.0,,627661.0,,,,,,,-20918.0,,,,-2578493.0,,,,,-39493.0,,,,,,261055120.0,,,
2020-10-31,2021-05-13,10-K,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,14085.0,,,3062.0,518.0,,,510945.0,0.0,,0.0,0.0,0.0,,,,,,,0.001,750000000.0,261055120.0,261055120.0,,261055.0,,,,,615855.0,,620000.0,,,615855.0,,169881.0,808623.0,169881.0,,,11721.0,0.0,,0.21,,-615855.0,-615855.0,29446.0,,,,,,-645365.0,,4432.0,,6150.0,6150.0,11721.0,,,,,64.0,64.0,,36623.0,0.0,36623.0,,22016.0,,-22016.0,,-645365.0,,,,,7755.0,11721.0,,29446.0,-29446.0,,615919.0,,,4145.0,,,,-645365.0,,,,-808623.0,,,,,-36623.0,,,620000.0,,,192789924.0,,,3062.0
2021-01-31,2021-06-11,10-Q,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,25538.0,,,,,,,2277945.0,,,0.0,0.0,,,,,,,,0.001,750000000.0,261055120.0,261055120.0,,261055.0,,,,,,,,,,,,542687.0,2584222.0,542687.0,534.0,,11929.0,0.0,,0.21,,,,8583.0,,,,,,-8599.0,,8391.0,,,,208.0,,,,,16.0,,,45222.0,0.0,45222.0,,208.0,,-208.0,,-8599.0,,,,6150.0,7755.0,11929.0,,8583.0,-8583.0,,16.0,,,,,,,,,,,-2584222.0,,,,,-45222.0,,,,,,261055120.0,,,
2021-04-30,2021-06-29,10-Q,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,38564.0,,,,,,,2277945.0,,,0.0,0.0,0.0,,,,,,,0.001,750000000.0,261055120.0,261055120.0,,261055.0,,,,,,,,,,,,545129.0,2595853.0,545129.0,550.0,,12139.0,0.0,,,,,,11615.0,,,,,,-11631.0,,,,,,,,,,,16.0,,,56853.0,0.0,56853.0,,,,,,-11631.0,,,,6150.0,6150.0,12139.0,,11615.0,-11615.0,,16.0,,,,,,,-11631.0,,,,-2595853.0,,,,,-56853.0,,,,,,261055120.0,,,
2021-07-31,2021-09-27,10-Q,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,37588.0,,,,,,,510945.0,,,0.0,,0.0,,,,,,,0.001,750000000.0,261055120.0,261055120.0,,261055.0,,,,,,,,,,,,174948.0,833087.0,174948.0,550.0,,12349.0,0.0,,,,,,4234.0,,,,,,-4234.0,,,,,,,,,,,,,,61087.0,0.0,61087.0,,,,,,-4234.0,,,,,11150.0,12349.0,,4234.0,-4234.0,,,,,,,,,,,,,-833087.0,,,,,-61087.0,,,,,,261055120.0,,,
2021-10-31,2022-03-09,10-K,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,8122.0,,,26155.0,,,,510945.0,,,0.0,,,,,,,,,0.001,750000000.0,261055120.0,261055120.0,,261055.0,,,,,,,,,,,,175545.0,835927.0,175545.0,550.0,,12500.0,0.0,,0.21,,,,40209.0,,,,,,-27304.0,,-5963.0,,,10174.0,,,,,,0.0,,,63927.0,0.0,63927.0,,,,,,-27304.0,,,,,17150.0,12500.0,,40209.0,-40209.0,,12905.0,,,,,,,-27304.0,,,,-835927.0,,,,,-63927.0,,,,,,261055120.0,,12905.0,23093.0
