end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccruedLiabilitiesCurrent,AccruedRentCurrentAndNoncurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdvertisingExpense,AssetImpairmentCharges,Assets,AssetsCurrent,AssetsNoncurrent,CapitalizedCostsSupportEquipmentAndFacilities,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostOfRevenue,CurrentIncomeTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredTaxAssetInterestCarryforward,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsNetCurrent,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceCurrent,Depreciation,DepreciationExpenseOnReclassifiedAssets,DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,DueFromRelatedPartiesCurrent,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EscrowDeposit,EscrowDepositsRelatedToPropertySales,FairValueInputsLongTermNetOfTaxOperatingIncomeMarginPercent,GainOrLossOnSaleOfStockInSubsidiary,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfLongLivedAssetsHeldForUse,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperationsDiscontinuedOperationsExtraordinaryItems,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInPrepaidExpense,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermDebtMaturingInYearsTwoAndThree,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpenseDirectorsFees,NotesPayableCurrent,OperatingIncomeLoss,OperatingLeasesFutureMinimumPaymentsReceivable,OperatingLeasesFutureMinimumPaymentsReceivableCurrent,OperatingLeasesFutureMinimumPaymentsReceivableInThreeYears,OperatingLeasesFutureMinimumPaymentsReceivableInTwoYears,OperatingLossCarryforwards,OtherAssets,OtherDepreciationAndAmortization,OtherLaborRelatedExpenses,OtherNonoperatingIncomeExpense,OtherOperatingIncome,PaymentsToAcquireBuildings,PaymentsToAcquireFurnitureAndFixtures,PaymentsToAcquireInterestInSubsidiariesAndAffiliates,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValueOutstanding,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,RevenueFromRelatedParties,Revenues,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,StockholdersEquity,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,TaxesPayableCurrent,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,DueToOtherRelatedPartiesClassifiedCurrent
2017-04-30,2017-05-26,10-Q,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,,,,,500.0,,,39000.0,,,15069.0,902.0,,8000.0,902.0,902.0,,,,0.001,75000000.0,5000000.0,5000000.0,5000.0,,6349.0,,,,,,,,,,,,,,,,,,458.0,0.01,0.0,0.01,,,,,,,,,,1661.0,,341.0,,,,,,,,,,,,,,958.0,15069.0,,,9750.0,,,,341.0,,,341.0,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,13167.0,-29889.0,,,8010.0,1320.0,,14111.0,,,,,,,,5000000.0,5000000.0,5000000.0,,
2017-07-31,2017-11-14,10-K,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,,,,,,,,39000.0,,,13768.0,,13768.0,8000.0,,,-859.0,,,0.001,75000000.0,5000000.0,5000000.0,5000.0,,21266.0,21266.0,,1478.0,,,,4824.0,,,-4824.0,4825.0,1596.0,,,,,,11217.0,,-0.28,,,0.34,0.0,,,,,,,6927.0,,-14190.0,,,,,10760.0,,,,-500.0,,,,0.0,11217.0,13768.0,11217.0,,9750.0,,,-859.0,-14192.0,,,-14190.0,,,,,,1000.0,,,,-28382.0,,,,,,,,,,,,,,,-14190.0,,12768.0,-41449.0,,28193.0,28193.0,21118.0,,2551.0,,,,,,,,5000000.0,5000000.0,,,
2017-10-31,2017-12-20,10-Q,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,,43822.0,,,7213.0,,,39000.0,,,13369.0,,13369.0,8000.0,,,,,,0.001,75000000.0,5000000.0,5000000.0,5000.0,,,,,,,,,18174.0,,,,18174.0,399.0,,,,,,13235.0,-0.01,-0.01,-0.01,0.15,0.15,0.0,,,,,,,,,-53452.0,,,,,43822.0,,,,7213.0,,,,,64270.0,13369.0,64270.0,,9750.0,2018.0,,-2018.0,-53452.0,3000.0,,-53452.0,,,,,,1000.0,,,,-53452.0,,,,,,,,,,,,,2018.0,,,,12369.0,-94901.0,,,,53452.0,,-50901.0,,,,,,,,,5000000.0,5000000.0,,
2018-01-31,2018-03-19,10-Q,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,,43822.0,,,9907.0,,,46250.0,,,13032.0,62.0,12970.0,8000.0,,,,,,0.001,75000000.0,5250000.0,5250000.0,5250.0,,,,,,,,,16090.0,,,,16090.0,,,,,,,13835.0,0.0,0.0,0.0,,,,62.0,,,,,,,,-11131.0,,,,,,,,,,,,,,67564.0,13032.0,67564.0,,9750.0,,,,-11131.0,,,-11131.0,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,11970.0,-106032.0,,,,11131.0,,-54532.0,,,,,,,,5176630.0,,5176630.0,,
2018-04-30,2018-06-19,10-Q,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,,,,,16732.0,,,57850.0,,,17127.0,4556.0,12571.0,8000.0,,,,,,0.001,75000000.0,5649999.0,5649999.0,5650.0,,,,,,,,,,,,,,,,,,,,58422.0,0.0,0.0,-0.29,,,,4556.0,,,,,,,,-15720.0,,,,,,,,,,,,,,75153.0,17127.0,75153.0,,9750.0,,,,-15720.0,,,-15720.0,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,11571.0,-121526.0,,,,15720.0,,-58026.0,,,,,,,,5461235.0,,5461235.0,,
2018-07-31,2018-11-13,10-K,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,15011.0,,,,15011.0,,,12457.0,,,33457.0,22285.0,11172.0,8000.0,17729.0,17729.0,17729.0,,,0.001,500000000.0,61049990.0,61049990.0,61050.0,,,,,,,,,32238.0,,,-32238.0,,1596.0,,,,,36846.0,21192.0,-0.02,-1.77,-0.02,,0.34,0.0,4556.0,-4556.0,,,,,,,-94817.0,,,,,,15011.0,,,15011.0,,1000.0,,,96216.0,33457.0,96216.0,,9750.0,103138.0,-3643.0,-81766.0,-94817.0,,,-94817.0,,,,,-94817.0,,,,,,,,-3643.0,,,,,,,,,33150.0,69988.0,,-94817.0,,11172.0,-136266.0,,,,94817.0,,-62759.0,,,-3643.0,,7500.0,,,53603280.0,,53603280.0,,
2018-10-31,2018-12-26,10-Q,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,,,,,9076.0,,,67402.0,,11172.0,9853.0,9853.0,,,5297.0,5297.0,-12432.0,,,0.001,75000000.0,6104999.0,6104999.0,6105.0,,,,,,,,,,,,,,,,,,,,21192.0,0.0,-0.04,0.0,0.21,0.21,0.0,4556.0,,,,,,,11172.0,-237505.0,,,,,,-5935.0,,,-5935.0,,,,,310117.0,9853.0,310117.0,,,219836.0,,-232268.0,-237505.0,15000.0,,-237505.0,,,,,,,,,,,,,,,,,,,,,,,219836.0,,-237505.0,,,-373771.0,,,,237505.0,,-300264.0,,,,,,,,61044990.0,,61044990.0,,
2019-01-31,2019-03-06,10-Q,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,,,,,9645.0,,,67402.0,,,6006.0,6006.0,,,,1450.0,,,,0.001,75000000.0,6104999.0,6104999.0,6105.0,,,,,,,,,,,,,,,,,,,,21192.0,0.0,-0.01,0.0,,,,4556.0,,,,,42498.0,,,-42498.0,,,,,,,,,,,,,,348768.0,6006.0,,,,,,,-42498.0,15000.0,,-42498.0,,,,,,,,,,,,,,,,,,,,,,,,,-42498.0,,,-416269.0,,,,42498.0,,-342762.0,,,,,,,,61044990.0,,61044990.0,,
2019-04-30,2019-05-29,10-Q,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,3855.0,,,,,,,71045.0,,,,,,,,,,,,0.001,75000000.0,6104999.0,6104999.0,6105.0,,,,,,,,,,,,,,,,,-5092.0,,,9078.0,0.0,0.05,0.0,,,,,,,,348767.0,17489.0,,,-22581.0,,,,,,,,,,,,,,12933.0,,,,,,,,-22581.0,,,-17489.0,,,,,,,,,,,,,,,,,,,,,,,,,-22581.0,,,,,,,17489.0,,-12933.0,,,,,,,,61049990.0,,61049990.0,,
2019-07-31,2019-12-09,10-K,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,34252.0,,,,,,,364867.0,,,553.0,553.0,,,553.0,553.0,-17176.0,-17176.0,,0.001,500000000.0,61049990.0,61049990.0,61050.0,,,,,,,,,127837.0,,108643.0,108643.0,,,,,-5092.0,276640.0,,52642.0,-0.06,-0.06,-0.06,0.21,0.21,0.0,,4556.0,,-5092.0,,370900.0,,11172.0,-375992.0,,,78958.0,-78958.0,,22884.0,,-4556.0,,,,,,86894.0,553.0,86894.0,,,-320204.0,,-337380.0,-375992.0,,,-370900.0,,,,,-375992.0,,,0.0,,,,,,,0.001,10000000.0,0.0,,0.0,,,,-28563.0,-28563.0,-375992.0,,,-512258.0,348767.0,,,370900.0,,,,,,,,,,61044990.0,61049990.0,61044990.0,,
2019-10-31,2019-12-20,10-Q,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,45582.0,,,,,,,364867.0,,,,,,,,,-553.0,,-553.0,0.001,500000000.0,61049990.0,61049990.0,61050.0,,,,,,,,,,,,,,,,,,,,68026.0,0.0,,0.0,,0.21,,,,,,,27267.0,,,-27267.0,,,5726.0,-5726.0,,11330.0,,,,,,,,113608.0,,,,,15384.0,,-15937.0,-27267.0,,,-27267.0,,,,,,,,,,,,,,,,,,,,,,,15384.0,15384.0,-27267.0,,,-539525.0,,,,27267.0,,,,,,,,,,61049990.0,,61049990.0,,
2020-01-31,2020-03-23,10-Q,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,45582.0,,,,,,,361867.0,,,,,,,,,,,,0.001,500000000.0,,64049990.0,64050.0,,,,,,,,,,,,,,,,,,,,78073.0,0.0,,0.0,,,,,,,,,10047.0,,,-10047.0,,,,,,,,,,,,,,123655.0,,,,,,,,-10047.0,,,-10047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-549572.0,,,,,,,,,,,,,,61865207.0,,61865207.0,,
2020-04-30,2020-06-15,10-Q,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,645.0,,,,,,,361867.0,,,2050.0,2050.0,,,,,,,,0.001,500000000.0,64049990.0,64049990.0,64050.0,,,,,,,,,,,,,,,,,,,,168082.0,,,,,,,,,,,,,,,-43022.0,,,,,,,,,,,,,,123655.0,2050.0,168727.0,,,,,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,0.0,,0.0,2050.0,,,,,,,,-592594.0,,,,,,,,,,,,,,,,,,
2020-07-31,2020-11-13,10-K,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,9525.0,,,,,,,361867.0,,,310266.0,310266.0,,,,,,304243.0,,0.001,500000000.0,64049990.0,64049990.0,64050.0,,,,,,134399.0,,,,,134399.0,134399.0,,,,,,465965.0,,518607.0,0.0,0.0,0.0,0.21,0.21,,,,,,,131525.0,,,-131525.0,,,27620.0,-27620.0,,-24727.0,,,,,,5470.0,,217866.0,310266.0,528132.0,,,465965.0,,-161722.0,-131525.0,,,-131525.0,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,5470.0,,,,465965.0,-131525.0,,,-643783.0,,,,,,,,,,,,,,62738515.0,62738515.0,62738515.0,304243.0,518607.0
2020-10-31,2020-12-15,10-Q,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,,,,,,,,,,,,,,,,,,,-63100.0,,,,,,,,,,,149488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7504.0,,,,,,-1250.0,,289720.0,,,,,,,,,,,,,,,,141356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,2021-05-17,10-Q,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,33978.0,,4000.0,4000.0,,,315.0,379367.0,,,131062.0,125841.0,5221.0,,,105341.0,,,,0.001,500000000.0,61549990.0,61549990.0,61550.0,,,,,,,,,,,219715.0,219715.0,,,,,,,,697607.0,0.0,,0.0,,,,,,,,,289232.0,,,,,,,,,,,,,,,,,609744.0,131062.0,735585.0,,,,,,-289232.0,,697607.0,-289232.0,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,20500.0,20500.0,,,,-289232.0,5536.0,5221.0,-1045440.0,,,,,15000.0,-604523.0,,,,,,15000.0,,61366657.0,,61366657.0,,
