end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedIncomeTaxesCurrent,AccruedLiabilitiesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AccruedProfessionalFeesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdvancesOnInventoryPurchases,Assets,AssetsCurrent,AssetsNet,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,CostOfGoodsSold,CostOfRevenue,DebtSecuritiesRealizedGainLoss,DeferredCreditsAndOtherLiabilities,DeferredIncomeTaxesAndOtherAssetsCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationExpenseOnReclassifiedAssets,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectOfExchangeRateOnCashAndCashEquivalents,GainLossOnDispositionOfAssets,GainLossOnDispositionOfAssets1,GainLossOnSaleOfPropertyPlantEquipment,GeneralAndAdministrativeExpense,Goodwill,GoodwillImpairmentLoss,GoodwillImpairmentLossNetOfTax,GrossProfit,ImpairmentOfLongLivedAssetsHeldForUse,IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInMaterialsAndSupplies,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherCurrentLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidExpensesOther,InterestPaid,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LitigationSettlementExpense,MinorityInterest,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccruedLiabilitiesCurrent,OtherAssetImpairmentCharges,OtherAssetsCurrent,OtherAssetsFairValueDisclosure,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeLossTaxPortionAttributableToNoncontrollingInterest,OtherLiabilitiesCurrent,OtherMinorityInterests,OtherNonrecurringIncomeExpense,PaymentsToAcquireAdditionalInterestInSubsidiaries,PaymentsToAcquireInterestInSubsidiariesAndAffiliates,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToSuppliers,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentFairValueDisclosure,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPricePerShare,SalesRevenueServicesNet,SharePrice,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,TreasuryStockValue,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,DueFromRelatedPartiesCurrent,ForeignCurrencyTransactionGainLossBeforeTax,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncreaseDecreaseDueFromOtherRelatedParties,NetIncomeLossAllocatedToGeneralPartners,OtherReceivables
2018-10-31,2018-12-14,10-Q,JIALIJIA GROUP CORPORATION LIMITED,RZZN,CIK0001659559,USD,,,2750.0,,,,,24415.0,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.001,1000000000.0,7285000.0,7285000.0,7285.0,,,,,,,,17843.0,17843.0,0.0,,17843.0,,,50515.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,53265.0,0.0,53265.0,,,,,,,,,,84965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-84965.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2019-01-31,2019-05-07,10-K,JIALIJIA GROUP CORPORATION LIMITED,RZZN,CIK0001659559,USD,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,22221.0,0.0,22221.0,22221.0,,,,,,0.0,0.21,,0.21,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,-200.0,,,,,,-10000.0,,0.0,,,,,,,,,,,,,,105815.0,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2019-04-30,2019-06-14,10-Q,JIALIJIA GROUP CORPORATION LIMITED,RZZN,CIK0001659559,USD,,,200.0,,,,,24415.0,,,7000.0,7000.0,,,,,0.0,,,,0.001,1000000000.0,7285000.0,7285000.0,7285.0,,,,,0.0,,,,26915.0,0.0,26915.0,26915.0,,,103265.0,,,0.0,0.21,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,200.0,,,,,,,3000.0,,0.0,,103465.0,7000.0,103465.0,,,,,,,,,,128165.0,,,,,,,,,,,,,,,,7000.0,,,,19150.0,,,,,,,-128165.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2019-07-31,2019-11-01,10-Q,JIALIJIA GROUP CORPORATION LIMITED,RZZN,CIK0001659559,USD,,,10825.0,,,,,144444.0,,,4000.0,4000.0,,,,,,,,,0.001,1000000000.0,12113591.0,12113591.0,12114.0,,,,,,,,,35076.0,,35076.0,35076.0,,,128503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139328.0,4000.0,139328.0,,,,,,,,,,167028.0,,,,,,,,,,,,,,,,4000.0,,,,,,,,,,,-167028.0,,,,,,,,,124858.0,,,,,,,,,,,,,,
2019-09-30,2020-01-15,10-Q,JIALIJIA GROUP CORPORATION LIMITED,RZZN,CIK0001659559,USD,,35940.0,36108.0,36108.0,,1109505.0,63580.0,2582468.0,,,597264.0,231093.0,-1385441.0,,38547.0,8822.0,,,,,0.001,1000000000.0,12445222.0,12445222.0,12445.0,-15530.0,13614.0,-1916.0,,,,,,,,,,,36434.0,2918663.0,,-0.16,,,,,,,,,,,,,90717.0,3962424.0,,,,,,,,,,,,,,,,,,,,,,,2957191.0,597264.0,2957191.0,,-616740.0,,,,-90717.0,-11589.0,90717.0,-90717.0,,,,4798.0,2909.0,88801.0,-1916.0,-15530.0,2420.0,-593760.0,,,,,,,,,,,,-90717.0,492413.0,1573201.0,366171.0,,,-4281680.0,,,,,,,-2359927.0,-2359927.0,,,,24513.0,100345.0,120000.0,,562760.0,,,,,,,
2019-12-31,2021-04-26,10-K,JIALIJIA GROUP CORPORATION LIMITED,RZZN,CIK0001659559,USD,,41646.0,61818.0,,20000.0,1175920.0,19615.0,2602099.0,,,3268.0,3268.0,,,395.0,,382.0,382.0,,,0.001,1000000000.0,635296.0,635296.0,635.0,-4695605.0,-183450.0,-4879055.0,,,,,,,,,,148290.0,148290.0,3027733.0,,-10.13,,,0.21,,0.25,0.25,0.0,0.21,-43.0,,,,603336.0,3962424.0,3962424.0,3962424.0,,341797.0,,,,,,,,,,32241.0,,,,-12748.0,,,,,3092038.0,3268.0,3092038.0,,-777210.0,352448.0,-135935.0,-216088.0,-4907557.0,-192293.0,4907557.0,-4907557.0,,172.0,341797.0,,,28502.0,,,2487.0,,,135935.0,,,100549.0,2873.0,,121390.0,,121390.0,231058.0,-4907557.0,,1615210.0,,193969.0,,-4806088.0,,,,,,,-2311560.0,-3088770.0,7821.0,,,,124858.0,120000.0,,484233.0,,,,,,,
2020-03-31,2021-07-12,10-Q,JIALIJIA GROUP CORPORATION LIMITED,RZZN,CIK0001659559,USD,,43128.0,68418.0,,25290.0,1153258.0,60141.0,2602099.0,,,4550.0,4550.0,-1385441.0,,1733.0,8822.0,,1338.0,,,0.001,1000000000.0,635296.0,635296.0,635.0,28109.0,14288.0,42397.0,,,,,,,,,,,0.0,2980068.0,,-0.02,,,0.21,,0.25,0.25,0.0,0.21,-30.0,,,,13119.0,,,,,,13119.0,,,,,,,,,9775.0,,,,,,,,,3050923.0,4550.0,3050923.0,,-762922.0,4712.0,,-3344.0,-13119.0,-13119.0,13119.0,-13119.0,,,,,2909.0,55516.0,,,2437.0,-593760.0,,,,,,2817.0,,4712.0,,,4712.0,-13119.0,492413.0,1584083.0,,,,-4818505.0,,,,,,,-2283451.0,-3046373.0,7821.0,,,,,120000.0,,635296.0,,,55516.0,,,,
2020-06-30,2021-08-02,10-Q,JIALIJIA GROUP CORPORATION LIMITED,RZZN,CIK0001659559,USD,,45723.0,78576.0,,32853.0,1158726.0,50355.0,2609532.0,,,2868.0,2868.0,-1385441.0,,151.0,8822.0,,,,,0.001,1000000000.0,647705.0,647705.0,647.0,-39261.0,-4364.0,-43625.0,,,,,,,,,,,0.0,2996575.0,,-0.05,,,,,,,,,,,,,30220.0,,,,,,30220.0,,,,,,,,,,,,,,,,,,3077600.0,2868.0,3077600.0,,-767286.0,,,,-30220.0,-30220.0,30220.0,-30220.0,,,,,2909.0,-13405.0,,,2449.0,-593760.0,,,,,,2717.0,,,,,,-30220.0,492413.0,1591594.0,,,,-4847980.0,,,0.6,,,,-2307446.0,-3074732.0,,,,15266.0,,120000.0,,635432.0,,,-13405.0,,,,
2020-09-30,2021-09-10,10-Q,JIALIJIA GROUP CORPORATION LIMITED,RZZN,CIK0001659559,USD,,49446.0,94140.0,,44694.0,1205744.0,-33815.0,2609532.0,,,3261.0,3261.0,-1385441.0,,434.0,8822.0,,,,,0.001,1000000000.0,647705.0,647705.0,647.0,-95117.0,-31697.0,-126814.0,,,,4858927.0,,,,,,,0.0,3108118.0,,-0.02,,,,,,,,,,,,,11501.0,,,,,,-554.0,,,,,,,,,,,,,,,,,,3204807.0,3261.0,3204807.0,,-798983.0,,,,-11501.0,-11501.0,11501.0,-11501.0,,,,,2909.0,-115313.0,,,2549.0,-593760.0,,,,,,2827.0,,,,,,-11501.0,492413.0,1656176.0,,,,-4858927.0,,,,,,,-2402563.0,-3201546.0,,,,,,120000.0,,647705.0,,,-115313.0,-11501.0,,,
2020-12-31,2021-09-16,10-K,JIALIJIA GROUP CORPORATION LIMITED,RZZN,CIK0001659559,USD,,54248.0,108903.0,,54471.0,1254639.0,-112951.0,2609532.0,,,16876.0,16876.0,-1385441.0,,13933.0,8822.0,,13538.0,,,0.001,1000000000.0,647705.0,647705.0,647.0,-202081.0,-55065.0,-257146.0,,,72384.0,4875603.0,,,,,,,0.0,3235771.0,,-0.11,,,0.21,,0.25,,0.0,0.21,768.0,,,,72384.0,,,0.0,,,,,,,,,,,,44389.0,,,,-116.0,,,,,3347526.0,16876.0,3347526.0,,-832275.0,40649.0,,-27879.0,-72384.0,-2869.0,72384.0,-72384.0,,184.0,,,2909.0,-184762.0,,,2852.0,-593760.0,,,,,,2943.0,,15266.0,,,25383.0,-72384.0,492413.0,1723336.0,,,,-4875603.0,,,,,,,-2498375.0,-3330650.0,,,,,,120000.0,,641551.0,,,,,,,2943.0
2021-03-31,2021-09-20,10-Q,JIALIJIA GROUP CORPORATION LIMITED,RZZN,CIK0001659559,USD,,57248.0,116720.0,,57572.0,1249507.0,-104226.0,2609532.0,,,16810.0,16810.0,,,13880.0,,,-53.0,,,0.001,1000000000.0,647705.0,647705.0,647.0,-7490.0,2437.0,-5053.0,,,17194.0,4891818.0,,,,,,,0.0,3232954.0,,-0.03,,,0.21,,0.25,,0.0,0.21,-56.0,,,,17194.0,,,,,,,,,,,,,,,8092.0,,,,,,,,,3352513.0,16810.0,3352513.0,,-829838.0,9105.0,,-9102.0,-17194.0,-17194.0,17194.0,-17194.0,,1900.0,,,,12141.0,,,2839.0,,,,,,,2930.0,,,,,9105.0,-17194.0,,1716287.0,,,,-4891818.0,,,,,,,-2505865.0,-3335703.0,,,,,,120000.0,,647705.0,,,12141.0,,,,
2021-06-30,2021-09-20,10-Q,JIALIJIA GROUP CORPORATION LIMITED,RZZN,CIK0001659559,USD,,60698.0,129715.0,,62171.0,1267930.0,-135525.0,2609532.0,,,91230.0,91230.0,,,88255.0,,,,,,0.001,1000000000.0,647705.0,647705.0,647.0,-92421.0,-13567.0,-105988.0,,,,,,,,,,,0.0,3401099.0,,-0.1,,,,,,,,,,,,,62453.0,,,,,,,,,,,,,,,,,,,,,,,,3532921.0,91230.0,3532921.0,,-843405.0,,,,-62453.0,-62453.0,62453.0,-62453.0,,6846.0,,,,-43535.0,,,2107.0,,,,,,,2975.0,,,,,,-62453.0,,1741593.0,,,,-4952940.0,,,,,,,-2598286.0,-3441691.0,,,,,,120000.0,,647705.0,,,-43535.0,,,,
