end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNet,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,BusinessCombinationAcquiredReceivablesFairValue,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStocksIncludingAdditionalPaidInCapitalNetOfDiscount,CommonStockValue,ConvertibleDebtCurrent,ConvertibleDebtNoncurrent,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfRevenue,CurrentIncomeTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentDecreaseForgiveness,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountPremiumNet,DepreciationDepletionAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EmployeeBenefitsAndShareBasedCompensation,FairValueOfAssetsAcquired,FlightEquipmentAccumulatedDepreciation,FlightEquipmentNet,GainLossOnDispositionOfAssets1,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromExtraordinaryItemsNetOfTaxPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInInventories,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherNoncurrentAssets,IncreaseDecreaseInPrepaidExpensesOther,InterestExpense,InterestIncomeExpenseNet,InterestPaid,InterestPaidNet,InterestPayableCurrent,InventoryNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,LoansPayableCurrent,LongTermNotesPayable,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLossCarryforwards,OtherAssetsNoncurrent,OtherExpenses,OtherLongTermNotesPayable,OtherNonoperatingIncomeExpense,ParticipatingPolicyPercentageOfPremiumIncome,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssets,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseNoncurrent,ProceedsFromConvertibleDebt,ProceedsFromDepositsOnRealEstateSales,ProceedsFromNotesPayable,ProceedsFromOtherDebt,ProceedsFromPreviousAcquisition,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfPropertyHeldForSale,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,ShareBasedCompensation,SharesOutstanding,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,StockRepurchasedAndRetiredDuringPeriodShares,StockRepurchasedAndRetiredDuringPeriodValue,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2015-04-30,2015-06-15,10-Q,"FLOWERKIST SKIN CARE AND COSMETICS, INC",FKST,CIK0001458023,USD,110640.0,,,,,13592.0,233468.0,,,,,,78519.0,57544.0,,5906.0,,5906.0,,,,0.001,300000000.0,291200000.0,291200000.0,,291200.0,,,,,403238.0,3105.0,,,,,,,,,0.0,0.0,,,,,,0.0,17144.0,6220.0,,,0.0,,,,,,,,,,,,-129630.0,,,,,51638.0,513878.0,78519.0,,,,,,,,,-209911.0,-129630.0,,,,,86501.0,-80281.0,,,,,,,,,,,,,,0.001,10000000.0,,,0.0,7234.0,,,,,,,,,,29882.0,,13741.0,-960027.0,9325.0,39475.0,,-435359.0,-435359.0,,,,,,,,,,291200000.0
2015-07-31,2015-11-02,10-K,"FLOWERKIST SKIN CARE AND COSMETICS, INC",FKST,CIK0001458023,USD,119672.0,,,,,19610.0,271039.0,231597.0,,,,215833.0,86339.0,68808.0,,14288.0,,14288.0,-5635.0,-5635.0,,0.001,300000000.0,291200000.0,291200000.0,,291200.0,,61002.0,61002.0,358968.0,297966.0,10865.0,,,231957.0,0.0,212712.0,218708.0,13666.0,,0.0,0.0,,39001.0,17036.0,10297.0,,0.0,84374.0,9226.0,,,0.0,0.0,,62499.0,,,,-8391.0,,,,0.0,-289981.0,-289981.0,0.0,,,54520.0,521640.0,86339.0,417638.0,,,43000.0,,380500.0,1157.0,-387292.0,-687681.0,-289981.0,43000.0,,,,406926.0,-397700.0,,,,,,,7234.0,,43000.0,,,-1157.0,,0.001,10000000.0,,,0.0,7234.0,7234.0,,380500.0,,,380500.0,1157.0,0.0,0.0,156718.0,-687681.0,10297.0,-997540.0,20091.0,165834.0,,,-435301.0,,40157.0,,40157.0,,,,,,284290411.0
2015-10-31,2015-12-18,10-Q,"FLOWERKIST SKIN CARE AND COSMETICS, INC",FKST,CIK0001458023,USD,179366.0,,,,,19610.0,308065.0,,,,,88262.0,80796.0,65839.0,,13758.0,,13758.0,-530.0,,,0.001,300000000.0,291200000.0,291200000.0,,291200.0,,0.0,,706678.0,478204.0,2439.0,,,37026.0,,,228474.0,2574.0,,,0.0,,,,,,,22194.0,9561.0,,,0.0,0.0,,59694.0,0.0,,,2439.0,,,,,-113897.0,,0.0,,,52081.0,700570.0,80796.0,657570.0,,,43000.0,,68000.0,,-68530.0,-221499.0,,,,,,117163.0,-107602.0,,,,,,,,,,,,,,0.001,1000000.0,,,0.0,7234.0,,,68000.0,,,,,,,58505.0,-221499.0,7723.0,-1219039.0,12000.0,36464.0,,,-619774.0,,,,,,,,,,291200000.0
2016-01-31,2016-03-15,10-Q,"FLOWERKIST SKIN CARE AND COSMETICS, INC",FKST,CIK0001458023,USD,232227.0,,,,,24759.0,780659.0,,,,,,63646.0,51264.0,,663.0,,663.0,,,,0.001,300000000.0,130200000.0,130200000.0,,130200.0,,,,775178.0,602693.0,1481.0,,,,,,172485.0,,,,,,,,,,,299872.0,-1481.0,,,,,,,,,,,,,,,116414.0,,,,,50600.0,877920.0,63646.0,834920.0,,,43000.0,,,,,,,,,,,388199.0,-389680.0,,,,,,,,,,,,,,0.001,10000000.0,,,,7234.0,,,,,,,,,,51741.0,-506094.0,5148.0,-1725134.0,,36586.0,,,-814275.0,,,,,,,,,,130134783.0
2016-07-31,2021-02-17,10-K,"FLOWERKIST SKIN CARE AND COSMETICS, INC",FKST,CIK0001458023,USD,232227.0,,,,,,780659.0,36800.0,,,,175844.0,,,,,,663.0,,-13625.0,,0.001,300000000.0,130200000.0,130200000.0,,130200.0,,,,602693.0,602693.0,3920.0,,,,,,,5149.0,,,0.0,,,,,-5148.0,,385712.0,8080.0,,,,,,113819.0,,,,-53920.0,,,-7234.0,,,-230311.0,,,,,877920.0,,834920.0,,,,,136500.0,,-150125.0,-791239.0,-230311.0,,,,,569008.0,-560928.0,,,,,,,,,43000.0,,,,,0.001,10000000.0,,,,,,,136500.0,,,,,,,110246.0,,,-1788779.0,12000.0,73050.0,280000.0,,-877920.0,,,,,280000.0,,,,31820.0,207163043.0
2017-07-31,2021-02-17,10-K,"FLOWERKIST SKIN CARE AND COSMETICS, INC",FKST,CIK0001458023,USD,232227.0,,,,,,780659.0,,,,,,,,,,,,,,,0.001,300000000.0,130200000.0,130200000.0,,130200.0,,,,,602693.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877920.0,,834920.0,,,,,,,,,,,,,,,,,,,,,,,,43000.0,,0.5,,,0.001,10000000.0,,,,,,,,,,,,,,,,,-1788779.0,,,,,-877920.0,,,,,,,,,,130200.0
2018-07-31,2021-02-17,10-K,"FLOWERKIST SKIN CARE AND COSMETICS, INC",FKST,CIK0001458023,USD,232227.0,,,,,,780659.0,,,,,,,,,,,,,,0.0,0.001,300000000.0,130200000.0,130200000.0,,130200.0,,,,,602693.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877920.0,,834920.0,,,,,,,,,,,,,,,,,,,,,,,,43000.0,,0.5,,,0.001,10000000.0,,,,,,,,,,,,,,,,,-1788779.0,,,,,-877920.0,,,,,,,,,,130200.0
2019-07-31,2021-02-17,10-K,"FLOWERKIST SKIN CARE AND COSMETICS, INC",FKST,CIK0001458023,USD,232227.0,232227.0,,,,,780659.0,,,,,,,,,,,,,,0.0,0.001,300000000.0,130200000.0,130200000.0,,130200.0,,,,,602693.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877920.0,,834920.0,,,,,,,,,,,,,,,,,,,,,,,,43000.0,,,,,0.001,10000000.0,,,,,,,,,,,,,,,,,-1788779.0,,,,,-877920.0,,,,,,,,,,130200000.0
2020-07-31,2021-02-17,10-K,"FLOWERKIST SKIN CARE AND COSMETICS, INC",FKST,CIK0001458023,USD,,232227.0,173.0,,,,780659.0,,,,,,,,,,,,,,0.0,0.001,300000000.0,130200000.0,130200000.0,,130200.0,,877920.0,,,602693.0,,,,,,,,,,,0.0,,,,,,,5431.0,,,,,,,,,,,,,,,,,,,,,,883351.0,,840351.0,,,,,5431.0,,-5431.0,-5431.0,,,,5259.0,,5431.0,-5431.0,,,,,,,,,43000.0,,,,,0.0001,10000000.0,0.0,0.0,,,,,,,,,,5431.0,,,,,-1794210.0,,,,,,,,,,,,,,,130200000.0
2021-03-31,2021-05-19,10-Q,"FLOWERKIST SKIN CARE AND COSMETICS, INC",FKST,CIK0001458023,USD,,,,,,,3245004.0,,5345.0,,,,,,,,,,,,0.0,0.001,300000000.0,130200000.0,130200000.0,,130200.0,,,,,,,,,,5345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0001,10000000.0,10000000.0,10000000.0,1000.0,,,,,,,,,,,,,,-3376204.0,,,,,,,,,,,,,,,130200000.0
2021-06-30,2021-08-11,10-Q,"FLOWERKIST SKIN CARE AND COSMETICS, INC",FKST,CIK0001458023,USD,,,,,,,3245004.0,,,,,,,,,,,,,,0.0,0.001,300000000.0,130200000.0,130200000.0,,130200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0001,10000000.0,10000000.0,10000000.0,1000.0,,,,,,,,,,,,,,-3376204.0,,,,,,,,,,,,,,,130200000.0
2021-09-30,2021-10-04,10-Q,"FLOWERKIST SKIN CARE AND COSMETICS, INC",FKST,CIK0001458023,USD,,,,,,,3375074.0,,,,,,,,,,,,,,0.0,0.001,300000000.0,130212.0,130212.0,,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0001,10000000.0,10000000.0,10000000.0,1000.0,,,,,,,,,,,,,,-3376204.0,,,,,,,,,,,,,,,130212.0
