end,filed,form,Name,Ticker,CIK,Currency,AcceleratedShareRepurchaseProgramAdjustment,AccountsPayableAndAccruedLiabilitiesCurrent,AccruedIncomeTaxesCurrent,AccruedProfessionalFeesCurrent,AccruedRentCurrent,AccruedSalesCommissionCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,BankOverdrafts,BuildingsAndImprovementsGross,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockOtherSharesOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockValue,ConvertiblePreferredStockSharesIssuedUponConversion,CostOfRealEstateSales,CostsAndExpenses,DeferredTaxAssetsValuationAllowance,Deposits,Depreciation,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EscrowDeposit,GainLossOnSaleOfProperties,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDeferredCompensation,IncreaseDecreaseInDeposits,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherCurrentLiabilities,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInTradingSecurities,InterestExpense,InterestExpenseOther,InterestPaid,InterestPaidNet,InterestPayableCurrent,InventoryNet,InventoryRealEstate,InvestmentIncomeInterest,InvestmentIncomeInterestAndDividend,IssuanceOfStockAndWarrantsForServicesOrClaims,Land,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LinesOfCreditCurrent,MarketableSecuritiesCurrent,MarketableSecuritiesGainLoss,MarketableSecuritiesRealizedGainLoss,MarketableSecuritiesUnrealizedGainLoss,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableRelatedPartiesCurrentAndNoncurrent,OfficersCompensation,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccruedLiabilitiesCurrent,OtherCostAndExpenseOperating,OtherCostOfOperatingRevenue,OtherExpenses,OtherGeneralExpense,OtherNonoperatingIncome,OtherSalesRevenueNet,PreferredStockDividendRatePercentage,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleOfPropertyPlantAndEquipment,ProceedsFromSaleOfRealEstate,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,SalesOfRealEstate,ShareBasedCompensation,SharesIssued,ShortTermBankLoansAndNotesPayable,StockholdersEquity,StockIssuedDuringPeriodValueEmployeeBenefitPlan,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueOther,TravelAndEntertainmentExpense,TreasuryStockShares,TreasuryStockValue,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,AccountsReceivableRelatedParties,IncreaseDecreaseInAccountsReceivableRelatedParties,RevenueFromRelatedParties
2014-02-28,2014-06-13,10-K,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,176232.0,,,,,55766.0,2679855.0,1105679.0,235621.0,14387.0,,155747.0,,10978.0,-664.0,,,,,,0.01,30000000.0,3552502.0,3552502.0,,35525.0,,,128485.0,980000.0,,5192.0,0.0,2261316.0,2261316.0,0.0,-0.03,-0.03,-0.03,,0.0,,,,,,0.0,,-10285.0,,,,,-34640.0,3409.0,-4106.0,20483.0,,12483.0,,,,,,,,121253.0,12000.0,2449203.0,235621.0,2449203.0,0.0,11655.0,0.0,2239.0,4298.0,-2059.0,137317.0,137317.0,,0.0,-137981.0,-137981.0,-98945.0,-18244.0,77887.0,0.0,,-80701.0,2800000.0,,12000.0,17934.0,,22620.0,,47784.0,0.02,0.01,2000000.0,1105679.0,1105679.0,11057.0,3409.0,,,,35450.0,101867.0,0.0,,49118.0,,277000.0,221234.0,,-4897565.0,47784.0,18200.0,,,,,-2213582.0,,,,3421.0,39975.0,42454.0,3512527.0,,3512527.0,,,
2014-05-31,2014-07-21,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,173696.0,,,,,,2679855.0,1105679.0,234515.0,14579.0,,155747.0,,13727.0,2749.0,,,,,,0.01,30000000.0,3552502.0,,,35525.0,,,20058.0,,,1298.0,,2275734.0,2275734.0,0.0,0.0,,0.0,,,,,,,,0.0,,-2536.0,,,,,-462.0,-2557.0,0.0,4414.0,,3047.0,,,,,,,,121253.0,3000.0,2460623.0,234515.0,2460623.0,,11193.0,,0.0,,0.0,14418.0,14418.0,,,-11669.0,-11669.0,-12526.0,-4414.0,79254.0,,,-8112.0,,,3000.0,5698.0,,1294.0,,11946.0,0.02,0.01,2000000.0,1105679.0,1105679.0,11057.0,852.0,,,,14418.0,14418.0,,,8454.0,,277000.0,219936.0,,-4910091.0,11946.0,0.0,,,,,-2226108.0,,,,314.0,39975.0,42454.0,3512527.0,,3512527.0,,,
2014-08-31,2014-10-15,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,118634.0,,,,,0.0,2679855.0,,29714.0,29714.0,,,,29714.0,,,,,,,0.01,30000000.0,3552502.0,3552502.0,,35525.0,,,34432.0,,,270.0,,1966687.0,1966687.0,0.0,0.05,,0.03,,192931.0,,,,160006.0,0.0,,,,,,,,,,,488.0,,,,,,219666.0,,,,,3000.0,2095816.0,29714.0,2095816.0,,10495.0,,0.0,,0.0,,,,,,,160006.0,192443.0,13562.0,,,-32437.0,,,,2469.0,,10687.0,,1995.0,,0.01,2000000.0,1105679.0,1105679.0,11057.0,0.0,,,,,,,,16942.0,,,0.0,,-4750085.0,,0.0,,,,,-2066102.0,,,,1064.0,39975.0,42454.0,4618206.0,,3512527.0,,,
2014-11-30,2015-01-14,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,120785.0,,,,,0.0,2679855.0,,4320.0,4320.0,,,,4320.0,,,,,,,0.01,30000000.0,3552502.0,3552502.0,,35525.0,,,23086.0,,,0.0,,1964677.0,1964677.0,0.0,-0.01,,-0.01,,0.0,,,,-23513.0,0.0,,,,,,,,,,,427.0,,,,,,-219666.0,,,,,3000.0,2093935.0,4320.0,2093935.0,,8473.0,,0.0,,0.0,,,,,,,-23513.0,-427.0,13562.0,8000.0,,-23086.0,,,,1258.0,,3821.0,,0.0,,0.01,2000000.0,1105679.0,1105679.0,11057.0,0.0,,,,,,,,7956.0,,,0.0,,-4773598.0,,0.0,,,,,-2089615.0,,,,-949.0,39975.0,42454.0,3512527.0,,3512527.0,,,
2015-02-28,2015-06-11,10-K,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,133853.0,,,,,50574.0,2679855.0,,614.0,614.0,,,,614.0,-10364.0,,,,,,0.01,30000000.0,3552502.0,3552502.0,,35525.0,,7403.0,97555.0,945000.0,,1568.0,,1969350.0,1969350.0,0.0,0.03,,0.02,,192931.0,,,,,,0.0,,-42379.0,,,,,-4294.0,-3409.0,0.0,5685.0,,66963.0,,,,219666.0,,,,,12000.0,2110564.0,614.0,2110564.0,0.0,7361.0,,0.0,,0.0,,-291966.0,,412597.0,,-130995.0,103632.0,187246.0,13562.0,8000.0,,-83614.0,2700000.0,,,11101.0,,24120.0,,13941.0,0.02,0.01,2000000.0,1105679.0,1105679.0,11057.0,0.0,,,,0.0,-291966.0,412597.0,412597.0,40766.0,,,0.0,,-4793933.0,13941.0,0.0,420000.0,,,,-2109950.0,,,,461.0,39975.0,42454.0,4618206.0,,3512527.0,,,
2015-05-31,2015-07-14,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,128545.0,,,,,57334.0,2679855.0,1105679.0,333.0,333.0,,,,333.0,-281.0,,,,,,0.01,30000000.0,3552502.0,,,35525.0,,-7403.0,6789.0,,,0.0,,1981572.0,1981572.0,0.0,0.0,,0.0,,192931.0,,,,,,0.0,,-5308.0,,,,,-76.0,0.0,,330.0,,330.0,,,,-219666.0,,,,,3000.0,2117402.0,333.0,2117402.0,0.0,7285.0,,,,,,12222.0,,,,-12503.0,-7119.0,-330.0,,,,-6789.0,,,,1552.0,,1643.0,,0.0,0.02,0.01,2000000.0,1105679.0,1105679.0,11057.0,0.0,,,,,12222.0,,412597.0,0.0,,,,,-4801052.0,0.0,,-420000.0,,,,-2117069.0,,,,594.0,39975.0,42454.0,3512527.0,,3512527.0,,,
2015-08-31,2015-09-29,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,160120.0,,,,,,2679855.0,1105679.0,83.0,83.0,,,,83.0,,,,,,,0.01,30000000.0,3552502.0,3552502.0,,35525.0,,,34619.0,,,0.0,,1995072.0,1995072.0,0.0,-0.01,,-0.01,,0.0,,,-35500.0,-35500.0,9391.0,,,,,,,,,,,881.0,,,,,,,,,,,3000.0,2162043.0,83.0,2162043.0,,6851.0,,0.0,,,,,,,,,-44891.0,-881.0,,,,-34619.0,,,,561.0,,9927.0,,0.0,,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,,,,21383.0,,,,,-4845943.0,0.0,,,,,,-2161960.0,,,,-252.0,39975.0,42454.0,3512527.0,,3512527.0,,,
2015-11-30,2015-12-30,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,168190.0,,,,,,2679855.0,1105679.0,383.0,383.0,,,,383.0,,,,,,,0.01,30000000.0,3552502.0,,,35525.0,,,16296.0,,,0.0,,2004772.0,2004772.0,0.0,-0.01,,-0.01,,0.0,,,-16610.0,-16610.0,0.0,,,,,,,,,,,314.0,,,,,,,,,,,3000.0,2178953.0,383.0,2178953.0,,5991.0,,0.0,,,,,,,,,-16610.0,-314.0,,0.0,,-16296.0,,,,823.0,,2243.0,,0.0,,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,,,,10279.0,,,,,-4862553.0,,,,,,,-2178570.0,,,,-49.0,39975.0,42454.0,3512527.0,,3512527.0,,,
2016-02-29,2016-04-07,10-K,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,172499.0,7954.0,44985.0,96000.0,6101.0,,2679855.0,1105679.0,416.0,416.0,,,,416.0,-198.0,,,,,,0.01,30000000.0,3552502.0,3552502.0,,35525.0,,,81434.0,1015000.0,2725.0,0.0,,2015128.0,2015128.0,,-0.02,,-0.02,,0.0,,,,,,2000.0,,38646.0,,,,,-1393.0,0.0,,1795.0,,1795.0,,13562.0,,,,,,,12000.0,2193595.0,416.0,2193595.0,0.0,5968.0,,,,,45778.0,45778.0,0.0,0.0,-45976.0,-45976.0,-83229.0,-1795.0,13562.0,0.0,,-81434.0,2900000.0,1172.0,,13309.0,,20914.0,,0.0,0.02,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,45778.0,0.0,,35211.0,,,,,-4877162.0,0.0,,,,,,-2193179.0,,,,,39975.0,42454.0,3512527.0,,3512527.0,,,
2016-05-31,2016-07-13,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,175628.0,3664.0,50092.0,99000.0,5837.0,,2679855.0,1105679.0,168.0,168.0,,,,168.0,-248.0,,,,,,0.01,30000000.0,3552502.0,,,35525.0,,,22792.0,,2725.0,,,2032978.0,2032978.0,,-0.01,,-0.01,,,,,,,,0.0,,3129.0,,,,,1875.0,,,310.0,,310.0,,13562.0,,,,,,,3000.0,2216449.0,168.0,2216449.0,0.0,7843.0,,,,,17850.0,17850.0,,,-18098.0,-18098.0,-23102.0,-310.0,,,,-22792.0,,748.0,,629.0,,4072.0,,,0.02,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,17850.0,,,12857.0,,,,,-4900264.0,0.0,,,,,,-2216281.0,,,,2234.0,39975.0,42454.0,3512527.0,,3512527.0,,,
2016-08-31,2016-10-14,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,182293.0,3664.0,51613.0,102000.0,7844.0,,2679855.0,1105679.0,289.0,289.0,,,,289.0,,,,,,,0.01,30000000.0,3552502.0,3552502.0,,35525.0,,,15271.0,,2725.0,0.0,,2043044.0,2043044.0,,0.0,,0.0,,,,,-15601.0,,0.0,,,,,,,,,,,330.0,,,,13562.0,,,,,,,3000.0,2232171.0,289.0,2232171.0,,6834.0,,,,,,,,,,,-15601.0,-330.0,,,,-15271.0,,885.0,,821.0,,6968.0,,,,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,,,,4521.0,,,,,-4915865.0,0.0,,,,,,-2231882.0,,,,-39.0,39975.0,42454.0,3512527.0,,3512527.0,,,
2016-11-30,2017-08-04,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,186799.0,3664.0,53713.0,105000.0,7253.0,,2679855.0,1105679.0,493.0,493.0,,,,493.0,,,,,,,0.01,30000000.0,3552502.0,,,35525.0,,,13857.0,,2725.0,,,2053044.0,2053044.0,,0.0,,0.0,,,,,-14161.0,,0.0,,,,,,,,,,,304.0,,,,13562.0,,,,,,,3000.0,2246537.0,493.0,2246537.0,,6694.0,,,,,,,,,,,-14161.0,-304.0,,,,-13857.0,,882.0,,542.0,,3659.0,,0.0,,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,,,,6600.0,,,,,-4930027.0,,,,,,,-2246044.0,,,,56.0,39975.0,42454.0,3512527.0,,3512527.0,,,
2017-02-28,2017-11-08,10-K,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,191792.0,3664.0,54580.0,108000.0,8143.0,,2679855.0,1105679.0,280.0,280.0,,,,280.0,-136.0,,,,,,0.01,30000000.0,3552502.0,3552502.0,,35525.0,,,59872.0,1015000.0,2725.0,,,2056044.0,2056044.0,,-0.02,,-0.02,,,,,,,,4290.0,,19293.0,,,,,773.0,,,1246.0,,1246.0,,13562.0,,,,,,,12000.0,2254577.0,280.0,2254577.0,0.0,6741.0,,,,,40916.0,,0.0,,-41052.0,,-61118.0,-1246.0,,,,-59872.0,2900000.0,1118.0,,2497.0,,20530.0,,0.0,0.02,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,40916.0,,,24845.0,,,,,-4938280.0,0.0,,,,,,-2254297.0,,,,,39975.0,42454.0,3512527.0,,3512527.0,,,
2017-05-31,2018-01-30,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,195353.0,3664.0,55630.0,111000.0,8024.0,,2679855.0,1105679.0,10.0,10.0,,,,10.0,-270.0,,,,,,0.01,30000000.0,3552502.0,,,35525.0,,,6243.0,,2725.0,,,2059044.0,2059044.0,,0.0,,0.0,,,,,,,,0.0,,3561.0,,,,,-291.0,,,297.0,,297.0,,13562.0,,,,,,,3000.0,2260847.0,10.0,2260847.0,0.0,6450.0,,,,,3000.0,,,,-3270.0,,-6540.0,-297.0,,,,-6243.0,,748.0,,425.0,,1756.0,,,0.02,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,3000.0,,,1050.0,,,,,-4944820.0,0.0,,,,,,-2260837.0,,,,12.0,39975.0,42454.0,3512527.0,,3512527.0,,,
2017-08-31,2018-02-28,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,202315.0,3664.0,55630.0,114000.0,11986.0,,2679855.0,1105679.0,949.0,949.0,,,,949.0,,,,,,,0.01,30000000.0,3552502.0,3552502.0,,35525.0,,,9546.0,,2725.0,0.0,,2063879.0,2063879.0,,0.0,,0.0,,,,,-9712.0,,0.0,,,,,,,,,,,166.0,,,,13562.0,,,,,,,3000.0,2271498.0,949.0,2271498.0,,5304.0,,,,,,,,,,,-9712.0,-166.0,,,,-9546.0,,748.0,,96.0,,3962.0,,,,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,,,,2500.0,,,,,-4954532.0,0.0,,,,,,-2270549.0,,,,-12.0,39975.0,42454.0,3512527.0,,3512527.0,,,
2017-11-30,2018-04-09,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,198665.0,0.0,50425.0,117000.0,14204.0,,2679855.0,1105679.0,0.0,0.0,,,,0.0,,,,,,,0.01,30000000.0,3552502.0,3552502.0,,35525.0,1105679.0,,21581.0,,2725.0,,,2088629.0,2088629.0,,-0.01,,-0.01,,,,,-21814.0,,0.0,,,,,,,,,,,233.0,,,,13562.0,,,,,,,3000.0,2292363.0,0.0,2292363.0,,5069.0,,,,,,,,,,,-21814.0,-233.0,,,,-21581.0,,749.0,3000.0,1536.0,,4468.0,,,,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,,,,12545.0,,,,,-4976346.0,0.0,,,,,,-2292363.0,,,,32.0,39975.0,42454.0,3512527.0,,3512527.0,,,
2018-02-28,2018-08-03,10-K,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,207646.0,0.0,55070.0,120000.0,14217.0,,2679855.0,1105679.0,330.0,330.0,0.0,,,330.0,50.0,330.0,,,,,0.01,30000000.0,3552502.0,3552502.0,,35525.0,,,48965.0,630000.0,2725.0,,,2094129.0,2094129.0,,-0.01,,-0.01,,,,,,,,3664.0,,15854.0,,,,,-1394.0,,,3530.0,,2236.0,,13562.0,,,,,,,12000.0,2307122.0,330.0,2307122.0,0.0,5347.0,,,,,38085.0,,0.0,,-38035.0,,-52495.0,-3530.0,,,,-48965.0,3000000.0,2072.0,,,,14699.0,,,0.02,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,38085.0,,,20740.0,,,,,-4990775.0,0.0,,,,,,-2306792.0,,,,,39975.0,42454.0,3512527.0,,3512527.0,,,
2018-05-31,2018-08-17,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,215786.0,,54295.0,123000.0,17505.0,,2679855.0,1105679.0,0.0,0.0,3920.0,,330.0,0.0,-330.0,,,,0.0,,0.01,30000000.0,3552502.0,,,35525.0,,,18475.0,,2725.0,,,2104029.0,2104029.0,,0.0,,0.0,,,,,,,,0.0,,8140.0,,,,,-280.0,,,175.0,,175.0,,13562.0,,,,,,,3000.0,2325442.0,0.0,2325442.0,0.0,5627.0,,,,,9900.0,,,,-10230.0,,-18650.0,-175.0,,,,-18475.0,,779.0,,336.0,,7881.0,,,0.02,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,9900.0,,,7225.0,,,,,-5009425.0,0.0,,,,,,-2325442.0,,,,33.0,39975.0,42454.0,3512527.0,,3512527.0,,,
2018-08-31,2018-10-10,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,212202.0,,54695.0,126000.0,14441.0,,2679855.0,1105679.0,282.0,282.0,,,,282.0,,,,,,,0.01,30000000.0,3552502.0,3552502.0,,35525.0,,,17984.0,,2725.0,,,2125879.0,2125879.0,,-0.01,,-0.01,,,,,-17984.0,,0.0,,0.0,,,,,,,,,0.0,,,,13562.0,,,,,,,3000.0,2343708.0,282.0,2343708.0,,5627.0,,,,,,,,,,,-17984.0,0.0,,,,-17984.0,,779.0,,139.0,,4445.0,,,,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,,,,10400.0,,,,,-5027409.0,0.0,,,,,,-2343426.0,,,,0.0,39975.0,42454.0,3512527.0,,3512527.0,,,
2018-11-30,2019-03-11,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,223856.0,,63444.0,129000.0,14345.0,,2679855.0,,55.0,55.0,,,,55.0,,,,,,,0.01,30000000.0,3552502.0,3552502.0,,35525.0,1105679.0,,17381.0,,2725.0,,,2131379.0,,,-0.01,,-0.01,,,,,-17969.0,,0.0,,0.0,,,,,,,,,588.0,,,,13562.0,,,,,,,3000.0,2361450.0,55.0,2361450.0,,6215.0,,,,,,,,,,,-17969.0,-588.0,,,,-17381.0,,780.0,9000.0,229.0,,3403.0,,,,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,,,,10749.0,,,,,-5045378.0,0.0,,,,,,-2361395.0,,,,0.0,39975.0,42454.0,3512527.0,,3512527.0,,,
2019-02-28,2019-08-26,10-K,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,227638.0,,66112.0,132000.0,12462.0,,2679855.0,,295.0,295.0,,,,295.0,,295.0,-35.0,0.0,,,0.01,30000000.0,3552502.0,,,35525.0,,,,630000.0,2725.0,,,2134379.0,2134379.0,,,-0.02,,,,,17341.0,,,,,,19992.0,,,,,868.0,,,762.0,,,762.0,13562.0,,,,,,,12000.0,2368232.0,295.0,2368232.0,0.0,6215.0,,,,,40250.0,,0.0,,-40285.0,,-61145.0,-762.0,,,60383.0,-60383.0,3000000.0,777.0,12000.0,,,,,,,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,40250.0,,,31042.0,-61145.0,,,,-5051920.0,,,,,,,-2367937.0,,,,,39975.0,42454.0,,3512527.0,,,,
2019-05-31,2019-10-09,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,-2375100.0,228540.0,,67013.0,135000.0,9462.0,,2679855.0,1105679.0,34.0,0.0,,,295.0,,-261.0,34.0,-261.0,,34.0,,0.01,30000000.0,3552502.0,,,35525.0,,,7163.0,,2725.0,,,2140739.0,2140379.0,,0.0,0.0,0.0,,,,761.0,,,,0.0,,902.0,,,,,0.0,,,0.0,,0.0,0.0,13562.0,,,,,,,3000.0,2375134.0,34.0,2375134.0,0.0,6215.0,,,,,6000.0,,0.0,,-6267.0,,-7163.0,0.0,,,7163.0,-7163.0,,778.0,,102.0,,659.0,,,0.02,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,6000.0,,,3402.0,-7163.0,,,,-5059083.0,0.0,,,,,,-2375100.0,,,,0.0,39975.0,42454.0,3512527.0,3552502.0,3512527.0,,,
2019-08-31,2019-12-20,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,227041.0,,63173.0,138000.0,8804.0,,2679855.0,1105679.0,40.0,40.0,,,,40.0,,40.0,,,,,0.01,30000000.0,3552502.0,,,35525.0,,,10912.0,,2725.0,,,2153383.0,2140379.0,,-0.01,0.0,-0.01,,,,412.0,-10912.0,,,,0.0,,,,,,,,,0.0,,,,13562.0,,,,,,,3000.0,2386051.0,40.0,2386051.0,0.0,5627.0,,,,,,,,,,,-10912.0,0.0,,,10912.0,-10912.0,,777.0,,191.0,,809.0,,,0.02,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,,,,7500.0,-10912.0,,,,-5069994.0,0.0,,,,,,-2389011.0,,,,-588.0,39975.0,42454.0,3512527.0,3552502.0,3512527.0,,,
2019-11-30,2020-02-11,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,233885.0,,67161.0,141000.0,8660.0,,2679855.0,1105679.0,642.0,642.0,,,,642.0,,642.0,,,,,0.01,30000000.0,3552502.0,,,35525.0,,,8242.0,,2725.0,,,2155883.0,2155883.0,,-0.01,0.0,-0.01,,,,254.0,-8242.0,,,,0.0,,,,,,,,,0.0,,,,13562.0,,,,,,,3000.0,2394895.0,642.0,2394895.0,,5127.0,,,,,,,,,,,-8242.0,0.0,,,8242.0,-8242.0,,777.0,3000.0,181.0,,665.0,,,0.02,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,,,,4988.0,-8242.0,,,,-5078236.0,0.0,,,,,,-2294253.0,,,,-592.0,39975.0,42454.0,3512527.0,3552502.0,3512527.0,,,
2020-02-29,2021-06-02,10-K,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,245887.0,,76163.0,144000.0,8660.0,,2679855.0,,301.0,,,,,301.0,,301.0,6.0,0.0,,,0.01,30000000.0,3552502.0,,,35525.0,1.0,,,,2725.0,,,2158631.0,2158631.0,,,-0.01,,,,,3767.0,,,,0.0,,18249.0,,,,,-1088.0,,,,,,0.0,13562.0,,,,,,,12000.0,2409645.0,301.0,2409645.0,,5127.0,,,,,24252.0,,0.0,,-24246.0,,-41407.0,,,,41407.0,-41407.0,,777.0,12000.0,,,,,,0.02,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,24252.0,,,25640.0,-41407.0,,,,-5093327.0,,,,,,,-2409344.0,,,,,39975.0,42454.0,,3512527.0,,,,
2020-05-31,2021-06-22,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,252184.0,,78164.0,144000.0,12956.0,,2679855.0,,207.0,,,,,207.0,,207.0,-94.0,,,,0.01,30000000.0,3552502.0,,,35525.0,1.0,,,,2725.0,,,2158631.0,2158631.0,,,0.0,,,,,4391.0,,,,0.0,,6297.0,,,,,,,,,,,0.0,13562.0,,,,,,,,2415942.0,207.0,2415942.0,,5127.0,,,,,,,0.0,,-94.0,,-6391.0,,,,6391.0,-6391.0,,777.0,,,,,,,0.02,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,,,,2000.0,-6391.0,,,,-5099718.0,,,,,,,-2415735.0,,,,,39975.0,42454.0,,3552502.0,,,,
2020-08-31,2021-06-22,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,256184.0,,80164.0,144000.0,14956.0,,2679855.0,,64.0,,,,,64.0,,64.0,,,,,0.01,30000000.0,3552502.0,,,35525.0,1.0,,,,2725.0,,,2158631.0,2158631.0,,0.0,0.0,0.0,,,,2143.0,,,,,,,,,,,,,,,,,,13562.0,,,,,,,,2419942.0,64.0,2419942.0,,5127.0,,,,,,,,,,,-4143.0,,,,4143.0,-4143.0,,777.0,,,,,,,,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,,,,2000.0,-4143.0,,,,-5103861.0,,,,,,,-2419878.0,,,,,39975.0,42454.0,3552502.0,3552502.0,3552502.0,,,
