end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableOtherCurrent,AccruedLiabilitiesCurrent,AccruedProfessionalFeesCurrent,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,Assets,AssetsCurrent,Cash,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommitmentsAndContingencies,CommonStockDividendsPerShareCashPaid,CommonStockDividendsPerShareDeclared,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CurrentFederalTaxExpenseBenefit,DerivativeFixedInterestRate,DividendsCommonStockCash,DividendsPayableAmountPerShare,DueFromBanks,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,ForeignCurrencyTransactionGainLossUnrealized,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInterestPayableNet,IncreaseInCarryingAmountOfRedeemablePreferredStock,InterestBearingDepositsInBanks,InterestBearingDepositsInBanks,InterestExpense,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestReceivable,InvestmentIncomeInterest,InvestmentInterestRate,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,PaymentsForOperatingActivities,PaymentsForOperatingActivities,PaymentsForRepurchaseOfEquity,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsOfCapitalDistribution,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromOperatingActivities,ReclassificationsOfTemporaryToPermanentEquity,RedeemableNoncontrollingInterestEquityCarryingAmount,RetainedEarningsAccumulatedDeficit,Revenues,SponsorFees,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodValueIssuedForCash,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TemporaryEquityForeignCurrencyTranslationAdjustments,TemporaryEquitySharesAuthorized,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,TemporaryEquityStockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageRateForeignDeposit
2011-07-31,2011-09-09,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,,,343812696.0,,,343496029.0,,,,,,0.14,,,,77000000.0,2400000.0,2400000.0,343630043.0,407152.0,,,,0.0417,,,0.14,,,,,,,,,,,,,,,282819.0,815037.0,,,,343812696.0,182653.0,,,,,406197.0,408840.0,148805.0,955.0,955.0,,,,,,,,,,,,,815037.0,408840.0,,,,,,,,,,2824457.0,
2011-10-31,2012-01-13,10-K,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,,,257221216.0,,,257008201.0,-206867901.0,,,,0.25,0.36,0.0,,,82000000.0,1850000.0,1850000.0,257096734.0,935175.0,,,,0.0379,,,0.36,1424747.0,,-15617.0,,-195055.0,,,,184274649.0,,,,,,195055.0,2798992.0,,100000.0,,257221216.0,124482.0,-208892383.0,,599735.0,,930396.0,1868596.0,106522.0,4779.0,4779.0,,1564368.0,3740850452.0,,3740850452.0,655797.0,,3532613866.0,,,,,2798992.0,1868596.0,25450000.0,3532613866.0,26400000.0,3664496177.0,,,,,,4949434.0,
2012-01-31,2012-03-12,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,39107213.0,,,,,286887485.0,,,286856130.0,29847929.0,,,,0.04,0.04,0.0,,,92000000.0,1900000.0,1900000.0,247677184.0,-55926.0,,,,,,,-0.02,-16182200.0,,4148.0,,,,,,,,,,,,31355.0,314773.0,,100000.0,,286887485.0,39210301.0,45930405.0,,99724.0,,-56394.0,371167.0,103088.0,468.0,468.0,,,683694866.0,,,104566.0,,,,,,,314773.0,371167.0,,,5500000.0,723129167.0,,,,,,2880435.0,
2012-04-30,2012-06-11,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,39510244.0,,,,,289813788.0,,,289799567.0,,,,,,,,,,92000000.0,1900000.0,1900000.0,250229408.0,-203437.0,,,,,,,-0.1,,,,,,,,,,,,,,,14221.0,58256.0,,,,289813788.0,39584380.0,,,,,-202883.0,261139.0,74136.0,,-554.0,,,,,,,,,,,,,58256.0,261139.0,,,,,,,,,,2030556.0,
2012-07-31,2012-09-10,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,24487600.0,,,,,293936459.0,,,269444591.0,,,,,,,,,24487869.0,92000000.0,2200000.0,2200000.0,269363606.0,-225857.0,,0.0,,,,,-0.11,,,,,,,,,,,,,,,3999.0,33329.0,,,,293936459.0,24572853.0,,,,,-230056.0,263385.0,85253.0,,4199.0,,,,,,,,,,,,,33329.0,263385.0,,,,,,,,,,2101630.0,
2012-10-31,2013-01-14,10-K,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,,,263931355.0,,,263931355.0,6923154.0,,,,0.04,0.04,,,,92000000.0,2050000.0,2050000.0,263827113.0,-1097074.0,,0.0,102361.0,,,,-0.47000000000000003,-18171174.0,,-12349.0,,,,,-892678.0,203682161.0,263931355.0,,,,,,406358.0,,100000.0,,263931355.0,104242.0,25704219.0,,-609891.0,,-1091301.0,1497659.0,104242.0,,-5773.0,,1190089.0,1626832329.0,,1626832329.0,102361.0,,1652638909.0,,,,,406358.0,1497659.0,12850000.0,1652638909.0,12650000.0,1626832329.0,,,,,,4693029.0,
2013-01-31,2013-03-08,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,,,276184540.0,,,242514624.0,-21416731.0,,,,0.0,,,,33669916.0,92000000.0,2050000.0,2050000.0,276090285.0,-257531.0,,0.0,,,,,-0.13,11306404.0,,-4410.0,,,,,-248127.0,,,,,,,,,,100000.0,,276184540.0,94255.0,-32460611.0,,-262524.0,,-248127.0,248127.0,94255.0,,-9404.0,,262524.0,311522484.0,,311522484.0,,,279061873.0,,,,,,248127.0,,,2400000.0,311522484.0,,,,,,1902174.0,
2013-04-30,2013-06-07,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,13068415.0,,,,,287595795.0,,,287595795.0,,,,,0.0,,,,,102000000.0,2100000.0,2100000.0,274430695.0,-256757.0,,0.0,,,,,-0.13,,,,,,,,,208227645.0,287595795.0,,,,,,,,,,287595795.0,13165100.0,,,,,-255357.0,255357.0,96685.0,,-1400.0,,,,,,,,,,,,,,255357.0,,,,,,,,,,2012921.0,
2013-07-31,2013-09-06,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,13148678.0,,,,,217026830.0,,,217026830.0,,,,,0.0,,,,,102000000.0,1550000.0,1550000.0,203802273.0,-226418.0,,0.0,,,,,-0.13,,,,,,,,,153540025.0,217026830.0,,,,,,,,,,217026830.0,13224557.0,,,,,-222907.0,222907.0,75879.0,,-3511.0,,,,,,,,,,,,,,222907.0,,,,,,,,,,1705978.0,
2013-10-31,2014-01-14,10-K,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,0.0,,201798731.0,,,195074404.0,-68856951.0,,,,0.0,,,,6724327.0,102000000.0,1500000.0,1500000.0,201725396.0,-1171124.0,0.0,0.0,,,,,-0.65,10453151.0,,-4715.0,,,,,,148436083.0,195074404.0,,,,,,,,,,201798731.0,73335.0,-78335343.0,-78335343.0,-974759.0,-974759.0,-1151883.0,1151883.0,73335.0,,-19241.0,,974759.0,,,960031281.0,,,881695938.0,,,201725396.0,0.0,,1151883.0,6800000.0,888213089.0,7350000.0,960031281.0,,,,1500000.0,,3399479.0,
2014-01-31,2014-03-12,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,,,226633167.0,,,226629428.0,31555024.0,,,,0.0,,,,,102000000.0,1700000.0,1700000.0,226557354.0,-226246.0,0.0,0.0,,,,,-0.13,-1867031.0,,585.0,,-3739.0,,,,168054106.0,226629428.0,,,,,3739.0,5184.0,,,,226633167.0,75813.0,33650999.0,,-228944.0,,-228268.0,233452.0,75813.0,,2022.0,,230356.0,,,215231645.0,,,248882644.0,,,,,5184.0,233452.0,1800000.0,242152871.0,1600000.0,215231645.0,,,,,,1722826.0,
2014-04-30,2014-06-09,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,6844825.0,,,,,191719803.0,,,191716331.0,,,,,0.0,,,,,102000000.0,1350000.0,1350000.0,184807908.0,-195343.0,,,,,,,-0.13,,,,,,,,,133332103.0,191716331.0,,,,,3472.0,5817.0,,,,191719803.0,6911895.0,,,,,-193969.0,199786.0,67070.0,,-1374.0,,,,,,,,,,,,,5817.0,199786.0,,,,,,,,,,1502247.0,
2014-07-31,2014-09-08,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,,,211224473.0,,,184829216.0,,,,,0.0,,,,26395257.0,102000000.0,1600000.0,1600000.0,211159160.0,-204101.0,,,,,,,-0.13,,,,,,,,,157865791.0,184829216.0,,,,,,10020.0,,,,211224473.0,65313.0,,,,,-207792.0,217812.0,65313.0,,3691.0,,,,,,,,,,,,,10020.0,217812.0,,,,,,,,,,1613043.0,0.0
2014-10-31,2015-01-14,10-K,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,12345200.0,2438.0,78416.0,0.0,,216126592.0,162647711.0,203781392.0,216126592.0,21052188.0,,,,0.0,,0.0,,,102000000.0,1650000.0,1650000.0,203700538.0,-1034076.0,0.0,,,,0.0,,-0.65,-18075087.0,,6191.0,,,78416.0,2438.0,,162647711.0,216126592.0,5044.0,,,2438.0,,21021.0,,,,216126592.0,12426054.0,39954812.0,39954812.0,-827537.0,-827537.0,-1052465.0,1073486.0,78416.0,,18389.0,613581.0,848295.0,,567615398.0,752253746.0,,582440607.0,792208558.0,20758.0,,203700538.0,0.0,21021.0,1068442.0,5900000.0,785537645.0,5750000.0,765542887.0,-18019616.0,,,1650000.0,785537645.0,3240351.0,0.0
2015-01-31,2015-03-12,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,44427049.0,6538.0,,0.0,,283292583.0,,,283292583.0,67165991.0,,,,0.0,,,,,112000000.0,2150000.0,2150000.0,238798492.0,-196376.0,0.0,,,,,,-0.13,-28124396.0,,7598.0,,,60504.0,6538.0,,211675709.0,283292583.0,17009.0,,,,,0.0,,,,283292583.0,44494091.0,95507726.0,95507726.0,-217339.0,-217339.0,-211125.0,211125.0,60504.0,,14749.0,,217339.0,,,292762502.0,,,388270228.0,0.0,,,0.0,0.0,194116.0,3250000.0,388270228.0,2750000.0,328572120.0,,,,,,1611957.0,0.0
2015-04-30,2015-06-09,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,43651.0,,0.0,,363601216.0,,,280992827.0,,,,,0.0,,0.0,,82608389.0,112000000.0,3300000.0,3300000.0,363471239.0,-325836.0,,,,,,,-0.15,,,,,,,,,324484634.0,280992827.0,92070.0,,,,,0.0,,,,363601216.0,129977.0,,,,,-319395.0,319395.0,86326.0,,-6441.0,,,,,,,,,,,,0.0,0.0,227325.0,,,,,,,,,,2183708.0,0.002
2015-07-31,2015-09-09,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,57232.0,,0.0,,271249145.0,,,271249145.0,,,,,0.0,,,,,127000000.0,2500000.0,2500000.0,271085944.0,-558145.0,,,,,,,-0.17,,,,,,,,,245507601.0,271249145.0,189707.0,,,,,0.0,,,,271249145.0,163201.0,,,,,-562212.0,562212.0,105969.0,,4067.0,,,,,,,,,,,,0.0,0.0,372505.0,,,,,,,,,,3376630.0,
2015-10-31,2016-01-14,10-K,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,100209.0,0.0,,357376987.0,323520521.0,357376987.0,357376987.0,141250395.0,357376987.0,,,0.0,,,,,127000000.0,3300000.0,3300000.0,357228041.0,-1894813.0,0.0,,,,0.0,100209.0,-0.79,-30353078.0,,-3822.0,,,100209.0,48737.0,,323520521.0,357376987.0,573416.0,,,48737.0,,0.0,,,,357376987.0,148946.0,,173044675.0,-1441202.0,-1441202.0,-1918212.0,1918212.0,,,23399.0,1268329.0,1441202.0,,958699359.0,1100566383.0,,1120840498.0,1273611058.0,0.0,,357228041.0,0.0,0.0,1344796.0,,,9750000.0,1089370082.0,-30713473.0,127000000.0,3300000.0,3300000.0,1273611058.0,4917278.0,
2016-01-31,2016-03-11,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,31763217.0,,,0.0,,317797627.0,264344992.0,286034410.0,317797627.0,-39579360.0,,,,0.0,,,,,,,,,-688323.0,,,,,0.0,108568.0,-0.16,-7292323.0,,3067.0,0.0,,108568.0,72026.0,,,317797627.0,231923.0,,,72026.0,,0.0,,,,317797627.0,31943811.0,,-31633015.0,,-654022.0,-688737.0,688737.0,,,414.0,604065.0,654022.0,,724651977.0,752798387.0,,666080513.0,721165372.0,0.0,,285853816.0,0.0,0.0,456814.0,,,,,-7958902.0,127000000.0,2700000.0,2700000.0,721165372.0,4277717.0,
2016-04-30,2016-06-09,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,27963865.0,,,0.0,,268639807.0,210133202.0,240675942.0,268639807.0,,,,,0.0,,,,,,,,,-526995.0,,,,,0.0,93859.0,-0.2,,,,,,,,,,268639807.0,241325.0,,,86922.0,,0.0,,,,268639807.0,28144646.0,,,,,-514964.0,514964.0,,,-12031.0,,,,,,,,,,,240495161.0,0.0,0.0,273639.0,,,,,,127000000.0,2150000.0,2150000.0,,2535556.0,
2016-07-31,2016-09-09,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,0.0,,338067260.0,302318000.0,338067260.0,338067260.0,,,,,0.0,,,,,,,,,-547209.0,,,,,0.0,98363.0,-0.22,,,,,,,,,,338067260.0,278025.0,,,103796.0,,0.0,,,,338067260.0,202159.0,,,,,-548113.0,548113.0,,,904.0,,,,,,,,,,,337865101.0,0.0,0.0,270088.0,,,,,,127000000.0,3100000.0,3100000.0,,2473913.0,
2016-10-31,2017-01-12,10-K,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,0.0,,266705058.0,243299556.0,266705058.0,266705058.0,-90671929.0,266705058.0,-90671929.0,,0.0,,,,,,,,,-2738145.0,,,,,0.0,75126.0,-1.0,-3062.0,-1698856.0,-3062.0,0.0,,75126.0,78126.0,,,266705058.0,1257609.0,,,78126.0,,0.0,,,,266705058.0,153252.0,-86725211.0,-86725211.0,-2247862.0,-2247862.0,-2746398.0,2746398.0,,,5793.0,2026744.0,2247862.0,,1158683985.0,1285096408.0,,1080489764.0,1198371197.0,0.0,,266551806.0,0.0,0.0,1488789.0,,,,,-3951024.0,127000000.0,2500000.0,2500000.0,1198371197.0,5095396.0,
2017-01-31,2017-03-13,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,0.0,,215175700.0,199107670.0,215175700.0,204685669.0,-62019389.0,,,,0.0,,,,,,,,,-407280.0,,,,,0.0,66642.0,-0.21,-4622787.0,,2406.0,0.0,,66642.0,68059.0,,,204685669.0,206795.0,,,68059.0,,0.0,,,,215175700.0,134701.0,,-56973177.0,,-423425.0,-407280.0,407280.0,,,-6043.0,397620.0,423425.0,,160368053.0,170775940.0,,116573787.0,113802763.0,0.0,,215040999.0,0.0,0.0,200485.0,,,,,-4874293.0,127000000.0,2050000.0,2050000.0,124139426.0,1903261.0,
2017-04-30,2017-06-09,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,0.0,,306094837.0,281091786.0,306094837.0,284994909.0,,284994909.0,,,0.0,,,,,,,,,-465466.0,,,,,0.0,86213.0,-0.2,,,,,,,,,,284994909.0,234179.0,,,85624.0,,0.0,,,,306094837.0,171837.0,,,,,-465466.0,465466.0,,,-8908.0,,,,,,,,,,,305923000.0,0.0,0.0,231287.0,,,,,,137000000.0,2900000.0,2900000.0,,2321348.0,
2017-07-31,2017-09-11,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,0.0,,342201608.0,266077953.0,313706062.0,342201608.0,,342201608.0,,,0.0,,,,,,,,,-630407.0,,,,,0.0,128705.0,-0.22,,,,,,,,,,342201608.0,320533.0,,,133902.0,,0.0,,,,342201608.0,28758153.0,,,,,-630407.0,630407.0,,,-28912.0,,,,,,,,,,,313443455.0,0.0,0.0,309874.0,,,,,,137000000.0,2750000.0,2750000.0,,2826630.0,
2017-10-31,2018-01-11,10-K,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,0.0,,393593414.0,337862948.0,393593414.0,376734108.0,110029050.0,376734108.0,110029050.0,,0.0,,,,,,,,,-2854369.0,,,,,0.0,108181.0,-1.1,1460.0,21039648.0,1460.0,0.0,,108181.0,109910.0,,,376734108.0,1440385.0,,,109910.0,,0.0,,,,393593414.0,218091.0,91101864.0,91101864.0,-2112462.0,-2112462.0,-2854369.0,2854369.0,,,-23811.0,1901235.0,2112462.0,,900863979.0,1000949967.0,,997328606.0,1092051831.0,0.0,,393375323.0,0.0,0.0,1413984.0,,,,,19641670.0,137000000.0,3500000.0,3500000.0,1108131814.0,5419799.0,
2018-01-31,2018-03-12,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,0.0,,330039021.0,264931893.0,330039021.0,330039021.0,-46695087.0,,,,0.0,,,,,,,,,-624206.0,,,,,0.0,98421.0,-0.24,,,-13933.0,0.0,,,106759.0,,,330039021.0,319702.0,,,106759.0,,0.0,,,,330039021.0,205180.0,,-69072910.0,,-651050.0,-624206.0,,,,-27765.0,545861.0,,,279487959.0,,,207102765.0,,,,,0.0,0.0,304504.0,,,,,22792338.0,137000000.0,2750000.0,,247011468.0,,
2018-04-30,2018-06-11,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,0.0,,394980172.0,326916399.0,394980172.0,,,,,,0.0,,,,,,,,,-711272.0,,,,,0.0,126381.0,,,,,,,,,,,394980172.0,,,,128309.0,,,,,,394980172.0,254690.0,,,,,,,,,13288.0,,,,,,,,,,,,0.0,,,,,,,,139500000.0,3400000.0,,,,
2018-07-31,2018-09-07,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,0.0,,269467283.0,230303986.0,269467283.0,,,,,,0.0,,,,,,,,,-623423.0,,,,,0.0,91823.0,,,,,,,,,,,263856997.0,,,,93507.0,,,,,,269467283.0,185330.0,,,,,,,,,1355.0,,,,,,,,,,,269281953.0,0.0,,,,,,,,139500000.0,2400000.0,2400000.0,,,
