end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,AssetsNoncurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashUninsuredAmount,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleDebt,ConvertibleLongTermNotesPayable,ConvertibleNotesPayableCurrent,CurrentFederalTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,DebtInstrumentConvertibleConversionPrice1,DeferredRevenueCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpense,DeferredTaxAssetsValuationAllowance,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,GeneralAndAdministrativeExpense,ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExaminationPenaltiesAccrued,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInIntangibleAssetsCurrent,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsCurrent,InterestExpense,InterestExpenseDebt,InterestExpenseRelatedParty,InterestIncomeExpenseNet,InterestPayableCurrent,InvestmentIncomeInterest,LeaseAndRentalExpense,LesseeOperatingLeaseDiscountRate,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeaseWeightedAverageDiscountRatePercent,OperatingLossCarryforwards,OtherGeneralAndAdministrativeExpense,OtherNonoperatingExpense,OtherPrepaidExpenseCurrent,PaymentsToAcquireIntangibleAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,RevenueFromRelatedParties,Revenues,SellingGeneralAndAdministrativeExpense,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodValueNewIssues,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted,AmortizationOfLeasedAsset
2017-02-28,2017-04-03,10-Q,"WEWARDS, INC.",WEWA,CIK0001616156,USD,52550.0,,27662.0,,,8012689.0,8012689.0,,8012689.0,,,,,0.001,500000000.0,8130000.0,8130000.0,8130.0,,12000000.0,,,,,,,,,,219317.0,-0.25,-0.25,,,,,730.0,,-2003180.0,30000.0,,,,,,,,,,,,39444.0,,,,74028.0,,,,,,,,,,12345895.0,8012689.0,345895.0,,,,,-2003180.0,-39444.0,1963736.0,-1963736.0,,,,,,,,,,,,,,,,,,,,0.001,50000000.0,0.0,0.0,,,,,,,27200.0,,,,,,1935806.0,-4368998.0,,,,-4333206.0,,,,,8130000.0,,
2017-05-31,2017-09-13,10-K,"WEWARDS, INC.",WEWA,CIK0001616156,USD,,,27661.0,,,7280761.0,7280761.0,,7238261.0,7191506.0,,0.0,,0.001,500000000.0,8130000.0,8130000.0,8130.0,,12000000.0,,1061200.0,,,,,1085075.0,,1085075.0,186734.0,-0.62,-0.62,,0.34,,,12009.0,,-5053337.0,,,225262.0,,,,,,,,42500.0,,225261.0,,,,225262.0,,,,,,,,,,12411996.0,7280761.0,411996.0,,12062081.0,,-4870575.0,-5053337.0,-225261.0,4828076.0,-4828076.0,,,,,,,,,,,,,,5200000.0,,,,,,0.001,50000000.0,0.0,0.0,42500.0,,,,12062081.0,,106545.0,,,,,,4709522.0,-5167026.0,,,,-5131235.0,,,,291689403.0,8130000.0,,
2017-08-31,2017-10-12,10-Q,"WEWARDS, INC.",WEWA,CIK0001616156,USD,,,27662.0,,,6056111.0,6056111.0,,5801216.0,-1437045.0,,,,0.001,500000000.0,8130000.0,8130000.0,8130.0,,12000000.0,,,,,,,,,,186734.0,-0.17,-0.17,,,,,193064.0,,-1375883.0,,151233.0,151233.0,,,,,,,,212395.0,,151233.0,,,-151233.0,376494.0,,,,,,,,,,12563228.0,6056111.0,563228.0,,,,-1437045.0,-1375883.0,-151233.0,1224650.0,-1224650.0,,,,,,,,,,,,,,,,,,,,0.001,50000000.0,0.0,0.0,254895.0,,,,,,27640.0,,,,,,1031586.0,-6542909.0,,,,-6507117.0,,,,,8130000.0,,
2017-11-30,2018-01-12,10-Q,"WEWARDS, INC.",WEWA,CIK0001616156,USD,,,27661.0,,,12859059.0,12859059.0,,12586059.0,,,,,0.001,500000000.0,8130000.0,8130000.0,8130.0,,20000000.0,,,,,,,,,,186734.0,-0.17,0.0,,,,,189808.0,,-1357599.0,,,,,,,,,,,,,160547.0,,,-160459.0,537042.0,88.0,,,,,,,,,20723776.0,12859059.0,723776.0,,,,,-1357599.0,-160459.0,1197140.0,-1197140.0,,,,,,,,,,,,,,,,,,,,0.001,50000000.0,0.0,0.0,273000.0,,,,,,89482.0,,,,,,1007332.0,-7900508.0,,,,-7864717.0,,,,,8130000.0,,
2018-02-28,2018-04-13,10-Q,"WEWARDS, INC.",WEWA,CIK0001616156,USD,63267.0,,27662.0,,,12104134.0,12104134.0,,12044134.0,,,,,0.001,500000000.0,8130000.0,8130000.0,8130.0,,20000000.0,,,,,,,,,,225272.0,,-0.14,,,,,464259.0,,-1103305.0,,,,,,,,,,,,,246575.0,,246575.0,789.0,783616.0,789.0,,,,,,,,,21072155.0,12104134.0,1072155.0,,,,,-1103305.0,-245786.0,857519.0,-857519.0,,,,,,,,,,,,,,,,,35000.0,,,0.001,50000000.0,0.0,0.0,60000.0,,,,,,75029.0,,,,,,393260.0,-9003813.0,,,,-8968022.0,,,,,8130000.0,,
2018-05-31,2018-09-20,10-K,"WEWARDS, INC.",WEWA,CIK0001616156,USD,160536.0,,3171197.0,,,11485089.0,11110964.0,,10794298.0,3556037.0,,0.0,,0.001,500000000.0,88733450.0,88733450.0,88733.0,,17000000.0,,996200.0,,,,,2081300.0,,2081300.0,190272.0,,-0.17,,0.35,,,1249334.0,,-4743916.0,,944706.0,944706.0,,,,,374125.0,,,274166.0,374125.0,784170.0,,,,785293.0,1629.0,40500.0,,,,,,,,18136101.0,11485089.0,1136101.0,,8003538.0,-374125.0,-4073376.0,-4743916.0,-1278541.0,3465375.0,-3465375.0,,,,,,,765000.0,45000.0,180000.0,180000.0,180000.0,180000.0,,9900000.0,,496000.0,,374125.0,,0.001,50000000.0,0.0,,316666.0,,,,8038538.0,,357153.0,,,,,35000.0,2117207.0,-9910942.0,,,,-6651012.0,,3224139.0,-449000.0,222197251.0,27342329.0,,
2018-08-31,2018-10-22,10-Q,"WEWARDS, INC.",WEWA,CIK0001616156,USD,45641.0,,5083349.0,,,6062346.0,5256021.0,,5026865.0,-5767433.0,,,,0.001,500000000.0,107483450.0,107483450.0,107483.0,,10500000.0,,,,,,,,,,225272.0,,0.0,,,,,223458.0,,-500716.0,,-114895.0,,,157868.0,,,,157868.0,,-87510.0,806325.0,,,157877.0,13119.0,512259.0,,45000.0,,,,,,,,11283172.0,6062346.0,783172.0,,-4965000.0,-432200.0,-370233.0,-500716.0,-144758.0,355958.0,,,,,,,,,,,,,,,,87500.0,,,432200.0,,0.001,50000000.0,0.0,,229156.0,,,,35000.0,,,,,,,5000000.0,,-10411658.0,,,,-5220826.0,,1500000.0,,,102184537.0,,
2018-11-30,2019-01-18,10-Q,"WEWARDS, INC.",WEWA,CIK0001616156,USD,1197.0,,5083349.0,,,5699270.0,4892945.0,,4776289.0,,,,,0.001,500000000.0,107483450.0,107483450.0,107483.0,,10500000.0,,,,,,,,,,225272.0,,0.0,,,,,291662.0,,-451919.0,,,,,,,,,,,,806325.0,,,133288.0,18031.0,645546.0,,45000.0,,,,,,,,11372015.0,5699270.0,872015.0,,,,,-451919.0,-115257.0,336662.0,,,,,,,,,,,,,,,,,,,,,0.001,50000000.0,0.0,,116656.0,,,,,,,,,,,,15218.0,-10863577.0,,,,-5672745.0,,,,,107483450.0,,
2019-02-28,2019-04-12,10-Q,"WEWARDS, INC.",WEWA,CIK0001616156,USD,12478.0,,5083349.0,,,5495370.0,4689045.0,,4634639.0,,,,,0.001,500000000.0,107483450.0,107483450.0,107483.0,,10500000.0,,,,,,,,,,225272.0,,0.0,,,,,88448.0,,-347031.0,,,,,,,,,,,,806325.0,,,131850.0,22846.0,777396.0,,48479.0,,,,,,,,11515146.0,5495370.0,1015146.0,,,,,-347031.0,-109004.0,238027.0,-238027.0,,,,,,,,,,,,,,,134.0,,,,,0.001,50000000.0,0.0,,54406.0,,,,,,101100.0,,,,,,,-11210608.0,,,,-6019776.0,,,,,107483450.0,,
2019-05-31,2019-09-23,10-K,"WEWARDS, INC.",WEWA,CIK0001616156,USD,329.0,,5083348.0,,430901.0,5073830.0,4533397.0,,4508397.0,-6285901.0,-6285901.0,0.0,4258497.0,0.001,500000000.0,107483450.0,107483450.0,107483.0,10500000.0,10500000.0,,500700.0,,,,,1288400.0,1288400.0,1288400.0,225272.0,,-0.02,0.0,0.21,0.21,0.0,216482.0,374125.0,-2384217.0,,-160207.0,,,,,,,557732.0,,-291666.0,,557742.0,548151.0,557742.0,76614.0,912123.0,76614.0,180000.0,0.08,675000.0,180000.0,135000.0,180000.0,180000.0,134566.0,12178158.0,5073830.0,1266429.0,,-4965000.0,,-1320901.0,-2384217.0,-481128.0,1903089.0,-1903089.0,,540434.0,128705.0,411729.0,,540433.0,,,,,,,,12300000.0,,,,,,0.001,50000000.0,0.0,0.0,25000.0,,,,35000.0,,392930.0,,,,,5000000.0,447418.0,-12295159.0,,,,-7104328.0,,1500000.0,,131250000.0,106147834.0,,
2019-08-31,2019-10-11,10-Q,"WEWARDS, INC.",WEWA,CIK0001616156,USD,100.0,,5083348.0,,,4827430.0,4318218.0,,4318218.0,-190179.0,-190179.0,,,0.001,500000000.0,107483450.0,107483450.0,107483.0,,10500000.0,,,,,,,,,,225272.0,,0.0,,,,,2028.0,,-349676.0,,-229.0,,,,,,,134726.0,,-25000.0,,,132329.0,134727.0,21754.0,1046850.0,,45000.0,0.08,,,,,,120788.0,12281434.0,4827430.0,1403518.0,,,,-190179.0,-349676.0,-112973.0,236703.0,-236703.0,,509212.0,131296.0,377916.0,,509212.0,630000.0,135000.0,,135000.0,180000.0,180000.0,,,,,,,,0.001,50000000.0,0.0,,,,,,,,189675.0,,,,,,,-12644835.0,,,,-7454004.0,,1500000.0,,,107483450.0,,
2019-11-30,2020-01-14,10-Q,"WEWARDS, INC.",WEWA,CIK0001616156,USD,100.0,,5083348.0,,,4742355.0,4264992.0,,4264992.0,,,,,0.001,500000000.0,107483450.0,107483450.0,107483.0,,,10500000.0,,,,,,,,,225272.0,,0.0,,,,,918.0,,-186515.0,,,,,,,,,,,,,,,133288.0,20091.0,1180139.0,,45000.0,0.08,,,,,,107637.0,12382874.0,4742355.0,12039451.0,,,,,-186515.0,-113197.0,73318.0,-73318.0,,477363.0,133940.0,343423.0,45000.0,477363.0,585000.0,90000.0,,135000.0,180000.0,180000.0,,,,,,,,0.001,50000000.0,0.0,,,,,,,,27400.0,,,,,,,-12831350.0,,,,-7640519.0,,,,,107483450.0,,
2020-02-29,2020-04-07,10-Q,"WEWARDS, INC.",WEWA,CIK0001616156,USD,200.0,30012.0,5083348.0,,,4727776.0,4249099.0,,4249099.0,,,,3999199.0,0.001,500000000.0,107483450.0,107483450.0,107483.0,,,10500000.0,,,,,,,,,225272.0,,0.0,,,,,3142.0,,,,,,,,,,,,,,,,,133699.0,17388.0,1313837.0,,45000.0,,,,,,,61323.0,12547998.0,4727776.0,12216340.0,,,,,-179703.0,-116311.0,63392.0,-63392.0,,478677.0,147019.0,331658.0,,478677.0,540000.0,45000.0,,135000.0,180000.0,180000.0,0.08,6180000.0,,,,,,0.001,50000000.0,0.0,0.0,,,,,,,15250.0,,,,,,,-13011053.0,,,,-7820222.0,,,,,107483450.0,,
2020-05-31,2020-08-31,10-K,"WEWARDS, INC.",WEWA,CIK0001616156,USD,325.0,15006.0,5161532.0,,,4460121.0,4017107.0,,4017107.0,,-491290.0,,3768042.0,0.001,500000000.0,107483450.0,107483450.0,107483.0,10500000.0,10500000.0,,,,,5834.0,1223460.0,1223460.0,,1223460.0,,,-0.01,0.0,0.21,0.21,0.0,6375.0,,,,-4.0,,15006.0,,5834.0,,,539556.0,,-25000.0,,,526439.0,539556.0,70050.0,1419467.0,,180000.0,,,,,,,51986.0,12383646.0,4460121.0,1590611.0,,,-179300.0,-311990.0,-897381.0,-469506.0,432041.0,-427875.0,,443014.0,149979.0,293035.0,180000.0,443014.0,495000.0,180000.0,,,135000.0,180000.0,0.08,5826000.0,,,,179300.0,,0.001,50000000.0,0.0,0.0,,,,,,,245666.0,,,,,,,-13192540.0,4166.0,4166.0,,-7923525.0,,,,,107483450.0,,
