end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,AllocatedShareBasedCompensationExpense,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,AssetsFairValueDisclosure,BusinessCombinationSeparatelyRecognizedTransactionsExpensesAndLossesRecognized,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CompensatedAbsencesLiability,ConvertibleNotesPayable,CostOfServices,DebtInstrumentUnamortizedDiscount,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositsAssetsNoncurrent,Depreciation,DepreciationNonproduction,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EmployeeRelatedLiabilitiesCurrent,GeneralInsuranceExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInOperatingAssets,InterestExpense,InterestExpenseOtherShortTermBorrowings,InterestExpenseRelatedParty,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MergerAndAcquisitionCosts,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,OfficersCompensation,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherGeneralAndAdministrativeExpense,OtherNotesPayable,OtherPaymentsToAcquireBusinesses,PaidInKindInterest,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfMachineryAndEquipment,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RecapitalizationCosts,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,SalesRevenueServicesNet,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharesIssued,StockholdersEquity,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,TravelAndEntertainmentExpense,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AuctionMarketPreferredSecuritiesStockSeriesVariableInterestRateEarned,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,ConvertibleNotesPayableCurrent,NetIncomeLossAvailableToCommonStockholdersBasic,NonoperatingIncomeExpense,OtherLiabilitiesCurrent
2012-10-31,2012-12-21,10-Q,WORLDWIDE STRATEGIES INC.,WWSG,CIK0001342792,USD,70020.0,3900.0,,17751.0,22623.0,6905879.0,,,,7000.0,2011.0,,4094.0,3944.0,,,,0.0,1755.0,-2955.0,,0.001,33333333.0,17873984.0,17873984.0,17875.0,410625.0,22500.0,0.0,,,,,,150.0,0.0,,7726711.0,,109603.0,9173.0,,-0.01,,,,,410625.0,0.0,0.0,-43484.0,0.0,0.0,,-10444.0,-10444.0,10906.0,11234.0,-1549.0,9123.0,,,0.0,,,,,,4094.0,805559.0,0.0,,22500.0,,0.0,,-25455.0,-43484.0,193661.0,,0.0,34361.0,-34361.0,,2381.0,,0.0,0.0,0.0,0.001,25000000.0,1491743.0,1491743.0,1492.0,2189.0,,0.0,0.0,22500.0,0.0,,24749.0,,,0.0,0.0,-22500.0,3900.0,,0.0,1500.0,4058328.0,0.14,,550000.0,,,0.01,,-801465.0,,10500.0,,,7231.0,16974987.0,,,,,,
2013-01-31,2013-03-15,10-Q,WORLDWIDE STRATEGIES INC.,WWSG,CIK0001342792,USD,78921.0,3900.0,,21525.0,22623.0,6910265.0,,,,0.0,,,1773.0,1623.0,,,,,370.0,,,0.001,33333333.0,18025234.0,18025234.0,18026.0,410625.0,,0.0,,,,,,150.0,0.0,,7748496.0,,109855.0,,,0.0,,,,,410625.0,0.0,0.0,-22179.0,0.0,,,,,,,,8844.0,,,,,,,,,1773.0,820486.0,0.0,,,,,,,-22179.0,195661.0,,0.0,13335.0,-13335.0,,455.0,,,,,0.001,25000000.0,1491743.0,1491743.0,1492.0,1253.0,,,,,,,12880.0,,,,,,,,0.0,,4058328.0,,,,4058328.0,0.14,,,-818713.0,,,,,0.0,17965655.0,,,,,,
2013-04-30,2013-06-11,10-Q,WORLDWIDE STRATEGIES INC.,WWSG,CIK0001342792,USD,76096.0,3900.0,,40615.0,22623.0,6927199.0,,,,0.0,,,489.0,339.0,,0.0,,,339.0,,,0.001,33333333.0,18528984.0,18528984.0,18530.0,410625.0,,0.0,,,,,,150.0,0.0,,7796774.0,108894.0,110147.0,,,0.0,,,,,410625.0,0.0,0.0,-54615.0,0.0,,,,,,,,44410.0,337.0,,,,1253.0,,,,489.0,850043.0,,,,,,,,-54615.0,208661.0,,0.0,10206.0,-10206.0,,495.0,,,,,0.001,25000000.0,1491743.0,1491743.0,1492.0,0.0,,,,12500.0,,,9711.0,,,0.0,,,,,0.0,,4058328.0,,,,4058328.0,0.14,,,-849553.0,,,,,0.0,18447130.0,,,,,,
2013-07-31,2014-11-26,10-K,WORLDWIDE STRATEGIES INC.,WWSG,CIK0001342792,USD,84846.0,3900.0,3900.0,26503.0,22623.0,7575567.0,72550.0,474019.0,,,20095.0,,3687.0,3537.0,,,,,3537.0,-1172.0,,0.001,33333333.0,18859005.0,18859005.0,18860.0,0.0,,0.0,8644.0,1110869.0,0.0,3267261.0,1110869.0,150.0,0.0,,,,4723.0,,,-0.01,,,,,0.0,,0.0,-232681.0,0.0,0.0,,,18056.0,15954.0,,,78175.0,,,0.0,,,,1800.0,,3687.0,331717.0,,,49550.0,,,,-50722.0,-232681.0,135300.0,11445.0,,154506.0,-154506.0,,3784.0,,,,,0.001,25000000.0,1491743.0,1491743.0,1492.0,,49550.0,,,47050.0,2500.0,,138156.0,232681.0,22623.0,0.0,,0.0,0.0,-7959949.0,0.0,1500.0,,,,,,,,,,,4550.0,,,12566.0,27487506.0,,,,,,
2013-10-31,2015-03-16,10-Q,WORLDWIDE STRATEGIES INC.,WWSG,CIK0001342792,USD,90882.0,3900.0,,29902.0,,7618195.0,3000.0,,,,30053.0,,1713.0,1563.0,,,,,1563.0,-1974.0,,0.001,33333333.0,19530673.0,19530673.0,19531.0,0.0,,0.0,4538.0,,,,,150.0,,,,,7778.0,,,0.0,,,,,,,0.0,-87817.0,0.0,0.0,,,9435.0,3055.0,,,76806.0,,,0.0,,,,,,1713.0,374260.0,,,3000.0,,,,-4974.0,-87817.0,142498.0,34300.0,,11011.0,-11011.0,,466.0,,,,,0.001,25000000.0,1491743.0,1491743.0,1492.0,,3000.0,,,3000.0,0.0,,10545.0,,,,,-3000.0,,-8047766.0,0.0,0.0,,,,,,,,,-372547.0,,,,,0.0,19442101.0,,,,,,
2014-01-31,2015-03-18,10-Q,WORLDWIDE STRATEGIES INC.,WWSG,CIK0001342792,USD,85581.0,3900.0,,33583.0,,7653196.0,,,,,,,15372.0,15222.0,,,,,15222.0,,,0.001,33333333.0,19530672.0,19530672.0,19531.0,0.0,,0.0,15007.0,,,,,150.0,,,,,11099.0,,,0.0,,,,,,,0.0,-63839.0,0.0,,,,,,,,43801.0,,,,,,,,,15372.0,416758.0,,,,,,,,-63839.0,155030.0,62566.0,,20038.0,-20038.0,,2641.0,,,,,0.001,25000000.0,1491743.0,1491743.0,1492.0,,,,,,,,16796.0,,,,,,,-8111605.0,0.0,,,,,,,,,,-401386.0,,,,,601.0,19530672.0,,,,,,
2014-04-30,2015-04-02,10-Q,WORLDWIDE STRATEGIES INC.,WWSG,CIK0001342792,USD,83022.0,3900.0,3900.0,37584.0,,7688896.0,,,,,,,8799.0,8649.0,,,,,8649.0,,,0.001,33333333.0,19830672.0,19830672.0,19831.0,0.0,,0.0,5126.0,,,,,150.0,,,,,14553.0,,,0.0,,,,,,0.0,0.0,-29219.0,0.0,,,,,,,,25203.0,,,,,,,,,8799.0,439404.0,,,,,,,,-29219.0,164911.0,70434.0,,4016.0,-4016.0,,966.0,,,,,0.001,25000000.0,1491743.0,1491743.0,1492.0,,,,,,,,3050.0,,,,,,,-8140824.0,0.0,,,,,,,,,,-430605.0,,,,,0.0,19702582.0,,,,,,
2014-07-31,2015-02-17,10-K,WORLDWIDE STRATEGIES INC.,WWSG,CIK0001342792,USD,84372.0,3900.0,3900.0,42902.0,22623.0,7692896.0,42000.0,,,,93784.0,1600000.0,2289.0,2139.0,,,,,2139.0,-1398.0,,0.001,33333333.0,19830672.0,19830672.0,19831.0,0.0,,0.0,1341.0,1135567.0,0.0,3339902.0,1135567.0,150.0,,,,,18041.0,18041.0,,-0.01,,,,,,,,-206725.0,0.0,0.0,,,15925.0,13318.0,,,163801.0,,,0.0,,,,1800.0,,2289.0,454744.0,,,42000.0,,,,-43398.0,-206725.0,164696.0,73833.0,,42924.0,-42924.0,,2536.0,,,,,0.001,25000000.0,1491743.0,1491743.0,1492.0,,46000.0,,,28000.0,18000.0,,39787.0,,22623.0,0.0,,4000.0,,-8166674.0,0.0,,,,,,,,,,-452455.0,,,,,601.0,28949088.0,,,,,,
2014-10-31,2015-04-21,10-Q,WORLDWIDE STRATEGIES INC.,WWSG,CIK0001342792,USD,85164.0,3900.0,3900.0,46933.0,,7704646.0,11750.0,,,,2556.0,,41231.0,41081.0,,,,,41081.0,38942.0,,0.001,33333333.0,19830672.0,19830672.0,19831.0,,,0.0,10011.0,,,,,150.0,,,,,21563.0,21563.0,,0.0,,,,,,,0.0,-13709.0,0.0,0.0,,,4823.0,3522.0,,,10109.0,,3522.0,0.0,,,,,,41231.0,495645.0,,,41750.0,,,,-2808.0,-13709.0,196026.0,75059.0,,3600.0,-3600.0,,491.0,,,,,0.001,25000000.0,1491743.0,1491743.0,1492.0,,41750.0,,,40000.0,1750.0,,3109.0,,,,,,,-8180383.0,0.0,,,,,,,,,,-454414.0,,,,,,19830672.0,,,,,,
2015-01-31,2015-05-01,10-Q,WORLDWIDE STRATEGIES INC.,WWSG,CIK0001342792,USD,67846.0,3900.0,3900.0,52306.0,,7726391.0,,,,,,,32473.0,32323.0,,,,,32323.0,,,0.001,33333333.0,19830672.0,19830672.0,19831.0,,,0.0,18844.0,,,,,150.0,,,,,25111.0,25111.0,,0.0,,,,,,,0.0,-87120.0,0.0,,,,,,,,17685.0,,,,,,,,,32473.0,552262.0,,,,,,,,-87120.0,260193.0,75906.0,,69435.0,-69435.0,,1060.0,,,,,0.001,25000000.0,1491743.0,1491743.0,1492.0,,,,,,,,66270.0,,,,,,,-8267503.0,0.0,,,,,,,,,,-519789.0,,,,,2104.0,19830672.0,,,,,,
2015-04-30,2015-06-08,10-Q,WORLDWIDE STRATEGIES INC.,WWSG,CIK0001342792,USD,73089.0,3900.0,3900.0,68816.0,,7774448.0,,,,,,,5959.0,5809.0,0.0,,,,5809.0,,,0.001,33333333.0,19830672.0,19830672.0,19831.0,,,0.0,11812.0,,,,,150.0,,,,,28659.0,28659.0,,-0.01,,,,,,9600.0,0.0,-119905.0,0.0,,,,,,,,20959.0,,,,,,,,,5959.0,597596.0,,,,,,,,-119905.0,279725.0,76407.0,,98946.0,-98946.0,,11463.0,,,,,0.001,25000000.0,1491743.0,1491743.0,1492.0,,,,,,,,76736.0,,,,,,,-8387408.0,0.0,,,,,,,,,,-591637.0,,,,,1147.0,19830672.0,,,,,,
2021-07-31,2021-10-29,10-K,WORLDWIDE STRATEGIES INC.,WWSG,CIK0001342792,USD,42967.0,,,375504.0,,14497273.0,,,,,,,0.0,,,,0.0,,,,0.0,0.001,975000000.0,19830679.0,19830679.0,19831.0,,375504.0,,,1000000.0,,,1000000.0,,,,,,,,14577.0,-0.07,,,,,,,,-1377773.0,0.0,,0.0,,,,47600.0,,47818.0,,,,0.0,,375504.0,,925454.0,0.0,910877.0,,14577.0,,,,-14577.0,,-1377773.0,,,,1329955.0,-1329955.0,5100000.0,1329955.0,40000.0,,,,0.001,25000000.0,,,,,,,,,14577.0,,,,,,,,,-15447828.0,,1315596.0,,,,,,,,,-925454.0,,,,1315596.0,,19830679.0,,0.0,452406.0,,,900000.0
2021-10-31,2021-12-14,10-Q,WORLDWIDE STRATEGIES INC.,WWSG,CIK0001342792,USD,42967.0,,,388129.0,,14497273.0,,,,,,,0.0,,,,0.0,,,,0.0,0.001,975000000.0,19830679.0,19830679.0,19831.0,,452406.0,,,,,,,,,,,,,,28058.0,0.0,,,,,,,,-26106.0,0.0,,0.0,,,,12625.0,,12221.0,,,,0.0,,388129.0,,951560.0,0.0,923502.0,,13481.0,,0.0,,-13481.0,,-26106.0,,,,13885.0,-13885.0,,13885.0,40000.0,,,,0.001,25000000.0,,,,,,,,,13481.0,,,,,,,,,-15473934.0,,0.0,,,,,,,,,-951560.0,,,,,,19830679.0,,,,,,
2022-01-31,2022-03-15,10-Q,WORLDWIDE STRATEGIES INC.,WWSG,CIK0001342792,USD,42967.0,,,400028.0,,14497273.0,,,,,,,0.0,,,,0.0,,,,,0.001,975000000.0,19830679.0,19830679.0,19831.0,,400028.0,,,,,,,,,,,,,,31952.0,0.0,,,,,,,,,0.0,,,,,,,,12463.0,,,,,,,,967353.0,0.0,935401.0,,,,,,,,-15793.0,,,,3330.0,-3330.0,,3330.0,40000.0,,,,0.001,25000000.0,,,,,,,,,,,,-15793.0,,,,,,-15489727.0,,,,,,,,,,,-967353.0,,,,,,19830679.0,,0.0,452406.0,-16000.0,-12463.0,1000000.0
