end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableCurrentAndNoncurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,AdvanceRent,Assets,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostMaintenance,CostOfUtilities,DebtInstrumentPeriodicPaymentPrincipal,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceNoncurrent,DeferredTaxLiabilities,DepositAssets,Deposits,DepositsAssets,DepositsAssetsCurrent,Depreciation,DepreciationAndAmortization,DerivativeGainLossOnDerivativeNet,DerivativeLiabilitiesCurrent,DividendsPreferredStock,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EquityMethodInvestmentOwnershipPercentage,EscrowDeposit,FairValueAssumptionsExpectedDividendRate,FairValueAssumptionsExpectedVolatilityRate,FairValueAssumptionsRiskFreeInterestRate,FairValueOfAssetsAcquired,FeesAndCommissionsTransferAgent,FinancialInstrumentsOwnedAtFairValue,GeneralAndAdministrativeExpense,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationPriorYearIncomeTaxes,IncomeTaxReconciliationTaxExemptIncome,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDeposits,IncreaseDecreaseInDerivativeLiabilities,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInRestrictedCash,IncreaseDecreaseInSecurityDeposits,InterestExpenseBorrowings,InterestExpenseRelatedParty,InterestPaid,InterestPaidNet,InvestmentBuildingAndBuildingImprovements,LaborAndRelatedExpense,Land,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LicenseCosts,LoansPayable,LongTermDebt,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,MaintenanceCosts,MortgageLoansOnRealEstate,MortgageLoansOnRealEstateCollectionsOfPrincipal,MortgageLoansOnRealEstateCommercialAndConsumerNet,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpenseTransferAgentAndCustodianFees,NonoperatingIncomeExpense,NotesIssued1,NotesPayable,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesIncomeStatementLeaseRevenue,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherAssetsCurrent,OtherIncome,OtherLoansPayable,OtherNonoperatingIncomeExpense,PaymentsForCommissions,PaymentsForRent,PaymentsToAcquireBuildings,PaymentsToAcquireBusinessesGross,PaymentsToAcquireProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockValue,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromIssuanceOfSecuredDebt,ProceedsFromLoans,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromRepaymentsOfSecuredDebt,ProfessionalFees,PropertyPlantAndEquipmentAdditions,RealEstateAccumulatedDepreciation,RealEstateAcquisitionsThroughForeclosures,RealEstateAndAccumulatedDepreciationCostsCapitalizedSubsequentToAcquisitionImprovements,RealEstateAndAccumulatedDepreciationInitialCostOfBuildingsAndImprovements,RealEstateAndAccumulatedDepreciationInitialCostOfLand,RealEstateGrossAtCarryingValue,RealEstateImprovements,RealEstateInvestmentPropertyAccumulatedDepreciation,RealEstateInvestmentPropertyAtCost,RealEstateInvestmentPropertyNet,RealEstateInvestments,RepaymentsOfDebt,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RepaymentsOfSecuredDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SaleOfStockPricePerShare,SalesRevenueGoodsNet,SalesRevenueServicesNet,SecuredDebt,SecurityDeposit,SecurityDepositLiability,ShareBasedCompensation,SharesIssuedPricePerShare,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesDividendReinvestmentPlan,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,TaxesAndLicenses,TaxesExcludingIncomeAndExciseTaxes,TechnologyServicesCosts,UtilitiesOperatingExpense,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,InterestExpenseDebt,OtherNonoperatingIncome,ProceedsFromNotesPayable
2018-03-31,2018-08-01,10-Q,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,,829.0,362079.0,,,,1775416.0,,30190.0,18202.0,30190.0,18202.0,,0.001,100000000.0,25730500.0,25730500.0,25731.0,2559.0,,,,,,,6600.0,,,,16301.0,,,,,,,374400.0,,0.01,,,,,,,,,,,,8047.0,,,,,,,,-29216.0,,,,,,,-29216.0,4484.0,,,,,,,,2218757.0,1775416.0,,,,,,,,,,,,,,75991.0,-16725.0,-41064.0,288309.0,300.0,11842.0,,196055.0,,316663.0,276467.0,40196.0,6900.0,,,,,,,,16725.0,,,16725.0,,,,,1500.0,,,40000.0,,,25000.0,,,,399.0,,,,,,,,,65856.0,1802982.0,1737126.0,,,10000.0,,,-831151.0,40196.0,40196.0,,,,,,15255.0,260160.0,,-443341.0,,,,,,,,,,,,25701167.0,25701167.0,,,
2018-06-30,2018-08-20,10-Q,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,,345.0,362079.0,,,,2262535.0,,11975.0,,11975.0,,,0.001,100000000.0,25730500.0,25730500.0,25731.0,1520.0,,,,,,,6600.0,,,,19315.0,,,,,,,407400.0,,0.0,,,,,,,,,,,,6875.0,,,,,,,,,,,,,,,,4335.0,,,,,,,,2770239.0,2262535.0,,,,,,,,,,,,,,,,,64363.0,495.0,,,186055.0,,89395.0,-33743.0,55652.0,6900.0,,,,,,,,,,,,,,,,1500.0,,,,,,,,,,15459.0,,,,,,,,,85171.0,2327621.0,2242460.0,,,,,,-895514.0,55652.0,55652.0,,,,,,33355.0,,,-507704.0,,,,,,,10091.0,,,,,25730500.0,25730500.0,,,
2018-09-30,2018-12-06,10-Q,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,,779.0,362079.0,,,,2722454.0,,3993.0,,3993.0,,,0.001,100000000.0,25730500.0,25730500.0,25731.0,922.0,,,,,,,6600.0,,,,24498.0,,,,,,,450400.0,,0.0,,,,,,,,,,,,11953.0,,,,,,,,,,,,,,,,4084.0,,,,,,,,3290591.0,2722454.0,,,,,,,,,,,,,,,,,60433.0,1300.0,,,182055.0,,92759.0,-50364.0,60183.0,6899.0,,,,,,,,,,,,,,,,1500.0,,,,,,,,,,24471.0,,,,,,,,,109669.0,2820030.0,2710361.0,,,,,,-955947.0,-60183.0,60183.0,,,,,,33355.0,,,-568137.0,,,,,,,-763.0,,,,,25730500.0,25730500.0,,,
2018-12-31,2019-08-30,10-K,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,,122.0,298719.0,298719.0,,,3385071.0,,2310.0,,2310.0,-9678.0,,0.001,100000000.0,25730500.0,25730500.0,25731.0,8594.0,,,164000.0,164000.0,,,6600.0,,,,39312.0,,,,,,,485300.0,,-0.01,,,0.21,,,,,,,,,34199.0,,,47000.0,-88000.0,41000.0,,,-29923.0,,,,,,,19700.0,16868.0,,,,1236911.0,,2226617.0,,3973936.0,3385071.0,,12000.0,2916957.0,1790525.0,32877.0,37955.0,276542.0,35183.0,743875.0,,2716957.0,,,141698.0,-31544.0,-119832.0,-370473.0,1495.0,,,182055.0,,-487405.0,,225651.0,27625.0,782000.0,,-2500.0,,,12500.0,28800.0,19044.0,,19044.0,,,,,,1500.0,,,40000.0,,,135900.0,-24000.0,,-22202.0,57591.0,,88867.0,1645225.0,32046.0,1204865.0,2226617.0,3463528.0,32046.0,88867.0,3463528.0,3374661.0,,,24000.0,,,-913315.0,225651.0,,,,,2716957.0,,34995.0,196800.0,,-588865.0,,,,196800.0,,,21639.0,,,,,25684999.0,25684999.0,,,
2019-03-31,2019-11-18,10-Q,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,,305.0,475797.0,,,,3429992.0,,8156.0,,8156.0,5846.0,,0.001,100000000.0,25952125.0,25952125.0,25953.0,2027.0,,,,,,,6600.0,,,,10514.0,10514.0,,,,,,496445.0,,-0.01,,,,,,,,,,,,18723.0,,,,,,,,222.0,,,,,,,10235.0,3965.0,,,,1286499.0,,2226617.0,,4058625.0,3429992.0,,,,,,,,,,,2785788.0,,,67976.0,-49588.0,-12542.0,-217068.0,200.0,-49507.0,,182055.0,,250311.0,-167561.0,,6900.0,,,,,,,,49588.0,,,49588.0,,,,,1500.0,,,,56831.0,,11145.0,,,,6075.0,,99380.0,,81634.0,1204865.0,2226617.0,3463528.0,49588.0,99381.0,3513116.0,3413736.0,,,,,,-1130383.0,82750.0,,,,,,,45230.0,177300.0,0.8,-628633.0,,,,177300.0,,,4823.0,,,,,25875788.0,,,,
2019-06-30,2019-12-10,10-Q,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,,904.0,492950.0,,,,3439259.0,,18402.0,,18402.0,,,0.001,100000000.0,25952125.0,25952125.0,25953.0,2635.0,,,,,,,6600.0,,,,12531.0,,,,,,,494145.0,,0.0,,,,,,,,,,,,13621.0,,,,,,,,,,,,,,,,19730.0,,,,1298052.0,32200.0,2226617.0,,4147493.0,3439259.0,,,,,,,,,,,2854422.0,,,,,,-96754.0,480.0,,,182055.0,,137640.0,-28891.0,,7200.0,,,,,-67863.0,,,,,,,,,,,1500.0,,,,,,,,,,10218.0,,111912.0,,93187.0,1204865.0,2226617.0,3524669.0,61141.0,111912.0,3524669.0,3412757.0,,,,,,-1227137.0,108749.0,,,,,,,60910.0,,0.8,-708234.0,,,,,,,5284.0,,,,,25952125.0,,,,
2019-09-30,2020-01-02,10-Q,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,,2673.0,,499106.0,,,4109488.0,,11206.0,,11206.0,,,0.001,100000000.0,25952125.0,25952125.0,25953.0,7202.0,,,,,,,6600.0,,,,13906.0,,,,,,,494145.0,,0.0,,,,,,,,,,,,4201.0,,,,,,,,,,,,,,,,15518.0,,,,1555368.0,29400.0,2660631.0,,4853774.0,4109488.0,,,,,,,,,,,3547279.0,,,,,,-42208.0,4535.0,,,182055.0,,101613.0,18680.0,,7350.0,,,,,-60888.0,,,,,,,,,,,1500.0,,,,,,,,,,1360.0,,125817.0,,132451.0,1390871.0,2660631.0,4215999.0,,125818.0,4215999.0,4090182.0,,,,,,-1269345.0,-120293.0,,,,,3547279.0,,66310.0,,,-744286.0,,,,,,,20206.0,,,,,25952125.0,,,,
2019-12-31,2020-07-17,10-K,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,,3973.0,707987.0,707987.0,34475.0,,7550843.0,,145593.0,,145593.0,146488.0,,0.001,100000000.0,26237125.0,26237125.0,26238.0,19929.0,,,155792.0,155792.0,,,6600.0,,6600.0,,49489.0,49489.0,,,25020.0,,,492500.0,,-0.02,,,0.21,,3205.0,,,,,,,4114.0,,,57000.0,-79000.0,22000.0,,,3891.0,,,,,7246.0,,25290.0,42982.0,,,,2163626.0,,5361429.0,2400.0,8307190.0,7550843.0,,,7000810.0,3009529.0,96338.0,360532.0,1673532.0,459032.0,1401847.0,,7000810.0,,,285500.0,-67974.0,-71038.0,-577257.0,5863.0,,,182055.0,182055.0,868771.0,-425806.0,,28850.0,741869.0,6600.0,86175.0,,-151451.0,,15150.0,67974.0,,,,,,,,8746.0,,,,278300.0,,7200.0,,,28419.0,62778.0,,138356.0,3993553.0,100021.0,2063605.0,5361429.0,7525055.0,67974.0,137699.0,7525055.0,7386699.0,,,,,,-1490572.0,442965.0,,,,,7000810.0,,60285.0,375300.0,,-756347.0,,,,375300.0,,,47030.0,,,,,25932695.0,,,,
2020-03-31,2020-11-12,10-Q,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,,376.0,,716606.0,8619.0,,8045760.0,,47644.0,,47644.0,-101154.0,,0.001,100000000.0,26237125.0,26237125.0,26238.0,8486.0,,,,,,,6600.0,,,,22849.0,22849.0,,,6255.0,,,492500.0,,0.0,0.0,,,,,,,,,,,116737.0,,,,,,,,-3597.0,,,,,-8746.0,,39254.0,,8619.0,,102973.0,2363293.0,,5789429.0,,8916566.0,8045760.0,,,,,,,,,,,7568274.0,,,32465.0,-92667.0,-40952.0,-123078.0,,-98828.0,,182055.0,182055.0,180380.0,-24250.0,,,,,,,-98828.0,,,92667.0,,,,,,,,,,,,32465.0,,,,,,,,161206.0,535000.0,92667.0,2183105.0,5789429.0,8152722.0,92667.0,161206.0,8152722.0,7991516.0,,,,,,1613650.0,156130.0,,,,,7568274.0,,99539.0,,,-870806.0,,,,,,,14492.0,,,,26237125.0,26237125.0,26237125.0,,,
2020-06-30,2020-12-30,10-Q,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,,8818.0,,725224.0,,,8111370.0,,48677.0,,48677.0,,,0.001,100000000.0,26237125.0,26237125.0,26238.0,5487.0,,,,,,,6600.0,,,,22822.0,,,,,,,492500.0,0.0,0.0,0.0,,,,,,,,,,,12503.0,,,,,,,,,,,,,,,,,,,,2450691.0,32749.0,5789429.0,,8979847.0,8111370.0,,4000.0,,,,,,,,,7434836.0,,,,,,-6289.0,300.0,,,182055.0,182055.0,101397.0,114774.0,,,,,,,-121063.0,,,,,,,,,,,,,,,,,,,,,,,184027.0,,267586.0,2183105.0,5789429.0,8240120.0,,184027.0,8240120.0,8056093.0,,,,,,-1619939.0,216171.0,,,,,7434836.0,,121814.0,,,-868477.0,,,,,,,17470.0,17470.0,,10066.0,26237125.0,26237125.0,26237125.0,,,
2020-09-30,2021-04-21,10-Q,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,,3865.0,733867.0,,,,8892385.0,,182579.0,,182579.0,,,0.001,100000000.0,26237125.0,26237125.0,26238.0,,,,,,,,,,,,24179.0,,,,6255.0,,,492500.0,0.0,0.0,0.0,,,,,,,,,,,40494.0,,,,,,,,,,,,,,,,,,,,2602776.0,27126.0,6288629.0,,9754772.0,8892385.0,,4000.0,,,,,,,,,8212156.0,,,,,,-2553.0,300.0,-129445.0,,182056.0,,130696.0,126892.0,,,,25950.0,,,-129445.0,,,,,,,,,,,,,,,,,,,,,,,207549.0,,294871.0,2307905.0,6288629.0,8891405.0,,207549.0,8891405.0,8683856.0,,,,,,-1622492.0,,,,,,8212156.0,,124319.0,,,-862387.0,,,,,,,19158.0,19158.0,,15539.0,26237125.0,26237125.0,26237125.0,36776.0,,
2020-12-31,2021-08-09,10-K,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,,8182.0,742556.0,,34569.0,,9520719.0,,144664.0,,144664.0,-929.0,,0.001,100000000.0,26237125.0,26237125.0,26237.0,,,,193340.0,193340.0,,,,,6600.0,,100027.0,100027.0,,,18697.0,492500.0,,492500.0,,-0.01,,,0.21,,18030.0,,,,,,,318047.0,,,57000.0,-79000.0,22000.0,,,4209.0,,,,14825.0,-4881.0,,85089.0,,34569.0,,445796.0,2813564.0,,6772379.0,2400.0,10421298.0,9520719.0,,,9006922.0,3587424.0,1601872.0,1602864.0,319776.0,1470000.0,424986.0,,9006922.0,,,202112.0,-256888.0,53847.0,-178800.0,1465.0,,,,,600659.0,254714.0,,,921000.0,,35313.0,182056.0,-433514.0,,21100.0,256888.0,,,,,,,,3865.0,,,,202112.0,,,,,117392.0,447.0,,238383.0,1804000.0,342984.0,2470580.0,6772379.0,9585943.0,256888.0,238383.0,9585943.0,9347560.0,,,,,,-1669372.0,,,,,,9006922.0,,145374.0,,,-900579.0,,,,,,-1.0,74041.0,,,,,26237125.0,,,,
2021-03-31,2021-09-16,10-Q,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,,5768.0,750742.0,,8186.0,,10164945.0,,107594.0,,107594.0,-37070.0,,,,26237125.0,26237125.0,26237.0,,,,,,,,,,6600.0,,12039.0,12039.0,,,6221.0,474271.0,,474271.0,,,0.0,,,,,,,,,,,54903.0,,17235.0,,,,,,-2414.0,,,,,-3865.0,-17901.0,5500.0,,8186.0,,124842.0,3085965.0,26250.0,7215079.0,,11006311.0,10164945.0,,,,,,,,,,,9600857.0,,,-21294.0,-114101.0,98325.0,51027.0,836.0,,,,,130184.0,186608.0,,,,,4000.0,205512.0,-135581.0,,,114101.0,,,,,,,,,,,,-3065.0,,,,,,236.0,,250422.0,601000.0,458510.0,2627455.0,7215079.0,10301044.0,114101.0,250422.0,10301044.0,10050622.0,,,,18229.0,,-1618345.0,,,,,,9395345.0,,150874.0,,,-841366.0,,,,,,,16399.0,,,,26322193.0,,26237125.0,,,
2021-06-30,2021-11-02,10-Q,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,,7735.0,759019.0,,,,10950016.0,,54384.0,,54384.0,,,,,26237125.0,26237125.0,26237.0,,,,,,,,,,6600.0,,38800.0,,,,,474271.0,,474271.0,0.0,,0.0,,,,,,,,,,,107139.0,,,,,,,,,,,,,,,,,,,,3409275.0,26250.0,7749479.0,,11802184.0,10950016.0,,,,,,,,,,,10378623.0,,,,,,-19016.0,,,,,,241623.0,146331.0,,,,,,258197.0,-165347.0,,,,,,,,,,,19500.0,,,,,,,,,,,,289222.0,,552201.0,2761055.0,7749479.0,11158754.0,,289222.0,11158754.0,10869532.0,,,,,,-1637424.0,,,,,,10120426.0,,157014.0,,,-852168.0,,,,,,,5162.0,41151.0,,18732.0,26237125.0,,26237125.0,,,
2021-09-30,2022-01-07,10-Q,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,,14009.0,767387.0,,,,13172353.0,,29876.0,,29876.0,,,,,26237125.0,26237125.0,26237.0,,,,,,,,,,6600.0,,34477.0,,,,8764.0,474271.0,,474271.0,0.0,,0.0,,,,9212.0,,,,,,,75699.0,,,,,,,,,,,,,,,,,,,,3981804.0,36000.0,9294479.0,,13920015.0,13172353.0,,,,,,,,,,,12481201.0,,,,,,96138.0,,-120718.0,,,,191623.0,-24580.0,,,,,,2345697.0,,,,,,,,,,,,21750.0,,,,,,,,,,159.0,,323699.0,,704023.0,3277781.0,9294479.0,13428614.0,,323699.0,13428614.0,13104915.0,,,,,,-1541286.0,,,,,,10135504.0,,157229.0,,,-747662.0,,,,,,,159.0,22173.0,,19056.0,26612425.0,,26237125.0,,,
