end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableCurrent,AccountsPayableCurrentAndNoncurrent,AccountsPayableOtherCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AccruedSalaries,AccruedSalariesCurrent,AccumulatedDepreciationDepletionAndAmortizationExpensePropertyPlantAndEquipmentCurrentCharge,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalMarkToMarket,AdvertisingExpense,AllocatedShareBasedCompensationExpense,AllowanceForDoubtfulAccountsReceivable,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPaidForCapitalizedInterest,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ContractWithCustomerLiabilityCurrent,ConvertibleDebt,ConvertibleDebtCurrent,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostOfRevenue,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentAnnualPrincipalPayment,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentConvertibleThresholdPercentageOfStockPriceTrigger,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentUnamortizedDiscount,DeferredRevenue,DeferredRevenueAdditions,DeferredRevenueCurrent,DeferredRevenueLeasesNetNoncurrent,DeferredRevenueNoncurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositLiabilitiesAccruedInterest,Depreciation,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DepreciationExpense,DividendsCommonStockStock,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EmployeeStockOwnershipPlanESOPCompensationExpense,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseOther,InterestExpenseRelatedParty,InterestIncomeOther,InterestPaid,InterestPaidNet,InterestPayableCurrent,InvestmentIncomeInterest,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LineOfCredit,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NonoperatingIncomeExpense,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingLossCarryforwards,OtherAssets,OtherCostAndExpenseOperating,OtherExpenses,OtherNoncashIncomeExpense,OtherOperatingIncomeExpenseNet,PaymentsForRent,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockCarryingAmount,PreferredStockDividendRatePercentage,PreferredStockValue,PrepaidExpense,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfConvertiblePreferredStock,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,PropertyPlantAndEquipmentAdditions,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentGrossPeriodIncreaseDecrease,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOtherAccumulatedDepreciation,PropertyPlantAndEquipmentOtherNet,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,SeniorNotes,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,SharesIssuedPricePerShare,ShortTermBankLoansAndNotesPayable,ShortTermDebtAmount,StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,StockGrantedDuringPeriodValueSharebasedCompensation,StockholdersEquity,StockIssuedDuringPeriodValueIssuedForServices,StockOptionPlanExpense,TravelAndEntertainmentExpense,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic,FederalIncomeTaxExpenseBenefitContinuingOperations
2012-09-30,2012-11-07,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,37815.0,78704.0,,,,,46778.0,,,,97250.0,,,,8772514.0,,,,,,72255.0,64809.0,12019.0,,,,,,,,,,,,19976.0,,,,,,,,,,,,,,,,,,,26077.0,,,,,,,,,633.0,,,,,,,,90987.0,,,244.0,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,276656.0,72285.0,276656.0,,,,,244.0,,,,,91620.0,,5255.0,,,,,,,,,800.0,-6012.0,,6012.0,,,,,,,,121175.0,,2221.0,,,,,-8997661.0,,124451.0,90987.0,,,,,,,,,,,,,,,,,,19976421.0,19976421.0,
2012-12-31,2013-03-27,10-K,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,89998.0,,,,,317164.0,317164.0,,,,,2465.0,119587.0,,8772514.0,,,,,,338575.0,335232.0,14568.0,,-30283.0,,,,,,,,,,19976.0,,,50000.0,,10000.0,,116045.0,,,,0.0,,,,,,269834.0,187034.0,,,,,,,,,,,,,19976421.0,,20170368.0,,,,,,8395.0,,,,,,,,,,,,,,,,5500.0,,,,,,,0.0,,,539603.0,338575.0,539603.0,,0.0,0.0,-30283.0,8395.0,,,,,431923.0,,1755.0,,,,,,,800.0,,800.0,3500.0,3500.0,,,,,0.0,0.0,,0.0,121175.0,,1588.0,,1588.0,,,-8994318.0,,556363.0,429458.0,,,,,,,,,0.0,,,-201028.0,,,,20170368.0,,,19976421.0,
2013-03-31,2013-05-06,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,81024.0,-8974.0,,,,,51869.0,,,,,690.0,,,8860232.0,,,,,,213111.0,205280.0,153411.0,,,,,,,,,,,,35976.0,,,,,,,,,,,,,,,,,-73591.0,,,,,,,,,690.0,,,,,,,,,,,,,-130167.0,,,,,,,,,,,,,,,,1375.0,,,,,,,-8.0,,,,,440589.0,,-13000.0,-5178.0,157021.0,-130167.0,,,,,258718.0,,1755.0,,,,,,,,,800.0,3500.0,0.0,3500.0,,,,,,,,,,6076.0,,,,,-9124486.0,,157100.0,258028.0,,,,,,,,,,,,-227478.0,,,,,,,,
2013-06-30,2013-08-12,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,,,,,38889.0,,,,,,842.0,,,8911180.0,,,,,,117009.0,102618.0,63729.0,,,,,,,,,,,,35976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-647.0,,,,,,,,,,,,,,,,2875.0,,,,,,,-6.0,,,294179.0,,294179.0,,,,,,,,,,131687.0,,6938.0,,,,,,,800.0,,,0.0,,,,,,,,,,128573.0,,7453.0,,,,,-9125126.0,,157388.0,130845.0,,,,,,,,,,,,,,,,,,,,
2013-09-30,2013-11-08,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,38593.0,,,,,69486.0,247678.0,,,,,,2375.0,,8936309.0,,,,,,94177.0,86766.0,17280.0,,,,,,,,,,,,122976.0,,,41400.0,,10000.0,,,29327.0,,,,,,,,,66805.0,,,,,,,,,843.0,,,,,,0.0,,,,,123525.0,,-79798.0,,,,,,,,,,,,,,,,52875.0,,,,,,,-3.0,,,239016.0,94177.0,239016.0,,,,,-79798.0,,,,,150451.0,,800.0,,,,203323.0,,,,,,0.0,,3500.0,,,,,,,,128573.0,,6611.0,,,,,-9204924.0,,152852.0,149608.0,,,,,,,,,31250.0,,,-144839.0,,,,68574247.0,,68574247.0,,
2013-12-31,2014-03-31,10-K,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,52617.0,52617.0,,1082.0,,203371.0,,,,,,,,,8987589.0,,,,,,209939.0,203371.0,0.0,,-14568.0,,,,,,,,,,125976.0,,,,8900.0,,,,,89000000.0,,50000.0,0.0001,,,,50000.0,139071.0,-120622.0,139071.0,,10141.0,,,,,,,,,,64329846.0,0.0,64329846.0,,,,,,-220169.0,,,,,,,,,,,,,,,,60000.0,,,,,,,-17.0,,,310061.0,209939.0,299920.0,299920.0,-71500.0,-7397.0,64329.0,-220169.0,,,,,675453.0,,800.0,,,,,,,,,800.0,0.0,,0.0,,,,,,,,128573.0,,5768.0,,,,,-9214487.0,,630395.0,672235.0,203371.0,,,,,,0.0001,,,,,-100122.0,,,,,125976421.0,,,
2014-03-31,2014-05-12,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,35627.0,,,,,53679.0,,,,,,,,,9035308.0,,,,,,137053.0,131328.0,77649.0,,77649.0,,,,,,,,,,125976.0,,,,,,,,32574.0,,,,,,,,,-81313.0,-81313.0,,,,,,,,843.0,,,,,125976421.0,,125976421.0,,,,,,-13292.0,0.0,,,,,,,,,,,,,,,2875.0,,,,,,,-4.0,,,202748.0,,194127.0,,-9000.0,0.0,86649.0,-13292.0,,,,,144622.0,,800.0,,,,,,,,,800.0,0.0,,,,,,,,,,128573.0,,4925.0,,,,,-9227779.0,,166775.0,143779.0,,,,,,,,,,,,,,,,,,,,
2014-06-30,2014-08-01,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,35550.0,,1340.0,,37722.0,,,,,,,,,9082914.0,,,,,,113402.0,,70797.0,,,,,,,,,,,,125976.0,,,,,,,,26921.0,,,,,,,,,7099.0,,,,,,,,,,842.0,,,,,0.0,,,,,137792.0,,-9711.0,0.0,,,,,,,,,,,,,,,2875.0,,,,,,,-4.0,,,141202.0,,,134103.0,,,,-9711.0,,,,,144632.0,,800.0,,,,,,,,,800.0,,,,,,,,,,,128573.0,,4083.0,,,,,-9237490.0,,164713.0,143790.0,108519.0,,,,,,,,,,,,,,,125976421.0,,,125976421.0,
2014-09-30,2014-11-06,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,20368.0,,,,100378.0,102993.0,,,,,,1511.0,,9205985.0,,,,,,138599.0,133542.0,33164.0,,,,,,,,,,,,125976.0,,,,,,,,35346.0,,,,,,,,,6084.0,,,,,,,,,0.0,,,,,,0.0,,,,,130730.0,,-84141.0,,,,,,,,,,,,,,,,2875.0,,,,,,,-1.0,,,127459.0,138599.0,121881.0,,,,,-84141.0,,,,,211997.0,,800.0,,,,214871.0,,,,,,,,0.0,,,,,,,,128573.0,,4257.0,,,,,-9321631.0,,166076.0,211997.0,,,,,,,,,,,,-11140.0,,,,125976421.0,,125976421.0,,
2014-12-31,2015-03-30,10-K,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,33084.0,,,5990.0,114563.0,,,,,5461.0,,124902.0,,9253066.0,,,,,,180355.0,175884.0,58741.0,,58741.0,,,,,58741.0,,,,,125976.0,,,,,50100.0,,,,,,,,,,,,6084.0,-139071.0,6084.0,4057.0,4057.0,,,21241.0,,2097.0,,,,,,0.0,,,,,,,-111027.0,,,,,,,,,,,,,,,,4741.0,,,,,,21241.0,-11.0,,,126017.0,180355.0,121960.0,121960.0,-12750.0,0.0,71491.0,-111027.0,,,,0.0,645853.0,,800.0,,,,,,,,,,,,2580.0,,,,,,,,128573.0,,3671.0,,,,,-9325514.0,,671814.0,643756.0,,,,,,,,0.0,,,,54338.0,,,,,125976421.0,,,
2015-03-31,2015-04-30,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,33529.0,,,,96637.0,,,,,,,,,9319784.0,,,,,,176830.0,172881.0,64874.0,,6133.0,,,,,6133.0,,,,,132976.0,,,,,,,,34645.0,,,,,,,,,,-1522.0,6084.0,,,,,,,522.0,,,,,132820865.0,,132820865.0,,,,,,-76535.0,0.0,445.0,,,,,,,,,,,,,-8790.0,1366.0,,,,,,,-2.0,,,117709.0,176830.0,115174.0,,-1759.0,0.0,7892.0,-76535.0,,,,,202493.0,,800.0,,,,,,,,,,,,11370.0,,,,,,,,128573.0,,3149.0,,,,,-9402049.0,,161967.0,201971.0,,,900000.0,900000.0,0.001,0.001,,,,,,59121.0,,,,,132820865.0,132820865.0,,
2015-06-30,2015-08-03,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,26805.0,,,460.0,76327.0,,,,,0.0,,125946.0,,9370367.0,,,,,,165758.0,162331.0,74634.0,,,,,,,,,,,,144976.0,,,,,46581.0,,,35393.0,,,,,,,,,,,6084.0,1015.0,,,,21491.0,,522.0,522.0,,,,,0.0,,,,,107188.0,,-50682.0,0.0,,,,,,,,,,,,,,,1366.0,,,,,,,-2.0,,,102436.0,165758.0,101421.0,,,,,-50682.0,,,,,156506.0,,800.0,,,,,,,,,,,,11370.0,,,,,,,,128573.0,,2627.0,,,,,-9452831.0,,142581.0,155984.0,,,,,,,,,,,,63322.0,,,,144844553.0,,144844553.0,125976421.0,
