end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilities,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AreaOfRealEstateProperty,Assets,AssetsCurrent,BuildingsAndImprovementsGross,CapitalizedComputerSoftwareAccumulatedAmortization,CapitalizedComputerSoftwareAmortization1,CapitalizedComputerSoftwareGross,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,ConstructionInProgressGross,ContributionOfProperty,ContributionsFromNoncontrollingInterests,CostOfRevenue,DebtInstrumentFaceAmount,DebtInstrumentInterestRateStatedPercentage,DeferredTaxAssetsNet,Depreciation,DepreciationDepletionAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,DueFromRelatedPartiesCurrent,DueToOtherRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationDeductions,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationTaxCreditsForeign,EffectiveIncomeTaxRateReconciliationTaxExemptIncome,EffectOfExchangeRateOnCashAndCashEquivalents,EquityMethodInvestmentRealizedGainLossOnDisposal,FiniteLivedIntangibleAssetsNet,FurnitureAndFixturesGross,GainLossOnDispositionOfAssets,GainLossOnSaleOfBusiness,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IndefiniteLivedIntangibleAssetsImpairmentLosses,InterestExpense,InterestPaid,LeaseholdImprovementsGross,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MachineryAndEquipmentGross,MinorityInterest,MinorityInterestIncreaseFromStockIssuance,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,NoncashOrPartNoncashAcquisitionNoncashFinancialOrEquityInstrumentConsiderationOptionsIssued1,NoncashOrPartNoncashAcquisitionNoncashFinancialOrEquityInstrumentConsiderationSharesIssued1,NoncontrollingInterestIncreaseFromSubsidiaryEquityIssuance,NonoperatingIncomeExpense,NotesIssued1,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherExpenses,OtherNonoperatingExpense,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,OtherReceivables,OtherSignificantNoncashTransactionValueOfConsiderationReceived1,PaymentsForProceedsFromBusinessesAndInterestInAffiliates,PaymentsForProceedsFromPreviousAcquisition,PaymentsToAcquirePropertyPlantAndEquipment,PostconfirmationRetainedEarningsDeficit,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,ProceedsFromCollectionOfOtherReceivables,ProceedsFromContributedCapital,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromMinorityShareholders,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOther,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromRelatedParties,Revenues,RevenuesExcludingInterestAndDividends,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodValueAcquisitions,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2012-06-30,2012-08-14,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,,18756.0,184807.0,,,270624.0,,,,-69604.0,,,,84262.0,84262.0,,,,,84229.0,84229.0,,,0.001,90000000.0,69703480.0,69703480.0,69704.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,149291.0,,,,,,,,,,,,,,,,,,,,474187.0,84262.0,474187.0,,,,,,,-149204.0,,,62590880.0,,,,,,,,149291.0,-149291.0,,33.0,,,,,,,,87.0,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,-149204.0,,,,,-390025.0,,,,-389925.0,,,,69703480.0,
2012-09-30,2012-11-14,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,405624.0,,18756.0,184807.0,,,,,,,-69604.0,,,,31215.0,31215.0,,,,,,31182.0,,,0.001,90000000.0,69703480.0,69703480.0,69704.0,,-188039.0,,-188039.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,189065.0,0.0,,,,,,,,,,,,,,,,,,,609187.0,31215.0,609187.0,,,,,,,-188039.0,,,62590880.0,,,,,,,,189065.0,-189065.0,,33.0,,,,,,,,1026.0,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,-188039.0,,,,,-578072.0,,0.0,,-577972.0,,,,69703480.0,
2012-12-31,2013-04-15,10-K,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,534355.0,18756.0,184807.0,,,,,0.0,,-69604.0,,,,24890.0,24890.0,0.0,,,0.0,,24857.0,-72024.0,-72024.0,0.001,90000000.0,69703480.0,69703480.0,69704.0,69704.0,-614252.0,,,0.0,,,,,,,0.0,,713128.0,,,0.0,,184807.0,-0.01,0.0,0.34,,-0.34,0.165,0.34,,,,0.0,,,615279.0,,,,,,-1.0,477840.0,,,,,477840.0,,,,,,,,737918.0,24890.0,737918.0,0.0,,,64389.0,,-136413.0,-614252.0,,,,,,,,,,,615279.0,-615279.0,,33.0,,,-614252.0,,,,,1027.0,1027.0,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,64389.0,,-614252.0,0.0,0.0,0.0,,-713128.0,,,,-713028.0,-713028.0,,,69703480.0,
2013-03-31,2013-05-15,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,632769.0,18756.0,206852.0,,,,,,,-69604.0,,,,35744.0,35744.0,,,,,,35711.0,10854.0,10854.0,0.001,90000000.0,69703480.0,69703480.0,69704.0,,-109605.0,,,,,,5548.0,,,,,,,,,,,,-0.01,,,,,,,,,,,,,110067.0,556.0,,,,,,,,,,,98414.0,,,,,,,,858377.0,35744.0,858377.0,,,,22045.0,,-11191.0,-109605.0,,,62590880.0,,,,,,,,110067.0,-109511.0,,33.0,,,,-109605.0,,,-94.0,-94.0,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,22045.0,,-109605.0,,,,,-822733.0,,6104.0,,-822633.0,,,,69703480.0,
2013-06-30,2013-08-19,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,709001.0,18756.0,236789.0,,,,709001.0,,,-69604.0,,,,16488.0,16488.0,,,,,,16431.0,,,0.001,90000000.0,69703480.0,69703480.0,,69704.0,-125425.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,125457.0,,,,,,,,,,,,,,,,,,,,964546.0,16488.0,964546.0,,,,,,,-125425.0,,,,,,,,,,,125457.0,-125457.0,,57.0,,,,-125425.0,,,32.0,32.0,32.0,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,-125425.0,,,,,-948158.0,,,,-948058.0,,,,69703480.0,
2013-09-30,2013-11-14,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,829674.0,18756.0,496070.0,,,,,205.0,807.0,-69604.0,,,,443326.0,216136.0,,,,,,201873.0,,,0.001,90000000.0,69703480.0,69703480.0,,69704.0,-195870.0,-30163.0,-195870.0,,,,,,,,,,,,,,,496070.0,0.0,,,,,,,,,,,,,197599.0,,,,,,,,,,,,,,,,,,,144929.0,1344500.0,443326.0,1344500.0,48870.0,212591.0,,,,,-166514.0,-31149.0,,,,,-64.0,,,,,197599.0,-197599.0,,14263.0,,1793.0,,-165707.0,,,,-64.0,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,-197663.0,227395.0,227190.0,33596.0,,-1114672.0,,,,-1113765.0,-901174.0,,,69703480.0,
2013-12-31,2014-04-14,10-K,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,1075505.0,18756.0,,,,,,4799.0,809.0,-69604.0,,,,550395.0,70323.0,16594.0,,,3883.0,,54349.0,29492.0,,0.001,90000000.0,69703480.0,69703480.0,,69704.0,-643790.0,-99858.0,,335494.0,,242754.0,5548.0,,,,4799.0,,1357727.0,,,6544.0,,120056.0,-0.01,0.0,0.34,,-0.34,,,3074.0,,,27324.0,,,738685.0,556.0,,,,,,,,,6544.0,,481124.0,9299.0,,,,6806.0,,,1764317.0,550395.0,1214317.0,67898.0,142896.0,242754.0,727059.0,-425275.0,-275366.0,-644599.0,-100847.0,,,,242754.0,-7317.0,,,,550000.0,738685.0,-738129.0,,9430.0,,1798.0,-743648.0,-643790.0,511.0,,,-511.0,-7317.0,,,,,425275.0,,0.001,10000000.0,,,,,,,,,242754.0,,484305.0,,-745446.0,149377.0,480072.0,144578.0,,-1357727.0,,6104.0,,-1213922.0,-1213922.0,,,69703480.0,
2014-03-31,2014-05-20,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,1158745.0,18756.0,,2262.0,,,,11206.0,1525.0,-69604.0,,,,513342.0,36456.0,,,,,,25827.0,-28522.0,,0.001,90000000.0,69703480.0,69703480.0,,69704.0,-165741.0,-34560.0,-200301.0,336507.0,,,2256.0,,,,6436.0,,1524185.0,,,6544.0,,200064.0,-0.002,,,,,,,-30.0,,,,,,191988.0,5.0,,,,,,,2262.0,,,,83622.0,-7046.0,,,,9941.0,,,1927565.0,513342.0,1377565.0,,108337.0,,81730.0,-3171.0,-107051.0,-166458.0,-35435.0,,,,,-9910.0,,,,550000.0,191988.0,-191983.0,,1823.0,,1592.0,,-165741.0,,,31.0,31.0,,,,,,3171.0,,0.001,10000000.0,,,,,,,,,,,81730.0,,-201893.0,151585.0,476886.0,140379.0,,,,2261.0,,-1522560.0,-1414223.0,,,69703480.0,
2014-06-30,2014-08-19,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,1157834.0,24397.0,,8512.0,,,,0.0,,-69604.0,,,,19195.0,19195.0,,,,,,3850.0,,,0.001,90000000.0,69703480.0,69703480.0,,69704.0,-23951.0,,-23951.0,0.0,,,5642.0,,,,,,,,,6544.0,,85000.0,0.0,,,,,,,,126848.0,,,,,145918.0,609.0,,,,,,,,,,,,,,,,5482.0,,,1567231.0,19195.0,1267231.0,,,,,,,-23951.0,,,,,,-5490.0,,,,300000.0,19070.0,-18461.0,,289.0,,,,-23951.0,,,-8.0,-8.0,-5490.0,,,,,,,0.001,10000000.0,,,,,,,,,,,,,-23951.0,0.0,0.0,0.0,,-1548136.0,,6251.0,,-1548036.0,-1548036.0,,,69703480.0,
2014-09-30,2014-11-14,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,1267223.0,18756.0,,,,,,0.0,,-69604.0,,,,11824.0,11824.0,,,,,,4991.0,,,0.001,90000000.0,69703480.0,69703480.0,,69704.0,-131119.0,,-131119.0,0.0,,,,,,,,,,,,6544.0,,105000.0,0.0,,,,,,,,,,,,,125498.0,,,,,,,,,,,,,,,,,5543.0,,,1690979.0,11824.0,1390979.0,,,,,,,-131119.0,,,,,,-5621.0,,,,300000.0,125498.0,-125498.0,,289.0,,,,-131119.0,,,,-78.0,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,-131119.0,0.0,0.0,0.0,,-1679255.0,,,,-1679155.0,-1679155.0,,,69703480.0,
2014-12-31,2015-04-15,10-K,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,1401771.0,18756.0,,,,,,0.0,,-69604.0,,,,10524.0,10524.0,,,,,,3691.0,-50658.0,,0.001,90000000.0,69703480.0,69703480.0,69704.0,69704.0,-475557.0,-34559.0,,0.0,,,7898.0,,,,6436.0,,,,,6544.0,,123897.0,-0.01,0.0,0.34,,0.34,,,-30.0,126848.0,,,,126848.0,612547.0,614.0,,,,,,,,,,,410939.0,-7046.0,,,,26509.0,,,1844424.0,10524.0,1544424.0,,,,170627.0,-7120.0,-214135.0,-476273.0,-35435.0,,,,,-26623.0,,300000.0,,300000.0,485699.0,-485085.0,,289.0,,1592.0,-510116.0,-475557.0,114.0,,,,,,,3949.0,,3171.0,,0.001,10000000.0,,,,,,,,,,,170627.0,,-511708.0,0.0,0.0,0.0,,-1834000.0,,8512.0,,-1833900.0,-1833900.0,,,69703480.0,
2015-03-31,2015-05-15,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,1475348.0,18756.0,,,,,,,,-69604.0,,,,10132.0,10132.0,,,,,,3299.0,-392.0,,0.001,90000000.0,69703480.0,69703480.0,,69704.0,-93969.0,,-93969.0,,,,6300.0,,,,,,,,,6544.0,,143897.0,0.0,,,,,,,,,,,,,88975.0,495.0,,,,,,,,,,,73577.0,,,,,5422.0,,,1938001.0,10132.0,1938001.0,,,,20000.0,,-20392.0,-93969.0,,,,,,-5489.0,,300000.0,,,88975.0,-88480.0,,289.0,,,,,,,,-67.0,,,,,,,,0.001,10000000.0,,,,,,,,,,,20000.0,,-93969.0,,,,,-1927969.0,,6795.0,,-1927869.0,-1927869.0,,,69703480.0,
