end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DebtInstrumentFaceAmount,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EquityIssuancePerShareAmount,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestPaid,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OperatingLossCarryforwards,PreferredStockNoParValue,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,Revenues,SalesRevenueNet,ShareBasedCompensation,StockholdersEquity,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect
2016-09-30,2016-12-29,10-K,"BALLY, CORP.",BLYQ,CIK0001591565,USD,8988.0,,,111269.0,0.0,0.0,,0.0,0.0,,0.0001,100000000.0,9850000.0,9850000.0,985.0,16655.0,0.0,49512.0,49512.0,,24381.0,,0.0,0.34,,,-46218.0,0.0,,0.0,15714.0,-15714.0,,-4718.0,0.0,0.0,,33369.0,0.0,33369.0,,50936.0,,0.0,,-50936.0,-46218.0,46218.0,145623.0,,0.0001,20000000.0,0.0,0.0,,,,,50936.0,46218.0,,-145623.0,,,0.0,,-33369.0,,,,9850000.0,,
2016-12-31,2017-02-14,10-Q,"BALLY, CORP.",BLYQ,CIK0001591565,USD,5600.0,,,111269.0,,,,0.0,0.0,,0.0001,100000000.0,9850000.0,9850000.0,985.0,,,,,,36554.0,,0.0,,,,-8785.0,0.0,,0.0,,,,-3388.0,,0.0,,,,42154.0,,12173.0,,0.0,,-12173.0,-8785.0,8785.0,,,0.0001,20000000.0,0.0,0.0,,,,,12173.0,8785.0,,-154408.0,,,0.0,,-42154.0,,,,9850000.0,,
2017-03-31,2017-05-22,10-Q,"BALLY, CORP.",BLYQ,CIK0001591565,USD,3400.0,,,111269.0,,,,0.0,,,0.0001,100000000.0,9850000.0,9850000.0,985.0,,,,,,43054.0,,0.0,,,,-4300.0,0.0,,,,,,,,,,,,46454.0,,,,,,,-4300.0,4300.0,,,0.0001,20000000.0,0.0,0.0,,,,,,4300.0,,-158708.0,,,0.0,,-46454.0,,,,9850000.0,,
2017-06-30,2017-08-14,10-Q,"BALLY, CORP.",BLYQ,CIK0001591565,USD,5700.0,,,111269.0,202.0,202.0,,0.0,,,0.0001,100000000.0,9850000.0,9850000.0,985.0,,,,,,45554.0,,0.0,,,,-4598.0,0.0,,,,,,,,,,,202.0,51254.0,,,,,,,-4598.0,4598.0,,,0.0001,20000000.0,0.0,0.0,,202.0,,,,4598.0,,-163306.0,0.0,,,,-51052.0,,,,9850000.0,,
2017-09-30,2018-01-16,10-K,"BALLY, CORP.",BLYQ,CIK0001591565,USD,9798.0,,,111269.0,0.0,0.0,,0.0,0.0,,0.0001,100000000.0,9850000.0,9850000.0,985.0,45554.0,0.0,56986.0,56986.0,,45554.0,,0.0,0.34,,,-21983.0,0.0,,0.0,7474.0,-7474.0,,810.0,0.0,0.0,0.0,55352.0,0.0,,21173.0,21173.0,,0.0,-21173.0,-21173.0,-21983.0,21983.0,167606.0,,0.0001,20000000.0,0.0,0.0,,0.0,,,21173.0,21983.0,,-167606.0,0.0,,0.0,,-55352.0,,,,9850000.0,,
2017-12-31,2018-02-20,10-Q,"BALLY, CORP.",BLYQ,CIK0001591565,USD,14598.0,,,111269.0,6000.0,6000.0,,0.0,0.0,,0.0001,100000000.0,9850000.0,9850000.0,985.0,55054.0,,,,,55054.0,,0.0,,,,-8300.0,0.0,0.0,0.0,,,,4800.0,6000.0,0.0,0.0,69652.0,6000.0,,9500.0,9500.0,0.0,0.0,-9500.0,-9500.0,-8300.0,8300.0,,,0.0001,20000000.0,0.0,0.0,,6000.0,,,9500.0,8300.0,,-175906.0,0.0,,0.0,,-63652.0,,,,9850000.0,,
2018-03-31,2018-05-14,10-Q,"BALLY, CORP.",BLYQ,CIK0001591565,USD,7600.0,,,111269.0,0.0,0.0,,0.0,,,0.0001,100000000.0,9850000.0,9850000.0,985.0,60426.0,,,,,60426.0,,0.0,,,4374.0,-4374.0,0.0,,,,,,,,,,68026.0,0.0,,,,,,,,-4374.0,4374.0,,,0.0001,20000000.0,0.0,0.0,,0.0,,,,4374.0,,-180280.0,0.0,,0.0,,-68026.0,,,,9850000.0,,
2018-06-30,2018-08-20,10-Q,"BALLY, CORP.",BLYQ,CIK0001591565,USD,5361.0,,,178395.0,0.0,0.0,,0.0,,,0.0001,100000000.0,9850000.0,9850000.0,985.0,4510.0,,,,,4510.0,,0.0,,,8971.0,-8971.0,0.0,,,,,,,,,,9871.0,0.0,,,,,,,,-8971.0,8971.0,,,0.0001,20000000.0,0.0,0.0,,,,,,8971.0,,-189251.0,0.0,,,,-9871.0,,,,9850000.0,,
2018-09-30,2018-12-11,10-K,"BALLY, CORP.",BLYQ,CIK0001591565,USD,900.0,,,178395.0,0.0,0.0,,0.0,0.0,,0.0001,100000000.0,9850000.0,9850000.0,985.0,,0.0,2010.0,2010.0,,9571.0,,0.0,,,22245.0,-22245.0,0.0,,0.0,5750.0,-5750.0,,-8898.0,,,0.0,10471.0,0.0,,31143.0,,,,0.0,,-22245.0,22245.0,180280.0,,0.0001,20000000.0,0.0,0.0,0.0,,,,31143.0,22245.0,,-189851.0,0.0,,,,-10471.0,,,,9850000.0,,
2018-12-31,2019-02-08,10-Q,"BALLY, CORP.",BLYQ,CIK0001591565,USD,900.0,,,178395.0,0.0,0.0,,0.0,0.0,,0.0001,100000000.0,9850000.0,9850000.0,985.0,,,,,,19560.0,,0.0,,,9989.0,-9989.0,0.0,0.0,,,,,0.0,,,0.0,20460.0,0.0,,9989.0,,0.0,,0.0,,-9989.0,9989.0,,,0.0001,20000000.0,0.0,0.0,,,9989.0,,9989.0,9989.0,-9989.0,-199840.0,0.0,,,,-20460.0,,,,9850000.0,,
2019-03-31,2019-05-09,10-Q,"BALLY, CORP.",BLYQ,CIK0001591565,USD,1770.0,,,178395.0,0.0,0.0,,0.0,,,0.0001,100000000.0,9850000.0,9850000.0,985.0,,,,,,24983.0,,0.0,,,6293.0,-6293.0,0.0,,,,,,,,,,26753.0,0.0,,,,,,,,-6293.0,6293.0,,,0.0001,20000000.0,0.0,0.0,0.0,,,,,,-6293.0,-206133.0,0.0,,,,-26753.0,,,,9850000.0,,
2019-06-30,2019-08-13,10-Q,"BALLY, CORP.",BLYQ,CIK0001591565,USD,1189.0,,,178395.0,0.0,0.0,,0.0,,,0.0001,100000000.0,9850000.0,9850000.0,985.0,,,,,,29860.0,,0.0,,,4296.0,4296.0,0.0,,,,,,,,,,31049.0,0.0,,,,,,,,-4296.0,4296.0,,,0.0001,20000000.0,0.0,0.0,,,,,,,-4296.0,-210429.0,0.0,0.0,,,-31049.0,,,,9850000.0,,
2019-09-30,2019-12-17,10-K,"BALLY, CORP.",BLYQ,CIK0001591565,USD,1089.0,,178395.0,178395.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,100000000.0,9850000.0,9850000.0,985.0,,0.0,7234.0,-7234.0,,34260.0,,0.0,,,24878.0,-24878.0,0.0,,0.0,5224.0,-5224.0,,189.0,,,0.0,35349.0,0.0,,,,,,0.0,,-24878.0,24878.0,34449.0,0.0001,0.0001,20000000.0,0.0,0.0,0.0,,24689.0,,24689.0,,,-214729.0,0.0,0.0,,,-35349.0,,,,9850000.0,,
2019-12-31,2020-02-11,10-Q,"BALLY, CORP.",BLYQ,CIK0001591565,USD,3955.0,,,178395.0,0.0,0.0,,0.0,0.0,,0.0001,100000000.0,9850000.0,9850000.0,985.0,,,,,,46510.0,,0.0,,,15116.0,-15116.0,0.0,0.0,0.0,,,,2866.0,,,0.0,50465.0,0.0,,,,,,0.0,,-15116.0,15116.0,,,0.0001,20000000.0,0.0,0.0,0.0,,12250.0,,12250.0,,-15116.0,-229845.0,0.0,0.0,,,-50465.0,,,,9850000.0,,
2020-03-31,2020-05-08,10-Q,"BALLY, CORP.",BLYQ,CIK0001591565,USD,1089.0,,,178395.0,,,,0.0,,,0.0001,100000000.0,9850000.0,9850000.0,985.0,,,,,,51676.0,,0.0,,,2300.0,-2300.0,0.0,,,,,,,,,,52765.0,,,,,,,,,-2300.0,2300.0,,,0.0001,20000000.0,0.0,0.0,,,,,,,-2300.0,-232145.0,,0.0,,,-52765.0,,,,9850000.0,,
2020-06-30,2020-08-13,10-Q,"BALLY, CORP.",BLYQ,CIK0001591565,USD,1959.0,,178395.0,,0.0,0.0,0.0,0.0,,0.0001,,100000000.0,9850000.0,9850000.0,985.0,,,,,,56676.0,,0.0,,,5870.0,-5870.0,0.0,,,,,,,,,,58635.0,0.0,,,,,,,,-5870.0,5870.0,,0.0001,,20000000.0,0.0,0.0,0.0,,,,,,-5870.0,-238015.0,,0.0,,,-58635.0,,,,9850000.0,,
2020-09-30,2020-12-22,10-K,"BALLY, CORP.",BLYQ,CIK0001591565,USD,1089.0,,178395.0,,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,100000000.0,9850000.0,9850000.0,985.0,,0.0,13288.0,13288.0,,63087.0,,0.0,,,28827.0,-28827.0,0.0,,0.0,6054.0,-6054.0,,0.0,,,0.0,64176.0,0.0,,,,,,0.0,,-28827.0,28827.0,63276.0,0.0001,0.0001,20000000.0,0.0,0.0,0.0,0.0,28827.0,,28827.0,,,-243556.0,,0.0,,,-64176.0,,,,9850000.0,0.0,0.0
2020-12-31,2021-02-17,10-Q,"BALLY, CORP.",BLYQ,CIK0001591565,USD,7989.0,,178395.0,,0.0,0.0,0.0,0.0,0.0,0.0001,,100000000.0,9850000.0,9850000.0,985.0,,,,,,71687.0,,0.0,,,15500.0,-15500.0,0.0,,0.0,,,,6900.0,0.0,,0.0,79676.0,0.0,,,,,,0.0,,-15500.0,15500.0,,0.0001,,20000000.0,0.0,0.0,0.0,,8600.0,,8600.0,,-15500.0,-259056.0,,0.0,,,-79676.0,,,,9850000.0,6900.0,0.0
2021-03-31,2021-06-04,10-Q,"BALLY, CORP.",BLYQ,CIK0001591565,USD,5789.0,,178395.0,,0.0,0.0,,0.0,,0.0001,,100000000.0,9850000.0,9850000.0,985.0,,,,,,80887.0,,0.0,,,7000.0,-7000.0,0.0,,,,,,,,,,86676.0,0.0,,,,,,,,-7000.0,7000.0,,0.0001,,20000000.0,0.0,0.0,0.0,,,,,,,-266056.0,,0.0,,,-86676.0,,,,9850000.0,,
2021-06-30,2021-08-13,10-Q,"BALLY, CORP.",BLYQ,CIK0001591565,USD,1864.0,,178395.0,,2000.0,2000.0,,0.0,,0.0001,,100000000.0,9850000.0,9850000.0,985.0,,,,,,88687.0,,0.0,,,1875.0,-1875.0,0.0,,,,,,,,,,90551.0,2000.0,,,,,,,,-1875.0,1875.0,,0.0001,,20000000.0,0.0,0.0,0.0,2000.0,,,,,,-267931.0,,0.0,,,-88551.0,,,,9850000.0,,
2021-09-30,2022-01-06,10-K,"BALLY, CORP.",BLYQ,CIK0001591565,USD,989.0,,178395.0,,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,100000000.0,9850000.0,9850000.0,985.0,,0.0,19516.0,19516.0,,92843.0,,0.0,,,29656.0,-29656.0,0.0,,0.0,6228.0,-6228.0,,,,,0.0,93832.0,0.0,,,,,,0.0,,-29656.0,29656.0,92932.0,0.0001,0.0001,20000000.0,0.0,0.0,0.0,0.0,29756.0,,29756.0,,,-273212.0,,0.0,,,-93832.0,,,,9850000.0,-100.0,0.0
2021-12-31,2022-02-22,10-Q,"BALLY, CORP.",BLYQ,CIK0001591565,USD,9989.0,,178395.0,,3000.0,3000.0,0.0,0.0,,0.0001,,100000000.0,9850000.0,9850000.0,985.0,,,,,,103143.0,,0.0,,,16300.0,-16300.0,0.0,,0.0,,,,,-3000.0,,0.0,113132.0,3000.0,,,,,,0.0,,-16300.0,16300.0,,0.0001,,20000000.0,0.0,0.0,0.0,3000.0,,,,,,-289512.0,,0.0,,,-110132.0,,,,9850000.0,9000.0,0.0
