end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,Assets,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,Communication,ComprehensiveIncomeNetOfTax,DebtInstrumentInterestRateStatedPercentage,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareDiluted,EquityIssuancePerShareAmount,ForeignCurrencyTransactionGainLossBeforeTax,GeneralAndAdministrativeExpense,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInPrepaidExpense,InformationTechnologyAndDataProcessing,InterestExpense,InterestExpenseDebt,InterestPaid,InterestPayableCurrent,Liabilities,LiabilitiesAndStockholdersEquity,LongTermLoansPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,OtherGeneralExpense,OtherIncome,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfOtherDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromRepurchaseOfEquity,ProfessionalFees,ProfitLoss,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,RoyaltyExpense,StockholdersEquity,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForNoncashConsiderations,StockIssuedDuringPeriodValueNewIssues,SubsequentEventAmount,TravelAndEntertainmentExpense,WeightedAverageNumberOfDilutedSharesOutstanding
2014-09-30,2014-11-19,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,12169.0,-222.0,95818.0,,20000.0,0.0,,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-10394.0,,,175792.0,,0.0,,,9769.0,,,,,,,,625.0,,,8957.0,246918.0,20000.0,,,,-10394.0,50000.0,,-9769.0,,,0.0,,,,,,20000.0,,,,,,,,,,-330414.0,0.0,,-226918.0,,,,,,,,7900000.0
2014-12-31,2015-05-20,10-K,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,16350.0,-222.0,95818.0,,0.0,0.0,0.0,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-88820.0,,,198464.0,198464.0,-0.01,,,86320.0,0.0,13950.0,,,2500.0,-10000.0,,2500.0,,0.0,9582.0,274396.0,0.0,,62370.0,-62370.0,-88820.0,50000.0,,-86320.0,,,0.0,,,,,,0.0,,,62370.0,,62370.0,,,-88820.0,,-377892.0,0.0,,-274396.0,,,,,,,,7900000.0
2015-03-31,2015-06-26,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,18700.0,-222.0,95818.0,,,0.0,0.0,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-2975.0,,,198464.0,198464.0,0.0,,,2350.0,0.0,2350.0,,,625.0,0.0,,625.0,,0.0,10207.0,277371.0,0.0,,0.0,0.0,-2975.0,50000.0,,-2350.0,,,0.0,,,,,,,,,0.0,,0.0,,,-2975.0,,-380867.0,0.0,,-277371.0,,,,,,,,7900000.0
2015-06-30,2015-09-11,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,9894.0,-222.0,95818.0,,,0.0,,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-40152.0,,,246797.0,246797.0,-0.01,,,39527.0,,,,,,,,625.0,625.0,,10832.0,317523.0,0.0,,,,-40152.0,50000.0,,-39527.0,,,0.0,,,,,0.0,,,,,,,,,,,-421019.0,0.0,,-317523.0,,,,,,,,7900000.0
2015-09-30,2015-11-03,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,3600.0,-222.0,95818.0,,,0.0,,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-9417.0,,,261882.0,261882.0,0.0,,,8792.0,,,,,,,,625.0,625.0,,11457.0,326939.0,0.0,,,,-9417.0,50000.0,,-8792.0,,,0.0,,,,,0.0,,,,,,,,,,,-430435.0,0.0,,-326939.0,,,,,,,,7900000.0
2015-12-31,2016-03-30,10-K,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,3930.0,-222.0,95818.0,,,0.0,0.0,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-64809.0,,,273193.0,0.0,-0.01,,,62309.0,0.0,-12420.0,,,2500.0,0.0,,2500.0,2500.0,0.0,12082.0,339205.0,0.0,,74729.0,-74729.0,-64809.0,50000.0,,-62309.0,,,0.0,,,,,0.0,,,,74729.0,,0.0,,,-64809.0,,-442701.0,0.0,,-339205.0,,,,,,,,7900000.0
2016-03-31,2016-05-16,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,12810.0,-222.0,95818.0,,,0.0,0.0,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-44130.0,,,307818.0,307818.0,,,,43505.0,0.0,8880.0,,,625.0,,,625.0,625.0,0.0,12707.0,383335.0,0.0,,34625.0,-34625.0,-44130.0,50000.0,,-43505.0,,,0.0,,,,,,,,,34625.0,,0.0,,,-44130.0,,-486831.0,0.0,,-383335.0,,,,,,,,7900000.0
2016-06-30,2016-08-22,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,0.0,-222.0,430574.0,,,0.0,,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-14753.0,0.05,,0.0,273193.0,,,,17528.0,,,,,,,,625.0,625.0,,13332.0,63332.0,0.0,50000.0,,,-14753.0,50000.0,,-17528.0,,,0.0,,,,,3400.0,,,,,,,,,,,-501584.0,0.0,,-63332.0,,,,,,,,7900000.0
2016-09-30,2016-11-14,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,0.0,-222.0,430574.0,,,0.0,,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-12277.0,0.05,,11652.0,,,,,11652.0,,,,,,,,625.0,625.0,,13957.0,75609.0,0.0,50000.0,,,-12277.0,50000.0,,-11652.0,,,0.0,,,,,0.0,,,,,,,,,,,-513861.0,0.0,,-75609.0,,,,,,,,7900000.0
2016-12-31,2017-06-28,10-K,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,11795.0,-222.0,430574.0,334756.0,,0.0,0.0,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-83580.0,,,0.0,11652.0,-0.01,,,84480.0,0.0,7865.0,,,2500.0,0.0,,2500.0,2500.0,0.0,14582.0,88029.0,0.0,,73215.0,-73215.0,-83580.0,50000.0,,-84480.0,,,0.0,,,,,3400.0,,,,61563.0,,11652.0,,,-83580.0,,-526281.0,0.0,,-88029.0,,,,,,,,7900000.0
2017-03-31,2017-08-14,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,24766.0,-222.0,430574.0,,,0.0,0.0,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-25096.0,,,,23152.0,,,,24471.0,0.0,12971.0,,,625.0,,,625.0,625.0,0.0,15207.0,113125.0,0.0,,11500.0,-11500.0,-25096.0,50000.0,,-24471.0,,,0.0,,,,,,,,,0.0,,11500.0,,,,,-551377.0,0.0,,-113125.0,,,,,,,,7900000.0
2017-06-30,2017-08-14,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,295.0,-222.0,430574.0,,,0.0,,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-1275.0,,,,48273.0,,,,650.0,,,,,,,,625.0,625.0,,15832.0,114400.0,0.0,,,,-1275.0,50000.0,,-650.0,,,0.0,,,,,0.0,,,,,,,,,,,-552652.0,0.0,,-114400.0,,,,,,,,7900000.0
2017-09-30,2017-11-14,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,295.0,-222.0,430574.0,,,0.0,,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-23849.0,,,,71497.0,,,,23224.0,,,,,,,,625.0,625.0,,16457.0,138249.0,0.0,,,,-23849.0,50000.0,,-23224.0,,,0.0,,,,,0.0,,,,,,,,,,,-576501.0,0.0,,-138249.0,,,,,,,,7900000.0
2017-12-31,2018-03-30,10-K,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,1538.0,-222.0,430574.0,,,0.0,0.0,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-62358.0,,,0.0,81767.0,,,,59858.0,0.0,-10257.0,,,2500.0,,,2500.0,2500.0,0.0,17082.0,150387.0,0.0,,70115.0,-70115.0,-62358.0,50000.0,,-59858.0,,,0.0,,,,,0.0,,,,0.0,,70115.0,,,-62358.0,,-588639.0,0.0,,-150387.0,,,,,,,,7900000.0
2018-03-31,2018-05-21,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,6917.0,-222.0,430574.0,,,0.0,0.0,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-24768.0,,,,100531.0,,,,24143.0,0.0,5379.0,,,625.0,,,625.0,625.0,0.0,17707.0,175155.0,0.0,,18764.0,-18764.0,-24768.0,50000.0,,-24143.0,,,0.0,,,,,,,,,,,18764.0,,,-24768.0,,-613407.0,0.0,,-175155.0,,,,,,,,7900000.0
2018-06-30,2018-08-20,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,8513.0,-222.0,430574.0,,,0.0,,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-12198.0,,,,110508.0,,,,11871.0,,,,,,,,625.0,625.0,,18332.0,187353.0,0.0,,,,-12198.0,50000.0,,-11871.0,,,0.0,,,,,298.0,,,,,,,,,-12198.0,,-625605.0,0.0,,-187353.0,,,,,,,,7900000.0
2018-09-30,2018-11-08,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,295.0,-222.0,430574.0,,,0.0,,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-12306.0,,,,130407.0,,,,11681.0,,,,,,,,625.0,625.0,,18957.0,199659.0,0.0,,,,-12306.0,50000.0,,-11681.0,,,0.0,,,,,0.0,,,,,,,,,-12306.0,,-637911.0,0.0,,-199659.0,,,,,,,,7900000.0
2018-12-31,2019-04-01,10-K,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,9295.0,-222.0,430574.0,,,,,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-61451.0,,,,132961.0,,,,59249.0,,7757.0,,,2500.0,,,2500.0,,,19582.0,211838.0,,,51194.0,-51194.0,-61451.0,50000.0,,-59249.0,,,,,,,,298.0,,,,,,51194.0,,,-61451.0,,-650090.0,,,-211838.0,,,,,,,,7900000.0
2019-03-31,2019-05-20,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,21085.0,-222.0,430574.0,,,,,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-24435.0,,,,144981.0,,,,23810.0,,11790.0,,,625.0,,,625.0,,,20207.0,236273.0,,,12020.0,-12020.0,-24435.0,50000.0,,-23810.0,,,,,,,,,,,,,,12020.0,,,-24435.0,,-674525.0,,,-236273.0,,,,,,,,7900000.0
2019-06-30,2019-08-14,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,14745.0,-222.0,430574.0,,,,,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-12912.0,,,,163608.0,,,,12287.0,,,,,,,,625.0,,,20832.0,249185.0,,,,,-12912.0,50000.0,,-12287.0,,,,,,,,,,,,,,,,,-12912.0,,-687437.0,,,-249185.0,,,,,,,,7900000.0
2019-09-30,2019-11-14,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,17295.0,-222.0,430574.0,,,,,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-12218.0,,,,172651.0,,,,11593.0,,,,,,,,625.0,,,21457.0,261403.0,,,,,-12218.0,50000.0,,-11593.0,,,,,,,,,,,,,,,,,-12218.0,,-699655.0,,,-261403.0,,,,,,,,7900000.0
2019-12-31,2020-05-14,10-K,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,5000.0,-222.0,430574.0,,5985.0,,,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-56812.0,,,,197553.0,,,,54312.0,,-4295.0,,-5985.0,2500.0,,,2500.0,,,22082.0,274635.0,5985.0,,64592.0,-64592.0,-56812.0,50000.0,,-54312.0,,,,,,,,,5985.0,,,,,64592.0,,,-56812.0,,-706902.0,,,-268650.0,,,,,,,,7900000.0
