end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilities,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AdditionalPaidInCapital,AdvertisingExpense,Assets,AssetsCurrent,BankOverdrafts,Capital,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostsAndExpenses,CostsAndExpensesRelatedParty,DeferredTaxAssetsDeferredIncome,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsNetCurrent,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestPaid,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansAndLeasesReceivableRelatedParties,LoansAndLeasesReceivableRelatedPartiesPeriodIncreaseDecrease,LongTermDebtCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayable,OperatingCostsAndExpenses,OperatingExpenses,OperatingLossCarryforwardsValuationAllowance,OtherTaxExpenseBenefit,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProfessionalFees,ProfitLoss,RelatedPartyTransactionDueFromToRelatedParty,RepaymentOfNotesReceivableFromRelatedParties,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,SharesOutstanding,StockGrantedDuringPeriodValueSharebasedCompensationGross,StockholdersEquity,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodValue,ValuationAllowanceAmount,ValuationAllowancesAndReservesBalance,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInDueToOtherRelatedPartiesCurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,RevenueFromContractWithCustomerExcludingAssessedTax,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInOtherAccountsPayable,OtherGeneralAndAdministrativeExpense,ProfessionalAndContractServicesExpense,RevenueFromContractWithCustomerIncludingAssessedTax
2012-10-31,2012-12-12,10-Q,"Kashin, Inc.",KUSA,CIK0001467845,USD,33802.0,,,,,-334740.0,,,79.0,,77379.0,79.0,79.0,,,0.001,0.001,550000000.0,350515800.0,350515800.0,350516.0,,,,,,,-93165.0,0.0,,,,,3924.0,,,,,,,,,,,,,79.0,77468.0,26283.0,,,,,-6924.0,,,6924.0,,0.0,,,,,3000.0,,17383.0,,93165.0,0.0,,,,,,,-77389.0,,,,,,,4671324387.0,,,,,,,,,,
2013-01-31,2013-03-12,10-Q,"Kashin, Inc.",KUSA,CIK0001467845,USD,37764.0,,,,,-334740.0,,,79.0,,82851.0,79.0,79.0,,,0.001,0.001,550000000.0,350515800.0,350515800.0,350516.0,,,,,,,-98627.0,0.0,,,,,2462.0,,,,,,,,,,,,,79.0,82930.0,26283.0,,,,,-5462.0,,,5462.0,,0.0,,,,,3000.0,,18883.0,,98627.0,0.0,,,,,,,-82851.0,,,,,,,350515800.0,,,,,,,,,,
2013-04-30,2013-07-24,10-K,"Kashin, Inc.",KUSA,CIK0001467845,USD,,44704.0,,20383.0,,-334740.0,,,79.0,,91291.0,79.0,79.0,-8440.0,,,0.001,550000000.0,350515800.0,350515800.0,350516.0,10.0,,37473.0,37473.0,0.0,0.0,107067.0,,0.0,,0.35,,9251.0,0.0,,0.0,,15836.0,,,,,0.0,,,79.0,91370.0,-26283.0,,,-10.0,-8430.0,-24276.0,,,24276.0,107067.0,,-10.0,,,,15025.0,-24276.0,-20383.0,,107067.0,0.0,,,,,,,-91291.0,,,-10.0,-37473.0,-37473.0,,2510920093.0,,,,,,,,,,
2013-07-31,2013-09-11,10-Q,"Kashin, Inc.",KUSA,CIK0001467845,USD,,60089.0,,,,-334740.0,,,79.0,,110741.0,79.0,79.0,,,,0.001,550000000.0,350515800.0,350515800.0,350516.0,2565.0,,,,,,-126517.0,,0.0,,,,16450.0,0.0,,0.0,,16885.0,,,,,0.0,,,79.0,110820.0,28848.0,,,,,-19450.0,,,19450.0,,,,,,,3000.0,-19450.0,21883.0,,126517.0,0.0,,,,,,,-110741.0,,,,,,,350515800.0,,,,,,,,,,
2013-10-31,2014-12-22,10-Q,"Kashin, Inc.",KUSA,CIK0001467845,USD,,58334.0,,,,-334740.0,,,79.0,,,79.0,79.0,,,,0.001,550000000.0,350515800.0,350515800.0,350516.0,,,,,,,130912.0,,,,,,1645.0,,,,,,,,,,,,,79.0,115215.0,-34998.0,,,,,-4395.0,,,4395.0,,,,,,,2750.0,,-21883.0,,,,,,,,,,-115136.0,,,,,,,350515800.0,,,,,,,,,,
2014-01-31,2014-12-30,10-Q,"Kashin, Inc.",KUSA,CIK0001467845,USD,,66084.0,,,,-334740.0,,,79.0,,,79.0,79.0,,,,0.001,550000000.0,350515800.0,350515800.0,350516.0,,,,,,,133662.0,,,,,,,,,,,,,,,,,,,79.0,117965.0,-29998.0,,,,,-2750.0,,,2750.0,,,,,,,2750.0,,-21883.0,,,,,,,,,,-117886.0,,,,,,,350515800.0,,,,,,,,,,
2014-04-30,2015-03-06,10-K,"Kashin, Inc.",KUSA,CIK0001467845,USD,,72052.0,,,,5762.0,,,79.0,,,79.0,79.0,,,,0.001,75000000.0,10014737.0,10014737.0,10015.0,3715.0,,,48871.0,,0.0,139630.0,,,,0.35,,19313.0,,,,,28848.0,,,,,,,,79.0,123933.0,-29998.0,,,,,-32563.0,,,32563.0,139630.0,,,,,,13250.0,,-21883.0,,,,,,,,,,-123854.0,,,,,-48871.0,,10014737.0,,,,,,,,,,
2014-07-31,2015-04-01,10-Q,"Kashin, Inc.",KUSA,CIK0001467845,USD,,68406.0,,,,-334740.0,,,79.0,,,79.0,79.0,,,,0.001,550000000.0,350515800.0,350515800.0,350516.0,3253.0,,,,,,144237.0,,,,,,357.0,,,,,-3646.0,,,,,,,,79.0,128540.0,-38251.0,,,5000.0,-5000.0,-4607.0,,,4607.0,,,,,5000.0,,4250.0,,-21883.0,,,,,,,,,,-128461.0,,,,,,,10014745.0,,,,,,,,,,
2014-10-31,2015-04-14,10-Q,"Kashin, Inc.",KUSA,CIK0001467845,USD,,71156.0,,,,-334740.0,,,79.0,,,79.0,79.0,,,,0.001,550000000.0,350515800.0,350515800.0,350516.0,,,,,,,146987.0,,,,,,,,,,,,,,,,,,,79.0,131290.0,-38251.0,,,,,-2750.0,,,2750.0,,,,,,,2750.0,,-21883.0,,,,,,,,,,-131211.0,,,,,,,10014737.0,,,,,,,,,,
2015-01-31,2015-04-22,10-Q,"Kashin, Inc.",KUSA,CIK0001467845,USD,,71156.0,,,,-334740.0,,,79.0,,,79.0,79.0,,,,0.001,550000000.0,350515800.0,350515800.0,350516.0,,,,,,,147537.0,,,,,,,,,,,,,,,,,,,79.0,131840.0,-38801.0,,,,,-550.0,,,550.0,,,,,,,550.0,,-21883.0,,,,,,,,,,-131761.0,,,,,,,350515800.0,,,,,,,,,,
2015-04-30,2015-08-14,10-K,"Kashin, Inc.",KUSA,CIK0001467845,USD,,129642.0,,,21883.0,5762.0,,,2720.0,,,2720.0,2720.0,2641.0,,,0.001,75000000.0,10014745.0,10014745.0,10015.0,6914.0,,,70523.0,,0.0,201493.0,,,,0.35,,31976.0,,,,,57590.0,,,,,,,,2720.0,188437.0,-36913.0,,,,2641.0,-61863.0,,,61863.0,201493.0,,,,,,29888.0,,-21883.0,,,,,,,,,,-185717.0,,,,,-70523.0,,10014737.0,,,,,,,,,,
2015-07-31,2015-09-21,10-Q,"Kashin, Inc.",KUSA,CIK0001467845,USD,,76147.0,,,21883.0,5762.0,,,25.0,1552.0,,25.0,25.0,-2695.0,,,0.001,75000000.0,10014745.0,10014745.0,10015.0,,,,,,,252246.0,,,,,,49523.0,,,,,-53494.0,,,,,,,,25.0,236495.0,-36914.0,,,100000.0,-102695.0,-50753.0,100000.0,,55753.0,,,,100000.0,,1552.0,6500.0,,,,,5000.0,5000.0,,,,,,-236470.0,,,,,,,10014745.0,,,,,,,,,,
2015-10-31,2015-12-21,10-Q,"Kashin, Inc.",KUSA,CIK0001467845,USD,,29715.0,,,,455008.0,,,875.0,,,875.0,875.0,,,,0.001,75000000.0,12860745.0,12860745.0,12861.0,,,,,,,635720.0,,-0.04,,,,360961.0,,,,,,,,,,,,,875.0,168726.0,-39011.0,,,,,-383474.0,100000.0,,383474.0,,,,,,,22513.0,,,,,,,,,,,,-167851.0,,,,,,,10365397.0,,,,,,,,,,
2021-04-30,2021-12-06,10-K,"Kashin, Inc.",KUSA,CIK0001467845,USD,,,11493.0,0.0,,494019.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.001,75000000.0,25680745.0,25680745.0,28561.0,,,,,0.0,,,,0.0,0.35,,100000.0,0.0,,0.0,,0.0,,,-100000.0,1428.0,,,0.0,11493.0,0.0,11493.0,,,0.0,0.0,0.0,198215.0,,,1428.0,,,0.0,,0.0,,1428.0,,,,-534073.0,0.0,,0.0,0.0,0.0,,,-11493.0,,,,,,28560745.0,,,,,,0.0,,,,,
2021-07-31,2022-01-03,10-Q,"Kashin, Inc.",KUSA,CIK0001467845,USD,,,11850.0,0.0,,494019.0,,,0.0,,,0.0,,,0.0,,0.001,75000000.0,28560745.0,28560745.0,28561.0,,,,,,,,,0.0,,,,357.0,,0.0,,0.0,,,,,,,0.0,,0.0,11850.0,,,0.0,0.0,0.0,-357.0,,,357.0,,,0.0,0.0,0.0,,0.0,-357.0,,,-534430.0,0.0,,,,,,,-11850.0,,,,,,28560745.0,,357.0,0.0,0.0,0.0,,,,,,
2021-10-31,2022-01-03,10-Q,"Kashin, Inc.",KUSA,CIK0001467845,USD,,,12207.0,0.0,,494019.0,,,0.0,,,0.0,,,,,0.001,75000000.0,28560745.0,28560745.0,28561.0,,,,,,,,,,,,,357.0,,,,,,,,,,,,,0.0,24207.0,,,12000.0,,,-12357.0,,,12357.0,,,,,,,12000.0,,,,-546787.0,,,,,,,,-24207.0,,,,,,28560745.0,,,,,,,,,,,
