end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableOtherCurrentAndNoncurrent,AccountsReceivableRelatedParties,AccruedFeesAndOtherRevenueReceivable,AccruedProfessionalFeesCurrentAndNoncurrent,AssetManagementCosts,Assets,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommissionsPayableToBrokerDealersAndClearingOrganizations,CommonStockParOrStatedValuePerShare,CommonStockSharesIssued,CommonStockSharesOutstanding,CustodyFees,Deposits,DividendIncomeOperating,DividendsReceivable,DueFromRelatedParties,DueToCorrespondentBrokers,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrentAndNoncurrent,FairValueAssetsLevel1ToLevel2TransfersAmount,FairValueAssetsLevel2ToLevel1TransfersAmount,FeesAndCommissions,FloorBrokerageExchangeAndClearanceFees,GainLossOnSaleOfInvestments,GeneralPartnersCapitalAccount,IncomeTaxExaminationPenaltiesAndInterestExpense,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInDueToOfficersAndStockholders,IncreaseDecreaseInFinancialInstrumentsUsedInOperatingActivities,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPayablesToBrokerDealers,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInTradingLiabilities,InterestIncomeOperating,InterestReceivable,Liabilities,LiabilitiesAndPartnersCapital,LiabilitiesAndStockholdersEquity,LicenseCosts,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsAuthorized,LimitedPartnersCapitalAccountUnitsIssued,LimitedPartnersCapitalAccountUnitsOutstanding,LitigationSettlementInterest,LossContingencyDamagesAwardedValue,LossContingencyDamagesPaidValue,ManagementFeeExpense,ManagementFeePayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NoninterestExpenseDirectorsFees,NoninterestExpenseTransferAgentAndCustodianFees,OperatingExpenses,OtherAssets,OtherDerivativesNotDesignatedAsHedgingInstrumentsAtFairValueNet,OtherExpenses,OtherGeneralExpense,OtherIncome,OtherLiabilities,OtherReceivables,PartnersCapital,PartnersCapitalAccountContributions,PartnersCapitalAccountRedemptions,PartnersCapitalAccountUnitsContributed,PartnersCapitalAccountUnitsRedeemed,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromPartnershipContribution,ProfessionalFees,RevenueFromContractWithCustomerIncludingAssessedTax,Revenues,StockholdersEquityNoteStockSplitConversionRatio1,TradingLiabilities,TradingSecuritiesRealizedGainLoss,TrusteeFees,UnrealizedGainLossOnDerivativesAndCommodityContracts,UnrealizedGainLossOnInvestments,WeightedAverageLimitedPartnershipUnitsOutstanding,DebtSecuritiesTradingRealizedGainLoss,InvestmentOwnedBalanceContracts,PaymentsForLegalSettlements
2011-06-30,2011-08-09,10-Q,"United States Oil Fund, LP",USO,CIK0001327068,USD,,,,,1784880.0,1520805941.0,326906415.0,1252621841.0,,,,46186.0,,,,,1579528256.0,32303.0,7655.0,,,506405.0,78003657.0,,,,361481.0,-16027940.0,,,,,,,,,,,,,,,,,11054.0,,79688601.0,,1520805941.0,,1441117340.0,,,38500000.0,,,,,,,,,,-155619054.0,,,-5.21,,,-3.99,,,2639361.0,579130.0,,164933.0,,76000.0,1131216.0,,1441117340.0,,,,,,,328067.0,,-152979693.0,,1137.0,,,,-137071110.0,39032967.0,,,
2011-09-30,2011-11-09,10-Q,"United States Oil Fund, LP",USO,CIK0001327068,USD,,,,,1493839.0,1170556788.0,315955004.0,975656979.0,,,,48186.0,,,,,1291611983.0,18394.0,4011.0,,,461318.0,74381039.0,,,,353831.0,-149599580.0,,,,,,,,,,,,,,,,,26544.0,,75996385.0,,1170556788.0,,1094560403.0,,,35700000.0,,,,,,,,,,-213832182.0,,,-6.77,,,-5.66,,,2044920.0,541514.0,,152952.0,,59000.0,1105842.0,,1094560403.0,,,,,,,44298.0,,-211787262.0,,,,,,-62291620.0,37797826.0,,,
2011-12-31,2012-02-29,10-K,"United States Oil Fund, LP",USO,CIK0001327068,USD,,,,,6761103.0,1174394398.0,303665981.0,838608739.0,-684346353.0,,,32186.0,,,,,,193961.0,10659.0,38074230.0,,445715.0,64726191.0,,,,1529433.0,201717550.0,,,,,,202.0,,-38126.0,-5050.0,49162371.0,,-66609.0,153.0,-27000.0,,553.0,72005.0,202.0,66435516.0,,1174394398.0,353950.0,1107958882.0,,,29100000.0,,,,,,-827196655.0,,142850302.0,,417354113.0,3.57,,6.51,-0.9,,3.57,,,11784177.0,506897.0,,109999.0,1200000.0,279000.0,153.0,,1107958882.0,5159411628.0,5982086116.0,138300000.0,155100000.0,,5121337398.0,881228.0,,,,553.0,,20000.0,-50432650.0,-50432650.0,39764384.0,,,
2012-03-31,2012-05-10,10-Q,"United States Oil Fund, LP",USO,CIK0001327068,USD,,,,,1518025.0,1424646767.0,269144769.0,1206280210.0,367671471.0,,,42586.0,,,,,,36097.0,15053.0,,,566872.0,,,,,307757.0,85764740.0,,,,,,315.0,,4394.0,,-34521212.0,,68861.0,9516.0,10400.0,,-553.0,43232.0,517.0,1372948.0,,1424646767.0,50601.0,1423273819.0,,,36300000.0,,,,,,249922605.0,,117748866.0,,38740371.0,,,1.14,1.14,,1.13,,,2243468.0,575758.0,,110361.0,,37000.0,48081.0,,1423273819.0,925232103.0,648657537.0,23600000.0,16400000.0,,963306333.0,295495.0,,,,,,20000.0,-44897230.0,-44897230.0,34348352.0,,,
2012-06-30,2012-08-09,10-Q,"United States Oil Fund, LP",USO,CIK0001327068,USD,,,,,1372870.0,1356467024.0,295295224.0,1028742653.0,,,,47211.0,,,,,,73224.0,23035.0,,,432866.0,2916652.0,,,,323199.0,-294745220.0,,,,,,,,,,,,,,,,,27303.0,,4126801.0,,1356467024.0,,1352340223.0,,,42400000.0,,,,,,,,,,-229473745.0,-6.59,,-7.32,-7.32,,-6.59,,,2172632.0,538657.0,,105692.0,,54000.0,92834.0,,1352340223.0,,,,,,,359041.0,,,,,,,,67289580.0,34840659.0,,,
2012-09-30,2012-11-09,10-Q,"United States Oil Fund, LP",USO,CIK0001327068,USD,,,,,1391015.0,1132772937.0,291628169.0,846272968.0,,,,43911.0,,,,,,50326.0,16299.0,,,433616.0,,,,,329550.0,146631510.0,,,,,,,,,,,,,,,,,45771.0,167.0,1492218.0,,1132772937.0,,1131280719.0,,,33100000.0,,,,,,,,,,78593909.0,2.19,,2.29,2.29,,2.19,,,2223828.0,476258.0,,119035.0,,62000.0,91433.0,,1131280719.0,,,,,,,360568.0,,,,,,,,-65971870.0,35838043.0,,,
2012-12-31,2013-02-27,10-K,"United States Oil Fund, LP",USO,CIK0001327068,USD,,,,,5751949.0,1241349207.0,154761599.0,1019006171.0,180397432.0,,,44461.0,,,,,,221143.0,20182.0,,,516449.0,56390127.0,,,190000.0,1298827.0,-196807460.0,0.0,,0.0,,,-202.0,,9523.0,2266.0,-148904382.0,0.0,-126062.0,-553.0,12275.0,-128360.0,-553.0,176231.0,0.0,58245872.0,,1241349207.0,191732.0,1183103335.0,,,35400000.0,,,,,,236405011.0,,-56007579.0,,-150905319.0,-3.62,,-5.41,-5.41,,-3.62,235480.0,20000.0,11270144.0,380835.0,,103875.0,1000000.0,190000.0,153.0,,1183103335.0,3503707052.0,3297040207.0,100100000.0,93800000.0,,3541781282.0,1299277.0,,-122567356.0,,,,,73652730.0,73652730.0,36296721.0,,,
2013-03-31,2013-05-10,10-Q,"United States Oil Fund, LP",USO,CIK0001327068,USD,,,,,1192949.0,1065544076.0,117452270.0,852052107.0,-166954064.0,,,37461.0,,,,,,42696.0,14079.0,,,376786.0,48311611.0,,,,249623.0,63627270.0,0.0,,,,,0.0,,-6103.0,0.0,-37309329.0,,-53267.0,-2960.0,-7000.0,,0.0,42706.0,,49584661.0,,1065544076.0,39765.0,1015959415.0,,,29200000.0,,,,,,-265541689.0,,98587625.0,,45085571.0,1.43,,1.37,1.37,,1.43,,20000.0,1949051.0,327568.0,,92341.0,1200000.0,38000.0,40169.0,,1015959415.0,408618512.0,620848003.0,12000000.0,18200000.0,,363384830.0,301175.0,,47034622.0,,,,,-16716050.0,-16716050.0,31525556.0,,,
2013-06-30,2013-08-09,10-Q,"United States Oil Fund, LP",USO,CIK0001327068,USD,,,,,983255.0,900475247.0,90902261.0,780316999.0,,,,29461.0,,,,,,33926.0,10611.0,,,298441.0,81817789.0,,,,237090.0,39679540.0,0.0,,,,,,,,,,,,,,,,41515.0,,83104825.0,,900475247.0,,817370422.0,,,23900000.0,,,,,,,,,,-7308291.0,-0.28,,,-0.59,,,,,1788322.0,194278.0,,82067.0,,78000.0,38304.0,,817370422.0,,,,,,,371693.0,,-5519969.0,,,,,,-45352950.0,26128571.0,,,
2013-09-30,2013-11-12,10-Q,"United States Oil Fund, LP",USO,CIK0001327068,USD,,,,,919796.0,782998872.0,95915369.0,696742167.0,,,,28461.0,,,,,,27985.0,9089.0,,,316470.0,0.0,,,,223754.0,99527130.0,0.0,,,,,,,,,,,,,,,,39099.0,,1496484.0,,782998872.0,,781502388.0,,,21200000.0,,,,,,,,,,64699853.0,3.01,,,2.66,,,,,1572691.0,55502.0,,78015.0,,72000.0,35807.0,,781502388.0,,,,,,,235653.0,,66272544.0,,,,,,-33393670.0,21478261.0,,,
2013-12-31,2014-02-28,10-K,"United States Oil Fund, LP",USO,CIK0001327068,USD,153.0,,,1230814.0,3981890.0,640220925.0,20806873.0,570875786.0,-448130385.0,,,19661.0,,,,,,130166.0,7969.0,,,254721.0,64385796.0,,,261000.0,965576.0,144592660.0,0.0,,3000.0,,-362266.0,52.0,,-12213.0,-4526.0,-133954726.0,0.0,-362248.0,0.0,-24800.0,0.0,0.0,166245.0,52.0,65943871.0,,640220925.0,132730.0,574277054.0,,,16300000.0,,,,,20881.0,-720599443.0,,272469058.0,,45457979.0,2.92,,,0.18000000000000016,,,195353.0,20000.0,8144066.0,18587.0,,88352.0,1000000.0,261000.0,153.0,4000.0,574277054.0,4397936880.0,5080730717.0,124700000.0,143800000.0,,4352135605.0,1088401.0,,53602045.0,,,0.0,,-64455450.0,-64455450.0,25330685.0,,,
2014-03-31,2014-05-12,10-Q,"United States Oil Fund, LP",USO,CIK0001327068,USD,,,,,750779.0,594230318.0,39068711.0,548695217.0,-22180569.0,,,20661.0,,,,,,18289.0,5259.0,,,240550.0,43950792.0,,,91000.0,264164.0,27074999.0,0.0,,-1000.0,,44390.0,-52.0,,-2710.0,-20881.0,18261838.0,,62844.0,0.0,1000.0,0.0,,53246.0,0.0,45101360.0,,594230318.0,25025.0,549128958.0,,,15000000.0,,,,,,-29361184.0,,7180615.0,,29579359.0,1.53,,,1.38,,,44892.0,20000.0,1312905.0,81431.0,,69917.0,900000.0,91000.0,153.0,,549128958.0,1677153270.0,1731880725.0,48300000.0,49600000.0,,1722954545.0,227545.0,,30892264.0,,,,,3654730.0,3654730.0,19293333.0,,,
2014-06-30,2014-08-11,10-Q,"United States Oil Fund, LP",USO,CIK0001327068,USD,,,,744517.0,626155.0,642132589.0,31591741.0,604366648.0,,,,15661.0,,,,,,15087.0,5074.0,,,206347.0,0.0,,,46000.0,146990.0,33275021.0,0.0,,,,,,,,,,,,,,,,28052.0,0.0,1020160.0,,642132589.0,20873.0,641112429.0,,,16500000.0,,,,,30299.0,,,,,32061691.0,2.15,,,2.25,,,42660.0,,1034579.0,57315.0,,64383.0,,46000.0,0.0,,641112429.0,,,,,,,197051.0,,33096270.0,,,,,,-267890.0,14884615.0,,,
2014-09-30,2014-11-10,10-Q,"United States Oil Fund, LP",USO,CIK0001327068,USD,,,,857486.0,813975.0,667365169.0,34833523.0,634977725.0,,,,24661.0,,,,,,15140.0,5095.0,,,278089.0,27962184.0,,,60000.0,208898.0,-70058320.0,0.0,,,,,,,,,,,,,,,,41982.0,0.0,29184591.0,,667365169.0,27132.0,638180578.0,,,18600000.0,,,,,32517.0,,,,,-79777495.0,-4.0,,,-4.55,,,45170.0,,1237347.0,35966.0,,72302.0,,60000.0,0.0,,638180578.0,,,,,,,142172.0,,-78540148.0,,,0.0,,,-8598950.0,19936957.0,,,
2014-12-31,2015-03-02,10-K,"United States Oil Fund, LP",USO,CIK0001327068,USD,0.0,0.0,,900815.0,3197210.0,1297252971.0,275061689.0,1139071536.0,568195750.0,,,73661.0,,,,,,63583.0,5094.0,,,403300.0,18137403.0,,,276000.0,988505.0,-314354470.0,0.0,,-1000.0,,0.0,-52.0,,-2875.0,899.0,254254816.0,-153.0,,0.0,54000.0,0.0,,182708.0,0.0,19573098.0,,1297252971.0,106574.0,1277679873.0,1627000000.0,,63400000.0,,,,,21780.0,1141499353.0,1141499353.0,-573303603.0,-573303603.0,-960410023.0,-22.27,,,-29.240000000000002,,,181613.0,20000.0,6611479.0,,,,600000.0,,,3000.0,1277679873.0,5187835835.0,3995159782.0,166500000.0,119400000.0,0.0,5182907528.0,622903.0,,-953798544.0,,,0.0,,-170342900.0,-170342900.0,21970685.0,,,
2015-03-31,2015-05-07,10-Q,"United States Oil Fund, LP",USO,CIK0001327068,USD,,35835.0,,390170.0,2557917.0,2889257190.0,369394262.0,2600320969.0,1461249433.0,,,173961.0,,,,,,16217.0,5943.0,,,1054475.0,95276445.0,,,95000.0,1187217.0,-324511450.0,0.0,,1000.0,,35835.0,0.0,,849.0,-21780.0,94332573.0,,,,137822.0,970741.0,,194598.0,,96983002.0,,2889257190.0,85264.0,2792274188.0,1627000000.0,,165500000.0,,,,,0.0,1884643602.0,,-423394169.0,,-276690243.0,-2.16,,,-3.28,,,68084.0,20000.0,4118398.0,,,,,,,4000.0,2792274188.0,3113839910.0,1322555352.0,175800000.0,73700000.0,970741.0,3130059912.0,214577.0,,-272571845.0,,,,,51633790.0,51633790.0,128206667.0,,,
2015-06-30,2015-08-05,10-Q,"United States Oil Fund, LP",USO,CIK0001327068,USD,,12101.0,,369530.0,2903429.0,2407617937.0,271314431.0,2086691165.0,,,,173961.0,,,,,,17639.0,5944.0,,,876138.0,125704115.0,,,88000.0,1094815.0,440514984.0,0.0,,,,,,,,,,,,,,,,321493.0,,127223444.0,,2407617937.0,96781.0,2280394493.0,2127000000.0,,114400000.0,,,,,0.0,,,,,505259352.0,3.84,,,3.06,,,74156.0,,4493649.0,,,,,,,5000.0,2280394493.0,,,,,889772.0,,243499.0,,509753001.0,,,,,,68810885.0,131492308.0,,,
2015-09-30,2015-11-06,10-Q,"United States Oil Fund, LP",USO,CIK0001327068,USD,,,,588827.0,2845896.0,2499609295.0,342882833.0,2138237403.0,,,,197961.0,,,,,,17611.0,5519.0,,,978952.0,16079503.0,,,87000.0,1327477.0,-693928121.0,0.0,,,,,,,,,,,,,,,,431012.0,,17957188.0,,2499609295.0,94863.0,2481652107.0,2127000000.0,,170300000.0,,,,,13866.0,,,,,-677004421.0,-4.12,,,-5.36,,,75988.0,,4671346.0,,,,,,,3000.0,2481652107.0,,,,,807914.0,,245263.0,,-672333075.0,,,-1458.0,,,21060881.0,164201087.0,,,
2015-12-31,2016-02-26,10-K,"United States Oil Fund, LP",USO,CIK0001327068,USD,,0.0,,1205862.0,11638694.0,3177728808.0,551734919.0,2725177054.0,1586105518.0,,,260961.0,,,,,,75426.0,8930.0,,0.0,1179092.0,,,,348000.0,5196820.0,-1300519431.0,0.0,,2000.0,,0.0,0.0,,3836.0,21083.0,276673230.0,0.0,,,187300.0,726055.0,,1692164.0,,55659055.0,,3177728808.0,387957.0,3122069753.0,2127000000.0,,283200000.0,,,,,42863.0,3179665743.0,3179665743.0,-1593560225.0,-1593560225.0,-2128390528.0,-7.93,,,-12.68,,,298255.0,,24951589.0,,,,1400000.0,,,5000.0,3122069753.0,9173312546.0,6040509746.0,573900000.0,354100000.0,726055.0,9185457218.0,1345741.0,,-2103438939.0,,,-1458.0,,29109870.0,29109870.0,162412877.0,,,
2016-03-31,2016-05-04,10-Q,"United States Oil Fund, LP",USO,CIK0001327068,USD,,90500.0,,1222117.0,3919330.0,3584243336.0,463956958.0,3215581885.0,490404831.0,,,293961.0,,,,,,348412.0,126349.0,,,1478531.0,,,,85000.0,2229168.0,-215557610.0,0.0,,-1000.0,,90500.0,,,117419.0,-42863.0,-87777961.0,,,,33000.0,738729.0,,1745263.0,,71366605.0,,3584243336.0,130644.0,3512876731.0,3127000000.0,,360500000.0,,,,,0.0,623720986.0,623720986.0,-133316155.0,-133316155.0,-178972992.0,-0.48,,,-1.28,,,87551.0,,7120977.0,,,,,,,4000.0,3512876731.0,1538268122.0,968488152.0,177000000.0,99700000.0,1464784.0,1576853032.0,673315.0,,-171852015.0,,,,,41526920.0,41526920.0,374947253.0,,,
2016-06-30,2016-08-05,10-Q,"United States Oil Fund, LP",USO,CIK0001327068,USD,,54750.0,,576161.0,3924293.0,3416781831.0,624604749.0,2927979139.0,,,,235961.0,,,,,,572471.0,186927.0,,,1245395.0,,,,69000.0,1603540.0,719826560.0,0.0,,,,,,,,,,,,,,,,2323518.0,,48454419.0,,3416781831.0,130810.0,3368327412.0,3127000000.0,,291400000.0,,,,,0.0,,,,,641426881.0,2.03,,,1.82,,,94090.0,,6509218.0,,,,,,,7000.0,3368327412.0,,,,,1452476.0,,673118.0,,647936099.0,,,,,,-74855450.0,316056044.0,,,
