end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableTradeCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AssetImpairmentCharges,Assets,AssetsCurrent,AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLoss,BusinessAcquisitionEquityInterestIssuedOrIssuableValueAssigned,BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,BusinessAcquisitionPercentageOfVotingInterestsAcquired,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostsAndExpenses,CurrentIncomeTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentUnamortizedDiscountPremiumNet,DeferredTaxAssetsGross,DepreciationAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromContinuingOperationsPerBasicShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToOtherRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInventories,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InterestPaidNet,InterestPayableCurrent,InventoryFinishedGoods,InventoryNet,InventoryRawMaterials,InventoryWriteDown,LeaseAndRentalExpense,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MarketableSecurities,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpenseNet,OperatingLossCarryforwardsValuationAllowance,OtherAssetImpairmentCharges,OtherExpenses,OtherInventoryScrap,OtherNoncashIncomeExpense,OtherNonoperatingExpense,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,PartnersCapitalAccountContributions,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValueOutstanding,PrepaidExpense,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromContributionsFromAffiliates,ProceedsFromContributionsFromParent,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromPartnershipContribution,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,ShareBasedCompensation,SharesIssued,SharesOutstanding,StockGrantedDuringPeriodValueSharebasedCompensationForfeited,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesEmployeeStockOwnershipPlan,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesShareBasedCompensation,StockIssuedDuringPeriodValueEmployeeStockOwnershipPlan,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,StockRepurchasedAndRetiredDuringPeriodShares,StockRepurchasedAndRetiredDuringPeriodValue,TaxesExcludingIncomeAndExciseTaxes,TechnologyServicesCosts,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2012-12-31,2013-02-13,10-Q,"Xiamen Lutong International Travel Agency Co., Ltd.",LTGJ,CIK0001445175,USD,,0.0,,,,3000.0,135110.0,,,,,,,,,3406.0,3406.0,,,,,3406.0,3406.0,,,,0.001,150000000.0,2419000.0,,20776.0,,0.0,,4519.0,,,,,,,0.0,155480.0,,,0.0,,4519.0,,,-4519.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,3406.0,3000.0,,,,,,,-4519.0,,4519.0,-4519.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-4519.0,,,,0.0,,,,,,406.0,,,,,,,,,,,,,2419600.0,,
2013-03-31,2013-05-09,10-Q,"Xiamen Lutong International Travel Agency Co., Ltd.",LTGJ,CIK0001445175,USD,,16879.0,,,,2256.0,,485966.0,,,,,,,,13021.0,13021.0,,,,,,4977.0,,,,,150000000.0,2419600.0,,2420.0,3629400.0,,,,,,,,,,,,,,-0.15,,358734.0,,,,,,,,,,,,,,,,,,,,-256.0,,,,,8044.0,,,8000.0,,47105.0,13021.0,47105.0,,,,,,,-366990.0,,366734.0,-366734.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-522470.0,,,,,,,,-34084.0,,,,,,,,,,,,2419600.0,,2419600.0
2013-06-30,2013-09-27,10-K,"Xiamen Lutong International Travel Agency Co., Ltd.",LTGJ,CIK0001445175,USD,,8855.0,32000.0,,1182.0,7683.0,685373.0,,,,,,,,,66316.0,66316.0,,,,,50010.0,50010.0,34302.0,,,0.001,150000000.0,2894600.0,2894600.0,2895.0,,-53638.0,,,,,,,0.0,,,,100.0,,-0.27,,112258.0,,,,,,,,,,,9538.0,32000.0,-1182.0,,,,,-13069.0,-2055.0,-3183.0,,,,,13069.0,,,32000.0,,,66316.0,209868.0,,161330.0,,,,-127028.0,-684642.0,161230.0,676640.0,-681459.0,,,,,,,,,,,20000000.0,0.001,0.0,0.0,,,2055.0,,,,,,,161330.0,,,-4819.0,,,-831820.0,48819.0,,532382.0,,,,-143552.0,-143552.0,,,,,,532382.0,,,,,,2517545.0,,
2013-09-30,2013-11-08,10-Q,"Xiamen Lutong International Travel Agency Co., Ltd.",LTGJ,CIK0001445175,USD,,69824.0,,,7242.0,8169.0,936197.0,,,,,,11305.0,,,25825.0,25825.0,,,,,5629.0,5629.0,-44381.0,,,0.001,150000000.0,2942600.0,2942600.0,2943.0,,-2840.0,,,,,,123821.0,112516.0,,,,100.0,,-0.08,,124350.0,,,,,,,,,,,5455.0,24000.0,-6060.0,,,,,2170.0,,-15696.0,,,,,10899.0,,,24000.0,,,25825.0,151309.0,,24502.0,,,,-68883.0,-232804.0,,221570.0,-217108.0,,,,,,,,,,,,,,,,,2055.0,,,,,,,65000.0,,,4462.0,,-40498.0,-1064624.0,7302.0,,127051.0,,,,-125484.0,-125484.0,,,,,72720.0,,,,,,,2900861.0,,
2013-12-31,2014-02-14,10-Q,"Xiamen Lutong International Travel Agency Co., Ltd.",LTGJ,CIK0001445175,USD,,109992.0,,,430.0,10624.0,8365183.0,,,,,,,,,14406.0,14406.0,,,,,973.0,973.0,,,,0.001,150000000.0,13942600.0,13942600.0,13943.0,,63.0,,,,,,,92144.0,,,,100.0,,-0.84,,115959.0,-63.0,,,,,,,,,,,,,,,,,,,47857.0,,,,,10948.0,,,24000.0,,,14406.0,251754.0,,,,,,,-7551850.0,,7503930.0,-7503993.0,,,,,,,,,,,,,,,,,2055.0,,,,,,,,,,-63.0,,,-8616474.0,,,,,,,-237348.0,-237348.0,,,,,,,,,,,7363971.0,9029557.0,,
2014-03-31,2014-05-02,10-Q,"Xiamen Lutong International Travel Agency Co., Ltd.",LTGJ,CIK0001445175,USD,,178904.0,,,,17839.0,8474192.0,,,,,,,,,18547.0,18547.0,,,,,5544.0,5544.0,,,,0.001,150000000.0,14167600.0,14167600.0,14168.0,,,,,,,,,,,,,100.0,,-0.02,-92144.0,153572.0,,,,,,,,,,,,,,,,,,,,5973.0,,,,,10948.0,,,24000.0,,,18547.0,478600.0,,,,,,,-331939.0,281757.0,233822.0,-233822.0,,,,,,,,,,,20000000.0,0.001,0.0,0.0,,,2055.0,,,,,,,,,,,,,-8948413.0,,,,,,,-460053.0,,,,,,,,,,,,56250.0,14047600.0,,
2014-06-30,2014-09-22,10-K,"Xiamen Lutong International Travel Agency Co., Ltd.",LTGJ,CIK0001445175,USD,,69939.0,170265.0,,,27176.0,8698757.0,,145990.0,,,,53846.0,,,18456.0,18456.0,,,,,6081.0,6081.0,43929.0,,,0.001,150000000.0,14167600.0,14167600.0,14168.0,14168.0,-2939.0,2939.0,,,,0.0,145990.0,,,,,100.0,,-0.85,92144.0,1942615.0,-4364.0,,8453056.0,,-0.85,,,,,,80577.0,138165.0,1182.0,,,,,2121.0,628.0,77191.0,4352.0,,,6084.0,10948.0,4864.0,,96000.0,,,18456.0,590407.0,,161797.0,,0.0,,-205726.0,-8453056.0,323027.0,8288085.0,8283821.0,,,,6249470.0,4864.0,,169335.0,,,,0.001,20000000.0,0.0,0.0,0.0,,1427.0,,,,,,,202295.0,,,4364.0,,40498.0,-9284876.0,7303.0,7303.0,7878667.0,,,,-571951.0,-571951.0,,,,,7878667.0,,,,,,,10003107.0,10003107.0,
2014-09-30,2014-11-13,10-Q,"Xiamen Lutong International Travel Agency Co., Ltd.",LTGJ,CIK0001445175,USD,,70796.0,203200.0,,,32321.0,8025694.0,,,,,,,,6084.0,11707.0,11707.0,,,,,5416.0,5416.0,-665.0,,,0.001,150000000.0,14167600.0,14167600.0,14168.0,,-6084.0,6084.0,,,,,,,,,,100.0,,0.04,,629612.0,-6084.0,,591077.0,,0.04,,,,,,6002.0,33035.0,,,,,,,,8451.0,,,,,4864.0,4864.0,6084.0,24000.0,,,11707.0,665644.0,,36200.0,,0.0,,33035.0,591077.0,359227.0,-605612.0,-599528.0,,,,,,,8451.0,,,,,,,,,,1427.0,,,,,,,36200.0,,,-6084.0,,,-8693799.0,,0.0,-673063.0,,,,-653937.0,-653937.0,,,,,,,,,-673063.0,0.0,,14167600.0,14167600.0,
2014-12-31,2015-01-30,10-Q,"Xiamen Lutong International Travel Agency Co., Ltd.",LTGJ,CIK0001445175,USD,,59666.0,236235.0,,,41644.0,8036694.0,,,,,,,,,7290.0,7290.0,,,,,,999.0,,,,0.001,150000000.0,3167600.0,3167600.0,3168.0,,,0.0,,,,,,,,,,100.0,,-0.01,,34176.0,0.0,,-67695.0,,-0.01,,,,,,,,,,,,,,,9519.0,,,,,4864.0,,,24000.0,,,7290.0,728922.0,,,,,,,-67695.0,391277.0,58176.0,58176.0,,,,,4864.0,,9519.0,,,,0.001,20000000.0,,,,,1427.0,,,,,,,,,,,,,-8761494.0,,0.0,,,,,-721632.0,,,,,,,,,,,0.0,,8482817.0,8482817.0,
2015-03-31,2015-04-29,10-Q,"Xiamen Lutong International Travel Agency Co., Ltd.",LTGJ,CIK0001445175,USD,,47063.0,295441.0,,,51314.0,8036694.0,,,,,,,,,6387.0,6387.0,,,,,,96.0,,,,0.001,150000000.0,3167600.0,3167600.0,3168.0,,,0.0,,,,,,,,,,100.0,,-0.02,,30035.0,0.0,,-63706.0,,-0.02,,,,,,,,,,,,,,,9671.0,,,,,4864.0,,,24000.0,,,6387.0,791725.0,,,,,,,-63706.0,397807.0,54035.0,54035.0,,,,,4864.0,,9671.0,,,,0.001,20000000.0,,,,,1427.0,,,,,,,,,,,,,-8825200.0,,0.0,,,,,-785338.0,,,,,,,,,,,0.0,,3167600.0,3167600.0,
2015-06-30,2017-03-03,10-K,"Xiamen Lutong International Travel Agency Co., Ltd.",LTGJ,CIK0001445175,USD,,0.0,0.0,,,1825.0,8542963.0,,261269.0,,-673063.0,,0.0,,,0.0,0.0,,,57000000.0,,0.0,0.0,-6081.0,,,0.001,150000000.0,58167600.0,58167600.0,,58168.0,,10948.0,,0.0,300000.0,300000.0,,,389200.0,,,,,,4066.0,0.0,10548.0,-1825.0,-425788.0,,0.0,427613.0,0.04,,,,321349.0,-170265.0,,,,,,10948.0,-2639.0,1825.0,0.0,,,,0.0,,4066.0,88000.0,,257957.0,0.0,257957.0,,77735.0,0.0,0.0,0.0,-83816.0,425788.0,256132.0,0.0,0.0,,,,0.0,,,1825.0,,,,0.001,20000000.0,0.0,0.0,0.0,,0.0,,,,,,,77735.0,,,,,0.0,-8859088.0,,0.0,,,,0.0,-257957.0,,,,,,300000.0,,,,,,,,11060751.0,
2015-09-30,2017-03-06,10-Q,"Xiamen Lutong International Travel Agency Co., Ltd.",LTGJ,CIK0001445175,USD,,,,,,8281.0,8542963.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,,,0.001,150000000.0,58167600.0,58167600.0,,58168.0,,0.0,,,,,,,,,,,,,,0.0,0.0,,-6456.0,,0.0,,,0.0,,,6546.0,,,,,,,,,6456.0,,,,,,,,0.0,,264413.0,0.0,264413.0,,0.0,0.0,,0.0,0.0,-6456.0,256132.0,0.0,0.0,,,,,,,6456.0,,,,0.001,20000000.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,-8865544.0,,0.0,,,,,-264413.0,,,,,,,,,,,0.0,,,58167600.0,
2015-12-31,2017-03-06,10-Q,"Xiamen Lutong International Travel Agency Co., Ltd.",LTGJ,CIK0001445175,USD,,,,,,14737.0,8542963.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,0.001,150000000.0,58167600.0,58167600.0,,58168.0,,0.0,,,,,,,,,,,,,,0.0,0.0,,-6456.0,,0.0,,,0.0,,,,,,,,,,,,6456.0,,,,,,,,0.0,,270869.0,0.0,270869.0,,,,,,,-6456.0,256132.0,0.0,0.0,,,,,,,6456.0,,,,0.001,20000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,-8872000.0,,0.0,,,,,-270869.0,,,,,,,,,,,0.0,,,58167600.0,
2016-03-31,2017-03-07,10-Q,"Xiamen Lutong International Travel Agency Co., Ltd.",LTGJ,CIK0001445175,USD,,,,,,21123.0,8542963.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,58168.0,,0.0,,,,,,,,,,,,,,0.0,0.0,,-6386.0,,0.0,,,0.0,,,,,,,,,,,,6386.0,,,,,,,,0.0,,277255.0,0.0,277255.0,,,,,,,-6386.0,256132.0,0.0,0.0,,,,,,,6386.0,,,,,,,,0.0,,,,,,,,,,,,,,,-8878386.0,,0.0,,,,,-277255.0,,,,,,,,,,,0.0,,,58167600.0,
