end,filed,form,Name,Ticker,CIK,Currency,AccountsReceivableFromSecuritization,AccruedProfessionalFeesCurrentAndNoncurrent,AssetManagementCosts,Assets,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommissionsPayableToBrokerDealersAndClearingOrganizations,CommitmentsAndContingencies,CustodyFees,DebtInstrumentCollateralAmount,DebtInstrumentInterestRateStatedPercentage,Deposits,DepositsMoneyMarketDeposits,DerivativeNumberOfInstrumentsHeld,DerivativeNumberOfInstrumentsHeld,DividendIncomeOperating,DividendsReceivable,DueFromOfficersOrStockholders,DueFromRelatedParties,DueToCorrespondentBrokers,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrentAndNoncurrent,FeesAndCommissions,FloorBrokerageExchangeAndClearanceFees,GainLossOnSaleOfInvestments,GeneralPartnersCapitalAccount,IncreaseDecreaseDueFromOfficersAndStockholders,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInFinancialInstrumentsUsedInOperatingActivities,IncreaseDecreaseInInsuranceLiabilities,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPayablesToBrokerDealers,IncreaseDecreaseInPrepaidInsurance,IncreaseDecreaseInTradingLiabilities,InterestIncomeOperating,InterestReceivable,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnderlyingFaceAmountAtMarketValue,Liabilities,LiabilitiesAndStockholdersEquity,LicenseCosts,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsOutstanding,ManagementFeeExpense,ManagementFeePayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NoninterestExpenseDirectorsFees,NoninterestExpenseTransferAgentAndCustodianFees,OperatingExpenses,OtherAssets,OtherExpenses,OtherGeneralExpense,OtherIncome,OtherLiabilities,OtherReceivables,PartnersCapital,PartnersCapitalAccountContributions,PartnersCapitalAccountRedemptions,PartnersCapitalAccountUnitsContributed,PartnersCapitalAccountUnitsRedeemed,PrepaidInsurance,ProceedsFromPartnershipContribution,ProfessionalFees,ReceivableFromOfficersAndDirectorsForIssuanceOfCapitalStock,RestrictedCashAndCashEquivalents,RevenueFromContractWithCustomerIncludingAssessedTax,Revenues,TradingLiabilities,UnrealizedGainLossOnDerivativesAndCommodityContracts,UnrealizedGainLossOnInvestments,WeightedAverageLimitedPartnershipUnitsOutstanding,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued
2012-09-30,2012-11-14,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,,85391.0,51498526.0,7096170.0,41393586.0,,,,4008.0,,,,,27968528.0,20521228.0,,,1233.0,394.0,42354.0,,,28723.0,,,3486.0,-1749680.0,0.0,,,,,,,,,,,,,2191.0,35.0,,,115275.0,51498526.0,,51383251.0,2750000.0,,,,,,,3297673.0,1.26,1.3,,1.3,1.3,1.26,,,,,122485.0,807.0,3374.0,,2100.0,2167.0,,51383251.0,,,,,,,30234.0,,,,,0.0,,5150880.0,2612500.0,
2012-12-31,2013-03-26,10-K,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,,283719.0,43245931.0,4416055.0,39667209.0,19948117.0,,,4008.0,0.0,,,,23560690.0,20522574.0,,,4189.0,423.0,68503.0,,,28625.0,,10500.0,14360.0,-12161650.0,0.0,-44666.0,0.0,-8.0,,228.0,-5715124.0,,118.0,1358.0,-252.0,,-8.0,7257.0,0.0,,,160240.0,43245931.0,5674.0,43085691.0,2500000.0,,,26705337.0,,-6757220.0,,-8412041.0,-2.26,,,-5.43,-5.43,,,-2.26,5705.0,20000.0,578361.0,321.0,11379.0,75000.0,10500.0,2334.0,,43085691.0,33083248.0,6377911.0,1850000.0,350000.0,,33083248.0,125273.0,,,,-4462964.0,0.0,7676740.0,7676740.0,2132514.0,
2013-03-31,2013-05-15,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,,83273.0,44412017.0,4659687.0,35710178.0,-3957031.0,,,3608.0,,,,,19847291.0,20522574.0,,,1176.0,373.0,14464.0,,,28933.0,,,3288.0,245850.0,0.0,-54039.0,,0.0,,-50.0,243632.0,,3304.0,-165.0,-400.0,,0.0,2005.0,,,,1029907.0,44412017.0,1665.0,43382110.0,2250000.0,,,-3815600.0,,-141431.0,,5076144.0,1.98,,2.05,,2.05,,1.98,,,20000.0,121121.0,3625.0,3488.0,,3500.0,2169.0,,43382110.0,3480456.0,8260181.0,200000.0,450000.0,,3480456.0,31072.0,,,,5182801.0,964125.0,4930270.0,4930270.0,2560556.0,
2013-06-30,2013-08-14,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,,64190.0,25892354.0,3050999.0,24152941.0,,,,2608.0,,,,,6681366.0,20522574.0,,,1200.0,378.0,32787.0,,,17381.0,,,2124.0,2494010.0,0.0,,,,,,,,,,,,,1263.0,,,,83815.0,25892354.0,,25808539.0,1500000.0,,,,,,,-2953211.0,-1.66,,,,-2.07,,,,,,100767.0,2649.0,3331.0,,3850.0,1632.0,,25808539.0,,,,,,,31122.0,,,,-2870767.0,,,-5371090.0,1779121.0,
2013-09-30,2013-11-14,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,,50299.0,27177614.0,3423727.0,25194682.0,,,,2608.0,,,,,8095835.0,20522574.0,,,1034.0,335.0,63018.0,,,17079.0,,,1398.0,-196150.0,0.0,,,,,,,,,,,,,548.0,,,,123262.0,27177614.0,,27054352.0,1600000.0,,,,,,,-416878.0,-0.27,,,,-0.3,,,,,,94831.0,1662.0,2850.0,,700.0,1097.0,,27054352.0,,,,,,,40284.0,,,,-352278.0,,,-158410.0,1545652.0,
2013-12-31,2014-03-26,10-K,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,0.0,150502.0,250075.0,27655808.0,949087.0,25514584.0,-14152625.0,,,2608.0,,,949087.0,,6941097.0,19522574.0,,,4719.0,672.0,100580.0,,,18345.0,,9450.0,8360.0,2395300.0,0.0,32077.0,0.0,0.0,,249.0,-3466968.0,,354.0,-1124.0,-1400.0,,0.0,4481.0,0.0,,,172825.0,27655808.0,5001.0,27482983.0,1500000.0,,,-19692310.0,,5539685.0,,6473149.0,2.19,,,,2.5,,,,7620.0,20000.0,526397.0,675.0,12621.0,125000.0,9450.0,1210.0,0.0,27482983.0,5962931.0,25655241.0,300000.0,600000.0,,5962931.0,150502.0,835.0,,,6861404.0,,1996630.0,1996630.0,1866712.0,
2014-03-31,2014-05-15,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,,44676.0,20673762.0,308837.0,18724778.0,-6789806.0,,,2608.0,,,,,6522456.0,12511159.0,,,550.0,288.0,38045.0,,,13424.0,,3150.0,2070.0,1641740.0,0.0,-62535.0,0.0,,,-384.0,-640250.0,,2279.0,-194.0,0.0,,,713.0,,,,64028.0,20673762.0,894.0,20609734.0,1050000.0,,,-8969857.0,,2180051.0,,2096608.0,1.69,,,,1.31,,,,1780.0,20000.0,96400.0,2954.0,2674.0,,3150.0,1016.0,,20609734.0,,8969857.0,,450000.0,,0.0,46980.0,,,,2154963.0,,508810.0,508810.0,1238333.0,
2014-06-30,2014-08-14,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,94482.0,35536.0,17715344.0,238536.0,16566051.0,,,,1348.0,,,238536.0,,7293896.0,9510691.0,,,798.0,272.0,78745.0,,,11162.0,,1050.0,-189.0,826770.0,0.0,,,,,,,,,,,,,414.0,,,,107650.0,17715344.0,710.0,17607694.0,900000.0,,,,,,,15362.0,0.02,,,,-0.07,,,,1531.0,,85090.0,2160.0,2241.0,,1050.0,658.0,,17607694.0,,,,,,,47502.0,,,,59752.0,,,-769280.0,942308.0,
2014-09-30,2014-11-14,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,72360.0,30490.0,16322729.0,2242005.0,14545112.0,,,,1348.0,,,2242005.0,,7276425.0,9510692.0,,,726.0,247.0,55488.0,,,9809.0,,0.0,641.0,17110.0,0.0,,,,,,,,,,,,,489.0,,,,84458.0,16322729.0,610.0,16238271.0,900000.0,,,,,,,-1369423.0,-1.52,,,,-1.52,,,,1340.0,,75491.0,1354.0,1950.0,,0.0,941.0,,16238271.0,,,,,,,42410.0,583.0,,,-1333315.0,,,-1351640.0,900000.0,
2014-12-31,2015-03-26,10-K,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,733461.0,80049.0,143944.0,16520165.0,5525172.0,15113447.0,-10401137.0,,,1581.0,,,5525172.0,,11127927.0,9510692.0,537.0,,2798.0,247.0,66266.0,,,11069.0,,5600.0,3918.0,2205950.0,0.0,-34314.0,350.0,0.0,,-425.0,4576085.0,,,,0.0,,0.0,2288.0,,0.0001,,93697.0,16520165.0,2879.0,16426468.0,1200000.0,,,-7817995.0,,-2583142.0,,-8686509.0,-3.85,,,,-8.98,,,,6009.0,20000.0,358185.0,,,86000.0,,,350.0,16426468.0,4902725.0,11987259.0,900000.0,750000.0,,4169264.0,150833.0,1112.0,,,-8468008.0,,-6009940.0,-6009940.0,1031781.0,
2015-03-31,2015-05-13,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,0.0,50053.0,32443.0,17067344.0,5231739.0,15760134.0,646687.0,,,1581.0,,,5231739.0,0.0001,11481181.0,9510692.0,,,716.0,247.0,17835.0,,,11124.0,,2100.0,1595.0,-2280826.0,0.0,-48431.0,-350.0,,,0.0,-293433.0,,,,,,,635.0,,,,63741.0,17067344.0,649.0,17003603.0,1350000.0,,,2652096.0,,-2005409.0,,-1341500.0,-1.02,,,,-1.09,,,,1032.0,20000.0,56985.0,,,,,,0.0,17003603.0,3908698.0,1990063.0,300000.0,150000.0,,4642159.0,21266.0,2254.0,,,-1302350.0,,975025.0,975025.0,1317778.0,
2015-06-30,2015-08-12,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,0.0,43471.0,33596.0,15437579.0,2895276.0,13659878.0,,,,1581.0,,,2895276.0,,7044463.0,9510691.0,,,724.0,239.0,41763.0,,,9407.0,,2450.0,2149.0,-2118314.0,0.0,,,,,,,,,,,,,587.0,,,,55467.0,15437579.0,672.0,15382112.0,1200000.0,,,,,,,628660.0,0.45,,,,0.22,,,,746.0,,64099.0,,,,,,0.0,15382112.0,,,,,,,26936.0,1904.0,,,668831.0,,,2783384.0,1408242.0,
2015-09-30,2015-11-13,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,0.0,61403.0,28510.0,13610722.0,2957554.0,12927095.0,,,,1581.0,,,2957554.0,,6373957.0,9510692.0,,,740.0,246.0,64848.0,,,8959.0,,1050.0,1078.0,-696645.0,0.0,,,,,,,,,,,,,826.0,,,,72853.0,13610722.0,570.0,13537869.0,1200000.0,,,,,,,-1907314.0,-1.56,,,,-1.54,,,,715.0,,57295.0,,,,,,0.0,13537869.0,,,,,,,26422.0,1535.0,,,-1873104.0,,,-1179075.0,1224457.0,
2015-12-31,2016-03-24,10-K,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,0.0,74941.0,118848.0,13210600.0,4322372.0,11219734.0,-3893713.0,,,1801.0,,,4322372.0,,11042106.0,4500000.0,,520.0,2766.0,151.0,89122.0,,0.0,7927.0,,6650.0,6117.0,-6916714.0,0.0,22856.0,-350.0,0.0,,-96.0,-1202800.0,,,,0.0,,,3669.0,,,,85497.0,13210600.0,2377.0,13125103.0,1350000.0,,0.0,1980509.0,,-5874222.0,,-6476672.0,-3.48,,,,-5.53,,,,3140.0,20000.0,285261.0,,,,,,0.0,13125103.0,11129688.0,9882640.0,900000.0,750000.0,,11863149.0,101338.0,1197.0,,,-6304807.0,,2497914.0,2497914.0,1305753.0,
2016-03-31,2016-05-11,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,63846.0,22545.0,11875791.0,3071984.0,10885881.0,-333853.0,,,1801.0,,,,,11457865.0,2500000.0,,484.0,2592.0,751.0,23616.0,,,7621.0,,700.0,958.0,-1660068.0,0.0,-65506.0,350.0,,,600.0,-1250388.0,,,,0.0,,,5851.0,,,,73900.0,11875791.0,451.0,11801891.0,1350000.0,,,41138.0,,-374991.0,,-1364350.0,-1.0,,,,-0.98,,,,530.0,20000.0,50619.0,,,,,,350.0,11801891.0,463315.0,422177.0,50000.0,50000.0,,463315.0,26135.0,1607.0,,,-1337347.0,,313578.0,313578.0,1360440.0,
2016-06-30,2016-08-12,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,59525.0,24275.0,14966415.0,1674775.0,11785702.0,,,,1801.0,,,1674775.0,,10960477.0,2500000.0,,,1587.0,542.0,47731.0,,,9000.0,,350.0,872.0,-916739.0,0.0,,,,,,,,,,,,,9076.0,,,,70992.0,14966415.0,485.0,14895423.0,1400000.0,,,,,,,2630523.0,1.91,,,,1.9,,,,1528.0,,53295.0,,,,,,350.0,14895423.0,,,,,,,26135.0,284.0,,,2659703.0,,,3565429.0,1374725.0,
2016-09-30,2016-11-10,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,78148.0,27045.0,14279617.0,263127.0,12934330.0,,,,1801.0,,,,,8197457.0,5000000.0,,,2506.0,1143.0,76717.0,,,9163.0,,0.0,771.0,-231598.0,0.0,,,,,,,,,,,,,9059.0,,,,89834.0,14279617.0,541.0,14189783.0,1400000.0,,,,,,,-705640.0,-0.5,,,,-0.5,,,,411.0,,61441.0,,,,,,350.0,14189783.0,,,,,,,32673.0,71.0,,,-673185.0,,,-453152.0,1400000.0,
2016-12-31,2017-03-24,10-K,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,102301.0,102306.0,18660756.0,699804.0,15061018.0,218716.0,15760822.0,,1801.0,,,699804.0,,10760822.0,5000000.0,,454.0,10786.0,1488.0,102092.0,,2099689.0,10437.0,,1750.0,3451.0,-2271270.0,0.0,12970.0,350.0,0.0,,1337.0,-3622568.0,,0.0,,2099689.0,,,32944.0,0.0,,,2215078.0,18660756.0,2046.0,16445678.0,1400000.0,102306.0,106.0,451151.0,,-232435.0,,5178315.0,2.07,,,,3.6399999999999997,,,,2888.0,20000.0,284361.0,,,,,,350.0,16445678.0,1418858.0,967707.0,150000.0,100000.0,,1418858.0,114167.0,0.0,,1750.0,5335209.0,,5217980.0,5217980.0,1387568.0,
2017-03-31,2017-05-12,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,84751.0,25388.0,11926812.0,799753.0,10396473.0,-4564596.0,,,1181.0,,,799753.0,,7196226.0,4000000.0,,,5695.0,1753.0,117145.0,,122065.0,7579.0,,1050.0,434.0,288081.0,0.0,15053.0,0.0,0.0,,265.0,99949.0,,,,-1977624.0,,,10633.0,,,,216082.0,11926812.0,508.0,11710730.0,1100000.0,,0.0,-2824369.0,,-1740227.0,,-1910579.0,-1.48,,,,-1.1,,,,438.0,20000.0,45520.0,,,,,,350.0,11710730.0,543667.0,3368036.0,50000.0,350000.0,,543667.0,18752.0,905.0,,,-1880112.0,,-2185571.0,-2185571.0,1292222.0,
2017-06-30,2017-08-11,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,23921.0,19500.0,9554268.0,1192186.0,8647690.0,,,,1181.0,,,1192186.0,,6239876.0,3600000.0,,,6656.0,2236.0,24960.0,,0.0,6218.0,,350.0,663.0,368482.0,0.0,,,,,,,,,,,,,11987.0,,,,31717.0,9554268.0,390.0,9522551.0,950000.0,19500.0,0.0,,,,,-559826.0,-0.57,,,,-0.63,,,,494.0,,33306.0,,,,,,0.0,9522551.0,,,,,,,12259.0,665.0,,350.0,-536427.0,,,-923902.0,987912.0,
2017-09-30,2017-11-13,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,56120.0,17818.0,9574885.0,1411924.0,8390491.0,,,,1181.0,,,1411924.0,,6402415.0,3400000.0,,,7678.0,2446.0,44548.0,,0.0,6242.0,,0.0,507.0,-50843.0,0.0,,,,,,,,,,,,,14821.0,426.0,,,63907.0,9574885.0,356.0,9510978.0,950000.0,17818.0,0.0,,,,,-11573.0,-0.01,,,,-0.01,,,,500.0,,40970.0,,,,,,0.0,9510978.0,,,,,,,21789.0,366.0,,0.0,9809.0,,,38153.0,950000.0,
2017-12-31,2018-03-21,10-K,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,72695.0,78805.0,8414140.0,1701275.0,7217601.0,-6841946.0,8918876.0,-6841946.0,1181.0,,,1701275.0,,6418876.0,2500000.0,,,27445.0,2319.0,61713.0,,0.0,5493.0,,2450.0,2209.0,229715.0,0.0,-40379.0,-350.0,88.0,,831.0,1001471.0,,0.0,,-2099689.0,107.0,,53398.0,88.0,,,79700.0,8414140.0,1576.0,8334440.0,900000.0,78805.0,0.0,-4964755.0,,-1877191.0,,-3810988.0,-3.06,,,,-3.24,,,,1929.0,20000.0,192760.0,0.0,,,,,0.0,8334440.0,1021619.0,5986374.0,100000.0,600000.0,,1021619.0,71759.0,66.0,,2450.0,-3697106.0,,-3364926.0,-3364926.0,1027534.0,
