end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilities,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableCurrent,AccretionExpense,AdditionalPaidInCapital,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,BusinessAcquisitionsProFormaNetIncomeLoss,Capital,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostsAndExpenses,CostsAndExpensesRelatedParty,CurrentIncomeTaxExpenseBenefit,DebtInstrumentDecreaseForgiveness,DebtInstrumentFaceAmount,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentUnamortizedDiscount,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromOfficersOrStockholdersCurrent,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,GainLossOnFairValueHedgeIneffectivenessNet,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedInvestmentIncomeReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedPartiesCurrent,InterestExpense,InterestPaid,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansAndLeasesReceivableRelatedParties,LoansAndLeasesReceivableRelatedPartiesPeriodIncreaseDecrease,LoansPayableCurrent,MembersEquity,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,NondebtorReorganizationItemsNetGainLossOnSettlementOfOtherClaims1,NonoperatingIncomeExpense,NotesPayable,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherExpenses,OtherGeneralAndAdministrativeExpense,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PreferredUnitsIssued,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromOtherDebt,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RelatedPartyTransactionDueFromToRelatedParty,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RetainedEarningsAccumulatedDeficit,Revenues,ServicingLiabilityAtAmortizedValueBalance,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,SharesOutstanding,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockRepurchasedAndRetiredDuringPeriodValue,TreasuryStockValueRetiredCostMethod,UnrecognizedTaxBenefitsResultingInNetOperatingLossCarryforward,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,IncreaseDecreaseInPrepaidExpense,OtherLoansPayable,PrepaidExpenseCurrentAndNoncurrent,RestrictedCashEquivalents,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities
2015-04-30,2015-07-29,10-K,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,5670.0,,,,26655.0,,,,,,,0.0,,,,0.001,75000000.0,760000.0,760000.0,760.0,,,,,,,,,,0.0,,,,,,,,-0.03,,,,,,,3022.0,,,,,,,,,,-3274.0,,,,,,62088.0,0.0,62088.0,,,56418.0,,,,,-25060.0,,,,,,25060.0,,,,,,,,,,,,,,,22038.0,-25060.0,,,28334.0,-89503.0,,,,,,,-62089.0,,,,,,,,,,,760000.0,,,,,,
2015-07-31,2015-09-04,10-Q,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,9415.0,,,,26655.0,,,,,,,,,,,0.001,75000000.0,760000.0,760000.0,760.0,,,,,,,,,,,,,,,,,,-0.02,,,,,,,1668.0,,,,,,,,,,3745.0,,,,,,74310.0,,74310.0,,,64895.0,,,,,-12222.0,,,,,,12222.0,,,,,,,,,,,,,,,10554.0,-12222.0,,,8477.0,-101725.0,,,,,,,-74310.0,,,,,,,,,,,760000.0,,,,,,
2015-10-31,2015-12-11,10-Q,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,13245.0,,,,26655.0,,,,,,,,,,,0.001,75000000.0,760000.0,760000.0,760.0,,,,,,,,,,,,,,,,,,-0.01,,,,,,,469.0,,,,,,,,,,,,,,,,79990.0,,79990.0,,,66745.0,,,,,,,,,,,5680.0,,,,,,,,,,,,,,,5211.0,-5680.0,,,,-107405.0,,,,,,,-79990.0,,,,,,,,,,,760000.0,,,,,,
2016-01-31,2016-03-10,10-Q,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,9714.0,,,,26655.0,,,,,,,,,,,0.001,75000000.0,760000.0,760000.0,760.0,,,,,,,,,,,,,,,,,,-0.01,,,,,,,945.0,,,,,,,,,,,,,,,,86082.0,,86082.0,,,76368.0,,,,,,,,,,,6092.0,,,,,,,,,,,,,,,5147.0,-6092.0,,,,-113497.0,,,,,,,-86082.0,,,,,,,,,,,760000.0,,,,,,
2016-04-30,2016-08-15,10-K,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,10358.0,,,4688.0,26655.0,,,0.0,,,,0.0,0.0,,,0.001,150000000.0,760000.0,760000.0,760.0,,,,,,,,,,0.0,120091.0,-42032.0,,,,82318.0,,-0.04,-0.04,0.35,,,,,3926.0,,,0.0,0.0,,,,25900.0,,4688.0,,,,,0.0,92676.0,0.0,92676.0,,,82318.0,,,,0.0,-30588.0,-30588.0,,,,,30588.0,,,,3926.0,,,,,,,,,,,26662.0,-30588.0,,,25900.0,-120091.0,0.0,,,,,-92676.0,-92676.0,,,,,,,,,760000.0,,760000.0,,,,,,
2016-07-31,2016-09-06,10-Q,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,14374.0,,,4016.0,26655.0,,,,,,,0.0,0.0,,,0.001,75000000.0,760000.0,760000.0,760.0,,,,,,,,,,,,,,,,,,-0.01,0.01,,,,,,800.0,,,0.0,0.0,,,,0.0,,4016.0,,,,,0.0,96692.0,,96692.0,,,82318.0,,,,,-4016.0,,,,,,4016.0,,,,800.0,,,,,,,,,,,3216.0,-4016.0,,,0.0,-124107.0,0.0,,,,,,-96692.0,,,,,,,,,760000.0,,760000.0,,,,,,
2016-10-31,2016-12-15,10-Q,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,13326.0,,,,26655.0,,,,,,,0.0,,,,0.001,75000000.0,760000.0,760000.0,760.0,,,,,,,,,,,,,,,,,,-0.01,0.0,,,,,,1264.0,,,0.0,,,,,,,,,,,,,107273.0,,107273.0,,,93947.0,,,,,-10582.0,,,,,,10582.0,,,,,,,,,,,,,,,9318.0,-10582.0,,,,-134688.0,,,,,,,-107273.0,,,,,,,,,76000000.0,,760000.0,,,,,,
2017-01-31,2017-03-13,10-Q,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,11884.0,,,,26655.0,,,,,,,0.0,,,,0.001,75000000.0,760000.0,760000.0,760.0,,,,,,,,,,,,,,,,,,-0.01,0.0,,,,,,757.0,,,,,,,,,,,,,,,,112581.0,,112581.0,,,100697.0,,,,,-5308.0,,,,,,5308.0,,,,,,,,,,,,,,,4551.0,-5308.0,,,,-139996.0,,,,,,,-112581.0,,,,,,,,,76000000.0,,760000.0,,,,,,
2017-04-30,2017-09-28,10-K,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,18270.0,,,7912.0,-48585.0,,0.0,0.0,,,,0.0,0.0,,,0.001,300000000.0,76000000.0,76000000.0,76000.0,,,,,,,,,,0.0,147382.0,-51584.0,,,,101697.0,101697.0,,0.0,0.35,0.35,,,,27291.0,-27291.0,,0.0,0.0,0.0,-51584.0,7912.0,19379.0,,,,,,,0.0,119967.0,0.0,119967.0,,,,,19379.0,,-19379.0,-27291.0,-27291.0,,,,,27291.0,,198000.0,,3178.0,0.001,75000000.0,0.0,0.0,0.0,,,,,19379.0,24113.0,-27291.0,,,,-147382.0,0.0,,0.0,0.0,,-119967.0,-119967.0,,,,,,,,-51584.0,76760000.0,,,,,,,,
2017-07-31,2017-10-16,10-Q,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,14530.0,,,-3741.0,26655.0,,,0.0,,,,0.0,0.0,,,0.001,150000000.0,760000.0,760000.0,760.0,,,,,,,,,,,,,,,,127461.0,,,0.0,,,,,,18605.0,,,0.0,0.0,,,-3741.0,25764.0,,,,,,,0.0,,0.0,141990.0,,,,,25764.0,,-25764.0,-22023.0,-22023.0,,,,,22023.0,-22023.0,,,18605.0,,,,,,,,,,25764.0,3418.0,-22023.0,,,,-169405.0,0.0,,,,,-141990.0,-141990.0,,,,,,,,,76760000.0,,,,,,,,
2017-10-31,2019-04-11,10-Q,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,10574.0,,,,-48585.0,,0.0,,,,,0.0,,,,0.001,300000000.0,76000000.0,76000000.0,76000.0,,,,,,,,,,,,,,,,,151452.0,,0.0,,,,,,1840.0,,,0.0,,,,,,,,,,,,,162026.0,0.0,,,,,,,,,-20036.0,-20036.0,,,,,20036.0,-20036.0,,,,0.001,75000000.0,0.0,0.0,0.0,,,,,,18196.0,,,,,-189441.0,,,,,,-162026.0,-162026.0,,,,,,,,,76000000.0,,,,,,,,
2018-01-31,2019-04-11,10-Q,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,5703.0,,,,1415.0,,0.0,,,,,0.0,,,,0.001,300000000.0,26000000.0,26000000.0,26000.0,,,,,,,,,,,,,,,,,164348.0,,0.0,,,,,,2150.0,,,,,,,,,,,,,,,,170051.0,0.0,,,,,,,,,-8025.0,-8025.0,,,,,8025.0,-8025.0,,,,0.001,75000000.0,0.0,0.0,0.0,,,,,,5875.0,,,,,-197466.0,,,,,,-170051.0,-170051.0,,,,,0.0,,,,36869565.0,,,,,,,,
2018-04-30,2021-02-25,10-K,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,6253.0,,6253.0,,1415.0,,0.0,,,,,0.0,0.0,,,0.001,300000000.0,26000000.0,26000000.0,26000.0,,,,,,,,,,0.0,41583.0,41583.0,,,,164348.0,164348.0,,0.0,,0.304,,,,22770.0,-50634.0,,0.0,0.0,25394.0,-15393.0,-12017.0,,,,,,,0.0,0.0,170601.0,0.0,170601.0,,,,,62651.0,0.0,-62651.0,-50634.0,-50634.0,,0.0,,0.0,50634.0,-50634.0,233000.0,,,0.001,75000000.0,0.0,0.0,0.0,,,,,62651.0,27864.0,-50634.0,,,,-198016.0,0.0,,0.0,0.0,,-170601.0,-170601.0,,,,,0.0,,,10001.0,53945205.0,,,,,,,,
2018-07-31,2021-06-08,10-Q,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,,,6253.0,,1415.0,,0.0,,,,,0.0,0.0,,,0.001,300000000.0,26000000.0,26000000.0,26000.0,,,,,,,,,,,,,,,,164348.0,164348.0,,0.0,,,,,,0.0,,,,0.0,,,0.0,,,,,,,0.0,0.0,170601.0,0.0,170601.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,0.001,75000000.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,-198016.0,0.0,,,,,-170601.0,-170601.0,,,,,,,,,76000000.0,,,,,,,,
2018-10-31,2021-06-08,10-Q,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,,,5103.0,,-48585.0,,3582.0,,,,,3582.0,,,,0.001,300000000.0,76000000.0,76000000.0,76000.0,,,,,,,,,,,,,,,,170080.0,170080.0,,0.0,,,,,,100.0,,,,,,,,,,,,,,0.0,,175183.0,3582.0,175183.0,,,,,,,,-1000.0,-1000.0,,,,,1000.0,-1000.0,,,,0.001,75000000.0,0.0,0.0,0.0,,,,,,900.0,,,,,-199016.0,0.0,,,,,-171601.0,-171601.0,,,0.0,,,,,,34451613.0,,,,,,,,
2019-01-31,2021-06-08,10-Q,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,,,7503.0,,-48585.0,,1960.0,,,,,1960.0,,,,0.001,300000000.0,76000000.0,76000000.0,76000.0,,,,,,,,,,,,,,,,170080.0,170080.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,177583.0,1960.0,177583.0,,,,,,,,-4022.0,-4022.0,,0.0,,,4022.0,-4022.0,,,,0.001,75000000.0,0.0,0.0,0.0,,,,,,4022.0,,,,,-203038.0,0.0,,,,,-175623.0,-175623.0,,,,,,,,,76000000.0,,,,,,,,
2019-04-30,2021-06-25,10-K,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,5159.0,,,,0.0,,0.0,,,,,0.0,0.0,,,0.001,300000000.0,76000000.0,76000000.0,76000.0,,,,,,,,,,0.0,48857.0,48857.0,,,,170080.0,170080.0,,0.0,,,,,,2314.0,,,0.0,0.0,25394.0,-7274.0,-1094.0,,,,,,,641.0,0.0,205239.0,0.0,205239.0,,,,,35732.0,0.0,-35732.0,-34638.0,-34638.0,,-641.0,,30000.0,33997.0,-33997.0,242000.0,,,0.001,75000000.0,0.0,0.0,0.0,,,,30000.0,5732.0,31683.0,-34638.0,,,,-281239.0,0.0,,,,,-205239.0,-205239.0,,,0.0,,,,,-7274.0,59698630.0,,,,,,,,
2019-07-31,2021-07-29,10-Q,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,10246.0,,,,0.0,,0.0,,,,,0.0,0.0,,,0.001,300000000.0,76000000.0,76000000.0,76000.0,,,,,,,30000.0,0.1,,,,,,,,170080.0,170080.0,,0.0,,,,,,70.0,,,,0.0,,,5087.0,,,,,,,756.0,0.0,210326.0,0.0,210326.0,,,,,0.0,0.0,0.0,-5087.0,-6928.0,,-756.0,,30000.0,4331.0,-4331.0,,,,0.001,75000000.0,0.0,0.0,0.0,0.0,,,,0.0,4261.0,-5087.0,,,,-286326.0,0.0,,,,,-210326.0,-212167.0,,,,,,,,,76000000.0,,,,,,,,
2019-10-31,2021-07-29,10-Q,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,11002.0,,,,0.0,,0.0,,,,,0.0,,,,0.001,300000000.0,76000000.0,76000000.0,76000.0,,,,,,,30000.0,0.1,,,,,,,,170080.0,170080.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,756.0,,211082.0,0.0,211082.0,,,,,,,,-756.0,-756.0,,-756.0,,30000.0,0.0,0.0,,,,0.001,75000000.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,-287082.0,0.0,,,,,-211082.0,-212923.0,,,,,,,,,76000000.0,,,,,,,,
