end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrentAndNoncurrent,AccruedInvestmentIncomeReceivable,AdditionalPaidInCapitalCommonStock,AssetManagementCosts,Assets,AssetsHeldInTrust,AssetsUnderManagementCarryingAmount,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CashSegregatedUnderCommodityExchangeActRegulation,CommissionsPayableToBrokerDealersAndClearingOrganizations,Deposits,DepreciationAmortizationAndAccretionNet,DerivativeAssetFairValueGrossLiability,DerivativeCollateralRightToReclaimCash,DerivativeCollateralRightToReclaimSecurities,DerivativeFairValueAmountOffsetAgainstCollateralNet,DerivativeFairValueOfDerivativeAsset,DerivativeFairValueOfDerivativeAssetAmountNotOffsetAgainstCollateral,DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral,DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral,DistributedEarnings,DividendIncomeOperating,DividendsReceivable,DueFromAffiliates,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,FinancialInstrumentsOwnedAtFairValue,FinancialInstrumentsOwnedDerivativesAndOtherContractualAgreementsAtFairValue,FinancialInstrumentsOwnedUSGovernmentAndAgencyObligationsAtFairValue,FloorBrokerageExchangeAndClearanceFees,GainLossOnInvestments,GainLossOnSaleOfCommodityContracts,GainLossOnSaleOfDebtInvestments,GainLossOnSaleOfDerivatives,GainLossOnSaleOfInvestments,GainLossOnSaleOfSecuritiesNet,GeneralPartnersCapitalAccount,GeneralPartnersCapitalAccountUnitsOutstanding,GoodFaithAndMarginDepositsWithBrokerDealers,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInBrokerageReceivables,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInPayablesToBrokerDealers,InterestAndDividendIncomeOperating,InterestExpense,InterestIncomeExpenseNet,InterestIncomeOperating,InterestPaid,InterestPaidNet,InvestmentCompanyContractualFeeWaived,InvestmentCompanyExpenseRatioIncludingVoluntaryFeeWaiver,InvestmentCompanyGainLossOnInvestmentPerShare,InvestmentCompanyGeneralPartnerAdvisoryService,InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTotalReturn,InvestmentIncomeNet,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnderlyingFaceAmountAtMarketValue,InvestmentOwnedUnrecognizedUnrealizedAppreciation,InvestmentOwnedUnrecognizedUnrealizedAppreciationDepreciationNet,InvestmentOwnedUnrecognizedUnrealizedDepreciation,InvestmentsInAndAdvancesToAffiliatesAtFairValue,Liabilities,LiabilitiesAndStockholdersEquity,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsOutstanding,ManagementFeePayable,MarketableSecuritiesRealizedGainLoss,MarketableSecuritiesUnrealizedGainLoss,MinorityInterestDecreaseFromRedemptions,NetAssetValuePerShare,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,OperatingExpenses,OperatingIncomeLoss,PartnersCapitalAccountContributions,PartnersCapitalAccountReturnOfCapital,PayablesToBrokerDealersAndClearingOrganizations,PaymentsForProceedsFromInvestments,PaymentsForPurchaseOfSecuritiesOperatingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,PaymentsOfDividends,PaymentsToAcquireInvestments,PaymentsToAcquireMarketableSecurities,ProceedsFromIssuanceOfCommonStock,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProceedsFromSaleOfSecuritiesOperatingActivities,ProfessionalFees,ProfitLoss,RealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,RealizedInvestmentGainsLosses,ReceivablesFromBrokersDealersAndClearingOrganizations,ReceivablesFromClearingOrganizations,RestrictedCashAndCashEquivalents,RestrictedCashAndInvestments,RestrictedInvestments,RestrictedInvestmentsPercentOfNetAssets,RetainedEarningsAccumulatedDeficit,SharesIssued,SharesOutstanding,StockholdersEquity,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TaxBasisOfInvestmentsUnrealizedAppreciationDepreciationNet,TreasuryStockValue,UnrealizedGainLossOnCommodityContracts,UnrealizedGainLossOnDerivatives,UnrealizedGainLossOnInvestments,UnrealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,UnrealizedGainLossOnSecurities,UnrealizedGainOnSecurities,UnrealizedLossOnSecurities,UnrecognizedTaxBenefits,MarketableSecuritiesRealizedGainLossExcludingOtherThanTemporaryImpairments,MarketableSecuritiesUnrealizedGainLossExcludingOtherThanTemporaryImpairments
2012-06-30,2012-08-03,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,313536.0,,562239704.0,1189295.0,591956117.0,,,,40393643.0,,,,,,,,378.0,,,,,,,,,,,,,,,,-5.22,,16674150.0,529958076.0,58830.0,-117064433.0,,,-112942830.0,,4305.0,986.0,,587025869.0,,,,,,-167094088.0,,,,,,127672.0,,,,,,,,,,,,,,-1120453.0,,,,,,,,,313914.0,591956117.0,,,,,,,,,,,,-118184886.0,,1248125.0,,,,378.0,,,,,,,,,,,,,-118184886.0,,-112938525.0,,,,,35634060.0,,29401513.0,24000000.0,24000000.0,591642203.0,-48909202.0,3600000.0,-1400000.0,85497890.0,,,5000000.0,134407092.0,,,,-4115770.0,-4125908.0,,-10138.0,,,,,
2012-09-30,2012-11-02,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,754915.0,,614358054.0,1133669.0,685101134.0,,,,7958938.0,,,,,,,,69.0,,,,,,,,,,,,,,,,1.48,,47994540.0,623921916.0,18462.0,36621639.0,,,5297890.0,,537.0,1045.0,,679875394.0,,,,,,87705034.0,,,,,,117176.0,,,,,,,,,,,,,,-1034955.0,,,,,,,,,5753897.0,685101134.0,,,,,,,,,,,,35586684.0,,1152131.0,,,,,,,,,,,,,,,,,35586684.0,,5298427.0,,,,,36968200.0,,64988138.0,26000000.0,26000000.0,679347237.0,52118350.0,4200000.0,2000000.0,109783304.0,,,2200000.0,57664954.0,,,,31320390.0,31323212.0,,2822.0,,,,,
2012-12-31,2013-03-01,10-K,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,491517.0,,,4906032.0,785359032.0,0.0,,,5313345.0,-8753657.0,,,,0.0,,,68.0,,-489008.0,,,,-239360.0,51817610.0,,,,0.0,,,,,-0.14,,51578250.0,728467437.0,110295.0,-56756664.0,,6193.0,-109731200.0,,6193.0,1040.0,40.0,785359032.0,153406.0,,-8552.0,,,95124630.0,,-8552.0,,,,657180.0,,,,,,,,,,,,,,-5785797.0,,,,671600000.0,51578250.0,51578250.0,,,10887165.0,785359032.0,774470827.0,29800000.0,,,,,,327779318.0,327779318.0,-336532975.0,-336532975.0,-62542461.0,,5016327.0,,,,68.0,,,234861940.0,,,,2704915354.0,562641258.0,2482990632.0,,,,-62728791.0,,-109725007.0,,,,,42604309.0,,,,29800000.0,774471867.0,266079471.0,20800000.0,12000000.0,562641258.0,328808262.0,266079471.0,8800000.0,233832996.0,,,,51471910.0,51529115.0,,57205.0,51817610.0,239360.0,,,
2013-03-31,2013-05-03,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,351764.0,,,1200841.0,568770638.0,0.0,,,3065166.0,-2248179.0,,,,0.0,,,3471.0,,-120340.0,,,,,,,,,0.0,,,,,1.08,,64756290.0,495949194.0,31045.0,28414014.0,,5557.0,15252500.0,,5557.0,1083.0,,563770650.0,-139753.0,,3403.0,,,-211469934.0,,,,,,120340.0,,,,,,,,,,,,,,-1111546.0,,,,,,,,,5768705.0,568770638.0,,,,,,,,-243754512.0,,241506333.0,241506333.0,27302468.0,,1231886.0,,,,,,,249117606.0,,,,500874558.0,5363094.0,728496627.0,,,,27302468.0,,15258057.0,,,,,27774175.0,,,,20800000.0,563001933.0,-238772402.0,200000.0,-9000000.0,5363094.0,-238772402.0,-211469934.0,9200000.0,244135496.0,,,,13178040.0,13155957.0,,-22083.0,64756290.0,,,,
2013-06-30,2013-08-08,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,246628.0,,,823254.0,368845379.0,0.0,,,22751663.0,,,,,0.0,,,7562.0,,,,,,,,,,,,,,,,-1.11,,-3889590.0,349983306.0,47907.0,-22856567.0,,,45801470.0,,8703.0,1038.0,,368845379.0,,,,,,-194410744.0,,,,,,84616.0,,,,,,,,,,,,,,-786545.0,,,,,,,3889590.0,,254190.0,368845379.0,,,,,,,,,,,,-23643112.0,,871161.0,,,,,,,,,,,,,,,,,-23643112.0,,45810173.0,,,,,15550700.0,,,,14200000.0,368591189.0,-194410744.0,400000.0,-6600000.0,10086208.0,,,7000000.0,180853840.0,,,,-68645880.0,-68666740.0,,-20860.0,,,,,
2013-09-30,2013-11-05,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,223719.0,,,677957.0,359673960.0,0.0,,,1110768.0,,,,,0.0,,,7112.0,,,,,,,,,,,,,,,,1.54,,14568870.0,343994322.0,9158.0,21761068.0,,,3306670.0,,2026.0,1100.0,,359673960.0,,,,,,-11148009.0,,,,,,36274.0,,,,,,,,,,,,,,-650841.0,,,,,,,,,2230780.0,359673960.0,,,,,,,,,,,,21110227.0,,687115.0,,,,7112.0,,,,,,,,,,,,,21110227.0,,3308696.0,,,,,15297480.0,,,,13000000.0,357443180.0,-11148009.0,1200000.0,-1200000.0,33487296.0,,,2400000.0,65745532.0,,,,18458460.0,18452372.0,,-6088.0,,,,,
2013-12-31,2014-03-03,10-K,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,204335.0,,,3325652.0,312360942.0,0.0,,5777084.0,5777084.0,463739.0,,,,0.0,,,2980.0,,-265526.0,239810.0,,,-239810.0,14849400.0,14609590.0,,,0.0,,,,,1.89,,,291974268.0,89868.0,33212079.0,,,67259780.0,67259780.0,17091.0,1108.0,40.0,312360942.0,-287182.0,-287182.0,2912.0,,,-47289224.0,,2912.0,,,,289762.0,30.0,,,,,,,,,,,,,-3751116.0,,,,465100000.0,,14609590.0,,,2206986.0,312360942.0,310152848.0,11200000.0,,17091.0,-42914.0,,,-501828764.0,-501828764.0,502292503.0,502292503.0,29460963.0,,3415520.0,-3150024.0,,,1999671.0,,1551756156.0,550765362.0,,,,1551756156.0,48936598.0,1990488699.0,,1990488699.0,3325652.0,27115273.0,67276871.0,67276871.0,,,,,10616320.0,,,,,310153956.0,-464317911.0,,,48936598.0,-491433184.0,-464317911.0,200000.0,540369782.0,,2000000.0,,-36968660.0,-36968660.0,-37011574.0,-42914.0,,,,,
2014-03-31,2014-05-09,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,194342.0,,,561230.0,311839484.0,0.0,,,2865122.0,-2911962.0,,,,0.0,,,7602.0,,-46021.0,,,,,24984600.0,,,,0.0,,,,,0.98,,,283989762.0,5932.0,11182077.0,,,803510.0,,86.0,1147.0,40.0,311839484.0,-9993.0,,4622.0,,,-516214.0,,4622.0,,,,46021.0,,,,,,,,,,,,,,-521141.0,,,,,,24984600.0,,,2201742.0,311839484.0,309636595.0,10800000.0,,,,,,-11177150.0,-11177150.0,,8265188.0,10660936.0,,567162.0,-521141.0,,,1999798.0,,,11177150.0,,,,281965445.0,,289999656.0,,,,10660936.0,,803596.0,,,,,10060215.0,,,,,309637742.0,-516214.0,,,,-11177150.0,-516214.0,200000.0,11177150.0,,,,10375010.0,10378481.0,,3471.0,,,,,
2014-06-30,2014-08-06,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,190143.0,,,577831.0,315702684.0,0.0,,,3658851.0,,,,,0.0,,,593.0,,,0.0,0.0,0.0,,13053980.0,13053980.0,,,0.0,,,,,2.07,,,298989853.0,16818.0,22209921.0,,,34147870.0,,282.0,1230.0,40.0,315702684.0,,,,,,3874383.0,,,,,,31472.0,,,,,,,,,,,,,,-563177.0,,,,,,13053980.0,,,2190559.0,315702684.0,313510895.0,10200000.0,,,,,,,,,,21646744.0,,594649.0,-563177.0,,,1999823.0,,,,,,,,,,,,,,,34148152.0,,,,,8442720.0,,,,,313512125.0,3874383.0,,,,,,,17772361.0,,,,-11930620.0,-11938231.0,,-7611.0,,,,,
2014-09-30,2014-11-05,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,148320.0,,,454356.0,245412894.0,0.0,,,21859669.0,,,,,0.0,,,5169.0,19441040.0,,,,,,,,,,0.0,,,,,-3.71,,,242994265.0,15232.0,-30241696.0,,,2258200.0,,1886.0,1081.0,40.0,245412894.0,,,,,,-70252669.0,,,,,,18167.0,,,,,,,,,,,,,,-451421.0,,,,,,-19441040.0,,,2153438.0,245412894.0,243258375.0,9000000.0,,,,,,,,,,-30693117.0,,469588.0,-451421.0,,,1999949.0,,,,,,,,,,,,,,,2260086.0,,,,,8070920.0,,,,,243259456.0,-70252669.0,,,33371702.0,,,,72931254.0,,,,-32495020.0,-32501782.0,,-6762.0,,,,,
