end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilities,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilities,AccountsPayableRelatedPartiesCurrent,AccumulatedAmortizationOfOtherDeferredCosts,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AcquisitionCosts,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalStockIssuedOwnshareLendingArrangementIssuanceCosts,AdvanceRoyalties,AmortizationOfDebtDiscountPremium,AmortizationOfIntangibleAssets,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AssetImpairmentCharges,Assets,AssetsCurrent,BusinessCombinationConsiderationTransferred1,BusinessCombinationStepAcquisitionEquityInterestInAcquireeFairValue1,CapitalUnitsAuthorized,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashFDICInsuredAmount,ClassOfWarrantOrRightOutstanding,ClosedBlockOperationsResultsBeforeIncomeTaxes,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ContractWithCustomerLiabilityCurrent,ConversionOfStockAmountIssued1,ConvertibleDebt,ConvertibleDebtCurrent,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentDecreaseForgiveness,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountCurrent,DeferredFederalIncomeTaxExpenseBenefit,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsImpairmentLosses,DeferredTaxAssetsValuationAllowance,DepositsAssetsCurrent,Depreciation,DepreciationAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,ExplorationExpense,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsAmortizationExpenseNextRollingTwelveMonths,FiniteLivedIntangibleAssetsAmortizationExpenseRollingAfterYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseRollingYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseRollingYearFour,FiniteLivedIntangibleAssetsAmortizationExpenseRollingYearThree,FiniteLivedIntangibleAssetsAmortizationExpenseRollingYearTwo,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,ImpairmentOfIntangibleAssetsExcludingGoodwill,ImpairmentOfInvestments,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromOperationsBeforeExtraordinaryItemsPerBasicAndDilutedShare,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInDeposits,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInNotesReceivableCurrent,IncreaseDecreaseInOperatingLiabilities,IncreaseDecreaseInOtherNoncurrentAssets,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidExpense,InterestAndOtherIncome,InterestExpense,InterestIncomeExpenseNet,InterestIncomeOperating,InterestIncomeOther,InterestPaid,Investments,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermDebt,LongTermDebtCurrent,MineralPropertiesAccumulatedImpairment,MineralRights,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAllocatedToGeneralPartners,NotesPayable,OperatingExpenses,OperatingIncomeLoss,OtherAssets,OtherExpenses,OtherIncome,OtherLiabilities,OtherNoncashIncomeExpense,OtherNotesPayable,OtherOperatingIncomeExpenseNet,OwnshareLendingArrangementSharesIssued,PaymentsOfStockIssuanceCosts,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockLiquidationPreference,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpense,PresentValueOfFutureInsuranceProfitsAmortizationExpenseYearFive,PresentValueOfFutureInsuranceProfitsAmortizationExpenseYearFour,PresentValueOfFutureInsuranceProfitsAmortizationExpenseYearOne,PresentValueOfFutureInsuranceProfitsAmortizationExpenseYearThree,PresentValueOfFutureInsuranceProfitsAmortizationExpenseYearTwo,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RelatedPartyDepositLiabilities,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RetainedEarningsAccumulatedDeficit,Revenues,RoyaltyExpense,ShareBasedCompensation,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,TemporaryEquityRedemptionValue,TemporaryEquitySharesAuthorized,UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2012-03-31,2012-05-14,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,6665.0,,,,,,,,,,,,,,,,,,,,150313.0,-14425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20906.0,,,-20906.0,-20810.0,0.0,,,,6385.0,,,,,,,,,,,,96.0,,,96.0,,,,,,,,,,,,,,-14425.0,-20810.0,,,20906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20810.0,,,,,,,,,,,,,,,,,,,,,,,,,,12180000.0,
2012-06-30,2012-08-14,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,,,,,,519820.0,,,,,,,156277.0,136277.0,,,,,136277.0,,,775000.0,,,,,,12180.0,,,,,,,,,,,,,,,,,,-375723.0,,,,,,,,,,,,,,7554.0,,,-7554.0,-7370.0,0.0,,0.0,,,,,,,,,,,,,,184.0,,,184.0,184.0,,,,,156277.0,,,,,20000.0,,,,-7370.0,,,7554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156277.0,,,,,,,,,,,,,,,,,12180000.0,
2012-09-30,2012-11-14,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,-280.0,,,,,,,519820.0,,,,,,,117552.0,92735.0,,,,,92735.0,,,,,,,,,12180.0,,,,,,,,,,,,,,,,,,-414448.0,,0.0,28765.0,,,,,,,,,,,10025.0,,,-38790.0,-38725.0,0.0,,,,,,,,,,,,,,,,65.0,,,65.0,,,,,,117552.0,,,,,24817.0,,,,-38725.0,,,38790.0,,24817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117552.0,,,,,,,,,,,,,,,,,12180000.0,12180000.0
2012-12-31,2013-03-29,10-K,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,280.0,,,,,,519820.0,,20000.0,,,,,79761.0,54189.0,,,76000000.0,54189.0,54189.0,-110549.0,,,-104697.0,,,,12180000.0,12180.0,,,,,,,,,,,,,,,,,,-452239.0,,-0.01,64043.0,,,,,,,,,,,40937.0,,,-104980.0,-104697.0,,,,,-280.0,,,,,,,,,-5572.0,,,283.0,,,283.0,,,,,280.0,79761.0,280.0,,,,25572.0,,-5572.0,-104977.0,-104697.0,-104697.0,,104980.0,,25572.0,,,,,,-104697.0,,,,,,,,,,,,,,,,,,,,,-104697.0,,,,,,,2500.0,,79761.0,,,,,,,,,,,,,,,,12180000.0,,
2013-03-31,2013-05-14,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,,,,,,519820.0,,,,,,,71100.0,45528.0,,,76000000.0,,45528.0,-8661.0,,,,,,,,12180.0,,,,,,,,,,,,,,,,,,-460900.0,,,356.0,,,,,,,,,,,8322.0,,,-8678.0,-8661.0,0.0,-8661.0,,,,,,,,,,,,,,,17.0,,17.0,17.0,,,,,,71100.0,,,,,25572.0,,,-8661.0,-8661.0,,,8678.0,,25572.0,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,-8661.0,,,,,,,,,71100.0,,,,,,,,,,,,,,,,,12180000.0,
2013-06-30,2013-08-14,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,,,,,,519820.0,,,,,,,59729.0,34157.0,,,,,34157.0,,,,,,,,,12180.0,,,,,,,,,,,,,,,,,,-472271.0,,,,,,,,,,,,,,11382.0,,,-11382.0,-11371.0,0.0,-11371.0,0.0,,,,,,,,,,,,,,11.0,,11.0,11.0,,,,,,59729.0,,,,,25572.0,,,,-11371.0,,,11382.0,,25572.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59729.0,,,,,,,,,,,,,,,,,12180000.0,
2013-09-30,2013-11-13,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,,,,,,519820.0,,,,,,,52638.0,22681.0,,,,,22681.0,,,,,,,,,12180.0,,,,,,,,,,,,,,,,,,-479362.0,,0.0,,,,,,,,,,,,7098.0,,,-7098.0,-7091.0,0.0,-7091.0,,,,,,,,,,,,,,,7.0,,7.0,7.0,,,,,,52638.0,,,,,29957.0,,,,-7091.0,,,7098.0,,29957.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52638.0,,,,,,,,,,,,,,,,,12180000.0,
2013-12-31,2014-03-31,10-K,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,,,,,,519820.0,,20000.0,,,,29958.0,89406.0,9406.0,,,,9406.0,9406.0,-44783.0,,,-70355.0,0.001,76000000.0,12180000.0,12180000.0,12180.0,,,,,,,,,,-14139.0,,158423.0,14000.0,172423.0,,,,-522594.0,,-0.01,356.0,,,,,,,,,,,40080.0,29958.0,,-70394.0,,,,,,,,,,,,,,,4386.0,,,39.0,,,39.0,,,,,80000.0,89406.0,80000.0,,,,80000.0,,-4386.0,-40397.0,-70355.0,-70355.0,80000.0,70394.0,-70394.0,80000.0,,,,39.0,80000.0,,,,,,,,,,,,,,,,,,,,,,-70355.0,,,80000.0,,-522594.0,,2500.0,,79761.0,,,,,,,,,,,,,,-14139.0,12180000.0,12180000.0,,
2014-03-31,2014-05-20,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,1377.0,,,,,519820.0,,,,,,,106241.0,26241.0,,,,,26241.0,16835.0,,,,,,,,12180.0,,,,,,,,,,,,,,,,,,-534136.0,,0.0,10680.0,,,,,,,,,,,10680.0,,,-10680.0,-11542.0,0.0,-11542.0,,,1377.0,,,,,,,,,,,,,862.0,-862.0,,,,,,108377.0,106241.0,81377.0,27000.0,,,80000.0,27000.0,,-10165.0,-11542.0,,,10680.0,-10680.0,80000.0,,,,-862.0,80000.0,,,,,,,,,,,,,,,,,,,27000.0,27000.0,,,,,80000.0,,,,,,-2136.0,,,,,,,,,,,,,,,12180000.0,,12180000.0,
2014-06-30,2014-08-13,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,2659.0,,,,,519820.0,,,,,,,97326.0,17326.0,,,,,17326.0,,,,,,,,,12180.0,,,,,,,,,,,,,,,,,,-544333.0,,0.0,,,,,,,,,,,,8930.0,,,-8930.0,-10197.0,0.0,-10197.0,,,,,,,,,,,,,,,,1267.0,-1267.0,,,,,,109659.0,97326.0,82659.0,27000.0,,,80000.0,,,,-10197.0,,,8930.0,-8930.0,,,,,-1267.0,,,,,,,,,,,,,,,,,,,,,,,,,,80000.0,,,,,,-12333.0,,,,,,,,,,,,,,,12180000.0,,12180000.0,
2014-09-30,2014-11-12,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,3935.0,1250.0,,,,519820.0,,,,,,,85789.0,5789.0,,,,,5789.0,,,,,,,,,12180.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,12787.0,,,-12787.0,-14063.0,0.0,-14063.0,,,,,,,,,,,,,,,,1276.0,-1276.0,,,,,,112185.0,85789.0,85185.0,27000.0,,,80000.0,,,,-14063.0,,,12787.0,-12787.0,,,,,-1276.0,,,,,,,,,,,,,,,,,,,,,,,,,,80000.0,,-558396.0,,,,-26396.0,,,,,,,,,,,,,,,12180000.0,,12180000.0,
2014-12-31,2019-08-28,10-K,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,5218.0,1250.0,,,,519820.0,,,,,,80000.0,0.0,,,,,,0.0,-9406.0,,,,0.001,76000000.0,12180000.0,12180000.0,12180.0,,,,,,,,,,-14827.0,495000.0,173250.0,52500.0,225750.0,,,,,,-0.01,,,,,,,,,,,,38186.0,,,,,,,,,5218.0,1250.0,,,,,,,,,,,,4688.0,,,,,,,113468.0,0.0,86468.0,,27000.0,80000.0,,27000.0,,-36406.0,-122874.0,,,118186.0,-118186.0,,,,,-4688.0,,,,,,,,,,,,,,,,,,,,,27000.0,,,,,80000.0,,-645468.0,,2500.0,,-113468.0,,,,,,,,,,,,,,-14827.0,12180000.0,,,
2015-03-31,2019-08-28,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,6473.0,1250.0,,,,519820.0,,,,,,,0.0,,,,,,0.0,,,,,0.001,76000000.0,12180000.0,12180000.0,12180.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1255.0,,,,,,,,,,,,,1255.0,,,,,,,114723.0,0.0,114723.0,,,,,,,,-1255.0,,,,,,,,,-1255.0,,,,,,,,,,,,,,,,,,,,,,,,,,107000.0,,-646723.0,,,,-114723.0,,,,,,,,,,,,,,,12180000.0,,,
2015-06-30,2019-08-28,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,7742.0,1250.0,,,,519820.0,,,,,,,0.0,,,,,,0.0,,,,,0.001,76000000.0,12180000.0,12180000.0,12180.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1269.0,,,,,,,115992.0,0.0,115992.0,,,,,,,,-1269.0,,,,,,,,,-1269.0,,,,,,,,,,,,,,,,,,,,,,,,,,107000.0,,-647992.0,,,,-115992.0,,,,,,,,,,,,,,,12180000.0,,,
