end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableOtherCurrent,AccruedProfessionalFeesCurrent,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,Assets,AssetsCurrent,Cash,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockDividendsPerShareCashPaid,CommonStockNoParValue,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CumulativeTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,CurrentFederalTaxExpenseBenefit,DueFromBanks,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCash,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,ForeignCurrencyTransactionGainLossUnrealized,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedInvestmentIncomeReceivable,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseInCarryingAmountOfRedeemablePreferredStock,InterestBearingDepositsInBanks,InterestBearingDepositsInBanks,InterestPaid,InterestPaidNet,InterestReceivableCurrent,InvestmentIncomeInterest,InvestmentInterestRate,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherNonrecurringExpense,PaymentsForOperatingActivities,PaymentsForOperatingActivities,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsOfDividends,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromOperatingActivities,ReclassificationsOfTemporaryToPermanentEquity,RedeemableNoncontrollingInterestEquityCarryingAmount,RelatedPartyTransactionRate,RetainedEarningsAccumulatedDeficit,Revenues,SponsorFees,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodValueIssuedForCash,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TemporaryEquityForeignCurrencyTranslationAdjustments,TemporaryEquitySharesAuthorized,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,TemporaryEquityStockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2015-01-31,2015-03-12,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,0.0,,44258062.0,,,44255692.0,-18656845.0,,,0.0,,,13000000.0,300000.0,300000.0,44243029.0,-44018.0,,0.0,,,-0.13,,-3358851.0,,1054.0,,-2370.0,,15033.0,,29466458.0,44255692.0,,,2370.0,8316.0,,,44258062.0,15033.0,-15245120.0,-15245120.0,-52874.0,-52874.0,-45483.0,53799.0,15033.0,,1465.0,,,62421.0,,15245120.0,,,,9547.0,,,,0.0,8316.0,53799.0,,,100000.0,15245120.0,,,,,,348913.0
2015-04-30,2015-06-09,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,7539190.0,,0.0,,52790150.0,,,52786572.0,,,,0.0,,,13000000.0,300000.0,300000.0,45234764.0,-36576.0,,,,,-0.11,,,,,,,,,,29443557.0,52786572.0,,,3578.0,9522.0,,,52790150.0,7555386.0,,,,,-35870.0,45392.0,16196.0,,-706.0,,,,,,,,,,,,,0.0,9522.0,45392.0,,,,,,,,,,315730.0
2015-07-31,2015-09-09,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,7649826.0,,0.0,,61213328.0,,,53560405.0,,,,0.0,,7649506.0,13000000.0,350000.0,350000.0,53547320.0,-37245.0,,,,,-0.12,,,,,,,,,,34322373.0,53560405.0,,,3417.0,10507.0,,,61213328.0,7666008.0,,,,,-37061.0,47568.0,16182.0,,-184.0,,,,,,,,,,,,,0.0,10507.0,47568.0,,,,,,,,,,309239.0
2015-10-31,2016-01-14,10-K,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,19319.0,0.0,,60537423.0,39195222.0,60533068.0,60533068.0,-2379469.0,60533068.0,,0.0,,,13000000.0,400000.0,400000.0,60518104.0,-202353.0,,0.0,0.0,19319.0,-0.6,,-2181270.0,,810.0,,-4355.0,,19319.0,,39195222.0,60533068.0,,,4355.0,52255.0,,,60537423.0,19319.0,,-32283.0,-165916.0,-165916.0,-202750.0,255005.0,,,397.0,,107843.0,205536.0,49058362.0,75476291.0,,49037380.0,75444008.0,39620.0,,60518104.0,,0.0,52255.0,255005.0,,,500000.0,75476291.0,-2341042.0,13000000.0,400000.0,400000.0,75444008.0,688581.0
2016-01-31,2016-03-11,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,0.0,,55560217.0,39165419.0,55556150.0,55556150.0,-4976918.0,,,0.0,,,,,,,-43285.0,,,0.0,18820.0,-0.11,,-4932642.0,,1268.0,0.0,-4067.0,,18820.0,,,55556150.0,,,4067.0,13177.0,,,55560217.0,18820.0,,,,-44276.0,-45333.0,58510.0,,,2048.0,,29803.0,57383.0,0.0,,,0.0,,13107.0,,55541397.0,,0.0,13177.0,58510.0,,,,,-4976707.0,13000000.0,400000.0,400000.0,,400000.0
2016-04-30,2016-06-09,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,0.0,,50167533.0,34243645.0,50163548.0,50163548.0,,,,0.0,,,,,,,-37595.0,,,0.0,16445.0,-0.1,,,,,,,,,,,50163548.0,,,3985.0,11766.0,,,50167533.0,16445.0,,,,,-36658.0,48424.0,,,-937.0,,,,,,,,,,,50151088.0,,0.0,11766.0,48424.0,,,,,,13000000.0,350000.0,350000.0,,351667.0
2016-07-31,2016-09-09,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,0.0,,259612895.0,195522704.0,259595561.0,259595561.0,,,,0.0,,,,,,,-90636.0,,,0.0,79147.0,-0.1,,,,,,,,,,,259595561.0,,,17334.0,26103.0,,,259612895.0,79147.0,,,,,-95257.0,121360.0,,,4621.0,,,,,,,,,,,259533748.0,,0.0,26103.0,121360.0,,,,,,18000000.0,2000000.0,2000000.0,,911413.0
2016-10-31,2017-01-12,10-K,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,0.0,,315997529.0,258823465.0,315997529.0,315997529.0,255464461.0,315997529.0,255464461.0,0.0,,,,,,,-660518.0,,,0.0,92777.0,-0.59,-4478.0,-51729562.0,-51729562.0,-4478.0,0.0,,,92777.0,,,315997529.0,,,,54682.0,,,315997529.0,92777.0,307555454.0,307555454.0,-361431.0,-361431.0,-692284.0,746966.0,,,31766.0,,258405.0,417444.0,63530601.0,88860252.0,,283417249.0,396415706.0,56013.0,,315904752.0,,0.0,54682.0,746966.0,,,,,-52168806.0,18000000.0,2650000.0,2650000.0,396415706.0,2996383.0
2017-01-31,2017-03-13,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,0.0,,306898671.0,243938103.0,306898671.0,306898671.0,-9098858.0,,,0.0,,,,,,,-317215.0,,,0.0,104043.0,-0.12,,9388762.0,,-2935.0,0.0,,,104043.0,,,306898671.0,,,,0.0,,,306898671.0,104043.0,,-18182796.0,,-304824.0,-313155.0,313155.0,,,-4060.0,,245430.0,304824.0,34154191.0,42419506.0,,19514259.0,24236710.0,,,306794628.0,,0.0,0.0,313155.0,,,,,9072672.0,18000000.0,2500000.0,2500000.0,24236710.0,2561957.0
2017-04-30,2017-06-09,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,0.0,,296367256.0,229076183.0,296367256.0,296367256.0,,296367256.0,,0.0,,,,,,,-293395.0,,,0.0,97766.0,-0.12,,,,,,,,,,,296367256.0,,,,0.0,,,296367256.0,97766.0,,,,,-283156.0,283156.0,,,-10239.0,,479339.0,,63405992.0,,,34138049.0,,,,296269490.0,,0.0,0.0,283156.0,,,,,,18000000.0,2350000.0,2350000.0,,2386517.0
2017-07-31,2017-09-11,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,0.0,,243933740.0,185029597.0,243933740.0,243933740.0,,243933740.0,,0.0,,,,,,,-261668.0,,,0.0,87990.0,-0.13,,,,,,,,,,,243933740.0,,,,0.0,,,243933740.0,87990.0,,,,,-256279.0,256279.0,,,-5389.0,,,,,,,,,,,243845750.0,,0.0,0.0,256279.0,,,,,,18000000.0,1900000.0,1900000.0,,2014130.0
2017-10-31,2018-01-11,10-K,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,0.0,,213160593.0,160518454.0,213160593.0,213160593.0,-102836936.0,213160593.0,-102836936.0,0.0,,,,,,,-1334186.0,,,0.0,72617.0,-0.63,-10619.0,22452800.0,22452800.0,-10619.0,0.0,,,72617.0,,,213160593.0,,,,0.0,,,213160593.0,72617.0,-124177578.0,-124177578.0,-1112158.0,-1112158.0,-1310168.0,1310168.0,,,-24018.0,,872623.0,1112158.0,141309219.0,180098599.0,,43876831.0,55921021.0,,,213087976.0,,0.0,0.0,1310168.0,,,,,21360802.0,18000000.0,1650000.0,1650000.0,55921021.0,3948894.0
2018-01-31,2018-03-12,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,0.0,,193531652.0,136082193.0,193515724.0,193515724.0,-19644869.0,,,0.0,,,,,,,-171698.0,,,0.0,69142.0,-0.1,,13297653.0,,-3870.0,0.0,,,,,,193515724.0,,,15928.0,,,,193531652.0,69142.0,,-32756481.0,,-186041.0,-162768.0,,,,-8930.0,,138003.0,218220.0,38879993.0,,,14581735.0,,,,,,0.0,47279.0,,,,,,13131015.0,18000000.0,1400000.0,,19657637.0,
2018-04-30,2018-06-11,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,0.0,,193991737.0,140833644.0,193977184.0,,,,,0.0,,,,,,,-143935.0,,,0.0,63766.0,,,,,,,,,,,,193977184.0,,,14553.0,,,,193991737.0,63766.0,,,,,,,,,2367.0,,,,,,,,,,,,,0.0,,,,,,,,18000000.0,1450000.0,,,
2018-07-31,2018-09-07,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,0.0,,159144532.0,121313458.0,159133007.0,,,,,0.0,,,,,,,-132385.0,,,0.0,54682.0,,,,,,,,,,,,159133007.0,,,11525.0,,,,159144532.0,54682.0,,,,,,,,,1922.0,,,,,,,,,,,159089850.0,,0.0,,,,,,,,18000000.0,1250000.0,1250000.0,,
2018-10-31,2019-01-11,10-K,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,,,148793383.0,116416407.0,148751007.0,,,,-70607292.0,0.0,,,,,,,,,,0.0,48429.0,-0.34,3708.0,,-4821170.0,,0.0,42376.0,,-24188.0,,,142553301.0,,,42376.0,256219.0,,,148793383.0,48429.0,-65252985.0,,-533137.0,,-466573.0,722792.0,,,,,393979.0,744087.0,67997931.0,91375619.0,,24289863.0,26122634.0,214658.0,466573.0,148744954.0,,0.0,256219.0,722792.0,,,,,-5608121.0,18000000.0,1200000.0,1200000.0,32640718.0,1380959.0
2019-03-31,2019-05-09,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,,,126428020.0,96994428.0,126388632.0,,,126388632.0,-9512267.0,,,,,,,,,,,0.0,44669.0,-0.01,,,2955213.0,,0.0,-1662.0,,-1906.0,,,126388632.0,0.0,,39388.0,114701.0,,,126428020.0,44669.0,-12451889.0,,-15591.0,,-15347.0,130048.0,,,,,,,24248747.0,31438493.0,,14549122.0,18986604.0,,15347.0,126383351.0,,0.0,114701.0,130048.0,,,,,2939866.0,18000000.0,1000000.0,1000000.0,18986604.0,1043889.0
2019-06-30,2019-08-08,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,,135811330.0,,96982616.0,123429795.0,,,135772272.0,,,,,,,,,,,,,44637.0,-0.02,,,,,,,,,,,135772272.0,,,39058.0,115069.0,,12387114.0,135811330.0,,,,,,-16438.0,131507.0,,,,0.0,,,,,,,,,16438.0,123424216.0,,0.0,115069.0,131507.0,,,,,,18000000.0,1000000.0,1000000.0,,1054945.0
2019-09-30,2019-11-08,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,,155389805.0,,126061024.0,155344945.0,,,155344945.0,,,,,,,,,,,,,51269.0,-0.02,,,,,,,,,,,155344945.0,,,44860.0,124468.0,0.0035,51269.0,155389805.0,,,,,,-17780.0,142248.0,,,,,,,,,,,,,17780.0,155338536.0,,0.0,124468.0,142248.0,,,,,,18000000.0,1300000.0,1300000.0,,1185870.0
