end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,Assets,AssetsCurrent,AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleDebt,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,Depreciation,DisposalGroupIncludingDiscontinuedOperationAccountsPayableAndAccruedLiabilitiesCurrent,DisposalGroupIncludingDiscontinuedOperationAccountsPayableCurrent,DisposalGroupIncludingDiscontinuedOperationAccruedLiabilitiesCurrent,DisposalGroupIncludingDiscontinuedOperationGeneralAndAdministrativeExpense,DisposalGroupIncludingDiscontinuedOperationOperatingExpense,DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,DisposalGroupIncludingDiscontinuedOperationRevenue,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,ExplorationExpense,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInPrepaidExpense,InterestExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MineralPropertiesNet,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayable,NotesPayableCurrent,OperatingExpenses,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,OtherComprehensiveIncomeLossTax,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseCurrent,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,StockholdersEquity,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,StockRepurchasedDuringPeriodShares,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2017-03-31,2020-03-17,10-Q,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,247108.0,131859.0,14090531.0,,-9272.0,6751347.0,,,,,,0.001,450000000.0,270817339.0,270817339.0,270817.0,32720.0,,,123.0,,,,,,,,,,0.35,0.35,3366.0,,9272.0,,,,,,279828.0,6751347.0,279828.0,6750000.0,,,,-9395.0,,,9395.0,,9395.0,,,,3757.0,,1347.0,-8021688.0,2149.0,,6471519.0,,,,,,270817339.0
2017-06-30,2020-03-17,10-Q,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,258392.0,131859.0,14090531.0,,,6751225.0,,,,,,0.001,450000000.0,270817339.0,270817339.0,270817.0,32720.0,,,122.0,,,,,,,,,0.0,,,,,,,,,,,291112.0,6751225.0,291112.0,6750000.0,,,,-11406.0,,,11406.0,,11406.0,,,,,,1225.0,-8033094.0,2431.0,,6460113.0,,,,,,270817339.0
2017-09-30,2020-03-17,10-Q,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,263260.0,131859.0,14090531.0,,,6751102.0,,,,,,0.001,450000000.0,270817339.0,270817339.0,270817.0,32720.0,,,123.0,,,,,,,,,0.0,,,,,,,,,,,295980.0,6751102.0,295980.0,6750000.0,,,,-4991.0,,,4991.0,,4991.0,,,,,,1102.0,-8038085.0,1612.0,,6455122.0,,,,,,270816656.0
2017-12-31,2020-03-17,10-K,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,276211.0,131859.0,14090531.0,,-37565.0,980.0,,,,,,0.001,450000000.0,270817339.0,270817339.0,270817.0,32720.0,,,490.0,,,,,,,,,-0.03,0.35,0.35,3366.0,,37565.0,,,,,,308931.0,980.0,308931.0,,,,,-6788865.0,,,6788865.0,,6788865.0,,,,,,980.0,-14801158.0,10158.0,6750000.0,-301951.0,,,,,,270817339.0
2018-03-31,2020-03-17,10-Q,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,285173.0,131859.0,14090531.0,,-8962.0,857.0,,,,,,0.001,450000000.0,270817339.0,270817339.0,270817.0,32720.0,,,123.0,,,,,,,,,,0.35,0.35,,,8962.0,,,,,,317893.0,857.0,317893.0,,,,,-9085.0,,,9085.0,,9085.0,,,,,,857.0,-14810243.0,1206.0,,-317036.0,,,,,,270817339.0
2018-06-30,2020-03-17,10-Q,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,296373.0,131859.0,14090531.0,,,735.0,,,,,,0.001,450000000.0,270817339.0,270817339.0,270817.0,32720.0,,,122.0,,,,,,,,,0.0,,,,,,,,,,,329093.0,735.0,329093.0,,,,,-12322.0,,,12322.0,,12322.0,,,,,,735.0,-14821565.0,2200.0,,6459507.0,,,,,,270817339.0
2018-09-30,2020-03-17,10-Q,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,302037.0,131859.0,14090531.0,,,612.0,,,,,,0.001,450000000.0,270817339.0,270817339.0,270817.0,32720.0,,,123.0,,,,,,,,,0.0,,,,,,,,,,,334757.0,612.0,334757.0,,,,,-5787.0,,,5787.0,,5787.0,,,,,,612.0,-14827352.0,-2061.0,,-334145.0,,,,,,270817339.0
2018-12-31,2020-03-17,10-K,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,251776.0,131859.0,14490469.0,,-37565.0,490.0,,,,,,0.001,500000000.0,332817339.0,332817339.0,332817.0,32720.0,461938.0,,490.0,,,,,,,,,0.0,0.35,0.35,,62000.0,37565.0,,,,,,284496.0,490.0,284496.0,,,,,-437993.0,,,437993.0,,437993.0,,,,,,490.0,-15239151.0,4584.0,399938.0,-284006.0,,,,,,332987669.0
2019-03-31,2020-03-17,10-Q,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,262836.0,131859.0,14490469.0,,-11060.0,367.0,,,,,,0.001,500000000.0,332817339.0,332817339.0,332817.0,32720.0,461938.0,,123.0,,,,,,,,,0.0,0.35,0.35,,,11060.0,,,,,,295556.0,367.0,295556.0,,,,,-11183.0,,,11183.0,,11183.0,,,,,,367.0,-15250334.0,5447.0,,-295189.0,,,,,,332817339.0
2019-06-30,2020-03-17,10-Q,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,271820.0,131859.0,14490469.0,,,245.0,,,,,,0.001,500000000.0,332817339.0,332817339.0,332817.0,32720.0,,,122.0,,,,,,,,,0.0,,,,,,,,,,,304540.0,245.0,304540.0,,,,,-9106.0,,,9106.0,,9106.0,,,,,,245.0,-15259440.0,1484.0,,-304295.0,,,,,,332817339.0
2019-09-30,2020-03-17,10-Q,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,274153.0,131859.0,14490469.0,,,122.0,,,,,,0.001,500000000.0,332817339.0,332817339.0,332817.0,32720.0,,,123.0,,,,,,,,,0.0,,,,,,,,,,,306873.0,122.0,306873.0,,,,,-2456.0,,,2456.0,,2456.0,,,,,,122.0,-15261896.0,1200.0,,-306751.0,,,,,,332817339.0
2019-12-31,2020-03-17,10-K,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,33389.0,131859.0,14490469.0,,-53288.0,0.0,,,,,,0.001,500000000.0,332817339.0,332817339.0,332817.0,32720.0,,,490.0,,,,,,,,23572.0,0.0,0.35,0.35,,,5335.0,13627.0,,,,,337784.0,0.0,337784.0,,34326.0,,-34326.0,-53778.0,,248103.0,53778.0,,53778.0,,,,,,,-15292929.0,10387.0,,-337784.0,,,,,,332987669.0
2020-03-31,2020-06-02,10-Q,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,303354.0,131859.0,16321969.0,,-21862.0,176000.0,,,,,,0.001,500000000.0,464817339.0,464817339.0,464817.0,32720.0,,,,,,,,,,,23572.0,0.0,0.35,0.35,,,12167.0,,,,,,359646.0,176000.0,359646.0,,9695.0,,-9695.0,-1809362.0,,,1809362.0,,-11183.0,,,9695.0,,,,-17102291.0,21862.0,1787500.0,-183646.0,,,,,,411839562.0
2020-06-30,2020-08-14,10-Q,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,41833.0,131859.0,16321969.0,,,176000.0,,,,,,0.001,500000000.0,464817339.0,464817339.0,464817.0,32720.0,,,,,,,,,,,23572.0,0.0,,,,,,,,,,,363008.0,176000.0,363008.0,,,,,-3362.0,,264883.0,3362.0,,-3362.0,,,,,,,-17105653.0,3362.0,,-187008.0,,,,,,438474798.0
2020-09-30,2020-11-16,10-Q,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,50988.0,131859.0,16321969.0,,,176000.0,,,,,,0.001,500000000.0,464817339.0,464817339.0,464817.0,297603.0,,,,,,,,,,,16165.0,0.0,,,,,,,,,,,372688.0,176000.0,372688.0,,,,,-9680.0,,264883.0,9680.0,,-9680.0,,,,,,,-17115333.0,5180.0,,-196688.0,,,,,,438474798.0
2020-12-31,2021-05-05,10-K,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,51037.0,131859.0,16321969.0,,-40124.0,176000.0,176000.0,,,,,0.001,1000000000.0,464817339.0,464817339.0,464817.0,297603.0,,,,,,,,,,,665.0,0.0,0.27,0.27,,,17648.0,-22907.0,,,,,377908.0,176000.0,377908.0,,45383.0,,-45383.0,-1827624.0,,28603.0,,,1827624.0,,,,,,,-17120553.0,32624.0,1787500.0,-201908.0,,176000.0,,1787500.0,,438474798.0
2021-03-31,2021-05-17,10-Q,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,55886.0,131859.0,17841513.0,,-8058.0,180000.0,4000.0,,,,,0.001,1000000000.0,515468779.0,515468779.0,515468.0,246952.0,,,,,,,,,,,,0.0,0.27,0.27,,,-812.0,,,4996.0,4000.0,4996.0,344311.0,180000.0,344311.0,,12870.0,,-12870.0,-1532598.0,,41473.0,1532598.0,,-1532598.0,,4000.0,,,,,-18653151.0,3058.0,1519544.0,-164311.0,,176000.0,,1787500.0,,473354099.0
2021-06-30,2021-08-16,10-Q,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,50300.0,131859.0,17841513.0,,,180000.0,,,,,,0.001,1000000000.0,515468779.0,515468779.0,515468.0,256396.0,,,,,,,,,,,,,,,,,,,,,,5583.0,355304.0,180000.0,,,,,,-10993.0,,48608.0,10993.0,,-10993.0,,4000.0,,,,,-18664144.0,3150.0,,-175304.0,,,,,,494645409.0
2021-09-30,2021-11-16,10-Q,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,67054.0,131859.0,17841513.0,,,177000.0,,,,,,0.001,1000000000.0,515468779.0,515468779.0,515468.0,260753.0,,,,,,,,,,,,,,,,,,,,,,5654.0,374710.0,177000.0,,,,,,-22406.0,,46903.0,22406.0,,-22406.0,,1000.0,,,,,-18686550.0,9252.0,,-197710.0,,,,,,501688608.0
