end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableAndAccruedLiabilitiesNoncurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AdditionalPaidInCapital,AdministrativeFeesExpense,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashFDICInsuredAmount,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CurrentFederalTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentRate,DebtInstrumentFaceAmount,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentInterestRateStatedPercentage,DebtWeightedAverageInterestRate,DeferredDiscountsFinanceChargesAndInterestIncludedInReceivables,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToOtherRelatedPartiesClassifiedCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncreaseDecreaseDueFromOfficersAndStockholders,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToOtherRelatedParties,IncreaseDecreaseInDueToOtherRelatedPartiesCurrent,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInNotesReceivableCurrent,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherLoans,InterestAndDebtExpense,InterestCostsCapitalizedAdjustment,InterestExpense,InterestExpenseDebt,InterestExpenseOther,InterestExpenseRelatedParty,InterestPaid,InterestPaidNet,InterestPayable,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,InterestReceivable,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LoansPayable,LongTermDebtAndCapitalLeaseObligations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesAndLoansPayable,NotesAndLoansPayableCurrent,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAccountsPayableAndAccruedLiabilities,OtherBorrowings,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,OtherExpenses,OtherGeneralAndAdministrativeExpense,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,PreferredStockAdditionalSeriesValue,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromConstructionLoansPayable,ProceedsFromContributedCapital,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPricePerShare,ShareBasedCompensation,ShareBasedGoodsAndNonemployeeServicesTransactionQuantityOfSecuritiesIssued,ShareBasedGoodsAndNonemployeeServicesTransactionStockholdersEquity,StockholdersEquity,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueOther,ValuationAllowanceDeferredTaxAssetChangeInAmount,ValuationAllowancesAndReservesAdjustments,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CapitalizedComputerSoftwareAmortization1,EquityMethodInvestmentOwnershipPercentage,GrossProfit,IndefiniteLivedLicenseAgreements,IntangibleAssetsCurrent,OtherAssetsCurrent,SaleOfStockConsiderationReceivedOnTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,StockIssuedDuringPeriodSharesOther
2013-08-31,2013-09-27,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,56625.0,,,,,,3063134.0,,3399.0,3399.0,3399.0,3129.0,,,,3129.0,0.001,100000000.0,250556.0,250556.0,251.0,,,,,0.08,,,,,,,,,,3167991.0,,-0.05,,12071.0,-12859.0,-12859.0,,-0.05,,,,,,,6200.0,470.0,,,,,470.0,318.0,,,,-9000.0,316.0,,-318.0,,6647.0,-470.0,,,,1733.0,6647.0,,108005.0,3399.0,77858.0,30147.0,19500.0,,9000.0,,-5871.0,-12859.0,,,,,,,23500.0,12071.0,-12071.0,,,,,,,-788.0,,,,,0.001,20000000.0,0.0,0.0,,9000.0,,,,,,,,,,,,,,,-104606.0,,,,,,,,250556.0,,,,,,,,,
2013-11-30,2014-01-10,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,62525.0,,,,,,3063134.0,,1449.0,1449.0,1449.0,,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,,,,,,,,,,3176807.0,,-0.4,,7850.0,-8816.0,-8816.0,,-0.04,,,,,,,,,,,,,,,,,,,,,-496.0,,,-470.0,,,,2229.0,7117.0,,114871.0,1449.0,84254.0,30617.0,19500.0,,,,,-8816.0,,,,,,,23500.0,7850.0,-7850.0,,,,,,,-966.0,,,,,0.001,20000000.0,0.0,0.0,,,,,,,,,,,,,,,,,-113422.0,,,,,,,,250556.0,,,,,,,,,
2014-02-28,2014-04-14,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,66302.0,,,,,,3063134.0,,449.0,449.0,449.0,,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,,,,,,,,,,3182444.0,,-0.02,,4777.0,-5637.0,-5637.0,,-0.02,,,,,,,,,,,,,,,,,,,,,-390.0,,,-470.0,,,,2619.0,7587.0,,119508.0,449.0,88421.0,31087.0,19500.0,,,,,-5637.0,,,,,,,23500.0,4777.0,-4777.0,,,,,,,-860.0,,,,,0.001,20000000.0,0.0,0.0,,,,,,,,,,,,,,,,,-119059.0,,,,,,,,250556.0,,,,,,,,,
2014-05-31,2014-08-15,10-K,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,68825.0,68825.0,68825.0,3257.0,8057.0,8057.0,3063134.0,,6879.0,6879.0,6879.0,6609.0,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,28300.0,,,,0.08,,,18948.0,,,,3188445.0,,-0.13,,29591.0,-33313.0,-33313.0,,,,,,,,,18400.0,1880.0,,,,,,1842.0,,,,-17800.0,,,-1842.0,1880.0,,-1880.0,,,,,,,131939.0,6879.0,100382.0,,28300.0,31557.0,17800.0,,-11191.0,-33313.0,23500.0,,,,23500.0,,,29591.0,-29591.0,126320.0,,,,,,-3722.0,,,,,0.001,20000000.0,,,,,,,,,,,,,-3188445.0,,,,,,-125060.0,,,,,,4997.0,250556.0,250556.0,,,,,,,,,
2014-08-31,2014-09-30,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,71600.0,71600.0,71600.0,3823.0,8527.0,8527.0,3063134.0,,2945.0,2945.0,2945.0,-3934.0,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,0.08,0.08,,,,,,,,3196190.0,,-0.03,,6709.0,-7745.0,-7745.0,,,,,,,,,2775.0,470.0,,,,,,566.0,,,,,566.0,,566.0,,,470.0,,,,,,,135750.0,2945.0,103723.0,,28300.0,32027.0,,,-3934.0,-7745.0,23500.0,,28300.0,,23500.0,,,6709.0,-6709.0,,,,,,,1036.0,,,,,0.001,20000000.0,,,,,,,,,,,2775.0,,,,,,,,-132805.0,,,,,,,,250556.0,,,,,,,,,
2014-11-30,2015-01-06,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,74200.0,74200.0,74200.0,4389.0,8997.0,8997.0,3063134.0,,1516.0,1516.0,1516.0,,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,0.08,0.08,,,,,,,,3201255.0,,-0.02,,4029.0,-5065.0,-5065.0,,,,,,,,,,,,,,,,,,,,,,,566.0,,,470.0,,,,,,,139386.0,1516.0,106889.0,,28300.0,32497.0,,,,-5065.0,23500.0,,28300.0,,23500.0,,,4029.0,-4029.0,,,,,,,1036.0,,,,,0.001,20000000.0,,,,,,,,,,,2600.0,,,,,,,,-137870.0,,,,,,,,250556.0,,,,,,,,,
2015-02-28,2015-04-13,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,76725.0,76725.0,76725.0,4955.0,9467.0,9467.0,3063134.0,,191.0,191.0,191.0,,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,0.08,0.08,,,,,,,,3206141.0,,-0.02,,3850.0,,-4886.0,,,,,,,,,,,,,,,,,,,,,,,566.0,,,470.0,,,,,,,142947.0,191.0,109980.0,,28300.0,32967.0,,,,-4886.0,23500.0,,23500.0,,23500.0,,,3850.0,-3850.0,,,,,,,1036.0,,,,,0.001,20000000.0,,,,,,,,,,,2525.0,,,,,,,,-142756.0,,,,,,,,250556.0,,,,,,,,,
2015-05-31,2015-08-11,10-K,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,79200.0,79200.0,79200.0,5607.0,9937.0,9937.0,3063134.0,,3716.0,3716.0,3716.0,-3163.0,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,0.08,0.08,,,,22362.0,,,,3211213.0,,-0.09,,18538.0,-22768.0,-22768.0,,,,,,3414.0,,,10375.0,1880.0,,,,,,2350.0,,,,-5000.0,,,2350.0,,,1880.0,,,,,,,151544.0,3716.0,118107.0,,33300.0,33437.0,5000.0,,-8163.0,-22768.0,23500.0,,33300.0,,23500.0,,,18538.0,-18538.0,,149100.0,,,,,4230.0,,,,,0.001,20000000.0,,,,,,,,,,,,,-3211213.0,,,,,,-147828.0,,,,,,,250556.0,250556.0,,,,,,,,,
2015-08-31,2015-10-06,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,81500.0,81500.0,81500.0,6309.0,10407.0,10407.0,3063134.0,,2441.0,2441.0,2441.0,-1275.0,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,0.08,0.08,,,,,,,,3218060.0,,-0.03,,5675.0,,-6847.0,,,,,,,,,2300.0,470.0,,,,,,702.0,,,,-2100.0,702.0,,702.0,,,470.0,,,,,,,157116.0,2441.0,123209.0,,35400.0,33907.0,2100.0,,-3375.0,-6847.0,23500.0,,35400.0,,23500.0,,,5675.0,-5675.0,,,,,,,1172.0,,,,,0.001,20000000.0,,,,,,,,,,,,,,,,,,,-154675.0,,,,,,,,250556.0,,,,,,,,,
2015-11-30,2016-01-11,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,83000.0,83000.0,83000.0,7017.0,10877.0,10877.0,3063134.0,,1012.0,1012.0,1012.0,,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,0.08,0.08,,,,,,,,3222167.0,,-0.02,,2929.0,,-4107.0,,,,,,,,,,,,,,,,,,,,,,,708.0,,,470.0,,,,,,,159794.0,1012.0,125417.0,,35400.0,34377.0,,,,-4107.0,23500.0,,35400.0,,23500.0,,,2929.0,-2929.0,,,,,,,1178.0,,,,,0.001,20000000.0,,,,,,,,,,,,,,,,,,,-158782.0,,,,,,,,250556.0,,,,,,,,,
2016-02-29,2016-04-12,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,84500.0,83000.0,84500.0,7729.0,11347.0,11347.0,3063134.0,,287.0,287.0,287.0,,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,0.08,0.08,,,,,,,,,,-0.02,,2825.0,,-4007.0,,,,,,,,,,,,,,,,,,,,,,,712.0,,,470.0,,,,,,,163076.0,287.0,128229.0,,36000.0,34847.0,,,,-4007.0,23500.0,,36000.0,,23500.0,,,2825.0,-2825.0,,,,,,,1182.0,,,,,0.001,20000000.0,,,,,,,,,,,,,-3226174.0,,,,,,-162789.0,,,,,,,,250556.0,,,,,,,,,
2016-05-31,2016-08-24,10-K,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,86100.0,86100.0,86100.0,8482.0,11817.0,11817.0,3063134.0,,1562.0,1562.0,1562.0,-2154.0,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,0.08,0.08,,,,25228.0,,,,,,-0.08,,14354.0,-19109.0,-19109.0,,,,,,2866.0,,,6900.0,1880.0,,,,,,2875.0,,,,-5300.0,2875.0,,2875.0,,,1880.0,,,,,,,168499.0,1562.0,133182.0,,38600.0,35317.0,5300.0,,-7454.0,-19109.0,23500.0,,38600.0,,23500.0,,,14354.0,-14354.0,,168200.0,,,,,4755.0,,,,,0.001,20000000.0,,,,,,,,,,,1600.0,,-3230322.0,,,,,,-166937.0,,,,,,,250556.0,250556.0,,,,,,,,,
