end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentForAmortization,AmortizationOfIntangibleAssets,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,CumulativeEarningsDeficit,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtConversionConvertedInstrumentWarrantsOrOptionsIssued1,DebtInstrumentInterestRateStatedPercentage,DeferredIncomeTaxLiabilities,DeferredRevenue,DeferredRevenueCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceCurrent,Depreciation,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationDeductionsEmployeeStockOwnershipPlanDividends,EffectiveIncomeTaxRateReconciliationOtherAdjustments,FiniteLivedIntangibleAssetsNet,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInTradingSecurities,IncrementalCommonSharesAttributableToCallOptionsAndWarrants,IncrementalCommonSharesAttributableToConversionOfDebtSecurities,IncrementalCommonSharesAttributableToWrittenPutOptions,InterestExpense,InterestExpenseDebt,InterestPaid,InterestPaidNet,Investments,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansAndLeasesReceivableRelatedPartiesAdditions,LongTermDebt,LongTermDebtCurrent,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherGeneralExpense,PaymentsToAcquireLand,PaymentsToAcquireLandHeldForUse,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfOtherLongTermDebt,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentAdditions,PropertyPlantAndEquipmentNet,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SellingAndMarketingExpense,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharesOutstanding,StockholdersEquity,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValuePurchaseOfAssets,TaxCreditCarryforwardValuationAllowance,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic
2017-06-30,2017-08-14,10-Q,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,,17784.0,25483.0,,,,1017.0,1017.0,,,1017.0,,,,0.0001,50000000.0,25957500.0,25957500.0,2596.0,,,,,,,,,,,,,,,,,,9451.0,9451.0,0.0,,,,,,,,,,,-16218.0,0.0,,,,,,,,,,,,,,,,,,,1017.0,27235.0,,,,,,,,,-16218.0,,,,,16218.0,-16218.0,,,,,,,,,,,,,,,-54297.0,0.0,,,,,,,,,,,,,-26218.0,,,,,,25957500.0,,
2017-09-30,2017-11-14,10-Q,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,,9634.0,25483.0,,,,1017.0,1017.0,,,1017.0,,,,0.0001,50000000.0,25957500.0,25957500.0,2596.0,,,,,,,,,,,,,,,,,,41392.0,41392.0,0.0,,,,,,,,,,,-23791.0,0.0,,,,,,,,,,,,,,,,,,,1017.0,51026.0,,,,,,,,,-23791.0,,,,,23791.0,-23791.0,,,,,,,,,,,,,,,-78088.0,0.0,,,,,,,,,,,,,-50009.0,,,,,,25957500.0,,
2017-12-31,2020-01-22,10-K,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,41667.0,46263.0,17054.0,,,,1017.0,1017.0,,,1017.0,,973.0,,0.0001,50000000.0,5857500.0,5857500.0,2596.0,,,,,,,,,0.0,26685.0,,0.0,78484.0,26685.0,,,,41667.0,500.0,0.0,0.0,0.34,0.34,,,,,,,,-78484.0,0.0,,,,37834.0,0.0,,,,,,,0.0,,,,0.0,,,1017.0,87930.0,41392.0,,,0.0,41623.0,0.0,-40650.0,,-78484.0,,500.0,500.0,500.0,78484.0,-78484.0,78484.0,,,0.0,,,,0.0,41667.0,,,,,44.0,-106563.0,0.0,,,,,,,,,,,,,-78484.0,,,,0.0,25957500.0,5857500.0,,25957500.0
2018-03-31,2020-01-22,10-Q,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,,53508.0,25483.0,,,,1017.0,1017.0,,,1017.0,,0.0,,0.0001,50000000.0,25957500.0,25957500.0,2596.0,,-94158.0,,,,,,,,,,,,,,,,41667.0,,0.0,,,,,,,,,,,,0.0,0.0,,,15674.0,,,,,,,,,,0.0,,0.0,,,1017.0,95175.0,0.0,,,,973.0,0.0,0.0,,-15674.0,,,,,15674.0,-15674.0,,,,0.0,,,,,0.0,,,,,0.0,-122237.0,0.0,,,,,,,,,,,,,-94158.0,,,,,,25957300.0,,
2018-06-30,2020-01-22,10-Q,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,,64108.0,25483.0,,,,1017.0,1017.0,,,1017.0,,,,0.0001,50000000.0,5857500.0,5857500.0,2596.0,,-104758.0,,,,,,,,,,,,,,,,41667.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,1017.0,105775.0,,,,,,,,,-1200.0,,,,,1200.0,-1200.0,,,,,,,,,,,,,,,-132837.0,0.0,,,,,,,,,,,,,-104758.0,,,,,,25957300.0,,
2018-09-30,2020-01-22,10-Q,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,,64708.0,25483.0,,,,1017.0,1017.0,,,1017.0,,,,0.0001,50000000.0,5857500.0,5857500.0,2596.0,,-105358.0,,,,,,,,,,,,,,,,41667.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,1017.0,106375.0,,,,,,,,,-23135.0,,,,,23135.0,-23135.0,,,,,,,,,,,,,,,-133437.0,0.0,,,,,,,,,,,,,-105358.0,,,,,,25957300.0,,
2018-12-31,2020-01-22,10-K,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,41667.0,65308.0,25483.0,,,,1017.0,1017.0,,,0.0,,0.0,,0.0001,50000000.0,5857500.0,5857500.0,2596.0,,,,,,,,,0.0,,,0.0,,9341.0,,,,41667.0,500.0,0.0,0.0,0.34,0.34,,,,,,,,-27474.0,0.0,,,,27474.0,0.0,,,,,,,0.0,,,,0.0,,,1017.0,106975.0,0.0,,,0.0,0.0,0.0,0.0,,-27474.0,,0.0,0.0,0.0,27474.0,-27474.0,27474.0,,,0.0,,,,0.0,0.0,,,,,0.0,-134037.0,0.0,,,,,,,,,,,,,-47529.0,,,,0.0,5857500.0,5857500.0,,5857500.0
2019-03-31,2020-01-23,10-Q,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,,65908.0,25483.0,,,,1017.0,1017.0,,,1017.0,,0.0,,0.0001,50000000.0,25957300.0,25957300.0,2596.0,,-106558.0,,,,,,,,,,,,,,,,41667.0,,0.0,,,,,,,,,,,-600.0,0.0,0.0,,,600.0,,,,,,,,,,0.0,,0.0,,,1017.0,107575.0,0.0,,,,0.0,0.0,0.0,,-600.0,,,,,600.0,-600.0,,,,0.0,,,,,0.0,,,,,0.0,-134637.0,0.0,,,,,,,,,,,,,-106558.0,,,,,,5857500.0,,
2019-06-30,2020-01-23,10-Q,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,,66508.0,25483.0,,,,1017.0,1017.0,,,1017.0,,,,0.0001,50000000.0,25957300.0,25957300.0,2596.0,,-106558.0,,,,,,,,,,,,,,,,41667.0,,0.0,,,,,,,,,,,-600.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,1017.0,108175.0,,,,,,,,,-600.0,,,,,600.0,-600.0,,,,,,,,,,,,,,,-135237.0,0.0,,,,,,,,,,,,,-107158.0,,,,,,5857500.0,,
2019-09-30,2020-01-23,10-Q,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,,67108.0,25483.0,,,,1017.0,1017.0,,,1017.0,,,,0.0001,50000000.0,25957300.0,25957300.0,2596.0,,-106558.0,,,,,,,,,,,,,,,,41667.0,,0.0,,,,,,,,,,,-23135.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,1017.0,108775.0,,,,,,,,,-23135.0,,,,,23135.0,-23135.0,,,,,,,,,,,,,,,-135837.0,0.0,,,,,,,,,,,,,-107758.0,,,,,,5857500.0,,
2019-12-31,2020-05-11,10-K,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,0.0,11509.0,86842.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0001,50000000.0,11057500.0,11057500.0,1106.0,,,0.0,0.0,,,,,,,,0.0,26308.0,26308.0,,,,,500.0,0.0,0.0,0.21,-0.224,0.0,0.014,0.0,620.0,22600.0,,,-23980.0,0.0,,,,4600.0,,,0.0,,,,,2000.0,,,,,20000.0,51509.0,0.0,51509.0,,,40000.0,0.0,0.0,0.0,0.0,,-23980.0,-1380.0,0.0,0.0,0.0,22600.0,-22600.0,135837.0,,,,,,,,,,,,,,-139457.0,0.0,0.0,,,,,,,,0.0,,,,-51509.0,20000.0,,,0.0,5857500.0,6056952.0,,5857500.0
2020-03-31,2020-05-11,10-Q,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,41667.0,67108.0,25483.0,91.0,91.0,0.0,1017.0,1017.0,,,0.0,,0.0,0.0,0.0001,50000000.0,5857500.0,5857500.0,2596.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4508.0,,,-7008.0,0.0,,,,1500.0,,,5417.0,,,,,500.0,500.0,,,,,,1017.0,108775.0,,,,,0.0,0.0,0.0,,-7008.0,-500.0,,,,6508.0,-6508.0,,,,,0.0,,,,,,-7008.0,,,,-135837.0,0.0,2000.0,,,,,,,,,,,,-54880.0,,3637.0,,,,33310247.0,,
2020-06-30,2020-07-20,10-Q,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,41667.0,67108.0,25483.0,,,,1017.0,1017.0,,0.0,1017.0,,,,0.0001,50000000.0,5857500.0,5857500.0,2596.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,7073.0,,,-8793.0,0.0,,,,,,,,,,,,500.0,,,,,,,1017.0,108775.0,,,,,,,,,-8793.0,-500.0,,,,8293.0,-8293.0,,,,,,,,,,,-8793.0,,,,-135837.0,0.0,1220.0,,,,,,,,,,,,-63673.0,,,,,,36057500.0,,
2020-09-30,2020-12-18,10-Q,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,58141.0,68171.0,25483.0,,,,0.0,0.0,,0.0,0.0,,,,0.0001,50000000.0,5857500.0,5857500.0,2596.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2226.0,,,-2786.0,0.0,,,,,,,,,,,,500.0,,,,,,,0.0,126312.0,,,,,,,,,-2786.0,-500.0,,,,2286.0,-2286.0,,,,,,,,,,,-2786.0,,,,-154391.0,0.0,60.0,,,,,,,,,,,,-66459.0,,,,,,36057500.0,,
2020-12-31,2021-09-27,10-K,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,26584.0,23857.0,26585.0,87979.0,364.0,,0.0,3273.0,0.0,,0.0,0.0,,,0.0,0.0001,50000000.0,36057500.0,36057500.0,3606.0,,,0.0,0.0,,0.05,,,,,,0.0,33468.0,33468.0,,,,23857.0,23857.0,0.0,0.0,0.21,-0.182,-0.028,0.0,3273.0,0.0,34156.0,,,-39296.0,0.0,,,,15076.0,,,23856.0,,,,,2000.0,2000.0,,,,0.0,90441.0,3273.0,90441.0,,40000.0,40000.0,,0.0,0.0,0.0,,-39296.0,-2000.0,,,,37296.0,-37296.0,,,,,,,,,,,,,0.0,,-178753.0,0.0,3140.0,,,,0.0,,300000.0,0.0,300000.0,0.01,0.01,,-87168.0,,3637.0,,,,35374440.0,,
2021-03-31,2021-09-28,10-Q,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,54736.0,26645.0,87979.0,123.0,123.0,0.0,15184.0,10749.0,,,10749.0,,,10749.0,0.0001,50000000.0,36057500.0,36057500.0,3606.0,,,,,,,,,,,,,,,,,,,54736.0,0.0,,,,,,4435.0,,18029.0,,,-19029.0,0.0,,,,60.0,,,30880.0,,,,,500.0,500.0,,,,,121381.0,15184.0,121381.0,,,40000.0,,0.0,-1285.0,12034.0,,-19029.0,-500.0,,,,18529.0,-18529.0,,,,,1285.0,,,,,,-19029.0,,,,-197782.0,0.0,500.0,0.0,0.383,0.0033,0.0,,0.0,,300000.0,,,,-106197.0,,,,,,36057500.0,,
2021-06-30,2021-09-28,10-Q,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,27926.0,,,87979.0,,,,9219.0,3700.0,,3700.0,,,,,0.0001,50000000.0,36057500.0,36057500.0,3606.0,,,,,,,,,,,,,,,,,,58301.0,58301.0,0.0,,,,,,4312.0,,13556.0,,,-15811.0,0.0,,,,,,,,,,,,555.0,,,,,,131227.0,9219.0,131227.0,,,45000.0,,,,,,-15811.0,-555.0,,,,15256.0,-15256.0,,,,,,,,,,,-15811.0,,1207.0,,-213593.0,,1700.0,,,,0.0,0.01,,0.0,300000.0,0.01,,36057500.0,-122008.0,,,,,,36057500.0,,
