end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdvertisingExpense,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommonStockOtherSharesOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountIssued1,ConvertibleNotesPayable,ConvertiblePreferredStockSharesIssuedUponConversion,CurrentIncomeTaxExpenseBenefit,DebtInstrumentCarryingAmount,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountPremiumNet,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EquityMethodInvestmentRealizedGainLossOnDisposal,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpenseLeases,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,IncrementalCommonSharesAttributableToConversionOfDebtSecurities,InterestExpense,InterestPaid,InterestPaidNet,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,MarketableSecurities,MarketableSecuritiesCurrent,MarketableSecuritiesUnrealizedGainLoss,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NondebtorReorganizationItemsNetGainLossOnSettlementOfOtherClaims1,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccruedLiabilitiesCurrent,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,PaymentsToAcquireMarketableSecurities,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,PrepaidExpenseNoncurrent,PrepaidExpenseOtherNoncurrent,ProceedsFromCollectionOfLongtermLoansToRelatedParties,ProceedsFromContributionsFromAffiliates,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfFinancialServicesObligations,ProceedsFromPaymentsForLongTermLoansForRelatedParties,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProfessionalAndContractServicesExpense,ProfitLoss,RealEstateOwnedAmountOfLossAtAcquisition1,RepaymentOfNotesReceivableFromRelatedParties,RetainedEarningsAccumulatedDeficit,Revenues,SaleLeasebackTransactionHistoricalCost,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,SharePrice,ShortTermBorrowings,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,UnrealizedGainLossOnInvestments,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect
2017-02-28,2017-04-18,10-Q,KANGE CORP.,KGNR,CIK0001593773,USD,,200.0,,7656.0,541253.0,,,,1550.0,65.0,65.0,,65.0,,-90.0,,,0.001,75000000.0,10570000.0,10570000.0,10570.0,,53631.0,2851185.0,,54251.0,-1550.0,,-620.0,53631.0,,,,,,10250.0,0.0,0.0,,,,,8009.0,-11186.0,0.0,0.0,,,,,,,7919.0,,7919.0,,,1627.0,0.0,,1627.0,0.0,,,79656.0,65.0,79656.0,,,,,0.0,-90.0,-11186.0,,8009.0,-8009.0,,7919.0,,-3177.0,,,,,,,,,,,,,,0.0,,,,,,,-631414.0,0.0,,,,,,-79591.0,,,,,,,,,,0.0,10570000.0,10570000.0,,
2017-05-31,2017-08-25,10-Q,KANGE CORP.,KGNR,CIK0001593773,USD,,,,10034.0,541253.0,,,,620.0,77.0,77.0,,77.0,,,,,0.001,75000000.0,10570000.0,10570000.0,10570.0,,54251.0,2851185.0,,54251.0,-620.0,,,54251.0,,,,,,18919.0,,0.0,,,,,6571.0,,,,,,,,,,,,,,,,,,1627.0,,,,88486.0,77.0,88486.0,,,,,,,-8818.0,,6571.0,-6571.0,,5282.0,,-2247.0,,,,,,,,,,,,,,,,,,,,,-640232.0,0.0,,,,,,-88409.0,,,,,,,,,,0.0,10570000.0,10570000.0,,
2017-08-31,2017-10-25,10-Q,KANGE CORP.,KGNR,CIK0001593773,USD,,,,10925.0,617158.0,,,,0.0,77.0,77.0,,77.0,,,,,0.001,75000000.0,10665000.0,10665000.0,10665.0,,54251.0,2851185.0,,54251.0,,,,54251.0,,,,,,21919.0,,-0.01,,,,,2049.0,,,,,,,,,,,,,,,,,,1642.0,,,,92177.0,77.0,92177.0,,,,,,,-79691.0,,78049.0,-78049.0,,5082.0,,-1642.0,,,,,,,,,,,,,,,,,,,,,-719923.0,0.0,,,,,,-92100.0,,,,,,,,76000.0,,0.0,10576196.0,,,
2017-11-30,2018-04-19,10-K,KANGE CORP.,KGNR,CIK0001593773,USD,5250.0,,,1000.0,808332.0,,,,2170.0,147389.0,147389.0,,77.0,-78.0,-78.0,,,0.001,750000000.0,14165842.0,14165842.0,14166.0,65675.0,,,,,-2170.0,11423.0,,,28215.0,0.0,,28215.0,,26901.0,,-0.01,0.21,1.0,,0.0,22779.0,-88032.0,0.0,,0.0,4784.0,-4784.0,,,-200.0,5050.0,,1000.0,,,1000.0,0.0,,5395.0,,0.0,57688.0,33151.0,147389.0,33151.0,,81000.0,81000.0,0.0,16651.0,-16729.0,-88032.0,,80467.0,-80467.0,,5250.0,-7565.0,-7565.0,,,,,66312.0,66312.0,66312.0,,,,54252.0,,,16651.0,,,,,,,-708260.0,0.0,,,,,,114238.0,,,3283700.0,65675.0,,124000.0,,81000.0,81000.0,,11217085.0,,,
2018-02-28,2021-05-10,10-Q,KANGE CORP.,KGNR,CIK0001593773,USD,9611.0,,,4000.0,808332.0,,,,0.0,159463.0,159463.0,,0.0,,-77.0,,,0.001,750000000.0,14165842.0,14165842.0,14166.0,,,,,,0.0,,,,,,,,,28151.0,0.0,,,,32863.0,,8688.0,3463.0,0.0,0.0,,,,,,,4361.0,,,,,3000.0,-20712.0,,0.0,0.0,,,,159463.0,41762.0,,113863.0,113863.0,,1250.0,-1327.0,3463.0,,29400.0,-29400.0,,,,32863.0,0.0,,,,45600.0,,45600.0,,,,,,,1250.0,,,,,,,-704797.0,0.0,,,,,,117701.0,,,,,,,,,,32863.0,,14167524.0,,
2018-05-31,2021-06-01,10-Q,KANGE CORP.,KGNR,CIK0001593773,USD,10706.0,,,3000.0,1292474.0,,,,0.0,70148.0,70148.0,,0.0,,,,,0.001,750000000.0,14553465.0,14553465.0,14553.0,,,,,,,,,,,,,,,0.0,,-0.04,,,,,4095.0,,,,,,,,,,,,,,,,,,0.0,,,,,70148.0,13706.0,,45129.0,,,,,-545788.0,,24676.0,-24676.0,,,,-521112.0,,,,,25019.0,,25019.0,,,,,,,,,,,,,,-1250585.0,0.0,,,,,,56442.0,,,,,,,,,,68734.0,,14536612.0,,
2018-08-31,2021-06-10,10-Q,KANGE CORP.,KGNR,CIK0001593773,USD,11006.0,,,6000.0,1292474.0,,,,0.0,29120.0,29120.0,,0.0,,,,,0.001,750000000.0,14553465.0,14553465.0,14553.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,3300.0,,,,,,,,,,,,,,,,,,0.0,,,,,29120.0,17006.0,,16200.0,,,,,-44328.0,,15399.0,-15399.0,,,,-28929.0,,,,,12920.0,,,124000.0,,,,,,,,,,,,,-1294913.0,0.0,,,,,,12114.0,,,,,,,,,,-28929.0,14553465.0,,,
2018-11-30,2021-07-28,10-K,KANGE CORP.,KGNR,CIK0001593773,USD,5700.0,,,8000.0,1292474.0,,,,0.0,6249.0,6249.0,,0.0,-77.0,,,,0.001,750000000.0,14553465.0,14553465.0,14553.0,,,,,,,,,,156734.0,0.0,,,,5776.0,,-0.04,,1.0,-74751.0,-452378.0,18553.0,,0.0,,0.0,128519.0,-128519.0,,,,450.0,,11000.0,,,,66312.0,,0.0,,0.0,66312.0,,6249.0,19476.0,,6249.0,,-74751.0,7026.0,-7103.0,-611994.0,,84865.0,-84865.0,,,-527129.0,,,,,,0.0,,,124000.0,,,,,,7026.0,,,,,,,-1320254.0,0.0,,,,,,-13227.0,,,,,484529.0,,,,,,14453639.0,,,
2020-11-30,2021-09-15,10-K,KANGE CORP.,KGNR,CIK0001593773,USD,5500.0,,,,1276084.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,750000000.0,750000000.0,14396323.0,14396323.0,14396.0,,,,,,,,,,155054.0,0.0,,,,16276.0,,0.0,0.21,1.0,,,1100.0,,0.0,,0.0,231.0,-231.0,,,,-1400.0,,,,,,,,,,0.0,,,0.0,21776.0,,0.0,,0.0,2500.0,-2500.0,-1100.0,,1100.0,-1100.0,,,0.0,,,,,,0.0,,,,2500.0,,,,,,2500.0,,0.0,-1100.0,,,-1312256.0,0.0,,,,,,-21776.0,,,,,,,,,,,14414405.0,,,0.0
2021-02-28,2021-09-23,10-Q,KANGE CORP.,KGNR,CIK0001593773,USD,5500.0,,,,1276084.0,,,,,0.0,0.0,,0.0,0.0,,,,0.001,750000000.0,14396323.0,14396323.0,14396.0,,,,,,,,,,,,,,,17276.0,,0.0,,,,,1000.0,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,0.0,22776.0,,,,,1000.0,-1000.0,-1000.0,,1000.0,-1000.0,,,0.0,,,,,,,,,,1000.0,,,,,,,,,-1000.0,,,-1313256.0,0.0,,,,,,-22776.0,,,,,,,,,,,14396323.0,,,
2021-05-31,2021-09-27,10-Q,KANGE CORP.,KGNR,CIK0001593773,USD,0.0,,,,1276084.0,,,,,11250.0,11250.0,0.0,0.0,,,,,0.001,750000000.0,14396323.0,14396323.0,14396.0,,,,,,,,,,,,,,,43451.0,,0.0,,,,,9425.0,,,,,,,,,,,,,,,,,,,,,,,11250.0,43451.0,,,,,,,-9425.0,,9425.0,-9425.0,,,0.0,,,,,,11250.0,,,,,,,,,,,,,-9425.0,,,-1322681.0,0.0,,,,,,-32201.0,,,,,,,,,,,14396323.0,,,
2021-08-31,2021-10-14,10-Q,KANGE CORP.,KGNR,CIK0001593773,USD,1331.0,,,,1276084.0,,,,,500.0,500.0,0.0,0.0,,,,,0.001,750000000.0,14396323.0,14396323.0,14396.0,,,,,,,,,,,,,,,48951.0,,0.0,,,,,17581.0,,,,,,,,,,,,,,,,,,,,,,,500.0,50282.0,,,,,,,-17581.0,,17581.0,-17581.0,,,0.0,,,,,,500.0,,,,,,,,,,,,,-17581.0,,,-1340262.0,0.0,,,,,,-49782.0,,,,,,,,,,,14396323.0,,,
2021-11-30,2022-03-11,10-K,KANGE CORP.,KGNR,CIK0001593773,USD,4000.0,,,,1276084.0,,,,,0.0,0.0,0.0,0.0,,,,,0.001,750000000.0,14396323.0,14396323.0,14396.0,,,,,,,,,,165414.0,0.0,,,,67107.0,,0.0,0.21,1.0,,,49331.0,,0.0,,0.0,10360.0,-10360.0,,,,-1500.0,,,,,,,,,,0.0,,,0.0,71107.0,,,,,50831.0,-50831.0,-49331.0,,49331.0,-49331.0,,,0.0,,,,,,,,,,,,,,,,50831.0,,,-49331.0,,,-1361587.0,0.0,,,,,,-71107.0,,,,,,,,,,,14396323.0,,,0.0
