end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AdditionalPaidInCapital,AdjustmentForAmortization,Assets,AssetsCurrent,AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,BankOverdrafts,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CashProvidedByUsedInDiscontinuedOperationsFinancingActivities,CashProvidedByUsedInDiscontinuedOperationsInvestingActivities,CashProvidedByUsedInDiscontinuedOperationsOperatingActivities,CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockValue,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,FiniteLivedIntangibleAssetsNet,GainOrLossOnSaleOfStockInSubsidiary,GeneralAndAdministrativeExpense,ImpairmentOfIntangibleAssetsExcludingGoodwill,ImpairmentOfIntangibleAssetsFinitelived,IncomeLossFromDiscontinuedOperationsNetOfTax,IncreaseDecreaseInAccountsPayable,IndefiniteLivedLicenseAgreements,IntangibleAssetsNetExcludingGoodwill,InterestExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,LoansPayableCurrent,NetCashProvidedByUsedInDiscontinuedOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwardsValuationAllowance,OtherIncome,OtherLoansPayableCurrent,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockValue,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProfessionalFees,ProfitLoss,RetainedEarningsAccumulatedDeficit,StockholdersEquity,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2012-09-30,2012-11-19,10-Q,ANCHORAGE INTERNATIONAL HOLDINGS CORP.,CSJT,CIK0001451797,USD,35027.0,380767.0,114.0,2202.0,98.0,,,98.0,,98.0,-539.0,,,,,,,0.0,,1000000000.0,469440000.0,,,4694.0,,,484198.0,-2127.0,0.0,,2104.0,,653.0,,,,-24366.0,2268.0,,,100027.0,2202.0,100027.0,,65000.0,,,40000.0,,,-40539.0,-16287.0,,14160.0,,,,,0.0,10000000.0,0.0,,40000.0,,13507.0,-14160.0,,-97825.0,,1121280000.0
2012-12-31,2013-02-19,10-Q,ANCHORAGE INTERNATIONAL HOLDINGS CORP.,CSJT,CIK0001451797,USD,53589.0,380767.0,,2048.0,58.0,,,58.0,,58.0,,,,,,,,0.0,,1000000000.0,469440000.0,,,4694.0,,,506514.0,-1003.0,0.0,,,,3025.0,,,,,2268.0,1990.0,,122189.0,2048.0,122189.0,,68600.0,,,,,,,-26307.0,,25304.0,,,,,0.0,10000000.0,0.0,,,,22279.0,-25304.0,,-120141.0,,560640000.0
2013-03-31,2013-05-20,10-Q,ANCHORAGE INTERNATIONAL HOLDINGS CORP.,CSJT,CIK0001451797,USD,59456.0,380767.0,0.0,2054.0,176.0,,,176.0,,176.0,,,,,,,,0.0,,1000000000.0,469440000.0,,,4694.0,,,517575.0,-5283.0,0.0,,,,-3302.0,,,,,2268.0,1878.0,,133256.0,2054.0,133256.0,,73800.0,,,,,,,-11061.0,,5778.0,,,,,0.0,10000000.0,0.0,,,,9080.0,-5778.0,,-131202.0,,560640000.0
2013-06-30,2013-10-15,10-K,ANCHORAGE INTERNATIONAL HOLDINGS CORP.,CSJT,CIK0001451797,USD,50736.0,376985.0,453.0,0.0,0.0,,12.0,0.0,,,-637.0,,,,,,,0.0,,2000000000.0,938880000.0,,0.0,9388.0,529861.0,-206646.0,529861.0,-9448.0,0.0,0.39,,,2346.0,1765.0,,,-8657.0,2268.0,,,143488.0,0.0,143488.0,,92740.0,1765.0,,67752.0,,,-70154.0,-61950.0,,50737.0,,206646.0,,,0.0,10000000.0,0.0,0.0,67740.0,12.0,48391.0,-50737.0,,-143488.0,24161.0,
2013-09-30,2013-11-14,10-Q,ANCHORAGE INTERNATIONAL HOLDINGS CORP.,CSJT,CIK0001451797,USD,51816.0,376985.0,,5.0,5.0,,,5.0,,5.0,5.0,,,,,,,0.0,,2000000000.0,938880000.0,,,9388.0,,,532674.0,,0.0,,,,1733.0,,,,1080.0,,,,146306.0,5.0,146306.0,,94490.0,,,1738.0,,,-1733.0,-2813.0,,2813.0,,,,,0.0,10000000.0,0.0,0.0,1750.0,-12.0,1080.0,-2813.0,,-146301.0,,938880000.0
2013-12-31,2014-02-19,10-Q,ANCHORAGE INTERNATIONAL HOLDINGS CORP.,CSJT,CIK0001451797,USD,50736.0,376985.0,,0.0,0.0,,12.0,,,0.0,,,,,,,,0.0,,2000000000.0,938880000.0,,,9388.0,,,529861.0,,0.0,,,,185.0,,,,,,,,143488.0,0.0,143488.0,,92740.0,,,,,,,-33152.0,,33152.0,,,,,0.0,10000000.0,0.0,,,,32967.0,-33152.0,,-143488.0,,938880000.0
2014-03-31,2014-05-20,10-Q,ANCHORAGE INTERNATIONAL HOLDINGS CORP.,CSJT,CIK0001451797,USD,71578.0,376985.0,,0.0,0.0,,20.0,,,0.0,,,,,,,,0.0,,2000000000.0,938880000.0,,,9388.0,,,572601.0,,0.0,,,,155.0,,,,,,,,186228.0,0.0,186228.0,,114630.0,,,,,,,-6775.0,,6775.0,,,,,0.0,10000000.0,0.0,,,,6620.0,-6775.0,,-186228.0,,938880000.0
2019-06-30,2020-04-29,10-K,ANCHORAGE INTERNATIONAL HOLDINGS CORP.,CSJT,CIK0001451797,USD,73828.0,376985.0,,,,,,,,,,,,,,,,0.0,,2000000000.0,938880000.0,938880000.0,,9388.0,,,,,0.0,,,,750.0,,,,750.0,,,,,,188458.0,,114630.0,,,,,,,-750.0,,750.0,-750.0,,,114630.0,0.0,10000000.0,,,,,,-750.0,-574831.0,-188458.0,,938880000.0
2019-09-30,2020-04-29,10-Q,ANCHORAGE INTERNATIONAL HOLDINGS CORP.,CSJT,CIK0001451797,USD,73828.0,376985.0,,,,,,,,,,,,,,,,0.0,,2000000000.0,938880000.0,938880000.0,,9388.0,,,,,,,,,,,,,,,,,,,188458.0,,114630.0,,,,,,,,114630.0,,,,,,0.0,10000000.0,,,,,,,-574831.0,-188458.0,,938880000.0
2019-12-31,2020-04-29,10-Q,ANCHORAGE INTERNATIONAL HOLDINGS CORP.,CSJT,CIK0001451797,USD,73828.0,376985.0,,,,,,,,,,,,,,,,0.0,,2000000000.0,938880000.0,938880000.0,,9388.0,,,,,0.0,,,,235.0,,,,,,,,,,188693.0,,235.0,,,,,,,-235.0,114630.0,235.0,-235.0,,,114630.0,0.0,10000000.0,,,,,,-235.0,-575066.0,-188693.0,,938880000.0
2020-03-31,2020-04-29,10-Q,ANCHORAGE INTERNATIONAL HOLDINGS CORP.,CSJT,CIK0001451797,USD,71578.0,491615.0,,,,,,,,,,,,,,,,0.0,,2000000000.0,938880000.0,938880000.0,,9388.0,,,,,0.0,,,,5364.0,,,,,,,,,,79427.0,,7849.0,,,,,,,-5364.0,114630.0,5364.0,-5364.0,,,114630.0,0.0,10000000.0,,,,,,-5364.0,-580430.0,-79427.0,,938880000.0
