end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrentAndNoncurrent,AdditionalPaidInCapitalCommonStock,AssetManagementCosts,Assets,AssetsHeldInTrust,AssetsUnderManagementCarryingAmount,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CashSegregatedUnderCommodityExchangeActRegulation,CommissionsPayableToBrokerDealersAndClearingOrganizations,Deposits,DepreciationAmortizationAndAccretionNet,DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral,DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral,DistributedEarnings,DividendIncomeOperating,DividendsReceivable,DueFromAffiliates,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,FinancialInstrumentsOwnedAtFairValue,FinancialInstrumentsOwnedDerivativesAndOtherContractualAgreementsAtFairValue,FinancialInstrumentsOwnedUSGovernmentAndAgencyObligationsAtFairValue,FloorBrokerageExchangeAndClearanceFees,GainLossOnInvestments,GainLossOnSaleOfDebtInvestments,GainLossOnSaleOfDerivatives,GainLossOnSaleOfInvestments,GainLossOnSaleOfSecuritiesNet,GeneralPartnersCapitalAccount,GeneralPartnersCapitalAccountUnitsOutstanding,GoodFaithAndMarginDepositsWithBrokerDealers,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInPayablesToBrokerDealers,InterestAndDividendIncomeOperating,InterestExpense,InterestIncomeExpenseNet,InterestIncomeOperating,InterestPaid,InterestPaidNet,InvestmentCompanyContractualFeeWaived,InvestmentCompanyExpenseRatioIncludingVoluntaryFeeWaiver,InvestmentCompanyGainLossOnInvestmentPerShare,InvestmentCompanyGeneralPartnerAdvisoryService,InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTotalReturn,InvestmentIncomeNet,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnderlyingFaceAmountAtMarketValue,InvestmentOwnedUnrecognizedUnrealizedAppreciation,InvestmentOwnedUnrecognizedUnrealizedAppreciationDepreciationNet,InvestmentsInAndAdvancesToAffiliatesAtFairValue,Liabilities,LiabilitiesAndStockholdersEquity,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsOutstanding,ManagementFeePayable,MarketableSecuritiesRealizedGainLoss,MarketableSecuritiesUnrealizedGainLoss,MinorityInterestDecreaseFromRedemptions,NetAssetValuePerShare,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,OperatingExpenses,OperatingIncomeLoss,OtherInvestmentsAndSecuritiesAtCost,OtherPayablesToBrokerDealersAndClearingOrganizations,PartnersCapitalAccountContributions,PartnersCapitalAccountReturnOfCapital,PartnersCapitalDistributionAmountPerShare,PayablesToBrokerDealersAndClearingOrganizations,PaymentsForProceedsFromInvestments,PaymentsForPurchaseOfSecuritiesOperatingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,PaymentsOfDividends,PaymentsToAcquireInvestments,PaymentsToAcquireMarketableSecurities,PaymentsToMinorityShareholders,ProceedsFromIssuanceOfCommonStock,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProceedsFromSaleOfSecuritiesOperatingActivities,ProfessionalFees,ProfitLoss,RealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,RealizedInvestmentGainsLosses,ReceivablesFromBrokersDealersAndClearingOrganizations,ReceivablesFromClearingOrganizations,RestrictedCashAndCashEquivalents,RestrictedCashAndInvestments,RestrictedInvestments,RestrictedInvestmentsPercentOfNetAssets,RetainedEarningsAccumulatedDeficit,SecuritiesPurchasedUnderAgreementsToResellLiability,SharesIssued,SharesOutstanding,StockholdersEquity,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TaxBasisOfInvestmentsUnrealizedAppreciationDepreciationNet,TemporaryEquityValueExcludingAdditionalPaidInCapital,UnrealizedGainLossOnDerivatives,UnrealizedGainLossOnInvestments,UnrealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,UnrealizedGainLossOnSecurities,UnrealizedGainOnSecurities,UnrealizedLossOnSecurities,MarketableSecuritiesRealizedGainLossExcludingOtherThanTemporaryImpairments,MarketableSecuritiesUnrealizedGainLossExcludingOtherThanTemporaryImpairments
2012-06-30,2012-08-03,10-Q,INVESCO DB US DOLLAR INDEX BEARISH FUND,UDN,CIK0001383149,USD,46927.0,72845654.0,161631.0,74584342.0,,,,17104022.0,,,,,,,89.0,,,,,,,,,,-0.81,,488989.0,56991331.0,10275.0,-2783671.0,,-1430642.0,,434.0,1065.0,,74584342.0,,,,,,,,,,14720.0,,,,,,,,,,,,,,-157186.0,,,,,,,,47016.0,74584342.0,,,,,,,,,,,,-2940857.0,,171906.0,,,,,,,,,,,,,,,,,,,,,-2940857.0,,-1430208.0,,,,,1202520.0,,1690607.0,,2800000.0,74537326.0,74537326.0,-15791642.0,200000.0,-600000.0,5265336.0,800000.0,21056978.0,,,-1351428.0,-1353463.0,,-2035.0,,,,
2012-09-30,2012-11-02,10-Q,INVESCO DB US DOLLAR INDEX BEARISH FUND,UDN,CIK0001383149,USD,97066.0,83667471.0,143617.0,87036404.0,,,,20746032.0,,,,,,,423.0,,,,,,,,,,0.55,,-697597.0,66987969.0,14774.0,1724540.0,,2910540.0,,226.0,1087.0,,87036404.0,,,,,,,,,,13623.0,,,,,,,,,,,,,,-144768.0,,,,,,,,97489.0,87036404.0,,,,,,,,,,,,1579772.0,,158391.0,,,,,,,,,,,,,,,,,,,,,1579772.0,,2910766.0,,,,,1925352.0,,3270357.0,,3200000.0,3200000.0,86938915.0,10821817.0,600000.0,400000.0,16287382.0,200000.0,5465565.0,,,-1186586.0,-1186226.0,,360.0,,,,
2012-12-31,2013-02-25,10-K,INVESCO DB US DOLLAR INDEX BEARISH FUND,UDN,CIK0001383149,USD,61918.0,,666918.0,92560006.0,0.0,,19586191.0,19586191.0,18009050.0,,,0.0,,,160.0,21654.0,-50739.0,,,0.0,,,,,0.03,,-21654.0,72995469.0,60362.0,1808849.0,388.0,2122931.0,,388.0,1088.0,40.0,92560006.0,-6706.0,,-1963.0,,,-1963.0,,,,69369.0,,,,,,,,,,,,,,-855347.0,,,,,,-21654.0,,62078.0,92560006.0,92496840.0,3400000.0,,,,,,-10435418.0,-10435418.0,28444468.0,28444468.0,953502.0,,727280.0,,,,,,,160.0,,,64358994.0,,,,283940373.0,,53923576.0,310997882.0,,,,779830.0,,2123319.0,,,,,1290300.0,,,,,3400000.0,92497928.0,-9655588.0,2000000.0,-400000.0,53923576.0,2400000.0,64358994.0,,,-671666.0,-666925.0,,4741.0,69306.0,90960.0,,
2013-03-31,2013-05-03,10-Q,INVESCO DB US DOLLAR INDEX BEARISH FUND,UDN,CIK0001383149,USD,55145.0,,167921.0,83585052.0,0.0,,,2954060.0,-16632131.0,,,,,,851.0,,-13041.0,,,0.0,,,,,-1.1,,-361537.0,80992529.0,14195.0,-3632465.0,-182.0,-3291886.0,,-182.0,1044.0,,83585052.0,-6773.0,,691.0,,,,,,,12921.0,,,,,,,,,,,,,,-169195.0,,,,,,,,55996.0,83585052.0,,,,,,,,-5167212.0,-5167212.0,-11464919.0,,-3801660.0,,182116.0,,,,,,,,,,10625018.0,,,,80983974.0,,5457806.0,72999259.0,,,,-3801660.0,,-3292068.0,,,,,1078440.0,,,,,3200000.0,83529056.0,-5167212.0,200000.0,-200000.0,5457806.0,400000.0,10625018.0,,,-339883.0,-340397.0,,-514.0,,361537.0,,
2013-06-30,2013-08-08,10-Q,INVESCO DB US DOLLAR INDEX BEARISH FUND,UDN,CIK0001383149,USD,44393.0,,141126.0,67709154.0,0.0,,,8795946.0,,,,0.0,,,8261.0,2084926.0,,,,,,,,,-0.08,,-2084926.0,60998134.0,18408.0,108854.0,,1830304.0,,2199.0,1041.0,,67709154.0,,,,,,,,,,10456.0,,,,,,,,,,,,,,-149078.0,,,,,,,,52654.0,67709154.0,,,,,,,,,,,,-40224.0,,159534.0,,,,,,,,,,,,,,,,,,,,,-40224.0,,1832503.0,,,,,1297890.0,,,,,2600000.0,67656500.0,-15872556.0,,-600000.0,,600000.0,15832332.0,,,-1723389.0,-1723649.0,,-260.0,,,,
2013-09-30,2013-11-05,10-Q,INVESCO DB US DOLLAR INDEX BEARISH FUND,UDN,CIK0001383149,USD,40056.0,,123574.0,69970281.0,0.0,,2900378.0,2900378.0,,,,0.0,,,879.0,,,,,,,,,,1.03,,1070832.0,65999071.0,2238.0,2716542.0,,-437424.0,,89.0,1082.0,,69970281.0,,,,,,,,,,7020.0,,,,,,,,,,,,,,-118792.0,,,,,,,,5040809.0,69970281.0,,,,,,,,,,,,2597750.0,,125812.0,,,,,,,879.0,,,,,,,,,,,,,,2597750.0,,-437335.0,,,,,1395680.0,,,,,2400000.0,64929472.0,-2727028.0,,-200000.0,,200000.0,5324778.0,,,3155758.0,3153877.0,,-1881.0,,,,
2013-12-31,2014-03-14,10-K,INVESCO DB US DOLLAR INDEX BEARISH FUND,UDN,CIK0001383149,USD,41843.0,,555153.0,70069544.0,0.0,,5020379.0,5020379.0,-14565812.0,,,0.0,,,2509.0,,-35277.0,,,0.0,,,,,-0.07,,,64995883.0,45810.0,-354949.0,,-656883.0,-656883.0,2105.0,1084.0,40.0,70069544.0,-20075.0,-20075.0,2349.0,,,2349.0,,,,38361.0,898.0,,,,,,,,,,,,,-696103.0,,,,5000000.0,,53282.0,,5043530.0,70069544.0,65024930.0,2400000.0,,2105.0,-1167.0,,,-26324321.0,-26324321.0,11758509.0,11758509.0,-1051051.0,,600963.0,-566584.0,,,,,,4999178.0,,267963255.0,31782127.0,,,,267963255.0,,5457806.0,280998234.0,,280998234.0,555153.0,-1147593.0,-654778.0,-654778.0,,,,,810810.0,,,,,,65026014.0,-27471914.0,,,5457806.0,,31782127.0,,,74936.0,74936.0,73769.0,-1167.0,,,,
2014-03-31,2014-05-09,10-Q,INVESCO DB US DOLLAR INDEX BEARISH FUND,UDN,CIK0001383149,USD,38625.0,,112188.0,64570746.0,0.0,,,3012787.0,-2007592.0,,,,,,1773.0,439900.0,-8231.0,,,0.0,,,,,-0.03,,,61997859.0,8279.0,-37157.0,,455807.0,,342.0,1082.0,40.0,64570746.0,-3218.0,,-736.0,,-5495161.0,-736.0,,,,8231.0,,,,,,,,,,,,,,-112236.0,,,,,,-439900.0,,5039893.0,64570746.0,59529771.0,2200000.0,,,,,,,-5345768.0,3338176.0,3338176.0,-149393.0,,120467.0,-112236.0,,,,,,,,,5345768.0,,,,56993099.0,,,59999889.0,,,,,,456149.0,,,,,801515.0,,,,,,59530853.0,-5495161.0,,,,,5345768.0,,,-493182.0,-493306.0,,-124.0,,,,
2014-06-30,2014-08-06,10-Q,INVESCO DB US DOLLAR INDEX BEARISH FUND,UDN,CIK0001383149,USD,33802.0,,104728.0,59404813.0,0.0,,,1751021.0,,,,0.0,,,168.0,,,,,0.0,,,,,0.13,,,56998318.0,5982.0,404503.0,,-689882.0,,233.0,1088.0,40.0,59404813.0,,,,,5159568.0,,,,,5446.0,,,,,,,,,,,,,,-105264.0,,,,5000000.0,,655474.0,,5033528.0,59404813.0,54370197.0,2000000.0,,,,,,,,,,299239.0,,110710.0,-105264.0,,,,,,4999558.0,,,,,,,,,,,,,,,,-689649.0,,,,,596640.0,,,,,,54371285.0,-5159568.0,,,,,5458807.0,,,1095374.0,1094152.0,,-1222.0,,,,
2014-09-30,2014-11-05,10-Q,INVESCO DB US DOLLAR INDEX BEARISH FUND,UDN,CIK0001383149,USD,29781.0,,97243.0,50240742.0,0.0,,,1147323.0,,,,0.0,,,5328.0,905812.0,,,,0.0,,,,,-2.08,,,49999231.0,10483.0,-3904693.0,,-2343054.0,,75.0,1004.0,40.0,50240742.0,,,,,-9165524.0,,,,,3720.0,,,,,,,,,,,,,,-104006.0,,,,5000000.0,,-905812.0,,5034981.0,50240742.0,45204757.0,1800000.0,,,,,,,,,,-4008699.0,,107726.0,-104006.0,,,,,,4999872.0,,,,,,,,,,,,,,,,-2342979.0,,,,,707135.0,,,,,,45205761.0,-9165524.0,,,,,5156825.0,,,-1561286.0,-1561714.0,,-428.0,,,,
2014-12-31,2015-03-09,10-K,INVESCO DB US DOLLAR INDEX BEARISH FUND,UDN,CIK0001383149,USD,47093.0,,112188.0,43841021.0,0.0,43841021.0,1829181.0,1829181.0,-3191198.0,,,0.0,-3191198.0,1829181.0,5311.0,987014.0,-19747.0,0.0,987014.0,0.0,,,,47093.0,-4.66,,,42998854.0,34419.0,-10187837.0,,-5821553.0,-5821553.0,700.0,951.0,40.0,752895.0,5250.0,5250.0,,,-12736193.0,2802.0,19726.0,,,22055.0,21.0,,,,,,,,,,,,,-566442.0,,,,,,-987014.0,,1052317.0,43841021.0,42787753.0,1800000.0,47093.0,700.0,-1443.0,,23.77,,-14930744.0,,11739546.0,-10754279.0,,463700.0,-566442.0,,,,,,999913.0,,223982840.0,40014869.0,,,,223982840.0,,25084125.0,241999608.0,,241999608.0,429281.0,,-5820853.0,-5820853.0,,,,,752895.0,0.0172,,,,,42788704.0,-22237310.0,,,25084125.0,,40014869.0,-987014.0,,-1040296.0,-1040296.0,-1041739.0,-1443.0,,,,
