end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AllocatedShareBasedCompensationExpense,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleDebtCurrent,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostOfRevenue,DebtCurrent,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentDecreaseForgiveness,DebtInstrumentUnamortizedDiscount,DeferredFederalIncomeTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredOfferingCosts,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,DisposalGroupIncludingDiscontinuedOperationGrossProfitLoss,DividendsSharebasedCompensationStock,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,FinitelivedIntangibleAssetsAcquired1,GeneralAndAdministrativeExpense,GoodwillAndIntangibleAssetImpairment,GoodwillImpairmentLoss,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsCurrent,InterestAndDebtExpense,InterestExpense,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToRedeemableNoncontrollingInterest,NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired1,OperatingExpenses,OperatingIncomeLoss,OtherNonoperatingIncomeExpense,PaymentsToAcquireIntangibleAssets,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProfessionalFees,ProfitLoss,ProvisionForDoubtfulAccounts,RetainedEarningsAccumulatedDeficit,Revenues,ShareBasedCompensation,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2017-08-31,2017-10-16,10-Q,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,,,,,41400.0,,,,,,0.0,,,,0.001,75000000.0,14000000.0,14000000.0,14000.0,,,,,,,,,,,,,,,,,,,,6007.0,,,0.0,,,,,,,,,,-3000.0,,,,,,,,,,,,,-1000.0,,,,,,,,,,14213.0,0.0,14213.0,4000.0,,-4000.0,-3000.0,,,3000.0,-3000.0,,,,,,,4000.0,,3000.0,,,-69613.0,,,,-14213.0,,,,,,,14000000.0
2017-11-30,2018-03-12,10-Q,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,,,,,57613.0,,,,,,,,,,0.001,75000000.0,14000000.0,14000000.0,14000.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,-2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2000.0,,,2000.0,-2000.0,,,,,,,,,2000.0,,,-71613.0,,,,-16213.0,,,,,,,14000000.0
2018-02-28,2018-04-23,10-Q,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,,,2471.0,,57513.0,,,,,,2471.0,2471.0,,,0.001,75000000.0,14100000.0,14100000.0,14100.0,,,,,,3363.0,,,,,,,,,,,-32529.0,,,,38614.0,,0.0,,,,,554.0,,35000.0,2471.0,,-3614.0,,-3614.0,,-32529.0,,0.0,,,,,,,,,,,,,0.0,,,,38614.0,2471.0,38614.0,,,,-36143.0,,,3614.0,-3614.0,,,,,,,,,3060.0,,,-107756.0,5834.0,,,-36143.0,,,,,,,14055556.0
2018-05-31,2018-11-08,10-K,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,6510.0,6510.0,3396.0,,71465.0,,,,,,3396.0,3396.0,0.0,,0.001,75000000.0,148433.0,148433.0,148.0,,,,,3363.0,,,,,2000.0,,,,,27031.0,-16219.0,,,,,43629.0,,-0.35,-0.21,0.21,0.0,-35000.0,1009.0,,35000.0,3396.0,-20139.0,-20139.0,,-31604.0,-0.14,-31604.0,,-0.21,,,,-3516.0,-10812.0,3516.0,5510.0,5510.0,-3396.0,,49629.0,,0.0,,,,50139.0,3396.0,50139.0,49629.0,-35000.0,-14629.0,-51743.0,,-35000.0,20139.0,-20139.0,,,,,,,49629.0,,19130.0,,,-118356.0,6759.0,,,-46743.0,,,,,,,147790.0
2018-08-31,2018-11-28,10-Q,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,,9099.0,3730.0,,57513.0,,,,,,3730.0,3730.0,,,0.001,75000000.0,14100000.0,14100000.0,14100.0,,,,,,,,,,,,,,,,,,,,,50289.0,,-0.06,,,,,450.0,,,334.0,-9249.0,-9249.0,,,-0.06,334.0,334.0,0.0,,,,,,,2589.0,,-334.0,,,,,,,,59388.0,3730.0,59388.0,6660.0,,-6660.0,-8915.0,,,9249.0,-9249.0,,,,,,,6660.0,,8799.0,-8915.0,,-127271.0,334.0,,,-55658.0,,,,,,,147790.0
2018-11-30,2019-01-23,10-Q,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,,5222.0,3951.0,,57513.0,,,,,,3951.0,3951.0,,,0.001,75000000.0,14100000.0,14100000.0,14100.0,,,,,,,,,,,,,,,,,,221.0,,,68388.0,,-0.09,,,,,450.0,,,221.0,,-14222.0,,-14222.0,-0.1,221.0,221.0,0.0,,,,,,,,,,,,,,,,,73610.0,3951.0,73610.0,,,,-14001.0,,,14222.0,-14222.0,,,,,,,,,13772.0,-14001.0,,-141272.0,221.0,,,-69659.0,,,,,,,147965.0
2019-02-28,2019-04-19,10-Q,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,,600.0,,,57513.0,,,,,,,,,,0.001,75000000.0,14100000.0,14100000.0,14100.0,,,,,,,,,,,,,,,,,-3951.0,,,,78259.0,,-0.06,,,,,450.0,,,,,-5249.0,,-5249.0,-0.04,-3951.0,-3951.0,-0.03,,,,,,,,,,,,,,,,,78859.0,,78859.0,,,,-9200.0,,,5249.0,-5249.0,,,,,,,,,4799.0,-9200.0,,-150472.0,,,,-78859.0,,,,,,,148433.0
2019-05-31,2019-08-21,10-K,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,3747.0,,0.0,0.0,71465.0,,,,0.0,,0.0,,0.0,0.0,0.001,75000000.0,148433.0,148433.0,148.0,,,0.0,0.0,,,0.0,0.0,0.0,,38775.0,0.0,35192.0,,35192.0,-35192.0,,,,,81859.0,81859.0,-0.26,-0.21,0.21,0.0,,1800.0,,,0.0,-35467.0,-35467.0,-35467.0,-3396.0,-0.24,-3396.0,,-0.02,-0.02,0.0,0.0,-8161.0,,8161.0,-2763.0,,-555.0,0.0,38230.0,,,,0.0,0.0,85606.0,0.0,85606.0,38230.0,,-38230.0,-38863.0,167582.0,,35467.0,-35467.0,0.0,,,,,0.0,38230.0,,33667.0,-38863.0,3951.0,-157219.0,0.0,0.0,,-85606.0,,0.0,,,,-35192.0,148433.0
2019-08-31,2019-10-09,10-Q,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,3173.0,,,5230.0,117211.0,45746.0,,,45746.0,8201431.0,,,0.0,0.0,0.001,75000000.0,148433.0,148433.0,148.0,96576.0,,,96576.0,,,,-96576.0,45746.0,,6971.0,,,,,,,,,,,14717.0,-0.44,,,,,450.0,,,,-65119.0,-65119.0,-65119.0,,-0.44,,,,,0.0,0.0,,,,-574.0,,,5230.0,,,,5230.0,50976.0,0.0,104979.0,,104979.0,14717.0,,-14717.0,-65119.0,,,14143.0,-14143.0,-50976.0,,,,,14717.0,,,13693.0,-65119.0,,-222338.0,0.0,,,-104979.0,,,,,,,148433.0
2019-11-30,2020-01-10,10-Q,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,1364.0,,,6147.0,125999.0,8788.0,,,,,,,0.0,,0.001,75000000.0,148433.0,148433.0,148.0,,-105365.0,105365.0,105364.0,,,,,,,,,,,,,,,,,,,-0.11,,,,,1450.0,,,,,-16684.0,-16684.0,-16684.0,-0.11,,,,,0.0,,,,,,,,,,,,,9705.0,,112875.0,,112875.0,,,,-16684.0,,,6979.0,-6979.0,-9705.0,,,,,,,,5529.0,-16684.0,,-239022.0,,,,-112875.0,,,,,,,148433.0
2020-02-29,2020-04-08,10-Q,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,1269.0,,,17958.0,125999.0,,,,,,,,0.0,,0.001,75000000.0,148433.0,148433.0,148.0,,,110320.0,110320.0,,,,-110320.0,,,,,,,,,,,38500000.0,,,,-259.49,,,,,450.0,,,,,-38516672.0,-38516672.0,-38516672.0,-259.49,,,,,0.0,,,,,,,,,,,,,11811.0,,129547.0,,129547.0,,,,-38516672.0,,,38504861.0,-38504861.0,-11811.0,,,,,,,,4411.0,-38516672.0,,-38755694.0,,38500000.0,,-129547.0,,,,,38500000.0,,148433.0
2020-05-31,2020-08-21,10-K,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,4225.0,,,23986.0,38622389.0,,,38500000.0,105924.0,29016292.0,0.0,0.0,0.0,0.0,0.001,75000000.0,60648433.0,60648433.0,55148.0,,0.0,113670.0,113670.0,,,0.0,113670.0,105924.0,,,0.0,69254.0,,,,,,,,0.0,0.0,-3.02,,0.21,,,2825.0,,,0.0,-38662199.0,,-38662199.0,,-3.02,0.0,,,0.0,0.0,0.0,,,,479.0,,0.0,23986.0,,,0.0,23986.0,129910.0,0.0,141881.0,0.0,141881.0,31810.0,0.0,-31810.0,-38662199.0,329781.0,,38532289.0,-38532289.0,-129910.0,0.0,,0.0,,31810.0,0.0,,29464.0,-38662199.0,0.0,-38819418.0,0.0,38500000.0,0.001,-141881.0,,,,,38500000.0,69254.0,12805967.0
2020-08-31,2020-10-02,10-Q,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,3500.0,,,29752.0,38644521.0,,,,16632.0,37648682.0,0.0,,0.0,0.0,0.001,75000000.0,60648433.0,60648433.0,60648.0,,0.0,119302.0,119302.0,,,,-119302.0,16632.0,,,,,,,,,,,,,,0.0,,,,,450.0,,,,,,-38305.0,,,,,,,0.0,0.0,,,,-725.0,,,5766.0,,,,23986.0,22397.0,0.0,152554.0,0.0,152554.0,16632.0,,-16632.0,-38305.0,,,15908.0,-15908.0,-22397.0,,,0.0,,16632.0,,,15458.0,-38305.0,,-38857723.0,0.0,,0.001,-152554.0,,,11000.0,,,,60648433.0
2020-11-30,2020-12-17,10-Q,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,300.0,,,36490.0,38651922.0,,,,,,0.0,,0.0,,0.001,75000000.0,60648433.0,60648433.0,60648.0,,0.0,,126702.0,,,,-126702.0,,,,,,,,,,,,,,,0.0,,,,,450.0,,,,,,-18339.0,,,,,,,0.0,,,,,,,,,,,,,14139.0,,163492.0,0.0,163492.0,,,,-18339.0,,,4200.0,-4200.0,-14139.0,,,,,,,,3750.0,-18339.0,,-38876062.0,,,0.001,-163492.0,,,,,,,60648433.0
2021-02-28,2021-04-08,10-Q,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,2974.0,,,43610.0,38654622.0,,,,,,400.0,0.0,0.0,,0.001,75000000.0,60648433.0,60648433.0,60648.0,,0.0,129402.0,129402.0,,,,129402.0,,,,,,,,,,,,,,,0.0,,,,,450.0,,,,,,-14794.0,,,,,,,0.0,,,,,,,,,,,400.0,,9820.0,,175986.0,400.0,175986.0,,,,-14794.0,,,4974.0,-4974.0,-9820.0,,,,,,,,4524.0,-14794.0,,-38890856.0,,0.0,0.001,-175586.0,,,,,,,60648433.0
2021-05-31,2021-08-16,10-K,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,3675.0,,,51058.0,38654622.0,,,0.0,26732.0,47748982.0,400.0,0.0,0.0,0.0,0.001,75000000.0,60648433.0,60648433.0,60648.0,,0.0,129402.0,129402.0,,,,129402.0,26732.0,,,0.0,86807.0,,,,,,,,4000.0,4000.0,0.0,,0.21,,,1800.0,,,,,,-83587.0,,,,,,,0.0,0.0,,,,-549.0,,,27072.0,,,400.0,27072.0,53805.0,0.0,188135.0,400.0,188135.0,30732.0,-400.0,-30332.0,-83587.0,413368.0,,29782.0,-29782.0,-53805.0,400.0,,4000.0,,26732.0,,4000.0,27982.0,,,-38903005.0,,0.0,0.001,-187735.0,,,11000.0,,,86807.0,60648433.0
2021-08-31,2021-10-12,10-Q,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,2051.0,,,58506.0,38654622.0,,,,0.0,47748982.0,400.0,0.0,0.0,0.0,0.001,75000000.0,60648433.0,60648433.0,60648.0,,0.0,129402.0,129402.0,,,,129402.0,0.0,,,,,,,,,,,,19108.0,,0.0,,,,,450.0,,,,,,-20932.0,,,,,,,0.0,0.0,,,,-1624.0,,,7448.0,,,400.0,7448.0,7448.0,0.0,209067.0,400.0,209067.0,15108.0,,-15108.0,-20932.0,,,13484.0,-13484.0,-7448.0,,,15108.0,,0.0,,,13034.0,,,-38923937.0,,,0.001,-208667.0,,,,,,,60648433.0
2021-11-30,2022-01-03,10-Q,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,701.0,,,65874.0,38654622.0,,,,,,400.0,0.0,0.0,,0.001,75000000.0,60648433.0,60648433.0,60648.0,,0.0,129402.0,129402.0,,,,129402.0,,,,,,,,,,,,,27658.0,,0.0,,,,,450.0,,,,,,-14568.0,,,,,,,0.0,,,,,,,,,,,400.0,,7368.0,,223635.0,400.0,223635.0,,,,-14568.0,,,7200.0,-7200.0,-7368.0,,,,,,,,6750.0,,,-38938505.0,,,0.001,-223235.0,,,,,,,60648433.0
