end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesNoncurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,AdjustmentsToAdditionalPaidInCapitalOther,AdvertisingExpense,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,BankOverdrafts,BusinessCombinationConsiderationTransferred1,BusinessCombinationConsiderationTransferredLiabilitiesIncurred,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ConversionOfStockSharesConverted1,ConvertibleDebtCurrent,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount1,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentFaceAmount,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentPeriodicPayment,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DepositAssets,Depreciation,DepreciationAndAmortization,DerivativeLiabilitiesCurrent,DividendsPayableCurrent,DueToAffiliateCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EquityIssuanceDollarAmountPerShare,EquityIssuancePerShareAmount,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfIntangibleAssetsFinitelived,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpenseAmortization,IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaidNet,InterestPayableCurrent,InventoryNet,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermDebt,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NonoperatingIncomeExpense,NotesIssued1,NotesPayable,NotesReduction,OfficersCompensation,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAdditionalCapital,OtherIncome,OtherLiabilitiesCurrent,OtherNonoperatingIncomeExpense,PaymentsToAcquireBusinessesGross,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockSharesSubscribedButUnissuedValue,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfConvertiblePreferredStock,ProceedsFromNotesPayable,ProceedsFromOtherEquity,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromShortTermDebt,ProfessionalFees,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RelatedPartyTransactionPurchasesFromRelatedParty,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,RevenueNotFromContractWithCustomer,Revenues,SalariesAndWages,SalesCommissionsAndFees,ShortTermBorrowings,ShortTermLeaseCost,StockholdersEquity,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesReverseStockSplits,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2017-04-30,2017-06-14,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,421685.0,26099.0,120584.0,,,,5488804.0,108926.0,,,143413.0,44203.0,44203.0,,,,,44203.0,44203.0,,,,0.001,480000000.0,4262310.0,4262310.0,4262.0,,,,34784.0,,51829.0,,,,,,,,,,,272913.0,98328.0,,,,,,,,,-0.06,,,,,55904.0,,,,,,,,-51234.0,36892.0,,10695.0,,-570253.0,,,,154108.0,,16908.0,,,675339.0,44203.0,614456.0,,,,,114449.0,114449.0,,,-70246.0,-70246.0,-210012.0,,-154108.0,,,,,-55904.0,,,,,,,,0.001,20000000.0,1000000.0,1000000.0,,1000.0,,,,,114449.0,,,,,,,,,,-6125202.0,,,,,,,,-631136.0,,,,,145506.0,,,,,3580354.0
2017-07-31,2017-09-19,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,420335.0,33854.0,122584.0,,,,5553289.0,,,,,10293.0,10293.0,,,,,,,,,,0.001,480000000.0,5885746.0,5885746.0,5886.0,,,,44228.0,,84857.0,,,,,,,,,,,263469.0,0.0,,,10293.0,,,,,,-0.03,,,,,34539.0,,,,,,,,,,,,,,,,,119590.0,,20141.0,,,729449.0,10293.0,651367.0,,,,,,,,,,,-154129.0,,-119590.0,,,,,-34539.0,,,,,,,,0.001,20000000.0,1000000.0,1000000.0,,1000.0,,,,,,,,,,,,,,,-6279331.0,,,,,,,,-719156.0,,,,,,,,,,4843317.0
2017-10-31,2017-12-20,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,420314.0,24710.0,122584.0,,,,5601948.0,,,,,22450.0,22450.0,,,,,,,,,,0.001,480000000.0,6226604.0,6226604.0,6227.0,,,,24919.0,,111576.0,,,,,,,,,,,125802.0,159257.0,,,22450.0,,,,,,-0.01,,,,,25842.0,,,,,,,,,,,,,,,,,28590.0,,39485.0,,,747038.0,22450.0,697409.0,,,,,,,,,,,-54432.0,,-28590.0,,,,,-25842.0,,,,,,,,0.001,20000000.0,1000000.0,1000000.0,,1000.0,,,,,,,,,,,,,,,-6333763.0,,,,,,,,-724588.0,,,,,,,,,,6196810.0
2018-01-31,2018-05-01,10-K,NEUTRA CORP.,NTRR,CIK0001512886,USD,458480.0,11939.0,83692.0,,,,5661911.0,184926.0,,,375801.0,12325.0,12325.0,,,,,0.0,,,,,0.001,480000000.0,6839274.0,6839274.0,6839.0,,,141843.0,17185.0,224537.0,146708.0,,,,,,,,,,,50800.0,224861.0,,,12325.0,,,,,,-0.1,0.35,,,,163684.0,,,,-70013.0,181661.0,-111648.0,,-14440.0,,,41879.0,,-735348.0,,,,355348.0,,55343.0,,,776797.0,12325.0,747673.0,,,,,108925.0,,,,-108925.0,,-519032.0,,-355348.0,,,,,-163684.0,2065820.0,,,,,,,0.001,20000000.0,1000000.0,1000000.0,,1000.0,,,,,108925.0,,,,,,,,,,-6434222.0,,,,,,,,-764472.0,,,,,245190.0,,,,,5262147.0
2018-04-30,2018-06-14,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,458480.0,,83692.0,,,,5822971.0,142500.0,,,56808.0,92979.0,92979.0,,,,,,,,,,0.001,480000000.0,7182983.0,7182983.0,7183.0,,,,,,202701.0,,18904.0,,,,,,,,,0.0,368853.0,,,92979.0,,,,,,-0.02,,,,,63852.0,,,,,,,,,,,13190.0,,734912.0,,,,69998.0,,79568.0,,,827891.0,92979.0,827891.0,,,,,142500.0,,,,-142500.0,,-131844.0,,-67992.0,,,,,-63852.0,,,2006.0,,,,,0.001,20000000.0,1000000.0,1000000.0,,1000.0,,,,,142500.0,,,,,,,,,,-6566066.0,,,2006.0,22500.0,,,,-734912.0,,,,,18904.0,,,,,6854722.0
2018-07-31,2018-09-14,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,458480.0,,83692.0,,,,5822971.0,,,,,30630.0,30630.0,,,,,,,,,,0.001,480000000.0,7182983.0,7182983.0,7183.0,,,181843.0,,,83559.0,,,,,,,,,,,0.0,306152.0,,,30630.0,,,,,,-0.02,,,,,62349.0,,,,,,,,,,,,,,,,,76118.0,,92985.0,,,904009.0,30630.0,904009.0,,,,,,,,,,,-138467.0,,-76118.0,,,,,-62349.0,,,,,,,,0.001,20000000.0,1000000.0,1000000.0,,1000.0,,,,,,,,,,,,,,,-6704533.0,,,,,,,,-873379.0,,,,,,,,,,7182983.0
2018-10-31,2018-12-17,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,458480.0,,83692.0,,,,7516358.0,194500.0,,,,110929.0,110929.0,,,,,,,,,,0.001,480000000.0,28791079.0,28791079.0,28791.0,,,230833.0,,,102889.0,,,,,,,,,,,0.0,333832.0,,,110929.0,,,,,,-0.12,,,,,1507186.0,,,,,,,,,,,,,,,,,206251.0,,103406.0,,,982750.0,110929.0,982750.0,,,,,,,,,,,-1713437.0,,-206251.0,,,,,-1507186.0,,,,,,,,0.001,20000000.0,1000000.0,1000000.0,,1000.0,,,,,,,,,,,,,,,-8417970.0,,,,,,,,-871821.0,,,,,56495.0,,1464000.0,,,13794138.0
2019-01-31,2019-05-01,10-K,NEUTRA CORP.,NTRR,CIK0001512886,USD,458481.0,,83692.0,,,,7722991.0,472000.0,,,624359.0,163596.0,163596.0,,,,,0.0,,,,,0.001,480000000.0,34126328.0,34126328.0,34126.0,,,,,736554.0,61684.0,,152367.0,7287054.0,,,,,,,,,147302.0,,,163596.0,,,,,,-0.16,0.21,,,,1709280.0,,,,-379073.0,510188.0,-131115.0,,,,,75377.0,,1105570.0,,,,720750.0,22500.0,134291.0,,,1269166.0,163596.0,1269166.0,,,,,417000.0,,,,-417000.0,,-2429465.0,,-720185.0,,496000.0,,,-1709280.0,2406926.0,,565.0,,,,,0.001,20000000.0,1000000.0,1000000.0,,1000.0,,,,,417000.0,,,,,,,,,,-8863687.0,,,,,,,,-1105570.0,,,,,152367.0,,1464000.0,,,14907042.0
2019-04-30,2019-06-14,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,428759.0,,122585.0,,,,7765388.0,,,,26293.0,105816.0,105816.0,,,,,,,,,,0.001,480000000.0,40527668.0,40527668.0,40527.0,,,,496000.0,550900.0,19989.0,,48798.0,582071707.0,,,,,,,,,121009.0,,,105816.0,,,,,,0.0,,,,,66951.0,,,,,,,,9171.0,,,34968.0,,1184984.0,,,,61261.0,,165117.0,,,1290800.0,105816.0,1290800.0,,,,,,,,,,,-128212.0,,-61261.0,,,,,-66951.0,,,,,,,,0.001,20000000.0,1000000.0,1000000.0,,1000.0,,,,,,,,,,,,,,,-8991899.0,,,,,,,1950.0,-1184984.0,,,,,48798.0,,,,,36183408.0
2019-07-31,2019-09-23,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,430758.0,,120585.0,,,,7896836.0,60000.0,,,,65964.0,65964.0,,,,,,,,,,0.001,480000000.0,178176960.0,178176960.0,178177.0,,,,,482297.0,6324.0,,,,,,,,,,,,56676.0,,,40964.0,,,,,,0.0,,,,74325.0,57703.0,,,,,,,,,,,,,,,,,154420.0,,139234.0,,,1119648.0,65964.0,1119648.0,,,,,,,,,,,-137798.0,,-80095.0,,,,,-57703.0,,,,,,,,0.001,20000000.0,1000000.0,1000000.0,,1000.0,25000.0,,,,,,,,,,,,,,-9129697.0,,,,,,,,-1053684.0,,,,,209098.0,,,,,91865831.0
2019-10-31,2019-12-23,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,369790.0,,172140.0,,,,7898022.0,50000.0,,,,15696.0,15696.0,,,,,,,,,,0.001,,454277229.0,454277229.0,454277.0,,,,,404997.0,20358.0,,,,,,,396252.0,,,,,95642.0,,,3196.0,,,,,,0.0,,,,,180785.0,,,,,,,,,,,,,,,,,38274.0,,155418.0,,,1010153.0,15696.0,1010153.0,,,,,,,,,,,-219059.0,-219059.0,-38274.0,,,,,-180785.0,,,,,,,,,20000000.0,,,,,12500.0,,,,,,,,,,,,,,-9348756.0,,,,,,,,-994957.0,,,,,138356.0,,,89930.0,,298801842.0
2020-01-31,2020-06-24,10-K,NEUTRA CORP.,NTRR,CIK0001512886,USD,410620.0,,131755.0,,,,8091570.0,150000.0,,,233681.0,182334.0,182334.0,,,,177176.0,177176.0,177176.0,,177176.0,,0.001,,616198035.0,616198035.0,616198.0,,,,,384997.0,23379.0,,461771.0,582071707.0,,,,,,,,,72621.0,651535.0,0.0,1658.0,,,,,,0.0,0.21,,,74325.0,400640.0,6395.0,,,-97007.0,146080.0,-49073.0,,202.0,,,106088.0,3500.0,-849490.0,,,,340701.0,749.0,173623.0,3500.0,,1031824.0,182334.0,1031824.0,,,,,358783.0,,,,-181607.0,,-695621.0,-695621.0,-301376.0,,,,,-394245.0,3102547.0,,,,,,,0.001,20000000.0,,,,,,,,250000.0,150000.0,,,,,,,,,41217.0,-9559308.0,6395.0,,6395.0,,,,,-849490.0,,,,,461771.0,,89930.0,250000.0,,241537039.0
2020-04-30,2020-07-14,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,410721.0,,131755.0,,,,7822536.0,,,,42539.0,133918.0,53664.0,,,,49511.0,49511.0,,-127665.0,,-127665.0,0.001,,930732086.0,930732086.0,930732.0,,,,,339497.0,20418.0,1023.0,45500.0,314534051.0,,,,,,,,,30082.0,,,1658.0,,,,,,0.0,,,,,50531.0,2013.0,,,,,,,101.0,,,19317.0,-1005.0,-994617.0,,,,61855.0,,192940.0,2495.0,,1048281.0,133918.0,1048281.0,,,,,,,-80254.0,,-47411.0,,-110373.0,-110373.0,-61855.0,,,,,-48518.0,,,,,,,80254.0,0.001,20000000.0,,,,,,,,,,,,,,,80254.0,80254.0,,,-9669681.0,,3036.0,3036.0,,,,,-914363.0,,,,,45500.0,,,,,684755781.0
2020-07-31,2020-09-14,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,413156.0,,131755.0,,6688.0,,7424043.0,,,,,185495.0,62972.0,,,,59782.0,59782.0,,,,,0.001,,1383565422.0,1383565422.0,1383565.0,,,,,239711.0,,889.0,,,,,,,,,,,,,,1658.0,,6688.0,,,,0.0,,,,61421.0,82985.0,2816.0,,,,,,,,,,,,,,,,46867.0,,168749.0,1532.0,,967821.0,185495.0,967821.0,,,,,,,,,,,-72303.0,-87803.0,14554.0,,,,,-86857.0,,,,,-89673.0,,,0.001,20000000.0,,,50000.0,,,,,,,,,,,,129211.0,122523.0,,,-9757484.0,,,3705.0,,,,,-897826.0,,,,,54340.0,,,,,984251075.0
2020-10-31,2020-12-21,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,418156.0,,131755.0,,17363.0,,7424043.0,,,,,166277.0,17117.0,,,,13475.0,13475.0,,,,,0.001,,1383565422.0,1383565422.0,1383565.0,,,,,239711.0,,,,,,,,99840.0,,,,,,,,1610.0,,10675.0,,,,0.0,,,,,84270.0,726.0,,,,,,,,,,,,,,,,15105.0,,183855.0,2032.0,,987927.0,166277.0,987927.0,,,,,,,,,,,-109324.0,-124524.0,-15105.0,,,,,-94219.0,,,,,-94945.0,,,0.001,20000000.0,,,50000.0,,,,,,,,,,,,166523.0,149160.0,,,-9882008.0,,,726.0,,,,,-1022350.0,,,,,,,,,,801493715.0
2021-01-31,2021-05-17,10-K,NEUTRA CORP.,NTRR,CIK0001512886,USD,426482.0,,131755.0,25.0,30666.0,,7427709.0,,,,72621.0,190767.0,24943.0,,,,23308.0,23308.0,,,-153868.0,,0.001,,1492765422.0,1492765422.0,1492765.0,,,,,239711.0,,42944.0,99840.0,767367387.0,,,,,,,,,,758885.0,0.0,1610.0,30666.0,30666.0,,2634.0,,0.0,0.21,,,61421.0,414742.0,-33257.0,,,-97917.0,113167.0,-15250.0,,32098.0,,25.0,49027.0,-3500.0,-977000.0,,,,121648.0,,181675.0,,,1001943.0,190767.0,1001943.0,,,,,455000.0,,-196490.0,,-412378.0,,-538892.0,-580692.0,-60227.0,,,,,-478665.0,3613738.0,,,,,,196490.0,0.001,20000000.0,,,250000.0,,,,,,,230000.0,,,,,196490.0,165824.0,,25000.0,-10140000.0,9687.0,,9687.0,,,,,-967476.0,,,,,99840.0,,,,,1192972593.0
2021-04-30,2021-06-21,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,429396.0,,131755.0,190.0,48878.0,,7489650.0,,,,,208317.0,20479.0,,,,18679.0,18679.0,,,,-4629.0,0.001,,1518950011.0,1518950011.0,1518950.0,,,,,239711.0,,10261.0,,26184589.0,,,,,,,,,,,,1610.0,18212.0,18212.0,,3968.0,,0.0,,,,,102869.0,1292.0,,,,,,,2914.0,,165.0,14612.0,,997664.0,,,,14613.0,,196287.0,,,1018143.0,208317.0,1018143.0,,,,,137340.0,,-40226.0,,-101743.0,,-137316.0,-166176.0,-14613.0,,,,,-122703.0,,,,,,,40226.0,0.001,20000000.0,,,250000.0,,,,,140000.0,11262.0,,,-13922.0,,,236716.0,187838.0,,,-10306176.0,,11553.0,11553.0,,2914.0,,,-1045526.0,,,,,,,,,,1503852887.0
2021-07-31,2021-09-14,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,435719.0,,131755.0,3843.0,68998.0,,7519257.0,,,,,174289.0,6571.0,,,,1118.0,1118.0,,,,,0.001,,1563287497.0,1563287497.0,1563286.0,,,,,239711.0,,16331.0,,,,,,,,,,,,,,1610.0,,20120.0,,6991.0,,0.0,,,,,98133.0,-524.0,,,,,,,,,,,,,,,,15783.0,,212070.0,,,1046772.0,174289.0,1046772.0,,,,,,,,,,,-140883.0,-164900.0,-15783.0,,,,,-125100.0,,,,,-124576.0,,,0.001,20000000.0,,,250000.0,,,,,,,,,,,,236716.0,167718.0,,,-10471076.0,,,15807.0,,6323.0,,,-1136483.0,,,,,,,,,,1520800025.0
2021-10-31,2021-12-10,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,438701.0,,131755.0,,88724.0,,7576319.0,,,,,178661.0,30668.0,,,,29058.0,29058.0,,,,,0.001,,1677410163.0,1677410163.0,1677409.0,,,,,239711.0,,24622.0,,,,,,,,,,,,,,1610.0,,19726.0,,6229.0,,0.0,,,,11262.0,152400.0,1649.0,,,,,,,,,,,,,,,,15105.0,,227175.0,,,1049335.0,178661.0,1049335.0,,,,,,,,,,,-178954.0,-222576.0,-3843.0,,,,,-175111.0,,,,,-176760.0,,,0.001,20000000.0,,,250000.0,,,,,,,,,,,,236717.0,147993.0,,,-10693652.0,,,26271.0,,4634.0,,,-1187874.0,,,,,,,,,,1637475687.0
