end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableRelatedPartiesCurrent,Assets,AssetsNet,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,EarningsPerShareBasic,FairValueOfAssetsAcquired,GainLossOnSaleOfTrustAssetsToPayExpenses,GrossProfit,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInReceivables,InvestmentInPhysicalCommodities,InvestmentInPhysicalCommoditiesFairValueDisclosure,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedBalanceOtherMeasure,InvestmentOwnedPercentOfNetAssets,InvestmentRelatedLiabilities,Liabilities,LiabilitiesAndStockholdersEquity,LiabilityForUncertainTaxPositionsNoncurrent,NetAssetValuePerShare,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfChangeOnNetIncome,NonInvestmentAssetsLessNonInvestmentLiabilities,NonInvestmentAssetsLessNonInvestmentLiabilitiesPercentOfNetAssets,OperatingExpenses,OtherCostAndExpenseOperating,PaymentsForOperatingActivities,PaymentsForRepurchaseOfCommonStock,ProceedsFromCustomers,ProceedsFromIssuanceOfCommonStock,RealizedInvestmentGainsLosses,ReceivablesNetCurrent,RetainedEarningsAccumulatedDeficit,SharesOutstanding,SponsorFees,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,WeightedAverageNumberOfSharesOutstandingBasic
2014-09-30,2014-11-10,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,80025.0,159175000.0,159095000.0,,,,2500000.0,2500000.0,159095000.0,-8.14,,17000.0,,,,,159175000.0,,165003000.0,159175000.0,2784576.7,1.0005,,80000.0,,,,,-20740000.0,,,,262000.0,0.0,,,,,,,0.0,2500000.0,262117.0,159095000.0,,,,,,,2546739.0
2014-12-31,2015-03-02,10-K,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,86196.0,237238000.0,237152000.0,,,0.0,3850000.0,3850000.0,237152000.0,-2.64,,36000.0,,,,,234158000.0,,242403000.0,234158000.0,4225571.5,0.9874,,86000.0,,0.0,61.6,,-7056000.0,554000.0,,,1089000.0,0.0,,,,,2832000.0,,,3850000.0,1089397.0,237152000.0,1850000.0,114973000.0,1950000.0,131123000.0,,,2669726.0
2015-03-31,2015-05-08,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,79965.0,152842000.0,149707000.0,,,0.0,2450000.0,2450000.0,,1.08,,-3000.0,,,,,152842000.0,,159154000.0,152842000.0,2776289.9,1.0209,,3135000.0,,0.0,,,3243000.0,,,,282000.0,0.0,,,,,1592000.0,,,2450000.0,282229.0,149707000.0,100000.0,6311000.0,1500000.0,96999000.0,,,3007222.0
2015-06-30,2015-08-06,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,71422.0,144823000.0,144752000.0,,,0.0,2450000.0,2450000.0,,-2.02,,-8000.0,,,,,144823000.0,,155434000.0,144823000.0,2716603.2,1.0005,,71000.0,,0.0,,,-4878000.0,,,,220000.0,0.0,,,,,,,,2450000.0,220368.0,144752000.0,,,,,,,2414835.0
2015-09-30,2015-11-06,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,69419.0,138716000.0,138647000.0,,,0.0,2500000.0,2500000.0,,-3.44,,-22000.0,,,,,138716000.0,,156748000.0,138716000.0,2767862.6,1.0005,,69000.0,,0.0,,,-8507000.0,,,,212000.0,0.0,,,,,,,,2500000.0,211594.0,138647000.0,,,,,,,2474457.0
2015-12-31,2016-02-29,10-K,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,80206.0,161846000.0,161766000.0,,,0.0,3100000.0,3100000.0,,-7.1,,-55000.0,,,,,161846000.0,161846000.0,188277000.0,161846000.0,3426930.6,1.0005,80000.0,80000.0,,0.0,52.18,,-18787000.0,,-80000.0,-0.0005,937000.0,0.0,,,,,336000.0,,,3100000.0,937624.0,161766000.0,1000000.0,55156000.0,1750000.0,111755000.0,,,2645205.0
2016-03-31,2016-05-06,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,83240.0,163348000.0,163265000.0,,,0.0,2750000.0,2750000.0,,7.14,,-28000.0,,,,,163348000.0,163348000.0,166439000.0,163348000.0,3035516.2,1.0005,83000.0,83000.0,,0.0,59.37,,20350000.0,,,,241000.0,0.0,,,,,-2749000.0,,,2750000.0,241202.0,163265000.0,50000.0,2652000.0,400000.0,21503000.0,,,2848901.0
2016-06-30,2016-08-05,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,98205.0,208356000.0,208258000.0,,,0.0,3200000.0,3200000.0,,5.75,,1000.0,,,,,205102000.0,205102000.0,191089000.0,205102000.0,3471739.2,0.9848,,98000.0,,0.0,65.08,,16832000.0,,,,274000.0,0.0,,,,,,,,3200000.0,273879.0,208258000.0,,,,,,,2926923.0
2016-09-30,2016-11-04,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,132872.0,278136000.0,278003000.0,,,0.0,4150000.0,4150000.0,,1.28,,25000.0,,,,,278136000.0,278136000.0,258933000.0,278136000.0,4566961.3,1.0005,,133000.0,,0.0,66.99,,4835000.0,,,,380000.0,0.0,,,,,,,,4150000.0,379826.0,278003000.0,,,,,,,3765761.0
2016-12-31,2017-02-27,10-K,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,129462.0,261641000.0,261512000.0,,,0.0,4500000.0,4500000.0,,1.45,,6000.0,,,,,258735000.0,,276167000.0,258735000.0,4889808.5,0.9894,,129000.0,,0.0,58.11,,5000000.0,,2777000.0,0.0106,1284000.0,0.0,,,,,-2716000.0,,,4500000.0,1283558.0,261512000.0,1850000.0,119307000.0,450000.0,24619000.0,,,3443989.0
2017-03-31,2017-05-04,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,154561.0,310125000.0,309970000.0,,,0.0,4900000.0,4900000.0,,5.1,,-10000.0,,,,,303799000.0,,297010000.0,303799000.0,5266626.3,0.9801,,155000.0,,0.0,63.26,,23831000.0,,6171000.0,0.0199,431000.0,0.0,,,,,41000.0,,,4900000.0,430339.0,309970000.0,450000.0,27830000.0,50000.0,3145000.0,,,4674444.0
2017-06-30,2017-08-07,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,157942.0,323496000.0,323338000.0,,,0.0,5250000.0,5250000.0,,-1.7,,5000.0,,,,,320416000.0,,321781000.0,320416000.0,5696865.7,0.991,,158000.0,,0.0,61.59,,-8619000.0,,2922000.0,0.009,471000.0,0.0,,,,,,,,5250000.0,471739.0,323338000.0,,,,,,,5063187.0
2017-09-30,2017-11-06,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,167704.0,340508000.0,340340000.0,,,0.0,5350000.0,5350000.0,,1.97,,6000.0,,,,,340508000.0,,330992000.0,340508000.0,5852313.9,1.0005,,168000.0,,0.0,63.62,,10378000.0,,-168000.0,-0.0005,506000.0,0.0,,,,,,,,5350000.0,506228.0,340340000.0,,,,,,,5276630.0
2017-12-31,2018-02-27,10-K,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,183974.0,362116000.0,361932000.0,,,0.0,5600000.0,5600000.0,,6.09,,17000.0,,,,,362116000.0,,346429000.0,362116000.0,6116596.4,1.0005,,184000.0,,0.0,64.63,,31245000.0,,-184000.0,-0.0005,1943000.0,0.0,,,,,68000.0,,,5600000.0,1942976.0,361932000.0,1150000.0,72378000.0,50000.0,3145000.0,,,5131918.0
2018-03-31,2018-05-04,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,193099.0,382452000.0,382259000.0,,,0.0,5950000.0,5950000.0,,-0.44,,30000.0,,,,,379240000.0,,366048000.0,379240000.0,6434720.2,0.9921,,193000.0,,0.0,64.25,,-2543000.0,,3019000.0,0.0079,562000.0,0.0,,,,,514000.0,,,5950000.0,561705.0,382259000.0,500000.0,32679000.0,150000.0,9785000.0,,,5796667.0
2018-06-30,2018-08-09,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,539760.0,344166000.0,343626000.0,,,0.0,5600000.0,5600000.0,,-2.8,,21000.0,,,,,344166000.0,,347624000.0,344166000.0,6104846.0,1.0016,,540000.0,,0.0,61.36,,-16398000.0,,-540000.0,-0.0016,558000.0,0.0,,,,,810000.0,,,5600000.0,558106.0,343626000.0,150000.0,9532000.0,500000.0,31791000.0,,,5854396.0
2018-09-30,2018-11-09,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,156682.0,318010000.0,317853000.0,,,0.0,5450000.0,5450000.0,,-3.11,,-11000.0,,,,,318010000.0,,337228000.0,318010000.0,5925933.6,1.0005,,157000.0,,0.0,58.32,,-17167000.0,,-157000.0,-0.0005,500000.0,0.0,,,,,-907000.0,,,5450000.0,499629.0,317853000.0,50000.0,2883000.0,200000.0,11489000.0,,,5516848.0
2018-12-31,2019-03-01,10-K,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,182586.0,359447000.0,359264000.0,,,,5700000.0,5700000.0,,-1.7,,13000.0,,,,,359447000.0,,351430000.0,359447000.0,6188465.8,1.0005,,183000.0,,0.0,63.03,,-9675000.0,,-183000.0,-0.0005,2133000.0,0.0,,,,,128000.0,,,5700000.0,2132987.0,359264000.0,1100000.0,69065000.0,1000000.0,62058000.0,,,5700685.0
2019-03-31,2019-05-09,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,180421.0,351536000.0,351356000.0,,,,5500000.0,5500000.0,,0.9,,21000.0,,,,,351536000.0,,338876000.0,351536000.0,5962503.8,1.0005,,180000.0,,0.0,63.88,,5079000.0,,-180000.0,-0.0005,540000.0,0.0,,,,,975000.0,,,5500000.0,539776.0,351356000.0,100000.0,6452000.0,300000.0,19439000.0,,,5648889.0
2019-06-30,2019-08-09,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,187764.0,379803000.0,379615000.0,,,,5600000.0,5600000.0,,3.9,,18000.0,,,,,379803000.0,,345004000.0,379803000.0,6061696.4,1.0005,,188000.0,,0.0,67.79,,21884000.0,,-188000.0,-0.0005,547000.0,0.0,,,,,293000.0,,,5600000.0,547217.0,379615000.0,200000.0,12806000.0,100000.0,6431000.0,,,5608242.0
2019-09-30,2019-11-08,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,215908.0,442710000.0,442494000.0,,,,6050000.0,6050000.0,,5.16,,60000.0,,,,,442710000.0,,378262000.0,442710000.0,6538827.5,1.0005,,216000.0,,0.0,73.14,,29673000.0,,-216000.0,-0.0005,615000.0,0.0,,,,,639000.0,,,6050000.0,615425.0,442494000.0,500000.0,36905000.0,50000.0,3699000.0,,,5751630.0
2019-12-31,2020-02-28,10-K,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,248496.0,499326000.0,499078000.0,,,0.0,6550000.0,6550000.0,,13.11,,196000.0,,,,,491706000.0,,407094000.0,491706000.0,6960703.3,0.9852,,248000.0,,0.0,76.2,,76194000.0,,7372000.0,0.0148,2404000.0,0.0,,,,,2003000.0,,,6550000.0,2403544.0,499078000.0,1300000.0,93189000.0,450000.0,29569000.0,,,5811918.0
2020-03-31,2020-05-08,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,270643.0,524001000.0,523730000.0,,,,6900000.0,6900000.0,,-1.2,,150000.0,,,,,524001000.0,,448158000.0,524001000.0,7435283.7,1.0005,,271000.0,,0.0,75.9,,-8064000.0,,-271000.0,-0.0005,796000.0,0.0,,,,,1501000.0,,,6900000.0,795664.0,523730000.0,650000.0,53465000.0,300000.0,20749000.0,,,6742857.0
2020-06-30,2020-08-07,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,274463.0,556535000.0,556261000.0,,,0.0,,6750000.0,,6.56,,129000.0,,,,,556535000.0,,439186000.0,556535000.0,7262602.0,1.0005,,274000.0,,0.0,82.41,,44160000.0,,-274000.0,-0.0005,804000.0,0.0,,,,,3458000.0,,,6750000.0,803707.0,556261000.0,100000.0,7925000.0,250000.0,19554000.0,,,6735714.0
2020-09-30,2020-11-06,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,362557.0,751062000.0,750699000.0,,,0.0,7950000.0,7950000.0,,10.5,,243000.0,,,,,751062000.0,,556093000.0,751062000.0,8540712.3,1.0005,,363000.0,,0.0,94.43,,76827000.0,,-363000.0,-0.0005,1035000.0,0.0,,,,,243000.0,,,7950000.0,1034546.0,750699000.0,1200000.0,117611000.0,,,,,7319022.0
2020-12-31,2021-03-01,10-K,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,414184.0,842282000.0,841868000.0,,,0.0,8600000.0,8600000.0,,19.53,,815000.0,,,,,827598000.0,,603126000.0,827598000.0,9064300.1,0.983,,414000.0,,0.0,97.89,,141534000.0,,14270000.0,0.017,3821000.0,0.0,,,,,5495000.0,,,8600000.0,3821435.0,841868000.0,2600000.0,241531000.0,550000.0,40303000.0,,,7247814.0
2021-03-31,2021-05-07,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,439546.0,875840000.0,875400000.0,,,0.0,9550000.0,9550000.0,,-6.34,,308000.0,,,,,866673000.0,,707726000.0,866673000.0,10122037.9,0.99,,440000.0,,0.0,91.66,,-57834000.0,,8727000.0,0.01,1285000.0,0.0,,,,,9003000.0,,,9550000.0,1285328.0,875400000.0,1350000.0,129519000.0,400000.0,38153000.0,,,9125000.0
2021-06-30,2021-08-06,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,493197.0,1021019000.0,1020526000.0,,,0.0,10700000.0,10700000.0,,3.12,,309000.0,,,,,1016250000.0,,824799000.0,1016250000.0,11390024.3,0.9958,,493000.0,,0.0,95.38,,31339000.0,,4276000.0,0.0042,1474000.0,0.0,,,,,309000.0,,,10700000.0,1473939.0,1020526000.0,1150000.0,113787000.0,,,,,10039560.0
2021-09-30,2021-11-05,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,472351.0,948354000.0,947882000.0,,,0.0,11100000.0,11100000.0,,-10.07,,295000.0,,,,,948354000.0,,872948000.0,948354000.0,11853450.7,1.0005,,472000.0,,0.0,85.39,,-112608000.0,,-472000.0,-0.0005,1574000.0,0.0,,,,,5011000.0,,,11100000.0,1574298.0,947882000.0,750000.0,72203000.0,350000.0,32239000.0,,,11183696.0
2021-12-31,2022-03-01,10-K,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,498389.0,971011000.0,970513000.0,,,0.0,10900000.0,10900000.0,,-9.61,,1089000.0,,,,,971011000.0,,855933000.0,971011000.0,11622408.6,1.0005,,498000.0,,0.0,89.04,,-99394000.0,,-498000.0,-0.0005,5840000.0,0.0,,,,,15868000.0,,,10900000.0,5840480.0,970513000.0,3250000.0,315510000.0,950000.0,87471000.0,,,10340548.0
