end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountIssued1,ConvertibleDebtCurrent,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentUnamortizedDiscount,DebtSecuritiesAvailableForSalePurchasedWithCreditDeteriorationDiscountPremium,DebtSecuritiesGainLoss,DeferredOfferingCosts,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxCreditCarryforwards,DeferredTaxAssetsValuationAllowance,DepositsAssets,Depreciation,DerivativeGainLossOnDerivativeNet,DerivativeLiabilities,DerivativeLiabilitiesCurrent,DerivativeLossOnDerivative,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationOtherReconcilingItems,IncomeTaxReconciliationTaxCredits,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseOther,InterestOnConvertibleDebtNetOfTax,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,ManagementFeeExpense,ManagementFeesRevenue,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToParentDiluted,NonoperatingIncomeExpense,NotesAndLoansReceivableNetCurrent,NotesPayableCurrent,OperatingExpenses,OperatingLossCarryforwards,OtherExpenses,OtherPrepaidExpenseCurrent,PaymentsToAcquireNotesReceivable,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToFundLongtermLoansToRelatedParties,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssets,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLinesOfCredit,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProfessionalFees,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentsOfConvertibleDebt,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMinimum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsForfeitures,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio1,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2018-06-30,2018-08-20,10-Q,"FOURTH WAVE ENERGY, INC.",FWAV,CIK0001652958,USD,,4817.0,150341.0,150341.0,,36875.0,,106771.0,106359.0,106359.0,,,,0.001,200000000.0,144525000.0,144525000.0,144525.0,,,,,,,,,,,,386.0,,,,,39500.0,,,0.0,,,,51473.0,,,,,,,,,,,,,,,,,438658.0,106771.0,438658.0,,,,,,,-51860.0,,,,244000.0,51859.0,,,,,,,0.001,500000000.0,0.0,0.0,,,,,,,,,,,,412.0,,,,-513287.0,,,,,,,,,,0.05,-331888.0,,,3000000.0,,,150000.0,,,29051800.0,
2018-09-30,2018-11-13,10-Q,"FOURTH WAVE ENERGY, INC.",FWAV,CIK0001652958,USD,,6309.0,152841.0,152841.0,,72841.0,,64340.0,64314.0,58614.0,,,,0.001,200000000.0,145259000.0,145259000.0,145259.0,,,,,,,,,,,,386.0,,,,,6000.0,,,0.0,,,,49236.0,,,,,,,,,,,,,,,,,409150.0,64340.0,409150.0,,,,,,,-49622.0,,,,244000.0,49622.0,,,,,,,0.001,500000000.0,0.0,0.0,,5700.0,,,,,,,,,,26.0,,,,-562910.0,,,,,,,,,,0.05,-344810.0,,,3734000.0,,,36700.0,,,29051935.0,
2018-12-31,2019-04-01,10-K,"FOURTH WAVE ENERGY, INC.",FWAV,CIK0001652958,USD,,15028.0,68341.0,68341.0,9443.0,189048.0,,6985.0,6985.0,1285.0,1285.0,,,0.001,200000000.0,29051800.0,29051800.0,29052.0,,,,0.0,,,,134600.0,,134600.0,,1184.0,,,,,6000.0,68341.0,,-0.01,,0.21,,197717.0,,-41800.0,,,41800.0,,10149.0,,20341.0,,,-5700.0,,,,,429869.0,6985.0,429869.0,,,,174212.0,,-172927.0,-198901.0,,,,244000.0,198901.0,641000.0,,,,,,0.001,500000000.0,0.0,0.0,,5700.0,,,186700.0,186700.0,,20000.0,20012.0,,9443.0,,,52500.0,,-640984.0,36000.0,,,,,,,,,,-422884.0,,,,,,186700.0,,,29051800.0,
2019-03-31,2019-05-01,10-Q,"FOURTH WAVE ENERGY, INC.",FWAV,CIK0001652958,USD,,15177.0,173341.0,173341.0,,189048.0,,15819.0,15819.0,10119.0,8834.0,,,0.001,200000000.0,29051800.0,29051800.0,29052.0,,,,,,,,,,,,,,,,,6000.0,,,0.0,,,,47655.0,,,,,,,89.0,,8500.0,,,,,,,,486358.0,15819.0,486358.0,,,,47900.0,,-39066.0,-47655.0,,,,291900.0,47655.0,,,,,,,0.001,500000000.0,0.0,0.0,,5700.0,,,,,,47900.0,,,,,,,,-688639.0,18000.0,,,,,,,,,,-470539.0,,,,,,,,,29051800.0,
2019-06-30,2019-08-19,10-Q,"FOURTH WAVE ENERGY, INC.",FWAV,CIK0001652958,USD,,11349.0,175221.0,175221.0,,195273.0,-8637.0,40436.0,40436.0,34736.0,,,,0.001,200000000.0,29076800.0,29076800.0,29077.0,,25021.0,,59979.0,,,,,,,,,,,60859.0,8493.0,6000.0,78721.0,,0.0,,,,79656.0,,,,,,,,,,,,,839.0,,,,602350.0,40436.0,602350.0,,,,,,,-97625.0,,,,323900.0,79656.0,,17969.0,,,,,0.001,500000000.0,0.0,0.0,,5700.0,,,,,,,,,,,,,,-786264.0,,,,,,,,,,,-561914.0,,,,6250.0,,,,,29069856.0,
2019-09-30,2019-11-07,10-Q,"FOURTH WAVE ENERGY, INC.",FWAV,CIK0001652958,USD,,13615.0,189374.0,189877.0,,208983.0,-37358.0,11999.0,11999.0,5130.0,,,,0.001,200000000.0,29076800.0,29076800.0,29077.0,,62379.0,,52621.0,,,,,,,,,,,97869.0,25720.0,6000.0,92874.0,,0.0,,,,70502.0,,,,,,,,,,,,,39712.0,,,,696137.0,11999.0,696137.0,,,,,,,-135934.0,,,,326900.0,70502.0,,65432.0,,,,,0.001,500000000.0,0.0,0.0,,6869.0,,,,,,,,,,,,,,-922198.0,,,,,,,,,,,-684138.0,,,,13710.0,,,,,29076800.0,
2019-12-31,2020-04-16,10-K,"FOURTH WAVE ENERGY, INC.",FWAV,CIK0001652958,USD,,128519.0,104623.0,104623.0,,348680.0,-100174.0,25709.0,25709.0,1691.0,406.0,,,0.001,200000000.0,29288163.0,29288163.0,29288.0,,116559.0,,83441.0,,,,193200.0,,193200.0,,,,,185295.0,56640.0,9000.0,104623.0,,-0.02,,0.21,,416174.0,,-58600.0,,-63000.0,121600.0,,16991.0,,36282.0,,,-18318.0,106357.0,,,,867896.0,25709.0,867896.0,,,,247900.0,,-247494.0,-579171.0,,,,332900.0,416174.0,920000.0,162997.0,,,,,0.001,500000000.0,0.0,0.0,,24018.0,,165000.0,60000.0,,,79900.0,82900.0,,,,,,,-1220155.0,121500.0,139908.0,,,,,,,,,-842187.0,,19960.0,50000.0,19960.0,139908.0,,,,29091310.0,
2020-03-31,2020-06-11,10-Q,"FOURTH WAVE ENERGY, INC.",FWAV,CIK0001652958,USD,,269107.0,70913.0,70913.0,,3256934.0,-79967.0,33515.0,33515.0,12173.0,10482.0,,,0.001,200000000.0,35488163.0,35488163.0,35488.0,,278840.0,,125160.0,,,,,,,,,,,320196.0,18215.0,,,,-0.11,,,,3203521.0,,,,,,,140588.0,,-33710.0,,,2676.0,85973.0,,,,1268956.0,33515.0,1268956.0,,,,196000.0,,-185518.0,-3307709.0,,,,329900.0,3203521.0,,104188.0,,,,,0.001,500000000.0,,,,21342.0,,199000.0,,,,0.0,,385000.0,,,,3000.0,,-4527864.0,34500.0,2914455.0,,,,,,,,,-1235441.0,,,,,,,2914455.0,,30321496.0,
2020-06-30,2020-08-13,10-Q,"FOURTH WAVE ENERGY, INC.",FWAV,CIK0001652958,USD,,513467.0,96162.0,70913.0,,3505238.0,-50888.0,14030.0,14030.0,2154.0,,,,0.001,200000000.0,36126329.0,36126329.0,36126.0,,299728.0,,74272.0,,,,,,,,,,,212227.0,58111.0,,96162.0,-0.01,-0.01,-0.01,,,334173.0,,,,,,,,,,,,,58671.0,,,,1451484.0,14030.0,1451484.0,,,,,,,-450955.0,-450955.0,,,329900.0,334173.0,,116782.0,,,,,0.001,500000000.0,,,,11876.0,,,,,,,,,,,,,,-4978819.0,,,,,,,,,,,-1437454.0,,,,32862.0,,50000.0,,35758968.0,35758968.0,35758968.0
2020-09-30,2020-11-20,10-Q,"FOURTH WAVE ENERGY, INC.",FWAV,CIK0001652958,USD,,625706.0,100137.0,,,3784172.0,,371446.0,371446.0,9438.0,,,,0.001,200000000.0,37307329.0,37307329.0,37307.0,,449276.0,,164186.0,,,,,,,,,309671.0,,639713.0,309671.0,,100137.0,-0.02,-0.02,-0.02,,0.0,212689.0,,,,,,,,,,,,,103587.0,103587.0,,,2154732.0,371446.0,2154732.0,,,,,,,-625947.0,,413258.0,,339900.0,212689.0,,413258.0,,,,,0.001,500000000.0,,,,362008.0,,,,,,,,,,,,,,-5604766.0,,,,,,,,,,,-1783286.0,,,,,,50000.0,,,36478230.0,36478230.0
2020-12-31,2021-03-31,10-K,"FOURTH WAVE ENERGY, INC.",FWAV,CIK0001652958,USD,657806.0,657806.0,21837.0,,,4379732.0,-370814.0,315453.0,290453.0,25786.0,24095.0,,,0.001,200000000.0,40647329.0,40647329.0,40647.0,713300.0,608144.0,,341856.0,,392900.0,,448700.0,,448700.0,25000.0,,,,676022.0,96804.0,,,,-0.14,,0.21,,4494039.0,,-255500.0,,-812200.0,1067700.0,,535151.0,,-62786.0,-25000.0,,149351.0,460738.0,,,,2199709.0,315453.0,2199709.0,,,,644887.0,,-620792.0,-5084481.0,,,0.0,235900.0,4494039.0,2137000.0,590442.0,,,,,0.001,5000000.0,1000.0,1000.0,1.0,264667.0,264667.0,581350.0,,100000.0,,,10000.0,,,,,13000.0,,-6304636.0,138000.0,3006455.0,,,,,,,,,-1884256.0,,,,,,100000.0,,,35412848.0,
2021-03-31,2021-05-14,10-Q,"FOURTH WAVE ENERGY, INC.",FWAV,CIK0001652958,USD,,285043.0,21837.0,,,5264382.0,-171930.0,224388.0,199388.0,23075.0,-2711.0,,,0.001,200000000.0,38764776.0,38764776.0,38765.0,10000.0,637894.0,,317106.0,,-76107.0,,,,,25000.0,,,,1521846.0,707710.0,,,,-0.04,,,,456043.0,,,,,,,8832.0,,,,,88354.0,216784.0,,,,2682520.0,224388.0,2682520.0,,,,219000.0,,-221711.0,-1456644.0,,,,215900.0,456043.0,,1000601.0,,,,,0.001,500000000.0,0.0,0.0,1.0,176313.0,,150000.0,,204000.0,,,,,,,,,,-7761280.0,34500.0,182000.0,,,,,,,,,-2458132.0,,10000.0,,,,204000.0,182000.0,,40919803.0,
2021-06-30,2021-08-13,10-Q,"FOURTH WAVE ENERGY, INC.",FWAV,CIK0001652958,USD,,307843.0,30313.0,,,7094179.0,,438728.0,290183.0,147683.0,,,,0.001,200000000.0,47160140.0,47160140.0,47160.0,440000.0,541985.0,,61765.0,,-289440.0,123545.0,,,,25000.0,,,,452307.0,-511811.0,,,-0.01,,-0.02,,,209553.0,,,,,,,,,,,,,321598.0,,43411.0,,1367448.0,438728.0,1367448.0,,,,,,,-308780.0,-777180.0,,,35000.0,209553.0,,99227.0,,,,,0.001,500000000.0,0.0,0.0,1.0,142500.0,,,,,,,,,,,,,,-8070060.0,,,,,,,,,,,-928720.0,,,,,,204000.0,,50641560.0,,44218236.0
2021-09-30,2021-11-22,10-Q,"FOURTH WAVE ENERGY, INC.",FWAV,CIK0001652958,USD,319592.0,,3011.0,,,7190579.0,,1078350.0,929805.0,113555.0,,,,0.001,200000000.0,47710140.0,47710140.0,47710.0,78750.0,1135992.0,,350258.0,,,123545.0,,,,25000.0,,146322.0,813490.0,813490.0,,,,-0.01,,-0.01,,0.0,190303.0,,,,,,,,,,,,,,60340.0,,,2307085.0,1078350.0,2307085.0,499218.0,,,,,,-396965.0,,206662.0,750000.0,35000.0,190303.0,,,60000.0,,,,0.001,5000000.0,1000.0,1000.0,1.0,,66250.0,,,,,,,,,,,,,-8467025.0,,,,,,,,,,,-1228735.0,,,,,,,18200.0,,47318382.0,47318382.0
