end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AdditionalPaidInCapital,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,BusinessAcquisitionPercentageOfVotingInterestsAcquired,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleDebt,ConvertibleNotesPayableCurrent,CurrentIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,GainLossRelatedToLitigationSettlement,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeTaxExaminationPenaltiesAndInterestExpense,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationNondeductibleExpenseOther,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseRelatedParty,InterestPaid,InterestPaidNet,InterestPayableCurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LongTermDebt,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherExpenses,OtherLiabilitiesNoncurrent,OtherNonoperatingIncomeExpense,PaymentsForOtherTaxes,PreferredStockNoParValue,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodValueNewIssues,StockRepurchasedDuringPeriodShares,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,Capital,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect
2019-03-31,2019-07-09,10-K,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,8860.0,,14770.0,,,,7000.0,7000.0,,0.0,0.0,0.001,0.001,10000000000.0,760250000.0,760250000.0,760250.0,,106292.0,,-97679.0,0.0,-465141.0,97679.0,376356.0,,0.0,0.21,,,22897.0,,,,0.0,,0.0,-46095.0,,,,,,,,-32480.0,,,8503.0,,-1167.0,8503.0,0.0,,0.0,,506278.0,7000.0,506278.0,,,244645.0,,-244645.0,-219501.0,-8503.0,,,,,,210998.0,-210998.0,,465000.0,,,-8503.0,,0.001,0.001,10000000.0,0.0,10000000.0,0.0,7000.0,,244645.0,188101.0,,0.0,-810078.0,0.0,-499278.0,,,,760250000.0,,
2019-06-30,2019-08-14,10-Q,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,5949.0,,16890.0,,,,4000.0,4000.0,,0.0,0.0,0.001,0.001,10000000000.0,760250000.0,760250000.0,760250.0,,106292.0,,,,,,391911.0,,0.0,,,,3144.0,,,,,,0.0,,,,,,,,,-2911.0,,,2120.0,,3000.0,2120.0,,,0.0,,521042.0,4000.0,521042.0,,,15555.0,,-15555.0,-17764.0,,,,,,,15644.0,-15644.0,,,2120.0,,,,0.001,0.001,10000000.0,10000000.0,0.0,,4000.0,,15555.0,12500.0,-17764.0,,-827842.0,0.0,-517042.0,,,,760250000.0,,
2019-09-30,2019-11-14,10-Q,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,4627.0,,19034.0,,,,1000.0,1000.0,,0.0,,,0.001,10000000000.0,760250000.0,760250000.0,760250.0,,106292.0,,,,,,410127.0,,0.0,,,,6145.0,,,,,,,,,,,,,,,,,,,,,2143.0,,,,,540080.0,1000.0,540080.0,,,,,,-22038.0,,,,,,,19895.0,-19895.0,,,2143.0,,-2143.0,,,0.001,10000000.0,,,,1000.0,,,13750.0,-22038.0,,-849880.0,,-539080.0,,,,760250000.0,,
2019-12-31,2020-02-24,10-Q,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,6274.0,,21177.0,,,,,,,0.0,,,0.001,10000000000.0,760250000.0,760250000.0,760250.0,,106292.0,,,,,,421717.0,,0.0,,,,1072.0,,,,,,,,,,,,,,,,,,,,,2144.0,,,,,555460.0,,555460.0,,,,,,-16380.0,,,,,,,14236.0,-14236.0,,,2144.0,,-2144.0,,,0.001,10000000.0,,,,,,,13164.0,-16380.0,,-866260.0,,-555460.0,,,,760250000.0,,
2020-03-31,2020-07-14,10-K,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,6130.0,,0.0,,,,0.0,0.0,,0.0,0.0,,0.001,10000000000.0,760250000.0,760250000.0,760250.0,,0.0,,111102.0,0.0,529060.0,111102.0,557067.0,,0.0,0.21,,,8505.0,,,,0.0,,0.0,-13423.0,,,,,,,,-2730.0,,,0.0,,7000.0,0.0,121062.0,,0.0,,563197.0,0.0,563197.0,,,59649.0,,-59649.0,-63919.0,0.0,,,,,,63919.0,-63919.0,,529060.0,,,,,,0.001,10000000.0,0.0,0.0,0.0,0.0,,59649.0,55414.0,,376356.0,-873997.0,0.0,-563197.0,,,,760250000.0,,
2020-06-30,2020-08-14,10-Q,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,9274.0,,,,,,0.0,0.0,,0.0,0.0,,0.001,10000000000.0,760250000.0,760250000.0,760250.0,,,,,,,,597192.0,,0.0,,,,11269.0,,,,,,0.0,,,,,,,,,3144.0,,,0.0,,0.0,0.0,,,0.0,,606466.0,0.0,606466.0,,,40125.0,,-40125.0,-43269.0,,,,,,,43269.0,-43269.0,,,0.0,,,,,0.001,10000000.0,0.0,0.0,0.0,,,40125.0,32000.0,,,-917266.0,0.0,-606466.0,,,,760250000.0,,
2020-09-30,2020-11-16,10-Q,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,10918.0,,,,,,0.0,0.0,,0.0,,,0.001,10000000000.0,760250000.0,760250000.0,760250.0,,,,,,,,606192.0,,0.0,,,,144.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,617110.0,0.0,617110.0,,,,,,-10644.0,,,,,,,10644.0,-10644.0,,,0.0,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,10500.0,,,-927910.0,,-617110.0,,,,760250000.0,,
2020-12-31,2021-02-10,10-Q,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,16874.0,,,,,,0.0,0.0,,0.0,,,0.001,10000000000.0,760250000.0,760250000.0,760250.0,,,,,,,,619869.0,,0.0,,,,145.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,636743.0,0.0,636743.0,,,,,,-19633.0,,,,,,,19633.0,-19633.0,,,,,0.0,,,0.001,10000000.0,0.0,0.0,0.0,,,,19488.0,,,-947543.0,,-636743.0,,,,760250000.0,,
2021-03-31,2021-06-29,10-K,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,11756.0,,,,,,0.0,0.0,,0.0,0.0,,0.001,10000000000.0,760250000.0,760250000.0,760250.0,,,,129958.0,0.0,618851.0,129958.0,641232.0,,0.0,0.21,,,11703.0,,,,,,0.0,,,,,,,,,5626.0,,,,,0.0,,0.0,,0.0,,652988.0,0.0,652988.0,,,84165.0,,-84165.0,-89791.0,,,,,,,89791.0,,,619000.0,,,,,,0.001,10000000.0,0.0,0.0,0.0,0.0,,84165.0,78088.0,,0.0,-963788.0,,-652988.0,,,,760250000.0,449450.0,
2021-06-30,2021-08-23,10-Q,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,16651.0,,,,,,,,,0.0,0.0,,0.001,10000000000.0,760250000.0,760250000.0,760250.0,,,,,,,,654232.0,,0.0,,,,145.0,,,,,,0.0,,,,,,,,,4895.0,,,,,,,,,0.0,,670883.0,0.0,670883.0,,,13000.0,,-13000.0,-17895.0,,,,,,,17895.0,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,13000.0,17750.0,,,-981683.0,,-670883.0,,,,760250000.0,,
2021-09-30,2022-02-25,10-Q,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,26997.0,,,,,,288.0,288.0,,0.0,,,0.001,10000000000.0,760250000.0,760250000.0,760250.0,,,,,,,,658043.0,,0.0,,,,289.0,,,,,,,,,,,,,,,,,,,,,,,,,,685040.0,288.0,685040.0,,,,,,-13869.0,,,,,,,13869.0,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,288.0,,,13580.0,,,-995552.0,,-684752.0,,,,760250000.0,449450.0,
2021-12-31,2022-03-15,10-Q,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,40353.0,,,,,,0.0,0.0,,0.0,,,0.001,10000000000.0,760250000.0,760250000.0,760250.0,,,,,,,,658043.0,,0.0,,,,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,698396.0,0.0,698396.0,,,,,,-13644.0,,,,,,,13644.0,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,0.0,,,13500.0,,,-1009196.0,,-698396.0,,,,760250000.0,449450.0,
