end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapitalCommonStock,AssetImpairmentCharges,Assets,AssetsCurrent,BankOverdrafts,Cash,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,ClassOfWarrantOrRightOutstanding,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesSubscribedButUnissued,CommonStockSharesSubscriptions,CommonStockValue,ConversionOfStockSharesConverted1,CostsAndExpenses,CostsIncurredExplorationCosts,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentAmount1,DebtInstrumentIncreaseAccruedInterest,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromOfficersOrStockholders,DueFromOtherRelatedParties,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToOtherRelatedPartiesNoncurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,ExplorationExpense,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionGainLossRealized,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,ImpairmentOfIntangibleAssetsFinitelived,IncomeLossFromContinuingOperations,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,IncreaseDecreaseInAccountsAndNotesReceivable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsNetExcludingGoodwill,InterestAndDebtExpense,InterestExpense,InterestExpenseDebt,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,LoansPayableCurrent,MineralPropertiesNet,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpenseTransferAgentAndCustodianFees,NotesPayableRelatedPartiesClassifiedCurrent,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccruedLiabilitiesNoncurrent,OtherIncome,OtherNonoperatingIncomeExpense,PaymentsForLoans,PaymentsToAcquireMineralRights,PaymentsToAcquireNotesReceivable,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PrepaidExpenseCurrent,ProceedsFromCollectionOfLongtermLoansToRelatedParties,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProfessionalFees,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RepaymentsOfLongTermDebt,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharebasedCompensationArrangementBySharebasedPaymentAwardEquityInstrumentsOtherThanOptionsAggregateIntrinsicValueOutstanding,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedNumberOfShares,SharesIssued,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueStockOptionsExercised,StockOptionPlanExpense,TechnologyServicesCosts,UnsecuredDebt,UnsecuredLongTermDebt,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2012-12-31,2013-04-16,10-K,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,88069.0,30970.0,9464.0,705027.0,392651.0,,,63768.0,,11282.0,,10523.0,,,,0.0,100000000.0,9901500.0,188000.0,,99.0,,260858.0,,,28124.0,12860.0,,239700.0,-239700.0,,,43022.0,30970.0,,22500.0,,,-0.03,,,,,13096.0,,,,,88700.0,,,-321.0,-29611.0,-321.0,,,9176.0,,,,,12860.0,,,,,,,63768.0,188045.0,92860.0,92860.0,,291704.0,,-281181.0,-260858.0,,7116.0,-260858.0,705000.0,1216.0,,,,,,,,,,,376700.0,,,-41974.0,67039.0,110880.0,,,,-705027.0,,,,,,,,,,,,,,,,,,,-124277.0,,,,,,,,,,,7116.0,
2013-03-31,2013-05-15,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,66013.0,,,748270.0,392651.0,,,278.0,,278.0,,-11004.0,,,,0.0,100000000.0,9901500.0,188000.0,,99.0,,43243.0,,,,14894.0,,,,,,,2943.0,,30240.0,,,0.0,,,,,114.0,,,,,,,,9464.0,-29172.0,,,,2035.0,,43022.0,,,,,,,,,,278.0,167798.0,101785.0,101785.0,,6890.0,,-17894.0,-43243.0,,,,,,,,,,,,,,,,,,,,3000.0,30240.0,,,,-748270.0,,,,,,,,,,,,,,,,,,,-167520.0,,,,,,,,,,,,
2013-06-30,2013-08-13,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,25967.0,,,799805.0,392651.0,,,14555.0,,5565.0,,,,,,0.0,100000000.0,9901500.0,278000.0,,99.0,,51534.0,,,,,,,,,,8990.0,,,,,,-0.01,,,,,372.0,,,,,,,,,,,,,,,,,,,,,,,,,14555.0,143610.0,117643.0,117643.0,,,,,-51534.0,,,,,,,,,,,,,,,,,,,,22997.0,,,,,-799805.0,,0.0,,,,,,,,,,,,,,,,,-129055.0,,,,,,,,,,,,
2013-09-30,2013-11-19,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,59475.0,,,841942.0,392651.0,,,9080.0,,90.0,,,,,,0.0,100000000.0,9901500.0,299750.0,,99.0,,42138.0,,,,,,,,,,8990.0,,,,,,0.0,,,,,3923.0,,-42138.0,,,,,,,,,,,,,,,,,,,,,,,9080.0,158522.0,99047.0,99047.0,,,,,-42138.0,,,,,,0.0,,,,,,,,,,,,,,6550.0,,,,,-841942.0,,0.0,,,,,,,,,,,,,,,,,-149442.0,,,,,,,,,,,,
2013-12-31,2014-04-14,10-K,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,78076.0,32108.0,,882286.0,692385.0,,,21.0,,21.0,,-11261.0,,,0.0,0.0,100000000.0,11509000.0,,,115.0,217500.0,177259.0,,,21750.0,,0.0,300000.0,-300000.0,,,,,,,,,-0.02,,,,0.0,3737.0,,,0.0,,60300.0,,,-9464.0,-17109.0,,,,8250.0,,-43022.0,,,21110.0,,0.0,,21110.0,,,21.0,189807.0,111731.0,111731.0,,122371.0,,-133632.0,-177259.0,,,-177259.0,882300.0,,,,,,,,,,0.0,,90000.0,,32371.0,,38075.0,110581.0,,,,-882286.0,,0.0,,,,,,,,,,,,,,,,,-189786.0,,,90000.0,,,,,,,,,
2014-03-31,2014-05-20,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,89535.0,29374.0,,912944.0,692385.0,,,,,-48.0,,-69.0,,,,0.0,100000000.0,11509000.0,,,115.0,,30658.0,,,,,,,,,,,,,,,,0.0,,,,,-2468.0,,,0.0,,,,,,11459.0,,,,2035.0,,0.0,,,,,0.0,,23145.0,,,,220444.0,130861.0,130861.0,,17095.0,,-17164.0,-30658.0,,,,,,,,,,,,,,,,,,,,2742.0,,,,,-912944.0,,0.0,,,,,,,,,,,,,,,,,-220444.0,,,,,,,,,,,,
2014-06-30,2014-08-14,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,127880.0,64115.0,,968092.0,692385.0,,,27.0,,27.0,,,,,0.0,0.0,100000000.0,11509000.0,,,115.0,,55149.0,,,,,,,,,,,,,,,,-0.01,,,,,2508.0,,,,,,,,,,,,,,,,,2364.0,,,,,25202.0,,,27.0,275619.0,147739.0,147739.0,,,,,-55149.0,,,,,,,,,,,,,,,,,,,,19289.0,,,,,-968092.0,,0.0,,,,,,,,,,,,,,,,,-275592.0,,,,,,,,,25885.0,,,11509000.0
2014-09-30,2014-11-14,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,108066.0,70819.0,,978604.0,692385.0,,,24492.0,,16192.0,,,,,0.0,0.0,100000000.0,11509000.0,,,115.0,,30111.0,,,,,,,,,,,,,,,,0.0,,,,,-2763.0,,-30111.0,,,,,,,,,,,,,,,3252.0,,,,,27282.0,,,24492.0,310596.0,,202530.0,,,,,-10512.0,,,,,,19599.0,,,,,,,,8300.0,,,,,,16769.0,,,,,-978604.0,,0.0,,,,,,,,,,,,,,,,,-286104.0,,,,,,,,,9789.0,,,11509000.0
2014-12-31,2015-03-25,10-K,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,38397.0,15300.0,,1000703.0,922215.0,,235552.0,5372.0,,5372.0,,5351.0,0.0,0.0,,0.0,100000000.0,46509000.0,,0.0,465.0,,169665.0,,,,,0.0,340000.0,340000.0,,,,,,,139353.0,,-0.01,,0.0,,61263.0,-913.0,,,0.0,,40000.0,,0.0,0.0,21584.0,,,0.0,9134.0,,0.0,,,30244.0,,0.0,,,30244.0,0.0,235552.0,313575.0,275178.0,135825.0,230180.0,154313.0,,-148962.0,-118417.0,,,-169665.0,1000700.0,,,51248.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,17484.0,136829.0,92861.0,60653.0,,,0.0,-1000703.0,,0.0,,,,,,,,,,,,,,,,,-78023.0,,,,,,,,,,,,
2015-03-31,2015-05-15,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,21443.0,4264.0,,1042230.0,922215.0,,244119.0,13939.0,,13242.0,,7870.0,,,,0.0,100000000.0,46509000.0,,53213.0,465.0,,37339.0,,,,,,,,,,,,,,,,0.0,,,2498.0,,10297.0,,-37339.0,0.0,,,,,,-8429.0,,,0.0,-22730.0,,697.0,,4188.0,,,0.0,,,,,244119.0,310456.0,,289013.0,,57000.0,,-49130.0,-41527.0,,,-37339.0,,,-4188.0,,,,-4021.0,,,,697.0,65000.0,,,,,20352.0,,,4000.0,4000.0,-1042230.0,,0.0,,,,,,,,,,,,,,,,,-66337.0,,,,,,,,,423.0,,,46509000.0
2015-06-30,2015-08-14,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,8451.0,0.0,,,975416.0,,230180.0,,473.0,-473.0,,,,,,0.0,100000000.0,47658000.0,,,477.0,,51285.0,,,,,,,,,,,,,,,,0.0,,,,,-4236.0,,,,,,,,,,,,,,,,,4882.0,,,,,,12263.0,,230180.0,352684.0,,343760.0,230180.0,,,,-56167.0,,,-51285.0,,,,-4882.0,,,,,,,,,,,,,19357.0,,,,,-1098397.0,,0.0,,,,,,,,,,,,,,,,,-122504.0,,,,,,,,,12832.0,,,47582242.0
2015-09-30,2015-11-13,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,546.0,0.0,,1121939.0,975416.0,,243465.0,13285.0,,11000.0,,,,,,0.0,100000000.0,47658000.0,,,477.0,,17998.0,,,,,,,,,,,,,,,,0.0,,,,,-2306.0,,-23542.0,,,,,,,,,,,,,,,5544.0,,,,,,,,243465.0,389511.0,,388965.0,230180.0,,,,-23542.0,,,-17998.0,,,0.0,-5544.0,,,,,,,2285.0,,,,,,10592.0,,,,,-1121939.0,,0.0,,,,,,,,,,,,,,,,,-146046.0,,,,,,,,,6102.0,,,47658000.0
2015-12-31,2016-03-29,10-K,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,14302.0,0.0,,1412024.0,1070064.0,,245853.0,15673.0,,12456.0,,7084.0,0.02,3336060.0,,0.001,480000000.0,49127825.0,,,1947.0,,390796.0,,,,,0.0,151000.0,151000.0,,,,,,,495384.0,,-0.01,,4791.0,,0.0,10136.0,,,0.0,,-189300.0,,32700.0,,33194.0,,,123913.0,19788.0,,3217.0,,,23283.0,13102.0,0.0,,10180.0,,29397.0,245853.0,585866.0,371471.0,76180.0,230180.0,153400.0,,-146316.0,-411321.0,,,-390796.0,444100.0,,,-20525.0,14000.0,,,0.001,20000000.0,0.0,3217.0,,,,0.0,172400.0,94783.0,121409.0,,,5000.0,-1412024.0,,0.0,,,,,,,,,,,,,,33361.0,,,-340013.0,,,,,,,,,,,,47436336.0
2016-03-31,2016-05-11,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,48882.0,,,1526341.0,1070064.0,,233771.0,3591.0,,374.0,,-12082.0,0.02,3336060.0,,0.001,480000000.0,49127825.0,,,1947.0,,67515.0,,,,,,,,,,,,,,571327.0,,0.0,,,-1806.0,,4361.0,,-42527.0,0.0,,,,,,63932.0,,,24988.0,6509.0,,0.0,,6576.0,,,0.0,,,,0.0,233771.0,688101.0,,67892.0,230180.0,5000.0,,-17082.0,-114317.0,,,-67515.0,,,-46802.0,-46802.0,,,-6509.0,0.001,20000000.0,0.0,3217.0,15000.0,,,,,15567.0,,,10000.0,0.0,-1526341.0,,0.0,,,,,,,,,,,,,,,,,-454330.0,,,,,,,,,5702.0,,,49127825.0
2016-06-30,2016-08-11,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,24431.0,,,1560145.0,1070064.0,,246518.0,16338.0,,13121.0,,,0.02,3336060.0,,0.001,480000000.0,49127825.0,,,1947.0,,46844.0,0.0,,,,,,,,,,,,,640701.0,,0.0,,,,,3756.0,,,,,,,,,,,,,,,,,7073.0,,,,,,,,246518.0,734652.0,466800.0,69520.0,230180.0,,,,-33804.0,,,-46844.0,,,,13040.0,,,,0.001,20000000.0,0.0,3217.0,,,,,,8311.0,,,,,-1560145.0,,0.0,,,,,,,,,,,,,,,,,-488134.0,,,,,,,,,6121.0,,,49127825.0
2016-09-30,2016-11-10,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,25460.0,,,1620904.0,1070064.0,,243416.0,13236.0,,10019.0,,,0.02,3336060.0,,0.001,480000000.0,49127825.0,,,1947.0,,53385.0,0.0,,,,,,,,,,,,,700761.0,,0.0,,,,,3789.0,,,,,,,,,,,,,,,,,7374.0,,,,,,,,243416.0,792309.0,501860.0,66088.0,230180.0,,,,-60759.0,,,-53385.0,,,,-7374.0,,,,0.001,20000000.0,0.0,3217.0,,,,,,12206.0,,,,,-1620904.0,,0.0,,,,,,,,,,,,,,,,,-548893.0,,,,,,,,,6834.0,,,49127825.0
