end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableNet,AccruedInvestmentIncomeReceivable,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdditionalPaidInCapitalPreferredStock,AdjustmentsToAdditionalPaidInCapitalDebtWithDetachableStockPurchaseWarrantIssued,AssetImpairmentCharges,Assets,AssetsCurrent,BusinessAcquisitionPurchasePriceAllocationPropertyPlantAndEquipment,CapitalizedComputerSoftwareNet,CapitalizedComputerSoftwarePeriodIncreaseDecrease,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CashFlowsBetweenTransferorAndTransfereeBeneficialInterest,CashPaidForCapitalizedInterest,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockShareSubscriptionsButUnissuedValue,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissuedValue,CommonStockSharesSubscriptions,CommonStockValue,CostOfGoodsSold,CostOfServices,CostsAndExpensesRelatedParty,DebtConversionConvertedInstrumentAmount,DeferredIncomeTaxesAndOtherAssetsCurrent,DeferredTaxAssetsNet,DeferredTaxAssetsTaxDeferredExpense,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceCurrent,DepreciationAmortizationAndAccretionNet,DepreciationAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromJointVenturesCurrent,DueToRelatedParties,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,FiniteLivedComputerSoftwareGross,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfLeasehold,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInventories,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInNotesReceivables,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherLoans,IncreaseDecreaseInPrepaidExpense,IndefiniteLivedLicenseAgreements,InterestExpense,InterestExpenseBeneficialInterestsIssuedByConsolidatedVariableInterestEntities,InterestIncomeExpenseNet,InventoryNet,InvestmentIncomeInterest,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,InvestmentsInAndAdvancesToAffiliatesAtFairValuePeriodIncreaseDecrease,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LitigationSettlementExpense,LoansAndLeasesReceivableCollateralForSecuredBorrowings,LoansAndLeasesReceivableRelatedParties,MarketingExpense,MinorityInterestInJointVentures,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesReceivableNet,OperatingExpenses,OperatingLossCarryforwards,OtherAssetImpairmentCharges,OtherAssets,OtherNoncashIncomeExpense,OtherReceivables,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpense,PrepaidExpenseAndOtherAssetsCurrent,PriorPeriodReclassificationAdjustment,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromRelatedPartyDebt,ProceedsFromStockPlans,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentAdditions,PropertyPlantAndEquipmentGrossPeriodIncreaseDecrease,PropertyPlantAndEquipmentNet,RelatedPartyDebtNoncurrent,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,ResultsOfOperationsIncomeBeforeIncomeTaxes,ResultsOfOperationsRevenueOther,RetainedEarningsAccumulatedDeficit,Revenues,ServiceManagementCosts,ShorttermDebtFairValue,StockholdersEquity,StockIssued,StockIssued1,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueOther,SubscriptionRevenue,UnrecognizedTaxBenefitsResultingInNetOperatingLossCarryforward,ValuationAllowanceAmount,WeightedAverageBasicSharesOutstandingProForma,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,CommonStockCapitalSharesReservedForFutureIssuance,ContractWithCustomerLiabilityCurrent,CostOfGoodsAndServicesSold,CostsAndExpenses,CustomerDepositsCurrent,DeferredIncomeTaxExpenseBenefit,DeferredRevenue,Depreciation,DividendsPayableCurrentAndNoncurrent,EmployeeBenefitsAndShareBasedCompensation,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInContractWithCustomerAsset,IncreaseDecreaseInDeferredCharges,InterestPaidCapitalized,LeaseAndRentalExpense,OperatingIncomeLoss,OtherExpenses,PaymentsForDeposits,PaymentsForRent,PaymentsOfDividends,PaymentsToAcquireOilAndGasEquipment,PrepaidExpenseCurrent,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentOtherNet,ShareBasedCompensation,SharesIssued,AccountsPayableCurrent,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,IncreaseDecreaseInCustomerDeposits,InterestAndOtherIncome,OfficersCompensation,ProceedsFromIssuanceOrSaleOfEquity
2012-03-31,2012-09-27,10-Q,CYTTA CORP.,CYCA,CIK0001383088,USD,19498.0,,,,1171799.0,1217348.0,,,154246.0,122775.0,,4251.0,,,89555.0,,,89555.0,,,,,560.0,,,,,,10000.0,16141.0,,,,,,,,,,,,,-2767252.0,,470500.0,,,-0.15,,735788.0,,,-848285.0,,,,,,,,,,,,9720.0,,,,33220.0,7.0,,,,489998.0,154246.0,,17500.0,,,,,,,-848278.0,,848285.0,,,31471.0,7.0,,,,,,15652.0,,,,,,,,,-848278.0,,,,,,,,-848278.0,,,112497.0,,-335752.0,,,,,,,,,,,,5566927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,2012-09-27,10-Q,CYTTA CORP.,CYCA,CIK0001383088,USD,19498.0,,,,1171799.0,1217348.0,,,158140.0,120970.0,-6489.0,4001.0,,,80251.0,,,80251.0,,,,,560.0,,,,,,126813.0,16141.0,,,,,,,,,,,,,,,576400.0,,,-0.04,6489.0,109282.0,1405.0,,-218818.0,,,,,,,,,,,,9180.0,,,,40719.0,,,,,595898.0,158140.0,,17500.0,,,,,,,-218818.0,,220223.0,,,30681.0,,,,,,,15652.0,,,,,,,,2500.0,-218818.0,,,,,,,,-218818.0,-2986071.0,1405.0,108441.0,,-437758.0,,,,,,,,,,,,5566927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,2012-12-26,10-K,CYTTA CORP.,CYCA,CIK0001383088,USD,19499.0,,,1171799.0,1182933.0,1217348.0,,,96295.0,36080.0,,3751.0,,,36080.0,36080.0,,36080.0,,,-60619.0,0.0,187.0,293063.0,3900000000.0,1670078203.0,1670078203.0,,299063.0,5380.0,17693.0,,,,0.0,0.0,0.0,0.0,-3308299.0,598656.0,,3160.0,-3308299.0,,,664532.0,660532.0,-0.31,,468667.0,26250.0,,-1709481.0,4441.0,,,,370500.0,3486.0,,-28835.0,,-17500.0,,8640.0,-1244.0,,,,280.0,,,91000.0,684031.0,96295.0,,17500.0,17500.0,,,593063.0,-47824.0,-605858.0,-1710445.0,23835.0,1735731.0,3308299.0,,60215.0,-964.0,,0.001,100000000.0,20403072.0,20403072.0,15652.0,,,-1199.0,,632000.0,,,113775.0,-1710445.0,,-6489.0,6489.0,660532.0,,715711.0,,-1710445.0,-3308299.0,43943.0,437578.0,-643951.0,-587736.0,,0.0,,300000.0,300000.0,,,,1157485.0,598656.0,,5528038.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,2013-02-20,10-Q,CYTTA CORP.,CYCA,CIK0001383088,USD,19498.0,,,,1171799.0,1217348.0,,,105457.0,46357.0,,3501.0,,,46357.0,,,46357.0,,,10277.0,,560.0,,,,,,531863.0,16141.0,,,,,,,,,,,,1114.0,,,,766032.0,,-0.06,,200445.0,,,-325137.0,,,,,,,,,,,,8100.0,,128700.0,,,,,,,785530.0,105457.0,,17500.0,,,,205600.0,,-195323.0,-325137.0,23835.0,328137.0,,,59100.0,,,,,,,15652.0,,,,,,105500.0,100100.0,26000.0,,,,6164.0,766032.0,,,,-325137.0,-3633436.0,,98692.0,,-680073.0,,,,,,,,100100.0,,,,5566927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,2013-05-24,10-Q,CYTTA CORP.,CYCA,CIK0001383088,USD,7165.0,,,,2946426.0,67066.0,,,100526.0,41891.0,,3251.0,,,41891.0,,,41891.0,,,,,2.0,,,,,,166200.0,12629.0,,,,,,,,,,,,,-3997735.0,,,897840.0,,-0.05,,245463.0,,,-360017.0,,,,,,,,,,,,7560.0,,,,,,,,,905005.0,100526.0,,17500.0,,,,,,,-360017.0,23835.0,360017.0,,,58635.0,,,,,,,933.0,,,,,,,,24201.0,,,,6489.0,897840.0,,,,-360017.0,,,90353.0,,-804479.0,,,,,,,,,,,,7776360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,2013-08-07,10-Q,CYTTA CORP.,CYCA,CIK0001383088,USD,7165.0,2600.0,1073.0,,2946425.0,67067.0,,,78885.0,21365.0,,3001.0,,,17692.0,,,17692.0,,,,,2.0,,,,,,221200.0,12628.0,,,,,,,,,,,,,,,,992960.0,992960.0,-0.01,,67046.0,2600.0,,-172683.0,,,,,,,,,,,,7020.0,,,,,358.0,,,,1000125.0,78885.0,,17500.0,,,,,,,-172325.0,23835.0,175283.0,,,57520.0,358.0,,,,,,933.0,,,,,,,,20000.0,,,,6164.0,,,,,-172325.0,-4169495.0,2600.0,88237.0,,-921240.0,,,,,,,,,,,,12630489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,2014-01-17,10-K,CYTTA CORP.,CYCA,CIK0001383088,USD,7165.0,,,,4767104.0,67067.0,,,245704.0,188268.0,,2751.0,,,188068.0,,,188068.0,128700.0,,150788.0,0.001,187.0,,100000000.0,22701904.0,22701904.0,,477782.0,22515.0,,,,,0.0,0.0,,0.0,-5566721.0,,,3809.0,,,,469672.0,469672.0,-0.1,,1802275.0,2800.0,,-2264853.0,-12334.0,-200.0,,,428472.0,,,3853.0,,,,6480.0,,,,,6431.0,,,1393493.0,476837.0,245704.0,,17500.0,17500.0,,,468300.0,-1030.0,-316482.0,-2258422.0,19982.0,2267653.0,5566721.0,,57436.0,6431.0,200.0,0.001,100000000.0,933350.0,933350.0,933.0,,,,,,,,93791.0,-2258422.0,,-4883.0,10723.0,,,1597.0,,-2258422.0,-5566721.0,2800.0,369990.0,,-231133.0,,0.0,,,,,,,,790448.0,,22701905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,2014-02-24,10-Q,CYTTA CORP.,CYCA,CIK0001383088,USD,7165.0,,,,4767104.0,67067.0,,,113954.0,57577.0,,2501.0,,,57377.0,,,57377.0,,,-130691.0,,187.0,,,,,,911650.0,22515.0,,,,,,,,,,,,1359.0,,,,117782.0,117782.0,0.0,,71238.0,400.0,,-214028.0,,,-300.0,,,,,,,,,5940.0,,,,,300.0,,,,124947.0,113954.0,,17500.0,,,,81978.0,,-212669.0,-213728.0,20282.0,214428.0,,,56377.0,300.0,200.0,,,,,933.0,,,,,,81978.0,,26730.0,,,,10154.0,,,8138.0,,-213728.0,-5780449.0,400.0,108322.0,,-10993.0,,,,,,,,,,,,1670078203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,2014-05-19,10-Q,CYTTA CORP.,CYCA,CIK0001383088,USD,7165.0,,,,4905937.0,67067.0,,,64741.0,26723.0,,2251.0,,,26723.0,,,26723.0,,,,0.001,187.0,,100000000.0,23768676.0,23768676.0,,902650.0,23582.0,,,,,,,,,,,,,,,,336781.0,,-0.02,,268674.0,,,-399412.0,,,,,,,,,,,,5400.0,,,,,300.0,,,,343946.0,64741.0,,,,,,,,,-399112.0,,399412.0,,,38018.0,300.0,,0.001,100000000.0,933350.0,933350.0,933.0,,,,,,,,19000.0,,,,30367.0,,,14000.0,,-399112.0,-6179561.0,,97738.0,,-279205.0,,,,,,,,,,,,24306175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,2014-08-29,10-Q,CYTTA CORP.,CYCA,CIK0001383088,USD,22165.0,,,,6191634.0,47399.0,,,56901.0,20191.0,,2001.0,,,13191.0,,,13191.0,,,,0.001,4997.0,,100000000.0,30635324.0,30635324.0,,659473.0,25639.0,,,,,,,,,,,,,,,,438100.0,,-0.02,,367074.0,11500.0,,-455496.0,,,,,,,,,,,,4860.0,,,,,,,,,460265.0,56901.0,-33050.0,,,,,,,,-488546.0,,466996.0,,,36710.0,-33050.0,7000.0,0.001,100000000.0,933350.0,933350.0,600.0,,,,,,,,3745.0,,,,4134.0,,,852.0,,-488546.0,-7333106.0,11500.0,95325.0,,-403364.0,,,,,,,,,,,,28397093.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
