end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetNoncurrent,Assets,AssetsNet,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,EarningsPerShareBasic,FairValueOfAssetsAcquired,GainLossOnSaleOfTrustAssetsToPayExpenses,GrossProfit,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInReceivables,InvestmentInPhysicalCommodities,InvestmentInPhysicalCommoditiesFairValueDisclosure,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedBalanceOtherMeasure,InvestmentOwnedPercentOfNetAssets,InvestmentRelatedLiabilities,Liabilities,LiabilitiesAndStockholdersEquity,LiabilityForUncertainTaxPositionsNoncurrent,NetAssetValuePerShare,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfAdoptionQuantification,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfChangeOnNetIncome,NonInvestmentAssetsLessNonInvestmentLiabilities,NonInvestmentAssetsLessNonInvestmentLiabilitiesPercentOfNetAssets,OperatingExpenses,OtherCostAndExpenseOperating,PaymentsForOperatingActivities,PaymentsForRepurchaseOfCommonStock,ProceedsFromCustomers,ProceedsFromIssuanceOfCommonStock,RealizedInvestmentGainsLosses,RetainedEarningsAccumulatedDeficit,SharesOutstanding,SponsorFees,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,WeightedAverageNumberOfSharesOutstandingBasic
2015-09-30,2015-11-06,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,268802.0,,832534000.0,832266000.0,,,0.0,7650000.0,7650000.0,,-5.73,,-44000.0,,,,,,832534000.0,832534000.0,899318000.0,832534000.0,747337.7,1.0003,,268000.0,,0.0,,,-44212000.0,,,,,835000.0,0.0,,,,,,,7650000.0,835812.0,832266000.0,,,,,,,,7718478.0
2015-12-31,2016-02-29,10-K,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,260280.0,,782719000.0,761731000.0,,,0.0,7350000.0,7350000.0,,-13.96,,-94000.0,,,,,,782719000.0,782719000.0,886514000.0,782719000.0,736849.8,1.0276,20988000.0,20988000.0,,0.0,103.64,,-108478000.0,,,-20988000.0,-0.0276,3445000.0,0.0,,,,,-3504000.0,,7350000.0,3444870.0,761731000.0,,250000.0,30185000.0,700000.0,75998000.0,,,7770959.0
2016-03-31,2016-05-06,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,317685.0,,964869000.0,964551000.0,,,0.0,8000000.0,8000000.0,,16.49,,-60000.0,,,,,,964869000.0,964869000.0,939240000.0,964869000.0,780007.1,1.0003,318000.0,318000.0,,0.0,120.57,,125802000.0,,,,,852000.0,0.0,,,,,-2770000.0,,8000000.0,851857.0,964551000.0,,700000.0,82925000.0,50000.0,5951000.0,,,7629121.0
2016-06-30,2016-08-05,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,338794.0,,1067776000.0,1067437000.0,,,0.0,8300000.0,8300000.0,,8.14,,34000.0,,,,,,1067776000.0,1067776000.0,974991000.0,1067776000.0,808461.8,1.0003,339000.0,339000.0,,0.0,128.61,,66208000.0,,,,,983000.0,0.0,,,,,,,8300000.0,983042.0,1067437000.0,,,,,,,,8137912.0
2016-09-30,2016-11-04,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,356493.0,,1119619000.0,1119263000.0,,,0.0,8700000.0,8700000.0,,-0.03,,89000.0,,,,,,1113186000.0,1113186000.0,1019630000.0,1113186000.0,841728.9,0.9946,,356000.0,,0.0,128.65,,-214000.0,,,6077000.0,0.0054,1074000.0,0.0,,,,,,,8700000.0,1073854.0,1119263000.0,,,,,,,,8516848.0
2016-12-31,2017-02-27,10-K,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,315510.0,,935268000.0,934952000.0,,,0.0,8300000.0,8300000.0,,6.06,,113000.0,,,,,,935268000.0,,979403000.0,935268000.0,806891.3,1.0003,,316000.0,,0.0,11.27,,50022000.0,,,-316000.0,-0.0003,3924000.0,0.0,,,,,-5714000.0,,83000000.0,3924259.0,934952000.0,,1650000.0,202685000.0,700000.0,79530000.0,,,8250683.0
2017-03-31,2017-05-04,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,338805.0,,1015578000.0,1015239000.0,,,0.0,8400000.0,8400000.0,,8.19,,-16000.0,,,,,,1015578000.0,,990322000.0,1015578000.0,815823.4,1.0003,,339000.0,,0.0,120.86,,68626000.0,,,-339000.0,-0.0003,959000.0,0.0,,,,,194000.0,,8400000.0,959197.0,1015239000.0,,150000.0,17764000.0,50000.0,6103000.0,,,8383333.0
2017-06-30,2017-08-07,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,325446.0,,1024507000.0,1018157000.0,,,0.0,8450000.0,8450000.0,,-0.41,,27000.0,,,,,,1024507000.0,,1001890000.0,1024507000.0,824718.6,1.0062,,6350000.0,,0.0,120.49,,-3437000.0,,,-6350000.0,-0.0062,987000.0,0.0,,,,,,,8450000.0,986760.0,1018157000.0,,,,,,,,8371429.0
2017-09-30,2017-11-06,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,335484.0,,1044721000.0,1044386000.0,,,0.0,8400000.0,8400000.0,,3.8,,36000.0,,,,,,1044721000.0,,989866000.0,1044721000.0,814216.4,1.0003,,335000.0,,0.0,124.33,,31787000.0,,,-335000.0,-0.0003,1018000.0,0.0,,,,,,,8400000.0,1018077.0,1044386000.0,,,,,,,,8371739.0
2017-12-31,2018-02-27,10-K,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,346853.0,,1048326000.0,1047979000.0,,,0.0,8350000.0,8350000.0,,1.27,,99000.0,,,,,,1048326000.0,,983748000.0,1048326000.0,808581.0,1.0003,,347000.0,,0.0,12.55,,106862000.0,,,-347000.0,-0.0003,3997000.0,0.0,,,,,2147000.0,,83500000.0,3997282.0,1047979000.0,,5500000.0,67119000.0,5000000.0,60954000.0,,,83869863.0
2018-03-31,2018-05-04,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,372542.0,,1127042000.0,1126669000.0,,,0.0,8800000.0,8800000.0,,2.39,,79000.0,,,,,,1127042000.0,,1041018000.0,1127042000.0,851336.3,1.0003,,373000.0,,0.0,128.03,,20464000.0,,,-373000.0,-0.0003,1061000.0,0.0,,,,,79000.0,,8800000.0,1061160.0,1126669000.0,,450000.0,58226000.0,0.0,0.0,,,8572222.0
2018-06-30,2018-08-09,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,1022445.0,,882967000.0,881944000.0,,,0.0,7300000.0,7300000.0,,-6.79,,81000.0,,,,,,882967000.0,,866287000.0,882967000.0,706118.9,1.0012,,1023000.0,,0.0,120.81,,-58848000.0,,,-1023000.0,-0.0012,1062000.0,0.0,,,,,11558000.0,,7300000.0,1061745.0,881944000.0,,350000.0,44930000.0,1850000.0,230807000.0,,,8665934.0
2018-09-30,2018-11-09,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,249087.0,,773766000.0,773517000.0,,,0.0,6750000.0,6750000.0,,-6.29,,11000.0,,,,,,773766000.0,,799549000.0,773766000.0,651729.9,1.0003,,249000.0,,0.0,114.6,,-43936000.0,,,-249000.0,-0.0003,813000.0,0.0,,,,,-661000.0,,6750000.0,813057.0,773517000.0,,,,550000.0,64491000.0,,,6990217.0
2018-12-31,2019-02-28,10-K,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,119052.0,24722000.0,846835000.0,846716000.0,,,,68500000.0,68500000.0,,-0.29,,159000.0,,,,,,822113000.0,,786969000.0,822113000.0,641449.1,0.9709,,119000.0,,0.0,12.36,,-22156000.0,,,24603000.0,0.0291,3568000.0,0.0,,,,,10846000.0,,68500000.0,3567948.0,846716000.0,,12500000.0,157503000.0,27500000.0,336610000.0,,,77198630.0
2019-03-31,2019-05-09,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,129448.0,0.0,880547000.0,880417000.0,,,,7050000.0,7050000.0,,0.12,,19000.0,,,,,,880547000.0,,837794000.0,880547000.0,679748.8,1.0001,,130000.0,,0.0,12.49,,8685000.0,,,-130000.0,-0.0001,373000.0,0.0,,,,,1449000.0,,70500000.0,373202.0,880417000.0,,4000000.0,50211000.0,2000000.0,25195000.0,,,70911111.0
2019-06-30,2019-08-09,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,129949.0,0.0,936983000.0,936853000.0,,,,6900000.0,6900000.0,,1.07,,17000.0,,,,,,936983000.0,,821324000.0,936983000.0,664998.4,1.0001,,130000.0,,0.0,13.58,,73890000.0,,,-130000.0,-0.0001,374000.0,0.0,,,,,1358000.0,,69000000.0,373526.0,936853000.0,,1500000.0,19528000.0,3000000.0,36982000.0,,,68802198.0
2019-09-30,2019-11-08,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,151566.0,0.0,1073154000.0,1073002000.0,,,,7500000.0,7500000.0,,0.69,,52000.0,,,,,,1073154000.0,,910887000.0,1073154000.0,722516.2,1.0001,,152000.0,,0.0,14.31,,49734000.0,,,-152000.0,-0.0001,434000.0,0.0,,,,,3560000.0,,75000000.0,434586.0,1073002000.0,,7500000.0,108139000.0,1500000.0,21724000.0,,,72559783.0
2019-12-31,2020-02-28,10-K,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,171336.0,2917000.0,1196068000.0,1195897000.0,,,0.0,82000000.0,82000000.0,,2.09,,154000.0,,,,,,1193151000.0,,1011343000.0,1193151000.0,787688.3,0.9977,,171000.0,,0.0,14.58,,153679000.0,,,2746000.0,0.0023,1680000.0,0.0,,,,,8695000.0,,82000000.0,1680258.0,1195897000.0,10.0,21300000.0,297717000.0,7800000.0,102215000.0,,,73381967.0
2020-03-31,2020-05-08,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,211480.0,10839000.0,1468143000.0,1467932000.0,,,,94800000.0,94800000.0,,0.76,,89000.0,,,,,,1457304000.0,,1215618000.0,1457304000.0,905748.6,0.9928,,211000.0,,0.0,15.48,,68797000.0,,,10628000.0,0.0072,588000.0,0.0,,,,,9506000.0,,94800000.0,587711.0,1467932000.0,10.0,18500000.0,285971000.0,5700000.0,82715000.0,,,90987912.0
2020-06-30,2020-08-07,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,297701.0,13607000.0,2201259000.0,2200961000.0,,,0.0,,129400000.0,,1.42,,120000.0,,,,,,2187652000.0,,1781369000.0,2187652000.0,1237289.9,0.994,,298000.0,,0.0,17.01,,163909000.0,,,13309000.0,0.006,808000.0,0.0,,,,,120000.0,,129400000.0,808115.0,2200961000.0,,34600000.0,569102000.0,,,,,115749451.0
2020-09-30,2020-11-06,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,377132.0,,2696585000.0,2696208000.0,,,0.0,148600000.0,148600000.0,,0.94,,208000.0,,,,,,2692956000.0,,2156610000.0,2692956000.0,1427185.4,0.9988,,377000.0,,0.0,18.14,,133553000.0,,,3252000.0,0.0012,1102000.0,0.0,,,,,4592000.0,,148600000.0,1102345.0,2696208000.0,,20500000.0,384968000.0,1300000.0,23274000.0,,,142115217.0
2020-12-31,2021-03-01,10-K,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,379068.0,,2652891000.0,2652512000.0,,,0.0,146200000.0,146200000.0,,2.93,,643000.0,,,,,,2652891000.0,,2135209000.0,2652891000.0,1405430.5,1.0001,,379000.0,,0.0,18.14,,363748000.0,,,-379000.0,-0.0001,3641000.0,0.0,,,,,31516000.0,,146200000.0,3640527.0,2652512000.0,,76700000.0,1296036000.0,12500000.0,203169000.0,,,124112022.0
2021-03-31,2021-05-07,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,334153.0,,2265171000.0,2264837000.0,,,0.0,139400000.0,139400000.0,,-1.91,,195000.0,,,,,,2265171000.0,,2045614000.0,2265171000.0,1339505.8,1.0001,,334000.0,,0.0,16.25,,-278339000.0,,,-334000.0,-0.0001,1051000.0,0.0,,,,,20836000.0,,139400000.0,1050889.0,2264837000.0,,3400000.0,60968000.0,10200000.0,170304000.0,,,145787778.0
2021-06-30,2021-08-06,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,330987.0,,2360730000.0,2351933000.0,,,0.0,138900000.0,138900000.0,,0.67,,141000.0,,,,,,2360730000.0,,2052449000.0,2360730000.0,1338927.3,1.0037,,8797000.0,,0.0,16.93,,92846000.0,,,-8797000.0,-0.0037,1015000.0,0.0,,,,,6243000.0,,138900000.0,1014940.0,2351933000.0,,2300000.0,41457000.0,2800000.0,47207000.0,,,138387912.0
2021-09-30,2021-11-05,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,323580.0,,2307385000.0,2307061000.0,,,0.0,137900000.0,137900000.0,,-0.2,,157000.0,,,,,,2307385000.0,,2030992000.0,2307385000.0,1323952.6,1.0001,,324000.0,,0.0,16.73,,-27968000.0,,,-324000.0,-0.0001,1028000.0,0.0,,,,,3842000.0,,137900000.0,1028284.0,2307061000.0,,600000.0,10337000.0,1600000.0,27241000.0,,,138592391.0
2021-12-31,2022-03-01,10-K,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,345581.0,,2391578000.0,2391232000.0,,,0.0,138000000.0,138000000.0,,-0.93,,635000.0,,,,,,2391578000.0,,2033883000.0,2391578000.0,1324350.2,1.0001,,346000.0,,0.0,17.33,,-130982000.0,,,-346000.0,-0.0001,4122000.0,0.0,,,,,33126000.0,,138000000.0,4122059.0,2391232000.0,,7200000.0,128307000.0,15400000.0,258605000.0,,,140204658.0
