end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrentAndNoncurrent,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AdditionalPaidInCapitalCommonStock,AssetManagementCosts,Assets,AssetsHeldInTrust,AssetsUnderManagementCarryingAmount,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CashSegregatedUnderCommodityExchangeActRegulation,CommissionsAndFloorBrokerageReceivables,CommissionsPayableToBrokerDealersAndClearingOrganizations,Deposits,DepreciationAmortizationAndAccretionNet,DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral,DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral,DistributedEarnings,DividendIncomeOperating,DividendsReceivable,DueFromAffiliates,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,FinancialInstrumentsOwnedAtFairValue,FinancialInstrumentsOwnedDerivativesAndOtherContractualAgreementsAtFairValue,FinancialInstrumentsOwnedUSGovernmentAndAgencyObligationsAtFairValue,FloorBrokerageExchangeAndClearanceFees,GainLossOnInvestments,GainLossOnSaleOfCommodityContracts,GainLossOnSaleOfDebtInvestments,GainLossOnSaleOfDerivatives,GainLossOnSaleOfInvestments,GainLossOnSaleOfSecuritiesNet,GeneralPartnersCapitalAccount,GeneralPartnersCapitalAccountUnitsIssued,GeneralPartnersCapitalAccountUnitsOutstanding,GoodFaithAndMarginDepositsWithBrokerDealers,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInPayablesToBrokerDealers,InterestAndDividendIncomeOperating,InterestExpense,InterestIncomeExpenseNet,InterestIncomeOperating,InterestPaid,InterestPaidNet,InvestmentCompanyContractualFeeWaived,InvestmentCompanyExpenseRatioIncludingVoluntaryFeeWaiver,InvestmentCompanyGainLossOnInvestmentPerShare,InvestmentCompanyGeneralPartnerAdvisoryService,InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTotalReturn,InvestmentIncomeNet,InvestmentInterestRate,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnrecognizedUnrealizedAppreciation,InvestmentOwnedUnrecognizedUnrealizedAppreciationDepreciationNet,InvestmentOwnedUnrecognizedUnrealizedDepreciation,InvestmentsInAndAdvancesToAffiliatesAtFairValue,InvestmentsInAndAdvancesToAffiliatesAtFairValueGrossAdditions,InvestmentsInAndAdvancesToAffiliatesDividendOrInterestCreditedToIncome,Liabilities,LiabilitiesAndStockholdersEquity,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsOutstanding,ManagementFeePayable,MarketableSecuritiesRealizedGainLoss,MarketableSecuritiesUnrealizedGainLoss,MinorityInterestDecreaseFromRedemptions,NetAssetValuePerShare,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,OperatingExpenses,OperatingIncomeLoss,OtherNonrecurringExpense,PartnersCapitalAccountContributions,PartnersCapitalAccountReturnOfCapital,PartnersCapitalDistributionAmountPerShare,PayablesToBrokerDealersAndClearingOrganizations,PaymentsForProceedsFromInvestments,PaymentsForPurchaseOfSecuritiesOperatingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,PaymentsOfDividends,PaymentsToAcquireInvestments,PaymentsToAcquireMarketableSecurities,ProceedsFromIssuanceOfCommonStock,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProceedsFromSaleOfSecuritiesOperatingActivities,ProfessionalFees,ProfitLoss,RealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,RealizedInvestmentGainsLosses,ReceivablesFromBrokersDealersAndClearingOrganizations,ReceivablesFromClearingOrganizations,RestrictedCashAndCashEquivalents,RestrictedInvestments,RestrictedInvestmentsPercentOfNetAssets,RetainedEarningsAccumulatedDeficit,SharesIssued,SharesOutstanding,StockholdersEquity,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TaxBasisOfInvestmentsGrossUnrealizedDepreciation,TaxBasisOfInvestmentsUnrealizedAppreciationDepreciationNet,UnrealizedGainLossOnCommodityContracts,UnrealizedGainLossOnDerivatives,UnrealizedGainLossOnInvestments,UnrealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,UnrealizedGainLossOnSecurities,UnrealizedGainOnSecurities,UnrealizedLossOnSecurities,UnrecognizedTaxBenefits
2012-06-30,2012-08-03,10-Q,INVESCO DB SILVER FUND,DBS,CIK0001383054,USD,41687.0,,-3790644.0,133509.0,66813212.0,,,,23808631.0,,,,,,,7510.0,,,,,,,,,,-8.81,,-17490670.0,60495251.0,121.0,-12221437.0,,,,,,1908.0,,,66813212.0,,,,,,,,,,,12342.0,,,,,,,,,,,,,,-121288.0,,,,,,,,,,,49197.0,66813212.0,,,41687.0,,,,,,,,,-12342725.0,,133630.0,,,,,,7510.0,,,,,,,,,,,,,-12342725.0,,,,,,9317700.0,,70552751.0,1400000.0,1400000.0,66764015.0,,,,,,,,,17490670.0,,,-12221470.0,-12221437.0,,33.0,,,
2012-09-30,2012-11-02,10-Q,INVESCO DB SILVER FUND,DBS,CIK0001383054,USD,85105.0,,-14005328.0,127038.0,71749652.0,,,,21746243.0,,,,,,,6570.0,,,,,,,,,,12.02,,-491335.0,50494744.0,2.0,15222954.0,,,-1775515.0,,44.0,2388.0,,,71749652.0,,,,,,,,,,,12732.0,,,,,,,,,,,,,,-114308.0,,,,,,,,,,,91675.0,71749652.0,,,85105.0,,,,,,,,,15108646.0,,127040.0,,,,,,6570.0,,,,,,,,,,,,,15108646.0,,-1775471.0,,,,7121250.0,,85660917.0,1200000.0,1200000.0,71657977.0,10214684.0,,200000.0,,,,200000.0,10214684.0,491335.0,,,16999335.0,16998425.0,,-910.0,,,
2012-12-31,2013-03-01,10-K,INVESCO DB SILVER FUND,DBS,CIK0001383054,USD,41854.0,,,541304.0,62388173.0,0.0,,14830754.0,14830754.0,-10093563.0,,0.0,,,,1730.0,,-43003.0,,,0.0,,,,,-4.35,,-2940700.0,50498119.0,85.0,-2669722.0,,-45.0,-9235455.0,,-45.0,2078.0,,40.0,62388173.0,-12971.0,,-5643.0,,,,-5643.0,,,,55247.0,,,,,,,,,,,,,,-612379.0,,,,,,-2940700.0,,,,,43584.0,62388173.0,62342511.0,1200000.0,41854.0,,,,,-21345998.0,-21345998.0,11252435.0,11252435.0,-3282101.0,,541389.0,,,,,,1730.0,,,21345998.0,,,,221951181.0,,242999277.0,,,,6031287.0,,-9235500.0,,,,5082000.0,,,,1200000.0,62344589.0,-15314711.0,,-400000.0,,-21345998.0,-15314711.0,400000.0,21345998.0,21739900.0,,,15760660.0,15765376.0,,4716.0,,2940700.0,
2013-03-31,2013-05-03,10-Q,INVESCO DB SILVER FUND,DBS,CIK0001383054,USD,37732.0,,,114745.0,58287581.0,0.0,,8226542.0,8226542.0,-6604212.0,,0.0,,,,849.0,,-13392.0,,,0.0,,,,,-3.41,,-6934900.0,56995939.0,-880.0,-3995111.0,,-246.0,-246.0,,-246.0,1942.0,,,58287581.0,-4122.0,,-881.0,,,,-4122.0,,,,13387.0,,,,,,,,,,,,,,-100478.0,,,,,,,,,,,38581.0,58287581.0,,,37732.0,,,,,,,-6604212.0,-6604212.0,-4095589.0,,113865.0,,,,,,849.0,,,,,,,59984732.0,,53499393.0,,,,-4095589.0,,-246.0,,,,4389000.0,,,,1200000.0,58249000.0,,,,,,-4095589.0,,,6934900.0,,,-3994200.0,-3994865.0,,-665.0,,6934900.0,
2013-06-30,2013-08-08,10-Q,INVESCO DB SILVER FUND,DBS,CIK0001383054,USD,22092.0,,,77242.0,32753764.0,0.0,,24494744.0,24494744.0,,,0.0,,,,2541.0,,,,,,,,,,-15.81,,-21739900.0,29998920.0,2619.0,-17515692.0,,,-2709235.0,,1366.0,1309.0,,,32753764.0,,,,,,,,,,,7908.0,,,,,,,,,,,,,,-71953.0,,,,,,,,,,,24633.0,32753764.0,,,22092.0,,,,,,,,,-17587645.0,,79861.0,,,,,,2541.0,,,,,,,,,,,,,-17587645.0,,-2707869.0,,,,4331250.0,,,,1000000.0,32729131.0,-25519869.0,,200000.0,,,,200000.0,7932224.0,21739900.0,,,-14805000.0,-14807823.0,,-2823.0,,,
2013-09-30,2013-11-05,10-Q,INVESCO DB SILVER FUND,DBS,CIK0001383054,USD,23597.0,,,68146.0,36522671.0,0.0,,19432486.0,19432486.0,,,0.0,,,,6175.0,,,,,,,,,,3.76,,-17909150.0,34999335.0,3634.0,3831694.0,,,,,,1460.0,,,36522671.0,,,,,,,,,,,3854.0,,,,,,,,,,,,,,-67926.0,,,,,,,,,,,29772.0,36522671.0,,,,,,,,,,,,3763768.0,,71780.0,,,,,,6175.0,,,,,,,,,,,,,3763768.0,,,,,,4331250.0,,,,1000000.0,36492899.0,3763768.0,,,,,,,,,,,3830750.0,3831694.0,,944.0,,,
2013-12-31,2014-03-14,10-K,INVESCO DB SILVER FUND,DBS,CIK0001383054,USD,20875.0,,,326090.0,32244285.0,0.0,,1547879.0,1547879.0,-13282875.0,,0.0,,,,4704.0,302850.0,-30628.0,,,0.0,,,,,-24.0,,,30999256.0,6891.0,-26103168.0,,,-24528575.0,-24528575.0,1244.0,1290.0,,40.0,32244285.0,-20979.0,-20979.0,2974.0,,,,2974.0,,,,35772.0,168.0,,,,,,,,,,,,,-364685.0,,,,,,-302850.0,,,,,25579.0,32244285.0,32217416.0,1000000.0,,1244.0,-1657.0,,,-7932224.0,-7932224.0,-5350651.0,-5350651.0,-26467852.0,,332981.0,-302521.0,,,,,,,165969098.0,7932224.0,,,,165969098.0,,185498176.0,,185498176.0,326090.0,,-24527331.0,-24527331.0,,,,3806000.0,,,,,32218706.0,-30125883.0,0.0,,0.0,-7932224.0,-30125883.0,,7932224.0,,,,2637850.0,2637850.0,2636193.0,-1657.0,,,
2014-03-31,2014-05-09,10-Q,INVESCO DB SILVER FUND,DBS,CIK0001383054,USD,22041.0,,,62827.0,32769579.0,0.0,,,1490132.0,,,0.0,,,,7055.0,,-5167.0,,,0.0,,,,,0.52,,,30999287.0,2351.0,581793.0,,,,,,1310.0,,40.0,32769579.0,1166.0,,2351.0,,521777.0,,2351.0,,,,5162.0,,,,,,,,,,,,,,-60016.0,,,,,,280160.0,,,,,29096.0,32769579.0,32739173.0,1000000.0,,,,,,,,,-57747.0,521777.0,,65178.0,-60016.0,,,,,,,,,,,,30996081.0,,31000000.0,,,,,,0.0,,,,3806000.0,,,,,32740483.0,521777.0,,0.0,0.0,,521777.0,0.0,0.0,,,,583010.0,581793.0,,-1217.0,,,
2014-06-30,2014-08-06,10-Q,INVESCO DB SILVER FUND,DBS,CIK0001383054,USD,20278.0,,,60775.0,34900741.0,0.0,,,2429481.0,,,0.0,,,,7296.0,,,,,0.0,,,,,2.13,,,29999190.0,241.0,2190668.0,,,,,-11.0,1395.0,,40.0,34900741.0,,,,,2132684.0,,,,,,3032.0,,,,,,,,,,,,,,-57984.0,,,,,,2472070.0,,,,,27574.0,34900741.0,34871772.0,1000000.0,,,,,,,,,,2132684.0,,61016.0,-57984.0,,,,,,,,,,,,,,,,,,,,-11.0,,,,3139950.0,,,,,34873167.0,2132684.0,0.0,0.0,0.0,,,0.0,0.0,,,,2191910.0,2190679.0,,-1231.0,,,
2014-09-30,2014-11-05,10-Q,INVESCO DB SILVER FUND,DBS,CIK0001383054,USD,17152.0,,,60098.0,22253497.0,0.0,,,4066200.0,,,0.0,,,,5487.0,3812395.0,,,,0.0,,,,,-7.08,,,21999692.0,105.0,-6449161.0,,,-165470.0,,418.0,1112.0,,40.0,22253497.0,,,,,-12642309.0,,,,,,2999.0,,,,,,,,,,,,,,-57204.0,,,,,,-3812395.0,,,,,22639.0,22253497.0,22229746.0,800000.0,,,,,,,,,,-6506365.0,,60203.0,-57204.0,,,,,,,,,,,,,,,,,,,,-165052.0,,,,1980550.0,,,,,22230858.0,-12642309.0,0.0,,0.0,,,,6135944.0,,,,-6284465.0,-6284109.0,,356.0,,,
2014-12-31,2015-03-09,10-K,INVESCO DB SILVER FUND,DBS,CIK0001383054,USD,10606.0,,,224232.0,20121336.0,0.0,20121336.0,2230396.0,2230396.0,682517.0,,0.0,682517.0,2230396.0,,5385.0,,-11600.0,0.0,1108725.0,0.0,,,,10606.0,-9.75,,,18999665.0,3859.0,-7844942.0,,,-4953065.0,-4953065.0,530.0,1005.0,,40.0,1951950.0,-10269.0,-10269.0,,,-2125513.0,,681.0,11495.0,,,11797.0,105.0,,,,,,,,,,,,,-257988.0,,,,,,-1108725.0,,,,,15991.0,20121336.0,20104340.0,800000.0,10606.0,530.0,-2411.0,,25.13,,-6135944.0,,6818461.0,-8102930.0,,228091.0,-257988.0,,1000.0,,,0.0,,112990572.0,6135944.0,,,,112990572.0,,124999882.0,,124999882.0,224232.0,,-4952535.0,-4952535.0,0.0,,,1951950.0,0.097,,,,20105345.0,-12113361.0,0.0,,0.0,,,,6135944.0,,-1108725.0,,-805875.0,-805875.0,-808286.0,-2411.0,,,0.0
2015-03-31,2015-05-11,10-Q,INVESCO DB SILVER FUND,DBS,CIK0001383054,USD,13315.0,,,39816.0,23490169.0,,,,2490873.0,,,0.0,,,,5359.0,,-943.0,,,0.0,,,,,1.59,,,20999296.0,24.0,1306628.0,,,-13625.0,-13625.0,,1069.0,,40.0,15899840.0,2709.0,2709.0,,,1267729.0,,-26.0,,,,941.0,,,,,,,,,,,,,,-38899.0,,,,,,211980.0,,,,,2117095.0,23490169.0,21372005.0,800000.0,,,-452.0,,,,,,260477.0,1267729.0,,39840.0,-38899.0,,,,,1999861.0,,18999279.0,,,,,18999279.0,,19000000.0,,19000000.0,39816.0,,-13625.0,-13625.0,,,,15899840.0,,,,,21373074.0,1267729.0,,0.0,0.0,,,0.0,0.0,,,,1320705.0,1320705.0,1320253.0,-452.0,,,0.0
