end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesFairValueDisclosure,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AssetImpairmentCharges,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DeferredFederalIncomeTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxesAndTaxCredits,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOtherLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,ExplorationExpense,FairValueAdjustmentOfWarrants,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsNet,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperationsGovernmentGrants,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInventories,IndefiniteLivedTrademarks,InterestPaidNet,InventoryNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingGainsLosses,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherAccruedLiabilitiesNoncurrent,OtherAssets,OtherAssetsNoncurrent,OtherIncome,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockSharesSubscribedButUnissuedValue,PreferredStockValue,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProfessionalFees,ProfitLoss,RelatedPartyTransactionDueFromToRelatedParty,RetainedEarningsAccumulatedDeficit,ShareBasedCompensation,SharesIssuedPricePerShare,StockGrantedDuringPeriodValueSharebasedCompensation,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,UnrecognizedTaxBenefitsResultingInNetOperatingLossCarryforward,ValuationAllowanceAmount,ValuationAllowanceDeferredTaxAssetChangeInAmount,ValuationAllowancesAndReservesAdjustments,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect
2014-06-30,2014-10-14,10-K,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,20328.0,,,-24500.0,,,0.0,,,,,,,0.001,256000000.0,135000000.0,135000000.0,135000.0,139574.0,,,,52874.0,410511.0,139574.0,410511.0,,255000.0,0.0,,-0.34,0.34,,0.0,,,,,,3337.0,,,,,-139574.0,12555.0,180000.0,,,,,,300011.0,0.0,300011.0,24683.0,4763.0,,-4763.0,-197318.0,,197318.0,-197318.0,,410511.0,255000.0,,,,,,,,,,,,,,4763.0,13981.0,-197318.0,,-410511.0,,,,-300011.0,,,,,,,,,,,,135000000.0,
2014-09-30,2014-11-24,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,25253.0,,,-24500.0,,,0.0,,,,,,,0.001,256000000.0,135000000.0,135000000.0,135000.0,,,,,,,,463309.0,,300000.0,0.0,,,,,,,,,,,3398.0,,,,,,4925.0,45000.0,,,,,,352809.0,0.0,352809.0,27556.0,2873.0,,-2873.0,-52798.0,,52798.0,-52798.0,,,300000.0,,,,,,,,,,,,,,2873.0,4400.0,,,,,,,-352809.0,,,,,,,,,,,,135000000.0,
2015-03-31,2015-07-22,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,7050.0,,,18162500.0,,,1846.0,295.0,1846.0,295.0,,,,0.001,256000000.0,135000000.0,135000000.0,148000.0,,,,,,,,573114.0,,390000.0,0.0,,,,,,,,,,,845.0,,,,,,,,,,,,,462909.0,1846.0,464545.0,65859.0,,,,-49180.0,,49180.0,-49095.0,,,390000.0,,,,,,,,,,,,,,,3250.0,,,-18773199.0,,,,-462699.0,,,,,,,,,,,,135000000.0,
2015-06-30,2017-01-31,10-K,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,9785.0,,,18162500.0,,,86.0,86.0,86.0,86.0,86.0,,,0.001,256000000.0,148000000.0,148000000.0,148000.0,6399150.0,,,,,,,,,435000.0,-0.13,,0.34,0.34,0.34,0.0,,,,,,18206323.0,,,6259576.0,,-6399150.0,-10543.0,180000.0,,,,,,,86.0,510615.0,65830.0,41147.0,,-41061.0,-18410518.0,,18410518.0,-18410518.0,,19011410.0,,,,,,,,,,,,,,41147.0,41147.0,24195.0,,,-18821029.0,18200000.0,,,-510529.0,,,,18200000.0,,,,,-6259576.0,,,142265753.0,
2015-09-30,2017-01-31,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,19261.0,,,18162500.0,,,26.0,26.0,26.0,26.0,-60.0,,,0.001,256000000.0,148000000.0,148000000.0,148000.0,,,,,,,,,,480000.0,0.0,,,,,,,,,,,1035.0,,,,,,9476.0,45000.0,,,,,,,26.0,565126.0,65865.0,35.0,,-95.0,-54571.0,,54571.0,-54571.0,,,,,,,,,,,,,,,,35.0,35.0,8536.0,,,-18875600.0,,,,-565100.0,,,,,,,,,,,,148000000.0,
2015-12-31,2017-01-31,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,19261.0,,,18162500.0,,,,,,,,,,0.001,256000000.0,148000000.0,148000000.0,148000.0,,,,,,,,,,525000.0,0.0,,,,,,,,,,,60.0,,,,,,,,,,,,,,,610160.0,65899.0,,,,-45060.0,,45060.0,-45060.0,,,,,,,,,,,,,,,,,,,,,-18920660.0,,,,-610160.0,,,,,,,,,,,,148000000.0,
2016-03-31,2017-01-31,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,20011.0,,,18162500.0,,,,,,,,,,0.001,256000000.0,148000000.0,148000000.0,148000.0,,,,,,,,,,570000.0,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,655910.0,65899.0,,,,-45750.0,,45750.0,-45750.0,,,,,,,,,,,,,,,,,,750.0,,,-18966410.0,,,,-655910.0,,,,,,,,,,,,2114286.0,
2016-06-30,2017-02-01,10-K,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,615000.0,20011.0,,,18308386.0,,,0.0,,,,-86.0,,,0.001,500000000.0,2114286.0,2114286.0,2114.0,6463879.0,,,,,,,,65899.0,65899.0,-0.09,,-0.34,0.34,0.34,0.0,,,,,,1095.0,-190381.0,,64730.0,,-6463879.0,10226.0,180000.0,,,,,,,0.0,700910.0,65899.0,69.0,,-155.0,-190381.0,,190381.0,-190381.0,,19011410.0,,,,,,,0.001,25000000.0,0.0,0.0,,,,69.0,,9286.0,,,-19011410.0,,,,-700910.0,,,,,,,,,-64730.0,,,2114286.0,
2016-09-30,2017-02-01,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,74303.0,50000.0,,18787400.0,,,60000.0,60000.0,60000.0,60000.0,60000.0,,,0.001,500000000.0,148000000.0,148000000.0,148000.0,,,,,,,,,,,-0.02,,,,,,,,,,,1010.0,-48293.0,,,,,-1707.0,,50000.0,,,,,,60000.0,134303.0,10000.0,60000.0,,,-48293.0,,48293.0,-48293.0,,,,,,,,,0.0,25000000.0,0.0,0.0,,,,10000.0,50000.0,3283.0,,,-19059703.0,0.0,,,-74303.0,,,,,,,,,,,,2114286.0,
2016-12-31,2017-02-08,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,23838.0,46800.0,,18680600.0,,,3620.0,3620.0,3620.0,3620.0,,,,0.001,500000000.0,308000000.0,308000000.0,308000.0,,,,,,,,,20000.0,20000.0,0.0,,,,,,,,,,,2496.0,-17141.0,,,,,,,,,,,,,3620.0,90638.0,,,,,-17141.0,,17141.0,-17141.0,,,,,,,,,0.001,25000000.0,0.0,0.0,,,,,,14645.0,,,-19076843.0,1225.0,,,-87018.0,,,,,,,,,,,,3581522.0,
2017-03-31,2017-05-22,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,32120.0,46800.0,,18984200.0,,,650.0,650.0,650.0,650.0,,,,0.001,500000000.0,4400000.0,4400000.0,4400.0,,,,,,,,,25000.0,25000.0,0.0,,,,,,,,,,,1010.0,,,,,,,,,,,,,,650.0,103920.0,,,,,-17161.0,,17161.0,-17161.0,,,,,,,,,0.001,25000000.0,0.0,0.0,,,,,,16151.0,,,-19094005.0,910.0,,,-103270.0,,,,,,,,,,,,4400000.0,
2017-06-30,2017-10-16,10-K,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,27707.0,42857.0,,18984200.0,,,2350.0,2350.0,2350.0,2350.0,2350.0,,,0.001,500000000.0,4400000.0,4400000.0,4400.0,6492002.0,,,,,,,,35000.0,35000.0,-0.02,,-0.34,0.34,0.34,0.0,,,,,,5146.0,-82714.0,,28123.0,,-6492002.0,-48303.0,,38914.0,,,,,,2350.0,105564.0,,85000.0,,-82650.0,-82714.0,,86657.0,-86657.0,,19094124.0,,,,3943.0,,3943.0,0.001,25000000.0,0.0,0.0,,,,35000.0,50000.0,37511.0,,,-19094124.0,5510.0,,5510.0,-103214.0,2310.0,,,,,50000.0,,,-28123.0,,,3617573.0,
2017-09-30,2017-11-15,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,26286.0,46571.0,,18984200.0,,,1192.0,1192.0,1192.0,1192.0,-1158.0,,,0.001,500000000.0,4400000.0,4400000.0,4400.0,,,,,,,,,41000.0,41000.0,0.0,,,,,,,,,,,392.0,-9766.0,,,,,-1421.0,,,,,,,,1192.0,113857.0,,6000.0,,-7158.0,-9766.0,,6052.0,-6052.0,,,,,,-3714.0,,-3714.0,0.001,25000000.0,0.0,0.0,,,,6000.0,,5660.0,,,-19103890.0,315.0,,315.0,-112665.0,,,,,,,,,,,,4400000.0,
2017-12-31,2018-02-21,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,28547.0,46571.0,,18984200.0,,,17414.0,17414.0,17414.0,17414.0,,,,0.001,500000000.0,4400000.0,4400000.0,4400.0,,,,,,,,,61000.0,61000.0,0.0,,,,,,,,,,,596.0,-6389.0,,,,,,,,,,,,,17414.0,136118.0,,,,,-6389.0,,6389.0,-6389.0,,,,,,,,,0.001,25000000.0,0.0,0.0,,,,,,5793.0,,,-19110279.0,350.0,,,-118704.0,,,,,,,,,,,,4400000.0,
2018-03-31,2018-05-18,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,30842.0,46571.0,,18984200.0,,,13428.0,13428.0,13428.0,,,,,0.001,500000000.0,4400000.0,4400000.0,4400.0,,,,,,,,,61000.0,61000.0,0.0,,,,,,,,,,,1339.0,,,,,,,,,,,,,,13428.0,138413.0,,,,,-6456.0,,6456.0,-6456.0,,,,,,,,,0.001,25000000.0,0.0,0.0,,,,,,4942.0,,,-19116735.0,175.0,,,-124985.0,,,,,,,,,,,,4400048.0,
2018-06-30,2018-10-11,10-K,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,32222.0,38571.0,18984200.0,18984200.0,,,5813.0,5813.0,5813.0,5813.0,3463.0,,,0.001,500000000.0,4400048.0,4400048.0,4400.0,4014760.0,4014760.0,,,,,,,61000.0,61000.0,-0.01,-0.01,-0.21,0.21,,0.0,,4286.0,,,,2628.0,,,4994.0,,-4014760.0,4515.0,,-8572.0,,,,,,5813.0,131793.0,,26000.0,,-22537.0,-24951.0,19117905.0,28067.0,4994.0,,19117905.0,,,,-4286.0,4286.0,4286.0,0.001,25000000.0,0.0,0.0,,,,26000.0,,24424.0,-23781.0,,-19117905.0,1015.0,,1015.0,-125980.0,1015.0,,,,,,,,-4014760.0,-4994.0,4400048.0,4400000.0,
2018-09-30,2018-11-09,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,34320.0,42714.0,,18984200.0,,,2463.0,2463.0,2463.0,2463.0,-3350.0,-3350.0,,0.001,500000000.0,4400048.0,4400048.0,4400.0,,,,,,,,,61000.0,72497.0,0.0,0.0,,,,,,,,,,110.0,,,,,,2098.0,,-143.0,,,,,,2463.0,138034.0,,,,-3350.0,-9819.0,,5676.0,-5676.0,,,,,,-4143.0,,-4143.0,0.001,25000000.0,0.0,0.0,,,,,,5338.0,-16589.0,,-19127724.0,228.0,,228.0,-135571.0,,,,,,,,,,,4400048.0,4400000.0,
2018-12-31,2019-02-14,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,38510.0,42714.0,,18984200.0,,,555.0,555.0,58.0,58.0,,,,0.001,500000000.0,4400000.0,4400000.0,4400.0,,,,,,,,,,72497.0,0.0,0.0,,,,,,,,,,141.0,,,,,,,,,,,,423.0,,555.0,142721.0,,,,,-6770.0,,6770.0,-6770.0,,,,,,,,,0.001,25000000.0,0.0,0.0,,,,,,6454.0,-6770.0,,-19134494.0,175.0,,,-142166.0,,,,,,,,,,,4400048.0,4400000.0,
2019-03-31,2019-05-20,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,36118.0,42714.0,,18984200.0,,,592.0,592.0,95.0,95.0,,,,0.001,500000000.0,4400048.0,4400048.0,4400.0,,,,,,,,,,68497.0,-0.01,-0.01,,,,,,,,,,361.0,,,,,,,,,,,,497.0,,592.0,147329.0,,,,,-30281.0,,30281.0,-30281.0,,,,,,0.0,0.0,0.0,0.001,25000000.0,0.0,0.0,,,,,,4210.0,,,-19164775.0,25710.0,,,-146737.0,,,,,,,,,,,4400048.0,4400048.0,
2019-06-30,2019-10-22,10-K,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,35867.0,44286.0,18984200.0,18984200.0,,,423.0,423.0,0.0,0.0,-5813.0,,0.0,0.001,500000000.0,4400048.0,4400048.0,4400.0,,4025807.0,0.0,,,,,,,72497.0,,-0.01,,,,,,5715.0,,,,840.0,,0.0,,0.0,,3645.0,,0.0,-423.0,,0.0,423.0,,423.0,152650.0,,11497.0,,-17310.0,-52605.0,19170510.0,46890.0,-46890.0,,,,,,5715.0,-5715.0,-5715.0,0.001,25000000.0,0.0,0.0,,0.0,,11497.0,,19692.0,-52605.0,,-19170510.0,26358.0,,26358.0,-152227.0,,15269.0,,4183.0,,,,,-4025807.0,-11047.0,4400048.0,,
2019-09-30,2019-12-03,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,44112.0,44286.0,18984200.0,18984200.0,,,10367.0,10367.0,10000.0,10000.0,,10000.0,,0.001,500000000.0,4400048.0,4400048.0,4400.0,,,,,,,,,,82497.0,,0.0,,,,,,,,,,1376.0,,,,0.0,,8245.0,,,56.0,,0.0,367.0,,10367.0,170895.0,,10000.0,,0.0,-8756.0,,8756.0,-8756.0,,,,,,0.0,,0.0,0.001,25000000.0,0.0,0.0,,,,10000.0,,6925.0,-13616.0,,-19179266.0,455.0,,,-160528.0,,16407.0,,4638.0,,,,,,,4400048.0,,
2019-12-31,2020-02-18,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,38852.0,44286.0,18984200.0,,,,492.0,492.0,,125.0,,,,0.001,500000000.0,4400048.0,4400048.0,4400.0,,,,,,,,,,82497.0,,0.0,,,,,,,,,,30.0,,,,,,,,,,,,367.0,,492.0,165635.0,,,,,-4860.0,,4860.0,-4860.0,,,,,,0.0,0.0,0.0,0.001,25000000.0,0.0,0.0,,,,,,4585.0,,,-19184126.0,245.0,,,-165143.0,,,,,,,,,,,4400048.0,,
2020-03-31,2020-07-13,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,38397.0,44286.0,18984200.0,,,,821.0,821.0,,454.0,,,0.0,0.001,500000000.0,4400048.0,4400048.0,4400.0,,,,,,,,,,87497.0,,0.0,,,,,,,,,,47.0,,,,,,,,,,,,367.0,,821.0,170180.0,,,,,-4426.0,,4426.0,-4426.0,,,,,,0.0,0.0,0.0,0.001,25000000.0,0.0,0.0,,0.0,,,,4169.0,,,-19188552.0,210.0,,,-169359.0,,,,,,,,,,,4400048.0,,
2020-06-30,2020-12-16,10-K,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,38462.0,47857.0,18984200.0,,,,5776.0,5776.0,5409.0,5409.0,5409.0,,0.0,0.001,500000000.0,4400048.0,4400048.0,4400.0,,4030369.0,0.0,,,,,,,92497.0,,0.0,,,,,,,,,0.0,1498.0,,0.0,,0.0,,2595.0,,3571.0,56.0,,0.0,367.0,,5776.0,178816.0,,20000.0,,-14591.0,-21723.0,19192233.0,18152.0,-18152.0,,,,,,3571.0,3571.0,-3571.0,0.001,25000000.0,0.0,0.0,30593.0,0.0,,20000.0,,15744.0,,,-19192233.0,910.0,,,-173040.0,,17544.0,,5093.0,,,,,-4030369.0,-4562.0,4400048.0,,
