end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AdditionalPaidInCapital,Assets,BankingFeesAndCommissions,BankOverdrafts,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockValue,CurrentIncomeTaxExpenseBenefit,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,ForeignCurrencyTransactionGainBeforeTax,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionGainLossRealized,ForeignCurrencyTransactionGainLossUnrealized,GeneralAndAdministrativeExpense,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseDebt,InterestExpenseOther,InterestPaid,LeaseAndRentalExpense,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LoansPayable,LoansPayableCurrent,MaintenanceCosts,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherGeneralExpense,PaymentsForLoans,PaymentsForRent,PaymentsToAcquireMineralRights,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PrepaidExpenseCurrent,ProceedsFromBankDebt,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProceedsFromPaymentsForLongTermLoansForRelatedParties,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,ServicingFees,SharePrice,SharesIssuedPricePerShare,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueOther,TravelAndEntertainmentExpense,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,ValuationAllowanceAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,StockIssuedDuringPeriodValueNewIssues
2012-06-30,2012-09-26,10-K,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,130500.0,106990.0,3050.0,,,,1550.0,,,,1499.0,0.0,100000000.0,7070000.0,,0.0,0.0,120000.0,-120000.0,345516.0,0.0,0.0,-0.02,0.35,,,-502.0,,18000.0,,,,-37486.0,67699.0,0.0,1500.0,10093.0,10093.0,10093.0,,11000.0,5906.0,241506.0,3050.0,111006.0,,,32311.0,-30812.0,-107104.0,107104.0,3500.0,345000.0,8308.0,-32311.0,,0.0,0.0,100000000.0,0.0,1500.0,,,0.0,,0.0,14970.0,,,,0.0,,,,-238456.0,,,,,,8325.0,37486.0,-120000.0,7070000.0,
2012-09-30,2012-11-15,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,150347.0,106990.0,1500.0,,,,-25.0,,,,-1575.0,0.0,100000000.0,7070000.0,,,,,,376282.0,,,0.0,,,,-193.0,,4500.0,,,,,19847.0,,,4427.0,3321.0,3361.0,,1500.0,1610.0,270722.0,1500.0,120350.0,,,5983.0,-7558.0,-30766.0,18182.0,,,36.0,-5983.0,,,0.0,100000000.0,0.0,1500.0,25.0,,,,,12109.0,,,,,,,,-269222.0,,,,,,,,,,
2012-12-31,2013-02-13,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,165647.0,106990.0,1500.0,,,,0.0,,,,,0.0,100000000.0,7070000.0,,,,,,399217.0,,,0.0,,,,0.0,,4500.0,,,,,,,,3681.0,,,,0.0,0.0,293657.0,1500.0,127999.0,,,,,-21135.0,21135.0,,,1506.0,,,-3150.0,0.0,100000000.0,0.0,1500.0,,,,,,798.0,,,,,,,,-292157.0,,,,,,0.0,,,,
2013-03-31,2013-05-14,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,182195.0,106990.0,2708.0,,,,1208.0,,,,,0.0,100000000.0,7070000.0,,,,,,427518.0,,,0.0,,,,,,4500.0,,,,,,,,3824.0,,,,,1005.0,323166.0,2708.0,140971.0,,,,,,28301.0,,,1943.0,,,-27.0,0.0,100000000.0,0.0,1500.0,,,,,,9502.0,,,,,,,,-320458.0,,,,,,,,,,
2013-06-30,2013-09-30,10-K,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,161883.0,106990.0,28.0,,,,28.0,,,,-1522.0,0.0,100000000.0,7070000.0,,0.0,0.0,165000.0,-165000.0,471448.0,,54959.0,-0.02,0.35,,,-239.0,,13500.0,0.0,,0.0,-44076.0,31383.0,54959.0,1500.0,15178.0,,15178.0,0.0,1500.0,7406.0,364416.0,28.0,147574.0,,,21390.0,-22912.0,-125932.0,125932.0,,471000.0,7640.0,-21390.0,,-3177.0,0.0,100000000.0,0.0,0.0,,,0.0,,0.0,16831.0,,,,0.0,,,,-364388.0,,,,,,37961.0,44076.0,,7070000.0,
2013-09-30,2013-11-12,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,175610.0,106990.0,,,,,0.0,,,,-28.0,0.0,100000000.0,7070000.0,,,,,,489630.0,,54959.0,0.0,,,,0.0,,0.0,,,,,13727.0,0.0,,4427.0,4427.0,4427.0,,0.0,1610.0,382570.0,,152001.0,,,0.0,-28.0,-53610.0,18182.0,,,36.0,0.0,,0.0,0.0,100000000.0,0.0,,,,0.0,,0.0,12109.0,,,,0.0,,,,-417998.0,,,,,,0.0,,,,
2013-12-31,2014-02-10,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,174696.0,106990.0,26.0,,,,26.0,,,,,0.0,100000000.0,7070000.0,,,,,,495847.0,,54959.0,0.0,,,,0.0,,0.0,,,,,,,,4617.0,,,,0.0,288.0,388813.0,26.0,159158.0,,,,,-6217.0,6217.0,,,0.0,,,0.0,0.0,100000000.0,0.0,,,,,,,1312.0,,,,,,,,-398016.0,,,,,,0.0,,,7070000.0,
2014-03-31,2014-05-13,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,178577.0,106990.0,40.0,,,,39.0,,,,,0.0,100000000.0,7070000.0,,,,,,505076.0,,54960.0,0.0,,,,,,,,,,,,,,4820.0,,,,,1482.0,398056.0,40.0,164519.0,,,,,-9229.0,9229.0,,,102.0,,,,0.0,100000000.0,,,,,,,,2825.0,,,,,,,,-398016.0,,,,,,,,,7070000.0,
2014-06-30,2014-09-26,10-K,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,175864.0,106990.0,3.0,,,,3.0,-25.0,,,-25.0,0.0,100000000.0,7070000.0,70.0,0.0,0.0,178000.0,178000.0,525058.0,71379.0,71379.0,-0.01,0.34,,,0.0,,0.0,0.0,,4705.0,-18227.0,13981.0,16420.0,0.0,15127.0,,15127.0,0.0,0.0,6475.0,418001.0,3.0,170758.0,170758.0,,24477.0,-24502.0,-53610.0,53610.0,,525000.0,8338.0,-8057.0,,0.0,0.0,100000000.0,0.0,0.0,,,0.0,,16420.0,15575.0,,,,0.0,,,,-417998.0,,,,,,8095.0,13522.0,,7070000.0,
2014-09-30,2014-11-14,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,165187.0,106990.0,2.0,,,,2.0,-1.0,,,-1.0,0.0,100000000.0,7070000.0,,,,,,531925.0,,72889.0,0.0,,,,0.0,,0.0,,,,,-9167.0,0.0,,4072.0,,4072.0,,0.0,2795.0,424867.0,2.0,186791.0,,,11961.0,-11962.0,-6867.0,6867.0,,,,-11961.0,,0.0,0.0,100000000.0,0.0,,,,0.0,,0.0,0.0,,,,0.0,,,,-424865.0,,,,,,0.0,,,7070000.0,
2014-12-31,2015-02-12,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,174274.0,106990.0,10324.0,,,,5.0,,,,,0.0,100000000.0,7070000.0,,,,,,547616.0,,72889.0,0.0,,,14.0,14.0,,0.0,,,,,,,,4479.0,,,,0.0,280.0,450880.0,10324.0,203717.0,,,,,-15690.0,15690.0,,,0.0,,,0.0,0.0,100000000.0,0.0,10319.0,,,,,,10945.0,,,,,,,,-440556.0,,,,,,0.0,,,7070000.0,
2015-03-31,2015-05-15,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,175470.0,106990.0,34.0,,,34.0,34.0,,,,,0.0,100000000.0,7070000.0,70.0,,,,,,,82959.0,-0.02,,,-102761.0,-3497.0,,,,,,,,,,12.0,,,,,13435.0,471558.0,34.0,213129.0,,,,,-130233.0,130233.0,,,12000.0,,,,0.0,100000000.0,0.0,,,,,,,2025.0,,,,,,,,-471524.0,,,,,,,,,7070000.0,
2015-06-30,2015-09-29,10-K,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,176153.0,106990.0,16.0,,,16.0,16.0,13.0,,,,0.0,100000000.0,7070000.0,70.0,,,197000.0,197000.0,,82959.0,,-0.01,0.34,,-3483.0,,,,,,,-19426.0,289.0,,,8580.0,,,,,29920.0,475150.0,16.0,,216038.0,,48477.0,-48464.0,-57136.0,57136.0,,582000.0,,-36897.0,,,0.0,100000000.0,0.0,,,,,,11580.0,15153.0,,,-582194.0,,,,,-475133.0,,0.0,,,,10000.0,19426.0,,7070000.0,
2015-09-30,2015-11-13,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,175575.0,106990.0,4.0,,,4.0,4.0,-12.0,,,,0.0,100000000.0,7070000.0,70.0,,,,,,82959.0,,0.0,,,,,,,,,,,-578.0,,,,,,,,,475150.0,4.0,,216616.0,,578.0,-590.0,-12.0,12.0,,,12.0,-578.0,,,0.0,100000000.0,0.0,,,,,,,,,,-582206.0,,,,,-475146.0,,0.0,,,,,,,7070000.0,
2015-12-31,2016-02-16,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,175576.0,106990.0,10.0,,,10.0,10.0,,,,,0.0,100000000.0,7070000.0,70.0,,,,,,82959.0,,0.0,,,,,,,,,,,,,,-6.0,,,,,13395.0,489871.0,10.0,,231336.0,,,,-13965.0,13965.0,,,13.0,,,,0.0,100000000.0,0.0,,,,,,,563.0,,,-596921.0,,,,,-489861.0,,,,,,,,,7070000.0,
2016-03-31,2016-05-16,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,175181.0,106990.0,0.0,,6.0,-6.0,0.0,,,,,0.0,100000000.0,7070000.0,70.0,,,,,,82959.0,,0.0,,,,,,,,,,,,,,17.0,,,,,11859.0,503865.0,0.0,,245719.0,,,,-14068.0,14068.0,,,,,,,0.0,100000000.0,0.0,,,,,,,2192.0,,,-610925.0,,,,,-503865.0,,,,,,,,,7070000.0,
2016-06-30,2016-09-28,10-K,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,181704.0,106990.0,65.0,-41.0,,65.0,65.0,49.0,,,,0.0,100000000.0,7070000.0,70.0,,,204000.0,204000.0,,121619.0,,0.0,0.34,,3416.0,,,,,,,-10092.0,5552.0,24180.0,,41.0,,,,,19612.0,504881.0,65.0,,201558.0,,24180.0,49.0,-29683.0,29683.0,,601000.0,13.0,-24180.0,,,0.0,100000000.0,0.0,,,,,,,13433.0,,,-611876.0,,,,,-504816.0,,0.0,,,,,10092.0,,7070000.0,
2016-09-30,2016-11-16,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,166904.0,106990.0,5047.0,-18.0,,47.0,47.0,-18.0,,,,0.0,100000000.0,7070000.0,70.0,,,,,,82959.0,,0.0,,,248.0,,,,,,,,-14801.0,,5000.0,18.0,,,,,1958.0,507875.0,5047.0,,258012.0,,17794.0,-17812.0,1989.0,-1989.0,,,,-17794.0,,,0.0,100000000.0,0.0,5000.0,,,,,,-3717.0,,,-609888.0,,,,,-502828.0,,0.0,,,,,,,7070000.0,
2016-12-31,2017-02-13,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,167348.0,106990.0,2032.0,,,32.0,32.0,,,,,0.0,100000000.0,7070000.0,70.0,,,,,,82959.0,,0.0,,,,,,,,,,,,,,18.0,,,,,3939.0,510731.0,2031.0,,260424.0,,,,-5871.0,5871.0,,,,,,,0.0,100000000.0,,2000.0,,,,,,1914.0,,,-615760.0,,,,,-508700.0,,,,,,,,,7070000.0,
2017-03-31,2017-05-12,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,168554.0,106990.0,5014.0,,,14.0,14.0,,,,,0.0,100000000.0,7070000.0,70.0,,,,,,82959.0,,0.0,,,,,,,,,,,,,,18.0,,,,,4073.0,519542.0,5014.0,,268029.0,,,,-5830.0,5830.0,,,,,,,0.0,100000000.0,,5000.0,,,,,,1739.0,,,-621588.0,,,,,-514528.0,,,,,,,,,7070000.0,
2017-06-30,2017-09-28,10-K,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,171940.0,106990.0,2006.0,-68.0,,6.0,6.0,-59.0,6.0,,,0.0,100000000.0,7070000.0,70.0,,,210000.0,210000.0,,152626.0,,0.0,0.34,,2703.0,,,,,,3550.0,-6563.0,-9764.0,31007.0,2000.0,,,,,,17628.0,526124.0,2006.0,,201558.0,,31007.0,-31066.0,-19302.0,19302.0,,620000.0,,,,,0.0,100000000.0,,2000.0,,,,31007.0,,4309.0,,,-631178.0,,,,,-524118.0,,,,,,,3013.0,,7070000.0,
2017-09-30,2017-11-13,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,170952.0,106990.0,5001.0,-14.0,,,1.0,-5.0,,,,0.0,100000000.0,7070000.0,70.0,,,,,,163392.0,,0.0,,,-1477.0,,,,,,,,-988.0,10766.0,3000.0,,,,,,3724.0,535902.0,5001.0,,201558.0,,10766.0,-10771.0,-6783.0,6783.0,,,,,,,0.0,100000000.0,,5000.0,,,,10766.0,,1568.0,,,-637961.0,,,,,-530901.0,,,,,,,,,7070000.0,
2017-12-31,2018-02-13,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,173725.0,106990.0,2006.0,,,,6.0,,6.0,,,0.0,100000000.0,7070000.0,70.0,,,,,,172576.0,,0.0,,,,,,,,,,,,,,14.0,,,,,4653.0,547859.0,2006.0,,201558.0,,,,-14951.0,14951.0,,,,,,,0.0,100000000.0,,2000.0,,,,,,10284.0,,,-652913.0,,,,,-545853.0,,,,,,,,,7070000.0,
2018-03-31,2018-05-14,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,175726.0,106990.0,5417.0,,,,,,,,,0.0,100000000.0,7070000.0,70.0,,,,,,181099.0,,0.0,,,-37.0,,,,,,,,,,,14.0,,,,,3797.0,558383.0,5417.0,,201558.0,,,,-7113.0,7113.0,,,2000.0,,,,0.0,100000000.0,,5417.0,,,,,,1265.0,,,-660026.0,,,,,-552966.0,,,,,,,,,7070000.0,
2018-06-30,2018-09-28,10-K,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,178445.0,106990.0,2171.0,,,,5.0,-1.0,5.0,-1.0,,0.0,100000000.0,7070000.0,70.0,,,140000.0,140000.0,,182628.0,,-0.01,0.275,,-1514.0,,,,,,,-9994.0,6505.0,,166.0,,,,,,16936.0,562631.0,2171.0,,201558.0,,30002.0,-30003.0,-36342.0,36342.0,,656000.0,4500.0,,,,0.0,100000000.0,,2166.0,,,,30002.0,,13336.0,-36342.0,,-667520.0,,,,,-560460.0,,,,,,,9994.0,,7070000.0,
2018-09-30,2018-11-13,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,170738.0,106990.0,5485.0,,,,68.0,63.0,68.0,63.0,,0.0,100000000.0,7070000.0,70.0,,,,,,199413.0,,0.0,,,,,,,,,,,-7707.0,,3251.0,,,,,,3252.0,571709.0,5485.0,,201558.0,,16785.0,-16722.0,-5764.0,5764.0,,,1000.0,,,,0.0,100000000.0,,5417.0,,,,16785.0,16785.0,1500.0,-5764.0,,-673284.0,,,,,-566224.0,,,,,,,,,7070000.0,
2018-12-31,2019-02-13,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,180292.0,106990.0,2221.0,,,,54.0,,54.0,,,0.0,100000000.0,7070000.0,70.0,,,,,,201062.0,,0.0,,,,,,,,,,,,,,,,,,,4899.0,582912.0,2221.0,,201558.0,,,,-14467.0,14467.0,,,1000.0,,,,0.0,100000000.0,,2167.0,,,,,,8555.0,,,-687751.0,,,,,-580691.0,,,,,,,,,7070000.0,
2019-03-31,2019-05-13,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,181380.0,106990.0,5457.0,,,,40.0,,40.0,,,0.0,100000000.0,7070000.0,70.0,,,,,,209567.0,,0.0,,,,,,,,,,,,,,,,,,,4047.0,592505.0,5457.0,,201558.0,,,,-6357.0,6357.0,,,1000.0,,,,0.0,100000000.0,,5417.0,,,,,,1294.0,,,-694108.0,,,,,-587048.0,,,,,,,,,7070000.0,
2019-06-30,2019-09-30,10-K,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,182436.0,106990.0,2183.0,,,,16.0,,16.0,11.0,,0.0,100000000.0,7070000.0,70.0,,,144704.0,144704.0,,211541.0,,0.0,0.21,,9.0,,,,,,,-6907.0,3991.0,,1.0,,,,,,16998.0,595535.0,2183.0,,201558.0,,28913.0,-28902.0,-32892.0,32892.0,,689000.0,4500.0,,,,0.0,100000000.0,,2167.0,,,,28913.0,28913.0,11349.0,-32892.0,,-700412.0,,,,,-593352.0,,,,,,,6907.0,,7070000.0,
2019-09-30,2019-11-13,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,184896.0,106990.0,5697.0,,,,280.0,,280.0,264.0,,0.0,100000000.0,7070000.0,70.0,,,,,,226386.0,,0.0,,,130.0,,,,,,,,2460.0,,3250.0,,,,,,4140.0,612840.0,5697.0,,201558.0,,14845.0,-14581.0,-13791.0,13791.0,,,1000.0,,,,0.0,100000000.0,,5417.0,,,,,14845.0,8768.0,-13791.0,,-714203.0,,,,,-607143.0,,,,,,,,,7070000.0,
2019-12-31,2020-02-12,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,186215.0,106990.0,2198.0,,,,31.0,,31.0,,,0.0,100000000.0,7070000.0,70.0,,,,,,228141.0,,0.0,,,-25.0,,,,,,,,,,,,,,,,4250.0,615914.0,2198.0,,201558.0,,,,-6573.0,6573.0,,,1076.0,,,,0.0,100000000.0,,2167.0,,,,,,1208.0,,,-720776.0,,,,,-613716.0,,,,,,,,,7070000.0,
2020-03-31,2020-05-15,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,187671.0,106990.0,5432.0,,,,16.0,,16.0,,,0.0,100000000.0,7070000.0,70.0,,,,,,236322.0,,0.0,,,-2.0,,,,,,,,,,,,,,,,4180.0,625551.0,5432.0,,201558.0,,,,-6403.0,6403.0,,,1000.0,,,,0.0,100000000.0,,5416.0,,,,,,1208.0,,,-727179.0,,,,,-620119.0,,,,,,,,,7070000.0,
