end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableRelatedParties,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,BankOverdrafts,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsAndShortTermInvestments,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockSharesIssued1,CurrentFederalStateAndLocalTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,DeferredCompensationLiabilityCurrent,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOther,DeferredTaxAssetsTaxDeferredExpenseOther,DeferredTaxAssetsValuationAllowance,DepreciationDepletionAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToAffiliateCurrent,DueToAffiliateCurrentAndNoncurrent,DueToOfficersOrStockholdersCurrent,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToOtherRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,ExtinguishmentOfDebtAmount,ExtinguishmentOfDebtGainLossNetOfTax,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxEffectsAllocatedDirectlyToEquity,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpenseOther,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedSalaries,IncreaseDecreaseInBookOverdrafts,IncreaseDecreaseInDeferredCompensation,IncreaseDecreaseInDueToOfficersAndStockholdersCurrent,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInPrepaidExpense,InterestAndDebtExpense,InterestExpense,InterestPaid,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,LaborAndRelatedExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,NonoperatingIncomeExpense,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OtherCostAndExpenseOperating,OtherExpenses,OtherGeneralAndAdministrativeExpense,OtherLaborRelatedExpenses,OtherLongTermDebtCurrent,OtherNonrecurringIncomeExpense,PaymentsOfDistributionsToAffiliates,PaymentsOfMergerRelatedCostsFinancingActivities,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentNet,RelatedPartyTransactionAmountsOfTransaction,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,ShareBasedCompensation,SharesIssued,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2016-03-31,2016-05-17,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,33315.0,,,,,,2384824.0,114.0,114.0,,114.0,-81.0,,,,,,36720.0,,,,780000.0,,,,,,,,,,,,,,505959.0,0.0,,,,3521.0,-42458.0,,,,,,,,,,3440.0,,30000.0,,,,,,,,,,,,-8937.0,,,,,,2897065.0,114.0,2897065.0,,,-81.0,-42458.0,,,,1299469.0,,,33521.0,-33521.0,,-8937.0,,30000.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,-5318495.0,,,,,-2896951.0,,,,,,,,,,,36719854.0,
2016-06-30,2016-08-16,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,,,,,,,,,,,473.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,5650.0,-44587.0,,,,,,,,,,,,,,,,,,,,,,,,-8937.0,,,,,,,,,,,,-44587.0,,,,,,,35650.0,-35650.0,,-8937.0,,30000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36719854.0,
2016-09-30,2016-11-14,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,25424.0,,,,,,2384824.0,428.0,428.0,,428.0,,,,,,,36720.0,,,,840000.0,,,,,,,,365462.0,,770000.0,,70000.0,,505959.0,0.0,,,,3545.0,-42482.0,,,,,,,,,,,,,,,,,,,,,,,,-8937.0,,,,,,2984448.0,428.0,2984448.0,,,,-42482.0,,,,1316869.0,,,33545.0,-33545.0,,-8937.0,,30000.0,,-8937.0,,,,,,,,,,,,,,,,,,,,,,,-5405564.0,,,,,-2984020.0,,,,,,,,,,,36719854.0,
2016-12-31,2017-03-31,10-K,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,25219.0,,,,,,2384824.0,465.0,465.0,,465.0,270.0,,,,,,36720.0,,,-58827.0,870000.0,,-1887314.0,,,1703242.0,,,365462.0,,800000.0,,70000.0,,505959.0,0.0,,,,17274.0,,,,,,,58827.0,,,,-4656.0,,120000.0,,,,35748.0,,,,,,,,-35748.0,,,,,,3027980.0,465.0,3027980.0,22200.0,,-21930.0,-173022.0,,,,1321669.0,,1321669.0,137274.0,-137274.0,,-35748.0,,120000.0,,-35748.0,,,,,,,,,,,,,,,,22200.0,,,,,,,-5449059.0,,,,,-3027515.0,,,,,,,,,,,36719854.0,
2017-03-31,2017-05-15,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,40041.0,,,,,,2384824.0,479.0,479.0,,479.0,14.0,,,,,,36720.0,,,,900000.0,,,,,,,,365462.0,,830000.0,,70000.0,,505959.0,0.0,,,,23008.0,-61945.0,,,,,,,,,,14822.0,,30000.0,,,,8937.0,,,,,,,,-8937.0,,,,,,3089939.0,479.0,3089939.0,8200.0,,-8186.0,-61945.0,,,,1329869.0,,,53008.0,-53008.0,,-8937.0,,30000.0,,,,,,,,,,,,,,,,,,8200.0,,,,,,,-5511004.0,,,,,-3089460.0,,,,,,,,,,,36719854.0,
2017-06-30,2017-08-14,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,40041.0,,,,,,2384824.0,381.0,381.0,,381.0,,,,,,,36720.0,,,,930000.0,,,,,,,,365462.0,,860000.0,,70000.0,,505959.0,0.0,,,,4598.0,-43535.0,-43535.0,,0.0,,,,,,,,,,,,,,,,,,,,-8937.0,-8937.0,,,,,,3133376.0,381.0,3133376.0,,,,-43535.0,,,,1334369.0,,,34598.0,-34598.0,30000.0,-8937.0,,30000.0,,,,,,,,,,,,,,,,,,,,,,,,,-5554539.0,0.0,,,,-3132995.0,,,,,,,,,,,36719854.0,
2017-09-30,2017-11-20,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,7456.0,,,,,,2384824.0,336.0,336.0,,366.0,,,,,,,36720.0,,,,960000.0,,,,,,,,365462.0,,890000.0,,70000.0,,505959.0,0.0,,,23651.0,1112.0,-16398.0,,,0.0,,,,,,,,,,,,,,,,,,,,,-8937.0,,,,,,3149729.0,336.0,3149729.0,,,,-16398.0,,14714.0,,1344369.0,,1344369.0,31112.0,-31112.0,30000.0,,,30000.0,,14714.0,,,,,,,,,,,,,,,,,,,,,,,-5570937.0,0.0,,,,-3149393.0,,,,,,,,,,,36719854.0,
2017-12-31,2018-04-02,10-K,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,4688.0,,,,505959.0,,2384824.0,291.0,291.0,0.0,291.0,-174.0,,0.001,100000000.0,36719854.0,36719854.0,36720.0,,-56131.0,-56131.0,990000.0,0.0,-1934445.0,,,1759373.0,,,365462.0,,990000.0,,70000.0,,505959.0,0.0,,,23651.0,32995.0,,,184072.0,0.0,0.0,,56131.0,,,,-3121.0,,120000.0,0.0,,,35748.0,,,35748.0,,,,,-35748.0,0.0,340881.0,340881.0,,,3192898.0,291.0,3192898.0,29700.0,0.0,-29874.0,-165092.0,,-12097.0,,1351369.0,,,152995.0,-152995.0,120000.0,,,120000.0,,-12097.0,,,,0.001,5000000.0,0.0,0.0,0.0,,,,,,,,29700.0,,29700.0,-165092.0,,,,-5614151.0,0.0,,,,-3192607.0,,,,,,,,,,56131.0,36719854.0,
2018-03-31,2018-05-07,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,2528.0,,,,,,2384824.0,,,5247.0,0.0,-291.0,,,,,,36720.0,,,,1020000.0,,,,,,,,365462.0,,950000.0,,70000.0,,505959.0,0.0,,,,7877.0,-46814.0,,,0.0,,0.0,,,,,-2161.0,,30000.0,,30000.0,,8937.0,,,8937.0,,,,,-8937.0,0.0,,,,,3239421.0,,3239421.0,4500.0,0.0,-4791.0,-46814.0,,-8937.0,,1355869.0,,,37877.0,-37877.0,30000.0,-8937.0,,30000.0,,,,,,,,,,,,,,,,,,4500.0,5247.0,4500.0,-46814.0,,,,-5660965.0,0.0,,,,-3239421.0,,,,,,,,,,,36719854.0,
2018-06-30,2018-08-13,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,3588.0,,,,505959.0,,2384824.0,0.0,0.0,2342.0,0.0,,,0.001,100000000.0,36719854.0,36719854.0,36720.0,,,,1050000.0,,,,,,,,,,,,,,,0.0,,,,5456.0,-44393.0,-44393.0,,0.0,,,,,,,,,,,,,,,,,,,,-8937.0,-8937.0,,358755.0,,,30000.0,3283813.0,0.0,3283813.0,,,,-44393.0,,-8937.0,,1363169.0,,,35456.0,-35456.0,30000.0,,,,,,,,,0.001,5000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,-5705357.0,0.0,,,,-3283813.0,,,,,,,,,,,36719854.0,
2018-09-30,2018-11-02,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,4681.0,,,,505959.0,,2384824.0,0.0,0.0,1387.0,0.0,,,0.001,100000000.0,36719854.0,36719854.0,36720.0,,,,1080000.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,4638.0,-43575.0,,,0.0,,,,,,,,,,,,,,,,,,,,,-8937.0,,,367692.0,,30000.0,3327388.0,0.0,3327388.0,4500.0,,,-43575.0,,-8937.0,,1367669.0,,,34638.0,-34638.0,30000.0,,,,,,,,,0.001,5000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,-5748932.0,0.0,,,,-3327388.0,,,,,,,,,,,36719854.0,
2018-12-31,2019-04-02,10-K,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,3228.0,,,,505959.0,,2419096.0,0.0,0.0,2957.0,0.0,-291.0,,0.001,100000000.0,2447991.0,2447991.0,2448.0,,-37450.0,,1110000.0,0.0,1237814.0,,113692.0,1124122.0,,,,,1110000.0,,,,505959.0,-0.07,,,0.0,22587.0,,,113692.0,0.0,0.0,,,,,,-1461.0,,120000.0,-2957.0,,,,,,35748.0,,,,,35748.0,0.0,376629.0,,,,3370942.0,0.0,3370942.0,20800.0,0.0,-21091.0,-178335.0,,-35748.0,,1372169.0,,,142587.0,-142587.0,120000.0,,,,,,,,,0.001,5000000.0,0.0,0.0,0.0,,,,0.0,,,,,,20800.0,-178335.0,,,,-5792486.0,0.0,,,,-3370942.0,,,,,,,,,,37450.0,2447990.0,
2019-03-31,2019-05-16,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,9410.0,,,,505959.0,,2384824.0,0.0,0.0,3083.0,0.0,0.0,,0.001,100000000.0,36719854.0,36719854.0,36720.0,,,,1140000.0,,,,,,,,,,,,,,,0.0,,0.0,,6308.0,-45245.0,,,0.0,0.0,0.0,,,,,6182.0,,,126.0,30000.0,,0.0,,,8937.0,,,0.0,,8937.0,0.0,385566.0,,,30000.0,3416187.0,0.0,3416187.0,0.0,0.0,0.0,-45245.0,,-8937.0,,1372169.0,,,36308.0,-36308.0,30000.0,,,,,,,,,0.001,5000000.0,0.0,0.0,0.0,,,,0.0,,,,0.0,,0.0,-45245.0,,,,-5837731.0,0.0,,,,-3416187.0,,,,,,,,,,,2447991.0,
2019-06-30,2019-08-20,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,0.0,,,,,,4864800.0,0.0,0.0,3702.0,0.0,,,0.001,100000000.0,51719854.0,51719854.0,51720.0,,,,70000.0,,,,,,,,,,,,,,96728.0,0.0,,,,4758.0,-43695.0,,,0.0,,,,,,,,,,,,,,,,,,,,,8937.0,,123176.0,,,30000.0,964906.0,0.0,964906.0,,,,-43695.0,,-8937.0,,671300.0,,,34758.0,-34758.0,,,,,,,,,,0.001,,0.0,0.0,0.0,,,,,,,,,,,,,,,-5881426.0,0.0,,,,-964906.0,,,,,,,,,,,2464568.0,
2019-09-30,2019-11-19,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,0.0,,,,,,5298764.0,22050.0,22050.0,0.0,16950.0,,,0.001,200000000.0,63719854.0,63719854.0,63720.0,,,,0.0,,,,,,,,,,,,,,0.0,0.01,,,-596000.0,42127.0,540992.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,12881.0,0.0,22050.0,0.0,,,,540992.0,,596000.0,,0.0,,,55008.0,-55008.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,-5340434.0,0.0,,,,22050.0,,,,,,800000.0,,,80000.0,,51866374.0,
2019-12-31,2020-04-09,10-K,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,3910.0,,,,1475.0,,5358236.0,1955.0,1955.0,0.0,1955.0,1955.0,,0.001,200000000.0,4247993.0,4247993.0,4248.0,,89580.0,,0.0,0.0,1148233.0,,113692.0,1034542.0,,,,,0.0,,,,1475.0,0.13,,,596000.0,71348.0,,,,0.0,0.0,,,,,,2606.0,,60000.0,2957.0,,,,,,17874.0,,,,,17874.0,0.0,0.0,,,,5385.0,1955.0,5385.0,93860.0,0.0,-91905.0,426572.0,,578126.0,,0.0,,,151554.0,-151554.0,80206.0,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,0.0,,,80000.0,,,,,,13860.0,426572.0,,,,-5365914.0,0.0,,,,-3430.0,-3430.0,,,,,,,0.0,,-89580.0,3268814.0,
2020-03-31,2020-05-15,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,1571.0,,,,,,5358236.0,0.0,0.0,2113.0,0.0,-1955.0,,0.001,200000000.0,4247993.0,4247993.0,4248.0,,,,30000.0,,,,,,,,,,,,,,1490.0,-0.01,,0.0,,4818.0,-34833.0,,,0.0,0.0,,,,,,-2340.0,,,2113.0,30000.0,,3090.0,,,15.0,,,0.0,,15.0,0.0,,,,30000.0,38264.0,0.0,38264.0,3090.0,0.0,-1955.0,-34833.0,,-15.0,,3090.0,,,34818.0,-34818.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,0.0,,,0.0,,,,3090.0,,,-34833.0,,,,-5400748.0,0.0,,,,-38264.0,,,,,,,,,,,3268814.0,
2020-06-30,2020-08-10,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,1865.0,,,,,,5358236.0,1471.0,1471.0,,1471.0,,,0.001,200000000.0,4247993.0,4247993.0,4248.0,,,,,,,,,,,,,,,,,,60000.0,-0.01,,,,13822.0,-44028.0,,,0.0,,,,,,,,,,,,,,,,,,,,,206.0,,,,,30000.0,83763.0,1471.0,83763.0,,,,-44028.0,,-206.0,,21676.0,,,43822.0,-43822.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,-5444777.0,0.0,,,,-82293.0,,,,,,,,,,,4247993.0,
2020-09-30,2020-11-13,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,1825.0,,,,,,5358236.0,750.0,750.0,,750.0,,,0.001,200000000.0,4247993.0,4247993.0,4248.0,,,,,,,,,,,,,,,,,,90000.0,-0.01,,,0.0,4682.0,-34934.0,,,0.0,,,,,,,,,,,,,,,,,,,,,252.0,,,,,30000.0,117975.0,750.0,117975.0,,,,-34934.0,,-252.0,,25676.0,,,34682.0,-34682.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,-5479709.0,0.0,,,,-117225.0,,,,,,,,,,,4247993.0,
2020-12-31,2021-04-14,10-K,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,4918.0,,,,121475.0,,5417236.0,660.0,660.0,0.0,660.0,-1295.0,,0.001,200000000.0,5248582.0,5248582.0,5248.0,,-43888.0,,25676.0,0.0,1192121.0,,113692.0,1078429.0,,,,,,,,,121475.0,-0.04,,,0.0,27978.0,,,,0.0,0.0,,,,,,1007.0,,120000.0,0.0,,,,,,1014.0,,,,,1014.0,0.0,1014.0,,,,153083.0,660.0,153083.0,25676.0,0.0,-26971.0,-208992.0,-208992.0,-1014.0,,25676.0,,,207978.0,-207978.0,180000.0,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,0.0,,,,,,25676.0,-208992.0,,,,-5574907.0,0.0,,,,-152423.0,-152423.0,,,,,,,60000.0,,43888.0,4771066.0,
2021-03-31,2021-05-13,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,7140.0,,,,,,5417236.0,0.0,0.0,322.0,0.0,-660.0,,,,,,5249.0,,,,30776.0,,,,,,,,,,,,,,151475.0,-0.01,,,,8304.0,-38740.0,,,0.0,0.0,,,,,,2222.0,,,322.0,30000.0,,,,,436.0,,,,,436.0,0.0,,,,30000.0,191163.0,0.0,191163.0,5100.0,0.0,-5760.0,-38740.0,,-436.0,,1450.0,,,38304.0,-38304.0,,,,,,,,,,,,,,0.0,,,,,,,,5100.0,,,-38740.0,,,,-5613648.0,0.0,,,,-191163.0,,,,,,,,,,,5248582.0,
2021-06-30,2021-08-13,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,0.0,,,,,,5417236.0,1121.0,1121.0,,1121.0,,,,,,,5249.0,,,,46776.0,,,,,,,,,,,,,,182275.0,-0.01,,,,8217.0,-38879.0,,,0.0,,,,,,,,,,,,,,,,,,,,,662.0,,,,,30000.0,231162.0,1121.0,231162.0,,,,-38879.0,,-662.0,,2111.0,,,38217.0,-38217.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,-5652526.0,0.0,,,,-230041.0,,,,,,,,,,,5248582.0,
2021-09-30,2021-11-08,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,0.0,,,,,,5417236.0,523.0,523.0,,523.0,,,,,,,5249.0,,,,50776.0,,,,,,,,,,,,,,212275.0,-0.01,,,,4598.0,-35340.0,,,0.0,,,,,,,,,,,,,,,,,,,,,742.0,,,,,30000.0,265904.0,523.0,265904.0,,,,-35340.0,,-742.0,,2853.0,,,34598.0,-34598.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,-5687866.0,0.0,,,,-265381.0,,,,,,,,,,,5248582.0,
2021-12-31,2022-03-04,10-K,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,0.0,,,,242275.0,,5417236.0,225.0,225.0,,225.0,-435.0,,0.001,200000000.0,5248582.0,5248582.0,5248.0,,-31156.0,,,0.0,1223277.0,,113692.0,1109585.0,,,,,,,,,,-0.03,,,,25718.0,,,,0.0,0.0,,,,,,-4918.0,,120800.0,,,,,,,2642.0,,,,,2642.0,0.0,3656.0,,,,301008.0,225.0,301008.0,29401.0,0.0,-29836.0,-148360.0,-148360.0,-2642.0,,55077.0,,,145718.0,-145718.0,120000.0,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,,,,,,29401.0,-148360.0,,,,-5723267.0,0.0,,,,-300783.0,-300783.0,,,,,,,0.0,,31156.0,5248582.0,
