end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccretionExpense,AccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AllocatedShareBasedCompensationExpenseNetOfTax,AmortizationOfDebtDiscountPremium,AssetImpairmentCharges,AssetRetirementObligation,AssetRetirementObligationAccretionExpense,AssetRetirementObligationLiabilitiesIncurred,AssetRetirementObligationsNoncurrent,Assets,AssetsCurrent,AssetsNoncurrent,BusinessAcquisitionSharePrice,CapitalizedCostsOilAndGasProducingActivitiesGross,CapitalizedCostsOilAndGasProducingActivitiesNet,CapitalizedCostsProvedProperties,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommercialPaper,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleDebt,ConvertibleDebtCurrent,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfServicesOilAndGas,CostsIncurredAssetRetirementObligationIncurred,CurrentIncomeTaxExpenseBenefit,DebtInstrumentCarryingAmount,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentFaceAmount,DebtInstrumentFairValue,DebtInstrumentUnamortizedDiscountCurrent,DebtInstrumentUnamortizedDiscountNoncurrent,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EquityMethodInvestmentOwnershipPercentage,FairValueAssumptionsExpectedVolatilityRate,FairValueAssumptionsRiskFreeInterestRate,FairValueOfAssetsAcquired,GainLossOnDispositionOfAssets1,GainLossOnSaleOfInterestInProjects,GainLossOnSaleOfOilAndGasProperty,GainLossOnSaleOfProperties,GainLossOnSaleOfUnprovedProperty,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfOilAndGasProperties,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInLoansToFederalHomeLoanBanks,IncreaseDecreaseInMaterialsAndSupplies,IncreaseDecreaseInOtherCurrentLiabilities,IncreaseDecreaseInOtherNoncurrentLiabilities,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidInterest,IncreaseDecreaseInRawMaterialsPackagingMaterialsAndSuppliesInventories,InterestAndDebtExpense,InterestExpense,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,LeaseOperatingExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LoansPayable,LoansPayableCurrent,LongTermDebtNoncurrent,LongTermNotesPayable,MachineryAndEquipmentGross,MinorityInterestOwnershipPercentageByNoncontrollingOwners,MinorityInterestOwnershipPercentageByParent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableRelatedPartiesNoncurrent,OfficersCompensation,OilAndGasPropertyFullCostMethodNet,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetsCurrent,OtherExpenses,OtherLiabilitiesCurrent,OtherNonoperatingExpense,OtherNotesPayableCurrent,PaymentsToAcquireMachineryAndEquipment,PaymentsToAcquireOilAndGasProperty,PaymentsToAcquireOilAndGasPropertyAndEquipment,PaymentsToAcquireRoyaltyInterestsInMiningProperties,PaymentsToExploreAndDevelopOilAndGasProperties,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromLinesOfCredit,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleOfOilAndGasPropertyAndEquipment,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfDebt,RepaymentsOfLongTermDebt,RetainedEarningsAccumulatedDeficit,Revenues,RoyaltyRevenue,SalariesAndWages,SellingGeneralAndAdministrativeExpense,SeniorLongTermNotes,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsWeightedAverageVolatilityRate,SharePrice,ShortTermBankLoansAndNotesPayable,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteStockSplitConversionRatio1,StockIssued1,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,Supplies,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted,AdministrativeFeesExpense,StockIssuedDuringPeriodValueStockOptionsExercised
2017-03-31,2017-06-30,10-K,PETROGAS COMPANY,PTCO,CIK0001609258,USD,15042.0,,,,,,,996925.0,1026312.0,,,,,,,,83580.0,29168.0,1145.0,,,,,,1016.0,1016.0,,0.001,300000000.0,296839.0,296839.0,297.0,,,,,,,,,,,,,,,77968.0,456782.0,,-456782.0,4385.0,-0.67,0.34,,0.03,0.18,,,,,,,,105994.0,2484.0,,,,,,7836.0,7836.0,,,,,,,,,129.0,,,1793.0,1793.0,,,2346.0,,,346036.0,29168.0,21773.0,324263.0,,,240683.0,240683.0,,,,126635.0,126635.0,-28023.0,,-97596.0,-97596.0,-105303.0,-1793.0,,,28023.0,105994.0,-103510.0,1343477.0,,,,,,,,28023.0,,,129.0,,,,240683.0,,,,,,-114048.0,,,-105303.0,,,,-240683.0,,-1343477.0,,2484.0,,,,,,,,,-316868.0,,,55245.0,,,,,55246.0,,,,,157811.0,,,
2017-06-30,2017-08-21,10-Q,PETROGAS COMPANY,PTCO,CIK0001609258,USD,23647.0,,,,,,,,996925.0,,,,,,,,83580.0,29246.0,1223.0,,,,,,1223.0,207.0,,0.001,300000000.0,29683931.0,29683931.0,29684.0,,,,,,,,,,,,,,,,,,,11385.0,0.0,,,0.03,0.18,,,,,,,,12253.0,,,,,,,6259.0,6259.0,,,,,,,,,-129.0,,,1203.0,1203.0,,,,,,359295.0,29246.0,35032.0,324263.0,,,,240683.0,,,,7000.0,7000.0,,,-6793.0,-6793.0,-13181.0,,,,28023.0,12253.0,-11978.0,,,,,,,,,,,,,,,,,,,7000.0,,,7000.0,,,,,,,,,-1356658.0,,275.0,,,,,,,,,-330049.0,,,,,,,,,,,,,29683931.0,,,
2017-09-30,2017-11-14,10-Q,PETROGAS COMPANY,PTCO,CIK0001609258,USD,37836.0,,,,,,,,1200312.0,,,,,,,,83580.0,35236.0,7213.0,,,,,,7213.0,,,0.001,300000000.0,296839.0,296839.0,297.0,,,19576.0,,,,,,,,,66683.0,,,19576.0,,,,22089.0,-0.13,,,,,,,,,,,,17634.0,,,,,,,,,,,,,,,,,,,,21263.0,21263.0,,,,,,229764.0,35236.0,59925.0,169839.0,,,,66683.0,,,,,,,,,,-38479.0,,,,28023.0,17634.0,-17216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1395137.0,418.0,418.0,,,,,,,,,-194528.0,,,,,,,,,,,,,296839.0,,,
2017-12-31,2018-02-20,10-Q,PETROGAS COMPANY,PTCO,CIK0001609258,USD,38064.0,,,,,,,,1261740.0,,,,,,,,83580.0,33305.0,5382.0,,,,,,5382.0,,,0.001,300000000.0,30099230.0,30099230.0,30099.0,,,38694.0,,,,,,,,,,,,86536.0,,,,22089.0,0.0,,,,,,,900.0,,,,,11707.0,,,,,,,,,,,,,,,,,,,,76973.0,77873.0,,,,,,225110.0,33305.0,60153.0,164957.0,,,,42683.0,,,,,,,,,,-88507.0,,,,27923.0,11707.0,-11534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1483644.0,173.0,173.0,,,,,,,,,-191805.0,,,,,,,,,,,,,28163641.0,,,
2018-03-31,2018-07-23,10-K,PETROGAS COMPANY,PTCO,CIK0001609258,USD,20550.0,,,,,,,,1295996.0,,,109720.0,,,,,83580.0,34334.0,5176.0,,,,,,5176.0,4160.0,,0.001,300000000.0,300993.0,300993.0,301.0,,,68035.0,,,,,,,,,,,,77968.0,317854.0,,-317854.0,28541.0,-1.16,0.21,,0.03,0.18,,,900.0,,,900.0,,56902.0,,,,,,,,5508.0,5892.0,,,,,,,,-129.0,,,114713.0,115613.0,,,8238.0,,,251627.0,34334.0,57329.0,194298.0,,,,42683.0,,,,54159.0,,-235.0,,-49764.0,,-170113.0,,,,29158.0,56902.0,-55400.0,1513590.0,,,,,,,,,,,,,30003.0,,,,,,,,24156.0,-235.0,,-170113.0,,,,,,-1513590.0,1502.0,1502.0,,,,,,,,,-217293.0,,,269688.0,,29800000.0,,,82000.0,,,,,146693.0,,,
2018-06-30,2018-09-11,10-Q,PETROGAS COMPANY,PTCO,CIK0001609258,USD,13091.0,,,,,,,,1276865.0,,,19235.0,,,,,83580.0,5598.0,5598.0,,,,,,5598.0,422.0,,0.001,300000000.0,30099230.0,30099230.0,30099.0,,,87270.0,,,,,,,,,,,,69400.0,,,,28541.0,-0.18,,,0.03,0.18,,,,,,,,3451.0,,29158.0,,,,,,-7459.0,4472.0,,,,,,,,,,,52865.0,23707.0,,,12710.0,,,267875.0,5598.0,54342.0,213533.0,,,,42683.0,,,,10667.0,,,,-10245.0,,-55651.0,,,,,3451.0,-2786.0,,,,,,,,,,,,,,10667.0,,,,,,,,,,,-55651.0,,,,,,-1569241.0,665.0,665.0,,,,0.0,,,,,-262277.0,,,,,,,,,,,,,300993.0,,,
2018-09-30,2018-11-05,10-Q,PETROGAS COMPANY,PTCO,CIK0001609258,USD,21904.0,,,,,,,,1284032.0,,,,,,,,83580.0,1397.0,1397.0,,,,,,1397.0,,,0.001,300000000.0,30099230.0,30099230.0,30099.0,,,103005.0,,,,,,,,,,,,60832.0,,,,28541.0,-0.14,,,,,,,,,,,,20433.0,,,,,,,,,,,,,,,,,,,,21734.0,21734.0,,,18710.0,,,298423.0,1397.0,69155.0,229268.0,,,,42683.0,,,,,,,,,,-41916.0,,,,,20433.0,-20182.0,,,21734.0,,,,,,,,,,,,,,,,,,,,,,-41916.0,,,,,,-1611157.0,251.0,,,,,,,,,,-297026.0,,,,,,,,,,,,,300993.0,,,
2018-12-31,2019-02-07,10-Q,PETROGAS COMPANY,PTCO,CIK0001609258,USD,24115.0,,,,,,,,1286443.0,,,,,,,,83580.0,691.0,691.0,,,,,,691.0,,,0.001,300000000.0,30099230.0,30099230.0,30099.0,,,113984.0,,,,,,,,,,,,52264.0,,,,28541.0,-0.08,,,,,,,,,,,,5502.0,,,,,,,,,,,,,,,,,,,,17972.0,17972.0,,,25703.0,,,318606.0,691.0,78359.0,240247.0,,,,42683.0,,,,,,,,,,-23300.0,,,,,5502.0,-5328.0,,,17972.0,,,,,,,,,,,,,,,,,,,,,,-23300.0,,,,,,-1634457.0,174.0,,,,,,,,,,-317915.0,,,,,,,,,,,,,300993.0,,,
2019-03-31,2019-06-26,10-K,PETROGAS COMPANY,PTCO,CIK0001609258,USD,24320.0,,,,,,,1326435.0,1326435.0,,,64711.0,,83580.0,,,83580.0,387.0,387.0,,,,,,387.0,-4789.0,,0.001,300000000.0,300993.0,300993.0,301.0,,43696.0,132746.0,,132746.0,,,,,,,,132746.0,,43696.0,350860.0,,-350860.0,28541.0,-0.52,0.21,,,,,,,,,,,7614.0,,29158.0,,,,,,3770.0,24306.0,,,,,,,,,,,118174.0,89016.0,,,32544.0,,,344414.0,387.0,218151.0,126263.0,,,,42683.0,,,,30439.0,,,,-35228.0,,-157173.0,,42683.0,,,40549.0,-38999.0,1670763.0,,,,118174.0,,,,,,,,,30439.0,,,,,,,,,,32935.0,,,,,,,-1670763.0,1550.0,,,,42683.0,,0.18,0.03,,,-344027.0,,,,,,,,,,,,,300993.0,,,
2019-06-30,2019-08-13,10-Q,PETROGAS COMPANY,PTCO,CIK0001609258,USD,11315.0,,,,,,,,1425805.0,,,15811.0,,,,,83580.0,,,,,,,,0.0,-387.0,,0.001,300000000.0,3874473.0,3874473.0,3874.0,,,142858.0,,,,,,,,,,,,35128.0,,,,28541.0,-0.03,,,,,,,,,,,,2063.0,,0.0,,0.0,,,,-6042.0,8202.0,,,310.0,,,,,,,,24014.0,24014.0,,0.0,40746.0,,,356995.0,,80912.0,276083.0,,,,6962.0,,,,7243.0,,0.0,,-7630.0,,-115911.0,,,,,92063.0,-91897.0,,,24014.0,,,,,,,,,,,7243.0,,,,,,,,,,0.0,-115911.0,,,,,,-1786674.0,166.0,,,,,90000.0,0.18,0.03,,,-356995.0,,,,,,,5700.0,,90000.0,,90000.0,,3587660.0,,,
2019-09-30,2019-11-04,10-Q,PETROGAS COMPANY,PTCO,CIK0001609258,USD,13370.0,,,,,,,1435288.0,,,,,,83580.0,,,83580.0,,,,,,,,0.0,,,0.001,300000000.0,3874473.0,3874473.0,3874.0,,26560.0,,,,,,,,,,,160908.0,,,,,,28541.0,-0.56,,,,,,,,,,,,212.0,,,,,,,,,,,,,,,,,,,,,22841.0,,,49806.0,,,386172.0,,92039.0,294133.0,,,,,,,,,,,,,,-27341.0,,42683.0,,,4500.0,-4500.0,,,22841.0,,,,,,,,,,,,,,,,,,,,,4500.0,-38660.0,,,,,,-1825334.0,0.0,,0.0,,,0.0,,,,322.0,-386172.0,,,,,,,,,,,,,48440.0,,,
2019-12-31,2020-02-10,10-Q,PETROGAS COMPANY,PTCO,CIK0001609258,USD,13272.0,,,,,,,1440742.0,,,,,,83580.0,,,83580.0,,,,,,,,0.0,,,0.001,300000000.0,3874473.0,3874473.0,3874.0,,17992.0,,,,,,,,,,,174930.0,,,,,,28541.0,-0.01,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,24501.0,,,60285.0,,,410418.0,,102420.0,308155.0,,,,,,,,,,,,,,-29857.0,,42683.0,,,5356.0,-5356.0,,,24501.0,,,,,,,,,,,,,,,,,,,,,5056.0,-29857.0,,,,,,-1855191.0,0.0,,0.0,,,,,,,322.0,-410575.0,,,,,,,,,,,,,3874473.0,,,
2020-03-31,2020-05-26,10-K,PETROGAS COMPANY,PTCO,CIK0001609258,USD,18024.0,,,,,,,1446454.0,1446454.0,27892.0,,62164.0,,83580.0,,,83580.0,0.0,0.0,,,,,,0.0,-387.0,6962.0,0.001,300000000.0,3874473.0,3874473.0,3874.0,9424.0,,,189210.0,189210.0,,,,,,,,6962.0,9424.0,9424.0,378242.0,0.0,378242.0,28541.0,-0.06,0.21,,,,,,,,,,,5443.0,,,,0.0,,,,666.0,38960.0,,38960.0,322.0,,,,,,,,,101124.0,,0.0,71504.0,64761.0,,440826.0,0.0,314563.0,126263.0,,,,,,,,27892.0,,0.0,,-28279.0,,-220391.0,,42683.0,,,119433.0,-119267.0,1801154.0,,101124.0,,101124.0,6962.0,,,,,,,,27892.0,,,5700.0,,0.0,,,,,23990.0,,,,,,,-1891154.0,166.0,,90000.0,,42683.0,90000.0,0.18,0.03,,322.0,-440826.0,,,,,,,5700.0,,90000.0,,,,3803162.0,,,
2020-06-30,2020-07-27,10-Q,PETROGAS COMPANY,PTCO,CIK0001609258,USD,15986.0,,,,,,,1456454.0,,,,18568.0,,83580.0,,,,0.0,0.0,,,,,,0.0,0.0,,0.001,300000000.0,3874473.0,3874473.0,3874.0,856.0,,,207778.0,,,,,,,,,6962.0,,,,,,28541.0,-0.79,,,,,,,,,,,,125.0,,0.0,,0.0,,,,-2038.0,11823.0,,11823.0,0.0,,,,,,,,,30390.0,,0.0,83327.0,75952.0,,469179.0,0.0,342916.0,126263.0,,,,,,,,10000.0,,0.0,,-10000.0,,-38353.0,,42683.0,,,7963.0,-7963.0,,,30390.0,,,,,,,,,,,10000.0,,,,,0.0,,,,,7838.0,,,,,,,-1929507.0,0.0,,0.0,,,0.0,0.18,0.03,,322.0,-469179.0,,,,,,,,,,,,,48431.0,,,
2020-09-30,2020-10-29,10-Q,PETROGAS COMPANY,PTCO,CIK0001609258,USD,15603.0,,,,,,,1461338.0,,,,,,83580.0,,,,0.0,0.0,,,,,,0.0,,,0.001,300000000.0,3874473.0,3874473.0,3874.0,,,,213518.0,,,,,,,,,,0.0,,,,,28541.0,-43.51,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,14915.0,,,100427.0,,,491636.0,0.0,365373.0,126263.0,,,,,,,,,,,,,,-27341.0,,42683.0,,,105009665.0,-105009665.0,,,14915.0,,,,,,,,,,,,,,,,,,,,,9665.0,,,,,,,-1956848.0,0.0,,105000000.0,,,0.0,,,,322.0,-491636.0,,,,,,,,,,,,,2414032.0,,,
2020-12-31,2021-01-22,10-Q,PETROGAS COMPANY,PTCO,CIK0001609258,USD,13352.0,,,,,,,1468588.0,,,,,,83580.0,,,,0.0,0.0,,,,,,0.0,,6962.0,0.001,300000000.0,3874473.0,3874473.0,3874.0,,,,220768.0,,,,,,,,,,0.0,,,,,28541.0,-0.56,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,22119.0,,,115297.0,,,511505.0,0.0,385242.0,126263.0,,,,,,,,,,,,,,-27119.0,,42683.0,,,5000.0,-5000.0,,,22119.0,,,,,,,,,,,,,,,,,,,,,5000.0,,,,,,,-1983967.0,0.0,,0.0,,,,,,,322.0,-511505.0,,,,,,,,,,,,,48440.0,,0.0,
2021-03-31,2021-07-02,10-K,PETROGAS COMPANY,PTCO,CIK0001609258,USD,16103.0,,,,,,,1472414.0,,22134.0,,31558.0,,83580.0,,,,0.0,0.0,,,,,,0.0,0.0,6962.0,0.001,300000000.0,48440.0,48440.0,48.0,,,,220768.0,,,,,,,,,,0.0,,402716.0,0.0,402716.0,35041.0,-0.03,0.21,,,,,,,,,,,125.0,,,,0.0,,,,-1921.0,,,58270.0,0.0,,,,,,,,,89828.0,,0.0,129774.0,,,535233.0,0.0,451653.0,126263.0,,,,,,,,28634.0,,0.0,,-28634.0,,-116541.0,,42683.0,,,26713.0,-26713.0,1917695.0,,89828.0,,,,,,,,,,,22134.0,,,,,6500.0,,,,,26588.0,,,,,,,-2007695.0,0.0,,0.0,,,0.0,0.18,0.03,,322.0,-535233.0,,,,,,,,,,,,,3874473.0,,,
2021-06-30,2021-08-06,10-Q,PETROGAS COMPANY,PTCO,CIK0001609258,USD,13688.0,,,,,,,1472414.0,,,,0.0,,83580.0,,,,0.0,0.0,,,,,,0.0,0.0,6962.0,0.001,300000000.0,48431.0,48431.0,48.0,,,,220768.0,,,,,,,,,,0.0,,,,,47291.0,-0.47,,,,,,,,,,,,1375.0,,,,0.0,,,,-2415.0,,,12876.0,,,,,,,,,,12876.0,,0.0,142650.0,,,557944.0,0.0,431681.0,126263.0,,,,,,,,12250.0,,0.0,,-12250.0,,-22711.0,,42683.0,,,9835.0,-9835.0,,,12876.0,,,,,,,,,,,0.0,,,,,12250.0,,,,,8460.0,,,,,,,-2030406.0,0.0,,0.0,,,,0.18,0.03,,322.0,-557944.0,,,,,,,,,,,,,48431.0,,,
2021-09-30,2021-11-09,10-Q,PETROGAS COMPANY,PTCO,CIK0001609258,USD,14524.0,,,,,,,106452414.0,,,,,,83580.0,,,,0.0,0.0,,,,,,,,6962.0,0.001,300000000.0,20048440.0,20048440.0,20048.0,,,,220768.0,,,,,,,,,,0.0,,,,,56120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157565.0,,,582524.0,0.0,456261.0,126263.0,,,,,,,,,,,,,,-105024580.0,,42683.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-107054986.0,,,,,,,,,,322.0,-582524.0,,,,,,,,,,,105000000.0,,,,,
2021-12-31,2022-01-14,10-Q,PETROGAS COMPANY,PTCO,CIK0001609258,USD,14800.0,,,,,,,106452414.0,,,,,,83580.0,,,,0.0,0.0,,,,,,0.0,,6962.0,0.001,300000000.0,21048440.0,21048440.0,21048.0,,,,219768.0,,,,,,,,,,0.0,,,,,61370.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14794.0,,,172358.0,,,601843.0,0.0,518263.0,,,,,,,,,,,,,,,-20319.0,,,,,5525.0,-5525.0,,,14794.0,,,,,,,,,,,,,,,,,,,,,5525.0,,,,,,,-107075305.0,0.0,,0.0,,,,,,,322.0,-601843.0,,,,,,,,,,1000.0,,,20930161.0,,0.0,
