end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilities,AccountsPayableCurrent,AccountsPayableInterestBearingInterestRate,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AccruedProfessionalFeesCurrentAndNoncurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,Capital,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ConcentrationRiskPercentage1,CostsAndExpenses,CostsAndExpensesRelatedParty,CurrentFederalTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentInterestRateAtPeriodEnd,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentInterestRateStatedPercentage,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxCreditCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedParties,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperations,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationOtherAdjustments,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueFromRelatedPartiesCurrent,IncreaseDecreaseInDueToOtherRelatedParties,IncreaseDecreaseInDueToOtherRelatedPartiesCurrent,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,InterestExpense,InterestExpenseRelatedParty,InterestPaid,InterestPayable,InterestPayableCurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesAssumed1,LiabilitiesCurrent,LoansPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoncashOrPartNoncashAcquisitionDebtAssumed1,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherCostAndExpenseOperating,OtherExpenses,OtherIncome,OtherNotesPayable,OtherNotesPayableCurrent,OtherOperatingIncomeExpenseNet,OtherSignificantNoncashTransactionValueOfConsiderationGiven1,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfOtherLongTermDebt,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfShortTermDebt,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RetainedEarningsAccumulatedDeficit,Revenues,SharesOutstanding,StockholdersEquity,StockIssued,StockIssued1,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesShareBasedCompensation,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueShareBasedCompensation,UnrecognizedTaxBenefitsDecreasesResultingFromCurrentPeriodTaxPositions,UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,ValuationAllowanceDeferredTaxAssetChangeInAmount,ValuationAllowancesAndReservesPeriodIncreaseDecrease,WeightedAverageNumberOfSharesOutstandingBasic,OtherNonoperatingIncomeExpense,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2012-09-30,2012-10-29,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,54306.0,,,,,43725.0,,,,,,47050.0,,2705.0,2705.0,,2705.0,,,,2705.0,,0.001,20000000.0,6150000.0,,6150.0,,,6369.0,,,,,,,,,,,,,,,148526.0,,,0.0,0.0,-6369.0,-6369.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,98031.0,2705.0,,98031.0,,,,,-6369.0,,,,,,6369.0,-6369.0,,,,,,,,,,,,,,,,,,0.0,,-95326.0,,,,,,,,,,,,,,,6150000.0,,
2012-12-31,2013-03-27,10-K,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,53606.0,,,881.0,0.08,20275.0,,0.0,0.0,0.0,,47050.0,,419.0,419.0,,419.0,258.0,,,419.0,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,29467.0,,0.0,10019.0,0.0,,,,,0.0,0.0,,52670.0,154912.0,-52670.0,154912.0,,,0.0,0.0,-29467.0,-29467.0,0.0,0.0,0.0,-10080.0,,10080.0,-550.0,29725.0,,,,,,20275.0,20275.0,,,,,,,0.0,0.0,,0.0,102131.0,419.0,28250.0,102131.0,28250.0,10000.0,0.0,258.0,-29467.0,28250.0,52725.0,,28250.0,28250.0,29467.0,-29467.0,154912.0,-52670.0,,,,,,,,0.0,,,,,10000.0,20275.0,,0.0,,-101712.0,,,,,,,,,0.0,0.0,0.0,0.0,,-10019.0,6150000.0,,
2013-03-31,2013-05-03,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,4086.0,,,,,25525.0,,,,,,47050.0,,4034.0,4034.0,,4034.0,3615.0,419.0,,4034.0,,0.001,20000000.0,6150000.0,,6150.0,,,9340.0,,,,,1055.0,,,,,,,,,,165872.0,,,0.0,0.0,9340.0,-10960.0,0.0,,0.0,,,,3205.0,10075.0,,5250.0,565.0,,,,,,,,,-1055.0,-565.0,0.0,1620.0,,0.0,116706.0,4034.0,,116706.0,85475.0,4500.0,0.0,-885.0,-10960.0,0.0,,,,,9340.0,-9340.0,,,,-1620.0,-1620.0,,,,,0.0,,4500.0,,4500.0,,,,0.0,,-112672.0,,,,,,,,,,,,,,,6150000.0,,
2013-06-30,2013-08-09,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,,,2658.0,,30425.0,,3330.0,,,,47050.0,,644.0,644.0,,644.0,,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,6862.0,,,,,,,,,,,,,,,174444.0,,,,0.0,6862.0,-8572.0,,,0.0,,,,,,,,,,,,,,,,,1055.0,655.0,,,,,121888.0,644.0,,121888.0,85475.0,,,,-8572.0,,,,,,6862.0,-6862.0,,,1710.0,,-1710.0,,,,,,,,,,,,,0.0,,-121244.0,,,,,,,,,,,,,,,6150000.0,,
2013-09-30,2013-11-12,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,,,,,35225.0,,5179.0,,,,47050.0,,4436.0,4436.0,,4436.0,,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,5850.0,,,,,,,,,,,,,,,182143.0,,,,0.0,5850.0,-7699.0,,,,,,,,,,,,,,,,,,,,1194.0,655.0,,,,,133379.0,4436.0,,133379.0,92975.0,,,,-7699.0,,,,,,5850.0,-5850.0,,,1849.0,,-1849.0,,,,,,,,,,,,,,,-128943.0,,,,,,,,,,,,,,,6150000.0,,
2013-12-31,2014-03-28,10-K,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,2530.0,,,,19700.0,2530.0,2530.0,4509.0,2530.0,19700.0,47050.0,,3387.0,3387.0,,3387.0,2968.0,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,0.95,27852.0,-19700.0,0.0,,0.0,,0.08,,,0.0,,,64533.0,,-64533.0,189803.0,,2530.0,-0.01,-0.01,27852.0,-34891.0,,,,-11863.0,11863.0,11863.0,880.0,,,,,-2530.0,,19700.0,19700.0,-4509.0,,,20275.0,4509.0,2530.0,,,4510.0,,139990.0,3387.0,20275.0,139990.0,,12000.0,,-9032.0,-34891.0,,60225.0,60225.0,53025.0,53025.0,27852.0,-27852.0,189803.0,,7039.0,,-7039.0,,,,,,,7500.0,,4500.0,7500.0,19700.0,-189803.0,,,-136603.0,,,,,,,,,,,,,,,6150000.0,,
2014-03-31,2014-05-08,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,,,3500.0,,22500.0,3590.0,5708.0,,,,47050.0,,7686.0,7686.0,,7686.0,4299.0,3387.0,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,6300.0,2800.0,,,,1198.0,,,,,,,,,,198362.0,,,,0.0,6300.0,-8559.0,,,,,,,3500.0,,,2800.0,1060.0,1060.0,,,,1198.0,,,,1199.0,1060.0,,,,,152848.0,7686.0,,152848.0,,4300.0,,-1.0,-8559.0,,,64525.0,53025.0,,6300.0,-6300.0,,,2259.0,,-2259.0,,,,,,,4300.0,,,4300.0,,,,,-145162.0,,,,,,,,,,,,,,,6150000.0,,
2014-06-30,2014-07-29,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,,,,,25100.0,,4650.0,,,,47050.0,,3137.0,3137.0,,3137.0,,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,3650.0,,,,,,,,,,,,,,,204361.0,,,,0.0,3650.0,-6000.0,,,,,,,,,,,,,,,,,,,,1290.0,1060.0,,,6998.0,,154298.0,3137.0,,154298.0,,,,,-6000.0,,,64525.0,53025.0,,,-3650.0,,,2350.0,,,,,,,,,,,,,,,,,-151161.0,,,,,,,,,,,,,,,6150000.0,,
2014-09-30,2014-11-12,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,,,,,27600.0,,5710.0,,,,47050.0,,2137.0,2137.0,,2137.0,,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,3500.0,,,,,,,,,,,,,,,210211.0,,,,0.0,3500.0,-5850.0,,,,,,,,,,,,,,,,,,,,1290.0,1060.0,,,8288.0,,159148.0,2137.0,,159148.0,,,,,-5850.0,,,64525.0,53025.0,,,-3500.0,,,2350.0,,,,,,,,,,,,,,,,,-157011.0,,,,,,,,,,,,,,,6150000.0,,
2014-12-31,2015-02-24,10-K,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,6770.0,,,,10500.0,,6770.0,9578.0,,10500.0,47050.0,,1138.0,1138.0,-162960.0,1138.0,-2249.0,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,0.95,17050.0,10500.0,0.0,,0.0,,,0.08,,,,0.0,73494.0,,73494.0,216160.0,,,0.0,0.0,17050.0,-26357.0,0.0,,,-8961.0,8961.0,,,,,,,4240.0,,,,5068.0,,,19700.0,5067.0,4240.0,,,9578.0,,164098.0,1138.0,,164098.0,,4300.0,,-6549.0,-26357.0,,,64525.0,72725.0,,,-17050.0,-216160.0,,9307.0,,,,64525.0,,,,,4300.0,4300.0,,,,-216160.0,,,-162960.0,,,,,,,,,,,,,,,6150000.0,,
2015-03-31,2015-05-11,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,,,,,13400.0,,8225.0,,,,47050.0,,2738.0,2738.0,,2738.0,1600.0,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,6300.0,2900.0,,,,,,,,,,,,,,,,,,0.0,6300.0,-9058.0,,,,,,,,,,,,1455.0,,,,1303.0,,,,1303.0,1455.0,,,10881.0,,174756.0,2738.0,,174756.0,,5000.0,,-3400.0,-9058.0,,,69525.0,72725.0,,,-6300.0,,,2758.0,,,,,,,,,5000.0,,,,,-225218.0,,,-172018.0,,,,,,,,,,,,,,,6150000.0,,
2015-06-30,2015-08-11,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,,,,,15400.0,,9680.0,,,,47050.0,,2798.0,2798.0,,2798.0,,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,3490.0,,,,,,,,,,,,,,,,,,,0.0,3490.0,-6336.0,,,,,,,,,,,,,,,,,,,,1391.0,1455.0,,,12272.0,,181152.0,2798.0,,181152.0,,,,,-6336.0,,,71075.0,72725.0,,,-3490.0,,,2846.0,,,,,,,,,,,,,,-231554.0,,,-178354.0,,,,,,,,,,,,,,,6150000.0,,
2015-09-30,2015-10-30,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,,800.0,,,17200.0,,11135.0,,,,47050.0,,2498.0,2498.0,,2498.0,,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,2900.0,,,,,,,,,,,,,,,,,,,0.0,2900.0,-5776.0,,,,,,,,,,,,,,,,,,,,1421.0,1455.0,,,13693.0,,186628.0,2498.0,,186628.0,,,,,-5776.0,,,71075.0,72725.0,,,-2900.0,,,2876.0,,,,,,,,,,,,,,-237330.0,,,-184130.0,,,,,,,,,,,,,,,6150000.0,,
2015-12-31,2016-03-22,10-K,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,12590.0,,,,8400.0,,12590.0,15114.0,,8400.0,47050.0,,598.0,598.0,189806.0,598.0,-540.0,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,0.95,15490.0,8400.0,0.0,,0.0,,,0.08,,,,0.0,82622.0,,82622.0,,,,0.0,0.0,15490.0,-26846.0,0.0,,,-9128.0,9128.0,,,,,,,5820.0,,,,5536.0,,,10500.0,5536.0,5820.0,,,15114.0,,190404.0,598.0,,190404.0,,6550.0,,-7090.0,-26846.0,,,71075.0,83225.0,,,-15490.0,243006.0,,11356.0,,,,71075.0,,,,,6550.0,6550.0,,,,-243006.0,,,-189806.0,,,,,,,,,,,,,,,6150000.0,,
2016-03-31,2016-05-13,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,,3000.0,,,10500.0,,14255.0,,,,47050.0,,4198.0,4198.0,,4198.0,3600.0,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,5500.0,2100.0,,,,,,,,,,,,,,,,,,0.0,5500.0,-8586.0,,,,,,,3000.0,,,,,1665.0,,,,1421.0,,,,1421.0,1665.0,,,16535.0,,202590.0,4198.0,,202590.0,,4000.0,,-400.0,-8586.0,,,75075.0,83225.0,,,-5500.0,,,3086.0,,,,,,,,,4000.0,,,,,-251592.0,,,-198392.0,,,,,,,,,,,,,,,6150000.0,,
2016-06-30,2016-08-08,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,,800.0,,,12100.0,,15920.0,,,,47050.0,,625.0,625.0,,625.0,,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,2973.0,,,,,,,,,,,,,,,,,,,0.0,2973.0,-6139.0,,,,,,,,,,,,,,,,,,,,1501.0,1665.0,,,18036.0,,205156.0,625.0,,205156.0,,,,,-6139.0,,,75075.0,83225.0,,,-2973.0,,,3166.0,,,,,,,,,,,,,,-257731.0,,,-204531.0,,,,,,,,,,,,,,,6150000.0,,
2016-09-30,2016-11-01,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,,,,,13700.0,,17585.0,,,,47050.0,,1725.0,1725.0,,1725.0,,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,2700.0,,,,,,,,,,,,,,,,,,,0.0,2700.0,-5911.0,,,,,,,,,,,,,,,,,,,,1546.0,1665.0,,,19582.0,,212167.0,1725.0,,212167.0,,,,,-5911.0,,,78075.0,83225.0,,,-2700.0,,,3211.0,,,,,,,,,,,,,,-263642.0,,,-210442.0,,,,,,,,,,,,,,,6150000.0,,
