end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccruedIncomeTaxesCurrent,AccruedRentCurrentAndNoncurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapitalCommonStock,Assets,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CurrentFederalTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtInstrumentInterestRateStatedPercentage,DeferredFederalIncomeTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,DeferredTaxAssetsValuationAllowance,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationNondeductibleExpense,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectiveIncomeTaxRateReconciliationTaxSettlementsDomestic,EffectiveIncomeTaxRateReconciliationTaxSettlementsStateAndLocal,FederalIncomeTaxExpenseBenefitContinuingOperations,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeTaxExaminationPenaltiesAndInterestExpense,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidTaxes,InterestExpense,InterestExpenseDebt,InterestPaid,InterestPaidNet,InterestPayableCurrent,InvestmentIncomeInterest,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,OtherIncome,OtherNonoperatingIncomeExpense,PaymentsOfCapitalDistribution,PaymentsOfDividendsCommonStock,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockValue,PrepaidExpenseCurrent,PrepaidTaxes,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfShortTermInvestments,ProfitLoss,RealizedInvestmentGainsLosses,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,StockholdersEquity,StockIssuedDuringPeriodValueNewIssues,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2012-09-30,2012-11-14,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,3745.0,,,,1516419.0,26093.0,26093.0,,,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2966.0,,-2924.0,,,0.0,,,,,,,,,,,,,,,,,42.0,,,26093.0,3745.0,,,,,,-2924.0,42.0,,2966.0,,,,,,,,,0.01,5000000.0,0.0,0.0,,0.0,,,,,,,-1495332.0,,,22348.0,,,,1260773.0,
2012-12-31,2013-03-27,10-K,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,16545.0,,,0.0,1516419.0,22357.0,22357.0,-21893.0,,,,0.0,0.001,30000000.0,1260773.0,1260773.0,1261.0,,-12000.0,,,,0.0,,0.0,,0.0,290000.0,,290000.0,0.0,-0.03,,-0.03,,,,,,,,0.35,0.055,-1000.0,34305.0,-34257.0,,,0.0,0.0,13000.0,,,,,,-400.0,,,,-12674.0,,,0.0,,,48.0,,,22357.0,16545.0,0.0,,,-21983.0,,-34257.0,48.0,,34305.0,,831000.0,,,,,,0.0,0.01,5000000.0,0.0,0.0,,0.0,,0.0,,-34257.0,,,-1511868.0,,0.0,5812.0,,12000.0,1260773.0,,1260773.0
2013-03-31,2013-05-10,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,7544.0,,,,1516419.0,10562.0,10562.0,-11795.0,,,,,0.01,30000000.0,1260773.0,1260773.0,1261.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2800.0,-2794.0,,,,,,,,,,,-9001.0,,,,,0.0,,,,,6.0,,,10562.0,7544.0,0.0,,,-11795.0,,-2794.0,6.0,,2800.0,,,,,,,,,0.01,5000000.0,0.0,0.0,,,,0.0,,2794.0,,,-1514662.0,,,3018.0,,,,1260773.0,
2013-06-30,2013-08-12,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,3017.0,,,,1516419.0,836.0,836.0,,,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5200.0,-5194.0,-5194.0,,,,,,,,,,,,,,,0.0,,,,,6.0,,,836.0,3017.0,,,,,,-5194.0,6.0,,5200.0,,,,,,,,,0.01,5000000.0,0.0,0.0,,,,,,,,,-1519861.0,,,-2181.0,,,,1260773.0,
2013-09-30,2013-11-13,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,2618.0,,,,1516419.0,805.0,805.0,,,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,,,,,,,,,,7200.0,,-0.01,,,,,,,,,,,,6829.0,-6829.0,-6829.0,,,,,,,,,,,,,,,0.0,,,,,0.0,,,805.0,9818.0,,,,,,-6829.0,0.0,,6829.0,,,,,,,,,0.01,5000000.0,0.0,0.0,,,,,,,,,-1526693.0,,,-9013.0,,,,1260773.0,
2013-12-31,2014-03-28,10-K,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,15417.0,,,,1516419.0,4405.0,4405.0,-17952.0,,,,0.0,0.001,30000000.0,1260773.0,1260773.0,1261.0,,-12000.0,,,,0.0,,0.0,,0.0,302000.0,,302000.0,16532.0,-0.03,,-0.03,,,,,,,,0.35,0.055,-1000.0,33031.0,-33356.0,,,0.0,0.0,13000.0,,,,,,-796.0,,,,0.0,325.0,,0.0,,332.0,-325.0,,,4405.0,31949.0,16200.0,,,-34152.0,,-33356.0,-325.0,16532.0,33031.0,,864000.0,,,,,,,0.01,5000000.0,0.0,0.0,,,,16200.0,,-33356.0,,,-1545224.0,,0.0,-27644.0,,12000.0,1260773.0,,1260773.0
2014-03-31,2014-05-13,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,7914.0,,,,1516419.0,3663.0,3663.0,-742.0,,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,0.1,,,,,,,,,,,0.0,,,,,,,,,,,,3238.0,-3698.0,,,,,,,,,,,-7044.0,,,,,460.0,,,,792.0,,,,3663.0,34906.0,10000.0,,,-10742.0,,-3698.0,460.0,26992.0,3238.0,,,,,,,,,0.01,5000000.0,0.0,0.0,,,,10000.0,,3698.0,,,-1548923.0,,,-31243.0,,,,1260773.0,
2014-06-30,2014-08-13,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,4513.0,,,,1516419.0,2213.0,2213.0,,,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,0.1,,,,,,,,,,,0.0,,,,,,,,,,,,3464.0,-4210.0,,,,,,,,,,,,,,,,-746.0,,,,1538.0,0.0,,,2213.0,37251.0,,,,,,-4210.0,746.0,32738.0,3464.0,,,,,,,,,0.01,5000000.0,0.0,0.0,,,,,,,,,-1552718.0,,,-35038.0,,,,1260773.0,
2014-09-30,2014-11-14,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,8014.0,,,,1516419.0,1527.0,1527.0,,,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,0.1,,,,,,,,,,,-0.01,,,,,,,,,,,,10187.0,-10991.0,,,,,,,,,,,,,,,,804.0,,,,2342.0,0.0,,,1527.0,47556.0,,,,,,-10991.0,-804.0,39542.0,10187.0,,,,,,,,,0.01,5000000.0,0.0,0.0,,,,,,,,,-1563709.0,,,-46029.0,,,,1260773.0,
2014-12-31,2015-04-14,10-K,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,14214.0,,,,1516419.0,827.0,827.0,-3578.0,,,,0.0,0.001,30000000.0,1260773.0,1260773.0,1261.0,,-12000.0,,,0.1,0.0,,0.0,,0.0,314000.0,,314000.0,47500.0,-0.03,,-0.03,,,,,,,,0.35,0.055,-1000.0,30275.0,,,,0.0,0.0,13000.0,,,,,-1000.0,-1303.0,,,,,2968.0,,0.0,,2968.0,,,,827.0,61714.0,30968.0,,,-34546.0,,-33243.0,-2968.0,44200.0,30275.0,,897000.0,,,0.0,,,,0.01,5000000.0,0.0,0.0,,,,30968.0,,,,,-1578567.0,,0.0,-60887.0,,12000.0,1260773.0,,1260773.0
2015-03-31,2015-05-12,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,9713.0,,,,1516419.0,627.0,627.0,-200.0,,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,0.1,,,,,,,,,56261.0,,0.0,,,,,,,,,,,,3300.0,-4461.0,,,,0.0,,,,,,,-3339.0,,,,,1161.0,,0.0,,4461.0,,,,627.0,65974.0,7600.0,,,-7800.0,,-4461.0,-1161.0,51800.0,3300.0,-3300.0,,,,,,,,0.01,5000000.0,0.0,0.0,,,,7600.0,,,,,-1583027.0,,,-65347.0,,,,1260773.0,
2015-06-30,2015-08-13,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,8909.0,,,,1516419.0,1446.0,1446.0,,,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,0.1,,,,,,,,,65950.0,,-0.01,,,,,,,,,,,,6581.0,-8066.0,,,,,,,,,,,,,,,,1485.0,,,,5945.0,,,,1446.0,74859.0,,,,,,-8066.0,-1485.0,65950.0,6581.0,,,,,,,,,0.01,5000000.0,0.0,0.0,,,,,,,,,-1591093.0,,,-73413.0,,,,1260773.0,
2015-09-30,2015-11-13,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,12232.0,,,,1516419.0,1783.0,1783.0,,,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,0.1,,,,,,,,,72150.0,,-0.01,,,,,,,,,,,,7362.0,-9185.0,,,,,,,,,,,,,,,,1823.0,,,,7768.0,,,,1783.0,84382.0,,,,,,-9185.0,-1823.0,72150.0,7362.0,,,,,,,,,0.01,5000000.0,0.0,0.0,,,,,,,,,-1600279.0,,,-82599.0,,,,1260773.0,
2015-12-31,2016-03-30,10-K,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,7464.0,,,,1516419.0,768.0,768.0,-59.0,,,,0.0,0.001,30000000.0,1260773.0,1260773.0,1261.0,,-11000.0,,,0.1,0.0,,0.0,,0.0,325000.0,,325000.0,86723.0,-0.03,,-0.03,,,,,,,,0.35,0.055,,27116.0,,,,0.0,0.0,12000.0,,,,,-1000.0,-377.0,,,,,6373.0,,0.0,,9673.0,,,94187.0,768.0,94187.0,32850.0,,,-32909.0,,-32532.0,-5416.0,,27116.0,,897000.0,,,957.0,957.0,,,0.01,5000000.0,0.0,0.0,,,,32850.0,,,,,-1611099.0,,0.0,-93419.0,,11000.0,1260773.0,,1260773.0
2016-03-31,2016-05-13,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,9964.0,,,,1516419.0,768.0,768.0,0.0,,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,0.1,,,,,,,,,88639.0,,0.0,,,,,,,,,,,,2500.0,-4416.0,,,,0.0,,,,,,,4416.0,,,,,1916.0,,0.0,,11589.0,,,98603.0,768.0,,0.0,,,0.0,,-4416.0,-1916.0,77050.0,2500.0,-2500.0,,,,,,,,0.01,5000000.0,0.0,0.0,,,,0.0,,,,,-1615515.0,,,-97835.0,,,,1260773.0,
2016-06-30,2016-08-19,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,3464.0,,,,1516419.0,518.0,518.0,,,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,,,,,,,,,,102062.0,,-0.01,,,,,,,,,,,,5150.0,-7173.0,,,,,,,,,,,,,,,,2023.0,,,,13612.0,,,105526.0,518.0,,,,,,,-7173.0,-2023.0,88450.0,5150.0,,,,,,,,,0.01,5000000.0,0.0,0.0,,,,,,,,,-1622688.0,,,-105008.0,,,,1260773.0,
2016-09-30,2016-11-03,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,5465.0,,,,1516419.0,513.0,513.0,,,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,,,,,,,,,,105309.0,,0.0,,,,,,,,,,,,3006.0,-5254.0,,,,,,,,,,,,,,,,2248.0,,,,15859.0,,,110774.0,513.0,,,,,,,-5254.0,-2248.0,89450.0,3006.0,,,,,,,,,0.01,5000000.0,0.0,0.0,,,,,,,,,-1627941.0,,,-110261.0,,,,1260773.0,
2016-12-31,2017-03-31,10-K,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,551.0,,,,1516419.0,2894.0,2894.0,2126.0,,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,0.0,0.0,0.0,0.1,-9260.0,0.0,-1542.0,230722.0,0.0,223430.0,7292.0,230722.0,125257.0,-0.02,,-0.02,0.0,0.34,-0.397,0.0,0.0,,0.057,0.35,0.055,,18529.0,,,,0.0,0.0,11702.0,0.0,-10028.0,0.0,,-1654.0,-6913.0,,8634.0,,,8634.0,8634.0,0.0,0.0,18307.0,,,125808.0,2894.0,125808.0,29900.0,,,-27774.0,,-29495.0,-10966.0,,18529.0,-18529.0,959000.0,,,,-2332.0,,,0.01,5000000.0,0.0,0.0,,,,29900.0,,,,,-1640594.0,,0.0,-122914.0,,11000.0,1260773.0,,1260773.0
2017-03-31,2017-05-12,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,550.0,,,,1516419.0,3729.0,3729.0,835.0,,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,0.1,,,,,,,,,130410.0,0.0,0.0,0.0,,,,,,,,,,,1665.0,-4318.0,,,,0.0,,,,,,,0.0,,2653.0,,,2653.0,2653.0,,0.0,20960.0,,,130960.0,3729.0,,2500.0,,,-1665.0,,-4318.0,-2653.0,,1665.0,-1665.0,,,,,0.0,,,0.01,5000000.0,0.0,0.0,,,,2500.0,,,,,-1644911.0,,,-127231.0,,,1260773.0,1260773.0,1260773.0
2017-06-30,2017-08-14,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,0.0,,,,1516419.0,1765.0,1765.0,,,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,0.1,,,,,,,,,143236.0,-0.01,-0.01,-0.01,,,,,,,,,,,6139.0,-14239.0,,,,,,,,,,,,,,,,2825.0,2825.0,,,23786.0,,,143236.0,1765.0,,,,,,,-14239.0,-8100.0,,6139.0,-6139.0,,,,,-5275.0,,,0.01,5000000.0,0.0,0.0,,,,,,,,,-1659151.0,,,-141471.0,,,1260773.0,1260773.0,1260773.0
