end,filed,form,Name,Ticker,CIK,Currency,AccruedProfessionalFeesCurrent,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockNoParValue,CommonStockNoParValue,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CurrentIncomeTaxExpenseBenefit,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromAffiliateCurrent,DueFromAffiliateNoncurrent,DueFromOfficersOrStockholders,DueFromRelatedPartiesCurrent,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,FinancialServicesRevenue,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInDueFromAffiliatesCurrent,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToOtherRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInIncomeTaxes,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPropertyAndOtherTaxesPayable,InterestExpenseRelatedParty,InterestIncomeOperating,InterestIncomeRelatedParty,InterestPaid,InterestPaidNet,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesSubjectToCompromiseOtherLiabilities,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccruedLiabilitiesCurrent,PreferredStockNoParValue,PreferredStockNoParValue,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PreferredStockValueOutstanding,ProceedsFromContributionsFromAffiliates,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RelatedPartyTransactionOtherRevenuesFromTransactionsWithRelatedParty,RelatedPartyTransactionRate,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,TaxesPayableCurrent,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,DueToRelatedPartiesCurrentAndNoncurrent
2012-12-31,2013-02-07,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,5300.0,,229146.0,3607.0,,,,,0.0,100000000.0,39999942.0,39999942.0,500000.0,0.0,,,298940.0,225539.0,,,-21500.0,,,,-0.0001,,,,,2366.0,-2548.0,,,,,,-6000.0,,,,,,,,,,,,,229146.0,28086.0,,,,,-2548.0,,7366.0,,,1286.0,,0.0,50000000.0,,0.0,,0.0,,,3500.0,,,4818.0,,,,201060.0,,,39999942.0,
2013-03-31,2013-05-07,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,7250.0,,231465.0,6162.0,,,,,0.0,100000000.0,39999942.0,39999942.0,500000.0,0.0,,,301336.0,225303.0,,,-23000.0,,,,,-0.0001,,,4765.0,2310.0,-2395.0,,,,,,-5000.0,,,,,,,,,4765.0,,,,231465.0,32801.0,,,,,-2395.0,,7160.0,,,2551.0,,0.0,50000000.0,,0.0,,0.0,,,3350.0,,,,,,,198664.0,,,39999942.0,
2013-06-30,2013-09-16,10-K,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,8300.0,223767.0,223767.0,6427.0,3163.0,,,,0.0,100000000.0,39999942.0,39999942.0,500000.0,800.0,,,303976.0,217340.0,,,-15500.0,,15500.0,,,0.01,,,,10496.0,-10121.0,,800.0,19240.0,-5372.0,,-38696.0,,,,,,,,,,19240.0,,,223767.0,27743.0,,38696.0,,-35533.0,-10921.0,,29361.0,,37910.0,3943.0,,0.0,50000.0,,0.0,0.0,0.0,38696.0,,12865.0,,6000.0,,0.085,,,196024.0,,,39999942.0,
2013-09-30,2013-11-12,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,11815.0,224193.0,,10086.0,3659.0,,,,0.0,100000000.0,39999942.0,39999942.0,500000.0,800.0,,,307229.0,214107.0,,,-17000.0,,,,,0.0,,,,2005.0,-2453.0,,800.0,4567.0,3679.0,,-7800.0,,,,,,,,,,4567.0,,,224193.0,31422.0,,7800.0,,-4141.0,-3253.0,,7020.0,,,2607.0,,0.0,50000000.0,,0.0,,0.0,,,3515.0,,,4567.0,,,,192771.0,,,39999942.0,
2013-12-31,2014-02-03,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,5350.0,215797.0,,12626.0,,,,,0.0,100000000.0,39999942.0,39999942.0,500000.0,,,,309568.0,203171.0,,,-18500.0,,,,,0.0,,,,1939.0,-2339.0,,,,,,-15486.0,,,,,,,,,,4550.0,,,215797.0,25365.0,,,,,-2339.0,,6889.0,,,1515.0,,0.0,50000000.0,,0.0,,,,,3450.0,,,4550.0,,,,190432.0,,,39999942.0,
2014-03-31,2014-05-06,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,8750.0,,210890.0,3371.0,,,,,,100000000.0,39999942.0,,500000.0,,,,312089.0,207519.0,,,-11000.0,,,,,0.0,,,,1970.0,-2522.0,,,,,,0.0,,,,,,,,,,4348.0,,,210890.0,22979.0,,,,,-2522.0,,6870.0,,,3229.0,,,50000000.0,,,,,,,3400.0,,,,,,,187911.0,,,39999942.0,
2014-06-30,2014-09-23,10-K,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,8300.0,209632.0,209632.0,2730.0,-3697.0,,,,0.0,100000000.0,39999942.0,39999942.0,500000.0,800.0,,,314335.0,206902.0,206902.0,,,,12500.0,,,0.0,,,,8573.0,-9559.0,,800.0,17828.0,-3776.0,,,,,,,,,,,,17829.0,,,209632.0,23967.0,,28266.0,,-31963.0,-10359.0,,27388.0,,48269.0,3167.0,,0.0,50000000.0,,0.0,,,28266.0,,12815.0,,6000.0,,0.085,,,185665.0,,,39999942.0,
2014-09-30,2014-11-10,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,12065.0,,209873.0,4551.0,1821.0,,,,0.0,100000000.0,39999942.0,,500000.0,800.0,,,317920.0,205322.0,,,,,11000.0,,,,,,,1940.0,-2785.0,,800.0,4420.0,3026.0,,-6000.0,,,,,,,-800.0,,,4420.0,,,209873.0,27793.0,,6000.0,,-4179.0,-3585.0,,7205.0,,,3928.0,,0.0,50000000.0,,0.0,,,6000.0,,3765.0,,,,,,,182080.0,,800.0,39999942.0,
2014-12-31,2015-02-04,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,5500.0,,200968.0,4414.0,,,,,0.0,100000000.0,39999942.0,,500000.0,,,,320625.0,196554.0,,,,,12500.0,,,0.0,,,,1887.0,-2705.0,,,,,,,,,,,,,,,,4232.0,,,200968.0,21593.0,,,,,-2705.0,,6937.0,,,3593.0,,0.0,50000000.0,,0.0,,,,,3550.0,,,,,,,179375.0,,,39999942.0,
2015-03-31,2015-05-05,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,9000.0,,203522.0,2762.0,,,,,0.0,100000000.0,39999942.0,,500000.0,,,,323345.0,200760.0,,,,,14000.0,,,0.0,,,,1926.0,-2720.0,,,,,,,,,,,,,,,,4206.0,,,203522.0,26867.0,,,,,-2720.0,,6926.0,,,3867.0,,0.0,50000000.0,,0.0,,,,,3500.0,,,,,,,176655.0,,,39999942.0,
2015-06-30,2015-09-24,10-K,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,10000.0,204464.0,204464.0,7565.0,4835.0,,,,0.0,100000000.0,39999942.0,39999942.0,500000.0,800.0,20308.0,,325794.0,196899.0,196899.0,,196899.0,,15500.0,,,0.0,,0.34,,8341.0,-10659.0,,800.0,16997.0,6291.0,,,16997.0,,,,,,,-16997.0,,16997.0,0.0,,204464.0,30258.0,,27000.0,27000.0,-22165.0,-11459.0,16997.0,27656.0,-27656.0,,4758.0,,0.0,50000000.0,0.0,0.0,,,27000.0,27000.0,13315.0,,,,,,-325794.0,174206.0,,,39999942.0,
2015-09-30,2015-11-12,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,12000.0,204008.0,,12039.0,4474.0,,,,0.0,100000000.0,39999942.0,,500000.0,800.0,,,329510.0,,191969.0,,,,17000.0,,,0.0,,,,1986.0,-2916.0,,800.0,4070.0,3260.0,,,4070.0,,,,,,,-4070.0,,4070.0,0.0,,204008.0,33518.0,,9000.0,9000.0,-4526.0,-3716.0,4070.0,6986.0,-6986.0,,4518.0,,0.0,50000000.0,,0.0,,,9000.0,9000.0,3500.0,,1500.0,,,,,170490.0,,,39999942.0,
2015-12-31,2016-02-09,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,6600.0,196169.0,196169.0,2065.0,,,,,0.0,100000000.0,39999942.0,39999942.0,500000.0,0.0,,,,186055.0,,,194104.0,,21500.0,,,0.0,,,,2083.0,-4187.0,,,,,,,,,,,,,,-4061.0,,4061.0,,,196169.0,32715.0,,,,,-4187.0,4061.0,8248.0,-8248.0,,4615.0,,0.0,50000000.0,0.0,0.0,,,,,4665.0,,1500.0,,,,-336546.0,163454.0,,,39999942.0,
2016-03-31,2016-05-11,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,12550.0,,196048.0,6011.0,,,,,0.0,100000000.0,39999942.0,,500000.0,0.0,,,,190037.0,,,,,20000.0,,,0.0,,,,1942.0,-5660.0,,,,,,,,,,,,,,-3982.0,,3982.0,,,196048.0,35405.0,,,,,-5660.0,3982.0,9642.0,-9642.0,,2855.0,,0.0,50000000.0,,0.0,,,,,6200.0,,1500.0,,,,-339357.0,160643.0,,,39999942.0,
2016-06-30,2016-09-27,10-K,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,6600.0,196169.0,196169.0,2065.0,-5500.0,,,,0.0,100000000.0,39999942.0,39999942.0,500000.0,800.0,23964.0,,,,194104.0,25.0,194104.0,,22149.0,,,0.0,,0.34,,9217.0,-9952.0,,800.0,,2457.0,,,16180.0,,6624.0,,,-767.0,,-16180.0,,16180.0,0.0,,196169.0,32715.0,,,18975.0,-24475.0,-10752.0,16180.0,26132.0,-26132.0,,3966.0,,0.0,50000000.0,0.0,0.0,0.0,,18975.0,18975.0,10915.0,,,,,,-336546.0,163454.0,163454.0,,39999942.0,
2016-09-30,2016-11-09,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,4046.0,169722.0,169722.0,169722.0,167657.0,,,,,100000000.0,39999942.0,39999942.0,500000.0,800.0,,,,,,,,,3000.0,,,0.0,,,,1896.0,-4592.0,,800.0,,-2554.0,,,1100.0,-18500.0,,,,-1.0,,1100.0,,,0.0,,169722.0,11660.0,,,195204.0,-27547.0,-5392.0,1100.0,5692.0,-5692.0,,4614.0,,,50000000.0,0.0,0.0,,,,195204.0,2296.0,,1500.0,,0.085,,-341938.0,158062.0,,,39999942.0,
2016-12-31,2017-02-10,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,1500.0,156357.0,156357.0,156357.0,,,,,0.0,100000000.0,39999942.0,39999942.0,500000.0,0.0,,,,,,,0.0,,1500.0,,,0.0,,,,2400.0,-5400.0,,,,,,,,,,,,,,0.0,,,,,156357.0,3695.0,,,,,-5400.0,0.0,5400.0,-5400.0,,695.0,,0.0,50000000.0,0.0,0.0,,,,,1500.0,,1500.0,,,,-347338.0,122300.0,,,39999942.0,
2017-03-31,2017-05-08,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,1500.0,152572.0,152572.0,152572.0,,,,,0.0,100000000.0,39999942.0,39999942.0,500000.0,0.0,,,,,,,0.0,,1500.0,,,0.0,,,,2153.0,-5153.0,,,,,,,,,,,,,,0.0,,,,,152572.0,5063.0,80238.0,,,,-5153.0,0.0,5153.0,-5153.0,,2063.0,,0.0,50000000.0,0.0,0.0,0.0,,,,1500.0,,1500.0,,,,-352491.0,147509.0,,,39999942.0,
2017-06-30,2017-09-14,10-K,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,7100.0,147611.0,147611.0,147611.0,145546.0,,,,,100000000.0,39999942.0,39999942.0,500000.0,800.0,33591.0,,,,,25.0,,674.0,3000.0,,,0.0,,0.34,,10222.0,-27518.0,,800.0,,500.0,,,1100.0,-18500.0,-18500.0,,,-1566.0,,1100.0,,1100.0,,,147611.0,12475.0,80238.0,-674.0,195204.0,-48984.0,-28318.0,1100.0,28618.0,-28618.0,,2375.0,,,50000000.0,0.0,0.0,,,,195204.0,12396.0,,6000.0,,,674.0,-364864.0,135136.0,135136.0,,39999942.0,
2017-09-30,2017-11-03,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,6375.0,143561.0,143561.0,143561.0,-4050.0,,,,,100000000.0,39999942.0,39999942.0,500000.0,800.0,,,,,,,,,4525.0,,,0.0,,,,2143.0,-6168.0,,800.0,,-725.0,,,,1500.0,,,,2143.0,,,,,,,143561.0,15393.0,,,,-4050.0,-6968.0,,6168.0,-6168.0,,4493.0,,,50000000.0,0.0,0.0,,,,,2525.0,,1500.0,,,,-371832.0,128168.0,,,39999942.0,
2017-12-31,2018-02-02,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,2500.0,133419.0,133419.0,133419.0,,,,,,100000000.0,39999942.0,39999942.0,500000.0,,,,,,,,,,6000.0,,,0.0,,,,1947.0,-5947.0,,,,,,,,,,,,,,,,,,,133419.0,11119.0,,,,,-5947.0,,5947.0,-5868.0,,2619.0,,,50000000.0,0.0,0.0,,,,,2500.0,,1500.0,,,,-377700.0,92087.0,,,39999942.0,
2018-03-31,2018-05-04,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,2500.0,129051.0,129051.0,129051.0,,,,,,100000000.0,39999942.0,39999942.0,500000.0,,,,,,,,,,7500.0,,,0.0,,,,1947.0,-5947.0,,,,,,,,,,,,,,,,,,,129051.0,12698.0,,,,,-5947.0,,5947.0,-5947.0,,2698.0,,,50000000.0,0.0,0.0,,,,,2500.0,,1500.0,,,,-383647.0,116353.0,,,39999942.0,
2018-06-30,2018-09-07,10-K,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,7100.0,124604.0,124604.0,124604.0,-23007.0,,,,,100000000.0,39999942.0,39999942.0,500000.0,800.0,27142.0,27142.0,,,,25.0,,,9000.0,,,0.0,,0.21,,9026.0,-29651.0,,800.0,,,,,,6000.0,,,,1469.0,,,,0.0,,,124604.0,19919.0,,-25.0,,-22982.0,-30451.0,,29651.0,-29651.0,129248.0,3819.0,,,50000000.0,0.0,0.0,,,,,14625.0,,6000.0,,,25.0,-395315.0,104685.0,104685.0,,39999942.0,
2018-09-30,2018-11-02,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,2500.0,114811.0,114811.0,114811.0,-9793.0,,,,,100000000.0,39999942.0,39999942.0,500000.0,800.0,,,,,,,,,10525.0,,,0.0,,,,1894.0,-5919.0,,800.0,,-4600.0,,,,1500.0,,,,26.0,,,,,,,114811.0,16845.0,,,,-9793.0,-6719.0,,5919.0,,,3820.0,,,50000000.0,0.0,0.0,,,,,2525.0,,1500.0,,,,-402034.0,-97966.0,,,39999942.0,
2018-12-31,2019-01-25,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,3100.0,109806.0,109806.0,109806.0,,,,,,100000000.0,39999942.0,39999942.0,500000.0,,,,,,,,,,12000.0,,,0.0,,,,1879.0,-5879.0,,,,,,,,,,,,,,,,,,,109806.0,17719.0,,,,,-5879.0,,5879.0,,,2619.0,,,50000000.0,0.0,0.0,,,,,2500.0,,1500.0,,,,-407913.0,92087.0,,,39999942.0,
2019-03-31,2019-04-30,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,2500.0,103392.0,103392.0,103392.0,,,,,,100000000.0,39999942.0,39999942.0,500000.0,,,,,,,,,,13500.0,,,0.0,,,,1869.0,-5869.0,,,,,,,,,,,,,,,,,,,103392.0,17174.0,,,,,-5869.0,,5869.0,,,1174.0,,,50000000.0,0.0,0.0,,,,,2500.0,,1500.0,,,,-413782.0,86218.0,,,39999942.0,
2019-06-30,2019-09-06,10-K,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,8100.0,100392.0,100392.0,100392.0,-24212.0,,,,,100000000.0,39999942.0,39999942.0,500000.0,800.0,,33680.0,,,,,,,15000.0,,,0.0,0.21,,,8710.0,-30335.0,800.0,800.0,,1000.0,,,,6000.0,,6000.0,,-52.0,,,,,,0.0,100392.0,26842.0,,-25.0,,-24187.0,-31135.0,,30335.0,-30335.0,160383.0,3742.0,,,50000000.0,0.0,0.0,0.0,,,,15625.0,,6000.0,,,25.0,-426450.0,73550.0,,,39999942.0,
2019-09-30,2019-11-01,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,2500.0,90099.0,90099.0,90099.0,-10293.0,,,,,100000000.0,39999942.0,39999942.0,500000.0,800.0,,,,,,,,,16525.0,,,0.0,,,,1893.0,-5918.0,800.0,800.0,,-5600.0,0.0,,,1500.0,,1500.0,,525.0,,,,,,0.0,90099.0,23267.0,,,,-10293.0,-6718.0,,5918.0,,,4242.0,,,50000000.0,0.0,0.0,,,,,2525.0,-6718.0,1500.0,,,,-433168.0,66832.0,,,39999942.0,
2019-12-31,2020-01-23,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,2500.0,85205.0,85205.0,85205.0,,,,,,100000000.0,39999942.0,39999942.0,500000.0,,,,,,,,,,24000.0,,,0.0,,,,1868.0,-5868.0,0.0,,,,,,,,,,,,,,,,,,85205.0,24241.0,,,,,-5868.0,,5868.0,,,3741.0,,,50000000.0,0.0,0.0,,,,,2500.0,-5868.0,1500.0,,,,-439036.0,60964.0,,,39999942.0,
2020-03-31,2020-04-24,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,2500.0,79469.0,79469.0,79469.0,,,,,,100000000.0,39999942.0,39999942.0,500000.0,,,,,,,,,,25500.0,,,0.0,,,,1868.0,-5868.0,0.0,,,,,,,,,,,,,,,,,,79469.0,24373.0,,,,,-5868.0,,5868.0,,,2373.0,,,50000000.0,0.0,0.0,,,,,2500.0,-5868.0,1500.0,,,,-444904.0,55096.0,,,39999942.0,
2020-06-30,2020-09-04,10-K,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,10100.0,78869.0,78869.0,78869.0,-21523.0,,-21523.0,,0.0,100000000.0,39999942.0,39999942.0,500000.0,,,40132.0,,,,,,,21000.0,,,0.0,0.21,,,8798.0,-29923.0,800.0,800.0,,2000.0,,,,,,6000.0,,1225.0,,,,,,0.0,78869.0,36042.0,,-25.0,,-21498.0,-30723.0,,29923.0,-29923.0,191106.0,4942.0,,0.0,50000000.0,0.0,0.0,0.0,,,,15125.0,,6000.0,,,25.0,-457173.0,42827.0,,0.0,39999942.0,
