end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetCurrent,AccretionExpense,AccruedLiabilitiesCurrent,AccruedSalariesCurrentAndNoncurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,Assets,AssetsCurrent,BankOverdrafts,BuildingsAndImprovementsGross,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockSharesSubscriptions,CommonStockValue,ComprehensiveIncomeNetOfTax,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration,Depreciation,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DisposalGroupNotDiscontinuedOperationLossGainOnWriteDown,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,GainLossOnDispositionOfAssets,GainLossOnDispositionOfAssets1,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfLongLivedAssetsToBeDisposedOf,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedSalaries,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInInventories,IncreaseDecreaseInNotesPayableRelatedParties,InterestPaid,InterestPaidNet,InventoryNet,InventoryRealEstate,IssuanceOfStockAndWarrantsForServicesOrClaims,LaborAndRelatedExpense,Land,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MarketingAndAdvertisingExpense,MarketingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAssets,OtherAssetsNoncurrent,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossTax,OtherGeneralAndAdministrativeExpense,OtherNonoperatingExpense,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquireRealEstateHeldForInvestment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockValue,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLoans,ProceedsFromOtherDeposits,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProceedsFromSaleOfRealEstateHeldforinvestment,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentDisposals,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RealEstateHeldforsale,RealEstateTaxExpense,RelatedPartyDepositLiabilities,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,SalariesWagesAndOfficersCompensation,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPercentageOfOwnershipAfterTransaction,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExercisePrice,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesShareBasedCompensation,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensation,SuppliesExpense,TaxesExcludingIncomeAndExciseTaxes,TemporaryEquityShareSubscriptions,TravelAndEntertainmentExpense,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2013-09-30,2013-10-31,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,707314.0,,,,,51416.0,78523.0,,408851.0,,,150000.0,5656.0,,,0.0001,,8000000000.0,106948367.0,106948367.0,,,10696.0,,,,,,18510.0,,,387682.0,,,0.0,,,,47992.0,,,,,-53846.0,,,,,,,,,,,,,,,11214.0,,,,200000.0,8184.0,707314.0,408850.0,,,5854.0,,,,,,707314.0,53846.0,-53846.0,972.0,,,,,,,,19001.0,,,,0.0001,2000000000.0,0.0,,,,,,,,,11067.0,-53846.0,,443397.0,391981.0,,,300000.0,,,,,,,,,,,-298463.0,,,,,,,,,,,,,,,16952.0,,,106948367.0
2013-12-31,2014-04-15,10-K,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,769354.0,,,,,10998.0,49593.0,,411528.0,26679.0,,0.0,15465.0,10157.0,0.0,0.0001,43887.0,8000000000.0,106754368.0,106754368.0,277366.0,41605.0,10676.0,,,,72079.0,459700.0,4413.0,,4582.0,459700.0,,,0.0,,,,156436.0,,-42843.0,,-211996.0,-211996.0,,,,,,,,,135240.0,,11214.0,,,,11214.0,351715.0,,,0.0,,769354.0,411528.0,769354.0,,3342.0,207725.0,21060.0,-218628.0,-211996.0,-211996.0,769354.0,169153.0,-169153.0,2989.0,156298.0,-156298.0,351715.0,351715.0,,,,36473.0,42843.0,-372775.0,351715.0,0.0001,2000000000.0,0.0,,30800.0,72485.0,,,,,,32279.0,-211996.0,,44132.0,33134.0,351715.0,,300000.0,15911.0,,,,,,,,,,-357826.0,-357826.0,205868.0,,205868.0,205868.0,0.0,30880.0,,30880.0,30880.0,,,,,48132.0,-72079.0,,106651434.0
2014-03-31,2014-05-19,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,4450.0,781253.0,,,,,12261.0,166854.0,,426920.0,36300.0,,0.0,7231.0,-8234.0,0.0,0.0001,,8000000000.0,107536584.0,107536584.0,,2298.0,10754.0,,,,,,1263.0,,1263.0,538689.0,,,0.0,,,,78989.0,,,,-91059.0,-78989.0,,,4450.0,,,,,12070.0,11899.0,,17855.0,,,,29069.0,351715.0,,21620.0,0.0,,785703.0,426920.0,785703.0,,6019.0,89931.0,-7034.0,-91131.0,,,781253.0,91059.0,-91059.0,2958.0,,,351715.0,,,,,12850.0,,7034.0,,,,,,75830.0,78032.0,,,,,,21008.0,-91059.0,,51166.0,38905.0,,12070.0,300000.0,,,,,,,,,,,-358783.0,,277366.0,,277366.0,,,,,,,,,,,12927.0,,,107145476.0
2014-06-30,2014-08-19,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,4100.0,833965.0,,,,,13708.0,188762.0,,441324.0,37180.0,1655.0,14971.0,1238.0,,0.0,0.0001,1000.0,8000000000.0,107710251.0,107710251.0,,1297.0,10771.0,,,,,,2709.0,,,599226.0,,,0.0,,,,38615.0,,,,-59906.0,-59906.0,,,,,,,,,,,,,,,35942.0,351715.0,,2936.0,,,839720.0,441324.0,839720.0,20625.0,21291.0,,,,,,833965.0,59906.0,-59906.0,2221.0,,,351715.0,,,,,20869.0,,,,,,,,300.0,,,,,,,10134.0,-59906.0,,66137.0,52429.0,,,300000.0,,,,,,,,,,,-398396.0,,2000.0,165000.0,,,,,,,,,,,,2082.0,,,107333734.0
2014-09-30,2015-01-06,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,877148.0,,,,,15164.0,264826.0,,451977.0,40714.0,,23546.0,1678.0,,0.0,0.0001,,8000000000.0,108531251.0,108531251.0,,,10853.0,,,,,,4166.0,,,700850.0,,,0.0,,,,,,,,-101623.0,,,,,,,,,,,,,,,,39036.0,,,,,,877148.0,451977.0,877148.0,,77164.0,,,,,,877148.0,101623.0,-101623.0,479.0,,,,351715.0,,,,7948.0,,,,,,,,,,,,,,,5171.0,-101623.0,,74712.0,59548.0,351715.0,,300000.0,,,,,,,,,,,-425171.0,,,,,,,,,,,,,,,10407.0,,,107604996.0
2014-12-31,2015-04-15,10-K,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,928179.0,48385.0,,,25000.0,16736.0,802117.0,,491924.0,82234.0,,23545.0,4732.0,-10733.0,0.0,0.0001,,8000000000.0,112868051.0,112868051.0,,,11287.0,,22429.0,,283761.0,1274659.0,5738.0,,5738.0,1294290.0,,,-0.01,,,,,25956.0,,,-834590.0,,,,,,48385.0,,,19632.0,183825.0,,17903.0,,,,29117.0,,633199.0,49556.0,,,972810.0,491924.0,972810.0,,6813.0,262157.0,-30580.0,-242310.0,-834590.0,-834590.0,928179.0,860546.0,-834590.0,6049.0,440059.0,-440059.0,,351715.0,,,,32829.0,,30580.0,,,,,,78332.0,78332.0,,,,,,48763.0,-834590.0,,74711.0,57975.0,351715.0,19631.0,300000.0,,-1294290.0,48385.0,,,,,,633198.0,,-480886.0,-480886.0,514317.0,5322000.0,514317.0,514317.0,5322000.0,78332.0,633198.0,78332.0,78332.0,633198.0,,,,44980.0,-283761.0,,108291416.0
2015-03-31,2015-05-20,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,611004.0,56385.0,,,100000.0,18309.0,802117.0,,150004.0,93602.0,,23545.0,3734.0,-998.0,0.0,,,,,,,,11287.0,,6547.0,,,,1573.0,,1573.0,1394035.0,,,0.0,,-1715.0,,,1453.0,,,-99745.0,,,,,,8000.0,,,,107825.0,,4366.0,,,,33483.0,,,75000.0,,,730635.0,150004.0,730635.0,,387.0,107825.0,,-108823.0,,,928179.0,99483.0,-98030.0,,,,,,,,,11505.0,1715.0,,,,,,,,,,,,,,5112.0,-99745.0,350000.0,74711.0,56402.0,,,311004.0,,,8000.0,,,,,,,,-580631.0,,,,,,,,,,,,,,,3023.0,,,109737615.0
2015-06-30,2015-08-19,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,628323.0,87753.0,,,175000.0,19882.0,903666.0,,178931.0,124102.0,,23545.0,2847.0,,0.0,0.0001,,8000000000.0,112868051.0,112868051.0,,,11338.0,,2471.0,,,,,,,,,,0.0,,,,,34577.0,,,-164993.0,,,,,,,,,,,,,,,,33502.0,,,80715.0,,,822954.0,178931.0,822954.0,,101600.0,,,,,,628323.0,199570.0,-164993.0,418.0,,,,,,,,9013.0,,,,,,,,,,,,,,,3745.0,-164993.0,,74711.0,54829.0,0.0,,300000.0,,-1559027.0,37048.0,,,,,,,,-644023.0,,,,,,,,,,,,,,,1789.0,,,110269615.0
2015-09-30,2015-11-23,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,656394.0,68800.0,,,250000.0,20782.0,903666.0,,132222.0,78293.0,,23545.0,9493.0,,0.0,0.0001,,8000000000.0,113376051.0,113376051.0,,,11338.0,,8123.0,,,,,,,,,,0.0,,,,,1603.0,,,-97012.0,,,,,,,,,,,,,,,,,,,82278.0,,,906394.0,132222.0,906394.0,,,,,,,,656394.0,98615.0,-97012.0,129.0,,,,,,,,10048.0,,,,,,,,,,,,,,,5420.0,-97012.0,,74711.0,53929.0,,,300000.0,,-1689176.0,9726.0,,,,,,,,-774172.0,,,,,,,,,,,,,,,462.0,,,112692071.0
2015-12-31,2016-05-24,10-K,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,647240.0,34917.0,,,325000.0,21459.0,903664.0,,65862.0,43189.0,,,4507.0,-225.0,0.0,0.0001,,8000000000.0,113405751.0,113405751.0,,,11341.0,,47987.0,,,,4044.0,,4044.0,,,,0.0,,-31258.0,,,8937.0,,,-527093.0,,,,,,-13468.0,,,,-570.0,,-25352.0,,,,3765.0,,,315900.0,,,972240.0,65862.0,972240.0,,586.0,-570.0,382973.0,-382628.0,-527093.0,-527093.0,647240.0,504772.0,-495835.0,672.0,,,,0.0,,,,14870.0,31258.0,,,,,,,,,,,,,351715.0,34836.0,-527093.0,,44132.0,22673.0,0.0,,300000.0,,-1821383.0,56924.0,,,,,,101600.0,,-906378.0,-906378.0,,537700.0,0.0,,537700.0,,101601.0,101601.0,,101601.0,,,,23522.0,,,112692071.0
2016-03-31,2016-05-23,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,647182.0,16887.0,,,400000.0,23032.0,903664.0,,42929.0,21829.0,,,4942.0,435.0,0.0,0.0001,,8000000000.0,113405751.0,113405751.0,,,11341.0,,11622.0,,,,1573.0,,1573.0,,,,0.0,,,,,2892.0,,,-97875.0,,,,,,-18030.0,,,,74942.0,,-3765.0,,,,,,,76500.0,,,1047182.0,42929.0,1047182.0,,244.0,74942.0,,-74507.0,,,647182.0,100767.0,-97875.0,392.0,,,,,,,,19225.0,,,,,,,,,,,,,,,800.0,-97875.0,,44132.0,21100.0,,,300000.0,,-1919258.0,14514.0,,,,,,,,-1004253.0,,,,,,,,,,,,,,,3340.0,,,112692071.0
2016-06-30,2016-08-22,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,697681.0,56510.0,,,475000.0,24605.0,903664.0,,78910.0,59383.0,,,2873.0,,0.0,0.0001,,8000000000.0,113405751.0,113405751.0,,,11341.0,,11622.0,,,,,,,,,,0.0,,,,,2892.0,,,-97875.0,,,,,,,,,,,,,,,,,,,76500.0,,,1172681.0,78910.0,1172681.0,,244.0,,,,,,697681.0,100767.0,-97875.0,392.0,,,,,,,,19225.0,,,,,,,,,,,,,,,800.0,-97875.0,,,19527.0,,,300000.0,,-2008776.0,14514.0,,,,,,,,-1093771.0,,,,,,,,,,,,,,,3340.0,,,112692071.0
2016-09-30,2016-11-15,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,718996.0,60034.0,,,550000.0,26178.0,903664.0,,78582.0,60628.0,,,594.0,,0.0,0.0001,,8000000000.0,113405751.0,113405751.0,,,11341.0,,906.0,,,,,,,,,,0.0,,,,,2618.0,,,-76857.0,,,,,,,,,,,,,,,,,,,75000.0,,,1268996.0,78582.0,1268996.0,,,,,,,,718996.0,79475.0,-76857.0,99.0,,,,,,,,3737.0,,,,,,,,,,,,,,,334.0,-76857.0,,,17954.0,,,300000.0,,-2105420.0,3524.0,,,,,,,,-1190415.0,,,,,,,,,,,,,,,90.0,,,112692071.0
