end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccretionExpense,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AmortizationOfDebtDiscountPremium,AmortizationOfFinancingCostsAndDiscounts,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommitmentsAndContingencies,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ContractuallySpecifiedServicingFeesAmount,ConvertibleNotesPayableCurrent,CurrentIncomeTaxExpenseBenefit,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentUnamortizedDiscountPremiumNet,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationAndAmortization,DerivativeCostOfHedge,DerivativeGainLossOnDerivativeNet,DerivativeGainOnDerivative,DerivativeLiabilities,DerivativeLiabilitiesCurrent,DerivativeLiabilitiesNoncurrent,DueToOfficersOrStockholdersCurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseOther,GainLossOnDerivativeInstrumentsNetPretax,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,ImpairmentOfOngoingProject,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationTaxCreditsOther,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDueToOtherRelatedPartiesCurrent,IncreaseDecreaseInDueToRelatedParties,InterestExpense,InterestExpenseDebtExcludingAmortization,InterestPaid,InterestPaidNet,InterestPayableCurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LineOfCredit,LoansPayable,LongTermNotesPayable,MineralPropertiesNet,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,NonoperatingIncomeExpense,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherNoncashExpense,OtherNoncashIncome,OtherSignificantNoncashTransactionValueOfConsiderationReceived1,PaymentsToAcquireMineralRights,PaymentsToAcquireProductiveAssets,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfUnsecuredDebt,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromOtherDebt,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,RepaymentsOfConvertibleDebt,RetainedEarningsAccumulatedDeficit,RevenueFromRelatedParties,Revenues,SellingAndMarketingExpense,SellingGeneralAndAdministrativeExpense,ShareBasedGoodsAndNonemployeeServicesTransactionValuationMethodExpectedDividendRate,ShareBasedGoodsAndNonemployeeServicesTransactionValuationMethodExpectedVolatilityRate,ShareBasedGoodsAndNonemployeeServicesTransactionValuationMethodRiskFreeInterestRate,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueRestrictedStockAwardGross,StockIssuedDuringPeriodValueShareBasedCompensation,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AccountsPayableCurrentAndNoncurrent,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,ConvertibleNotesPayable,DebtConversionConvertedInstrumentAmount1,OtherGeneralAndAdministrativeExpense,ProceedsFromLinesOfCredit,SaleOfStockConsiderationReceivedPerTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,SharesIssued
2017-03-31,2017-06-30,10-K,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,0.0,,,,,,,8276.0,,8276.0,,6602.0,,,,,0.001,75000000.0,30000000.0,30000000.0,30000.0,,,9145.0,,,,,,0.0,,34586.0,,34586.0,,,,,,,,,,,85000.0,,,0.0,,0.34,,,,,6398.0,0.0,26898.0,0.0,0.0,,,,,0.0,-1500.0,,,,,0.0,,,,85000.0,8276.0,,,,,,,35000.0,,-28398.0,-26898.0,,,,,,,,26898.0,,,,,,,,,,,,,,,,,35000.0,,20500.0,,,,-106724.0,,0.0,,,,,,-76724.0,-76724.0,,,,,,,,,,,,-9145.0,30000000.0,,,,,,,,,
2017-06-30,2017-08-18,10-Q,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,5624.0,,,,,,,2770.0,,2770.0,,-5506.0,,,,,0.001,75000000.0,30000000.0,30000000.0,30000.0,,,,,,,,,,,,,,,,,,,,,,,,85000.0,,,0.0,,,,,,,1489.0,,,,0.0,,,,,,5624.0,,,,,0.0,,,,90624.0,2770.0,,,,,,,0.0,,-5506.0,-11130.0,,,,,,,,11130.0,,,,,,,,,,,,,,,,,0.0,,9641.0,,,,-117854.0,,0.0,,,,,,-87854.0,,,,,,,,,,,,,,30000000.0,,,,,,,,,
2017-09-30,2017-11-14,10-Q,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,,,,,,,,2062.0,,2062.0,,,,,,,0.001,75000000.0,30000000.0,30000000.0,30000.0,,,,,,,,,,,,,,,,,,,,,,,,95000.0,,,0.0,,,,,,,2084.0,,,,,,,,,,,,,,,,,,,95000.0,2062.0,,,,,,,,,,-5084.0,,,,,,,,5084.0,,,,,,,,,,,,,,,,,,,3000.0,,,,-122938.0,,0.0,,,,,,-92938.0,,,,,,,,,,,,,,30000000.0,,,,,,,,,
2017-12-31,2018-02-14,10-Q,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,,,,,,,,4646.0,,4646.0,,,,,,,0.001,75000000.0,30000000.0,30000000.0,30000.0,,,,,,,,,,,,,,,,,,,,,,,,117000.0,,,0.0,,0.34,,,,,13205.0,,,,,,,,,,,,,,,,,,,117000.0,4646.0,,,,,,,,,,-19416.0,,,,,,,,19416.0,,,,,,,,,,,,,,,,,,,6211.0,,,,-142354.0,,0.0,,13205.0,,,,-112354.0,,,,,,,,,,,,,,30000000.0,,,,,,,,,
2018-03-31,2018-07-02,10-K,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,1500.0,1500.0,,,,,,1918.0,,1918.0,1918.0,-6358.0,,,,,0.001,75000000.0,30000000.0,30000000.0,30000.0,,,12274.0,,,,29732.0,,0.0,,29732.0,,29732.0,,,,,,,,,,,117000.0,117000.0,,0.0,,0.21,,,,,18006.0,,39858.0,0.0,0.0,,,,,17128.0,1500.0,,,,,0.0,,,,118500.0,1918.0,,,,,,,32000.0,,-38358.0,-39858.0,-39858.0,,,,,,,39858.0,-39858.0,141582.0,,,,,,,,,,,,32000.0,,,32000.0,,21852.0,,,,-146582.0,,0.0,,18006.0,,,,-116582.0,116582.0,,,,,,,,,,,,4854.0,30000000.0,,,,,,,,,
2018-06-30,2018-08-17,10-Q,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,4308.0,,,,,,,4418.0,,4418.0,,2500.0,,,,,0.001,75000000.0,30000000.0,30000000.0,30000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,134500.0,,,0.0,,,,,,,10875.0,,,,0.0,,,,,,2808.0,,,0.0,,0.0,,,,138808.0,4418.0,,,,,,,17500.0,,-15000.0,-17808.0,-17808.0,,,,,,,17808.0,-17808.0,,,,,,,,,,,,,,,,17500.0,,6933.0,,,,-164390.0,,0.0,,10875.0,,,,-134390.0,-134390.0,,,,,,,,,,,,,30000000.0,,,,,,,,,
2018-09-30,2018-11-14,10-Q,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,4675.0,,,,,,,2111.0,,2111.0,2111.0,,,,,,0.001,75000000.0,30000000.0,30000000.0,30000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,137500.0,,,0.0,,,,,,,2114.0,,,,,,,,,,,,,0.0,,,,,,142175.0,2111.0,,,,,,,,,,-5674.0,-5674.0,,,,,,,5674.0,-5674.0,,,,,,,,,,,,,,,,,,3560.0,,,,-170064.0,,0.0,,2114.0,,,,-140064.0,-140064.0,,,,,,,,,,,,,30000000.0,,,,,,,,,
2018-12-31,2019-04-10,10-Q,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,2677.0,,,,,,,2111.0,,,2111.0,,,,,,0.001,75000000.0,30000000.0,30000000.0,30000.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,144175.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,146852.0,2111.0,,,,,,,,,,-4677.0,-4677.0,,,,,,,4677.0,-4677.0,,,,,,,,,,,,,,,,,,3500.0,,,,-174741.0,,0.0,,1177.0,,,,-144741.0,-144741.0,,,,,,,,,,,,,30000000.0,,,,,,,,,
2019-03-31,2019-09-03,10-K,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,6184.0,6184.0,,0.0,,,,2111.0,,,2111.0,193.0,,,,,0.001,500000000.0,30000000.0,30000000.0,30000.0,,,,,0.0,,36382.0,0.0,0.0,36382.0,,,36382.0,,,,,,,,,,,,144175.0,0.0,0.0,,0.21,,,,,,,-31666.0,0.0,,,6650.0,,-6650.0,,4684.0,,,,,,,,,150359.0,2111.0,,,,0.0,,,20500.0,,-20307.0,-31666.0,-31666.0,,,,,,,31666.0,-31666.0,,6675.0,,,,,,,,,,,20500.0,,,,20500.0,17493.0,,,,-178248.0,,0.0,,14173.0,,,,-148248.0,-148248.0,,,,,,,,,,,,,30000000.0,,,,,,,,,
2019-06-30,2019-09-11,10-Q,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,13883.0,,,,,,,2221.0,,,2221.0,,,110.0,,,0.001,75000000.0,30000000.0,30000000.0,30000.0,-8500.0,,,,,,,,,,,,,,,,,,,,,,,,147830.0,,0.0,,,,,,,,,,,,,,,,,7699.0,3655.0,,64.0,,,,,,166713.0,2221.0,,,,5000.0,,,5000.0,,-4890.0,-16244.0,-16244.0,,,,,,,16180.0,-16180.0,,,,,,,,,,,,5000.0,,,,,,6500.0,,,,-194492.0,,,,1180.0,,,,-164492.0,-164492.0,,,,,,,,,,,,,30000000.0,,,,,,,,,
2019-09-30,2019-11-18,10-Q,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,8527.0,,,,,,,1014.0,,,1014.0,,,,,,0.001,75000000.0,30000000.0,30000000.0,30000.0,-12000.0,,,,,,,,,,,,,0.0,,,,,,,,,,,170080.0,,0.0,,,,,,,17975.0,,-18101.0,,,,,,,,,,,126.0,,,,,,183607.0,1014.0,,,,5000.0,,,,,,-18101.0,-18101.0,,,,,,,17975.0,-17975.0,,,,,,,,,,,,,,,,,,4750.0,,,,-212593.0,,,,1225.0,,,,-182593.0,-182593.0,,,,,,,,,,,,,30000000.0,,,,,,,,,
2019-12-31,2020-02-18,10-Q,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,10922.0,,,3043.0,3043.0,,,1054.0,,,1054.0,,,,,,0.001,75000000.0,30000000.0,30000000.0,30000.0,-12000.0,,,,,,,,,,,,,0.0,,,,,,,,,,,182080.0,931.0,0.0,,,,,,,17243.0,,-18329.0,,,,,,,,,,,1086.0,,,,,,198933.0,1054.0,,,,5000.0,,,,,,-18329.0,-18329.0,-1086.0,,,,,,17243.0,-17243.0,,,,,,,,,,,,,,,,,,3500.0,,,,-230922.0,,,,1743.0,,,,-197879.0,-197879.0,,,,,,,,,,,,,30000000.0,,,,,,,,,
2020-03-31,2020-08-05,10-K,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,6645.0,,3039.0,13019.0,3039.0,3039.0,,77.0,77.0,,77.0,-2034.0,,-2034.0,,0.0,0.001,500000000.0,30020000.0,30020000.0,30020.0,,,,3039.0,,,,0.0,,51114.0,,,51114.0,,,,,,,,,163830.0,,,163830.0,,0.0,0.0,0.21,-0.201,-0.009,,,68870.0,,-73189.0,0.0,,,14732.0,638.0,-15370.0,,461.0,27405.0,27405.0,1280.0,1280.0,,690.0,,,208475.0,77.0,208475.0,,,38000.0,,,29886.0,,-31920.0,-73189.0,,-4319.0,38000.0,38000.0,,,38000.0,68870.0,-68870.0,243398.0,2250.0,,3039.0,,,0.001,100000000.0,,2925.0,,30000.0,,,30000.0,2925.0,,18750.0,,,3039.0,-251437.0,,,,7120.0,,,,-208398.0,,10000.0,,,,,10000.0,,,,,,14732.0,30000329.0,,,,,,,,,
2020-06-30,2020-09-22,10-Q,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,29916.0,,,26059.0,,0.0,,31489.0,,,15489.0,,15412.0,15412.0,,,0.001,500000000.0,34366758.0,34366758.0,34367.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,186330.0,,0.0,,,,,,,60710.0,,-61746.0,0.0,,0.0,,,,,23271.0,22500.0,22500.0,1036.0,1036.0,,0.0,,1387.0,284246.0,31489.0,,,,68000.0,,,30000.0,,-14588.0,-61746.0,,-1036.0,,,,,,60710.0,-60710.0,,,,,,,,,16000.0,,,30000.0,,,,,,25500.0,-61746.0,,,-313183.0,,,0.0,5299.0,,,,-252757.0,,16000.0,4000000.0,,,16000.0,,1387.0,,,,,,31012692.0,,,,,,,,,
2020-09-30,2020-11-23,10-Q,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,39379.0,,,49481.0,18432.0,0.0,,6836.0,5925.0,,5925.0,,,,,,0.001,500000000.0,34376758.0,34376758.0,34377.0,,,,18432.0,,16715.0,,,,,,,,0.0,,,0.0,,,,,186330.0,,,,,0.0,,,,,,,108494.0,,-116433.0,0.0,,,,,,,,,,2823.0,2823.0,,,,,352594.0,6836.0,319309.0,33285.0,,,33285.0,,,,,-116433.0,,-2823.0,101285.0,68000.0,25600.0,25600.0,,113610.0,-113610.0,,,,,,,0.001,100000000.0,,,,,,,,,,,-116433.0,911.0,,-429616.0,,,5116.0,,,,,-345758.0,,,,,10000.0,,,,5000.0,,,5000.0,,34376649.0,,,,,,,,,
