end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableOtherCurrent,AccruedProfessionalFeesCurrent,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,Assets,AssetsCurrent,Cash,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockDividendsPerShareCashPaid,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CostsAndExpenses,DeferredFederalIncomeTaxExpenseBenefit,DistributionMadeToLimitedPartnerCashDistributionsPaid,DueFromBanks,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCash,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,ForeignCurrencyTransactionGainLossUnrealized,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccruedInvestmentIncomeReceivable,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInterestPayableNet,InterestBearingDepositsInBanks,InterestBearingDepositsInBanks,InterestExpense,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,InvestmentIncomeInterest,InvestmentInterestRate,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,PaymentsForOperatingActivities,PaymentsForOperatingActivities,PaymentsForRepurchaseOfEquity,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsForRepurchaseOfRedeemablePreferredStock,PreferredStockRedemptionAmount,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromOperatingActivities,ProceedsFromOtherDeposits,ReclassificationsOfTemporaryToPermanentEquity,RedeemableNoncontrollingInterestEquityCarryingAmount,RetainedEarningsAccumulatedDeficit,Revenues,SponsorFees,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueIssuedForCash,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TemporaryEquityCarryingAmount,TemporaryEquityCarryingAmountAttributableToParent,TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterests,TemporaryEquityForeignCurrencyTranslationAdjustments,TemporaryEquityIssuePeriodIncreaseOrDecrease,TemporaryEquityParOrStatedValuePerShare,TemporaryEquityRedemptionValue,TemporaryEquitySharesAuthorized,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,TemporaryEquityStockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageRateForeignDeposit
2012-07-31,2012-09-11,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,,195031566.0,,,195031566.0,,,,,,,,,,-189394.0,186453.0,,,,,-0.12,,,,,,,,,15231965266.0,195031566.0,,,,,,,,195031566.0,65516.0,,,,,-186453.0,186453.0,65516.0,-2941.0,-2941.0,,,,,,,,,,,,,,,186453.0,,,,,,,194966050.0,,,,,,43870000.0,1550000.0,1550000.0,,1492391.0,0.0
2012-10-31,2013-01-14,10-K,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,,128968366.0,,,128968366.0,-566246334.0,,,0.0,,43870000.0,1050000.0,1050000.0,128920251.0,-1530417.0,1520378.0,0.0,,,,-0.63,,-10771866.0,,11763.0,,,,,10308441486.0,128968366.0,,,,,0.0,,,128968366.0,48115.0,-553980313.0,-553980313.0,-1494155.0,,-1520378.0,1344961.0,48115.0,-10039.0,-12932.0,,1494155.0,1207561981.0,,1207561981.0,,,653581668.0,,,,,,0.0,1520378.0,5050000.0,,628647246.0,9200000.0,1145222513.0,,128920251.0,,,,,,43870000.0,1050000.0,1050000.0,,4073402.0,0.0
2013-01-31,2013-03-08,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,,128964845.0,,,128964845.0,-3521.0,,,0.0,,,,,,-162968.0,175667.0,0.0,,,,-0.12,,-17258858.0,,6549.0,,,,,11769331818.0,128964845.0,,,,,0.0,,,128964845.0,49514.0,17423056.0,17423056.0,-167719.0,,-175667.0,175667.0,49514.0,12699.0,12699.0,,167719.0,208516102.0,,208516102.0,,,225939158.0,,,,,,0.0,175667.0,1950000.0,,225939158.0,1800000.0,208516102.0,,128915331.0,,,,,,43870000.0,1200000.0,1200000.0,,1502717.0,0.0
2013-04-30,2013-06-07,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,,115671063.0,,,115671063.0,,,,0.0,,48870000.0,1150000.0,1150000.0,115631057.0,-143763.0,147006.0,,,,,-0.1,,,,,,,,,11267518237.0,115671063.0,,,,,0.0,,,115671063.0,40006.0,,,,,-147006.0,147006.0,40006.0,3243.0,3243.0,,,,,,,,,,,,,,0.0,147006.0,,,,,,,,,,,,,,,,,1474719.0,0.0
2013-07-31,2013-09-06,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,,134348941.0,,,134348941.0,,,,0.0,,48870000.0,1300000.0,1300000.0,129327011.0,-149817.0,148202.0,,,,,-0.1,,,,,,,,,12724655542.0,134348941.0,,,,,0.0,,,134348941.0,5021930.0,,,,,-148202.0,148202.0,47760.0,-1615.0,-1615.0,,,,,,,,,,,,,,0.0,148202.0,,,,,,,,,,,,4974170.0,,,,,1509783.0,0.0
2013-10-31,2014-01-14,10-K,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,0.0,,144517524.0,,,144517524.0,15549158.0,,,0.0,,48870000.0,1450000.0,1450000.0,144463850.0,-745590.0,144395.0,0.0,,,,-0.51,,-25457297.0,,12435.0,,,,,14178614307.0,144517524.0,,,,,0.0,,,144517524.0,53674.0,41603731.0,41603731.0,-597276.0,-597276.0,-759665.0,615270.0,53674.0,-126.0,14075.0,,597276.0,,,685046621.0,,,726650352.0,,,,,0.0,0.0,759665.0,7000000.0,,726650352.0,6600000.0,685046621.0,,,,,,,,,,1450000.0,,2929621.0,0.0
2014-01-31,2014-03-12,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,,196350514.0,,,196350514.0,51832990.0,,,0.0,,48870000.0,2050000.0,2050000.0,196283662.0,-164765.0,163890.0,0.0,,,,-0.1,,-5186683.0,,1958.0,,,,,20024807141.0,196350514.0,,,,,0.0,,,196350514.0,66852.0,57168427.0,,-148754.0,,-163890.0,163890.0,66852.0,,-875.0,,148754.0,,,52404093.0,,,109572520.0,,,,,,0.0,163890.0,1150000.0,,109572520.0,550000.0,52404093.0,,,,,,,,,,,,1714674.0,0.0
2014-04-30,2014-06-09,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,,105087674.0,,,105087674.0,,,,0.0,,53870000.0,1100000.0,1100000.0,105050304.0,-165923.0,165658.0,,,,,-0.09,,,,,,,,,10734705896.0,105087674.0,,,,,0.0,,,105087674.0,37370.0,,,,,-165658.0,165658.0,37370.0,,-265.0,,,,,,,,,,,,,,0.0,165658.0,,,,,,,,,,,,,,,,,1750562.0,0.0
2014-07-31,2014-09-08,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,,80582290.0,,,80582290.0,,,,0.0,,53870000.0,750000.0,750000.0,71076403.0,-98198.0,99142.0,,,,,-0.1,,,,,,,,,7312116863.0,80582290.0,,,,,0.0,,,80582290.0,9505887.0,,,,,-99142.0,99142.0,28929.0,,944.0,,,,,,,,,,,,,,0.0,99142.0,,,,,,,,9476958.0,,,,,,,,,1023370.0,0.0
2014-10-31,2015-01-14,10-K,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,27938.0,0.0,,104241328.0,11685974118.0,,82529967.0,-61987557.0,,,0.0,21711361.0,53870000.0,1200000.0,1200000.0,104213390.0,-571142.0,75152.0,0.0,,,,-0.47,,-14252590.0,,6760.0,,,27938.0,,11685974118.0,82529967.0,,,,,0.0,,,104241328.0,27938.0,-47212149.0,-47212149.0,-522818.0,-522818.0,-578994.0,578994.0,27938.0,,7852.0,53958569.0,522818.0,,26348016499.0,255292426.0,,23909334879.0,208080277.0,,,,104213390.0,0.0,0.0,578994.0,2450000.0,,231663439.0,2700000.0,255292426.0,,,,,,,,,,1200000.0,,2138364.0,0.0
2015-01-31,2015-03-12,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,0.0,,140791023.0,,,140791023.0,58261056.0,,,0.0,,53870000.0,1550000.0,1550000.0,128337351.0,-104220.0,,,,,,-0.08,,-3441164.0,,1236.0,,,34078.0,,15079149826.0,140791023.0,,,,,0.0,,,140791023.0,12453672.0,61798519.0,61798519.0,-96299.0,-96299.0,-103675.0,103675.0,34078.0,,-545.0,,96299.0,,,189541270.0,,,251339789.0,,,,,0.0,0.0,103675.0,2800000.0,,230727609.0,2450000.0,201895844.0,,,12419594.0,,,,,,,,,1264130.0,0.0
2015-04-30,2015-06-09,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,20298785.0,,0.0,,89338860.0,,,89338860.0,,,,0.0,,53870000.0,850000.0,850000.0,69014355.0,-94592.0,,,,,,-0.08,,,,,,,,,8262025814.0,89338860.0,,,,,0.0,,,89338860.0,20324505.0,,,,,-94659.0,94659.0,25720.0,,67.0,,,,,,,,,,,,,0.0,0.0,94659.0,,,,,,,,,,,,,,,,,1184270.0,0.0
2015-07-31,2015-09-09,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,0.0,,117556576.0,,,117556576.0,,,,0.0,,59000000.0,1500000.0,1500000.0,117518276.0,-92811.0,,,,,,-0.08,,,,,,,,,14564672009.0,117556576.0,,,,,0.0,,,117556576.0,38300.0,,,,,-93746.0,93746.0,38300.0,,935.0,,,,,,,,,,,,,0.0,0.0,93746.0,,,,,,,,,,,,,,,,,1189674.0,0.0
2015-10-31,2016-01-14,10-K,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,45403.0,0.0,,128613360.0,15520417225.0,128613360.0,128613360.0,46083393.0,128613360.0,,0.0,,59000000.0,1600000.0,1600000.0,128567957.0,-549063.0,,0.0,,0.0,45403.0,-0.4,,-5995824.0,,2037.0,,,45403.0,,15520417225.0,128613360.0,,,,,0.0,,,128613360.0,45403.0,,52480066.0,,-400849.0,-548622.0,548622.0,,,-441.0,48247219.0,400849.0,,43753574107.0,363514395.0,,47636264433.0,415994461.0,0.0,,,128567957.0,0.0,0.0,548622.0,,,,4500000.0,363514395.0,,,,-7903685.0,,,,59000000.0,1600000.0,1600000.0,395772647.0,2903743.0,
2016-01-31,2016-03-11,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,0.0,,296130835.0,35851079498.0,296130835.0,296130835.0,167517475.0,,,0.0,,,,,,-215976.0,,,,0.0,73032.0,-0.08,,-658527.0,,187.0,0.0,,73032.0,,,296130835.0,,,,,0.0,,,296130835.0,73032.0,,168364476.0,,-188474.0,-216290.0,216290.0,,,314.0,22784524.0,188474.0,,15020715143.0,124251919.0,,35374161940.0,292616395.0,0.0,,,296057803.0,0.0,0.0,216290.0,,,,,,,,,-874630.0,,,,59000000.0,3700000.0,3700000.0,292616395.0,2725000.0,
2016-04-30,2016-06-09,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,9044601.0,,0.0,,153829324.0,15491241379.0,144784722.0,153829324.0,,,,0.0,,,,,,-259112.0,,,,0.0,66391.0,-0.09,,,,,,,,,,153829324.0,2478.0,,2602.0,,0.0,,,153829324.0,9113594.0,,,,,-246846.0,246846.0,,,-12266.0,,,,,,,,,,,,144715730.0,0.0,0.0,244368.0,,,,,,,,,,,,,59000000.0,1600000.0,1600000.0,,2855000.0,
2016-07-31,2016-09-09,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,0.0,,146242966.0,14987710398.0,146242966.0,146242966.0,,,,0.0,,,,,,-190248.0,,,,0.0,51701.0,-0.12,,,,,,,,,,146242966.0,37499.0,,13393.0,,0.0,,,146242966.0,65094.0,,,,,-183904.0,183904.0,,,-6344.0,,,,,,,,,,,,146177872.0,0.0,0.0,146405.0,,,,,,,,,,,,,64000000.0,1550000.0,1550000.0,,1597283.0,
2016-10-31,2017-01-12,10-K,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,0.0,,110280686.0,11588845853.0,110280686.0,110280686.0,-18332674.0,110280686.0,-18332674.0,0.0,,,,,,-1014828.0,,,,0.0,40116.0,-0.5,-11238.0,17286580.0,17286580.0,-11238.0,0.0,,40116.0,10377.0,,110280686.0,113831.0,,10377.0,,0.0,,,110280686.0,50493.0,-34786618.0,-34786618.0,-832636.0,-832636.0,-1005936.0,1005936.0,,,-8892.0,91904462.0,832636.0,,52752711224.0,477929067.0,,48913044314.0,443142449.0,0.0,,,110230193.0,0.0,0.0,892105.0,,,,,,,,,16448854.0,,0.0,,64000000.0,1200000.0,1200000.0,443142449.0,3669654.0,
2017-01-31,2017-03-13,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,8563889.0,,0.0,,184191415.0,19771268743.0,175627526.0,184191415.0,73910729.0,,,0.0,,,,,,-152180.0,,,,0.0,54304.0,-0.11,,-6806407.0,,3225.0,0.0,,54304.0,13494.0,,184191415.0,30049.0,,13494.0,,0.0,,,184191415.0,8631687.0,,80847792.0,,-130656.0,-151186.0,151186.0,,,-994.0,14805363.0,130656.0,,7234192515.0,55333231.0,,15431420768.0,136181023.0,0.0,,,175559728.0,0.0,0.0,121137.0,,,,,,,,,-7010332.0,,0.0,,64000000.0,2050000.0,2050000.0,136181023.0,1428261.0,
2017-04-30,2017-06-09,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,0.0,,103702296.0,11559694898.0,103702296.0,103702296.0,,103702296.0,,0.0,,,,,,-144497.0,,,,0.0,35176.0,-0.11,,,,,,,,,,103702296.0,29631.0,,9266.0,,0.0,,,103702296.0,44442.0,,,,,-143771.0,143771.0,,,-726.0,,,,,,,,,,,,103657854.0,0.0,0.0,114140.0,,,,,,,,,,,0.0,,64000000.0,1200000.0,1200000.0,,1344382.0,
2017-07-31,2017-09-11,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,0.0,,113192617.0,12507218194.0,113192617.0,113192617.0,,113192617.0,,0.0,,,,,,-153975.0,,,,0.0,38876.0,-0.11,,,,,,,,,,113192617.0,30822.0,,10002.0,,0.0,,,113192617.0,48878.0,,,,,-152159.0,152159.0,,,-1816.0,,,,,,,,,,,,113143739.0,0.0,0.0,121337.0,,,,,,,,,,,0.0,,64000000.0,1300000.0,1300000.0,,1398370.0,
2017-10-31,2018-01-11,10-K,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,4226335.0,,0.0,,114156875.0,12491407290.0,109930540.0,114156875.0,3876189.0,114156875.0,3876189.0,0.0,,,,,,-734388.0,,,,0.0,37756.0,-0.54,3756.0,-8462494.0,-8462494.0,3756.0,0.0,,37756.0,9596.0,,114156875.0,149186.0,,9596.0,,0.0,,,114156875.0,4273687.0,12930260.0,12930260.0,-591577.0,-591577.0,-737268.0,737268.0,,,2880.0,66298233.0,591577.0,,30833153795.0,270838173.0,,31802013465.0,283768433.0,0.0,,,109883188.0,0.0,0.0,588082.0,,,,,,,,,-8992111.0,,0.0,,64000000.0,1300000.0,1300000.0,283768433.0,2703329.0,
2018-01-31,2018-03-12,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,0.0,,140657656.0,15353486396.0,140657656.0,140657656.0,26500781.0,,,0.0,,,,,,-144572.0,,,,0.0,40072.0,,,5281105.0,,-1960.0,0.0,,,,,140657656.0,,,9976.0,,0.0,,,140657656.0,50048.0,,21359530.0,,-139854.0,,,,,-3982.0,15698231.0,,,1440279898.0,,,4318057235.0,,,,,,0.0,,112269.0,,,,,,,,,5086474.0,,0.0,,64000000.0,1600000.0,,38469313.0,1307609.0,
2018-04-30,2018-06-11,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,0.0,,166426115.0,18211177655.0,166426115.0,,,,,0.0,,,,,,-193787.0,,,,0.0,55856.0,,,,,,,,,,,166426115.0,,,14198.0,,,,,166426115.0,70054.0,,,,,,,,,4092.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,64000000.0,1900000.0,,,,
2018-07-31,2018-09-07,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,0.0,,119737193.0,13403381426.0,119737193.0,,,,,0.0,,,,,,-201957.0,,,,0.0,51301.0,,,,,,,,,,,119737193.0,,,13185.0,,,,,119737193.0,64486.0,,,,,,,,,2857.0,,,,,,,,,,,,119672707.0,0.0,,,,,,,,,,,,,0.0,,64000000.0,1400000.0,1400000.0,,,
2018-10-31,2019-01-11,10-K,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,,127074693.0,14341014525.0,127074693.0,,,,12917818.0,0.0,,,,,,,,,,0.0,43161.0,-0.44,1425.0,,520740.0,,0.0,,5405.0,1347.0,,127074693.0,142359.0,141012.0,10943.0,,0.0,,,127074693.0,54104.0,13094759.0,,-697681.0,,-704433.0,704433.0,,,,76898821.0,696256.0,,10536230459.0,99745024.0,,12462736515.0,112839783.0,0.0,,,127020589.0,0.0,0.0,562074.0,,,,,,,,,-305520.0,,0.0,,69000000.0,1500000.0,1500000.0,112839783.0,1616849.0,
2019-03-31,2019-05-09,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,,176724388.0,19560738879.0,176724388.0,,,176724388.0,6944383.0,,,,,,,,,,0.0,0.0,81460.0,-0.11,,,-6239950.0,,0.0,,25795.0,6782.0,,176724388.0,69444.0,62662.0,20750.0,,0.0,,,176724388.0,102210.0,13497575.0,,-313242.0,,-345819.0,345819.0,,,,34411854.0,,,25758963088.0,230772038.0,,26249243674.0,244269613.0,,,,176622178.0,0.0,0.0,276375.0,,0.0,,,0.0,,,,-6602199.0,0.0,0.0,,76000000.0,2050000.0,2050000.0,239934251.0,3136111.0,
2019-06-30,2019-08-08,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,216669554.0,,23343977710.0,216669554.0,,,216669554.0,,,,,,,,,,,,,67684.0,-0.11,,,,,,,,,,216669554.0,47266.0,,,17160.0,0.0,,84844.0,216669554.0,,,,,,-233695.0,233695.0,,,,,,,,,,,,,,,216584710.0,0.0,0.0,186429.0,,0.0,,,0.0,,,,,0.0,0.0,,76000000.0,2450000.0,2450000.0,,2169231.0,
