end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableInterestBearingInterestRate,AccruedBonusesCurrentAndNoncurrent,AccruedProfessionalFeesCurrentAndNoncurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentForAmortization,AmortizationOfDebtDiscountPremium,AmortizationOfLeasedAsset,Assets,AssetsCurrent,Cash,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockOtherValueOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConcentrationRiskPercentage1,ConstructionInProgressGross,ConvertibleLongTermNotesPayable,ConvertibleNotesPayableCurrent,CostOfGoodsSold,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DebtCurrent,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentInterestRateIncreaseDecrease,DebtInstrumentPeriodicPaymentInterest,DeferredRevenue,DeferredRevenueCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositAssets,DepositAssetsOrLiabilitiesAmortizationExpenseFromExpirations,DepositsAssets,Depreciation,DepreciationAndAmortization,DerivativeGainLossOnDerivativeNet,DerivativeLiabilities,DerivativeLiabilitiesCurrent,DevelopmentCosts,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromOfficersOrStockholders,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,FairValueAssumptionsExpectedDividendRate,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsNet,ForeignCurrencyTransactionGainBeforeTax,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentChargeOnReclassifiedAssets,ImpairmentOfIntangibleAssetsFinitelived,ImpairmentOfLongLivedAssetsToBeDisposedOf,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDeposits,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInInventories,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InventoryFinishedGoods,InventoryGross,InventoryNet,InventoryRawMaterialsAndPurchasedPartsNetOfReserves,InventoryWriteDown,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,NotesPayableRelatedPartiesNoncurrent,NotesReceivableGross,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherExpenses,OtherIncome,OtherNonoperatingIncome,OtherNotesPayableCurrent,PaymentsForConstructionInProcess,PaymentsToAcquireAndDevelopRealEstate,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquireReceivables,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValueOutstanding,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromNotesPayable,ProceedsFromOtherDebt,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RelatedPartyTransactionRate,RepaymentsOfConvertibleDebt,RepaymentsOfDebt,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueGoodsNet,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShortTermBorrowings,ShortTermDebtPercentageBearingFixedInterestRate,SponsorFees,StockholdersEquity,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,SubordinatedBorrowingInterestRate,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2014-07-31,2014-09-04,10-Q,"BRK, INC.",MNIZ,CIK0001532926,USD,,9816.0,,,,,29742.0,,,,15090.0,3053.0,2245.0,2245.0,-7951.0,,0.001,100000000.0,4308320.0,4308320.0,4308.0,,,,78000.0,,,,79400.0,,,,,,,,,,,,1317.0,1317.0,,,,,,,,,38540.0,,0.0,,,,,,,,,,,,1270.0,1270.0,,,,,7215.0,,,,,,,808.0,,,,,263545.0,15090.0,,,-150.0,,-7801.0,-17603.0,,,7089.0,,,,-17603.0,,,,,,,,,,0.001,1000000.0,0.0,0.0,,,,,,,,,,,,,12037.0,,,,,150.0,-282505.0,161.0,161.0,,16447.0,,,,,,-248455.0,,,,,,,4308320.0,
2014-10-31,2014-12-15,10-Q,"BRK, INC.",MNIZ,CIK0001532926,USD,,7679.0,,,,,29742.0,,,,15101.0,4381.0,3573.0,3573.0,,,0.001,100000000.0,4308320.0,4308320.0,4308.0,,,,78000.0,,,,84400.0,,,,,,,,,,,,1317.0,,,,,,,,,41540.0,41540.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,808.0,,,,,276498.0,15101.0,,,,,,-12942.0,,,7089.0,,,,-12942.0,,,,,,,,,,0.001,1000000.0,0.0,0.0,,,,,,,,,,,,,10720.0,,,,,,-295447.0,,,,11625.0,,,,,,-261397.0,,,,,,,4308320.0,
2015-01-31,2015-02-19,10-Q,"BRK, INC.",MNIZ,CIK0001532926,USD,,7812.0,,,,,29742.0,,,,14100.0,4697.0,3889.0,3889.0,,,0.001,100000000.0,4308320.0,4308320.0,4308.0,,,,78000.0,,,,84400.0,,,,,,,,,,,,1317.0,,,,,,,,,48540.0,48540.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,808.0,,,,,290681.0,14100.0,,,,,,-15184.0,,,7089.0,,,,-15184.0,,,,,,,,,,0.001,1000000.0,0.0,0.0,,,,,,,,,,,,,9403.0,,,,,,-310631.0,,,,13867.0,,,,,,-276581.0,,,,,,,43083200.0,
2015-04-30,2015-07-29,10-K,"BRK, INC.",MNIZ,CIK0001532926,USD,8262.0,8262.0,,72190.0,,15804.0,-9033.0,,,,9941.0,1855.0,1047.0,1047.0,-9149.0,,0.001,100000000.0,43083200.0,43083200.0,43083.0,1.0,,,115500.0,,,,44900.0,,,,,,113606.0,,113606.0,,,,5268.0,5268.0,,,,,,,72190.0,52540.0,50540.0,,0.0,,,,,,,,112.0,,,,-284.0,,,,,,28705.0,,,,750.0,,,808.0,808.0,,,,300481.0,9941.0,300481.0,,16850.0,,-25999.0,-59688.0,,7089.0,7089.0,,,,-58938.0,324590.0,750.0,,,115500.0,,,,,0.001,1000000.0,0.0,0.0,,,,,5000.0,,12000.0,5000.0,,,,23890.0,8086.0,,,,,150.0,-324590.0,,,112.0,53782.0,,,46900.0,,,-290540.0,,,,,,,43083200.0,
2015-07-31,2015-09-11,10-Q,"BRK, INC.",MNIZ,CIK0001532926,USD,10432.0,,,,,,29742.0,,,,15148.0,8379.0,7571.0,7571.0,6524.0,,0.001,100000000.0,4308320.0,4308320.0,4308.0,,,,115500.0,,,,,,,,,,,,,,,,1317.0,1317.0,,,,,,,,68540.0,,,0.0,,,,,,,,,,,,2170.0,2170.0,,,,,7060.0,,,,1020.0,,,,808.0,,,,,15148.0,327711.0,,18000.0,,-11476.0,-22023.0,,7089.0,,,,,-21003.0,,1020.0,,,,,,,,0.001,1000000.0,0.0,0.0,,,,,,,,18000.0,,18000.0,,,6769.0,0.12,,,,,-346613.0,,,,19686.0,,,46900.0,,,-312563.0,,,,,,,43083200.0,
2015-10-31,2015-11-25,10-Q,"BRK, INC.",MNIZ,CIK0001532926,USD,12252.0,,,,,,29742.0,,,,7997.0,1933.0,1125.0,1125.0,,,0.001,100000000.0,4308320.0,4308320.0,4308.0,,,,115500.0,,,,,,,,,,,,,,,,705.0,705.0,,,,,,,,68540.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,1020.0,,,,808.0,,,,,7997.0,336431.0,,,,,-15871.0,-1020.0,7089.0,,,,,-14851.0,,,,,,,,,,0.001,1000000.0,0.0,0.0,,,,,,,,,,,,,6064.0,,,,,,-362484.0,,,,14146.0,,,46900.0,,,-328434.0,,,,,,,43083200.0,
2016-01-31,2016-03-08,10-Q,"BRK, INC.",MNIZ,CIK0001532926,USD,10627.0,,,,,,-9033.0,,,,7323.0,2268.0,1460.0,1460.0,,,0.001,100000000.0,43083200.0,43083200.0,43083.0,,,,115500.0,,,,,,,,,,,,,,,,1009.0,1009.0,,,,,,,,77540.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,1020.0,,,,808.0,,,,,7323.0,350506.0,,,,,-14749.0,-1020.0,7089.0,,,,13729.0,-13729.0,,,,,,,,,,0.001,1000000.0,0.0,0.0,,,,,,,,,,,,,5055.0,,,,,,-377233.0,,,,12720.0,,,46900.0,,,-343183.0,,,,,,,43083200.0,
2016-04-30,2016-07-29,10-K,"BRK, INC.",MNIZ,CIK0001532926,USD,,18264.0,,,,18835.0,-9033.0,,,,10475.0,5420.0,4612.0,4612.0,3565.0,,0.001,2000000000.0,43083200.0,43083200.0,43083.0,,,,115500.0,,,,44900.0,,,,,,138536.0,,-138536.0,,,,3031.0,3031.0,,,275575.0,,,1000.0,99950.0,3200.0,,,0.0,,,0.0,,,,,,,,,10002.0,,,,,,27760.0,,,,4080.0,,,808.0,,,,,372243.0,10475.0,372243.0,,34000.0,,-30435.0,-71228.0,-4080.0,11000.0,7089.0,44900.0,,,-67148.0,395818.0,,,,,,,,,0.001,1000000.0,0.0,0.0,,,,,,,34000.0,34000.0,,,,23890.0,5055.0,,,,,,-395818.0,,,,64117.0,,,86540.0,,,-361768.0,,,,,,,43083200.0,
2016-07-31,2016-09-13,10-Q,"BRK, INC.",MNIZ,CIK0001532926,USD,,17584.0,,,,20853.0,1585967.0,,,25132.0,1581545.0,3640.0,2832.0,2832.0,-1780.0,,0.001,100000000.0,48083200.0,48083200.0,48083.0,,,,115500.0,,,,44900.0,,,,,,,,,,,,,27150.0,,,,,,,106690.0,104415.0,,0.0,0.0,0.0,,25132.0,1574868.0,,,,,,,,-680.0,,,,,,6740.0,,,,1457.0,,,808.0,,,,,,1581545.0,396178.0,,17875.0,,-19655.0,-52865.0,-1457.0,,7089.0,,,51408.0,-51408.0,,,,,,,,,,0.001,1000000.0,0.0,0.0,,,,,,,,18000.0,,,,,3037.0,,,,,125.0,-448683.0,,,,24258.0,,,,,,1185367.0,,,,,,47757113.0,47757113.0,47757113.0
2016-10-31,2016-12-20,10-Q,"BRK, INC.",MNIZ,CIK0001532926,USD,,29454.0,,,,21862.0,2243967.0,,,,1658863.0,108634.0,1634.0,1634.0,,,0.001,100000000.0,50083200.0,50083200.0,50083.0,,,,115500.0,,,,44900.0,,,,,,,,,,,,,27150.0,,,,,,,113390.0,217565.0,,-0.01,-0.01,-0.01,,51799.0,1548201.0,,,,,,,,,,,,,,,,,,1457.0,,,100000.0,,,,,,1658863.0,527898.0,,,,,-714402.0,-1457.0,,7089.0,,,712945.0,-712945.0,,,,,,,,,,0.001,1000000.0,0.0,0.0,,7000.0,,,,,,,,,,,2028.0,,,,,,-1163085.0,,,,685269.0,,,,,,1130965.0,,,,,,48202765.0,48202765.0,48202765.0
2017-01-31,2017-03-22,10-Q,"BRK, INC.",MNIZ,CIK0001532926,USD,,55493.0,,,,27253.0,2262522.0,,,,1674788.0,5129.0,3129.0,3129.0,,,0.001,100000000.0,50083200.0,50083200.0,50333.0,,,,238141.0,,,,125064.0,,,,10000.0,,,,,,,,,32058.0,,,,,,,119765.0,5200.0,,,0.0,,,78466.0,1521534.0,,,,,,,,,,,,,,,,,,19555.0,,,,,,,,,1674788.0,662142.0,,,,,-137124.0,-19555.0,,7089.0,,2000.0,122470.0,-117569.0,,,,,,,,,,0.001,1000000.0,0.0,0.0,,,,,,,,,,,,,148125.0,,,,,,-1300209.0,4901.0,,,90412.0,,,106590.0,,,1012646.0,,,,,,,50305727.0,
2017-04-30,2017-08-15,10-K,"BRK, INC.",MNIZ,CIK0001532926,USD,,55626.0,0.0,,,0.0,-1786532.0,105133.0,34421.0,78466.0,34860.0,34860.0,32860.0,32860.0,28248.0,,0.001,100000000.0,50383200.0,50383200.0,50383.0,,,,292433.0,,,,126095.0,0.005,,,,10000.0,244274.0,,-244274.0,,,,21900.0,127033.0,1694867.0,2444137.0,2444137.0,152508.0,,,125340.0,,,,-0.02,,0.0,,,,-15000.0,,,1629511.0,1494867.0,134644.0,40362.0,,10000.0,,,,25390.0,808.0,,,79248.0,32000.0,,,,3700.0,1019.0,,3139410.0,34860.0,3139410.0,,306662.0,-154508.0,-123906.0,-972583.0,1600619.0,,7089.0,144900.0,2000.0,,-2573202.0,697927.0,,,,,,152508.0,,2000.0,0.001,1000000.0,0.0,0.0,,,227000.0,,90512.0,,,94525.0,,,,,,,,,,105375.0,-1368401.0,4901.0,,,819732.0,660000.0,,75690.0,0.0,,-3104550.0,,660000.0,,,,,49175666.0,
2017-07-31,2017-09-19,10-Q,"BRK, INC.",MNIZ,CIK0001532926,USD,,90138.0,0.0,,,,-1222471.0,,65194.0,,8011.0,8011.0,8011.0,8011.0,-24849.0,,0.001,100000000.0,57495105.0,57495105.0,57495.0,,,,260531.0,,,,127128.0,0.005,,,,10000.0,,,,,,,,,1951832.0,275575.0,275575.0,,,,157040.0,,,0.03,,0.0,0.0,,,,,,,,,,31512.0,,,,,,31700.0,,,2000.0,95657.0,,,,,,,750.0,,8011.0,978191.0,,-5000.0,,-19849.0,1563197.0,1856175.0,,7089.0,,,292978.0,-292978.0,,,,,,,,,,0.001,1000000.0,0.0,0.0,,,,,20000.0,,,1000.0,,,,,,,,,,26000.0,194796.0,,,,292978.0,237630.0,,50690.0,,,-970180.0,,,,,,96779831.0,,54692713.0
2017-10-31,2020-04-27,10-Q,"BRK, INC.",MNIZ,CIK0001532926,USD,,106308.0,0.0,,,,-1178330.0,,,,33504.0,33504.0,,33504.0,,,0.001,100000000.0,69495793.0,69495793.0,69496.0,,,,229298.0,,,,152053.0,0.005,,,,,,,,,,,,,5722.0,285312.0,285312.0,,,,224540.0,,,0.0,,0.0,,,,1033.0,,,,,,,,,,,,,,,,,15835.0,,,,,,,,,33504.0,1051415.0,,,,,-103872.0,920.0,,7089.0,,,104794.0,-104794.0,,,10000.0,,,,,,,0.001,1000000.0,,,,,,,,,,,,,,,,,,,,,90923.0,,,,104794.0,,,46815.0,,,-1017911.0,,,,,,59117385.0,,59117385.0
