end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockSharesSubscriptions,CommonStockSharesSubscriptions,CommonStockValue,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount1,DebtConversionOriginalDebtAmount1,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsPropertyPlantAndEquipment,DeferredTaxAssetsValuationAllowance,Depreciation,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectOfExchangeRateOnCashAndCashEquivalents,ExplorationExpense,ExplorationExpenseMining,ExtinguishmentOfDebtAmount,ExtinguishmentOfDebtAmount,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionGainLossRealized,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,ImpairmentOfOngoingProject,IncomeTaxExaminationPenaltiesAndInterestExpense,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReceivable,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationOtherAdjustments,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInIncomeTaxesReceivable,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInReceivables,InterestIncomeExpenseNet,InterestPaid,InterestPaidNet,InterestReceivableCurrent,InvestmentIncomeInterest,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansAndLeasesReceivableRelatedParties,LoansPayableCurrent,MineralPropertiesNet,MineralRights,MineralRights,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherLiabilitiesCurrent,OtherNonoperatingIncomeExpense,OtherReceivablesNetCurrent,PaymentsOfStockIssuanceCosts,PaymentsToAcquireMineralRights,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToFundLongtermLoansToRelatedParties,PrepaidExpenseCurrent,ProceedsFromBankDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromOtherDebt,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfShortTermDebt,ProceedsFromShortTermDebt,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,ReceivablesNetCurrent,RepaymentsOfOtherDebt,RepaymentsOfRelatedPartyDebt,RepaymentsOfShortTermDebt,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPricePerShare,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedGoodsAndNonemployeeServicesTransactionStockholdersEquity,ShortTermBankLoansAndNotesPayable,ShortTermBorrowings,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,ValueAddedTaxReceivableCurrent,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AccountsPayableRelatedPartiesCurrent
2012-11-30,2013-01-14,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,,340213.0,,3326152.0,,,8438.0,7154.0,70.0,,,,,0.001,200000000.0,121313333.0,121313333.0,,,75000.0,121313.0,,,,,,,,,,477.0,3910240.0,52981.0,0.0,,,,,,,1973.0,,0.0,82749.0,,,,,,,,,,,,,,,,,,,,,,,,396213.0,8438.0,,,3019.0,,,,,,,-124124.0,-779.0,123345.0,-123345.0,,,,,,,,,,,,,,,,,,,1284.0,,7084.0,,,,,0.0,,,,,,,,-387775.0,,,,,,,120542000.0,,
2013-02-28,2013-04-15,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,,381076.0,3428.0,3326152.0,,,5679.0,4872.0,44.0,,,,,0.001,200000000.0,121313333.0,121313333.0,,,78000.0,121313.0,,,,,,,,,,477.0,3963033.0,58743.0,,,,,0.0,,,11392.0,11392.0,0.0,63708.0,,,,,,,,,,,,,,,,,,,,,,,,443247.0,5679.0,,,,,,,,,,-52793.0,0.0,52793.0,-52793.0,,,,,,,,,,,,,,,,,,,807.0,,4828.0,,,,,0.0,,,,,,,,-437568.0,,,,,,,121313000.0,121313000.0,
2013-05-31,2013-09-13,10-K,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,,217001.0,0.0,3581922.0,,,3354.0,3024.0,63.0,-537.0,,0.0,,0.001,500000000.0,151563333.0,151563333.0,,,0.0,151563.0,,,,,,,,,,1909.0,4003157.0,56025.0,0.0,,,,41148.0,,,3602.0,3602.0,16480.0,267832.0,,,,0.0,,,,,200863.0,,,,23704.0,,-2274.0,0.0,-2274.0,,0.0,,,,,273026.0,3354.0,,,,0.0,,,78000.0,0.0,-78537.0,-290807.0,16480.0,307287.0,-307287.0,,,,,2961.0,0.0,0.0,0.0,,,,78000.0,,,,0.0,,0.0,330.0,,2961.0,,0.0,0.0,-4003157.0,0.0,,0.0,,,,0.0,,-269672.0,,,,,78000.0,,123925114.0,123925114.0,
2013-08-31,2013-10-15,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,,259979.0,11468.0,3949422.0,,,405234.0,2610.0,43.0,-20.0,,,,0.001,500000000.0,186563333.0,186563333.0,,,,186563.0,,,,,,,,,,206.0,4064380.0,62182.0,0.0,,,,,,,3126.0,3126.0,0.0,64143.0,,,,0.0,,,,,42978.0,,,11468.0,6157.0,,,0.0,-394.0,,0.0,,,,,333629.0,405234.0,,,,402500.0,,,0.0,0.0,-20.0,-61223.0,0.0,61223.0,-61223.0,,,,,,0.0,0.0,0.0,,,,0.0,,,,0.0,,0.0,124.0,,2567.0,,0.0,0.0,,0.0,,0.0,,,,,,71605.0,,,,,,,182378550.0,182378550.0,
2013-11-30,2014-01-14,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,,243216.0,,4084422.0,,,405567.0,3026.0,114.0,,,,,0.001,500000000.0,201563333.0,201563333.0,,,,201563.0,,,,,,,,,,83.0,4163799.0,40165.0,0.0,,,,,,,-71.0,-71.0,0.0,99265.0,0.0,,,,,,,,,,,,,,,,,,,,,,,283381.0,405567.0,,,,402500.0,,,,,,-99419.0,0.0,99419.0,-99419.0,,,,,,,,,,,,,,,,,,,41.0,,2912.0,,,,,0.0,,,,,,,,122186.0,,,,,,,200739157.0,200739157.0,
2014-02-28,2014-04-15,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,,186885.0,,4138422.0,,,407322.0,4822.0,0.0,,,0.0,,0.001,500000000.0,211563333.0,211563333.0,,,,211563.0,,,,,,,,,,41.0,,46465.0,0.0,,,,4718.0,,,,7825.0,36000.0,51308.0,0.0,,,,,,,,,,,,,,,,,,,,,,,233378.0,407322.0,,,,402500.0,,,,,,-12242.0,36000.0,48242.0,-48242.0,,,,,,,,,,,,,,,,,,,0.0,,4822.0,,,,-4176041.0,0.0,,,,,,28.0,,173944.0,,,,,,,,202007777.0,
2014-05-31,2014-12-16,10-K,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,215966.0,215966.0,,3990672.0,36000.0,,203438.0,2188.0,135.0,72.0,,0.0,,0.001,500000000.0,194063333.0,194063333.0,,,,194063.0,,,,,,,,,,330.0,,53914.0,0.0,,,,4718.0,,,,7001.0,0.0,264522.0,0.0,,,0.0,,,,,113514.0,,,,-2111.0,,-908.0,0.0,-908.0,,0.0,,,,,269880.0,203438.0,,,,201250.0,,,150000.0,,-149928.0,-248020.0,14549.0,262569.0,-262569.0,,,,,2053.0,,,,,0.0,,150000.0,,,,,,,0.0,,2053.0,,,,-4251177.0,,,,,,,,,-66442.0,,,,,150000.0,,,198987991.0,
2014-08-31,2015-01-06,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,256457.0,,,3990672.0,,,205334.0,4084.0,100.0,-35.0,,,,0.001,200000000.0,194063333.0,194063333.0,,,,194063.0,,,,,,,,,,0.0,,62039.0,0.0,,,,0.0,,,,765.0,,47485.0,,,,0.0,,,,,37111.0,,,3380.0,8125.0,,,0.0,1931.0,,0.0,,,,,318496.0,205334.0,,,,201250.0,,,0.0,,-35.0,-46720.0,,46720.0,,,,,,,,,,,,,0.0,,,,,,,,,3984.0,,,,-4297897.0,,,,,,,,,-113162.0,,,,,,,,194063333.0,
2014-11-30,2015-01-27,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,269908.0,,,4049172.0,,,5694.0,5694.0,3.0,,,,,0.001,500000000.0,200563333.0,200563333.0,,,,200563.0,,,,,,,,,,0.0,,65344.0,0.0,,,,0.0,,,,-20815.0,0.0,59331.0,201250.0,,,,,,,,,,,,,,,,,,,,,,,335252.0,5694.0,,,,0.0,,,,,,-281396.0,,281396.0,-281396.0,,,,,,,,,,,,,,,,,,,,,5691.0,,,,-4579293.0,,,,,,,,,-329558.0,,,,,,,,199645751.0,
2015-02-28,2015-05-14,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,305715.0,,,4054619.0,,,10168.0,10168.0,8019.0,,,,,0.001,500000000.0,200563333.0,200563333.0,,,,201563.0,,,,,,,,,,0.0,,66988.0,0.0,,,,0.0,,,,21904.0,0.0,61328.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,372703.0,10168.0,,,,0.0,,,,,,-39424.0,0.0,39424.0,-39424.0,,,,,,,,,,,,,,,,,,,,,2149.0,,,,-4618717.0,,,,,,,,,-362535.0,,,,,,,,200563000.0,
2015-05-31,2015-08-28,10-K,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,102557.0,,,4550914.0,,,98920.0,98920.0,89934.0,89799.0,,,,0.001,500000000.0,272664328.0,272664328.0,,,,272664.0,,,,,,,,,,0.0,,27155.0,0.0,,,,15105.0,,,,-4627.0,-3601.0,378610.0,201250.0,,,0.0,,,,,233990.0,,,0.0,8241.0,,,5000.0,1933.0,,0.0,,,0.0,,129712.0,98920.0,,0.0,,0.0,,,252843.0,0.0,-163044.0,-603193.0,-3601.0,594965.0,-594965.0,,,,,,,,,0.0,5000.0,,252843.0,,,,,,,,,3986.0,,,,-4854370.0,,,,,,,,,-30792.0,,,,,252843.0,,,202031278.0,
2015-08-31,2015-10-09,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,118976.0,,,4616515.0,,,21827.0,,13022.0,-76912.0,,,,0.001,500000000.0,282570993.0,282570993.0,,,,282571.0,,,,,,,,,,,,3043.0,0.0,,,,2010.0,,,,-2157.0,,140741.0,,,,0.0,,,,,46419.0,,,0.0,-24112.0,4819.0,,-5000.0,4819.0,,0.0,,,0.0,,122019.0,21827.0,,,,,,,45508.0,,-122420.0,-144908.0,,142751.0,-142751.0,,,,,,,,,,0.0,,45508.0,,0.0,,,,0.0,,,8805.0,,,,-4999278.0,,,,,,,,,-100192.0,,,,,,,,278033000.0,
2015-11-30,2016-01-13,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,108983.0,,,4712261.0,,,30558.0,,10507.0,,,,,0.001,500000000.0,294870993.0,294870993.0,,,,294871.0,,,,,,,,,,,,2510.0,0.0,,,,0.0,,,,-602.0,-3000.0,85187.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,111493.0,30558.0,,14978.0,,,,,,,,-88789.0,,85187.0,-85187.0,,,,,,,,,,0.0,,,,,,,,,,,5073.0,,,,-5088067.0,,,,,,,,,-80935.0,,,,,,,,282800501.0,
2016-02-29,2016-04-18,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,129412.0,,,4718756.0,,,19829.0,,139.0,,,,,0.001,500000000.0,297070993.0,297070993.0,,,,297071.0,,,,,,,,,,,,9605.0,0.0,,,,0.0,,,,-508.0,60.0,46666.0,0.0,,,,,,,,,,,,,,,,,,,,,166.0,,139017.0,19829.0,,14780.0,,,,,,,,-46948.0,,46666.0,-46666.0,,,,,,,,,,0.0,,,,,,,,,,0.0,4910.0,,,,-5135015.0,,,,,,,,,-119188.0,,,,,,,,294871000.0,
2016-05-31,2016-08-29,10-K,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,129712.0,,,4793687.0,,,33315.0,,2594.0,-87340.0,,,,0.001,500000000.0,315170993.0,315170993.0,,,0.0,315171.0,,,,,,,,,,,,5251.0,0.0,,0.0,,2010.0,,,,-4505.0,-9090.0,368240.0,0.0,,,0.0,5097.0,,,,85609.0,,,1046.0,0.0,,,-5000.0,1479.0,,0.0,,368.0,358.0,6000.0,162314.0,33315.0,,15256.0,0.0,,,,187690.0,-15256.0,-259774.0,-383487.0,-13237.0,370250.0,-370250.0,,,,,5465.0,,,,15256.0,10000.0,,187690.0,,0.0,5251.0,13196.0,,,,0.0,5097.0,,,,-5237857.0,,,,,,,,27351.0,-128999.0,,,,16000.0,187690.0,,,288145073.0,
2016-08-31,2016-10-20,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,165494.0,,,4793687.0,,,24289.0,,1975.0,-619.0,,,,0.001,500000000.0,315170993.0,315170993.0,,,51943.0,315171.0,,,,,,,,,,,,29765.0,0.0,,0.0,,0.0,,,,-704.0,,97214.0,,,,0.0,6498.0,,,,31577.0,,,-1046.0,2414.0,1593.0,,-10000.0,,,0.0,,560.0,192.0,,199071.0,24289.0,,15256.0,3812.0,,,,55755.0,,-56374.0,-97726.0,-512.0,97214.0,-97214.0,,,,,,,,,,0.0,,0.0,,51943.0,0.0,,,3812.0,,,,0.0,,,-5335583.0,,,,,,,,,-174782.0,,,,,,,,315170993.0,
2016-11-30,2017-01-30,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,159046.0,,,4882331.0,,,23038.0,,62.0,,,,,0.001,500000000.0,346520993.0,346520993.0,,,11930.0,346521.0,,,,,,,,,,,,27248.0,0.0,,,,0.0,,,,908.0,3617.0,73167.0,,,,,,,,,,,,,,,,,,,,,732.0,187.0,,186294.0,23038.0,,14894.0,,,,,,,,-68455.0,,73167.0,-73167.0,,,,,,,,,,2188.0,,,,,,,,,,,5162.0,,,,-5404038.0,,,,,,,,,-163256.0,,,,,,,,341008905.0,
2017-02-28,2017-04-21,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,194158.0,,,4882331.0,,,4637.0,,5.0,,,,,0.001,500000000.0,346520993.0,346520993.0,,,17628.0,346521.0,,,,,,,,,,,,42278.0,0.0,,,,0.0,,,,-613.0,0.0,57826.0,,,,,,,,,,,,,,,,,,,,,0.0,191.0,,236436.0,4637.0,,0.0,,,,,,,,-74241.0,,73819.0,-73819.0,,,,,,,,,,0.0,,,,,,,,,,15993.0,4632.0,,,,-5478279.0,,,,,,,,,-231799.0,,,,,,,,346520993.0,
