end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccountsReceivableRelatedParties,AccruedFeesAndOtherRevenueReceivable,AccruedProfessionalFeesCurrentAndNoncurrent,AssetManagementCosts,Assets,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommissionsPayableToBrokerDealersAndClearingOrganizations,DebtInstrumentCollateralAmount,Deposits,DepositsMoneyMarketDeposits,DividendIncomeOperating,DividendsReceivable,DueFromOfficersOrStockholders,DueToCorrespondentBrokers,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrentAndNoncurrent,FloorBrokerageExchangeAndClearanceFees,GainLossOnSaleOfInvestments,GeneralPartnersCapitalAccount,IncreaseDecreaseDueFromOfficersAndStockholders,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInDueToOfficersAndStockholders,IncreaseDecreaseInFinancialInstrumentsUsedInOperatingActivities,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPayablesToBrokerDealers,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidInsurance,IncreaseDecreaseInTradingLiabilities,InterestIncomeOperating,InterestReceivable,InvestmentOwnedUnderlyingFaceAmountAtMarketValue,Liabilities,LiabilitiesAndStockholdersEquity,LicenseCosts,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsOutstanding,LitigationSettlementInterest,LossContingencyDamagesAwardedValue,LossContingencyDamagesPaidValue,ManagementFeeExpense,ManagementFeePayable,MarketableSecuritiesRealizedGainLoss,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NoninterestExpenseDirectorsFees,NoninterestExpenseTransferAgentAndCustodianFees,OperatingExpenses,OtherAssets,OtherExpenses,OtherGeneralExpense,OtherIncome,OtherLiabilities,PartnersCapital,PartnersCapitalAccountContributions,PartnersCapitalAccountRedemptions,PartnersCapitalAccountUnitsContributed,PartnersCapitalAccountUnitsRedeemed,PrepaidExpenseCurrentAndNoncurrent,PrepaidInsurance,ProceedsFromPartnershipContribution,ProfessionalFees,ReceivableFromShareholdersOrAffiliatesForIssuanceOfCapitalStock,RestrictedCashAndCashEquivalents,RestrictedCashAndInvestmentsCurrent,Revenues,TradingLiabilities,UnrealizedGainLossOnDerivativesAndCommodityContracts,UnrealizedGainLossOnInvestments,WeightedAverageLimitedPartnershipUnitsOutstanding
2012-12-31,2013-03-13,10-K,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,,,,550046.0,64539315.0,5170139.0,56400613.0,-11736759.0,,,,2348.0,,14075770.0,47494982.0,14372.0,1399.0,139446.0,,32860.0,0.0,63245.0,17063315.0,0.0,35393.0,,-26.0,,707.0,-966.0,708465.0,,-20099.0,-1201.0,-967.0,-20913.0,,-33.0,11635.0,,,313827.0,64539315.0,13751.0,64225488.0,1100000.0,,,,,,,-27338762.0,-27338762.0,15602003.0,15602003.0,11813481.0,8.47,7.68,,7.68,8.47,,18888.0,20000.0,1159027.0,219375.0,53550.0,225000.0,12250.0,2976.0,64225488.0,87043567.0,114382329.0,1550000.0,2050000.0,,,87043567.0,275643.0,,,,14980190.0,,-2121382.0,-2121382.0,1672951.0
2013-03-31,2013-05-10,10-Q,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,,,,93711.0,58598893.0,4875645.0,53825894.0,-2574719.0,,,,1423.0,,11206557.0,47494982.0,2828.0,937.0,44756.0,,30826.0,,9330.0,6835114.0,0.0,-94690.0,,0.0,,-462.0,,-294494.0,,-8328.0,40.0,-925.0,,,0.0,1391.0,,,103385.0,58598893.0,2343.0,58495508.0,950000.0,,,,,,,-9458214.0,-9458214.0,6883495.0,6883495.0,3728234.0,3.62,,3.18,3.18,,3.62,,20000.0,188826.0,211047.0,6211.0,,700.0,3016.0,58495508.0,,9458214.0,,150000.0,,,0.0,68120.0,,,,3872304.0,,-2967729.0,-2967729.0,1028889.0
2013-06-30,2013-08-09,10-Q,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,,,,87362.0,57223582.0,6317644.0,53961954.0,,,,,1723.0,,17784615.0,42494983.0,2498.0,741.0,91408.0,,30103.0,2728850.0,10637.0,-3943212.0,0.0,,,,,,,,,,,,,,,1349.0,,,2900194.0,57223582.0,,54323388.0,1000000.0,,,,,,,,,,,-7060884.0,-6.82,,,-7.25,,,,,183346.0,198496.0,5333.0,,2450.0,2966.0,54323388.0,,,,,,,,68432.0,,,,-6924190.0,,,-2987275.0,1034615.0
2013-09-30,2013-11-12,10-Q,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,,,,86656.0,50788451.0,4830667.0,47156459.0,,,,,1723.0,,9492143.0,42494983.0,2022.0,655.0,121746.0,,26043.0,,9866.0,952430.0,0.0,,,,,,,,,,,,,,,993.0,,,219196.0,50788451.0,,50569255.0,900000.0,,,,,,,,,,,2662100.0,2.78,,,1.87,,,,,165565.0,185103.0,5349.0,,1400.0,2893.0,50569255.0,,,,,,,,51985.0,,,,2797327.0,,,1840482.0,956522.0
2013-12-31,2014-03-10,10-K,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,,0.0,225429.0,351177.0,57155002.0,2053484.0,52193157.0,-4207456.0,,,,1723.0,2053484.0,15751658.0,38494983.0,9198.0,628.0,137776.0,,28519.0,,39110.0,3496995.0,0.0,-1670.0,,0.0,,-771.0,1028.0,-3116655.0,,-47315.0,-160.0,-625.0,-46453.0,,0.0,5281.0,,,257831.0,57155002.0,8779.0,56897171.0,950000.0,,,,,,,,-10289064.0,,6081608.0,6592044.0,2.97,,,5.2,,,13365.0,20000.0,830889.0,172060.0,68597.0,225000.0,5600.0,2816.0,56897171.0,19597900.0,29886964.0,350000.0,500000.0,171146.0,,19597900.0,225429.0,0.0,,,7269127.0,,-9790.0,-9790.0,997123.0
2014-03-31,2014-05-12,10-Q,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,,,,79265.0,50222056.0,4611809.0,44658923.0,-7534234.0,,,,1723.0,4611809.0,18275749.0,30994983.0,1749.0,596.0,16274.0,,27215.0,,9667.0,1037389.0,0.0,-121502.0,,,,-32.0,-4161.0,2558325.0,,-7180.0,15.0,0.0,-11454.0,,,2001.0,,,67859.0,50222056.0,1982.0,50154197.0,850000.0,,,,,,,,-5830392.0,,-1703842.0,-912582.0,-0.99,,,-0.89,,,3258.0,20000.0,141716.0,164880.0,5240.0,185000.0,700.0,2831.0,50154197.0,,5830392.0,,100000.0,,,0.0,36090.0,,,,-787140.0,,-1828979.0,-1828979.0,917222.0
2014-06-30,2014-08-11,10-Q,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,,,72581.0,69839.0,44215334.0,3279258.0,40705393.0,,,,,1273.0,3279258.0,12989669.0,30994982.0,1680.0,572.0,37637.0,,21739.0,,7102.0,3975000.0,0.0,,,,,,,,,,,,,,,914.0,,,97970.0,44215334.0,1746.0,44117364.0,700000.0,,,,,,,,,,,3141041.0,4.11,,,4.02,,,3204.0,,129964.0,151902.0,4950.0,,1050.0,2377.0,44117364.0,,,,,,,,36491.0,,,,3249642.0,,,-729002.0,763736.0
2014-09-30,2014-11-10,10-Q,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,,,77010.0,71065.0,51794711.0,2734210.0,50312319.0,,,,,1273.0,2734210.0,22051546.0,30994983.0,1698.0,572.0,68076.0,,25740.0,,8929.0,-5067119.0,0.0,,,,,,,,,,,,,,,1156.0,,,106185.0,51794711.0,1776.0,51688526.0,950000.0,,,,,,,,,,,-6637563.0,-8.14,,,-8.61,,,2973.0,,154487.0,138782.0,4749.0,,2450.0,2162.0,51688526.0,,,,,,,,58035.0,,,,-6561635.0,,,-1499820.0,815761.0
2014-12-31,2015-03-26,10-K,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,673.0,350.0,125122.0,294290.0,40833631.0,6161581.0,35557290.0,-16635867.0,,,,1973.0,6161851.0,13694522.0,28024349.0,8021.0,968.0,134106.0,,22444.0,,38600.0,-21284156.0,0.0,-3670.0,0.0,0.0,,340.0,-415.0,4108097.0,,,,250.0,-46453.0,,0.0,5271.0,,,151487.0,40833631.0,7357.0,40682144.0,1200000.0,,,,,,,,9196442.0,,-25832309.0,-49792378.0,-30.23,,,-46.5,,,12396.0,20000.0,743629.0,,,164000.0,6650.0,,40682144.0,30932639.0,20046925.0,600000.0,350000.0,124693.0,,29243367.0,185801.0,1689272.0,,,-49297005.0,,-5433855.0,-5433855.0,896438.0
2015-03-31,2015-05-13,10-Q,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,,0.0,48201.0,108033.0,90774797.0,5604233.0,82731912.0,47174622.0,,,,1973.0,5604233.0,63311796.0,25024349.0,2494.0,850.0,48719.0,,48415.0,,23331.0,-2665018.0,0.0,-85387.0,,,,-118.0,-2942.0,-557348.0,,,,,-11455.0,,,3105.0,,,101390.0,90774797.0,2701.0,90673407.0,2600000.0,,,,,,,,49360812.0,,-2186190.0,2319723.0,1.11,,,0.97,,,2717.0,20000.0,183759.0,,,,6650.0,,90673407.0,52773037.0,5101497.0,1550000.0,150000.0,113238.0,,54462309.0,35523.0,0.0,,,2454763.0,,5107532.0,5107532.0,2098333.0
2015-06-30,2015-08-12,10-Q,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,,0.0,52255.0,152647.0,103347859.0,10421065.0,94245363.0,,,,,1973.0,10421065.0,79642079.0,25024349.0,2496.0,823.0,100557.0,,51892.0,,23539.0,20860371.0,0.0,,,,,,,,,,,,,,,9837.0,,49983689.0,110043.0,103347859.0,3816.0,103237816.0,2500000.0,,,,,,,,,,,16886559.0,6.49,,,6.43,,,2992.0,,242647.0,,,,700.0,,103237816.0,,,,,101657.0,,,48071.0,0.0,,,17077368.0,,,-3796036.0,2602747.0
2015-09-30,2015-11-13,10-Q,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,,0.0,91891.0,123574.0,71288331.0,8931787.0,62253230.0,,,,,4073.0,8931787.0,69185017.0,2000000.0,1335.0,68.0,160282.0,,34710.0,,25482.0,-24265894.0,0.0,,,,,,,,,,,,,,,12325.0,,54992154.0,133878.0,71288331.0,3089.0,71154453.0,2250000.0,,,,,,,,,,,-23030119.0,-9.83,,,-9.68,,,2726.0,,214371.0,,,,1400.0,,71154453.0,,,,,89948.0,,,47791.0,0.0,,,-22875473.0,,,1375361.0,2341848.0
2015-12-31,2016-03-11,10-K,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,0.0,744.0,0.0,127940.0,494612.0,76350283.0,11076293.0,64443016.0,28885726.0,,,,4513.0,11076293.0,53519309.0,22000000.0,6657.0,200.0,224565.0,0.0,38046.0,,98827.0,-11985649.0,0.0,90459.0,0.0,0.0,,-768.0,-71.0,4914712.0,,,,2540.0,-46454.0,,,40432.0,,,173413.0,76350283.0,12365.0,76176870.0,2600000.0,,,,,,,46367178.0,46367178.0,-17481452.0,-17481452.0,-14542523.0,-3.88,,,-6.92,,,10840.0,20000.0,1044349.0,,,164000.0,10850.0,,76176870.0,66727593.0,22049687.0,2000000.0,600000.0,78239.0,,68416865.0,179466.0,0.0,,,-13787022.0,,3362528.0,3362528.0,2367260.0
2016-03-31,2016-05-04,10-Q,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,3919.0,,60992.0,107719.0,80894897.0,7297632.0,74940701.0,10497685.0,,,,4513.0,7297632.0,60238333.0,22000000.0,13724.0,4472.0,66555.0,,40888.0,,28452.0,-6020582.0,0.0,-158010.0,0.0,,,4272.0,-3175.0,-3778661.0,,,,0.0,-11581.0,,,35590.0,,,109307.0,80894897.0,2693.0,80785590.0,3150000.0,,,,,,,,12722475.0,,-2224790.0,-8113755.0,-2.77,,,-3.65,,,2209.0,20000.0,199926.0,,,,3150.0,,80785590.0,12722475.0,,50000.0,,66658.0,,12722475.0,47271.0,,,,-7980384.0,,-2012266.0,-2012266.0,2928571.0
2016-06-30,2016-08-05,10-Q,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,1351.0,350.0,49765.0,126414.0,80576875.0,10187654.0,65143968.0,,,,,4513.0,10187654.0,53331622.0,22000000.0,15286.0,4886.0,125037.0,,40455.0,,25577.0,-1239887.0,0.0,,,,,,,,,,,,,,,54750.0,,,98114.0,80576875.0,3161.0,80478761.0,3100000.0,,,,,,,,,,,1226777.0,0.39,,,0.31,,,3774.0,,217778.0,,,,2450.0,,80478761.0,,,,,55076.0,,,47271.0,3990119.0,,,1386073.0,,,2553474.0,3130769.0
2016-09-30,2016-11-07,10-Q,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,505.0,,103503.0,106166.0,70543204.0,9992983.0,56550810.0,,,,,4513.0,9992983.0,53543793.0,13000000.0,12436.0,3298.0,200081.0,1077221.0,32740.0,,25981.0,1604088.0,0.0,,,,,,,,,,,,,,,50661.0,,,1220852.0,70543204.0,2654.0,69322352.0,2500000.0,,,,,,,,,,,4221704.0,1.47,,,1.77,,,2201.0,,207751.0,,,,3500.0,,69322352.0,,,,,43367.0,,,59040.0,,,,4354411.0,,,2683726.0,2879348.0
2016-12-31,2017-03-10,10-K,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,446.0,0.0,0.0,155334.0,442079.0,70781713.0,2277668.0,64219425.0,-9022216.0,66497093.0,,,4513.0,2277668.0,56497093.0,10000000.0,50717.0,2915.0,269909.0,0.0,34123.0,,101289.0,1965852.0,0.0,45344.0,446.0,0.0,,2715.0,744.0,-8798625.0,,,,0.0,-46581.0,,,195116.0,0.0,,197149.0,70781713.0,11052.0,70584564.0,2250000.0,,,,442079.0,,0.0,-10715504.0,-10715504.0,1693288.0,10491913.0,12911670.0,1.81,,,5.71,,,10319.0,20000.0,1019561.0,,,178000.0,11200.0,,70584564.0,29027170.0,39742674.0,1200000.0,1550000.0,31658.0,,29027170.0,211188.0,,,,13591494.0,,3452912.0,3452912.0,2835519.0
2017-03-31,2017-05-05,10-Q,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,0.0,1880.0,,124804.0,95265.0,64185576.0,4991157.0,55571432.0,-5934504.0,,,,2963.0,4991157.0,53562589.0,7000000.0,11597.0,3587.0,348557.0,1320490.0,30763.0,,16808.0,-8585002.0,0.0,78648.0,-446.0,0.0,,672.0,-1880.0,2713489.0,,,,-1550.0,-11454.0,,,72810.0,,,1480772.0,64185576.0,2382.0,62704804.0,2300000.0,,,,,,,1470945.0,1470945.0,-7405449.0,-10118938.0,-9350705.0,-4.09,,,-4.11,,,2069.0,20000.0,197728.0,,,,350.0,,62704804.0,1470945.0,,50000.0,,20204.0,,1470945.0,69750.0,,,,-9231624.0,,-731379.0,-731379.0,2287222.0
2017-06-30,2017-08-07,10-Q,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,0.0,1126.0,,62325.0,91198.0,63148020.0,6932752.0,53428459.0,,,,,2963.0,6932752.0,56861211.0,3500000.0,8029.0,2128.0,125145.0,,29693.0,,18386.0,-6221627.0,0.0,,,,,,,,,,,,,,,100479.0,,,96667.0,63148020.0,2280.0,63051353.0,2600000.0,,,,91198.0,,,,,,,-6825037.0,-2.83,,,-3.01,,,1949.0,,160495.0,,,,1050.0,,63051353.0,,,,,8622.0,,,35100.0,,,,-6711040.0,,,-598971.0,2414286.0
2017-09-30,2017-11-06,10-Q,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,0.0,136.0,350.0,123777.0,96439.0,58195464.0,6874539.0,52251001.0,,,,,2963.0,6874539.0,57625540.0,1500000.0,7550.0,2068.0,170025.0,,33199.0,,21352.0,13449792.0,0.0,,,,,,,,,,,,,,,146255.0,7378.0,,2995591.0,58195464.0,2411.0,55199873.0,1950000.0,,,,96439.0,,,,,,,9727638.0,4.09,,,4.06,,,2163.0,,165568.0,,,,4550.0,,55199873.0,,,,,0.0,,,31494.0,,,,9848326.0,,,-3759821.0,2376087.0
